abase,v cause to feel shame; hurt the pride of
mosaic,"n. art consisting of a design made of small pieces of colored stone or glass
n. viral disease in solanaceous plants (tomatoes, potatoes, tobacco) resulting in mottling and often shriveling of the leaves
n. a freeware browser
n. a pattern resembling a mosaic"
motif,"n. a design or figure that consists of recurring shapes or colors, as in architecture or decoration
n. a theme that is repeated or elaborated in a piece of music"
motley,"n. a garment made of motley (especially a court jester's costume)
n. a multicolored woolen fabric woven of mixed threads in 14th to 17th century England
v. make motley; color with different colors
s. having sections or patches colored differently and usually brightly"
mottled,"v mark with spots or blotches of different color or shades of color as if stained
v colour with streaks or blotches of different shades
s having spots or patches of color"
muddle,v. make into a puddle
muggy,s. hot or warm and humid
multifaceted,s having many aspects
multifarious,s having many aspects
multiform,a. occurring in or having many forms or shapes or appearances
multilingual,a. using or knowing more than one language
multiplicity,n. the property of being multiple
mundane,"s. concerned with the world or worldly matters
s. belonging to this earth or world; not ideal or heavenly; yet a mundane wonder of unimagined kind"""
munificent,s very generous
mural,"n. a painting that is applied to a wall surface
a. of or relating to walls"
murky,s. dark or gloomy
mutability,n. the quality of being capable of mutation
muted,"v deaden (a sound or noise), especially by wrapping
s in a softened tone
s being or made softer or less loud or clear"
mutinous,"s. disposed to or in a state of mutiny
s. consisting of or characterized by or inciting to mutiny"
myopic,"a unable to see distant objects clearly
s lacking foresight or scope"
myriad,n. a large indefinite number
mystify,v. make mysterious
nadir,"n. an extreme state of adversity; the lowest point of anything
n. the point below the observer that is directly opposite the zenith on the imaginary sphere against which celestial bodies appear to be projected"
naivete,n. lack of sophistication or worldliness
narcissist,n. someone in love with themselves
narrative,"n. a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
s. consisting of or characterized by the telling of a story"
nascent,a. being born or beginning
natty,s marked by up-to-dateness in dress and manners
nautical,a. relating to or involving ships or shipping or navigation or seamen
navigable,s. able to be sailed on or through safely
nebulous,s. lacking definition or definite content
nefarious,s. extremely wicked
negate,v. prove negative; show to be false
negligible,"s. so small as to be meaningless; insignificant
s. not worth considering"
neutral,"n. one who does not side with any party in a war or dispute
s. not supporting or favoring either side in a war, dispute, or contest
a. possessing no distinctive quality or characteristics
s. lacking distinguishing quality or characteristics"
nicety,"n conformity with some esthetic standard of correctness or propriety
n a subtle difference in meaning or opinion or attitude"
nihilist,n. someone who rejects all theories of morality or religious belief
nip,"n. a small drink of liquor
n. a tart spicy quality
n. a small sharp bite or snip
v. give a small sharp bite to"
nirvana,n. (Hinduism and Buddhism) the beatitude that transcends the cycle of reincarnation; characterized by the extinction of desire and suffering and individual consciousness
nocturnal,"a. belonging to or active during the night
a. of or relating to or occurring in the night"
noisome,"s causing or able to cause nausea
s offensively malodorous"
nomadic,s migratory
nominal,"a. relating to or constituting or bearing or giving a name
s. insignificantly small; a matter of form only (`tokenish' is informal)
a. pertaining to a noun or to a word group that functions as a noun
a. of, relating to, or characteristic of an amount that is not adjusted for inflation"
nonchalance,n. the trait of remaining calm and seeming not to care; a casual lack of concern
nondescript,n. a person is not easily classified and not very interesting
nonentity,"n the state of not existing
n a person of no influence"
nonplus,v be a mystery or bewildering to
nostalgia,n. longing for something past
notable,"n a celebrity who is an inspiration to others
s worthy of notice
s widely known and esteemed"
notoriety,n. the state of being known for some unfavorable act or quality
novelty,n. originality by virtue of being new and surprising
novice,n. someone new to a field or activity
noxious,a. injurious to physical or mental health
nuance,n. a subtle difference in meaning or opinion or attitude
nullify,"v declare invalid
v show to be invalid
v make ineffective by counterbalancing the effect of"
numismatist,n. a collector and student of money (and coins in particular)
nuptial,a of or relating to a wedding
nurture,"n the properties acquired as a consequence of the way you were treated as a child
n helping someone grow up to be an accepted member of the community
v help develop, help grow
v bring up
v provide with nourishment"
