abase,v cause to feel shame; hurt the pride of
pore,"n. any tiny hole admitting passage of a liquid (fluid or gas)
n. any small opening in the skin or outer surface of an animal"
portent,n a sign of something about to happen
portly,s. euphemisms for `fat'
postulate,"n. (logic) a proposition that is accepted as true in order to provide a basis for logical reasoning
v. take as a given; assume as a postulate or axiom"
potable,"n any liquid suitable for drinking
a suitable for drinking"
potent,"s. having great influence
s. having or wielding force or authority
a. having a strong physiological or chemical effect
a. (of a male) capable of copulation"
potentate,n a ruler who is unconstrained by law
potion,n. a medicinal or magical or poisonous beverage
practitioner,n. someone who practices a learned profession
pragmatic,a. of or concerning the theory of pragmatism
prank,"v. dress or decorate showily or gaudily
v. dress up showily"
prate,n. idle or foolish and irrelevant talk
preamble,"n. a preliminary introduction to a statute or constitution (usually explaining its purpose)
v. make a preliminary introduction, usually to a formal document"
precipitate,"n. a precipitated solid substance in suspension or after settling or filtering
v. bring about abruptly
v. separate as a fine suspension of solid particles
v. fall from clouds"
precipitous,"s done with very great haste and without due deliberation
s extremely steep"
precise,a. sharply exact or accurate or delimited
preclude,"v. make impossible, especially beforehand"
precocious,"a. characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude)
s. appearing or developing early"
precursor,"n. a substance from which another substance is formed (especially by a metabolic reaction)
n. a person who goes before or announces the coming of another"
predator,n. any animal that lives by preying on other animals
predicament,n. a situation from which extrication is difficult especially an unpleasant or trying one
predilection,n. a predisposition in favor of something
preempt,"v. acquire for oneself before others can do so
v. take the place of or have precedence over
v. gain possession of by prior right or opportunity, especially so as to obtain the right to buy (land)"
prehensile,"a. adapted for grasping especially by wrapping around an object
s. having a keen intellect"
prelude,"n. music that precedes a fugue or introduces an act in an opera
v. serve as a prelude or opening to
v. play as a prelude"
premeditate,"v. consider, ponder, or plan (an action) beforehand
v. think or reflect beforehand or in advance"
premise,"n. a statement that is assumed to be true and from which a conclusion can be drawn
v. set forth beforehand, often as an explanation
v. take something as preexisting and given"
preposterous,s incongruous; inviting ridicule
prerogative,n. a right reserved exclusively by a particular person or group (especially a hereditary or official right)
presage,n. a foreboding about what is about to happen
prescience,n. the power to foresee the future
prestige,n. a high standing achieved through success or influence or wealth etc.
pretentious,a. making claim to or creating an appearance of (often undeserved) importance or distinction
preternatural,s. surpassing the ordinary or normal
pretext,n. something serving to conceal plans; a fictitious reason that is concocted in order to conceal the real reason
primordial,s having existed from the beginning; in an earliest or original stage or state
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
problematic,"s open to doubt or debate
s making great mental demands; hard to comprehend or solve or believe"
proclivity,n. a natural inclination
prod,"n. a pointed instrument that is used to prod into a state of motion
v. urge on; cause to act"
prodigal,n. a recklessly extravagant consumer
prodigious,"s so great in size or force or extent as to elicit awe
s of momentous or ominous significance
s far beyond what is usual in magnitude or degree"
prodigy,"n. an unusually gifted or intelligent (young) person; someone whose talents excite wonder and admiration
n. an impressive or wonderful example of a particular quality"
profane,"a. not concerned with or devoted to religion
s. not holy because unconsecrated or impure or defiled"
profligate,"n a dissolute man in fashionable society
n a recklessly extravagant consumer
s recklessly wasteful
s unrestrained by convention or morality"
profound,"a. showing intellectual penetration or emotional depth
s. of the greatest intensity; complete
s. coming from deep within one
s. situated at or extending to great depth; too deep to have been sounded or plumbed"
progenitor,n. an ancestor in the direct line
proliferation,"n. growth by the rapid multiplication of parts
n. a rapid increase in number (especially a rapid increase in the number of deadly weapons)"
prolific,s. bearing in abundance especially offspring
prolixity,n. boring verbosity
prodigious,"s so great in size or force or extent as to elicit awe
s of momentous or ominous significance
s far beyond what is usual in magnitude or degree"
prolong,"v. lengthen in time; cause to be or last longer
v. lengthen or extend in duration or space"
prominent,"s having a quality that thrusts itself into attention
s conspicuous in position or importance"
promulgate,v. put a law into effect by formal declaration
prone,"s. having a tendency (to); often used in combination
s. lying face downward"
propagate,"v. transmit from one generation to the next
v. travel through the air
v. transmit
v. transmit or cause to broaden or spread"
propellants,n. any substance that propels
prophetic,a. foretelling events as if by supernatural intervention
propinquity,n the property of being close together
propitiate,v. make peace with
propitious,a. presenting favorable circumstances; likely to result in or show signs of success
proponent,n a person who pleads for a cause or propounds an idea
propound,"v. put forward, as of an idea"
protect,"v. shield from danger, injury, destruction, or damage
v. use tariffs to favor domestic industry"
prosaic,"s not fanciful or imaginative
s lacking wit or imagination
s not challenging; dull and lacking excitement"
proscribe,v command against
prosperity,"n. an economic state of growth with rising profits and full employment
n. the condition of prospering; having good fortune"
prostrate,"v. get into a prostrate position, as in submission
v. render helpless or defenseless
v. throw down flat, as on the ground"
protean,s. taking on different forms
protocol,"n. (computer science) rules determining the format and transmission of data
n. forms of ceremony and etiquette observed by diplomats and heads of state
n. code of correct conduct"
prototype,n. a standard or typical example
protract,v lengthen in time; cause to be or last longer
protrude,"v extend out or project in space
v bulge outward
v swell or protrude outwards"
provident,"a. providing carefully for the future
s. careful in regard to your own interests"
provincial,"n. (Roman Catholic Church) an official in charge of an ecclesiastical province acting under the superior general of a religious order
a. of or associated with a province
a. characteristic of the provinces or their people"
provisional,s under terms not final or fully worked out or agreed upon
provocative,"a. serving or tending to provoke, excite, or stimulate; stimulating discussion or exciting controversy
s. exciting sexual desire"
provoke,"v. evoke or provoke to appear or occur
v. provide the needed stimulus for"
prowess,n a superior skill that you can learn by study and practice and observation
proximity,"n. the property of being close together
n. the region close around a person or thing
n. a Gestalt principle of organization holding that (other things being equal) objects or events that are near to one another (in space or time) are perceived as belonging together as a unit"
proxy,"n. a person authorized to act for another
n. a power of attorney document given by shareholders of a corporation authorizing a specific vote on their behalf at a corporate meeting"
prudent,a. careful and sensible; marked by sound judgment
prune,n. dried plum
puerile,a. of or characteristic of a child
pugilist,n someone who fights with his fists for sport
pugnacity,n a natural disposition to be hostile
punctilious,s marked by precise accordance with details
pundit,n someone who has been admitted to membership in a scholarly field
pungent,s. strong and sharp
punitive,a. inflicting punishment
purge,"n. the act of clearing yourself (or another) from some stigma or charge
n. an act of removing by cleansing; ridding of sediment or other undesired elements
n. an abrupt or sudden removal of a person or group from an organization or place
v. oust politically"
purported,"v have the often specious appearance of being, intending, or claiming
v propose or intend"
purse,"n. a sum of money spoken of as the contents of a money purse
n. a small bag for carrying money
n. a sum of money offered as a prize
v. contract one's lips into a rounded shape"
quack,"n. an untrained person who pretends to be a physician and who dispenses medical advice
n. the harsh sound of a duck
v. utter quacking noises"
quaint,"s. strange in an interesting or pleasing way
s. very strange or unusual; odd or even incongruous in character or appearance"
qualms,"n uneasiness about the fitness of an action
n a mild state of nausea"
quandary,"n a situation from which extrication is difficult especially an unpleasant or trying one
n state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options"
quarantine,"n. enforced isolation of patients suffering from a contagious disease in order to prevent the spread of disease
n. isolation to prevent the spread of infectious disease
v. place into enforced isolation, as for medical reasons"
quarry,v. extract (something such as stones) from or as if from a quarry
quell,v. overcome or allay
querulous,s habitually complaining
quip,"n a witty saying
n witty remark
v make jokes or quips"
quirk,"n. a narrow groove beside a beading
v. twist or curve abruptly"
quiver,"n. case for holding arrows
v. shake with fast, tremulous movements"
rabid,a. of or infected by rabies
raconteur,n a person skilled in telling anecdotes
ramble,n. an aimless amble on a winding course
ramification,n. an arrangement of branching parts
rampant,"s. unrestrained and violent
s. rearing on left hind leg with forelegs elevated and head usually in profile
s. (of a plant) having a lush and unchecked growth"
ramshackle,s in deplorable condition
rancid,s. (used of decomposing oils or fats) having a rank smell or taste usually due to a chemical change or decomposition
rancor,n a feeling of deep and bitter anger and ill-will
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
rapacious,s. excessively greedy and grasping
rapport,n. a relationship of mutual understanding or trust and agreement between people
ratify,"v approve and express assent, responsibility, or obligation"
ratiocination,n. logical and methodical reasoning
rationale,n. (law) an explanation of the fundamental reasons (especially an explanation of the working of some device in terms of laws of nature)
raucous,"s. unpleasantly loud and harsh
s. disturbing the public peace; loud and rough"
rave,"n. a dance party that lasts all night and electronically synthesized music is played
n. an extravagantly enthusiastic review
v. participate in an all-night techno dance party
v. praise enthusiastically"
raze,v tear down so as to make flat with the ground
reactionary,"n. an extreme conservative; an opponent of progress or liberalism
s. extremely conservative"
realm,"n a domain in which something is dominant
n the domain ruled by a king or queen
n a knowledge domain that you are interested in or are communicating about"
reaper,"n someone who helps to gather the harvest
n Death personified as an old man or a skeleton with a scythe
n farm machine that gathers a food crop from the fields"
rebuke,n. an act or expression of criticism and censure
rebuttal,n. the speech act of refuting by offering a contrary contention or argument
recalcitrant,s. marked by stubborn resistance to authority
recant,"v formally reject or disavow a formerly held belief, usually under pressure"
recapitulate,"v. summarize briefly
v. repeat stages of evolutionary development during the embryonic phase of life"
recast,"v. cast again, in a different role
v. cast again
v. cast or model anew"
receptive,"s. open to arguments, ideas, or change
a. ready or willing to receive favorably
s. able to absorb liquid (not repellent)"
reciprocal,"n. something (a term or expression or concept) that has a reciprocal relation to something else
a. concerning each of two or more persons or things; especially given or done in return
s. of or relating to the multiplicative inverse of a quantity or function"
recrimination,n. mutual accusations
rectify,"v. math: determine the length of
v. set straight or right
v. convert into direct current"
rectitude,n righteousness as a consequence of being honorable and honest
redress,n. act of correcting an error or a fault or an evil
redundant,"s more than is needed, desired, or required
s repetition of same sense in different words"
reek,"v. smell badly and offensively
v. be wet with sweat or blood, as of one's face
v. give off smoke, fumes, warm vapour, steam, etc."
refraction,n. the change in direction of a propagating wave (light or sound) when passing from one medium to another
refrain,"n. the part of a song where a soloist is joined by a group of singers
v. resist doing something"
refurbish,v. make brighter and prettier
refute,"v. overthrow by argument, evidence, or proof
v. prove to be false or incorrect"
regime,"n the organization that is the governing authority of a political unit
n (medicine) a systematic plan for therapy (often including diet)"
rehabilitate,"v. help to readapt, as to a former state of health or good repute
v. reinstall politically
v. restore to a state of good condition or operation"
reimburse,v. pay back for some expense incurred
reiterate,"v to say, state, or perform again"
rejoinder,"n. a quick reply to a question or remark (especially a witty or critical one)
n. (law) a pleading made by a defendant in response to the plaintiff's replication"
rejuvenate,"v. cause (a stream or river) to erode, as by an uplift of the land
v. develop youthful topographical features
v. make younger or more youthful
v. become young again"
relegate,"v. refer to another person for decision or judgment
v. assign to a class or kind"
relic,n. an antiquity that has survived from the distant past
relinquish,"v part with a possession or right
v do without or cease to hold or adhere to
v turn away from; give up
v release, as from one's grip"
relish,"n. spicy or savory condiment
n. the taste experience when a savoury condiment is taken into the mouth"
remediable,a. capable of being remedied or redressed
reminiscence,n. a mental impression retained and recalled from the past
remiss,s failing in what duty requires
remnant,"n a small part or portion that remains after the main part no longer exists
n a piece of cloth that is left over after the rest has been used or sold"
remonstrance,n the act of expressing earnest opposition or protest
remorse,n a feeling of deep regret (usually for some misdeed)
remunerative,"s for which money is paid
s producing a sizeable profit"
rend,v. tear or be torn violently
render,"n. a substance similar to stucco but exclusively applied to masonry walls
v. cause to become
v. give or supply
v. pass down"
rendition,"n. a performance of a musical composition or a dramatic role etc.
n. handing over prisoners to countries where torture is allowed
n. the act of interpreting something as expressed in an artistic performance"
renegade,n. someone who rebels and becomes an outlaw
renounce,"v give up, such as power, as of monarchs and emperors, or duties and obligations
v leave (a job, post, or position) voluntarily
v turn away from; give up
v cast off"
renown,n the state or quality of being widely honored and acclaimed
rent,"n. a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service
n. the act of rending or ripping or splitting something
v. let for money
v. hold under a lease or rental agreement; of goods and services"
reparable,a. capable of being repaired or rectified
repel,"v. cause to move back by force or influence
v. be repellent to; cause aversion in
v. force or drive back"
repellent,"n. a compound with which fabrics are treated to repel water
n. a chemical substance that repels animals
n. the power to repel
s. incapable of absorbing or mixing with"
repercussion,n. a remote or indirect consequence of some action
repertoire,"n. a collection of works (plays, songs, operas, ballets) that an artist or company can perform and do perform for short intervals on a regular schedule"
replenish,v. fill something that had previously been emptied
replete,"v fill to satisfaction
s filled to satisfaction with food or drink
s (followed by `with')deeply filled or permeated"
repository,"n. a person to whom a secret is entrusted
n. a burial vault (usually for some famous person)"
reprehensible,s bringing or deserving severe rebuke or censure
repress,"v. put down by force or intimidation
v. block the action of"
reprieve,"n. a (temporary) relief from harm or discomfort
n. a warrant granting postponement (usually to postpone the execution of the death sentence)
n. the act of reprieving; postponing or remitting punishment
v. postpone the punishment of a convicted criminal, such as an execution"
reprimand,v. rebuke formally
reproach,"n. a mild rebuke or criticism
n. disgrace or shame
v. express criticism towards"
reprobate,"n. a person without moral scruples
v. reject (documents) as invalid
v. abandon to eternal damnation"
repudiate,"v. refuse to acknowledge, ratify, or recognize as valid
v. refuse to recognize or pay
v. reject as untrue, unfounded, or unjust"
repugnant,s offensive to the mind
repulsion,"n. the force by which bodies repel one another
n. the act of repulsing or repelling an attack; a successful defensive stand"
reputable,a. having a good reputation
repute,n. the state of being held in high esteem and honor
requiem,"n. a musical setting for a Mass celebrating the dead
n. a Mass celebrated for the dead"
requisite,"n anything indispensable
s necessary for relief or supply"
rescind,v cancel officially
resentment,n. a feeling of deep and bitter anger and ill-will
reserve,"n. something kept back or saved for future use or a special purpose
n. (medicine) potential capacity to respond in order to maintain vital functions
n. the trait of being uncommunicative; not volunteering anything more than necessary
v. hold back or set aside, especially for future use or contingency"
residue,n. matter that remains after something has been removed
resigned,"v leave (a job, post, or position) voluntarily
v give up or retire from a position
v part with a possession or right
v accept as inevitable"
resilient,"s. recovering readily from adversity, depression, or the like"
resolution,"n. a formal expression by a meeting; agreed to by a vote
n. finding a solution to a problem
n. analysis into clear-cut components
n. (computer science) the number of pixels per square inch on a computer-generated display; the greater the resolution, the better the picture"
resolve,"v. make clearly visible
v. find the solution"
resonant,s. characterized by resonance
respite,"n. a pause from doing something (as work)
n. a pause for relaxation"
restitution,"n. the act of restoring something to its original state
n. getting something back again"
restive,s. impatient especially under restriction or delay
restraint,"n. the act of controlling by restraining someone or something
n. discipline in personal and social activities
n. a rule or condition that limits freedom
n. a device that retards something's motion"
resurge,v. rise again
retain,"v. hold back within
v. allow to remain in a place or position or maintain a property or feature
v. secure and keep for possible future use or application
v. keep in one's mind"
retentive,"a. good at remembering
a. having the capacity to retain something
s. having the power, capacity, or quality of retaining water"
reticence,n the trait of being uncommunicative; not volunteering anything more than necessary
retinue,n the group following and attending to some important person
retiring,s. not arrogant or presuming
retort,"n. a vessel where substances are distilled or decomposed by heat
v. answer back"
retract,v. use a surgical instrument to hold open (the edges of a wound or an organ)
retrieve,"v. go for and bring back
v. run after, pick up, and bring to the master"
retroactive,a. descriptive of any event or stimulus or process that has an effect on the effects of events or stimuli or process that occurred previously
retrograde,"v. move backward in an orbit, of celestial bodies
v. move in a direction contrary to the usual one
v. move back"
retrospective,"n. an exhibition of a representative selection of an artist's life work
a. concerned with or related to the past"
revelry,n unrestrained merrymaking
reverent,a. feeling or showing profound respect or veneration
revert,"v. go back to a previous state
v. undergo reversion, as in a mutation"
revile,v spread negative information about
revoke,"n. the mistake of not following suit when able to do so
v. fail to follow suit when able and required to do so
v. cancel officially"
revulsion,n intense aversion
rhapsodize,"v. recite a rhapsody
v. say (something) with great enthusiasm"
rhetorical,"a. of or relating to rhetoric
a. given to rhetoric, emphasizing style at the expense of thought"
rigid,"s. incapable of or resistant to bending
s. incapable of compromise or flexibility
a. designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure"
rigor,"n something hard to endure
n the quality of being valid and rigorous
n excessive sternness"
rigorous,"s. rigidly accurate; allowing no deviation from a standard
s. demanding strict attention to rules and procedures"
rile,"v cause annoyance in; disturb, especially by minor irritations
v make turbid by stirring up the sediments of"
riveting,"v direct one's attention on something
v fasten with a rivet or rivets
v hold (someone's attention)
s capable of arousing and holding the attention"
rivulet,n. a small stream
robust,"a. sturdy and strong in form, constitution, or construction
s. strong enough to withstand or overcome intellectual challenges or adversity
s. rough and crude"
rudimentary,s. being in the earliest stages of development
rue,"n. European strong-scented perennial herb with grey-green bitter-tasting leaves; an irritant similar to poison ivy
n. leaves sometimes used for flavoring fruit or claret cup but should be used with great caution: can cause irritation like poison ivy
n. (French) a street or road in France"
ruffian,n a cruel and brutal fellow
ruminate,v. chew the cuds
rummage,"n. a jumble of things to be given away
v. search haphazardly"
ruse,n. a deceptive maneuver (especially to avoid capture)
rustic,n. an unsophisticated country person
saboteur,n. someone who commits sabotage or deliberately causes wrecks
sacrosanct,s must be kept sacred
sagacious,s. skillful in statecraft or management
salacious,"s characterized by lust
s suggestive of or tending to moral looseness"
salutary,s tending to promote physical well-being; beneficial to health
salvage,"n. property or goods saved from damage or destruction
n. the act of saving goods or property that were in danger of damage or destruction
n. the act of rescuing a ship or its crew or its cargo from a shipwreck or a fire
v. save from ruin, destruction, or harm"
salvo,"n. an outburst resembling the discharge of firearms or the release of bombs
n. a sudden outburst of cheers"
sanctimonious,s excessively or hypocritically pious
sanction,"n. formal and explicit approval
n. a mechanism of social control for enforcing a society's standards
n. the act of final authorization
v. give authority or permission to"
sarcasm,n. witty language used to convey insults or scorn
sardonic,s. disdainfully or ironically humorous; scornful and mocking
sate,v fill to satisfaction
satirical,s. exposing human folly to ridicule
saturate,"v. cause (a chemical compound, vapour, solution, magnetic material) to unite with the greatest possible amount of another substance"
scabbard,n. a sheath for a sword or dagger or bayonet
scad,n. any of a number of fishes of the family Carangidae
scavenge,"v. clean refuse from
v. feed on carrion or refuse
v. remove unwanted substances from"
scenario,"n. an outline or synopsis of a play (or, by extension, of a literary work)
n. a setting for a work of art or literature
n. a postulated sequence of possible events"
schism,"n. division of a group into opposing factions
n. the formal separation of a church into two churches or the withdrawal of one group over doctrinal differences"
scintillate,"v. give off
v. physics: fluoresce momentarily when struck by a charged particle or high-energy photon"
scoff,v. treat with contemptuous disregard
scruple,"n. a unit of apothecary weight equal to 20 grains
n. uneasiness about the fitness of an action
n. an ethical or moral principle that inhibits action"
scrupulous,a. having scruples; arising from a sense of right and wrong; principled
scrutinize,"v to look at critically or searchingly, or in minute detail
v examine carefully for accuracy with the intent of verification"
scuttle,n. container for coal; shaped to permit pouring the coal onto the fire
scuttle,n. container for coal; shaped to permit pouring the coal onto the fire
seasoned,"a. aged or processed
s. rendered competent through trial and experience"
secession,"n. an Austrian school of art and architecture parallel to the French art nouveau in the 1890s
n. the withdrawal of eleven southern states from the Union in 1860 which precipitated the American Civil War
n. formal separation from an alliance or federation"
seclusion,n. the act of secluding yourself from others
secrete,"v. generate and separate from cells or bodily fluids
v. place out of sight; keep secret"
secular,"a. of or relating to the doctrine that rejects religion and religious considerations
a. of or relating to clergy not bound by monastic vows"
sedate,"v. cause to be calm or quiet as by administering a sedative to
s. characterized by dignity and propriety"
sedition,n. an illegal action inciting resistance to lawful authority and tending to cause the disruption or overthrow of the government
seethe,"v. be in an agitated emotional state
v. foam as if boiling
v. boil vigorously"
seismic,s. subject to or caused by an earthquake or earth vibration
seminary,"n. a private place of education for the young
n. a theological school for training ministers or priests or rabbis"
sensual,s. sexually exciting or gratifying
sententious,s. abounding in or given to pompous or aphoristic moralizing
sentinel,n a person employed to keep watch for some anticipated event
serendipity,n. good luck in making unexpected and fortunate discoveries
serenity,"n a disposition free from stress or emotion
n the absence of mental stress or anxiety"
serrated,"v make saw-toothed or jag the edge of
s notched like a saw with teeth pointing toward the apex"
servile,"a. submissive or fawning in attitude or behavior
s. relating to or involving slaves or appropriate for slaves or servants"
servitude,n. state of subjection to an owner or master or forced labor imposed as punishment
sham,"n something that is a counterfeit; not what it seems to be
n a person who makes deceitful pretenses
v make a pretence of
v make believe with the intent to deceive
s adopted in order to deceive"
shambles,n. a condition of great disorder
shoddy,n. reclaimed wool fiber
shrewd,"s marked by practical hardheaded intelligence
s used of persons"
shroud,"n. a line that suspends the harness from the canopy of a parachute
v. cover as if with a shroud
v. form a cover like a shroud
v. wrap in a shroud"
simper,n. a silly self-conscious smile
simplistic,s. characterized by extreme and often misleading simplicity
simulate,v. make a pretence of
singular,"n. the form of a word that is used to denote a singleton
s. being a single and separate person or thing
a. composed of one member, set, or kind
a. grammatical number category referring to a single item or unit"
sinister,s. on or starting from the wearer's left
sinuous,s curved or curving in and out
slacken,"v. become looser or slack
v. make slack as by lessening tension or firmness"
slander,n. words falsely spoken that damage the reputation of another
slapdash,r. in a careless or reckless manner
slight,"v. pay no attention to, disrespect"
slipshod,s marked by great carelessness
slither,v. to pass or move unobtrusively or smoothly
slothful,s disinclined to work or exertion
slough,"n. a hollow filled with mud
n. a stagnant swamp (especially as part of a bayou)
n. any outer covering that can be shed or cast off (such as the cast-off skin of a snake)"
slovenly,s negligent of neatness especially in dress and person; habitually dirty and unkempt
sluggard,n. an idle slothful person
sluggish,s. moving slowly
snicker,"n. a disrespectful laugh
v. laugh quietly"
snivel,"n. whining in a tearful manner
v. talk in a tearful manner
v. cry or whine with snuffling"
sodden,s. wet through and through; thoroughly wet
sojourn,"n. a temporary stay (e.g., as a guest)
v. spend a certain length of time; reside temporarily"
solace,n. comfort in disappointment or misery
solder,"n. an alloy (usually of lead and tin) used when melted to join two metal surfaces
v. join or fuse with solder"
solecism,n a socially awkward or tactless act
solemnity,"n a trait of dignified seriousness
n a solemn and dignified feeling"
solicit,"v. make a solicitation or entreaty for something; request urgently or persistently
v. incite, move, or persuade to some act of lawlessness or insubordination
v. make a solicitation or petition for something desired"
solitude,"n. a state of social isolation
n. the state or situation of being alone
n. a solitary place"
soluble,"a. (of a substance) capable of being dissolved in some solvent (usually water)
a. susceptible of solution or of being solved or explained"
solvent,"n. a liquid substance capable of dissolving other substances
a. capable of meeting financial obligations"
somber,s. grave or even gloomy in character
somnolent,s inclined to or marked by drowsiness
sonorous,s full and loud and deep
sophisticated,"a. having or appealing to those having worldly knowledge and refinement and savoir-faire
s. intellectually appealing"
sophistry,n a deliberately invalid argument displaying ingenuity in reasoning in the hope of deceiving someone
sophomoric,a. Alt. of Sophomorical
soporific,"n. a drug that induces sleep
s. sleep inducing"
sovereign,"n. a nation's ruler or head of state usually by hereditary right
s. greatest in status or authority or power"
sparse,s. not dense
spate,"n (often followed by `of') a large number or amount or extent
n a sudden forceful flow
n the occurrence of a water flow resulting from sudden rain or melting snow"
spawn,"n. the mass of eggs deposited by fish or amphibians or molluscs
v. lay spawn"
specious,s. plausible but false
spectrum,"n. an ordered array of the components of an emission or wave
n. a broad range of related objects or values or qualities or ideas or activities"
spurious,"s plausible but false
s born out of wedlock
s intended to deceive"
spurn,v reject with contempt
squander,"v spend thoughtlessly; throw away
v spend extravagantly"
squat,"n. the act of assuming or maintaining a crouching position with the knees bent and the buttocks near the heels
v. sit on one's heels
v. be close to the earth, or be disproportionately wide
v. occupy (a dwelling) illegally"
staccato,"a. (music) marked by or composed of disconnected parts or sounds; cut short crisply
r. separating the notes; in music"
stagnant,s. not growing or changing; without force or vitality
staid,s characterized by dignity and propriety
stalwart,"s. dependable
s. used especially of persons"
stamina,n. enduring strength and energy
stanch,v stop the flow of a liquid
stanza,n. a fixed number of lines of verse forming a unit of a poem
static,"n. a crackling or hissing noise caused by electrical interference
n. angry criticism
s. showing little if any change"
steadfast,s. firm and dependable especially in loyalty
stealth,n. avoiding detection by moving carefully
steep,"n. a steep place (as on a hill)
v. devote (oneself) fully to
v. let sit in a liquid to extract a flavor or to cleanse
a. having a sharp inclination"
stellar,a. being or relating to or resembling or emanating from stars
stem,"n. the tube of a tobacco pipe
v. grow out of, have roots in, originate in
v. cause to point inward
v. stop the flow of a liquid"
stereotype,n. a conventional or formulaic conception or image
stifle,"n. joint between the femur and tibia in a quadruped; corresponds to the human knee
v. smother or suppress"
stilted,s artificially formal
stint,"n. an individual's prescribed share of work
v. supply sparingly and with restricted quantities"
stipend,n. a sum of money allotted on a regular basis; usually for some specific purpose
stipulate,"v. specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement
v. give a guarantee or promise of
v. make an oral contract or agreement in the verbal form of question and answer that is necessary to give it legal force"
stodgy,"s. heavy and starchy and hard to digest
s. excessively conventional and unimaginative and hence dull"
stoic,"n. a member of the ancient Greek school of philosophy founded by Zeno
n. someone who is seemingly indifferent to emotions
s. seeming unaffected by pleasure or pain; impassive"
stoke,v. stir up or tend; of a fire
stolid,s having or revealing little emotion or sensibility; not easily aroused or excited
stratagem,"n a maneuver in a game or conversation
n an elaborate or deceitful scheme contrived to deceive or evade"
stratify,"v. divide society into social classes or castes
v. form layers or strata
v. develop different social levels, classes, or castes"
stratum,n. one of several parallel layers of material arranged one on top of another (such as a layer of tissue or cells in an organism or a layer of sedimentary rock)
strew,"v. spread by scattering (""straw"" is archaic)
v. cover; be dispersed over"
stricture,n. severe criticism
stultify,"v. prove to be of unsound mind or demonstrate someone's incompetence
v. cause to appear foolish"
stupefy,"v make dull or stupid or muddle with drunkenness or infatuation
v be a mystery or bewildering to
v make senseless or dizzy by or as if by a blow"
stupor,"n the feeling of distress and disbelief that you have when something bad happens accidentally
n marginal consciousness"
subdued,s. quieted and brought under control
subjugate,v. make subservient; force to submit or subdue
sublime,"v. vaporize and then condense right back again
v. change or cause to change directly from a solid into a vapor without first melting
s. lifted up or set high"
subliminal,s. below the threshold of conscious perception
submissive,a. inclined or willing to submit to orders or wishes of others or showing such inclination
subordinate,"n. an assistant subject to the authority or control of another
v. rank or order as less important or consider of less value
v. make subordinate, dependent, or subservient
a. lower in rank or importance"
subservient,s. compliant and obedient to authority
subside,"v. wear off or die down
v. sink to a lower level or form a depression
v. sink down or precipitate"
subtlety,n. the quality of being difficult to detect or analyze
subversive,"n a radical supporter of political or social revolution
s in opposition to a civil authority or government"
succumb,v. be fatally overwhelmed
suffragist,n. an advocate of the extension of voting rights (especially to women)
sully,"n. United States painter (born in England) of portraits and historical scenes (1783-1872)
n. French statesman (1560-1641)"
supercilious,s. expressive of contempt
superficial,"a. concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually
a. of, affecting, or being on or near the surface
s. of little substance or significance"
superfluous,"s serving no useful purpose; having no excuse for being
s more than is needed, desired, or required"
superimpose,v. place on top of
supersede,v take the place or move into the position of
supplant,v. take the place or move into the position of
supple,v. make pliant and flexible
supplicate,"v. ask humbly (for something)
v. make a humble, earnest petition
v. ask for humbly or earnestly, as in prayer"
supposition,n. the cognitive process of supposing
suppress,"v. to put down by force or authority
v. put out of one's consciousness
v. reduce the incidence or severity of or stop"
surfeit,"n. the state of being more than full
v. supply or feed to surfeit
v. indulge (one's appetite) to satiety"
surly,s. inclined to anger or bad feelings with overtones of menace
surmise,v. infer from incomplete evidence
surpass,v. be or do something to a greater degree
surreptitious,"s marked by quiet and caution and secrecy; taking pains to avoid being observed
s conducted with or marked by hidden aims or methods"
surrogate,n. someone who takes the place of another person
surveillance,n. close observation of a person or group (usually by the police)
susceptible,"a. (often followed by `of' or `to') yielding readily to or capable of
s. easily impressed emotionally"
sustain,"v. supply with necessities and support
v. admit as valid"
sustenance,n. the act of sustaining life by food or providing a means of subsistence
swagger,"v. act in an arrogant, overly self-assured, or conceited manner"
swarm,n. a group of many things in the air or on the ground
sybarite,n a person addicted to luxury and pleasures of the senses
sycophant,n. a person who tries to please someone in order to gain a personal advantage
symbiosis,n. the relation between two different species of organisms that are interdependent; each gains benefits from the other
symmetry,"n. (mathematics) an attribute of a shape or relation; exact reflection of form on opposite sides of a dividing line or plane
n. balance among the parts of something"
synoptic,"a. presenting a summary or general view of a whole
s. presenting or taking the same point of view; used especially with regard to the first three gospels of the New Testament"
synthesis,"n. the process of producing a chemical compound (usually by the union of simpler chemical compounds)
n. the combination of ideas into a complex whole"
tacit,s implied by or inferred from actions or statements
tactile,s. producing a sensation of touch
taint,"n the state of being contaminated
v place under suspicion or cast doubt upon
v contaminate with a disease or microorganism"
