a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
hot,"a. used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
s. characterized by violent and forceful activity or movement; very intense
a. extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm
s. (color) bold and intense"
hour,"n. a period of time equal to 1/24th of a day
n. clock time
n. a special and memorable period
n. distance measured by the time taken to cover it"
house,"n. a dwelling that serves as living quarters for one or more families
n. the members of a religious community living together
n. the audience gathered together in a theatre or cinema
n. an official assembly having legislative powers"
how,"adv. In what manner or way; by what means or process.
adv. To what degree or extent, number or amount; in what
   proportion; by what measure or quality.
adv. For what reason; from what cause.
adv. In what state, condition, or plight.
adv. By what name, designation, or title.
adv. At what price; how dear."
hungry,a. feeling hunger; feeling a need or desire to eat food
I,n. the 9th letter of the Roman alphabet
ice cream,n frozen dessert containing cream and sugar and flavoring
idea,"n. the content of cognition; the main thing you are thinking about
n. a personal view"
ill,"a. affected by an impairment of normal physical or mental function
s. resulting in suffering or adversity
s. distressing
s. indicating hostility or enmity"
in,"s. holding office
s. directed or bound inward
s. currently fashionable
r. to or toward the inside of"
interesting,a. arousing or holding the attention
it,n the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information
its,n the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information
juice,"n. the liquid part that can be extracted from plant or animal tissue by squeezing or cooking
n. energetic vitality
n. electric current
n. any of several liquids of the body"
jump,"n. a sudden and decisive increase
n. (film) an abrupt transition from one scene to another
n. descent with a parachute
n. the act of jumping; propelling yourself off the ground"
kid,"n. soft smooth leather from the hide of a young goat
n. young goat
v. be silly or tease one another"
kind,"n. a category of things distinguished by some common characteristic or quality
a. having or showing a tender and considerate and helpful nature; used especially of persons and their behavior
s. agreeable, conducive to comfort
s. tolerant and forgiving under provocation"
kitchen,n. a room equipped for preparing meals
kite,"n. a bank check that has been fraudulently altered to increase its face value
n. a bank check drawn on insufficient funds at another bank in order to take advantage of the float
n. plaything consisting of a light frame covered with tissue paper; flown in wind at end of a string
n. any of several small graceful hawks of the family Accipitridae having long pointed wings and feeding on insects and small animals"
know,"n. the fact of being aware of information that is known to few people
v. be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
v. know how to do or perform something
v. be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt"
lake,"n. a body of (usually fresh) water surrounded by land
n. a purplish red pigment prepared from lac or cochineal
n. any of numerous bright translucent organic pigments"
late,"a. being or occurring at an advanced period of time or after a usual or expected time
s. of the immediate past or just previous to the present time
s. having died recently
a. of a later stage in the development of a language or literature; used especially of dead languages"
left,"n. location near or direction toward the left side; i.e. the side to the north when a person or object faces east
n. those who support varying degrees of social or political or economic change designed to promote the public welfare
n. the hand that is on the left side of the body
n. a turn toward the side of the body that is on the north when the person is facing east"
leg,"n. a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
n. a structure in animals that is similar to a human leg and used for locomotion
n. one of the supports for a piece of furniture
n. the limb of an animal used for food"
lesson,"n. a unit of instruction
n. a task assigned for individual study"
let,"n. a serve that strikes the net before falling into the receiver's court; the ball must be served again
v. make it possible through a specific action or lack of action for something to happen
v. actively cause something to happen
v. leave unchanged"
library,"n. a room where books are kept
n. a collection of literary documents or records kept for reference or borrowing
n. a depository built to contain books and other materials for reading and study
n. (computing) a collection of standard programs and subroutines that are stored and available for immediate use"
light,"n. (physics) electromagnetic radiation that can produce a visual sensation
n. any device serving as a source of illumination
n. a particular perspective or aspect of a situation
n. an illuminated area"
like,"n. a similar kind
n. a kind of person
v. find enjoyable or agreeable
v. be fond of"
listen,"v. hear with intention
v. listen and pay attention"
little,"n. a small amount or duration
a. (quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some
s. (of children and animals) young, immature
s. (of a voice) faint"
live,"v. lead a certain kind of life; live in a certain style
v. pursue a positive and satisfying existence
a. actually being performed at the time of hearing or viewing
a. exerting force or containing energy"
long,"a. primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified
a. primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified
s. of relatively great height
a. holding securities or commodities in expectation of a rise in prices"
look,"n. the act of directing the eyes toward something and perceiving it visually
n. physical appearance
v. perceive with attention; direct one's gaze towards
v. give a certain impression or have a certain outward aspect"
love,"n. a strong positive emotion of regard and affection
n. any object of warm affection or devotion; 
n. a deep feeling of sexual desire and attraction
n. a score of zero in tennis or squash"
lunch,"n. a midday meal
v. take the midday meal
v. provide a midday meal for"
make,"v. engage in
v. give certain properties to something
v. make or cause to be or to become
v. compel or make somebody or something to act in a certain way"
man,"n. an adult person who is male (as opposed to a woman)
n. the generic use of the word to refer to any human being
n. a male subordinate
n. an adult male person who has a manly character (virile and courageous competent)"
men,"n the force of workers available
n an adult person who is male (as opposed to a woman)
n someone who serves in the armed forces; a member of a military force
n the generic use of the word to refer to any human being
n any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage
n a male subordinate
n an adult male person who has a manly character (virile and courageous competent)
n a manservant who acts as a personal attendant to his employer
n a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular woman
n one of the British Isles in the Irish Sea
n game equipment consisting of an object used in playing certain board games
n all of the living human inhabitants of the earth"
many,a. a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number
map,"n. a diagrammatic representation of the earth's surface (or part of it)
v. make a map of; show or establish the features of details of
v. explore or survey for the purpose of making a map
v. locate within a specific region of a chromosome in relation to known DNA or gene sequences"
maths,"n a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
n a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement"
math,n a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
me,n a state in New England
meet,"n. a meeting at which a number of athletic contests are held
v. come together
v. get together socially or for a specific purpose
v. fill or meet a want or need"
milk,"n. a white nutritious liquid secreted by mammals and used as food by human beings
n. produced by mammary glands of female mammals for feeding their young
n. a river that rises in the Rockies in northwestern Montana and flows eastward to become a tributary of the Missouri River
n. any of several nutritive milklike liquids"
minute,"n. a unit of time equal to 60 seconds or 1/60th of an hour
n. a unit of angular distance equal to a 60th of a degree
n. a short note
s. characterized by painstaking care and detailed examination"
Miss,"n. a failure to hit (or meet or find etc)
n. a form of address for an unmarried woman
v. fail to perceive or to catch with the senses or the mind
v. feel or suffer from the lack of"
monkey,n. any of various long-tailed primates (excluding the prosimians)
month,n. a time unit of approximately 30 days
moon,"n. the natural satellite of the Earth
n. any object resembling a moon
n. United States religious leader (born in Korea) who founded the Unification Church in 1954; was found guilty of conspiracy to evade taxes (born in 1920)
n. any natural satellite of a planet"
morning,n. the time period between dawn and noon
mother,"n. a woman who has given birth to a child (also used as a term of address to your mother)
n. a stringy slimy substance consisting of yeast cells and bacteria; forms during fermentation and is added to cider or wine to produce vinegar
n. a term of address for an elderly woman
n. a term of address for a mother superior"
mouth,"n. the opening through which food is taken in and vocalizations emerge
n. the externally visible part of the oral cavity on the face and the system of organs surrounding the opening
n. an opening that resembles a mouth (as of a cave or a gorge)
n. the point where a stream issues into a larger body of water"
Mr,n a form of address for a man
Mrs,n. a form of address for a married woman
Ms,n. a form of address for a woman
much,"n. a great amount or extent
a. (quantifier used with mass nouns) great in quantity or degree or extent
r. to a great degree or extent
r. very"
mum,"n. secrecy
s. failing to speak or communicate etc when expected to"
mom,n informal terms for a mother
music,"n. an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
n. any agreeable (pleasing and harmonious) sounds
n. musical activity (singing or whistling etc.)
n. (music) the sounds produced by singers or musical instruments (or reproductions of such sounds)"
my,"a. Of or belonging to me; -- used always attributively; as, my
   body; my book; -- mine is used in the predicate; as, the book is mine.
   See Mine."
name,"n. a language unit by which a person or thing is known
n. a person's reputation
n. family based on male descent
n. a well-known or notable person"
near,"a. not far distant in time or space or degree or circumstances
s. being on the left side
s. closely resembling the genuine article
r. near in time or place or relationship"
new,"a. not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
s. having no previous example or precedent or parallel
s. other than the former one(s); different
a. unaffected by use or exposure"
next,r. at the time or occasion immediately following
nice,"n. a city in southeastern France on the Mediterranean; the leading resort on the French Riviera
a. pleasant or pleasing or agreeable in nature or appearance
s. done with delicacy and skill"
night,"n. the time after sunset and before sunrise while it is dark outside
n. a period of ignorance or backwardness or gloom
n. the period spent sleeping
n. the dark part of the diurnal cycle considered a time unit"
no,"n. a negative
a. quantifier; used with either mass nouns or plural count nouns for indicating a complete or almost complete lack or zero quantity of
r. referring to the degree to which a certain quality is present
r. not in any degree or manner; not at all"
noodle,n. a ribbonlike strip of pasta
nose,"n. the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals
n. a front that resembles a human nose (especially the front of an aircraft)
n. the front or forward projection of a tool or weapon
n. a small distance"
not,r. negation of a word or group of words
now,"n. the momentary present
r. in the historical present; at this point in the narration of a series of past events
r. used to preface a command or reproof or request
r. at the present moment"
nurse,"n. one skilled in caring for young children or the sick (usually under the supervision of a physician)
v. try to cure by special care of treatment, of an illness or injury
v. serve as a nurse; care for sick or handicapped people
v. treat carefully"
of,"prep. In a general sense, from, or out from; proceeding from;
   belonging to; relating to; concerning; -- used in a variety of
   applications; as:
prep. Denoting that from which anything proceeds; indicating
   origin, source, descent, and the like; as, he is of a race of kings; he
   is of noble blood.
prep. Denoting possession or ownership, or the relation of subject
   to attribute; as, the apartment of the consul: the power of the king; a
   man of courage; the gate of heaven.
prep. Denoting the material of which anything is composed, or that
   which it contains; as, a throne of gold; a sword of steel; a wreath of
   mist; a cup of water.
prep. Denoting part of an aggregate or whole; belonging to a
   number or quantity mentioned; out of; from amongst; as, of this little
   he had some to spare; some of the mines were unproductive; most of the
   company.
prep. Denoting that by which a person or thing is actuated or
   impelled; also, the source of a purpose or action; as, they went of
   their own will; no body can move of itself; he did it of necessity.
prep. Denoting reference to a thing; about; concerning; relating
   to; as, to boast of one's achievements.
prep. Denoting nearness or distance, either in space or time;
   from; as, within a league of the town; within an hour of the appointed
   time.
prep. Denoting identity or equivalence; -- used with a name or
   appellation, and equivalent to the relation of apposition; as, the
   continent of America; the city of Rome; the Island of Cuba.
prep. Denoting the agent, or person by whom, or thing by which,
   anything is, or is done; by.
prep. Denoting relation to place or time; belonging to, or
   connected with; as, men of Athens; the people of the Middle Ages; in
   the days of Herod.
prep. Denoting passage from one state to another; from.
prep. During; in the course of."
often,r. in many cases or instances
old,"n. past times (especially in the phrase `in days of old')
a. (used especially of persons) having lived for a relatively long time or attained a specific age
a. of long duration; not new
s. (used for emphasis) very familiar"
on,"a. in operation or operational
a. (of events) planned or scheduled
r. indicates continuity or persistence or concentration
r. in a state required for something to function or be effective"
open,"n. a clear or unobstructed space or expanse of land or water
n. a tournament in which both professionals and amateurs may play
n. information that has become public
v. cause to open or to become open"
or,"n a state in northwestern United States on the Pacific
n a room in a hospital equipped for the performance of surgical operations"
orange,"n. round yellow to orange fruit of any of several citrus trees
n. orange color or pigment; any of a range of colors between red and yellow
n. any citrus tree bearing oranges
n. any pigment producing the orange color"
our,"pl.  of I
possessive pron. Of or pertaining to us; belonging to us; as, our
   country; our rights; our troops; our endeavors. See I."
panda,"n large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae
n reddish-brown Old World raccoon-like carnivore; in some classifications considered unrelated to the giant pandas"
parent,"n. a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian
n. an organism (plant or animal) from which younger ones are obtained"
park,"n. a large area of land preserved in its natural state as public property
n. a piece of open land for recreational use in an urban area
n. Scottish explorer in Africa (1771-1806)
n. a gear position that acts as a parking brake"
party,"n. an organization to gain political power
n. a group of people gathered together for pleasure
n. a band of people associated temporarily in some activity
n. an occasion on which people can assemble for social interaction and entertainment"
PE,n. the 17th letter of the Hebrew alphabet
physical education,none
pen,"n. a writing implement with a point from which ink flows
n. an enclosure for confining livestock
n. female swan"
pencil,"n. a thin cylindrical pointed writing implement; a rod of marking substance encased in wood
n. graphite (or a similar substance) used in such a way as to be a medium of communication
n. a figure formed by a set of straight lines or light rays meeting at a point
n. a cosmetic in a long thin stick; designed to be applied to a particular part of the face"
people,"n. (plural) any group of human beings (men or women or children) collectively
n. members of a family line
v. fill with people
v. furnish with people"
photo,n a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
picture,"n. a visual representation (of an object or scene or person or abstraction) produced on a surface
n. a situation treated as an observable object
n. illustrations used to decorate or explain a text
n. a typical example of some state or quality"
pig,"n. a crude block of metal (lead or iron) poured from a smelting furnace
v. live like a pig, in squalor"
place,"n. any area set aside for a particular purpose
n. an abstract mental location
n. a general vicinity
n. a particular situation"
plane,"n. (mathematics) an unbounded two-dimensional shape
n. a level of existence or development
n. a power tool for smoothing or shaping wood
n. a carpenter's hand tool with an adjustable blade for smoothing or shaping wood"
plant,"n. buildings for carrying on industrial labor
n. (botany) a living organism lacking the power of locomotion
n. an actor situated in the audience whose acting is rehearsed but seems spontaneous to the audience
n. something planted secretly for discovery by another"
play,"n. a dramatic work intended for performance by actors on a stage
n. a theatrical performance of a drama
n. a preset plan of action in team sports
n. a state in which action is feasible"
playground,n. yard consisting of an outdoor area for children's play
please,"v. give pleasure to or be pleasing to
v. be the will of or have the will (to)
v. give satisfaction
r. used in polite request"
police,n. the force of policemen and officers
potato,"n. an edible tuber native to South America; a staple food of Ireland
n. annual native to South America having underground stolons bearing edible starchy tubers; widely cultivated as a garden vegetable; vines are poisonous"
pupil,n. the contractile aperture in the center of the iris of the eye; resembles a large black dot
put,"v. put into a certain place or abstract location
v. cause to be in a certain state; cause to be in a certain relation
v. attribute or give
v. cause (someone) to undergo something"
rain,"n. water falling in drops from vapor condensed in the atmosphere
n. drops of fresh water that fall as precipitation from clouds
n. anything happening rapidly or in quick successive
v. precipitate as rain"
read,"n. something that is read
v. interpret something that is written or printed
v. have or contain a certain wording or form
v. look at, interpret, and say out loud something that is written or printed"
red,"n. red color or pigment; the chromatic color resembling the hue of blood
n. a tributary of the Mississippi River that flows eastward from Texas along the southern boundary of Oklahoma and through Louisiana
s. of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies"
rice,"n. grains used as food either unpolished or more often polished
n. annual or perennial rhizomatous marsh grasses; seed used for food; straw used for paper
n. English lyricist who frequently worked with Andrew Lloyd Webber (born in 1944)
n. United States playwright (1892-1967)"
right,"n. an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away""
n. location near or direction toward the right side; i.e. the side to the south when a person or object faces east
n. those who support political or social or economic conservatism; those who believe that things are better left unchanged
n. the hand that is on the right side of the body"
river,n. a large natural stream of water (larger than a creek)
room,"n. an area within a building enclosed by walls and floor and ceiling
n. space for movement
n. opportunity for
n. the people who are present in a room"
ruler,n. a person who rules or commands
run,"n. a score in baseball made by a runner touching all four bases safely
n. (American football) a play in which a player attempts to carry the ball through or past the opposing team
n. a regular trip
n. the act of running; traveling on foot at a fast pace"
sad,"a. experiencing or showing sorrow or unhappiness
s. of things that make you feel sad"
say,"n. the chance to speak
v. communicate or express nonverbally
v. utter aloud
v. state as one's opinion or judgement; declare"
school,"n. an educational institution
n. a building where young people receive education
n. the process of being formally educated at a school
n. a body of creative artists or writers or thinkers linked by a similar style or by similar teachers"
schoolbag,n. a bag for carrying school books and supplies
science,n. a particular branch of scientific knowledge
season,"n. a period of the year marked by special events or activities in some field
n. one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions
n. a recurrent time marked by major holidays
v. lend flavor to"
see,"n. the seat within a bishop's diocese where his cathedral is located
v. perceive by sight or have the power to perceive by sight
v. deem to be
v. be careful or certain to do something; make certain of something"
she,"obj. This or that female; the woman understood or referred to;
   the animal of the female sex, or object personified as feminine, which
   was spoken of.
obj. A woman; a female; -- used substantively."
sheep,"n. woolly usually horned ruminant mammal related to the goat
n. a timid defenseless simpleton who is readily preyed upon
n. a docile and vulnerable person who would rather follow than make an independent decision"
ship,"n. a vessel that carries passengers or freight
v. hire for work on a ship
v. travel by ship
v. place on board a ship"
shirt,"n. a garment worn on the upper half of the body
v. put a shirt on"
shoe,"n. footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
n. (card games) a case from which playing cards are dealt one at a time
v. furnish with shoes"
shop,"n. a mercantile establishment for the retail sale of goods or services
v. do one's shopping
v. shop around; not necessarily buying"
short,"n. the location on a baseball field where the shortstop is stationed
a. primarily temporal sense; indicating or being or seeming to be limited in duration
a. (primarily spatial sense) having little length or lacking in length
a. low in stature; not tall"
shorts,"n trousers that end at or above the knee
n underpants worn by men
n the location on a baseball field where the shortstop is stationed
n accidental contact between two points in an electric circuit that have a potential difference
n the fielding position of the player on a baseball team who is stationed between second and third base
v cheat someone by not returning him enough money
v create a short circuit in"
sing,"v. deliver by singing
v. produce tones with the voice
v. to make melodious sounds"
sister,"n. a female person who has the same parents as another person
n. (Roman Catholic Church) a title given to a nun (and used as a form of address)
n. a female person who is a fellow member of a sorority or labor union or other group"
sit,"v. be seated
v. be around, often idly or without specific purpose
v. be in session
v. be located or situated somewhere"
skirt,"n. cloth covering that forms the part of a garment below the waist
n. a garment hanging from the waist; worn mainly by girls and women
v. pass around or about; move along the border
v. form the edge of"
sleep,"n. a natural and periodic state of rest during which consciousness of the world is suspended
n. a torpid state resembling deep sleep
n. a period of time spent sleeping
v. be asleep"
slow,"v. become slow or slower
v. cause to proceed more slowly
a. not moving quickly; taking a comparatively long time
a. at a slow tempo"
small,"n. the slender part of the back
n. a garment size for a small person
a. limited or below average in number or quantity or magnitude or extent
s. slight or limited; especially in degree or intensity or scope"
snow,"n. precipitation falling from clouds in the form of ice crystals
n. a layer of snowflakes (white crystals of frozen water) covering the ground
n. English writer of novels about moral dilemmas in academe (1905-1980)
v. fall as snow"
sock,"n. hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee
v. hit hard"
some,"a. quantifier; used with either mass nouns or plural count nouns to indicate an unspecified number or quantity
s. relatively much but unspecified in amount or extent
s. relatively many but unspecified in number
s. remarkable"
sometimes,"r. on certain occasions or in certain cases but not always; at other times for six months"""
song,"n. a short musical composition with words
n. a distinctive or characteristic sound
n. the act of singing
n. a very small sum"
sorry,"a feeling or expressing regret or sorrow or a sense of loss over something done or undone
s bad; unfortunate
s without merit
s causing dejection"
soup,"n. liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
n. any composition having a consistency suggestive of soup
n. an unfortunate situation
v. dope (a racehorse)"
speak,"v. use language
v. make a characteristic or natural sound"
sport,"n. an active diversion requiring physical exertion and competition
n. the occupation of athletes who compete for pay
n. (Maine colloquial) a temporary summer resident of Maine
n. a person known for the way she (or he) behaves when teased or defeated or subjected to trying circumstances"
spring,"n. the season of growth
n. a metal elastic device that returns to its shape or position when pushed or pulled or pressed
n. a natural flow of ground water
n. a point at which water issues forth"
stand,"n. the position where a thing or person stands
n. a growth of similar plants (usually trees) in a particular area
n. a small table for holding articles of various kinds
n. an interruption of normal activity"
star,"n. (astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior
n. any celestial body visible (as a point of light) from the Earth at night
n. an actor who plays a principal role
n. a plane figure with 5 or more points; often used as an emblem"
stop,"n. the event of something ending
n. the act of stopping something
n. a brief stay in the course of a journey
n. a spot where something halts or pauses"
story,n. a piece of fiction that narrates a chain of related events
street,"n. a thoroughfare (usually including sidewalks) that is lined with buildings
n. the part of a thoroughfare between the sidewalks; the part of the thoroughfare on which vehicles travel
n. the streets of a city viewed as a depressed environment in which there is poverty and crime and prostitution and dereliction
n. a situation offering opportunities"
strong,"a. having strength or power greater than average or expected
s. not faint or feeble
s. of verbs not having standard (or regular) inflection
s. freshly made or left"
study,"n. applying the mind to learning and understanding a subject (especially by reading)
n. a state of deep mental absorption
n. a room used for reading and writing and studying
n. someone who memorizes quickly and easily (as the lines for a part in a play)"
subject,"n. the subject matter of a conversation or discussion
n. something (a person or object or scene) selected by an artist or photographer for graphic representation
n. (grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated
n. a person who is subjected to experimental or other observational procedures; someone who is an object of investigation"
summer,"n. the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox
n. the period of finest development, happiness, or beauty
v. spend the summer"
sun,"n. the star that is the source of light and heat for the planets in the solar system
n. a person considered as a source of warmth or energy or glory etc
n. any star around which a planetary system revolves
v. expose one's body to the sun"
sunny,s bright and pleasant; promoting a feeling of cheer
supermarket,n. a large self-service grocery store selling groceries and dairy products and household goods
sweater,n. a crocheted or knitted garment covering the upper part of the body
swim,"v. travel through water
v. be dizzy or giddy
v. be covered with or submerged in a liquid
v. move as if gliding through water"
table,"n. a set of data arranged in rows and columns
n. a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs
n. a piece of furniture with tableware for a meal laid out on it
n. a company of people assembled at a table for a meal or game"
take,"n. the act of photographing a scene or part of a scene without interruption
v. carry out
v. require (time or space)
v. get into one's hands, take physically"
talk,"n. an exchange of ideas via conversation
n. discussion; (`talk about' is a less formal alternative for `discussion of')
n. the act of giving a talk to an audience
n. idle gossip or rumor"
tall,"n. a garment size for a tall person
a. great in vertical dimension; high in stature
s. impressively difficult"
taxi,"v. travel slowly
v. ride in a taxicab"
tea,"n. a beverage made by steeping tea leaves in water
n. a light midafternoon meal of tea and sandwiches or cakes
n. a tropical evergreen shrub or small tree extensively cultivated in e.g. China and Japan and India; source of tea leaves
n. a reception or party at which tea is served"
teacher,"n. a person whose occupation is teaching
n. a personified abstraction that teaches"
tell,"n. a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap)
v. let something be known
v. narrate or give a detailed account of
v. discern or comprehend"
thank,v. express gratitude or show appreciation to
that,"pron., a., conj., &  As a demonstrative pronoun (pl. Those),
   that usually points out, or refers to, a person or thing previously
   mentioned, or supposed to be understood. That, as a demonstrative, may
   precede the noun to which it refers; as, that which he has said is
   true; those in the basket are good apples.
pron., a., conj., &  As an adjective, that has the same
   demonstrative force as the pronoun, but is followed by a noun.
pron., a., conj., &  As a relative pronoun, that is
   equivalent to who or which, serving to point out, and make definite, a
   person or thing spoken of, or alluded to, before, and may be either
   singular or plural.
pron., a., conj., &  As a conjunction, that retains much of
   its force as a demonstrative pronoun.
pron., a., conj., &  To introduce a clause employed as the
   object of the preceding verb, or as the subject or predicate nominative
   of a verb.
pron., a., conj., &  To introduce, a reason or cause; --
   equivalent to for that, in that, for the reason that, because.
pron., a., conj., &  To introduce a purpose; -- usually
   followed by may, or might, and frequently preceded by so, in order, to
   the end, etc.
pron., a., conj., &  To introduce a consequence, result, or
   effect; -- usually preceded by so or such, sometimes by that.
pron., a., conj., &  In an elliptical sentence to introduce
   a dependent sentence expressing a wish, or a cause of surprise,
   indignation, or the like.
pron., a., conj., &  As adverb: To such a degree; so; as, he
   was that frightened he could say nothing."
the,"v. i. See Thee.
definite article. A word placed before nouns to limit or
   individualize their meaning.
adv. By that; by how much; by so much; on that account; -- used
   before comparatives; as, the longer we continue in sin, the more
   difficult it is to reform."
their,"pron. & a. The possessive case of the personal pronoun they;
   as, their houses; their country."
them,pron. The objective case of they. See They.
then,"n. that time; that moment
s. at a specific prior time
r. subsequently or soon afterward (often used as sentence connectors)
r. in that case or as a consequence"
there,"n. a location other than here; that place
r. in or at that place
r. in that matter
r. to or toward that place; away from the speaker"
these,"pron. The plural of this. See This.
pl.  of This"
they,"obj. The plural of he, she, or it. They is never used
   adjectively, but always as a pronoun proper, and sometimes refers to
   persons without an antecedent expressed."
thin,"v. lose thickness; become thin or thinner
v. make thin or thinner
a. of relatively small extent from one surface to the opposite or in cross section
a. lacking excess flesh"
think,"n. an instance of deliberate thinking
v. judge or regard; look upon; judge
v. expect, believe, or suppose
v. use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments"
this,"pron. & a. As a demonstrative pronoun, this denotes something
   that is present or near in place or time, or something just mentioned,
   or that is just about to be mentioned.
pron. & a. As an adjective, this has the same demonstrative
   force as the pronoun, but is followed by a noun; as, this book; this
   way to town."
those,pron. The plural of that. See That.
tiger,"n. a fierce or audacious person
n. large feline of forests in most of Asia having a tawny coat with black stripes; endangered"
time,"n. an instance or single occasion for some event
n. a period of time considered as a resource under your control and sufficient to accomplish something
n. an indefinite period (usually marked by specific attributes or activities)
n. a suitable moment"
tired,a. depleted of strength or energy
to,"prep. The preposition to primarily indicates approach and arrival,
   motion made in the direction of a place or thing and attaining it,
   access; and also, motion or tendency without arrival; movement toward;
   -- opposed to from.
prep. Hence, it indicates motion, course, or tendency toward a
   time, a state or condition, an aim, or anything capable of being
   regarded as a limit to a tendency, movement, or action; as, he is going
   to a trade; he is rising to wealth and honor.
prep. In a very general way, and with innumerable varieties of
   application, to connects transitive verbs with their remoter or
   indirect object, and adjectives, nouns, and neuter or passive verbs
   with a following noun which limits their action. Its sphere verges upon
   that of for, but it contains less the idea of design or appropriation;
   as, these remarks were addressed to a large audience; let us keep this
   seat to ourselves; a substance sweet to the taste; an event painful to
   the mind; duty to God and to our parents; a dislike to spirituous
   liquor.
prep. As sign of the infinitive, to had originally the use of last
   defined, governing the infinitive as a verbal noun, and connecting it
   as indirect object with a preceding verb or adjective; thus, ready to
   go, i.e., ready unto going; good to eat, i.e., good for eating; I do my
   utmost to lead my life pleasantly. But it has come to be the almost
   constant prefix to the infinitive, even in situations where it has no
   prepositional meaning, as where the infinitive is direct object or
   subject; thus, I love to learn, i.e., I love learning; to die for one's
   country is noble, i.e., the dying for one's country. Where the
   infinitive denotes the design or purpose, good usage formerly allowed
   the prefixing of for to the to; as, what went ye out for see? (Matt.
   xi. 8).
prep. In many phrases, and in connection with many other words, to
   has a pregnant meaning, or is used elliptically.
prep. Extent; limit; degree of comprehension; inclusion as far as;
   as, they met us to the number of three hundred.
prep. Effect; end; consequence; as, the prince was flattered to
   his ruin; he engaged in a war to his cost; violent factions exist to
   the prejudice of the state.
prep. Apposition; connection; antithesis; opposition; as, they
   engaged hand to hand.
prep. Accord; adaptation; as, an occupation to his taste; she has
   a husband to her mind.
prep. Comparison; as, three is to nine as nine is to twenty-seven;
   it is ten to one that you will offend him.
prep. Addition; union; accumulation.
prep. Accompaniment; as, she sang to his guitar; they danced to
   the music of a piano.
prep. Character; condition of being; purpose subserved or office
   filled."
today,"n. the present time or age
n. the day that includes the present moment (as opposed to yesterday or tomorrow)
r. on this day as distinct from yesterday or tomorrow"
toilet,"n. a room or building equipped with one or more toilets
n. a plumbing fixture for defecation and urination
n. the act of dressing and preparing yourself"
tomato,"n. mildly acid red or yellow pulpy fruit eaten as a vegetable
n. native to South America; widely cultivated in many varieties"
tomorrow,"n. the day after today
n. the near future
r. the next day, the day after, following the present day"
too,"r to a degree exceeding normal or proper limits
r in addition"
toy,"n. a nonfunctional replica of something else (frequently used as a modifier)
n. a device regarded as providing amusement
v. manipulate manually or in one's mind or imagination"
train,"n. public transport provided by a line of railway cars coupled together and drawn by a locomotive
n. a series of consequences wrought by an event
n. piece of cloth forming the long back section of a gown that is drawn along the floor
v. create by training and teaching"
travel,"n. the act of going from one place to another
v. change location; move, travel, or proceed, also metaphorically
v. undertake a journey or trip
v. make a trip for pleasure"
tree,"n. a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
n. a figure that branches from a single root
n. English actor and theatrical producer noted for his lavish productions of Shakespeare (1853-1917)
v. plant with trees"
