coda,n the closing section of a musical composition
solitude,"n. a state of social isolation
n. the state or situation of being alone
n. a solitary place"
magnitude,"n. the property of relative size or extent (whether large or small)
n. relative importance"
turpitude,n a corrupt or depraved or degenerate act or practice
pulchritude,n. physical beauty (especially of a woman)
lassitude,"n a state of comatose torpor (as found in sleeping sickness)
n a feeling of lack of interest or energy
n weakness characterized by a lack of vitality or energy"
vicissitude,"n. a variation in circumstances or fortune at different times in your life or in the development of something
n. mutability in life or nature (especially successive alternation from one condition to another)"
latitude,"n. the angular distance between an imaginary line around a heavenly body parallel to its equator and the equator itself
n. freedom from normal restraints in conduct
n. an imaginary line around the Earth parallel to the equator
n. scope for freedom of e.g. action or thought; freedom from restriction"
platitude,n. a trite or obvious remark
rectitude,n righteousness as a consequence of being honorable and honest
certitude,n. total certainty or greater certainty than circumstances warrant
exude,"v. release (a liquid) in drops or small quantities
v. make apparent by one's mood or behavior"
referee,"n. (sports) the chief official (as in boxing or American football) who is expected to ensure fair play
n. an attorney appointed by a court to investigate and report on a case
v. be a referee or umpire in a sports competition
v. evaluate professionally a colleague's work"
carefree,"s. free of trouble and worry and care
s. cheerfully irresponsible"
repartee,n. adroitness and cleverness in reply
vouchsafe,v. grant in a condescending manner
fail-safe,"n. a mechanism capable of returning to a safe state in case there is a failure or malfunction
s. guaranteed not to fail
s. eliminating danger by compensating automatically for a failure or malfunction"
gaffe,n a socially awkward or tactless act
rife,"s most frequent or common
s excessively abundant"
disengage,"v. release from something that holds fast, connects, or entangles
v. become free"
persiflage,n. light teasing
camouflage,"n. fabric dyed with splotches of green and brown and black and tan; intended to make the wearer of a garment made of this fabric hard to distinguish from the background
n. device or stratagem for concealment or deceit
v. disguise by camouflaging; exploit the natural surroundings to disguise something"
homage,n respectful deference
badinage,n. frivolous banter
rage,"n. a state of extreme anger
n. something that is desired intensely
n. violent state of the elements
v. be violent; as of fires and storms"
disparage,v. express a negative opinion of
umbrage,n. a feeling of anger caused by being offended
mirage,"n. an optical illusion in which atmospheric refraction by a layer of hot air distorts or inverts reflections of distant objects
n. something illusory and unattainable"
forage,v. wander and feed
barrage,"n. the rapid and continuous delivery of linguistic communication (spoken or written)
n. the heavy fire of artillery to saturate an area rather than hit a specific target"
sage,"n. a mentor in spiritual and philosophical topics who is renowned for profound wisdom
n. aromatic fresh or dried grey-green leaves used widely as seasoning for meats and fowl and game etc
n. any of various plants of the genus Salvia; a cosmopolitan herb
s. having wisdom that comes with age and experience"
presage,n. a foreboding about what is about to happen
montage,n a paste-up made by sticking together pieces of paper or photographs to form an artistic image
sabotage,"n. a deliberate act of destruction or disruption in which equipment is damaged
v. destroy property or hinder normal operations"
assuage,"v cause to be more favorably inclined; gain the good will of
v satisfy (thirst)
v provide physical relief, as from pain"
salvage,"n. property or goods saved from damage or destruction
n. the act of saving goods or property that were in danger of damage or destruction
n. the act of rescuing a ship or its crew or its cargo from a shipwreck or a fire
v. save from ruin, destruction, or harm"
hedge,"n. a fence formed by a row of closely planted shrubs or bushes
n. any technique designed to reduce or eliminate financial risk; for example, taking two positions that will offset each other if prices change
n. an intentionally noncommittal or ambiguous statement
v. avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
abridge,"v. reduce in scope while retaining essential elements
v. lessen, diminish, or curtail"
dodge,"n. a quick evasive movement
n. a statement that evades the question by cleverness or trickery
v. make a sudden movement in a new direction so as to avoid
v. move to and fro or from place to place usually in an irregular course"
hodgepodge,"n a motley assortment of things
n a theory or argument made up of miscellaneous or incongruous ideas"
budge,n. United States tennis player who in 1938 was the first to win the Australian and French and English and United States singles championship in the same year (1915-2000)
nudge,"n. a slight push or shake
v. to push against gently
v. push into action by pestering or annoying gently"
grudge,"n. a resentment strong enough to justify retaliation
v. accept or admit unwillingly"
trudge,n. a long difficult walk
sacrilege,n blasphemous behavior; the act of depriving something of its sacred character
renege,v. fail to fulfill a promise or obligation
