coda,n the closing section of a musical composition
divulge,v make known to the public information that was previously known only to a few people or that was meant to be kept a secret
estrange,"v. remove from customary environment or associations
v. arouse hostility or indifference in where there had formerly been love, affection, or friendliness"
revenge,v. take revenge for a perceived wrong
fringe,"n. one of the light or dark bands produced by the interference and diffraction of light
n. a social group holding marginal or extreme views
n. an ornamental border consisting of short lengths of hanging threads or tassels
v. adorn with a fringe"
constringe,v become tight or as if tight
singe,v. burn superficially or lightly
tinge,v. affect as in thought or feeling
plunge,"n. a steep and rapid fall
v. dash violently or with great speed or impetuosity
v. begin with vigor
v. cause to be immersed"
surcharge,"n. an additional charge (as for items previously omitted or as a penalty for failure to exercise common caution or common skill)
v. charge an extra fee, as for a special service
v. fill to capacity with people
v. print a new denomination on a stamp or a banknote"
discharge,"n. the sudden giving off of energy
n. the act of venting
n. a substance that is emitted or released
n. any of several bodily processes by which substances go out of the body"
submerge,"v. sink below the surface; go under or as if under water
v. cover completely or make imperceptible
v. put under water"
diverge,"v. move or draw apart
v. have no limits as a mathematical series
v. extend in a different direction"
converge,"v. be adjacent or come together
v. approach a limit as the number of terms increases without limit
v. move or draw together at a certain location
v. come together so as to form a single product"
forge,"n. furnace consisting of a special hearth where metal is heated before shaping
n. a workplace where metal is worked by heating and hammering
v. create by hammering
v. make a copy of with the intent to deceive"
gorge,"n. a deep ravine (usually with a river running through it)
v. overeat or eat immodestly; make a pig of oneself"
disgorge,"v cause or allow (a solid substance) to flow or run out or over
v eject the contents of the stomach through the mouth"
scourge,"n. a whip used to inflict punishment (often used for pedantic humor)
v. punish severely; excoriate"
gauge,"n. a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.
n. accepted or approved instance or example of a quantity or quality against which others are judged or measured or compared
n. the distance between the rails of a railway or between the wheels of a train
n. the thickness of wire"
subterfuge,n. something intended to misrepresent the true nature of an activity
deluge,v. fill quickly beyond capacity; as with a liquid
cache,"n. a hidden storage space (for money or provisions or weapons)
n. (computer science) RAM memory that is set aside as a specialized buffer storage that is continually updated; used to optimize data transfers between system elements with different characteristics"
panache,n. a feathered plume on a helmet
cliche,n a trite or obvious remark
pastiche,n. a work of art that imitates the style of some previous work
gauche,s. lacking social polish
catastrophe,"n. a state of extreme (usually irremediable) ruin and misfortune
n. a sudden violent change in the earth's surface"
loathe,v find repugnant
lithe,s moving and bending with ease
blithe,"s. lacking or showing a lack of due concern
s. carefree and happy and lighthearted"
soothe,v. cause to feel better
hie,v move fast
rookie,n an awkward and inexperienced youth
belie,"v be in contradiction with
v represent falsely"
bonhomie,n a disposition to be friendly and approachable (easy to talk to)
stymie,"n. a situation in golf where an opponent's ball blocks the line between your ball and the hole
n. a thwarting and distressing situation"
camaraderie,n the quality of affording easy familiarity and sociability
slake,v. make less active or intense
brake,"n. a restraint used to slow or stop a vehicle
n. any of various ferns of the genus Pteris having pinnately compound leaves and including several popular houseplants
n. an area thickly overgrown usually with one kind of plant
n. anything that slows or hinders a process"
forsake,v leave someone who needs or counts on you; leave in the lurch
spike,"n. a transient variation in voltage or current
n. sports equipment consisting of a sharp point on the sole of a shoe worn by athletes
n. (botany) an indeterminate inflorescence bearing sessile flowers on an unbranched axis
n. a sharp rise followed by a sharp decline"
strike,"n. a group's refusal to work in protest against low pay or bad work conditions
n. an attack that is intended to seize or inflict damage on or destroy an objective
n. a score in tenpins: knocking down all ten with the first ball
n. (baseball) a pitch that the batter swings at and misses, or that the batter hits into foul territory, or that the batter does not swing at but the umpire judges to be in the area over home plate and between the batter's knees and shoulders"
stoke,v. stir up or tend; of a fire
evoke,"v call forth (emotions, feelings, and responses)
v evoke or provoke to appear or occur
v deduce (a principle) or construe (a meaning)
v summon into action or bring into existence, often as if by magic
v call to mind"
revoke,"n. the mistake of not following suit when able to do so
v. fail to follow suit when able and required to do so
v. cancel officially"
invoke,v. cite as an authority; resort to
convoke,v. call together
provoke,"v. evoke or provoke to appear or occur
v. provide the needed stimulus for"
yoke,"n. fabric comprising a fitted part at the top of a garment
n. an oppressive power
n. a pair of draft animals joined by a yoke"
bale,"n. a large bundle bound for storage or transport
v. make into a bale"
hale,"n. a soldier of the American Revolution who was hanged as a spy by the British; his last words were supposed to have been `I only regret that I have but one life to give for my country' (1755-1776)
n. United States astronomer who discovered that sunspots are associated with strong magnetic fields (1868-1938)
n. prolific United States writer (1822-1909)
s. exhibiting or restored to vigorous good health"
finale,"n. the closing section of a musical composition
n. the concluding part of any performance"
rationale,n. (law) an explanation of the fundamental reasons (especially an explanation of the working of some device in terms of laws of nature)
chorale,n. a stately Protestant (especially Lutheran) hymn tune
stale,"v. urinate, of cattle and horses
a. lacking freshness, palatability, or showing deterioration from age"
imperturbable,s. not easily perturbed or excited or upset; marked by extreme calm and composure
implacable,a. incapable of being placated
impeccable,s. not capable of sin
irradicable,none
applicable,s. capable of being applied; having relevance
amicable,a. characterized by friendship and good will
despicable,s. morally reprehensible
formidable,"s. extremely impressive in strength or excellence
s. inspiring fear"
dependable,"s. worthy of being depended on
s. consistent in performance or behavior
s. financially sound"
agreeable,"a. conforming to your own liking or feelings or nature
s. prepared to agree or consent"
malleable,"s easily influenced
s capable of being shaped or bent or drawn out"
permeable,a. allowing fluids or gases to pass or diffuse through
fable,n. a short moral story (often with animal characters)
affable,s. diffusing warmth and friendliness
ineffable,s. too sacred to be uttered
unimpeachable,s. beyond doubt or reproach
imperishable,a. not perishable
appreciable,s. enough to be estimated or measured
pliable,"s susceptible to being led or directed
s capable of being shaped or bent or drawn out
s able to adjust readily to different conditions
s capable of being bent or flexed or twisted without breaking"
amiable,s. disposed to please
friable,s easily broken into small fragments or reduced to powder
viable,s. capable of life or normal growth and development
unassailable,"s. impossible to assail
s. without flaws or loopholes"
estimable,"a. deserving of respect or high regard
s. deserving of esteem and respect"
inalienable,a. incapable of being repudiated or transferred to another
amenable,"s. disposed or willing to comply
s. readily reacting to suggestions and influences
s. open to being acted upon in a certain way"
tenable,s. based on sound reasoning or evidence
untenable,s (of theories etc) incapable of being defended or justified
interminable,s tiresomely long; seemingly without end
unexceptionable,s. completely acceptable; not open to exception or reproach
personable,s. (of persons) pleasant in appearance and personality
palpable,"a. capable of being perceived; especially capable of being handled or touched or felt
s. can be felt by palpation"
culpable,s deserving blame or censure as being wrong or evil or injurious
unflappable,s not easily perturbed or excited or upset; marked by extreme calm and composure
arable,s. (of farmland) capable of being farmed productively
considerable,a. large or relatively large in number or amount or extent or degree
ponderable,a. capable of being weighed or considered
vulnerable,"a. susceptible to attack
s. susceptible to criticism or persuasion or temptation
s. capable of being wounded or hurt"
deplorable,"s. bad; unfortunate
s. of very poor quality or condition"
favorable,"a. encouraging or approving or pleasing
a. (of winds or weather) tending to promote or facilitate
s. occurring at a convenient or suitable time"
inexorable,"s not to be placated or appeased or moved by entreaty
s impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
impenetrable,"a. not admitting of penetration or passage into or through
s. impossible to understand"
indispensable,"a. not to be dispensed with; essential
s. unavoidable"
palatable,a. acceptable to the taste or mind
redoubtable,s. worthy of respect or honor
tractable,a. easily managed (controlled or taught or molded)
ineluctable,"s. impossible to avoid or evade:""inescapable conclusion"""
inimitable,s. defying imitation; matchless
inevitable,"n. an unavoidable event
a. incapable of being avoided or prevented
s. invariably occurring or appearing"
potable,"n any liquid suitable for drinking
a suitable for drinking"
immutable,a. not subject or susceptible to change or variation in form or quality or nature
scrutable,"a. Discoverable by scrutiny, inquiry, or critical
   examination."
equable,"s. not varying
s. not easily irritated"
babble,"n. gibberish resembling the sounds of a baby
v. utter meaningless sounds, like a baby, or utter in an incoherent way
v. to talk foolishly"
dabble,"v. dip a foot or hand briefly into a liquid
v. play in or as if in water, as of small children
v. work with in an amateurish manner
v. bob forward and under so as to feed off the bottom of a body of water"
rabble,n. disparaging terms for the common people
nibble,"n. gentle biting
v. bite off very small pieces
v. bite gently
v. eat intermittently; take small bites of"
scribble,"n. poor handwriting
n. an aimless drawing
v. write down quickly without much attention to detail
v. write carelessly"
quibble,"n. an evasion of the point of an argument by raising irrelevant distinctions or objections
v. evade the truth of a point or question by raising irrelevant objections
v. argue over petty things"
gobble,"n. the characteristic sound made by a turkey cock
v. eat hastily without proper chewing
v. make a gurgling sound, characteristic of turkeys"
hobble,v. hamper the action or progress of
wobble,"n. an unsteady rocking motion
v. move unsteadily"
feeble,"s. pathetically lacking in force or effectiveness
s. lacking strength"
invincible,s. incapable of being overcome or subdued
irascible,"s quickly aroused to anger
s characterized by anger"
edible,a. suitable for use as food
intelligible,"a. well articulated or enunciated, and loud enough to be heard distinctly"
incorrigible,a. impervious to correction by punishment
tangible,"a. perceptible by the senses especially the sense of touch
a. (of especially business assets) having physical substance and intrinsic monetary value"
intangible,"n. assets that are saleable though not material or physical
a. (of especially business assets) not having physical substance or intrinsic productive value
a. incapable of being perceived by the senses especially the sense of touch
s. hard to pin down or identify"
fungible,"n. a commodity that is freely interchangeable with another in satisfying an obligation
s. of goods or commodities; freely exchangeable for or replaceable by another of like nature or kind in the satisfaction of an obligation"
indelible,s. cannot be removed or erased
fallible,"a. likely to fail or make errors
s. wanting in moral strength, courage, or will; having the attributes of man as opposed to e.g. divine beings"
foible,n. the weaker part of a sword's blade from the forte to the tip
insensible,"a. incapable of physical sensation
s. unaware of or indifferent to
s. unresponsive to stimulation"
ostensible,s. represented or appearing as such; pretended
accessible,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly"
plausible,"a. apparently reasonable and valid, and truthful
s. given to or characterized by presenting specious arguments"
compatible,"a. able to exist and perform in harmonious or agreeable combination
a. capable of being used with or connected to other devices or components without modification
s. capable of forming a homogeneous mixture that neither separates nor is altered by chemical interaction"
perceptible,"a. capable of being perceived by the mind or senses
s. easily perceived by the senses or grasped by the mind"
susceptible,"a. (often followed by `of' or `to') yielding readily to or capable of
s. easily impressed emotionally"
incontrovertible,s. impossible to deny or disprove
combustible,"n. a substance that can be burned to provide heat or power
a. capable of igniting and burning"
flexible,"a. capable of being changed
a. able to flex; able to bend easily
s. bending and snapping back readily without breaking"
amble,"n. a leisurely walk (usually in some public place)
v. walk leisurely"
gamble,"n. money that is risked for possible monetary gain
n. a risky act or venture
v. take a risk in the hope of a favorable outcome
v. play games for money"
ramble,n. an aimless amble on a winding course
dissemble,"v. hide under a false appearance
v. behave unnaturally or affectedly"
bumble,v. speak haltingly
fumble,"n. (sports) dropping the ball
v. make one's way clumsily or blindly
v. handle clumsily
v. drop or juggle or fail to play cleanly a grounder"
humble,"v. cause to be unpretentious
s. low or inferior in station or quality
a. marked by meekness or modesty; not arrogant or prideful
s. used of unskilled work (especially domestic work)"
mumble,"n. a soft indistinct utterance
v. talk indistinctly; usually in a low voice
v. grind with the gums; chew without teeth and with great difficulty"
grumble,"n. a complaint uttered in a low and indistinct tone
v. to utter or emit low dull rumbling sounds"
ennoble,"v. confer dignity or honor upon
v. give a title to someone; make someone a member of the nobility"
garble,v make false by mutilation or addition; as of a message or story
warble,"n. a lumpy abscess under the hide of domestic mammals caused by larvae of a botfly or warble fly
v. sing or play with trills, alternating with the half note above or below"
voluble,a. marked by a ready flow of speech
debacle,"n. a sudden and violent collapse
n. flooding caused by a tumultuous breakup of ice in a river during the spring or summer"
manacle,v. confine or restrain with or as if with manacles or handcuffs
pinnacle,"n. (architecture) a slender upright spire at the top of a buttress of tower
n. a lofty peak
v. surmount with a pinnacle
v. raise on or as if on a pinnacle"
saddle,"n. a seat for the rider of a horse or camel
n. cut of meat (especially mutton or lamb) consisting of part of the backbone and both loins
n. a piece of leather across the instep of a shoe
n. posterior part of the back of a domestic fowl"
waddle,n. walking with short steps and the weight tilting from one foot to the other
meddle,v. intrude in other people's affairs or business; interfere unwantedly
peddle,v. sell or offer for sale from place to place
mollycoddle,n. a pampered darling; an effeminate man
befuddle,v. make stupid with alcohol
wheedle,"v. influence or urge by gentle urging, caressing, or flattering"
idle,"n. the state of an engine or other mechanism that is idling
v. run disconnected or idle
v. be idle; exist in a changeless situation
a. not in action or at work"
bridle,"n. headgear for a horse; includes a headstall and bit and reins to give the rider or driver control
n. the act of restraining power or action or limiting excess
v. anger or take offense
v. put a bridle on"
kindle,"v. catch fire
v. cause to start burning"
dwindle,v. become smaller or lose substance
swindle,n. the act of swindling by some fraudulent scheme
doodle,v. make a doodle; draw aimlessly
dawdle,"v take one's time; proceed slowly
v waste time
v hang (back) or fall (behind) in movement, progress, development, etc."
baffle,"n. a flat plate that controls or directs the flow of fluid or energy
v. check the emission of (sound)"
waffle,n. pancake batter baked in a waffle iron
muffle,"n. a kiln with an inner chamber for firing things at a low temperature
v. deaden (a sound or noise), especially by wrapping"
ruffle,"v. trouble or vex
v. discompose
v. erect or fluff up
v. disturb the smoothness of"
stifle,"n. joint between the femur and tibia in a quadruped; corresponds to the human knee
v. smother or suppress"
boggle,"v. startle with amazement or fear
v. hesitate when confronted with a problem, or when in doubt or fear"
goggle,v. look with amazement; look stupidly
inveigle,"v influence or urge by gentle urging, caressing, or flattering"
mangle,"n. clothes dryer for drying and ironing laundry by passing it between two heavy heated rollers
v. press with a mangle
v. alter so as to make unrecognizable"
wrangle,v. herd and care for
tangle,"n. a twisted and tangled mass that is highly interwoven
n. something jumbled or confused"
entangle,"v. entrap
v. twist together or entwine into a confusing mass"
mingle,v. get involved or mixed-up with
commingle,v. mix or blend
bungle,v. spoil by behaving clumsily or foolishly
labile,"s. (chemistry, physics, biology) readily undergoing change or breakdown
s. liable to change"
facile,"s. arrived at without due care or effort; lacking depth
s. performing adroitly and without effort"
domicile,"n. (law) the residence where you have your permanent home or principal establishment and to where, whenever you are absent, you intend to return; every person is compelled to have one and only one domicile at a time"
reconcile,v. come to terms
fragile,s. vulnerably delicate
simile,n. a figure of speech that expresses a resemblance between things of different kinds (usually formed with `like' or `as')
rile,"v cause annoyance in; disturb, especially by minor irritations
v make turbid by stirring up the sediments of"
sterile,"a. incapable of reproducing
s. deficient in originality or creativity; lacking powers of invention"
puerile,a. of or characteristic of a child
volatile,"n. a volatile substance; a substance that changes readily from solid or liquid to a vapor
a. evaporating readily at normal temperatures and pressures
s. tending to vary often or widely"
versatile,"s. having great diversity or variety
s. changeable or inconstant
s. competent in many areas and able to turn with ease from one thing to another
s. able to move freely in all directions"
tactile,s. producing a sensation of touch
ductile,"s. easily influenced
s. capable of being shaped or bent or drawn out"
motile,"n. one whose prevailing mental imagery takes the form of inner feelings of action
s. (of spores or microorganisms) capable of movement"
futile,s. producing no result or effect
guile,"n shrewdness as demonstrated by being skilled in deception
n the quality of being crafty
n the use of tricks to deceive someone (usually to extract money from them)"
beguile,"v influence by slyness
v attract; cause to be enamored"
vile,"s morally reprehensible
s causing or able to cause nausea"
servile,"a. submissive or fawning in attitude or behavior
s. relating to or involving slaves or appropriate for slaves or servants"
shackle,"n. a restraint that confines or restricts freedom (especially something used to tie down or restrain a prisoner)
n. a U-shaped bar; the open end can be passed through chain links and closed with a bar"
ramshackle,s in deplorable condition
tackle,"n. the person who plays that position on a football team
n. (American football) a position on the line of scrimmage
n. (American football) grasping an opposing player with the intention of stopping by throwing to the ground
v. seize and throw down an opponent player, who usually carries the ball"
heckle,"v. comb with a heckle
v. challenge aggressively"
fickle,s. marked by erratic changeableness in affections or attachments
trickle,"v. run or flow slowly, as in drops or in an unsteady stream"
rankle,v gnaw into; make resentful or angry
hyperbole,n. extravagant exaggeration
condole,"v. express one's sympathetic grief, on the occasion of someone's death"
cajole,"v influence or urge by gentle urging, caressing, or flattering"
rigmarole,"n. a set of confused and meaningless statements
n. a long and complicated and confusing procedure"
console,"n. a scientific instrument consisting of displays and an input device that an operator can use to monitor and control a system (especially a computer system)
n. an ornamental scroll-shaped bracket (especially one used to support a wall fixture)"
disciple,n. someone who believes and helps to spread the doctrine of another
rumple,v. become wrinkled or crumpled or creased
crumple,"v fall apart
v fold or collapse
v to gather something into small wrinkles or folds
v become wrinkled or crumpled or creased"
supple,v. make pliant and flexible
scruple,"n. a unit of apothecary weight equal to 20 grains
n. uneasiness about the fitness of an action
n. an ethical or moral principle that inhibits action"
subtle,s. able to make fine distinctions
dismantle,"v tear down so as to make flat with the ground
v take apart into its constituent pieces
v take off or remove"
disgruntle,v. put into a bad mood or into bad humour
startle,"n. a sudden involuntary movement
v. to stimulate to action
v. move or jump suddenly, as if in surprise or alarm"
bristle,"n. a stiff fiber (coarse hair or filament); natural or synthetic
n. a stiff hair
v. rise up as in fear
v. have or be thickly covered with or as if with bristles"
apostle,"n. an ardent early supporter of a cause or reform
n. any important early teacher of Christianity or a Christian missionary to a people
n. (New Testament) one of the original 12 disciples chosen by Christ to preach his gospel"
bustle,"n. a rapid active commotion
n. a framework worn at the back below the waist for giving fullness to a woman's skirt
v. move or cause to move energetically or busily"
rustle,"n. a light noise, like the noise of silk clothing or leaves blowing in the wind
v. make a dry crackling sound
v. take illegally
v. forage food"
mettle,n the courage to carry on
nettle,"n. any of numerous plants having stinging hairs that cause skin irritation on contact (especially of the genus Urtica or family Urticaceae)
v. sting with or as with nettles and cause a stinging pain or sensation"
brittle,"n. caramelized sugar cooled in thin sheets
s. having little elasticity; hence easily cracked or fractured or snapped
s. lacking warmth and generosity of spirit
s. (of metal or glass) not annealed and consequently easily cracked or fractured"
mottle,"n. an irregular arrangement of patches of color
v. mark with spots or blotches of different color or shades of color as if stained
v. colour with streaks or blotches of different shades"
ridicule,"n. language or behavior intended to mock or humiliate
v. subject to laughter or ridicule"
minuscule,"n. a small cursive script developed from uncial between the 7th and 9th centuries and used in medieval manuscripts
a. of or relating to a small cursive script developed from uncial; 7th to 9th centuries
s. very small"
embezzle,v. appropriate (as property entrusted to one's care) fraudulently to one's own use
guzzle,v. drink greedily or as if with great thirst
inflame,"v. cause inflammation in
v. arouse or excite feelings and passions
v. become inflamed; get sore"
tame,"v. correct by punishment or discipline
s. flat and uninspiring
a. very restrained or quiet
a. brought from wildness into a domesticated state"
acme,n. the highest level or degree attainable; the highest stage of development
sublime,"v. vaporize and then condense right back again
v. change or cause to change directly from a solid into a vapor without first melting
s. lifted up or set high"
mime,"n. an actor who communicates entirely by gesture and facial expression
n. a performance using gestures and body movements without words
v. act out without words but with gestures and bodily movements only"
wholesome,"a. conducive to or characteristic of physical or moral well-being
s. sound or exhibiting soundness in body or mind"
noisome,"s causing or able to cause nausea
s offensively malodorous"
winsome,s. charming in a childlike or naive way
cumbersome,s. difficult to handle or use especially because of size or weight
lissome,s. moving and bending with ease
bane,n. something causing misery or death
urbane,s showing a high degree of refinement and the assurance that comes from wide social experience
hurricane,n. a severe tropical cyclone usually with heavy rains and winds moving a 73-136 knots (12 on the Beaufort scale)
arcane,s. requiring secret or mysterious knowledge
mundane,"s. concerned with the world or worldly matters
s. belonging to this earth or world; not ideal or heavenly; yet a mundane wonder of unimagined kind"""
profane,"a. not concerned with or devoted to religion
s. not holy because unconsecrated or impure or defiled"
germane,s. relevant and appropriate
inane,s devoid of intelligence
wane,"v. become smaller
v. decrease in phase"
serene,s. completely clear and fine
contravene,"v go against, as of rules and laws
v deny the truth of"
convene,v. meet formally
refine,"v. treat or prepare so as to put in a usable condition
v. reduce to a fine, unmixed, or pure state; separate from extraneous matter or cleanse from impurities
v. attenuate or reduce in vigor, strength, or validity by polishing or purifying
v. make more precise or increase the discriminatory powers of"
confine,"v. prevent from leaving or from being removed
v. deprive of freedom; take into confinement"
saturnine,s. bitter or scornful
pine,"n. a coniferous tree
n. straight-grained durable and often resinous white to yellowish timber of any of numerous trees of the genus Pinus"
repine,v. express discontent
opine,v. express one's opinion openly and without fear or hesitation
supine,s. lying face upward
saccharine,s overly sweet
elephantine,s. of great mass; huge and bulky
quarantine,"n. enforced isolation of patients suffering from a contagious disease in order to prevent the spread of disease
n. isolation to prevent the spread of infectious disease
v. place into enforced isolation, as for medical reasons"
byzantine,"n. a native or inhabitant of Byzantium or of the Byzantine Empire
a. of or relating to the Eastern Orthodox Church or the rites performed in it
a. of or relating to or characteristic of the Byzantine Empire or the ancient city of Byzantium"
serpentine,s. resembling a serpent in form
libertine,n. a dissolute person; usually a man who is morally unrestrained
predestine,"v. decree or determine beforehand
v. foreordain by divine will or decree
v. foreordain or determine beforehand"
clandestine,s. conducted with or marked by hidden aims or methods
philistine,"n. a person who is uninterested in intellectual pursuits
n. a member of an Aegean people who settled ancient Philistia around the 12th century BC
a. of or relating to ancient Philistia or its culture or its people"
pristine,"s. completely free from dirt or contamination
s. immaculately clean and unused"
sanguine,"n. a blood-red color
s. confidently optimistic and cheerful"
condone,"v excuse, overlook, or make allowances for; be lenient with"
hone,"n. a whetstone made of fine gritstone; used for sharpening razors
v. sharpen with a hone"
drone,"n. stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen
n. an aircraft without a pilot that is operated by remote control
n. a pipe of the bagpipe that is tuned to produce a single continuous tone
v. make a monotonous low dull sound"
chaperone,v. accompany as a chaperone
atone,"v make amends for
v turn away from sin or do penitence"
jejune,"s lacking in nutritive value
s displaying or suggesting a lack of maturity
s lacking interest or significance or impact"
immune,"n. a person who is immune to a particular infection
a. relating to the condition of immunity
s. secure against
s. relating to or conferring immunity (to disease or infection)"
prune,n. dried plum
importune,v. beg persistently and urgently
opportune,a. suitable or at a time that is suitable or advantageous especially for a particular purpose
attune,v. adjust or accustom to; bring into harmony with
anodyne,"n a medicine used to relieve pain
s capable of relieving pain"
agape,"n. (Christian theology) the love of God or Christ for mankind
n. selfless love of one person for another without sexual implications (especially love that is spiritual in nature)
n. a religious meal shared as a sign of love and fellowship"
shipshape,s. of places; characterized by order and neatness; free from disorder
jape,n a humorous anecdote or remark intended to provoke laughter
gripe,"n. informal terms for objecting
v. complain"
trope,n. language used in a figurative or nonliteral sense
dupe,"n a person who is tricked or swindled
v fool or hoax"
archetype,n something that serves as a model or a basis for making copies
stereotype,n. a conventional or formulaic conception or image
prototype,n. a standard or typical example
threadbare,s. having the nap worn away so that the threads show through
snare,"n. a surgical instrument consisting of wire hoop that can be drawn tight around the base of polyps or small tumors to sever them; used especially in body cavities
n. strings stretched across the lower head of a snare drum; they make a rattling sound when the drum is hit
n. a trap for birds or small mammals; often has a slip noose"
macabre,s shockingly repellent; inspiring horror
mediocre,"s. moderate to inferior in quality
s. poor to middling in quality"
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
sere,s (used especially of vegetation) having lost all moisture
austere,"s. severely simple
s. of a stern or strict bearing or demeanor; forbidding in aspect"
revere,n. American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
persevere,"v. be persistent, refuse to stop"
doctrinaire,s. stubbornly insistent on theory without regard for practicality or suitability
dire,"s fraught with extreme danger; nearly hopeless
s causing fear or dread or terror"
backfire,"n. a loud noise made by the explosion of fuel in the manifold or exhaust of an internal combustion engine
n. a fire that is set intentionally in order to slow an approaching forest fire or grassfire by clearing a burned area in its path
n. a miscalculation that recoils on its maker
v. come back to the originator of an action with an undesired effect"
mire,"n. a soft wet area of low-lying land that sinks underfoot
n. a difficulty or embarrassment that is hard to extricate yourself from
v. cause to get stuck as if in a mire"
repertoire,"n. a collection of works (plays, songs, operas, ballets) that an artist or company can perform and do perform for short intervals on a regular schedule"
conspire,"v. engage in plotting or enter into a conspiracy, swear together
v. act in unison or agreement and in secret towards a deceitful or illegal purpose"
expire,"v lose validity
v pass from physical life and lose all bodily attributes and functions necessary to sustain life
v expel air"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
bore,"n. a person who evokes boredom
n. diameter of a tube or gun barrel
n. a hole or passage made by a drill; usually made for exploratory purposes
v. cause to be bored"
underscore,"n. a line drawn underneath (especially under written matter)
v. give extra weight to (a communication)"
adore,v. love intensely
deplore,"v. express strong disapproval of
v. regret strongly"
pore,"n. any tiny hole admitting passage of a liquid (fluid or gas)
n. any small opening in the skin or outer surface of an animal"
sinecure,"n. a benefice to which no spiritual or pastoral duties are attached
n. an office that involves minimal duties"
epicure,n. a person devoted to refined sensuous enjoyment (especially good food and drink)
procure,v. get by special effort
obscure,"v. make less visible or unclear
v. make obscure or unclear
v. reduce a vowel to a neutral one, such as a schwa
v. make undecipherable or imperceptible by obscuring or concealing"
transfigure,"v. elevate or idealize, in allusion to Christ's transfiguration"
abjure,"v. formally reject or disavow a formerly held belief, usually under pressure"
conjure,"v summon into action or bring into existence, often as if by magic
v ask for or request earnestly
v engage in plotting or enter into a conspiracy, swear together"
allure,n. the power to entice or attract through personal charm
immure,"v lock up or confine, in or as in a jail"
inure,v. cause to accept or become hardened to; habituate
censure,n. harsh criticism or disapproval
reassure,"v. cause to feel sure; give reassurance to
v. give or restore confidence in; cause to feel sure or certain"
caricature,"n. a representation of a person that is exaggerated for comic effect
v. represent in or produce a caricature of"
immature,"a. characteristic of a lack of maturity
a. not yet mature"
stature,"n. high level of respect gained by impressive development or achievement
n. (of a standing person) the distance from head to foot"
fracture,"n. breaking of hard tissue such as bone
n. the act of cracking something
v. violate or abuse
v. interrupt, break, or destroy"
conjecture,n. reasoning that involves the formation of conclusions from incomplete evidence
stricture,n. severe criticism
divestiture,"n. an order to an offending party to rid itself of property; it has the purpose of depriving the defendant of the gains of wrongful behavior
n. the sale by a company of a product line or a subsidiary or a division"
rupture,"n. state of being torn or burst open
n. a personal or social separation (as between opposing factions)
n. the act of making a sudden noisy break"
overture,"n. orchestral music played at the beginning of an opera or oratorio
n. a tentative suggestion designed to elicit the reactions of others"
nurture,"n the properties acquired as a consequence of the way you were treated as a child
n helping someone grow up to be an accepted member of the community
v help develop, help grow
v bring up
v provide with nourishment"
posture,"n the arrangement of the body and its limbs
n characteristic way of bearing one's body
n a rationalized mental attitude
n capability in terms of personnel and materiel that affect the capacity to fight a war
v behave affectedly or unnaturally in order to impress others
v assume a posture as for artistic purposes"
suture,"n. an immovable joint (especially between the bones of the skull)
n. a seam used in surgery
n. thread of catgut or silk or wire used by surgeons to stitch tissues together"
abase,v cause to feel shame; hurt the pride of
debase,v. lower in value by increasing the base-metal content
showcase,n. a setting in which something can be displayed to best effect
chase,"n. United States politician and jurist who served as chief justice of the United States Supreme Court (1808-1873)
n. a rectangular metal frame used in letterpress printing to hold together the pages or columns of composed type that are printed at one time
v. go after with the intent to catch
v. pursue someone sexually or romantically"
blasé,none
paraphrase,"n. rewording for the purpose of clarification
v. express the same message in different words"
malaise,n. physical discomfort (as mild sickness or depression)
imprecise,a. not precise
exorcise,v. expel through adjuration or prayers
paradise,n. (Christianity) the abode of righteous souls after death
enfranchise,v. grant voting rights
compromise,"n. a middle way between two extremes
n. an accommodation in which both sides make concessions
v. make a compromise; arrive at a compromise; we all must compromise""
v. settle by concession"
surmise,v. infer from incomplete evidence
despise,v look down on with disdain
apprise,"v inform (somebody) of something
v make aware of
v gain in value
v increase the value of"
improvise,"v. perform without preparation
v. manage in a makeshift way; do with whatever is at hand"
repulse,"n an instance of driving away or warding off
v force or drive back
v be repellent to; cause aversion in
v cause to move back by force or influence"
incense,"n. a substance that produces a fragrant odor when burned
n. the pleasing scent produced when incense is burned"
pretense,"n. the act of giving a false appearance
n. pretending with intention to deceive
n. imaginative intellectual play"
verbose,s using or containing too many words
metamorphose,v. change completely the nature or appearance of
grandiose,"s. impressive because of unnecessary largeness or grandeur; used to show disapproval
s. affectedly genteel"
lachrymose,s showing sorrow
footloose,s. free to go or do as one pleases
depose,v. force to leave (an office)
repose,"n. a disposition free from stress or emotion
v. put or confide something in a person or thing
v. lie when dead"
compose,"v. form the substance of
v. write music
v. put together out of existing material
v. calm (someone, especially oneself); make quiet"
discompose,v cause to lose one's composure
