looter,n someone who takes spoils or plunder (as in war)
scoreboard,n. a large board for displaying the score of a contest (and some other information)
tendril,n. slender stem-like structure by which some twining plants attach themselves to an object for support
rigorously,r. in a rigorous manner
subcontractor,n. someone who enters into a subcontract with the primary contractor
carver,n. United States botanist and agricultural chemist who developed many uses for peanuts and soy beans and sweet potatoes (1864-1943)
homogeneity,"n. the quality of being similar or comparable in kind or nature
n. the quality of being of uniform throughout in composition or structure"
terrier,n. any of several usually small short-bodied breeds originally trained to hunt animals living underground
close-up,n. a photograph taken at close range
altruism,n. the quality of unselfish concern for the welfare of others
orphaned,s. deprived of parents by death or desertion
unforgiving,a. unwilling or unable to forgive or show mercy
sabotage,"n. a deliberate act of destruction or disruption in which equipment is damaged
v. destroy property or hinder normal operations"
reciprocate,"v. act, feel, or give mutually or in return
v. alternate the direction of motion of"
euthanasia,n. the act of killing someone painlessly (especially someone suffering from an incurable illness)
cracking,n. the process whereby heavy molecules of naphtha or petroleum are broken down into hydrocarbons of lower molecular weight (especially in the oil-refining process)
solicitation,"n. an entreaty addressed to someone of superior status
n. request for a sum of money
n. the act of enticing a person to do something wrong (as an offer of sex in return for money)"
ballerina,n. a female ballet dancer
aviator,n. someone who operates an aircraft
Washington-based,none
roofing,"n. material used to construct a roof
n. the craft of a roofer"
glassy,"s. resembling glass in smoothness and shininess and slickness
s. (used of eyes) lacking liveliness
s. (of ceramics) having the surface made shiny and nonporous by fusing a vitreous solution to it"
encryption,n the activity of converting data or information into code
scathing,s. marked by harshly abusive criticism
malady,n. any unwholesome or desperate condition
cardinal,"n. (Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes
n. a variable color averaging a vivid red
n. crested thick-billed North American finch having bright red plumage in the male
s. serving as an essential component"
soulful,s. full of or expressing deep emotion
quandary,"n a situation from which extrication is difficult especially an unpleasant or trying one
n state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options"
standardization,"n. the condition in which a standard has been successfully established
n. the imposition of standards or regulations"
standstill,"n a situation in which no progress can be made or no advancement is possible
n an interruption of normal activity"
second-floor,none
mightily,r. powerfully or vigorously
jiggle,v. move to and fro
syntax,"n. the grammatical arrangement of words in sentences
n. a systematic orderly arrangement
n. studies of the rules for forming admissible sentences"
maturation,n. coming to full development; becoming mature
thirty-eight,s being eight more than thirty
canteen,"n. a flask for carrying water; used by soldiers or travelers
n. sells food and personal items to personnel at an institution or school or camp etc.
n. a restaurant outside; often for soldiers or policemen
n. a recreation room in an institution"
montage,n a paste-up made by sticking together pieces of paper or photographs to form an artistic image
epidemiologist,n. a medical scientist who studies the transmission and control of epidemic diseases
strengthening,"n. becoming stronger
n. the act of increasing the strength of something"
lopsided,s. having one side lower or smaller or lighter than the other
resolutely,r. showing firm determination or purpose
congenital,s. present at birth but not necessarily hereditary; acquired during fetal development
archetype,n something that serves as a model or a basis for making copies
abiding,s. unceasing
nifty,s very good
sensuous,s. taking delight in beauty
stone,"n. building material consisting of a piece of rock hewn in a definite shape for a special purpose
n. an avoirdupois unit used to measure the weight of a human body; equal to 14 pounds
n. the hard inner (usually woody) layer of the pericarp of some fruits (as peaches or plums or cherries or olives) that contains the seed
n. United States jurist who was named chief justice of the United States Supreme Court in 1941 by Franklin D. Roosevelt (1872-1946)"
trepidation,n. a feeling of alarm or dread
Cajun,n. a Louisianian descended from Acadian immigrants from Nova Scotia (`Cajun' comes from `Acadian')
dab,"n. a small quantity of something moist or liquid
v. apply (usually a liquid) to a surface
v. hit lightly"
conspirator,n. a member of a conspiracy
US-led,none
hunker,v sit on one's heels
grease,"n. a thick fatty oil (especially one used to lubricate machinery)
v. lubricate with grease"
morbid,s. suggesting an unhealthy mental state
handsomely,"r. in an attractively handsome manner
r. in a generously handsome manner"
stymie,"n. a situation in golf where an opponent's ball blocks the line between your ball and the hole
n. a thwarting and distressing situation"
clatter,"n. a rattling noise (often produced by rapid movement)
v. make a rattling sound"
hilly,s having hills and crags
inflow,n. the process of flowing in
queue,"n. a line of people or vehicles waiting for something
n. (information processing) an ordered list of tasks to be performed or messages to be transmitted
n. a braid of hair at the back of the head"
profanity,n. vulgar or irreverent speech or action
linguistics,"n. the scientific study of language
n. the humanistic study of language and literature"
foolishness,"n the trait of acting stupidly or rashly
n the quality of being rash and foolish
n a stupid mistake"
talker,n someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous)
slumber,n. a dormant or quiescent state
kidding,"v tell false information to for fun
v be silly or tease one another"
grown,"v pass into a condition gradually, take on a specific property or attribute; become
v become larger, greater, or bigger; expand or gain
v increase in size by natural process
v cause to grow or develop
v develop and reach maturity; undergo maturation
v come into existence; take on form or shape
v cultivate by growing, often involving improvements by means of agricultural techniques
v come to have or undergo a change of (physical features and attributes)
v grow emotionally or mature
v become attached by or as if by the process of growth
s (of animals) fully developed"
morsel,"n. a small quantity of anything
n. a small amount of solid food; a mouthful"
backwater,"n. a body of water that was created by a flood or tide or by being held or forced back by a dam
n. a place or condition in which no development or progress is occurring"
hubris,n. overbearing pride or presumption
telecom,n (often plural) systems used in transmitting messages over a distance electronically
hypocrite,n. a person who professes beliefs and opinions that he or she does not hold in order to conceal his or her real feelings or motives
bazaar,"n. a shop where a variety of goods are sold
n. a street of small shops (especially in Orient)
n. a sale of miscellany; often for charity"
gleefully,r. in a joyous and gleeful manner
mid-morning,none
consulate,n. diplomatic building that serves as the residence or workplace of a consul
self-proclaimed,"s. proclaimed to be or described as such by oneself, without endorsement by others"
insinuate,v. introduce or insert (oneself) in a subtle manner
miscellaneous,"s consisting of a haphazard assortment of different kinds
s having many aspects"
somewhat,"r to a small degree or extent
r to a moderately sufficient extent or degree"
bottle,"n. a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
n. the quantity contained in a bottle
n. a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children
v. store (liquids or gases) in bottles"
whaling,v hunt for whales
clarinet,n. a single-reed instrument with a straight tube
insignia,n. a badge worn to show official position
categorization,n. the act of distributing things into classes or categories of the same type
instigate,"v provoke or stir up
v serve as the inciting cause of"
minimalist,"n. a conservative who advocates only minor reforms in government or politics
n. a practitioner or advocate of artistic minimalism
a. of or relating to artistic minimalism
s. advocating minimal reforms (as in government or politics)"
sickle,n. an edge tool for cutting grass or crops; has a curved blade and a short handle
altruistic,a. showing unselfish concern for the welfare of others
undetected,a. not perceived or discerned
bewildering,"v be a mystery or bewildering to
v cause to be confused emotionally"
waning,"n. a gradual decrease in magnitude or extent
a. (of the Moon) pertaining to the period during which the visible surface of the moon decreases"
fifty-five,s being five more than fifty
chairwoman,n the officer who presides at the meetings of an organization
brunette,"n a person with dark (brown) hair
a marked by dark or relatively dark pigmentation of hair or skin or eyes"
croon,v. sing softly
buoy,"n. bright-colored; a float attached by rope to the seabed to mark channels in a harbor or underwater hazards
v. float on the surface of water
v. keep afloat
v. mark with a buoy"
Nicaraguan,"n. a native or inhabitant of Nicaragua
a. of or relating to Nicaragua or is people"
fast,"n. abstaining from food
v. abstain from certain foods, as for religious or medical reasons
v. abstain from eating
a. acting or moving or capable of acting or moving quickly"
progressive,"n. a tense of verbs used in describing action that is on-going
a. favoring or promoting progress
s. favoring or promoting reform (often by government action)
a. (of taxes) adjusted so that the rate increases as the amount of income increases"
acoustic,"n. a remedy for hearing loss or deafness
a. of or relating to the science of acoustics"
cursory,s hasty and without attention to detail; not thorough
severed,s. detached by cutting
resell,v. sell (something) again after having bought it
he/she,none
appendage,n. a part that is joined to something larger
intermittently,r. in an intermittent manner
flush,"n. a poker hand with all 5 cards in the same suit
n. a sudden rapid flow (as of water)
v. flow freely
v. glow or cause to glow with warm color or light"
infringement,"n an act that disregards an agreement or a right
n a crime less serious than a felony"
circuitry,n. electronic equipment consisting of a system of circuits
quadrant,"n. a quarter of the circumference of a circle
n. any of the four areas into which a plane is divided by two orthogonal coordinate axes
n. the area enclosed by two perpendicular radii of a circle"
renegotiate,"v negociate anew
v revise the terms of in order to limit or regain excess profits gained by the contractor"
surname,n. the name used to identify the members of a family (as distinguished from each member's given name)
extraterrestrial,a. originating or located or occurring outside Earth or its atmosphere
kangaroo,n. any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail
fence,"n. a barrier that serves to enclose an area
n. a dealer in stolen property
v. enclose with a fence
v. receive stolen goods"
enormity,"n. vastness of size or extent
n. the quality of extreme wickedness
n. an act of extreme wickedness"
re-entry,n. the act of entering again
cave,"n. a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea
v. hollow out as if making a cave or opening
v. explore natural caves"
essayist,n. a writer of literary works
adamantly,r. inflexibly; unshakably
slut,"n a dirty untidy woman
n a woman adulterer"
gondola,n. long narrow flat-bottomed boat propelled by sculling; traditionally used on canals of Venice
fecal,a of or relating to feces
unequivocal,a. admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion
propagation,"n. the spreading of something (a belief or practice) into new regions
n. the movement of a wave through a medium"
decentralization,"n. the social process in which population and industry moves from urban centers to outlying districts
n. the spread of power away from the center to local branches or governments"
concurrently,r. overlapping in duration
self-worth,n the quality of being worthy of esteem or respect
wistfully,r. in a wistful manner
lichen,"n. any of several eruptive skin diseases characterized by hard thick lesions grouped together and resembling lichens growing on rocks
n. any thallophytic plant of the division Lichenes; occur as crusty patches or bushy growths on tree trunks or rocks or bare ground etc."
sultry,s. characterized by oppressive heat and humidity
nugget,n. a solid lump of a precious metal (especially gold) as found in the earth
stereotyping,v treat or classify according to a mental stereotype
ever-present,s. being always present
headstone,"n the central building block at the top of an arch or vault
n a stone that is used to mark a grave"
testimonial,"a. expressing admiration or appreciation
a. of or relating to or constituting testimony"
speckled,"v produce a mottled effect
v mark with small spots
s having a pattern of dots"
cordless,a. not having a cord
herald,n. (formal) a person who announces important news
stamped,"v walk heavily
v to mark, or produce an imprint in or on something
v reveal clearly as having a certain character
v affix a stamp to
v treat or classify according to a mental stereotype
v destroy or extinguish as if by stamping with the foot
v form or cut out with a mold, form, or die
v crush or grind with a heavy instrument
v raise in a relief"
reggae,n. popular music originating in the West Indies; repetitive bass riffs and regular chords played on the off beat by a guitar
practicing,"v carry out or practice; as of jobs and professions
v learn by repetition
v engage in a rehearsal (of)
v avail oneself to
v engage in or perform"
motorized,a. equipped with a motor or motors
disordered,a. not arranged in order
leeway,n. (of a ship or plane) sideways drift
hairline,"n. a very thin line
n. the natural margin formed by hair on the head"
grille,n. grating that admits cooling air to car's radiator
reasoned,s. logically valid
Enquirer,n someone who asks a question
fickle,s. marked by erratic changeableness in affections or attachments
widower,n. a man whose wife is dead especially one who has not remarried
bluff,"n. a high steep bank (usually formed by river erosion)
n. pretense that your position is stronger than it really is
n. the act of bluffing in poker; deception by a false show of confidence in the strength of your cards
v. deceive an opponent by a bold bet on an inferior hand with the result that the opponent withdraws a winning hand"
computer-generated,none
globular,s having the shape of a sphere or ball
foreshadow,v indicate by signs
collecting,"n the act of gathering something together
v get or gather together
v call for and obtain payment of
v assemble or get together
v get or bring together
v gather or collect"
stacked,a. arranged in a stack
riff,"n. a Berber living in northern Morocco
n. a jazz ostinato; usually provides a background for a solo improvisation
v. play riffs"
mosaic,"n. art consisting of a design made of small pieces of colored stone or glass
n. viral disease in solanaceous plants (tomatoes, potatoes, tobacco) resulting in mottling and often shriveling of the leaves
n. a freeware browser
n. a pattern resembling a mosaic"
contiguous,s. very close or connected in space or time
attitudinal,a. of or relating to attitudes
illuminated,s. provided with artificial light
dissection,"n. cutting so as to separate into pieces
n. a minute and critical analysis
n. detailed critical analysis or examination one part at a time (as of a literary work)"
boundless,"s. seemingly boundless in amount, number, degree, or especially extent"
redesign,"v. design anew, make a new design for"
tolerable,a. capable of being borne or endured
amenable,"s. disposed or willing to comply
s. readily reacting to suggestions and influences
s. open to being acted upon in a certain way"
warp,"n. a shape distorted by twisting or folding
n. a moral or mental distortion
n. yarn arranged lengthways on a loom and crossed by the woof"
decompose,"v. separate (substances) into constituent elements or parts
v. break down"
sapling,n. young tree
bushy,"s. used of hair; thick and poorly groomed
s. resembling a bush in being thickly branched and spreading"
broker,v. act as a broker
milk,"n. a white nutritious liquid secreted by mammals and used as food by human beings
n. produced by mammary glands of female mammals for feeding their young
n. a river that rises in the Rockies in northwestern Montana and flows eastward to become a tributary of the Missouri River
n. any of several nutritive milklike liquids"
creeping,"n a slow mode of locomotion on hands and knees or dragging the body
v move slowly; in the case of people or animals with the body near the ground
v to go stealthily or furtively
v grow or spread, often in such a way as to cover (a surface)
v show submission or fear"
cheesy,s of very poor quality; flimsy
fleece,"n. the wool of a sheep or similar animal
n. a soft bulky fabric with deep pile; used chiefly for clothing
v. shear the wool from"
labor-intensive,s requiring a large expenditure of labor but not much capital
triumphantly,r. in a triumphant manner
commemorative,"n. an object (such as a coin or postage stamp) made to mark an event or honor a person
a. intended as a commemoration"
buzzing,"v make a buzzing sound
v fly low
v be noisy with activity
v call with a buzzer
s noisy like the sound of a bee"
purist,n. someone who insists on great precision and correctness (especially in the use of words)
great-grandfather,n. The father of one's grandfather or grandmother.
maxim,"n. a saying that is widely accepted on its own merits
n. English inventor (born in the United States) who invented the Maxim gun that was used in World War I (1840-1916)"
uneducated,a. not having a good education
wholeheartedly,r. without reserve; without reservation
grimace,"n. a contorted facial expression
v. contort the face to indicate a certain mental or emotional state"
triplet,n. one of three offspring born at the same time from the same pregnancy
ire,"n a strong emotion; a feeling that is oriented toward some real or supposed grievance
n belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)"
weakened,s. made weak or weaker
genesis,"n. a coming into being
n. the first book of the Old Testament: tells of Creation; Adam and Eve; the Fall of Man; Cain and Abel; Noah and the flood; God's covenant with Abraham; Abraham and Isaac; Jacob and Esau; Joseph and his brothers"
dogwood,"n. a tree of shrub of the genus Cornus often having showy bracts resembling flowers
n. hard tough wood of any dogwood of the genus Cornus; resembles boxwood"
amorphous,"s. having no definite form or distinct shape
s. lacking the system or structure characteristic of living bodies
s. without real or apparent crystalline form"
five-minute,none
undisputed,s. generally agreed upon; not subject to dispute
troublemaker,n. someone who deliberately stirs up trouble
quickness,"n skillful performance or ability without difficulty
n intelligence as revealed by an ability to give correct responses without delay
n a rate that is rapid"
canine,"n. one of the four pointed conical teeth (two in each jaw) located between the incisors and the premolars
n. any of various fissiped mammals with nonretractile claws and typically long muzzles
a. of or relating to a pointed conical tooth"
jigsaw,n. fine-toothed power saw with a narrow blade; used to cut curved outlines
well-trained,none
horrified,s. stricken with horror
die-hard,s. tradition-bound and obstinately opinionated
clearing,"n. a tract of land with few or no trees in the middle of a wooded area
n. the act of freeing from suspicion
n. the act of removing solid particles from a liquid"
co-director,none
private-sector,none
repulsive,a. possessing the ability to repel
default,"n. loss due to not showing up
n. act of failing to meet a financial obligation
v. fail to pay up"
invoice,v. send an bill to
inflationary,a. associated with or tending to cause increases in inflation
preponderance,"n. superiority in power or influence
n. a superiority in numbers or amount
n. exceeding in heaviness; having greater weight"
pantheon,"n. all the gods of a religion
n. a monument commemorating a nation's dead heroes
n. (antiquity) a temple to all the gods"
nine-year-old,none
saber,"n. a fencing sword with a v-shaped blade and a slightly curved handle
v. kill with a saber"
deceit,"n the quality of being fraudulent
n a misleading falsehood
n the act of deceiving"
Balkan,n. an inhabitant of the Balkan Peninsula
issuing,"n the act of providing an item for general use or for official purposes (usually in quantity)
v prepare and issue for public distribution or sale
v circulate or distribute or equip with
v bring out an official document (such as a warrant)
v come out of
v make out and issue"
repatriation,n. the act of returning to the country of origin
creaking,"n a squeaking sound
v make a high-pitched, screeching noise"
ebb,"n. a gradual decline (in size or strength or power or number)
n. the outward flow of the tide
v. flow back or recede"
epitome,n. a brief abstract (as of an article or book)
woefully,r in an unfortunate or deplorable manner
revulsion,n intense aversion
energy-efficient,none
slime,v. cover or stain with slime
streetcar,n. a wheeled vehicle that runs on rails and is propelled by electricity
amiable,s. disposed to please
toy,"n. a nonfunctional replica of something else (frequently used as a modifier)
n. a device regarded as providing amusement
v. manipulate manually or in one's mind or imagination"
Tamil,"n. a member of the mixed Dravidian and Caucasian people of southern India and Sri Lanka
n. the Dravidian language spoken since prehistoric times by the Tamil in southern India and Sri Lanka
a. of or relating to a speaker of the Tamil language or the language itself"
wan,"v. become pale and sickly
s. lacking vitality as from weariness or illness or unhappiness"
adage,n a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
mm,n a metric unit of length equal to one thousandth of a meter
snag,"n. a sharp protuberance
n. a dead tree that is still standing, usually in an undisturbed forest
v. catch on a snag
v. get by acting quickly and smartly"
shelve,v. place on a shelf
sampler,"n. an assortment of various samples
n. a piece of embroidery demonstrating skill with various stitches"
psychoanalytic,a of or relating to or incorporating the methods and theory of psychiatric treatment originated by Sigmund Freud
Protestantism,n. the theological system of any of the churches of western Christendom that separated from the Roman Catholic Church during the Reformation
top-notch,s of the highest quality
hurtful,s. causing hurt
packaged,a. enclosed in a package or protective covering
trapper,n. someone who sets traps for animals (usually to obtain their furs)
sabbatical,"n. a leave usually taken every seventh year
a. of or relating to the Sabbath
a. of or relating to sabbatical leave"
airfare,n. the fare charged for traveling by airplane
law-abiding,s. (of individuals) adhering strictly to laws and rules and customs
darling,"n. a special loved one
n. an Australian river; tributary of the Murray River"
circumference,"n. the size of something as given by the distance around it
n. the boundary line encompassing an area or object
n. the length of the closed curve of a circle"
paltry,"s not worth considering
s contemptibly small in amount"
binary,"n. a pre-compiled, pre-linked program that is ready to run under a given operating system; a binary for one operating system will not run on a different operating system
a. of or pertaining to a number system have 2 as its base
s. consisting of two (units or components or elements or terms)"
cross-sectional,"a of or relating to a cross section
s representing a plane made by cutting across something at right angles to its length"
frond,n. compound leaf of a fern or palm or cycad
black,"n. the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
n. British chemist who identified carbon dioxide and who formulated the concepts of specific heat and latent heat (1728-1799)
n. popular child actress of the 1930's (born in 1928)
n. a person with dark skin who comes from Africa (or whose ancestors came from Africa)"
mournful,s. expressing sorrow
demonic,s. extremely evil or cruel; expressive of cruelty or befitting hell
lithium,n. a soft silver-white univalent element of the alkali metal group; the lightest metal known; occurs in several minerals
steeply,r. in a steep manner
housework,n. the work of cleaning and running a house
organic,"n. a fertilizer that is derived from animal or vegetable matter
a. relating or belonging to the class of chemical compounds having a carbon basis
a. being or relating to or derived from or having properties characteristic of living organisms
a. involving or affecting physiology or bodily organs"
sh,none
pruning,"n. something that has been pruned off of a plant
n. the act of trimming a plant"
pretzel,n. glazed and salted cracker typically in the shape of a loose knot
permanence,n. the property of being able to exist for an indefinite duration
swirling,"v turn in a twisting or spinning motion
v flow in a circular current, of liquids"
riveting,"v direct one's attention on something
v fasten with a rivet or rivets
v hold (someone's attention)
s capable of arousing and holding the attention"
poise,"n. a cgs unit of dynamic viscosity equal to one dyne-second per square centimeter; the viscosity of a fluid in which a force of one dyne per square centimeter maintains a velocity of 1 centimeter per second
n. a state of being balanced in a stable equilibrium
v. be motionless, in suspension"
gash,"n a wound made by cutting
n a trench resembling a furrow that was made by erosion or excavation
n a strong sweeping cut made with a sharp instrument
v cut open"
annihilation,"n. destruction by annihilating something
n. total destruction"
premier,"v. be performed for the first time
v. perform a work for the first time
s. first in rank or degree
s. preceding all others in time"
berate,v censure severely or angrily
testicle,n one of the two male reproductive glands that produce spermatozoa and secrete androgens
hatchery,n. a place where eggs are hatched under artificial conditions (especially fish eggs)
Israeli-Palestinian,none
arbitrarily,r in a random manner
unending,s continuing forever or indefinitely
misread,"v. read or interpret wrongly
v. interpret wrongly"
relapse,v. go back to bad behavior
aria,n. an elaborate song for solo voice
baboon,n. large terrestrial monkeys having doglike muzzles
authoritarianism,n a form of government in which the ruler is an absolute dictator (not restricted by a constitution or laws or opposition etc.)
succinctly,r. with concise and precise brevity; to the point
dismay,v. fill with apprehension or alarm; cause to be unpleasantly surprised
bough,n. any of the larger branches of a tree
reassemble,"v. assemble once again, after taking something apart"
alright,s. nonstandard usage
giving,"n. the act of giving
n. the imparting of news or promises etc.
n. disposing of property by voluntary transfer without receiving value in return"
hustle,"v. cause to move furtively and hurriedly
v. sell something to or obtain something from by energetic and especially underhanded activity
v. get by trying hard
v. pressure or urge someone into an action"
slosh,v. spill or splash copiously or clumsily
springboard,"n. a flexible board for jumping upward
n. a beginning from which an enterprise is launched"
ref,n (sports) the chief official (as in boxing or American football) who is expected to ensure fair play
ideologue,n an advocate of some ideology
structurally,r. with respect to structure
self-consciousness,"n embarrassment deriving from the feeling that others are critically aware of you
n self-awareness plus the additional realization that others are similarly aware of you"
unannounced,s. without warning or announcement
choke,"n. a coil of low resistance and high inductance used in electrical circuits to pass direct current and attenuate alternating current
n. a valve that controls the flow of air into the carburetor of a gasoline engine
v. breathe with great difficulty, as when experiencing a strong emotion
v. be too tight; rub or press"
puny,"s. inferior in strength or significance
s. (used especially of persons) of inferior size"
encampment,"n a site where people on holiday can pitch a tent
n temporary living quarters specially built by the army for soldiers
n the act of encamping and living in tents in a camp"
cable,"n. a telegram sent abroad
n. a conductor for transmitting electrical or optical signals or electric power
n. a very strong thick rope made of twisted hemp or steel wire
n. a nautical unit of depth"
unchallenged,s generally agreed upon; not subject to dispute
recline,v. cause to recline
zenith,n. the point above the observer that is directly opposite the nadir on the imaginary sphere against which celestial bodies appear to be projected
reheat,v. heat again
unassuming,s not arrogant or presuming
faceless,a. without a face or identity
deconstruct,v. interpret (a text or an artwork) by the method of deconstructing
drool,n. saliva spilling from the mouth
motor,"n. machine that converts other forms of energy into mechanical energy and so imparts motion
n. a nonspecific agent that imparts motion"
handicap,"n. advantage given to a competitor to equalize chances of winning
v. attempt to forecast the winner (especially in a horse race) and assign odds for or against a contestant
v. put at a disadvantage"
self-destructive,s dangerous to yourself or your interests
treated,"a. subjected to a physical (or chemical) treatment or action or agent
a. given medical care or treatment; if left untreated it lasts two weeks"""
projectile,"n. a weapon that is forcibly thrown or projected at a targets but is not self-propelled
s. impelling or impelled forward"
domesticated,"s. accustomed to home life; others find gratification in it"""
soundly,r. deeply or completely
insurmountable,a. not capable of being surmounted or overcome
unbiased,s. without bias
catheter,n. a thin flexible tube inserted into the body to permit introduction or withdrawal of fluids or to keep the passageway open
seedy,a. full of seeds
shambles,n. a condition of great disorder
outdo,v. get the better of
pulley,n. a simple machine consisting of a wheel with a groove in which a rope can run to change the direction or point of application of a force applied to the rope
panacea,"n. (Greek mythology) the goddess of healing; daughter of Aesculapius and sister of Hygeia
n. hypothetical remedy for all ills or diseases; once sought by the alchemists"
encapsulate,"v. enclose in a capsule or other small container
v. put in a short or concise form; reduce in volume"
finality,n. the quality of being final or definitely settled
acuity,n. sharpness of vision; the visual ability to resolve fine detail (usually measured by a Snellen chart)
machete,n. a large heavy knife used in Central and South America as a weapon or for cutting vegetation
oral,"n. an examination conducted by spoken communication
s. using speech rather than writing
a. of or relating to or affecting or for use in the mouth
a. of or involving the mouth or mouth region or the surface on which the mouth is located"
chariot,"n. a light four-wheel horse-drawn ceremonial carriage
n. a two-wheeled horse-drawn battle vehicle; used in war and races in ancient Egypt and Greece and Rome
v. transport in a chariot
v. ride in a chariot"
sacrificial,a. used in or connected with a sacrifice
chewing,"n biting and grinding food in your mouth so it becomes soft enough to swallow
v chew (food); to bite and grind with the teeth"
fragility,"n. quality of being easily damaged or destroyed
n. lack of physical strength"
powered,a. (often used in combination) having or using or propelled by means of power or power of a specified kind
nightstand,none
defector,n a person who abandons their duty (as on a military post)
impressed,s. deeply or markedly affected or influenced
payday,n. the day on which you receive pay for your work
orgy,"n. any act of immoderate indulgence
n. secret rite in the cults of ancient Greek or Roman deities involving singing and dancing and drinking and sexual activity
n. a wild gathering involving excessive drinking and promiscuity"
inconsequential,s. not following logically as a consequence
brood,"n. the young of an animal cared for at one time
v. think moodily or anxiously about something
v. hang over, as of something threatening, dark, or menacing
v. sit on (eggs)"
wrongful,"s. unlawfully violating the rights of others
s. not just or fair"
disprove,v. prove to be false
silt,n. mud or clay or small rocks deposited by a river or lake
evaluator,n. an authority who is able to estimate worth or quality
jumpsuit,n one-piece garment fashioned after a parachutist's uniform
tumble,"n. an acrobatic feat of rolling or turning end over end
v. fall down, as if collapsing
v. roll over and over, back and forth
v. throw together in a confused mass"
well-dressed,s having tasteful clothing and being scrupulously neat
health-related,none
secularism,n. a doctrine that rejects religion and religious considerations
realignment,none
ruefully,r. in a rueful manner
feral,s. wild and menacing
genteel,s marked by refinement in taste and manners
t-test,none
syndicate,"n. a loose affiliation of gangsters in charge of organized criminal activities
n. a news agency that sells features or articles or photographs etc. to newspapers for simultaneous publication
v. join together into a syndicate
v. organize into or form a syndicate"
chafe,"n. soreness and warmth caused by friction
v. become or make sore by or as if by rubbing
v. feel extreme irritation or anger"
overseer,n. a person who directs and manages an organization
sidekick,n a close friend who accompanies his buddies in their activities
assail,v. attack someone physically or emotionally
starry,a. abounding with or resembling stars
reconstitute,v construct or form anew or provide with a new structure
sterilization,"n. the act of making an organism barren or infertile (unable to reproduce)
n. the procedure of making some object free of live bacteria or other microorganisms (usually by heat or chemical means)"
dill,"n. aromatic Old World herb having aromatic threadlike foliage and seeds used as seasoning
n. aromatic threadlike foliage of the dill plant used as seasoning"
liquidity,n. being in cash or easily convertible to cash; debt paying ability
tenderloin,n. the tender meat of the loin muscle on each side of the vertebral column
punctuation,"n. something that makes repeated and regular interruptions or divisions
n. the marks used to clarify meaning by indicating separation of words into sentences and clauses and phrases
n. the use of certain marks to clarify meaning of written material by grouping words grammatically into sentences and clauses and phrases"
admiring,"v feel admiration for
v look at with admiration"
feisty,s. showing courage
endearing,"v make attractive or lovable
s lovable especially in a childlike or naive way"
cloak,"n. anything that covers or conceals
n. a loose outer garment
v. cover with or as if with a cloak"
biz,n your occupation or line of work
degenerate,"n a person whose behavior deviates from what is acceptable especially in sexual behavior
v grow worse
s unrestrained by convention or morality"
co-write,none
Somali,n. the Cushitic language spoken by the Somali
tantalize,v harass with persistent criticism or carping
falcon,"n. diurnal birds of prey having long pointed powerful wings adapted for swift flight
v. hunt with falcons"
restaurateur,n. the proprietor of a restaurant
mirage,"n. an optical illusion in which atmospheric refraction by a layer of hot air distorts or inverts reflections of distant objects
n. something illusory and unattainable"
masquerade,"n. a party of guests wearing costumes and masks
n. making a false outward show
v. take part in a masquerade
v. pretend to be someone or something that you are not"
tepid,"s moderately warm
s feeling or showing little interest or enthusiasm"
forebear,n. a person from whom you are descended
surcharge,"n. an additional charge (as for items previously omitted or as a penalty for failure to exercise common caution or common skill)
v. charge an extra fee, as for a special service
v. fill to capacity with people
v. print a new denomination on a stamp or a banknote"
defenseless,"s. lacking protection or support
s. lacking weapons for self-defense
r. without defense"
dispenser,"n. a container so designed that the contents can be used in prescribed amounts
n. a person who dispenses"
unfettered,s not bound by shackles and chains
belittle,"v cause to seem less serious; play down
v express a negative opinion of
v lessen the authority, dignity, or reputation of"
margarita,n. a cocktail made of tequila and triple sec with lime and lemon juice
fatten,v. make fat or plump
alleyway,n a narrow street with walls on both sides
ail,v. be ill or unwell
schoolgirl,n. a girl attending school
char,"n. a charred substance
n. any of several small trout-like fish of the genus Salvelinus
v. burn to charcoal
v. burn slightly and superficially so as to affect color"
constrict,v. become tight or as if tight
coursework,n. work assigned to and done by a student during a course of study; usually it is evaluated as part of the student's grade in the course
smudge,"n. a smoky fire to drive away insects
n. a blemish made by dirt"
refrigeration,"n. the process of cooling or freezing (e.g., food) for preservative purposes
n. deliberately lowering the body's temperature for therapeutic purposes"
top-down,a. of an approach to a problem that begins at the highest conceptual level and works down to the details
lifeboat,n. a strong sea boat designed to rescue people from a sinking ship
uprooted,"v move (people) forcibly from their homeland into a new and foreign environment
v destroy completely, as if down to the roots
v pull up by or as if by the roots"
