campus,n. a field on which the buildings of a university are situated
embrace,"n. the act of clasping another person in the arms (as in greeting or affection)
n. the state of taking in or encircling
n. a close affectionate and protective acceptance
v. include in scope; include as part of something broader; have as one's sphere or territory"
pass over,n. (Judaism) a Jewish festival (traditionally 8 days from Nissan 15) celebrating the exodus of the Israelites from Egypt
out of control,none
join forces,none
way out,s informal terms; strikingly unconventional
let sth. go,none
try out,"n trying something to find out about it
n a test of the suitability of a performer"
figure out,none
fall into place,none
grow apart,none
run away from,none
boom,"n. a deep prolonged loud noise
n. a state of economic prosperity
n. a sudden happening that brings good fortune (as a sudden opportunity to make money)
n. a pole carrying an overhead microphone projected over a film or tv set"
agent,"n. an active and efficient cause; capable of producing a certain effect
n. a representative who acts on behalf of other persons or organizations
n. a substance that exerts some force or effect
n. a businessman who buys or sells for another in exchange for a commission"
negotiate,"v. succeed in passing through, around, or over"
producer,"n. someone who finds financing for and supervises the making and presentation of a show (play or film or program or similar work)
n. something that produces"
thrilled,s. feeling intense pleasurable excitement
script,"n. a written version of a play or other dramatic composition; used in preparing for a performance
n. a particular orthography or writing system
v. write a script for"
legend,n. a story about mythical or supernatural beings or events
gross,"n. twelve dozen
n. the entire amount of income before any deductions are made
v. earn before taxes, expenses, etc.
a. before any deductions"
cast,"n. the actors in a play
n. the distinctive form in which a thing is made
n. bandage consisting of a firm covering (often made of plaster of Paris) that immobilizes broken bones while they heal
n. object formed by a mold"
mystery,"n. something that baffles understanding and cannot be explained
n. a story about a crime (usually murder) presented as a novel or play or movie"
heavyweight,"n. an amateur boxer who weighs no more than 201 pounds
n. a wrestler who weighs more than 214 pounds
n. a professional boxer who weighs more than 190 pounds"
champion,"n. someone who has won first place in a competition
n. someone who fights for a cause
v. protect or fight for as a champion
s. holding first place in a contest"
fighter,n. a high-speed military or naval airplane designed to destroy enemy aircraft in the air
misguidedly,none
box office,none
surpass,v. be or do something to a greater degree
studio,"n. workplace for the teaching or practice of an art
n. workplace consisting of a room or building where movies or television shows or radio programs are produced and recorded"
blockbuster,"n. a large bomb used to demolish extensive areas (as a city block)
n. an unusually successful hit with widespread popularity and huge sales (especially a movie or play or recording or novel)"
reward,"n. payment made in return for a service rendered
n. an act performed to strengthen approved behavior
n. the offer of money for helping to find a criminal or for returning lost property
v. act or give recompense in recognition of someone's behavior or actions"
furious,"s marked by extreme and violent energy
s marked by extreme anger
s (of the elements) as if showing violent anger"
comedy,n. light and humorous drama with a happy ending
mermaid,n. half woman and half fish; lives in the sea
cinemagoer,none
accidental,"n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
s. happening by chance or unexpectedly or unintentionally"
exposure,"n. vulnerability to the elements; to the action of heat or cold or wind or rain; 
n. the act of subjecting someone to an influencing experience
n. the disclosure of something secret
n. aspect resulting from the direction a building or window faces"
outsider,n. a contestant (human or animal) not considered to have a good chance to win
trend,"n a general direction in which something tends to move
n general line of orientation
n a general tendency to change (as of opinion)
n the popular taste at a given time
v turn sharply; change direction abruptly"
venture,"n. any venturesome undertaking especially one with an uncertain outcome
n. a commercial undertaking that risks a loss but promises a profit
v. proceed somewhere despite the risk of possible dangers
v. put at risk"
cameraman,n. a photographer who operates a movie camera
cooperate,v work together on a common enterprise of project
counterpart,"n. a person or thing having the same function or characteristics as another
n. a duplicate copy"
by far,none
show up,none
for a time,none
make for,none
play by sb.'s rules,none
disappointment,"n. a feeling of dissatisfaction that results when your expectations are not realized
n. an act (or failure to act) that disappoints someone"
correspondent,"n. someone who communicates by means of letters
n. a journalist employed to provide news stories for newspapers or broadcast media"
setback,n an unfortunate happening that hinders or impedes; something that is thwarting or frustrating
comeback,n. return by a celebrity to some previously successful activity
pivot,"n. the person in a rank around whom the others wheel and maneuver
n. axis consisting of a short shaft that supports something that turns
n. the act of turning on (or as if on) a pivot
v. turn on a pivot"
scholar,"n. a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines
n. a student who holds a scholarship"
misfortune,"n. unnecessary and unforeseen trouble resulting from an unfortunate event
n. an unfortunate state resulting from unfavorable outcomes"
forever,r. for a very long or seemingly endless time
electric,"n. a car that is powered by electricity
a. using or providing or producing or transmitting or operated by electricity
s. (of a situation) exceptionally tense
s. affected by emotion as if by electricity; thrilling"
bulb,"n. a modified bud consisting of a thickened globular underground stem serving as a reproductive structure
n. a rounded part of a cylindrical instrument (usually at one end)
n. anything with a round shape resembling a teardrop
n. a rounded dilation or expansion in a canal or vessel or organ"
phonograph,n machine in which rotating records cause a stylus to vibrate and the vibrations are amplified acoustically or electronically
motion picture,none
experiment,"n. the act of conducting a controlled test or investigation
n. the testing of an idea
n. a venture at something new or different
v. to conduct a test or investigation"
rejection,"n. the act of rejecting something
n. the state of being rejected
n. (medicine) an immunological response that refuses to accept substances or organisms that are recognized as foreign"
publisher,"n. a firm in the publishing business
n. a person engaged in publishing periodicals or books or music
n. the proprietor of a newspaper"
theme park,none
innovator,n someone who helps to open up a new line of research or technology or art
beginner,"n someone new to a field or activity
n a person who founds or establishes some institution"
emotion,n. any strong feeling
necessarily,"r. in an essential manner
r. as a highly likely consequence"
optimist,n. a person disposed to take a favorable view of things
discomfort,"n. the state of being tense and feeling pain
n. an uncomfortable feeling of mental painfulness or distress"
inconvenience,"n. an inconvenient discomfort
n. the quality of not being useful or convenient"
overnight,"r. during or for the length of one night
r. happening in a short time or with great speed"
inspire,"v. heighten or intensify
v. supply the inspiration for"
passion,"n. a strong feeling or emotion
n. a feeling of strong sexual desire
n. the suffering of Jesus at the Crucifixion"
emotionally,"r. in an emotional manner
r. with regard to emotions"
stand for,none
have sth. in common,none
have sth. in common with sb.,none
rise above,none
deal with,none
take on,none
of all time,none
do away with,none
go wrong,none
not necessarily,none
nation,"n. the people who live in a nation or country
n. United States prohibitionist who raided saloons and destroyed bottles of liquor with a hatchet (1846-1911)
n. a federation of tribes (especially Native American tribes)"
athlete,n. a person trained to compete in sports
compete,v. compete for something; engage in a contest; measure oneself against others
boggle,"v. startle with amazement or fear
v. hesitate when confronted with a problem, or when in doubt or fear"
accomplish,"v put in effect
v to gain with effort"
feat,n. a notable achievement
determination,"n. the act of determining the properties of something, usually by research or calculation
n. the quality of being determined to do or achieve something; firmness of purpose
n. deciding or controlling something's outcome or nature"
pinnacle,"n. (architecture) a slender upright spire at the top of a buttress of tower
n. a lofty peak
v. surmount with a pinnacle
v. raise on or as if on a pinnacle"
athletic,"a. relating to or befitting athletics or athletes
s. having a sturdy and well proportioned body"
achievement,n the action of accomplishing something
incredible,a. beyond belief or understanding
foundational,none
combination,"n. a collection of things that have been combined; an assemblage of separate parts or qualities
n. a coordinated sequence of chess moves
n. a sequence of numbers or letters that opens a combination lock
n. a group of people (often temporary) having a common purpose"
dedication,"n. complete and wholehearted fidelity
n. a ceremony in which something (as a building) is dedicated to some goal or purpose
n. a short message (as in a book or musical work or on a photograph) dedicating it to someone or something"
someday,r. some unspecified time in the future
insight,"n. a feeling of understanding
n. the clear (and often sudden) understanding of a complex situation
n. grasping the inner nature of things intuitively"
vision,"n. a vivid mental image
n. the perceptual experience of seeing
n. a religious or mystical experience of a supernatural appearance"
focus,"n. the concentration of attention or energy on something
n. maximum clarity or distinctness of an image rendered by an optical system
n. maximum clarity or distinctness of an idea
n. a central point or locus of an infection in an organism"
lately,r in the recent past
narrow,"n. a narrow strait connecting two bodies of water
v. make or become more narrow or restricted
a. not wide
s. limited in size or scope"
lastly,r the item at the end
perseverance,n. the act of persisting or persevering; continuing or repeating behavior
profound,"a. showing intellectual penetration or emotional depth
s. of the greatest intensity; complete
s. coming from deep within one
s. situated at or extending to great depth; too deep to have been sounded or plumbed"
persevere,"v. be persistent, refuse to stop"
encounter,n. a casual meeting with a person or thing
quit,"v put an end to a state or an activity
v give up or retire from a position
v go away or leave
v turn away from; give up
v give up in the face of defeat of lacking hope; admit defeat"
tempt,"v. dispose or incline or entice to
v. give rise to a desire by being attractive or inviting
v. try to seduce
v. try presumptuously"
fulfillment,"n. a feeling of satisfaction at having achieved your desires
n. the act of consummating something (a desire or promise etc)"
combine,"n. harvester that heads and threshes and cleans grain while moving across the field
v. add together from different sources
v. join for a common purpose or in a common action"
lay down arms,none
lay down your arms,none
set your mind to sth.,none
put your mind to sth.,none
after all,none
cut back,n. a reduction in quantity or rate
cut back on,none
to and fro,none
carry out,none
be well on the way to sth.,none
be well on your way to sth.,none
be well on the way to doing sth.,none
be well on your way to doing sth.,none
tragedy,n. drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity
artificial,"a. contrived by art rather than nature
s. artificially formal
s. not arising from natural growth or characterized by vital processes"
intelligence,"n. the ability to comprehend; to understand and profit from experience
n. a unit responsible for gathering and interpreting information about an enemy
n. secret information about an enemy (or potential enemy)
n. the operation of gathering information about an enemy"
artificial intelligence,none
researcher,n a scientist who devotes himself to doing research
calculation,"n. the procedure of calculating; determining something by mathematical or logical methods
n. problem solving that involves numbers or quantities
n. planning something carefully and intentionally"
intuition,"n. instinctive knowing (without the use of rational processes)
n. an impression that something might be the case"
calm,"v. make calm or still
v. become quiet or calm, especially after a state of agitation
s. not agitated; without losing self-possession
a. (of weather) free from storm or wind"
skilled,a. having or showing or requiring special skill
fascinated,s. having your attention fixated as though by a spell
philosophy,"n. the rational investigation of questions about existence and knowledge and ethics
n. any personal belief about how to live or how to deal with a situation"
conquer,v. overcome by conquest
observation,"n. the act of making and recording a measurement
n. the act of observing; taking a patient look
n. a remark expressing careful consideration
n. facts learned by observing"
imagination,"n. the formation of a mental image of something that is not perceived as real and is not present to the senses
n. the ability to form mental images of things or events"
poetry,"n. literature in metrical form
n. any communication resembling poetry in beauty or the evocation of feeling"
groan,"n. an utterance expressing pain or disapproval
v. indicate pain, discomfort, or displeasure"
verily,r. in truth; certainly
sadden,"v. make unhappy
v. come to feel sad"
merrily,r in a joyous manner
mostly,"r in large part; mainly or chiefly
r usually; as a rule"
classical music,none
novel,"n. an extended fictional work in prose; usually in the form of a story
n. a printed and bound book that is an extended work of fiction
s. pleasantly new or different"
neural,a. of or relating to neurons
universe,"n. everything that exists anywhere
n. everything stated or assumed in a given discussion"
resist,"v. stand up or offer resistance to somebody or something
v. withstand the force of something
v. resist immunologically the introduction of some foreign tissue or organ
v. refuse to comply"
humanity,n. the quality of being humane
be supposed to do sth.,none
be supposed to be sth.,none
in short,none
contribute to sth.,none
don't get me wrong,none
come up with,none
look forward to sth.,none
fall in love,none
mobile,"n. a river in southwestern Alabama; flows into Mobile Bay
n. a port in southwestern Alabama on Mobile Bay
n. sculpture suspended in midair whose delicately balanced parts can be set in motion by air currents
s. migratory"
tech,n a school teaching mechanical and industrial arts and the applied sciences
snap,"n. a spell of cold weather
n. the noise produced by the rapid movement of a finger from the tip to the base of the thumb on the same hand
n. a sudden breaking
n. a fastener used on clothing; fastens with a snapping sound"
hail,"n. precipitation of ice pellets when there are strong rising air currents
n. many objects thrown forcefully through the air
n. enthusiastic greeting
v. be a native of"
live-streaming,none
popularize,"v. cater to popular taste to make popular and present to the general public; bring into general or common use
v. make understandable to the general public"
firm,"n. the members of a business organization that owns or operates one or more establishments
s. marked by firm determination or resolution; not shakable
s. not soft or yielding to pressure
s. strong and sure"
shift,"n. an event in which something is displaced without rotation
n. the time period during which you are at work
n. the act of moving from one place to another
n. a crew of workers who work for a specific period of time"
device,"n. an instrumentality invented for a particular purpose
n. something in an artistic work designed to achieve a particular effect
n. any clever maneuver
n. any ornamental pattern or design (as in embroidery)"
rival,"n. the contestant you hope to defeat
v. be the rival of, be in competition with"
executive,"n. a person responsible for the administration of a business
n. persons who administer the law
a. having the function of carrying out plans or orders etc."
drone,"n. stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen
n. an aircraft without a pilot that is operated by remote control
n. a pipe of the bagpipe that is tuned to produce a single continuous tone
v. make a monotonous low dull sound"
delivery,"n. the act of delivering or distributing something (as goods or mail)
n. the event of giving birth
n. the voluntary transfer of something (title or possession) from one party to another
n. the act of delivering a child"
speedy,"s characterized by speed; moving with or capable of moving with high speed
s accomplished rapidly and without delay"
walkie-talkie,n. small portable radio link (receiver and transmitter)
digital wallet,none
emphasize,"v to stress, single out as important
v give extra weight to (a communication)"
simplicity,"n. the quality of being simple or uncompounded
n. a lack of penetration or subtlety
n. absence of affectation or pretense"
grocery,n. (usually plural) consumer goods sold by a grocer
nearby,"s. close at hand
r. not far away in relative terms"
generate,"v. bring into existence
v. produce (energy)"
roughly,"r. with roughness or violence (`rough' is an informal variant for `roughly')
r. with rough motion as over a rough surface"
innovative,s. being or producing something like nothing done or experienced or created before
arise,"v. originate or come into being
v. rise to one's feet
v. result or issue"
expert,n. a person with special knowledge or ability who performs skillfully
impact,"n. the striking of one body against another
n. a forceful consequence; a strong effect
v. press or wedge together; pack together"
work on,none
pull ahead of,none
turn to,none
point to,none
make use of sth.,none
open up,none
climate,"n. the weather in some location averaged over some long period of time
n. the prevailing psychological state"
ambitious,"a. having a strong desire for success or achievement
s. requiring full use of your abilities or resources"
emission,"n. the act of emitting; causing to flow forth
n. the release of electrons from parent atoms
n. the occurrence of a flow of water (as from a pipe)"
foremost,"s. preceding all others in spatial position
s. situated closest to the bow
r. prominently forward"
well-being,n a contented state of being happy and healthy and prosperous
sustainable,a. capable of being sustained
ecological,"a. characterized by the interdependence of living organisms in an environment
a. of or relating to the science of ecology"
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
carbon,"n. an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond; occurs in all organic compounds
n. a copy made with carbon paper"
motivation,"n. the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
n. the condition of being motivated
n. the act of motivating; providing incentive"
environmental,"a. of or relating to the external conditions or surroundings
a. concerned with the ecological effects of altering the environment"
carbon dioxide,none
transformation,"n. a qualitative change
n. (mathematics) a function that changes the position or direction of the axes of a coordinate system
n. a rule describing the conversion of one syntactic structure into another related syntactic structure"
conservation,"n. an occurrence of improvement by virtue of preventing loss or injury or other change
n. the preservation and careful management of the environment and of natural resources
n. (physics) the maintenance of a certain quantities unchanged during chemical reactions or physical transformations"
ecosystem,n. a system formed by the interaction of a community of organisms with their physical environment
restoration,"n. the reign of Charles II in England; 1660-1685
n. the act of restoring something or someone to a satisfactory state
n. some artifact that has been restored or reconstructed
n. a model that represents the landscape of a former geological age or that represents and extinct animal etc."
generation,"n. group of genetically related organisms constituting a single step in the line of descent
n. the normal time between successive generations
n. a stage of technological development or innovation
n. the production of heat or electricity"
fuel,"n. a substance that can be consumed to produce energy
v. provide with a combustible substance that provides energy
v. provide with fuel
v. take in fuel, as of a ship"
hydropower,none
solar,a. relating to or derived from the sun or utilizing the energies of the sun
reclaim,"v. claim back
v. reuse (materials from waste products)
v. make useful again; transform from a useless or uncultivated state"
desert,"n. arid land with little or no vegetation
v. leave behind"
absorption,"n. (chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid
n. (physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium"
atmosphere,"n. a particular environment or surrounding influence
n. the mass of air surrounding the Earth
n. the weather or climate at some place
n. the envelope of gases surrounding any celestial body"
capability,"n. the quality of being capable -- physically or intellectually or legally
n. the susceptibility of something to a particular treatment
n. an aptitude that may be developed"
wind turbine,none
solar panel,none
regional,"a. characteristic of a region
s. related or limited to a particular region"
promote,"v. contribute to the progress or growth of
v. give a promotion to or assign to a higher position
v. be changed for a superior chess or checker piece
v. change a pawn for a better piece by advancing it to the eighth row, or change a checker piece for a more valuable piece by moving it to the row closest to your opponent"
province,n. the proper sphere or extent of your activities
prone,"s. having a tendency (to); often used in combination
s. lying face downward"
combat,n. an engagement fought between two military forces
poverty,n. the state of having little or no money and few or no material possessions
renewable,"a. that can be renewed or extended
s. capable of being renewed; replaceable"
recognition,"n. the state or quality of being recognized or acknowledged
n. the process of recognizing something or someone by remembering
n. approval
n. (biology) the ability of one molecule to attach to another molecule that has a complementary shape"
first and foremost,none
needless to say,none
to a certain degree,none
it goes without saying,none
it goes without saying that,none
on the whole,none
Milky Way,none
consumption,"n. the process of taking food into the body through the mouth (as by eating)
n. (economics) the utilization of economic goods to satisfy needs or in manufacturing
n. the act of consuming something"
pollutant,n. waste matter that contaminates the water or air or soil
wildlife,n. all living things (except people) that are undomesticated
glare,"n. a light within the field of vision that is brighter than the brightness to which the eyes are adapted
n. an angry stare
v. be sharply reflected
v. shine intensely"
excessive,"s. beyond normal limits
s. unrestrained, especially with regard to feelings"
brighten,v. make lighter or brighter
trespass,"n. a wrongful interference with the possession of property (personal property as well as realty), or the action instituted to recover damages
n. entry to another's property without right or permission
v. enter unlawfully on someone's property
v. make excessive use of"
clutter,"n. a confused multitude of things
n. unwanted echoes that interfere with the observation of signals on a radar screen
v. fill a space in a disorderly way"
confusing,"s. causing confusion or disorientation
s. lacking clarity of meaning; causing confusion or perplexity"
side effect,none
exterior,a. situated in or suitable for the outdoors or outside of a building
interior,"a. situated within or suitable for inside a building
s. inside and toward a center
s. of or coming from the middle of a region or country"
streetlight,n. a lamp supported on a lamppost; for illuminating a street
outdoor,"a. located, suited for, or taking place in the open air
a. pertaining to or concerning the outdoors or outdoor activities"
inefficient,a. not producing desired results; wasteful
improperly,r. in an improper way
shield,"n. a protective covering or structure
n. armor carried on the arm to intercept blows
v. protect, hide, or conceal from danger or harm"
electricity,"n. a physical phenomenon associated with stationary or moving electrons and protons
n. energy made available by the flow of electric charge through a conductor
n. keen and shared excitement"
illuminate,v. add embellishments and paintings to (medieval manuscripts)
groundbreaking,n. the ceremonial breaking of the ground to formally begin a construction project
atlas,"n. (Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders
n. a collection of maps in book form
n. the 1st cervical vertebra
n. a figure of a man used as a supporting column"
illumination,n. the degree of visibility of your environment
overpower,v. overcome by superior force
disrupt,v. throw into disorder
delicate,"a. exquisitely fine and subtle and pleasing; susceptible to injury
s. marked by great skill especially in meticulous technique
s. easily broken or damaged or destroyed
s. easily hurt"
intangible,"n. assets that are saleable though not material or physical
a. (of especially business assets) not having physical substance or intrinsic productive value
a. incapable of being perceived by the senses especially the sense of touch
s. hard to pin down or identify"
link,"n. the means of connection between things linked in series
n. a fastener that serves to join or connect
n. a unit of length equal to 1/100 of a chain
n. (computing) an instruction that connects one part of a program or an element on a list to another program or list"
measurable,"a. capable of being measured
s. of distinguished importance"
fortunately,r. by good fortune
homeowner,n. someone who owns a home
civic,a. of or relating or belonging to a city
restore,"v. return to its original or usable and functioning condition
v. give or bring back
v. bring back into original existence, use, function, or position"
practical,"a. concerned with actual use or practice
s. having or put to a practical purpose or use"
make up,"n an event that is substituted for a previously cancelled event
n the way in which someone or something is composed
n cosmetics applied to the face to improve or change your appearance"
body of sth.,none
take action,none
