participate,v. share in something
crossing,"n. traveling across
n. a point where two lines (paths or arcs etc.) intersect
n. a path (often marked) where something (as a street or railroad) can be crossed to get from one side to the other
n. a voyage across a body of water (usually across the Atlantic Ocean)"
tunnel,"n. a passageway through or under something, usually underground (especially one for trains or cars)
v. force a way through"
plus,"a. on the positive side or higher end of a scale
s. involving advantage or good"
frequent,"v. be a regular or frequent visitor to a certain place
a. coming at short intervals or habitually
s. frequently encountered;"
fare,"n. the sum charged for riding in a public conveyance
n. a paying (taxi) passenger
n. the food and drink that are regularly served or consumed
v. eat well"
Columbus,"n. the state capital of Ohio; located in the center of the state; site of Ohio State University
n. Italian navigator who discovered the New World in the service of Spain while looking for a route to China (1451-1506)
n. a town in eastern Mississippi near the border with Alabama"
Eric,"n. A recompense formerly given by a murderer to the relatives of
   the murdered person."
Biarni,none
Leif,none
Alan Eddison,none
T.S. Eliot,none
Michelle,none
Carol,"n. joyful religious song celebrating the birth of Christ
n. a joyful song (usually celebrating the birth of Christ)
v. sing carols"
Jonathan,n. red late-ripening apple; primarily eaten raw
G.K.Chesterton,none
George Orwell,none
Marco Polo,none
Scott,"n. award-winning United States film actor (1928-1999)
n. English explorer who reached the South Pole just a month after Amundsen; he and his party died on the return journey (1868-1912)
n. United States general who was a hero of the War of 1812 and who defeated Santa Anna in the Mexican War (1786-1866)"
Roald Amundsen,none
Edgar Evans,none
Oates,"n. English conspirator who claimed that there was a Jesuit plot to assassinate Charles II (1649-1705)
n. United States writer (born in 1938)"
Marek Kaminski,none
Ricky,none
Wojtek Moskal,none
Matt Thomas,none
Rudyard Kipling,none
Marie Logan,none
Scandinavia,"n. the peninsula in northern Europe occupied by Norway and Sweden
n. a group of culturally related countries in northern Europe; Finland and Iceland are sometimes considered Scandinavian"
Greenland,n. the largest island in the world; lies between the North Atlantic and the Arctic Ocean; a self-governing province of Denmark
Newfoundland,"n. a breed of very large heavy dogs with a thick coarse usually black coat; highly intelligent dogs and vigorous swimmers; developed in Newfoundland
n. an island in the north Atlantic"
Iceland,"n. an island republic on the island of Iceland; became independent of Denmark in 1944
n. a volcanic island in the North Atlantic near the Arctic Circle"
Norway,n. a constitutional monarchy in northern Europe on the western side of the Scandinavian Peninsula; achieved independence from Sweden in 1905
Egypt,n. a republic in northeastern Africa known as the United Arab Republic until 1971; site of an ancient civilization that flourished from 2600 to 30 BC
the Amazon,none
Himalayas,"n a mountain range extending 1500 miles on the border between India and Tibet; this range contains the world's highest mountain
n a mountain range extending 1500 miles on the border between India and Tibet; this range contains the world's highest mountain"
Qomolangma,none
Mount Qomolangma,none
Tibet,n. an autonomous region of the Peoples Republic of China; located in the Himalayas
South Pole,none
Aegean,"n. an arm of the Mediterranean between Greece and Turkey; a main trade route for the ancient civilizations of Crete and Greece and Rome and Persia
a. of or relating to or characteristic of the prehistoric Aegean civilization
a. of or relating to or bordering the Aegean Sea"
the Colorado River,none
San Francisco,none
Los Angeles,none
Turkey,"n. large gallinaceous bird with fan-shaped tail; widely domesticated for food
n. a Eurasian republic in Asia Minor and the Balkans; on the collapse of the Ottoman Empire in 1918, the Young Turks, led by Kemal Ataturk, established a republic in 1923
n. flesh of large domesticated fowl usually roasted
n. an event that fails badly or is totally ineffectual"
the Antarctic,none
Arctic,"n. the regions to the north of the Arctic Circle centered on the North Pole
n. a waterproof overshoe that protects shoes from water or snow
s. extremely cold"
Scotland,n. one of the four countries that make up the United Kingdom of Great Britain and Northern Ireland; located on the northern part of the island of Great Britain; famous for bagpipes and plaids and kilts
Amsterdam,n. an industrial center and the nominal capital of the Netherlands; center of the diamond-cutting industry; seat of an important stock exchange; known for its canals and art museum
the Netherlands,none
Brisbane,n. capital and largest city of Queensland state; located in the southeastern corner of Queensland on the Pacific; settled by British as a penal colony; 3rd largest city in Australia
Queensland,n. a state in northeastern Australia
