a bit, 3d sing. pres. of Abide.
say yes,none
scores of,none
search for,none
second only to,none
second to none,none
see about,none
see fit,none
see off,none
see through,s so thin as to transmit light
see to,none
see to it that,none
seeing that,none
seek after,none
seek for,none
seek out,none
seize on,none
seize upon,none
sell at,none
sell for,none
sell off,n. a sale of a relatively large number of assets (stocks or bonds or commodities) at a low price typically done to dispose of them rather than as normal trade
sell out,n. an act of betrayal
send away,none
send for,none
send forth,none
send in,none
send off,"n an organized expression of goodwill at the start of a trip or new venture
n a start given to contestants"
send out,none
send up,"n a composition that imitates or misrepresents somebody's style, usually in a humorous way"
sentence ... to death,none
separate ... from,none
separate ... into,none
set about,none
set an example,none
set apart,s being or feeling set or kept apart from others
set aside,s reserved in advance
set down,"n. The humbling of a person by act or words, especially by a
   retort or a reproof; the retort or the reproof which has such effect."
set fire to,none
set foot on,none
set foot in,none
set free,none
set in,none
set loose,none
set off,"n. That which is set off against another thing; an offset.
n. That which is used to improve the appearance of anything;
   a decoration; an ornament.
n. A counterclaim; a cross debt or demand; a distinct claim
   filed or set up by the defendant against the plaintiff's demand.
n. Same as Offset, n., 4.
n. See Offset, 7."
set on,n. United States religious leader who was the first person born in the United States to be canonized (1774-1821)
set out,"n. A display, as of plate, equipage, etc.; that which is
   displayed."
set sail,none
set to,n. a brief but vigorous fight
set up,n. the way something is organized or arranged
set up as,none
settle down,none
settle in,none
settle on,none
settle upon,none
settle up,none
share ... with ...,none
shop around,none
shortly after ...,none
should have done sth.,none
shoulder to shoulder,r side by side and close together
show ... around,none
show ... round,none
show off,n someone who deliberately behaves in such a way as to attract attention
show up,none
shut down,n termination of operations
shut up,none
side by side,none
sign up,none
sign up for,none
sit about,none
sit down,n. a strike in which workers refuse to leave the workplace until a settlement is reached
sit for,none
sit up,n. a stomach exercise in which a person sits up from a supine position without using the arms for leverage
sleep over,n. an occasion of spending a night away from home or having a guest spend the night in your home (especially as a party for children)
slide into,none
slow down,n. the act of slowing down or falling behind
smooth away,none
smooth over,none
so as to,none
so far,none
so that,none
so ... that ...,none
some day,r. some unspecified time in the future
something like,none
something of,none
soon after,none
sooner or later,none
sort of,none
sort out,none
speak highly of,none
speak well of,none
speak of,none
speak out,none
speak out against sth.,none
speak up,none
speed up,n the act of accelerating; increasing the speed
spend ... doing,none
spend ... in doing,none
spend ... on,none
split up,none
spring up,none
spy on,none
squeeze out,none
stand about,none
stand around,none
stand by,"n. One who, or that which, stands by one in need; something
   upon which one relies for constant use or in an emergency."
stand for,none
stand out,none
stand up,s. requiring a standing position
stand up for,none
stand up to,none
star in,none
stare at,none
start doing sth.,none
stay abreast of,none
stay up,none
step aside,none
step down,n the act of decreasing or reducing something
step by step,s one thing at a time
step up,n the act of increasing something
stick out,none
stick to,none
stick up for,none
stick with,none
stop ... from ...,none
stop to do sth.,none
straight away,n. a straight segment of a roadway or racecourse
straight off,none
strike into,none
strike on,none
strike upon,none
struggle against,none
struggle for,none
struggle to one's feet,none
study under sb.,none
submit to,none
subscribe to,none
succeed in,none
succeed to,none
such as,none
such ... that ...,none
suffer from,none
sum up,n a brief statement that presents the main points in a concise form
superior to,none
supply ... with ...,none
suspect sb. of sth.,none
sweep over,none
sweep up,none
switch off,none
switch on,none
switch over,none
switch to,none
take a breath,none
take a chance,none
take chances,none
take a decision,none
take a look at,none
take a walk,none
take action,none
take advantage of,none
take after,none
take aim at,none
take an interest in,none
take apart,none
take away,s of or involving food to be taken and eaten off the premises
take back,none
take ... by surprise,none
take care,none
take care of,none
take charge of,none
take command of,none
take control of,none
take down,n. (amateur wrestling) being brought to the mat from a standing position
take effect,none
take exercise,none
take ... for example,none
take ... for granted,none
take hold of,none
take in,n. the act of taking in as by fooling or cheating or swindling someone
take ... into account,none
take ... into consideration,none
take it easy,none
take measures,none
take note,none
take notice of,none
take off,"n. a departure; especially of airplanes
n. the initial ascent of an airplane as it becomes airborne"
take office,none
take on,none
take one's seat,none
take one's time,none
take out,"n. prepared food that is intended to be eaten off of the premises
n. (bridge) a bid that asks your partner to bid another suit
s. of or involving food to be taken and eaten off the premises"
take over,n. a change by sale or merger in the controlling interest of a corporation
take pains,none
take part in,none
take place,none
take possession of,none
take pride in,none
take risks,none
take sb. in one's arms,none
take sb.'s advice,none
take sb.'s place,none
take sides,none
take sides with,none
take the lead,none
take the opportunity,none
take the place of,none
take to,none
take turns,none
take up,"n. any of various devices for reducing slack (as in a sewing machine) or taking up motion (as in a loom)
n. the action of taking up as by tightening or absorption or reeling in"
talk of,none
talk about,none
talk over,none
talk to,none
teach oneself,none
team up,none
tear down,none
tear off,none
tear up,none
tell a joke,none
tell jokes,none
tell a lie,none
tell lies,none
tell ... apart,none
tell by,none
tell sb. about sth.,none
tell the truth,none
tend to,none
test out,none
thanks for,none
thanks to,none
that is to say,none
the day after tomorrow,none
the first time,none
the last,none
the moment,none
the more ... the more ...,none
the other,none
the other day,none
the others,none
the same ... as,none
the same ... that,none
think about,none
think aloud,none
think back to,none
think highly of,none
think well of,none
think nothing of,none
think of,none
think of ... as,none
think out,none
think over,none
think twice,none
think up,none
thousands of,none
throw ... at ...,none
throw away,"n. words spoken in a casual way with conscious under-emphasis
s. intended to be thrown away after use"
throw light on,none
throw off,n. A start in a hunt or a race.
throw oneself on,none
throw up,none
tidy up,none
time and again,none
till now,none
tire out,none
to be honest,none
to one's credit,none
to sb.'s delight,none
to sb.'s surprise,none
to the contrary,none
to the point,none
together with,none
too much,none
too ... to,none
trade with,none
translate into,none
treat ... as,none
treat ... to ...,none
trick sb. into doing sth.,none
trip over,none
try for,none
try one's best,none
try out,"n trying something to find out about it
n a test of the suitability of a performer"
try to do,none
turn a blind eye to,none
turn against,none
turn around,"n. time need to prepare a vessel or ship for a return trip
n. an area sufficiently large for a vehicle to turn around
n. act or process of unloading and loading and servicing a vessel or aircraft for a return trip"
turn away,none
turn back,none
turn down,n the act of refusing an offer
turn in,none
turn into,none
turn off,"n. something causing antagonism or loss of interest
n. a side road where you can turn off"
turn on,n. something causing excitement or stimulating interest
turn one's back,none
turn one's back on,none
turn out,"n. The act of coming forth; a leaving of houses, shops,
   etc.; esp., a quitting of employment for the purpose of forcing
   increase of wages; a strike; -- opposed to lockout.
n. A short side track on a railroad, which may be occupied
   by one train while another is passing on a main track; a shunt; a
   siding; a switch.
n. That which is prominently brought forward or exhibited;
   hence, an equipage; as, a man with a showy carriage and horses is said
   to have a fine turn-out.
n. The aggregate number of persons who have come out, as
   from their houses, for a special purpose.
n. Net quantity of produce yielded."
turn over,n. a dish made by folding a piece of pastry over a filling
turn to,none
turn up,n the lap consisting of a turned-back hem encircling the end of the sleeve or leg
under age,"a. Not having arrived at adult age, or at years of
   discretion; hence, raw; green; immature; boyish; childish."
under any circumstances,none
under all circumstances,none
under construction,none
under control,none
under pressure,none
under repair,none
under sb.'s direction,none
under the charge of,none
under the name of,none
under way,s currently in progress
up and down,none
up in the air,none
up to,none
up to date,"s. reflecting the latest information or changes
s. in accord with the most fashionable ideas or style"
up to now,none
up until,none
upside down,s being in such a position that top and bottom are reversed
use up,none
used to do,none
vary from ... to ...,none
view ... as,none
vote against,none
vote for,none
wait for,none
wait on,none
wait upon,none
wake up,none
walk along,none
walk of life,none
wander about,none
wander around,none
warm up,n. exercising in preparation for strenuous activity
warn of,none
warn about,none
wash away,none
wash down,none
wash out,"n. the channel or break produced by erosion of relatively soft soil by water
n. the erosive process of washing away soil or gravel by water (as from a roadway)"
wash up,"n. the act of washing yourself (or another person)
n. the act of washing dishes"
waste ... doing sth.,none
waste ... on sth.,none
waste ... in doing sth.,none
waste one's breath,none
watch for,none
watch out,none
watch over,none
wear off,none
wear out,none
what about ...,none
what for ...,none
what if ...,none
what's more,none
what's up,none
what's wrong with ...,none
whether ... or ...,none
win back,none
wind up,s. operated by a mechanism
wipe off,none
wipe out,n. a spill in some sport (as a fall from a bicycle or while skiing or being capsized on a surfboard)
wish for,none
with an average of,none
with pleasure,none
with respect to,none
with the help of,none
with the purpose of,none
within one's limits,none
within reach of,none
without delay,none
without doubt,none
wonder at,none
work as,none
work at,none
work on,none
work out,n the activity of exerting your muscles in various ways to keep fit
worry about,none
would like to,none
would love to,none
would rather,none
write down,n (accounting) reduction in the book value of an asset
year after year,none
year by year,none
year in year out,none
year in and year out,none
yield to,none
