wonderful,s extraordinarily good or great; used especially as intensifiers
treasure,"n. accumulated wealth in the form of money or jewels etc.
n. any possession that is highly valued by its owner
n. a collection of precious things"
prosper,v make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
contribute,"v. contribute to some cause
v. be conducive to"
pleasantly,"r. in a cheerful manner
r. in an enjoyable manner"
preservation,"n. the activity of protecting something from loss or danger
n. the condition of being (well or ill) preserved
n. a process that saves organic substances from decay"
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
commercialization,n. the act of commercializing something; involving something in commerce
traditional,"a. consisting of or derived from tradition
s. pertaining to time-honored orthodox doctrines"
on the part of,none
vase,n. an open jar of glass or porcelain used as an ornament or to hold flowers
widespread,s. widely circulated or diffused
charm,"n. something believed to bring good luck
n. (physics) one of the six flavors of quark
v. control by magic spells, as by practicing witchcraft
v. protect through supernatural powers or charms"
age-old,s. belonging to or lasting from times long ago
destine,v. decree or designate beforehand
custom,"n. accepted or habitual practice
n. a specific practice of long standing
n. habitual patronage"
shadow,"n. shade within clear boundaries
n. a premonition of something adverse
n. refuge from danger or observation
n. a dominating and pervasive presence"
immeasurable,a. impossible to measure
modernization,"n. making modern in appearance or behavior
n. a modernized version (as of a play)"
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
tai chi,n a Chinese system of slow meditative physical exercise designed for relaxation and balance and health
fortunately,r. by good fortune
kung fu,none
as a result of,none
Peking Opera,none
unwavering,"s marked by firm determination or resolution; not shakable
s not showing abrupt variations"
perish,v pass from physical life and lose all bodily attributes and functions necessary to sustain life
bright,"a. emitting or reflecting light readily or in large amounts
s. having striking color
s. characterized by quickness and ease in learning
s. having lots of light either natural or artificial"
tragedy,n. drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity
secure,"v. assure payment of
a. free from fear or doubt; easy in mind
a. free from danger or risk
a. not likely to fail or give way"
course,"n. education imparted in a series of lessons or meetings
n. a connected series of events or actions or developments
n. general line of orientation
n. a mode of action"
population,"n. the people who inhabit a territory or state
n. a group of organisms of the same species inhabiting a given area
n. (statistics) the entire aggregation of items from which samples can be drawn
n. the number of inhabitants (either the total number or the number of a particular race or class) in a given place (country or city etc.)"
migration,"n. the movement of persons from one country or locality to another
n. a group of people migrating together (especially in some given time period)
n. (chemistry) the nonrandom movement of an atom or radical from one place to another within a molecule"
natural environment,none
urbanization,"n. the condition of being urbanized
n. the social process whereby cities grow and societies become more urban"
damage,"n. the occurrence of a change for the worse
n. loss of military equipment
n. the act of damaging something or someone
v. inflict damage upon"
symbol,"n. an arbitrary sign (written or printed) that has acquired a conventional significance
n. something visible that by association or convention represents something else that is invisible"
ecosystem,n. a system formed by the interaction of a community of organisms with their physical environment
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
a huge amount of,none
nevertheless,r despite anything to the contrary (usually following a concession)
household,n a social unit living together
convenience,"n. the state of being suitable or opportune
n. the quality of being useful and convenient"
rubbish,"n. worthless material that is to be disposed of
v. attack strongly"
urban,"a. relating to or concerned with a city or densely populated area
a. located in or characteristic of a city or city life"
dump,"n. a piece of land where waste materials are dumped
n. (computer science) a copy of the contents of a computer storage device; sometimes used in debugging programs
n. a place where supplies can be stored
v. throw away as refuse"
environmental pollution,none
outskirt,n. a part of the city far removed from the center
a case in point,none
to begin with,none
explosion,"n. a violent release of energy caused by a chemical or nuclear reaction
n. the act of exploding or bursting
n. a sudden great increase
n. the noise caused by an explosion"
hundreds of,none
waste water,n water mixed with waste matter
rare,"s. not widely known; especially valued for its uncommonness
s. recurring only at long intervals
s. not widely distributed
s. having low density"
contaminate,v. make radioactive by adding radioactive material
take in,n. the act of taking in as by fooling or cheating or swindling someone
day and night,none
emergence,"n. the gradual beginning or coming forth
n. the becoming visible
n. the act of emerging"
bank,"n. sloping land (especially the slope beside a body of water)
n. a long ridge or pile
n. an arrangement of similar objects in a row or in tiers
n. a supply or stock held in reserve for future use (especially in emergencies)"
case,"n. an occurrence of something
n. the actual state of things
n. a portable container for carrying several objects
n. a person requiring professional services"
worse still,none
accordingly,r. in accordance with
untreated,"a. not given medical care or treatment
a. not subjected to chemical or physical treatment
s. (of a specimen for study under a microscope) not treated with a reagent or dye"
imperative,"n. some duty that is essential and urgent
a. requiring attention or action
a. relating to verbs in the imperative mood"
sewage,n. waste matter carried away in sewers or drains
take measures,none
pour,"v. cause to run
v. move in large numbers
v. flow in a spurt
v. supply in large amounts or quantities"
drastic,s. forceful and extreme and rigorous
chemical,"n. material produced by or used in a reaction involving changes in atoms or molecules
a. relating to or used in chemistry
a. of or made from or using substances produced by or used in reactions involving atomic or molecular changes"
appeal to,none
poison,"n. any substance that causes injury or illness or death of a living organism
n. anything that harms or destroys
v. spoil as if by poison
v. kill with poison"
authority,"n. the power or right to give orders or make decisions
n. (usually plural) persons who exercise (administrative) control over others
n. an expert whose views are taken as definitive
n. official permission or approval"
supply,"n. an amount of something available for use
n. offering goods and services for sale
v. give something useful or necessary to"
sustainable,a. capable of being sustained
drinkable,a. suitable for drinking
vital,"s. performing an essential function in the living body
s. manifesting or characteristic of life"
extremely,r. to an extreme degree
identify,"v. recognize as being; establish the identity of someone or something
v. consider (oneself) as similar to somebody else
v. conceive of as united or associated
v. identify as in botany or biology, for example"
depend on,none
contribute to,none
grasp,v. hold firmly
define,"v. give a definition for the meaning of a word
v. determine the nature of
v. show the form or outline of"
there is no denying that,none
multitude,"n. a large gathering of people
n. the common people generally"
average people,none
long for,none
deem,v. keep in mind or convey as a conviction or view
universal,"n. (linguistics) a grammatical rule (or other linguistic feature) that is found in all languages
n. (logic) a proposition that asserts something of all members of a class
n. a behavioral convention or pattern characteristic of all members of a particular culture or of all human beings
s. applicable to or common to all members of a group or set"
equally,r. to the same degree (often followed by `as')
definition,"n. a concise explanation of the meaning of a word or phrase or symbol
n. clarity of outline"
clarify,"v. make clear and (more) comprehensible
v. make clear by removing impurities or solids, as by heating"
diverse,s. distinctly dissimilar or unlike
lie in,n. a long stay in bed in the morning
ever-changing,s marked by continuous change or effective action
key university,none
requirement,n. required activity
in view of,none
it goes without saying that,none
reasoning,n. thinking that is coherent and logical
advisable,a. worthy of being recommended or suggested; prudent or wise
admission,"n. the act of admitting someone to enter
n. an acknowledgment of the truth of something"
derive from,none
vividly,r. in a vivid manner
element,"n. the most favorable environment for a plant or animal
n. one of four substances thought in ancient and medieval cosmology to constitute the physical universe
n. the situation in which you are happiest and most effective
n. a straight line that generates a cylinder or cone"
reveal,v. disclose directly or through prophets
stem from,none
fencing,n. the art or sport of fighting with swords (especially the use of foils or epees or sabres to score points under a set of rules)
mindset,n a habitual or characteristic mental attitude that determines how you will interpret and respond to situations
tenacity,n persistent determination
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
quickness,"n skillful performance or ability without difficulty
n intelligence as revealed by an ability to give correct responses without delay
n a rate that is rapid"
seize,"v. take hold of; grab
v. take or capture by force
v. hook by a pull on the line
v. affect"
coincidence,"n. an event that might have been arranged although it was really accidental
n. the quality of occupying the same position or area in space"
perseverance,n. the act of persisting or persevering; continuing or repeating behavior
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
utilize,v. convert (from an investment trust to a unit trust)
exploit,"v. use or manipulate to one's advantage
v. draw from; make good use of"
endowment,"n. natural abilities or qualities
n. the capital that provides income for an institution
n. the act of endowing with a permanent source of income"
forfeit,"n. something that is lost or surrendered as a penalty; 
n. a penalty for a fault or mistake that involves losing or giving up something
n. the act of losing or surrendering something as a penalty for a mistake or fault or failure to perform etc.
v. lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime"
take advantage of,none
play a role,none
depend on,none
throne,"n. the chair of state for a monarch, bishop, etc.
n. the position and power of an exalted person (a sovereign or bishop) who is entitled to sit in a chair of state on ceremonial occasions
v. sit on the throne as a ruler"
combination,"n. a collection of things that have been combined; an assemblage of separate parts or qualities
n. a coordinated sequence of chess moves
n. a sequence of numbers or letters that opens a combination lock
n. a group of people (often temporary) having a common purpose"
in addition to,none
capitalize,"v. draw advantages from
v. supply with capital, as of a business by using a combination of capital used by investors and debt capital provided by lenders
v. write in capital letters
v. compute the present value of a business or an income"
raise,"n. the amount a salary is increased
n. increasing the size of a bet (as in poker)
v. raise the level or amount of something
v. raise from a lower to a higher position"
wide-eyed,s. (used of eyes) fully open or extended
glorious,"a. having or deserving or conferring glory
s. having great beauty and splendor"
wonder,"n. the feeling aroused by something strange and surprising
n. something that causes feelings of wonder
v. have a wish or desire to know something
v. place in doubt or express doubtful speculation"
firm,"n. the members of a business organization that owns or operates one or more establishments
s. marked by firm determination or resolution; not shakable
s. not soft or yielding to pressure
s. strong and sure"
infant,n a very young child (birth to 1 year) who has not yet begun to walk or talk
flight,"n. a formation of aircraft in flight
n. an instance of traveling by air
n. a stairway (set of steps) between one floor or landing and the next
n. an air force unit smaller than a squadron"
delight,"n. a feeling of extreme pleasure or satisfaction
v. take delight in"
unrealistic,a. not realistic
jingle,"n. a metallic sound
v. make a sound typical of metallic objects"
obviously,r. unmistakably (`plain' is often used informally for `plainly')
scurry,v. to move about or proceed hurriedly
encouraging,"a. giving courage or confidence or hope
s. furnishing support and encouragement"
beetle,"n. insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings
v. fly or go in a manner resembling a beetle
v. beat with a beetle
s. jutting or overhanging"
realistic,"a. aware or expressing awareness of things as they really are
a. of or relating to the philosophical doctrine of realism"
childlike,"s. befitting a young child
s. exhibiting childlike simplicity and credulity"
endow,"v. give qualities or abilities to
v. furnish with an endowment"
youthful,s. suggestive of youth; vigorous and fresh
passion,"n. a strong feeling or emotion
n. a feeling of strong sexual desire
n. the suffering of Jesus at the Crucifixion"
air,"n. a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of
n. the region above the ground
n. a distinctive but intangible quality surrounding a person or thing
n. once thought to be one of four elements composing the universe (Empedocles)"
enthusiastic,a. having or showing great excitement and interest
celebrity,n. a widely known person
sparkle,"n. merriment expressed by a brightness or gleam or animation of countenance
v. reflect brightly
v. be lively or brilliant or exhibit virtuosity"
cherish,v be fond of; be attached to
lilt,"n. a jaunty rhythm in music
v. articulate in a very careful and rhythmic way"
precious,"s. of high worth or cost
r. extremely"
smooth,"n. the act of smoothing
v. make smooth or smoother, as if by rubbing
v. free from obstructions
a. having a surface free from roughness or bumps or ridges or irregularities"
enhance environmental awareness,none
environmental protection,none
keep ecological balance,none
ecosystem,n. a system formed by the interaction of a community of organisms with their physical environment
nature reserve,none
sustainable development strategy,none
wind and sand breaks,none
pleasant living environment,none
save energy,none
reduce the emission of greenhouse gases,none
slow down the rate of resource degradation,none
environment-friendly products,none
global warming,none
low carbon economy,none
clean renewable energy,none
nuclear energy,none
solar energy,none
high-power electrical appliance,none
carbon dioxide,none
climate change,none
environmental deterioration,none
deforestation,"n. the state of being clear of trees
n. the removal of trees"
protect forests from overexploitation,none
water and soil erosion,none
desertification,n. the gradual transformation of habitable land into desert; is usually caused by climate change or by destructive use of the land
population growth,none
wildlife protection,none
endangered species,none
wild species,none
commercial fishing,none
overfishing,none
reckless exploitation,none
natural disasters,none
catastrophe,"n. a state of extreme (usually irremediable) ruin and misfortune
n. a sudden violent change in the earth's surface"
destructive and disastrous earthquake,none
sandstorm,n a windstorm that lifts up clouds of dust or sand
drought,"n. a shortage of rainfall
n. a prolonged shortage"
flood,"n. the rising of a body of water and its overflowing onto normally dry land
n. an overwhelming number or amount
n. light that is a source of artificial illumination having a broad beam; used in photography
n. a large flow"
snowstorm,n a storm with widespread snowfall accompanied by strong winds
"""the-polluters-pay"" policy",none
law enforcement inspection,none
undertake treatment within a prescribed limit of time,none
white pollution,none
limit the use of disposable plastic bags,none
ban the use of disposable plastic bags,none
prohibit the use of disposable plastic bags,none
throwaway biodegradable plastic bags,none
disposable chopsticks,none
litter,"n. the offspring at one birth of a multiparous mammal
n. rubbish carelessly dropped or left about (especially in public places)
n. conveyance consisting of a chair or bed carried on two poles by bearers
v. strew"
garbage classification,none
throw,"n. the act of throwing (propelling something with a rapid movement of the arm and wrist)
n. a single chance or instance
n. the maximum movement available to a pivoted or reciprocating piece by a cam
n. bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something"
discard,"n. anything that is cast aside or discarded
n. (cards) the act of throwing out a useless card or of failing to follow suit
n. getting rid something that is regarded as useless or undesirable
v. throw or cast away"
trash,"n. worthless people
v. dispose of (something useless or old)"
rubbish,"n. worthless material that is to be disposed of
v. attack strongly"
garbage,"n. food that is discarded (as from a kitchen)
n. a receptacle where waste can be discarded"
decontamination of urban refuse,none
refuse landfill,none
three types of wastes,none
waste water,n water mixed with waste matter
waste gas,none
solid waste,none
industrial waste,none
toxic waste,none
multipurpose use,none
water resource conservation zone,none
sewage treatment,none
centralized treatment plant,none
recycled water,none
air pollution concentration,none
motor vehicle exhaust,none
exhaust purifier,none
lead-free gasoline,none
gas-fueled vehicles,none
electric vehicles,none
small-engine vehicles,none
industrial dust discharge,none
soot emission,none
fossil fuels,none
coal,"n. fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period
v. supply with coal
v. take in coal"
oil and natural gas,none
bachelor's degree,none
master's degree,none
doctor's degree,none
acquire degree,none
arts,"n studies intended to provide general knowledge and intellectual skills (rather than occupational or professional skills)
n the products of human creativity; works of art collectively
n the creation of beautiful or significant things
n a superior skill that you can learn by study and practice and observation
n photographs or other visual representations in a printed publication"
science,n. a particular branch of scientific knowledge
Master of Arts,none
M.A.,n. informal terms for a mother
Master of Science,none
M.S.,n. a form of address for a woman
Master of Business Administration,none
MBA,n a master's degree in business
Master of Public Administration,none
MPA,none
Master of Engineering,none
ME,n a state in New England
Master of Professional Accounting,none
MPAcc,none
Master of Science in Finance,none
MSF,none
nursery,n. a child's room for a baby
kindergarten,n. a preschool for children age 4 to 6 to prepare them for primary school
primary school,none
elementary school,none
middle school,none
university,"n. the body of faculty and students at a university
n. establishment where a seat of higher learning is housed, including administrative and living quarters as well as facilities for research and teaching
n. a large and diverse institution of higher learning created to educate for life and for a profession and to grant degrees"
institute,"n. an association organized to promote art or science or education
v. advance or set forth in court"
higher education,none
college students,none
university students,none
college graduates,none
university graduates,none
business school,none
law school,none
graduate school,none
professor,n. someone who is a member of the faculty at a college or university
faculty,n. one of the inherent cognitive or perceptual powers of the mind
department,"n. a specialized division of a large organization
n. the territorial and administrative division of some countries (such as France)
n. a specialized sphere of knowledge"
major,"n. a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain
n. British statesman who was prime minister from 1990 until 1997 (born in 1943)
n. a university student who is studying a particular field as the principal subject
n. the principal field of study of a student at a university"
teaching facilities,none
dining hall,none
canteen,"n. a flask for carrying water; used by soldiers or travelers
n. sells food and personal items to personnel at an institution or school or camp etc.
n. a restaurant outside; often for soldiers or policemen
n. a recreation room in an institution"
dormitory,"n. a college or university building containing living quarters for students
n. a large sleeping room containing several beds"
elective course,none
optional course,none
tuition fees and other expenses,none
life-long education,none
education for all-round development,none
compulsory education,none
exam-oriented education,none
adult education,none
theoretical knowledge,none
practical skills,none
information era,none
era of knowledge explosion,none
affect school achievements,none
skip classes,none
academic performance,none
academic atmosphere,none
broaden one's horizon,none
stimulate one's interest,none
tap one's potential,none
reduce study load,none
separation between liberal arts and science,none
relaxing college life,none
recruitment,n. the act of getting recruits; enlisting people for the army (or for a job or a cause etc.)
enrollment,"n the act of enrolling
n the body of people (such as students) who register or enroll at the same time"
apply for admission to ...,none
apply for admission into ...,none
College Entrance Examination,none
National Entrance Test for M.A. Candidates,none
National Entrance Test for M.S. Candidates,none
job market,none
employer,n. a person or firm that employs workers
employee,n. a worker who is hired to perform a job
vocational training,none
cultural exchange,none
cultural blending,none
cultural integration,none
traditional Chinese culture,none
Confucianism,n. the teachings of Confucius emphasizing love for humanity; high value given to learning and to devotion to family (including ancestors); peace; justice; influenced the traditional culture of China
Buddhism,"n. a religion represented by the many groups (especially in Asia) that profess various forms of the Buddhist doctrine and that venerate Buddha
n. the teaching of Buddha that life is permeated with suffering caused by desire, that suffering ceases when desire ceases, and that enlightenment obtained through right conduct and wisdom and meditation releases one from desire and suffering and rebirth"
Daoism,n. philosophical system developed by Lao-tzu and Chuang-tzu advocating a simple honest life and noninterference with the course of natural events
Taoism,"n. a Chinese sect claiming to follow the teaching of Lao-tzu but incorporating pantheism and sorcery in addition to Taoism
n. religion adhering to the teaching of Lao-tzu
n. popular Chinese philosophical system based in teachings of Lao-tzu but characterized by a pantheism of many gods and the practices of alchemy and divination and magic"
Peking Opera,none
Chinese calligraphy,none
western culture,none
Enlightenment,"n. education that results in understanding and the spread of knowledge
n. a movement in Europe from about 1650 until 1800 that advocated the use of reason and individualism instead of tradition and established doctrine"
humanism,"n. the doctrine emphasizing a person's capacity for self-realization through reason; rejects religion and the supernatural
n. the cultural movement of the Renaissance; based on classical studies"
post-modernism,n. genre of art and literature and especially architecture in reaction against principles and practices of established modernism
multi-culture,none
pluralistic culture,none
cultural diversity,none
preserve and cherish,none
absorb its essence and discard its dross,none
promote cultural development positively,none
splendid and glorious cultural heritage,none
splendid and glorious cultural legacy,none
splendid and glorious cultural relics,none
keep pace with times,none
cross-cultural communication,none
cultural difference,none
cultural tradition,none
human civilization,none
spiritual civilization,none
mainstream culture,none
interpretation of classics,none
popular culture,none
the pervasive advertisements on TV,none
idol worship,none
web addiction,none
Internet addiction,none
virtual life,none
making friends online,none
chatting on the Internet,none
online gossip,none
online shopping,none
group buying,none
group purchase,none
the Internet supervision,none
the Internet violence,none
irresponsible remarks,none
buy lottery tickets,none
online games,none
digital products,none
text message,none
mobile phone subscription,none
self-dependence,none
dote,"v. be foolish or senile due to old age
v. shower with love; show excessive affection for"
spoil,"n. (usually plural) valuables taken by violence (especially in war)
n. the act of spoiling something by causing damage to it
n. the act of stripping and taking by force
v. become unfit for consumption or use"
only child,none
fierce competition,none
boomerang kids,none
NEET,none
Not currently engaged in Education,none
Employment or Training,none
reap without sowing,none
make constant efforts,none
never give up,none
never stop making progress,none
achieve success,none
innovation,"n a creation (a new device or process) resulting from study and experimentation
n the creation of something in the mind
n the act of starting something for the first time; introducing something new"
diligence,"n. conscientiousness in paying proper attention to a task; giving the degree of care required in a given situation
n. persevering determination to perform a task"
striving spirit,none
outlook on life,none
world outlook,none
world view,none
perseverance,n. the act of persisting or persevering; continuing or repeating behavior
patience,n. good-natured tolerance of delay or incompetence
prudence,n. discretion in practical affairs
self-confidence,n freedom from doubt; belief in yourself and your abilities
modesty,"n. freedom from vanity or conceit
n. formality and propriety of manner"
lack of confidence,none
exaggerate difficulties,none
overestimate difficulties,none
underestimate one's abilities,none
teamwork,n. cooperative work done by a team (especially when it is effective)
team spirit,none
cooperate with others,none
joint efforts,none
cooperative efforts,none
help each other,none
keep optimistic,none
pessimism,"n. the feeling that things will turn out badly
n. a general disposition to look on the dark side and to expect the worst in all things"
be pessimistic,none
positive attitude,none
benevolence,"n. disposition to do good
n. an inclination to do kind or charitable acts
n. an act intending or showing kindness and good will"
physical health,none
mental health,none
psychological health,none
mental fitness,none
psychological fitness,none
health concern,none
sub-health,none
public health,none
public hygiene,none
state of mind,none
physical exercises,none
well-balanced diet,none
junk food,none
go on a diet,none
provide medical services,none
sacrifice health,none
short-term economic benefits,none
total tobacco ban,none
illness,n. impairment of normal physiological function affecting part or all of an organism
disease,n. an impairment of health or a condition of abnormal functioning
chronic disease,none
infectious disease,none
alcoholism,n. habitual intoxication; prolonged and excessive intake of alcoholic drinks leading to a breakdown in health and an addiction to alcohol such that abrupt deprivation leads to severe withdrawal symptoms
cancer,"n. any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream
n. (astrology) a person who is born while the sun is in Cancer
n. a small zodiacal constellation in the northern hemisphere; between Leo and Gemini
n. the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22"
reform of medical system,none
generation gap,none
bridge the gap,none
mutual understanding,none
misunderstanding,"n putting the wrong interpretation on
n an understanding of something that is not correct
v interpret in the wrong way"
care,"n. the work of providing treatment for or attending to someone or something
n. a cause for feeling concern
n. attention and management implying responsibility for safety
n. activity involved in maintaining something in good working order"
take care of,none
look after,none
mistreat,v. treat badly
maltreat,v treat badly
ill-treat,v treat badly
aging society,none
population aging,none
old people,none
aged people,none
the old,none
the aged,none
the elders,none
the elderly,none
senior citizens,none
practice filial piety,none
public morality,none
traditional virtues,none
duty,"n. the social force that binds you to the courses of action demanded by that force; every opportunity, an obligation; every possession, a duty""- John D.Rockefeller Jr
n. work that you are obliged to perform for moral or legal reasons
n. a government tax on imports or exports"
responsibility,n. a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct
sense of responsibility,none
shoulder one's duties,none
assume one's duties,none
undertake one's duties,none
shoulder one's responsibilities,none
assume one's responsibilities,none
undertake one's responsibilities,none
avoid one's duties,none
shirk one's duties,none
shun one's duties,none
avoid one's responsibilities,none
shirk one's responsibilities,none
shun one's responsibilities,none
devote,v. set aside or apart for a specific purpose or use
devotion,"n. feelings of ardent love
n. commitment to some purpose
n. (usually plural) religious observance or prayers (usually spoken silently)"
dedicate,"v. open to public use, as of a highway, park, or building
v. inscribe or address by way of compliment
v. set apart to sacred uses with solemn rites, of a church"
dedication,"n. complete and wholehearted fidelity
n. a ceremony in which something (as a building) is dedicated to some goal or purpose
n. a short message (as in a book or musical work or on a photograph) dedicating it to someone or something"
selfless devotion,none
the crisis of trust,none
the corruption of public morality,none
the lack of moral sense,none
immoral behaviors,none
Project Hope,none
China Red Cross Foundation,none
charity,"n. a foundation created to promote the public good (not for assistance to any particular individuals)
n. a kindly and lenient attitude toward people
n. an activity or gift that benefits the public at large
n. an institution set up to provide help to the needy"
donate,v. give to a charity or good cause
donation,"n a voluntary gift (as of money or service or ideas) made to some worthwhile cause
n act of giving in common with others for a common purpose especially to a charity"
poor rural areas,none
start schooling,none
drop out of school,none
finish school,none
to respect the old and care for the young,none
spit everywhere,none
make noise,none
talk loudly,none
empty promise,none
false promise,none
fake commodities,none
dishonest behavior,none
honesty,"n. the quality of being honest
n. southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration"
academic corruption,none
plagiarism,"n. a piece of writing that has been copied from someone else and is presented as being your own work
n. the act of plagiarizing; taking someone's words or ideas as if they were your own"
food safety,none
construction quality,none
drainage oil,none
poisonous milk powder,none
infant formula,none
food additives,none
unaffordable prices of medicines,none
excessive growth,none
illegal ads,none
unfair competition,none
compete for benefits,none
address symptoms but not root causes,none
administration department,none
supervision department,none
merchant,n. a businessperson engaged in retail trade
manufacturer,"n. a business engaged in manufacturing some product
n. someone who manufactures something"
enterprise operator,none
authorities concerned,none
take bribes,none
disregard of laws,none
shift the blame onto ...,none
consumers' rights and interests,none
unqualified expert,none
perform one's tasks fairly and effectively,none
provide polite and hospitable services,none
corruption phenomenon,none
bus lane,none
odd-and-even license plate rule,none
morning and evening peak,none
traffic jam,none
traffic congestion,none
heavy traffic,none
rush hour,none
public transport network,none
traffic restrictions based on the last digit of license plate numbers,none
traffic control,none
car-free day,none
traffic accident,none
private car,none
develop public transport,none
drunk drive,none
drive under the influence of alcohol,none
driver,"n. the operator of a motor vehicle
n. someone who drives animals that pull a vehicle
n. a golfer who hits the golf ball with a driver
n. (computer science) a program that determines how a computer will communicate with a peripheral device"
pedestrian,"n. a person who travels by foot
s. lacking wit or imagination"
economic crisis,none
financial crisis,none
financial turmoil,none
financial meltdown,none
recession,"n. the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year
n. the withdrawal of the clergy and choir from the chancel to the vestry at the end of a church service
n. the act of ceding back"
bleeding economy,none
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
sluggish economy,none
lose one's job,none
be unemployed,none
be redundant,none
job losses mount,none
unemployment climb,none
unemployment,n. the state of being unemployed or not having a job
seek employment,none
job seeker,none
a tough job market,none
confidence slump,none
economic recovery,none
the crisis's fallout,none
face the crisis,none
meet the crisis,none
fight the crisis,none
confidence reconstruction,none
contain declines,none
slow down declines,none
affordable housing project,none
comfortable housing project,none
cost-cutting,none
generate new employment,none
stimulate consumer spending,none
revive,"v. be brought back to life, consciousness, or strength
v. restore from a depressed, inactive, or unused state"
recovery,"n. return to an original state
n. the act of regaining or saving something lost (or in danger of becoming lost)"
turnaround,"n. time need to prepare a vessel or ship for a return trip
n. an area sufficiently large for a vehicle to turn around
n. act or process of unloading and loading and servicing a vessel or aircraft for a return trip"
proactive fiscal policy,none
refrain from laying off employees,none
cut the salaried work force,none
structural adjustment,none
stimulus package,none
stimulus plan,none
career guidance,none
propel domestic demand,none
drive domestic demand,none
expand domestic demand,none
infrastructure construction,none
tax relief,none
practice economy,none
moderately loose monetary policy,none
government bailout,none
government's vow to do sth.,none
the market economy system,none
economic globalization,none
international economic organization,none
advancements in science and technology,none
multinational,s. involving or operating in several nations or nationalities
private enterprise,s subscribing to capitalistic competition
automobile industry,none
real estate industry,none
telecommunication industry,none
domestic brand,none
national brand,none
Chinese brand,none
market share,none
market portion,none
company,"n. an institution created to conduct business
n. small military unit; usually two or three platoons
n. the state of being with someone
n. organization of performers and associated personnel (especially theatrical)"
corporation,n. a business firm whose articles of incorporation have been approved in some state
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
staff,"n. personnel who assist their superior in carrying out an assigned task
n. a strong rod or stick with a specialized utilitarian purpose
n. the body of teachers and administrators at a school
n. building material consisting of plaster and hair; used to cover external surfaces of temporary structure (as at an exposition) or for decoration"
personnel,"n group of people willing to obey orders
n the department responsible for hiring and training and placing employees and for setting policies for personnel management"
job satisfaction,none
work pressure,none
working pressure,none
improve welfare and treatment,none
attract foreign investment,none
legal protection,none
profound social and economic impact,none
the reform and opening-up,none
social security system,none
unemployment,n. the state of being unemployed or not having a job
housing problem,none
public infrastructure,none
skyscraper,n. a very tall building with many stories
sustainable urban development,none
urbanization,"n. the condition of being urbanized
n. the social process whereby cities grow and societies become more urban"
