wonderful,s extraordinarily good or great; used especially as intensifiers
snowstorm,n a storm with widespread snowfall accompanied by strong winds
"""the-polluters-pay"" policy",none
law enforcement inspection,none
undertake treatment within a prescribed limit of time,none
white pollution,none
limit the use of disposable plastic bags,none
ban the use of disposable plastic bags,none
prohibit the use of disposable plastic bags,none
throwaway biodegradable plastic bags,none
disposable chopsticks,none
litter,"n. the offspring at one birth of a multiparous mammal
n. rubbish carelessly dropped or left about (especially in public places)
n. conveyance consisting of a chair or bed carried on two poles by bearers
v. strew"
garbage classification,none
throw,"n. the act of throwing (propelling something with a rapid movement of the arm and wrist)
n. a single chance or instance
n. the maximum movement available to a pivoted or reciprocating piece by a cam
n. bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something"
discard,"n. anything that is cast aside or discarded
n. (cards) the act of throwing out a useless card or of failing to follow suit
n. getting rid something that is regarded as useless or undesirable
v. throw or cast away"
trash,"n. worthless people
v. dispose of (something useless or old)"
rubbish,"n. worthless material that is to be disposed of
v. attack strongly"
garbage,"n. food that is discarded (as from a kitchen)
n. a receptacle where waste can be discarded"
decontamination of urban refuse,none
refuse landfill,none
three types of wastes,none
waste water,n water mixed with waste matter
waste gas,none
solid waste,none
industrial waste,none
toxic waste,none
multipurpose use,none
water resource conservation zone,none
sewage treatment,none
centralized treatment plant,none
recycled water,none
air pollution concentration,none
motor vehicle exhaust,none
exhaust purifier,none
lead-free gasoline,none
gas-fueled vehicles,none
electric vehicles,none
small-engine vehicles,none
industrial dust discharge,none
soot emission,none
fossil fuels,none
coal,"n. fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period
v. supply with coal
v. take in coal"
oil and natural gas,none
bachelor's degree,none
master's degree,none
doctor's degree,none
acquire degree,none
arts,"n studies intended to provide general knowledge and intellectual skills (rather than occupational or professional skills)
n the products of human creativity; works of art collectively
n the creation of beautiful or significant things
n a superior skill that you can learn by study and practice and observation
n photographs or other visual representations in a printed publication"
science,n. a particular branch of scientific knowledge
Master of Arts,none
M.A.,n. informal terms for a mother
Master of Science,none
M.S.,n. a form of address for a woman
Master of Business Administration,none
MBA,n a master's degree in business
Master of Public Administration,none
MPA,none
Master of Engineering,none
ME,n a state in New England
Master of Professional Accounting,none
MPAcc,none
Master of Science in Finance,none
MSF,none
nursery,n. a child's room for a baby
kindergarten,n. a preschool for children age 4 to 6 to prepare them for primary school
primary school,none
elementary school,none
middle school,none
university,"n. the body of faculty and students at a university
n. establishment where a seat of higher learning is housed, including administrative and living quarters as well as facilities for research and teaching
n. a large and diverse institution of higher learning created to educate for life and for a profession and to grant degrees"
institute,"n. an association organized to promote art or science or education
v. advance or set forth in court"
higher education,none
college students,none
university students,none
college graduates,none
university graduates,none
business school,none
law school,none
graduate school,none
professor,n. someone who is a member of the faculty at a college or university
faculty,n. one of the inherent cognitive or perceptual powers of the mind
department,"n. a specialized division of a large organization
n. the territorial and administrative division of some countries (such as France)
n. a specialized sphere of knowledge"
major,"n. a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain
n. British statesman who was prime minister from 1990 until 1997 (born in 1943)
n. a university student who is studying a particular field as the principal subject
n. the principal field of study of a student at a university"
teaching facilities,none
dining hall,none
canteen,"n. a flask for carrying water; used by soldiers or travelers
n. sells food and personal items to personnel at an institution or school or camp etc.
n. a restaurant outside; often for soldiers or policemen
n. a recreation room in an institution"
dormitory,"n. a college or university building containing living quarters for students
n. a large sleeping room containing several beds"
elective course,none
optional course,none
tuition fees and other expenses,none
life-long education,none
education for all-round development,none
compulsory education,none
exam-oriented education,none
adult education,none
theoretical knowledge,none
practical skills,none
information era,none
era of knowledge explosion,none
affect school achievements,none
skip classes,none
academic performance,none
academic atmosphere,none
broaden one's horizon,none
stimulate one's interest,none
tap one's potential,none
reduce study load,none
separation between liberal arts and science,none
relaxing college life,none
recruitment,n. the act of getting recruits; enlisting people for the army (or for a job or a cause etc.)
enrollment,"n the act of enrolling
n the body of people (such as students) who register or enroll at the same time"
apply for admission to ...,none
apply for admission into ...,none
College Entrance Examination,none
National Entrance Test for M.A. Candidates,none
National Entrance Test for M.S. Candidates,none
job market,none
employer,n. a person or firm that employs workers
employee,n. a worker who is hired to perform a job
vocational training,none
cultural exchange,none
cultural blending,none
cultural integration,none
traditional Chinese culture,none
Confucianism,n. the teachings of Confucius emphasizing love for humanity; high value given to learning and to devotion to family (including ancestors); peace; justice; influenced the traditional culture of China
Buddhism,"n. a religion represented by the many groups (especially in Asia) that profess various forms of the Buddhist doctrine and that venerate Buddha
n. the teaching of Buddha that life is permeated with suffering caused by desire, that suffering ceases when desire ceases, and that enlightenment obtained through right conduct and wisdom and meditation releases one from desire and suffering and rebirth"
Daoism,n. philosophical system developed by Lao-tzu and Chuang-tzu advocating a simple honest life and noninterference with the course of natural events
Taoism,"n. a Chinese sect claiming to follow the teaching of Lao-tzu but incorporating pantheism and sorcery in addition to Taoism
n. religion adhering to the teaching of Lao-tzu
n. popular Chinese philosophical system based in teachings of Lao-tzu but characterized by a pantheism of many gods and the practices of alchemy and divination and magic"
Peking Opera,none
Chinese calligraphy,none
western culture,none
Enlightenment,"n. education that results in understanding and the spread of knowledge
n. a movement in Europe from about 1650 until 1800 that advocated the use of reason and individualism instead of tradition and established doctrine"
humanism,"n. the doctrine emphasizing a person's capacity for self-realization through reason; rejects religion and the supernatural
n. the cultural movement of the Renaissance; based on classical studies"
post-modernism,n. genre of art and literature and especially architecture in reaction against principles and practices of established modernism
multi-culture,none
pluralistic culture,none
cultural diversity,none
preserve and cherish,none
absorb its essence and discard its dross,none
promote cultural development positively,none
splendid and glorious cultural heritage,none
splendid and glorious cultural legacy,none
splendid and glorious cultural relics,none
keep pace with times,none
cross-cultural communication,none
cultural difference,none
cultural tradition,none
human civilization,none
spiritual civilization,none
mainstream culture,none
interpretation of classics,none
popular culture,none
the pervasive advertisements on TV,none
idol worship,none
web addiction,none
Internet addiction,none
virtual life,none
making friends online,none
chatting on the Internet,none
online gossip,none
online shopping,none
group buying,none
group purchase,none
the Internet supervision,none
the Internet violence,none
irresponsible remarks,none
buy lottery tickets,none
online games,none
digital products,none
text message,none
mobile phone subscription,none
self-dependence,none
dote,"v. be foolish or senile due to old age
v. shower with love; show excessive affection for"
spoil,"n. (usually plural) valuables taken by violence (especially in war)
n. the act of spoiling something by causing damage to it
n. the act of stripping and taking by force
v. become unfit for consumption or use"
only child,none
fierce competition,none
boomerang kids,none
NEET,none
Not currently engaged in Education,none
Employment or Training,none
reap without sowing,none
make constant efforts,none
never give up,none
never stop making progress,none
achieve success,none
innovation,"n a creation (a new device or process) resulting from study and experimentation
n the creation of something in the mind
n the act of starting something for the first time; introducing something new"
diligence,"n. conscientiousness in paying proper attention to a task; giving the degree of care required in a given situation
n. persevering determination to perform a task"
striving spirit,none
outlook on life,none
world outlook,none
world view,none
perseverance,n. the act of persisting or persevering; continuing or repeating behavior
patience,n. good-natured tolerance of delay or incompetence
prudence,n. discretion in practical affairs
self-confidence,n freedom from doubt; belief in yourself and your abilities
modesty,"n. freedom from vanity or conceit
n. formality and propriety of manner"
lack of confidence,none
exaggerate difficulties,none
overestimate difficulties,none
underestimate one's abilities,none
teamwork,n. cooperative work done by a team (especially when it is effective)
team spirit,none
cooperate with others,none
joint efforts,none
cooperative efforts,none
help each other,none
keep optimistic,none
pessimism,"n. the feeling that things will turn out badly
n. a general disposition to look on the dark side and to expect the worst in all things"
be pessimistic,none
positive attitude,none
benevolence,"n. disposition to do good
n. an inclination to do kind or charitable acts
n. an act intending or showing kindness and good will"
physical health,none
mental health,none
psychological health,none
mental fitness,none
psychological fitness,none
health concern,none
sub-health,none
public health,none
public hygiene,none
state of mind,none
physical exercises,none
well-balanced diet,none
junk food,none
go on a diet,none
provide medical services,none
sacrifice health,none
short-term economic benefits,none
total tobacco ban,none
illness,n. impairment of normal physiological function affecting part or all of an organism
disease,n. an impairment of health or a condition of abnormal functioning
chronic disease,none
infectious disease,none
alcoholism,n. habitual intoxication; prolonged and excessive intake of alcoholic drinks leading to a breakdown in health and an addiction to alcohol such that abrupt deprivation leads to severe withdrawal symptoms
cancer,"n. any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream
n. (astrology) a person who is born while the sun is in Cancer
n. a small zodiacal constellation in the northern hemisphere; between Leo and Gemini
n. the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22"
reform of medical system,none
generation gap,none
bridge the gap,none
mutual understanding,none
misunderstanding,"n putting the wrong interpretation on
n an understanding of something that is not correct
v interpret in the wrong way"
care,"n. the work of providing treatment for or attending to someone or something
n. a cause for feeling concern
n. attention and management implying responsibility for safety
n. activity involved in maintaining something in good working order"
take care of,none
look after,none
mistreat,v. treat badly
maltreat,v treat badly
ill-treat,v treat badly
aging society,none
population aging,none
old people,none
aged people,none
the old,none
the aged,none
the elders,none
the elderly,none
senior citizens,none
practice filial piety,none
public morality,none
traditional virtues,none
duty,"n. the social force that binds you to the courses of action demanded by that force; every opportunity, an obligation; every possession, a duty""- John D.Rockefeller Jr
n. work that you are obliged to perform for moral or legal reasons
n. a government tax on imports or exports"
responsibility,n. a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct
sense of responsibility,none
shoulder one's duties,none
assume one's duties,none
undertake one's duties,none
shoulder one's responsibilities,none
assume one's responsibilities,none
undertake one's responsibilities,none
avoid one's duties,none
shirk one's duties,none
shun one's duties,none
avoid one's responsibilities,none
shirk one's responsibilities,none
shun one's responsibilities,none
devote,v. set aside or apart for a specific purpose or use
devotion,"n. feelings of ardent love
n. commitment to some purpose
n. (usually plural) religious observance or prayers (usually spoken silently)"
dedicate,"v. open to public use, as of a highway, park, or building
v. inscribe or address by way of compliment
v. set apart to sacred uses with solemn rites, of a church"
dedication,"n. complete and wholehearted fidelity
n. a ceremony in which something (as a building) is dedicated to some goal or purpose
n. a short message (as in a book or musical work or on a photograph) dedicating it to someone or something"
selfless devotion,none
the crisis of trust,none
the corruption of public morality,none
the lack of moral sense,none
immoral behaviors,none
Project Hope,none
China Red Cross Foundation,none
charity,"n. a foundation created to promote the public good (not for assistance to any particular individuals)
n. a kindly and lenient attitude toward people
n. an activity or gift that benefits the public at large
n. an institution set up to provide help to the needy"
donate,v. give to a charity or good cause
donation,"n a voluntary gift (as of money or service or ideas) made to some worthwhile cause
n act of giving in common with others for a common purpose especially to a charity"
poor rural areas,none
start schooling,none
drop out of school,none
finish school,none
to respect the old and care for the young,none
spit everywhere,none
make noise,none
talk loudly,none
empty promise,none
false promise,none
fake commodities,none
dishonest behavior,none
honesty,"n. the quality of being honest
n. southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration"
academic corruption,none
plagiarism,"n. a piece of writing that has been copied from someone else and is presented as being your own work
n. the act of plagiarizing; taking someone's words or ideas as if they were your own"
food safety,none
construction quality,none
drainage oil,none
poisonous milk powder,none
infant formula,none
food additives,none
unaffordable prices of medicines,none
excessive growth,none
illegal ads,none
unfair competition,none
compete for benefits,none
address symptoms but not root causes,none
administration department,none
supervision department,none
merchant,n. a businessperson engaged in retail trade
manufacturer,"n. a business engaged in manufacturing some product
n. someone who manufactures something"
enterprise operator,none
authorities concerned,none
take bribes,none
disregard of laws,none
shift the blame onto ...,none
consumers' rights and interests,none
unqualified expert,none
perform one's tasks fairly and effectively,none
provide polite and hospitable services,none
corruption phenomenon,none
bus lane,none
odd-and-even license plate rule,none
morning and evening peak,none
traffic jam,none
traffic congestion,none
heavy traffic,none
rush hour,none
public transport network,none
traffic restrictions based on the last digit of license plate numbers,none
traffic control,none
car-free day,none
traffic accident,none
private car,none
develop public transport,none
drunk drive,none
drive under the influence of alcohol,none
driver,"n. the operator of a motor vehicle
n. someone who drives animals that pull a vehicle
n. a golfer who hits the golf ball with a driver
n. (computer science) a program that determines how a computer will communicate with a peripheral device"
pedestrian,"n. a person who travels by foot
s. lacking wit or imagination"
economic crisis,none
financial crisis,none
financial turmoil,none
financial meltdown,none
recession,"n. the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year
n. the withdrawal of the clergy and choir from the chancel to the vestry at the end of a church service
n. the act of ceding back"
bleeding economy,none
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
sluggish economy,none
lose one's job,none
be unemployed,none
be redundant,none
job losses mount,none
unemployment climb,none
unemployment,n. the state of being unemployed or not having a job
seek employment,none
job seeker,none
a tough job market,none
confidence slump,none
economic recovery,none
the crisis's fallout,none
face the crisis,none
meet the crisis,none
fight the crisis,none
confidence reconstruction,none
contain declines,none
slow down declines,none
affordable housing project,none
comfortable housing project,none
cost-cutting,none
generate new employment,none
stimulate consumer spending,none
revive,"v. be brought back to life, consciousness, or strength
v. restore from a depressed, inactive, or unused state"
recovery,"n. return to an original state
n. the act of regaining or saving something lost (or in danger of becoming lost)"
turnaround,"n. time need to prepare a vessel or ship for a return trip
n. an area sufficiently large for a vehicle to turn around
n. act or process of unloading and loading and servicing a vessel or aircraft for a return trip"
proactive fiscal policy,none
refrain from laying off employees,none
cut the salaried work force,none
structural adjustment,none
stimulus package,none
stimulus plan,none
career guidance,none
propel domestic demand,none
drive domestic demand,none
expand domestic demand,none
infrastructure construction,none
tax relief,none
practice economy,none
moderately loose monetary policy,none
government bailout,none
government's vow to do sth.,none
the market economy system,none
economic globalization,none
international economic organization,none
advancements in science and technology,none
multinational,s. involving or operating in several nations or nationalities
private enterprise,s subscribing to capitalistic competition
automobile industry,none
real estate industry,none
telecommunication industry,none
domestic brand,none
national brand,none
Chinese brand,none
market share,none
market portion,none
company,"n. an institution created to conduct business
n. small military unit; usually two or three platoons
n. the state of being with someone
n. organization of performers and associated personnel (especially theatrical)"
corporation,n. a business firm whose articles of incorporation have been approved in some state
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
staff,"n. personnel who assist their superior in carrying out an assigned task
n. a strong rod or stick with a specialized utilitarian purpose
n. the body of teachers and administrators at a school
n. building material consisting of plaster and hair; used to cover external surfaces of temporary structure (as at an exposition) or for decoration"
personnel,"n group of people willing to obey orders
n the department responsible for hiring and training and placing employees and for setting policies for personnel management"
job satisfaction,none
work pressure,none
working pressure,none
improve welfare and treatment,none
attract foreign investment,none
legal protection,none
profound social and economic impact,none
the reform and opening-up,none
social security system,none
unemployment,n. the state of being unemployed or not having a job
housing problem,none
public infrastructure,none
skyscraper,n. a very tall building with many stories
sustainable urban development,none
urbanization,"n. the condition of being urbanized
n. the social process whereby cities grow and societies become more urban"
