abase,v cause to feel shame; hurt the pride of
procure,v. get by special effort
profess,"v. practice as a profession, teach, or claim to be knowledgeable about
v. confess one's faith in, or allegiance to
v. state freely
v. receive into a religious order or congregation"
profuse,s produced or growing in extreme abundance
proliferate,"v. grow rapidly
v. cause to grow or increase rapidly"
pronounced,"v speak, pronounce, or utter in a certain way
v pronounce judgment on
s strongly marked; easily noticeable"
proponent,n a person who pleads for a cause or propounds an idea
Protestant,"n. an adherent of Protestantism
a. of or relating to Protestants or Protestantism
s. protesting"
psychedelic,"s. producing distorted sensory perceptions and feelings or altered states of awareness or sometimes states resembling psychosis
s. having the vivid colors and bizarre patterns associated with psychedelic states
s. (of a mental state) characterized by intense and distorted perceptions and hallucinations and feelings of euphoria or sometimes despair"
quadruple,"n. a quantity that is four times as great as another
v. increase fourfold
s. having four units or components
s. four times as great or many"
query,"n an instance of questioning
v pose a question"
quirk,"n. a narrow groove beside a beading
v. twist or curve abruptly"
ranch,"n. farm consisting of a large tract of land along with facilities needed to raise livestock (especially cattle)
v. manage or run a ranch"
rating,n. standing or position on a scale
rattlesnake,n. pit viper with horny segments at the end of the tail that rattle when shaken
raze,v tear down so as to make flat with the ground
ready-made,"n. a manufactured artifact (as a garment or piece of furniture) that is made in advance and available for purchase
a. made for purchase and immediate use
s. commercially produced; not homemade"
rebound,"n. a reaction to a crisis or setback or frustration
n. the act of securing possession of the rebounding basketball after a missed shot"
red-hot,"s. characterized by intense emotion or interest or excitement
s. glowing red with heat"
refrigerated,s. made or kept cold by refrigeration
regain,"v get or find back; recover the use of
v come upon after searching; find the location of something that was missed or lost"
relic,n. an antiquity that has survived from the distant past
renounce,"v give up, such as power, as of monarchs and emperors, or duties and obligations
v leave (a job, post, or position) voluntarily
v turn away from; give up
v cast off"
residue,n. matter that remains after something has been removed
resounding,"v ring or echo with sound
v emit a noise
s characterized by resonance"
revere,n. American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
rhythmical,a. recurring with measured regularity
roadhog,n. a driver who obstructs others
road hog,n. a driver who obstructs others
roam,"v move about aimlessly or without any destination, often in search of food or employment"
rustle,"n. a light noise, like the noise of silk clothing or leaves blowing in the wind
v. make a dry crackling sound
v. take illegally
v. forage food"
rut,"n. a groove or furrow (especially one in soft earth caused by wheels)
n. a settled and monotonous routine that is hard to escape
v. be in a state of sexual excitement; of male mammals"
saga,n. a narrative telling the adventures of a hero or a family; originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account
sanitary,a. free from filth and pathogens
sardine,"n. small fatty fish usually canned
n. any of various small edible herring or related food fishes frequently canned"
scapegoat,n. someone who is punished for the errors of others
schism,"n. division of a group into opposing factions
n. the formal separation of a church into two churches or the withdrawal of one group over doctrinal differences"
sediment,"n. matter that has been deposited by some natural process
v. deposit as a sediment
v. settle as sediment"
sensory,a. involving or derived from the senses
sermon,"n. an address of a religious nature (usually delivered during a church service)
n. a moralistic rebuke"
selective,"s. tending to select; characterized by careful choice
s. characterized by very careful or fastidious selection"
sneaker,"n a canvas shoe with a pliable rubber sole
n someone acting as an informer or decoy for the police"
separation,"n. the state of lacking unity
n. coming apart
n. sorting one thing from others
n. the social act of separating or parting company"
sexually,"r. with respect to sexuality
r. by sexual means"
shimmer,"n. a weak and tremulous light
v. shine with a weak or fitful light
v. give off a shimmering reflection, as of silk"
shortlist,v. put someone or something on a short list
shovel,"n. a hand tool for lifting loose material; consists of a curved container or scoop and a handle
n. the quantity a shovel can hold
n. a fire iron consisting of a small shovel used to scoop coals or ashes in a fireplace
v. dig with or as if with a shovel"
shrivel,"v. wither, as with a loss of moisture"
shudder,"v. tremble convulsively, as from fear or excitement"
shuffle,"n. the act of mixing cards haphazardly
v. walk by dragging one's feet
v. move about, move back and forth
v. mix so as to make a random order or arrangement"
sidewalk,n. walk consisting of a paved area for pedestrians; usually beside a street or roadway
silt,n. mud or clay or small rocks deposited by a river or lake
similarly,r. in like or similar manner
site,"n. the piece of land on which something is located (or is to be located)
n. physical position in relation to the surroundings"
slash,"n. an open tract of land in a forest that is strewn with debris from logging (or fire or wind)
n. a strong sweeping cut made with a sharp instrument
v. cut with sweeping strokes; as with an ax or machete
v. cut open"
sledge,"v. transport in a sleigh
v. ride in or travel with a sledge"
slowdown,n. the act of slowing down or falling behind
small-minded,s contemptibly narrow in outlook
smallpox,n. a highly contagious viral disease characterized by fever and weakness and skin eruption with pustules that form scabs that slough off leaving scars
smoothly,"r. with no problems or difficulties
r. in a smooth and diplomatic manner"
smother,"n. a stifling cloud of smoke
v. envelop completely
v. deprive of oxygen and prevent from breathing
v. conceal or hide"
smudge,"n. a smoky fire to drive away insects
n. a blemish made by dirt"
sneer,"n. a facial expression of contempt or scorn; the upper lip curls
n. a contemptuous or scornful remark
v. express through a scornful smile
v. smile contemptuously"
soothe,v. cause to feel better
sparing,"v refrain from harming
v save or relieve from an experience or action
v give up what is not strictly needed
v use frugally or carefully
v furnish with spars
v fight with spurs
v box lightly
v fight verbally
s avoiding waste"
sparse,s. not dense
spatial,a. pertaining to or involving or having the nature of space
spotlight,"n. a lamp that produces a strong beam of light to illuminate a restricted area; used to focus attention of a stage performer
v. illuminate with a spotlight, as in the theater"
sprawl,"n. an ungainly posture with arms and legs spread about
v. sit or lie with one's limbs spread out
v. go, come, or spread in a rambling or irregular way"
squat,"n. the act of assuming or maintaining a crouching position with the knees bent and the buttocks near the heels
v. sit on one's heels
v. be close to the earth, or be disproportionately wide
v. occupy (a dwelling) illegally"
squeak,n. a short high-pitched noise
stakeholder,n. someone entrusted to hold the stakes for two or more persons betting against one another; must deliver the stakes to the winner
stamina,n. enduring strength and energy
standstill,"n a situation in which no progress can be made or no advancement is possible
n an interruption of normal activity"
starch,"n. a complex carbohydrate found chiefly in seeds, fruits, tubers, roots and stem pith of plants, notably in corn, potatoes, wheat, and rice; an important foodstuff and used otherwise especially in adhesives and as fillers and stiffeners for paper and textiles
n. a commercial preparation of starch that is used to stiffen textile fabrics in laundering
v. stiffen with starch"
stature,"n. high level of respect gained by impressive development or achievement
n. (of a standing person) the distance from head to foot"
stead,n. the post or function properly or customarily occupied or served by another
stenographer,n. someone skilled in the transcription of speech (especially dictation)
sterile,"a. incapable of reproducing
s. deficient in originality or creativity; lacking powers of invention"
stifle,"n. joint between the femur and tibia in a quadruped; corresponds to the human knee
v. smother or suppress"
stimulus,n any stimulating information or event; acts to arouse action
stockpile,n. a storage pile accumulated for future use
stomp,"n. a dance involving a rhythmical stamping step
v. walk heavily"
stout,"n. a strong very dark heavy-bodied ale made from pale malt and roasted unmalted barley and (often) caramel malt with hops
n. a garment size for a large or heavy person"
stow,v. fill by packing tightly
strait,"n. a narrow channel of the sea joining two larger bodies of water
s. narrow"
strand,"n. a pattern forming a unity within a larger structural whole
n. line consisting of a complex of fibers or filaments that are twisted together to form a thread or a rope or a cable
n. a poetic term for a shore (as the area periodically covered and uncovered by the tides)
n. a street in west central London famous for its theaters and hotels"
stratum,n. one of several parallel layers of material arranged one on top of another (such as a layer of tissue or cells in an organism or a layer of sedimentary rock)
subdue,"v put down by force or intimidation
v to put down by force or authority
v hold within limits and control
v get on top of; deal with successfully
v make subordinate, dependent, or subservient
v correct by punishment or discipline"
submicroscopic,none
surmise,v. infer from incomplete evidence
surveillance,n. close observation of a person or group (usually by the police)
suspense,"n. apprehension about what is going to happen
n. an uncertain cognitive state
n. excited anticipation of an approaching climax"
suspension,"n. a mixture in which fine particles are suspended in a fluid where they are supported by buoyancy
n. an interruption in the intensity or amount of something
n. a mechanical system of springs or shock absorbers connecting the wheels and axles to the chassis of a wheeled vehicle
n. the act of suspending something (hanging it from above so it moves freely)"
sustenance,n. the act of sustaining life by food or providing a means of subsistence
swollen,"v increase in size, magnitude, number, or intensity
v become filled with pride, arrogance, or anger
v expand abnormally
v come up (as of feelings and thoughts, or other ephemeral things)
v come up, as of a liquid
v cause to become swollen
s characteristic of false pride; having an exaggerated sense of self-importance"
symbolize,v. represent or identify by using a symbol; use symbols
syndicate,"n. a loose affiliation of gangsters in charge of organized criminal activities
n. a news agency that sells features or articles or photographs etc. to newspapers for simultaneous publication
v. join together into a syndicate
v. organize into or form a syndicate"
tack,"n. the heading or position of a vessel relative to the trim of its sails
n. a short nail with a sharp point and a large head
n. (nautical) the act of changing tack
n. sailing a zigzag course"
tangible,"a. perceptible by the senses especially the sense of touch
a. (of especially business assets) having physical substance and intrinsic monetary value"
tardy,s after the expected or usual time; delayed
teens,"n. the time of life between the ages of 12 and 20
n. all the numbers that end in -teen"
temperate,"a. (of weather or climate) free from extremes; mild; or characteristic of such weather or climate
a. not extreme in behavior"
template,n. a model or standard for making comparisons
terrestrial,a. operating or living or growing on land
tinge,v. affect as in thought or feeling
tonic,"n. lime- or lemon-flavored carbonated water containing quinine
n. (music) the first note of a diatonic scale
n. a medicine that strengthens and invigorates
a. of or relating to or producing normal tone or tonus in muscles or tissue"
tornado,n. a localized and violently destructive windstorm occurring over land characterized by a funnel-shaped cloud extending toward the ground
tort,n. (law) any wrongdoing for which an action for damages may be brought
tortuous,"s. marked by repeated turns and bends
s. not straightforward"
tournament,"n. a sporting competition in which contestants play a series of games to decide the winner
n. a series of jousts between knights contesting for a prize"
transcribe,"v. write out from speech, notes, etc.
v. rewrite or arrange a piece of music for an instrument or medium other than that originally intended
v. make a phonetic transcription of
v. convert the genetic information in (a strand of DNA) into a strand of RNA, especially messenger RNA"
transfusion,"n. the introduction of blood or blood plasma into a vein or artery
n. the action of pouring a liquid from one vessel to another"
translucent,s. allowing light to pass through diffusely
traverse,"v. travel across or pass over
v. deny formally (an allegation of fact by the opposing party) in a legal suit"
trickle,"v. run or flow slowly, as in drops or in an unsteady stream"
trigonometry,n. the mathematics of triangles and trigonometric functions
trillion,"n. the number that is represented as a one followed by 18 zeros
n. the number that is represented as a one followed by 12 zeros
s. one quintillion in Great Britain
s. one million million in the United States"
trot,"n. a gait faster than a walk; diagonally opposite legs strike the ground together
v. run at a moderately swift pace
v. ride at a trot
v. cause to trot"
trustworthy,"a. worthy of trust or belief
s. taking responsibility for one's conduct and obligations"
turtle,"n. any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming
v. hunt for turtles, especially as an occupation"
ulcer,n. a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue
undercover,s conducted with or marked by hidden aims or methods
underprivileged,a. lacking the rights and advantages of other members of society
undue,"a. not yet payable
a. not appropriate or proper (or even legal) in the circumstances
s. lacking justification or authorization"
unearth,v. bring to light
unilateralism,n. the doctrine that nations should conduct their foreign affairs individualistically without the advice or involvement of other nations
upbringing,n. properties acquired during a person's formative years
uplifting,n. the rise of something
uranium,n. a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons
vaccination,n. the scar left following inoculation with a vaccine
vaunt,n. extravagant self-praise
vendor,n someone who promotes or exchanges goods or services for money
vertebrate,"n. animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium
a. having a backbone or spinal column"
viable,s. capable of life or normal growth and development
vibration,"n. the act of vibrating
n. a distinctive emotional aura experienced instinctively"
vigilance,"n the process of paying close and continuous attention
n vigilant attentiveness"
volatile,"n. a volatile substance; a substance that changes readily from solid or liquid to a vapor
a. evaporating readily at normal temperatures and pressures
s. tending to vary often or widely"
wade,"n. English tennis player who won many women's singles titles (born in 1945)
v. walk (through relatively shallow water)"
wait-and-see,none
warranty,n a written assurance that some product or service will be provided or will meet certain specifications
waver,"n. someone who communicates by waving
n. the act of moving back and forth
v. sway to and fro"
wharf,"v. provide with a wharf
v. store on a wharf
v. discharge at a wharf
v. moor at a wharf"
whereby,"adv. By which; -- used relatively.
adv. By what; how; -- used interrogatively."
whirlwind,n. a more or less vertical column of air whirling around itself as it moves over the surface of the Earth
wholesale,"n. the selling of goods to merchants; usually in large quantities for resale to consumers
v. sell in large quantities
r. at a wholesale price
r. on a large scale without careful discrimination"
wield,"v. have and exercise
v. handle effectively"
wither,"v wither, as with a loss of moisture
v lose freshness, vigor, or vitality"
woodcut,"n. a print made from a woodcut
n. engraving consisting of a block of wood with a design cut into it; used to make prints"
wrath,"n. intense anger (usually on an epic scale)
n. belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)"
yearn,v. have affection for; feel tenderness for
yellowish,s of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk
zest,v. add herbs or spices to
economic system,none
planned economy,none
market economy,none
market-oriented economy,none
market cycle,none
market demand,none
state-owned business,none
industrialization,n. the development of industry on an extensive scale
home market,none
red-hot economy,none
prosperous,"s in fortunate circumstances financially; moderately rich
s very lively and profitable
s marked by peace and prosperity
s presaging or likely to bring good luck"
globalization,n. growth to a global or worldwide scale
global inflation,none
multinational corporation,none
stock price,none
venture investment,none
broker,v. act as a broker
stakeholder,n. someone entrusted to hold the stakes for two or more persons betting against one another; must deliver the stakes to the winner
economic puppet,none
credit card,none
monetary policy,none
competitive price,none
retail price,none
commodity price,none
steer the economy to a soft landing,none
devalue,"v. remove the value from; deprive of its value
v. lower the value or quality of"
interest rate,none
capital,"n. assets available for use in the production of further assets
n. wealth in the form of money or property owned by a person or business and human resources of economic value
n. a seat of government
n. one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis; capitals were kept in the upper half of the type case and so became known as upper-case letters"""
intellectual property,none
infrastructure,"n. the basic structure or features of a system or organization
n. the stock of basic facilities and capital equipment needed for the functioning of a country or area"
treasury,"n. the funds of a government or institution or individual
n. the government department responsible for collecting and managing and spending public revenues
n. negotiable debt obligations of the United States government which guarantees that interest and principal payments will be paid on time
n. the British cabinet minister responsible for economic strategy"
patent office,none
productivity,n. (economics) the ratio of the quantity and quality of units produced to the labor per unit of time
production,"n. the act or process of producing something
n. a presentation for the stage or screen or radio or television
n. (law) the act of exhibiting in a court of law
n. a display that is exaggerated or unduly complicated"
transaction,n. the act of transacting within or between groups (as carrying on commercial activities)
consumption,"n. the process of taking food into the body through the mouth (as by eating)
n. (economics) the utilization of economic goods to satisfy needs or in manufacturing
n. the act of consuming something"
subscribe to,none
commodity,n. articles of commerce
inferior article,none
qualitatively,r. in a qualitative manner
monopoly,"n. (economics) a market in which there are many buyers but only one seller
n. exclusive control or possession of something
n. a board game in which players try to gain a monopoly on real estate as pieces advance around the board according to the throw of a die"
merger,"n the combination of two or more commercial companies
n an occurrence that involves the production of a union"
consolidation,"n. combining into a solid mass
n. the act of combining into an integral whole
n. something that has consolidated into a compact mass"
incorporate,"v. include or contain; have as a component
v. form a corporation
v. unite or merge with something already in existence
s. formed or united into a whole"
downscale,s intended for people with low incomes
centralization,"n. the act of consolidating power under a central control
n. gathering to a center"
professionalization,n. the social process whereby people come to engage in an activity for pay or as a means of livelihood
freight,"n. transporting goods commercially at rates cheaper than express rates
n. the charge for transporting something by common carrier
v. transport commercially as cargo
v. load with goods for transportation"
shipper,"n. someone who ships goods
n. a company in the business of shipping freight"
premium,"n. payment for insurance
n. the amount that something in scarce supply is valued above its nominal value
n. a prize, bonus, or award given as an inducement to purchase products, enter competitions initiated by business interests, etc.
s. having or reflecting superior quality or value"
dealership,n a business established or operated under an authorization to sell or distribute a company's goods or services in a particular area
retailer,n. a merchant who sells goods at retail
surplus,"n a quantity much larger than is needed
s more than is needed, desired, or required"
predominance,n. the state of being predominant over others
vitality,n. an energetic style
unexploited,a. undeveloped or unused
energy-intensive,none
commercialize,"v. exploit for maximal profit, usually by sacrificing quality
v. make commercial"
underfund,none
mountainous debt,none
free enterprise,s subscribing to capitalistic competition
limited liability company,none
bureaucratic management,none
top management,none
administration,"n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
n. the persons (or committees or departments etc.) who make up a body for the purpose of administering something
n. the act of administering medication
n. the act of meting out justice according to the law"
administrator,"n. someone who administers a business
n. the party appointed by a probate court to distribute the estate of someone who dies without a will or without naming an executor
n. someone who manages a government agency or department"
shareholder,n someone who holds shares of stock in a corporation
executive director,none
entrepreneur,n. someone who organizes a business venture and assumes the risk for it
competitor,n the contestant you hope to defeat
consultancy,n. the practice of giving expert advice within a particular field
blueprint,"n. something intended as a guide for making something else
n. photographic print of plans or technical drawings etc.
v. make a blueprint of"
manpower,n the force of workers available
title,"n. a heading that names a statute or legislative bill; may give a brief summary of the matters it deals with
n. the name of a work of art or literary composition etc.
n. a general or descriptive heading for a section of a written work
n. an identifying appellation signifying status or function: e.g. `Mr.' or `General'"
part-timer,n. someone who works less than the customary or standard time
temporary worker,none
self-employment,none
opening,"n. an open or empty space in or between things
n. a ceremony accompanying the start of some enterprise
n. becoming open or being made open
n. the first performance (as of a theatrical production)"
negotiate,"v. succeed in passing through, around, or over"
compensation,"n. something (such as money) given or received as payment or reparation (as for a service or loss or injury)
n. (psychiatry) a defense mechanism that conceals your undesirable shortcomings by exaggerating desirable behaviors"
database,n. an organized body of related information
data bit,none
search agent,none
interactive,"a used especially of drugs or muscles that work together so the total effect is greater than the sum of the two (or more)
s capable of acting on or influencing each other"
key in,none
post,"n. the position where someone (as a guard or sentry) stands or is assigned to stand
n. an upright consisting of a piece of timber or metal fixed firmly in an upright position
n. United States aviator who in 1933 made the first solo flight around the world (1899-1935)
n. United States female author who wrote a book and a syndicated newspaper column on etiquette (1872-1960)"
keyword,none
repeated visit,none
match,"n. lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction
n. a formal contest in which two or more persons or teams compete
n. a burning piece of wood or cardboard
n. an exact duplicate"
electronics,n. the branch of physics that deals with the emission and effects of electrons and with the use of electronic devices
telecommunication,"n. (often plural) systems used in transmitting messages over a distance electronically
n. (often plural) the branch of electrical engineering concerned with the technology of electronic communication at a distance"
e-mail,v. communicate electronically on the computer
teleconference,n. a conference of people who are in different locations that is made possible by the use of such telecommunications equipment as closed-circuit television
distant conference,none
sharing of information,none
microprocessor,n. integrated circuit semiconductor chip that performs the bulk of the processing and controls the parts of a system
transistor circuit,none
semiconductor,n. a substance as germanium or silicon whose electrical conductivity is intermediate between that of a metal and an insulator; its conductivity increases with temperature and in the presence of impurities
electrify,"v. excite suddenly and intensely
v. charge (a conductor) with electricity
v. equip for use with electricity"
research productivity,none
evolution,n. (biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms
evolutionary theory,none
natural selection,none
submicroscopic,none
biomedical,a. relating to the activities and applications of science to clinical medicine
molecular biology,none
epidemic,"n. a widespread outbreak of an infectious disease; many people are infected at the same time
a. (especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously"
cataract,"n. an eye disease that involves the clouding or opacification of the natural lens of the eye
n. a large waterfall; violent rush of water over a precipice"
shot,"n. a solid missile discharged from a firearm
n. a chance to do something
n. a person who shoots (usually with respect to their ability to shoot)
n. an aggressive remark directed at a person like a missile and intended to have a telling effect"
depressant,a. capable of depressing physiological or psychological activity or response by a chemical agent
hallucinogen,n. a psychoactive drug that induces hallucinations or altered sensory experiences
sulfuric acid,none
bypass,"n. a surgically created shunt (usually around a damaged part)
v. avoid something unpleasant or laborious"
vaccine,n. immunogen consisting of a suspension of weakened or dead pathogenic cells injected in order to stimulate the production of antibodies
immunize,"v. law: grant immunity from prosecution
v. perform vaccinations or produce immunity in by inoculation"
gene,n. (genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity
simple sugar,none
tissue,"n. part of an organism consisting of an aggregate of cells having a similar structure and function
n. a soft thin (usually translucent) paper"
hip,"n. either side of the body below the waist and above the thigh
n. the ball-and-socket joint between the head of the femur and the acetabulum
n. (architecture) the exterior angle formed by the junction of a sloping side and a sloping end of a roof
n. the fruit of a rose plant"
nervous system,none
central nervous system,none
surgeon,n. a physician who specializes in surgery
physician,n a licensed medical practitioner
therapy,n. (medicine) the act of caring for someone (as by medication or remedial training etc.)
clinical,"a. relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients
s. scientifically detached; unemotional"
symptom,"n. (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
n. anything that accompanies X and is regarded as an indication of X's existence"
physical addiction,none
psychological disorder,none
psychological test,none
mortality,n. the quality or state of being mortal
variation,"n. an instance of change; the rate or magnitude of change
n. an activity that varies from a norm or standard
n. a repetition of a musical theme in which it is modified or embellished
n. an artifact that deviates from a norm or standard"
natural phenomenon,none
drastic experiment,none
external result,none
carbon dioxide,none
photosynthesis,n. synthesis of compounds with the aid of radiant energy (especially in plants)
ozone layer,none
atmosphere pressure,none
air current,none
water vapor,none
saturation,"n. the act of soaking thoroughly with a liquid
n. a condition in which a quantity no longer responds to some external influence
n. chromatic purity: freedom from dilution with white and hence vivid in hue"
tidal wave,none
hot spot,"n a place of political unrest and potential violence
n a point of relatively intense heat or radiation
n a lively entertainment spot"
ice cap,"n. a mass of ice and snow that permanently covers a large area of land (e.g., the polar regions or a mountain peak)"
ice sheet,none
Ice Age,none
land mass,n. a large continuous extent of land
hemisphere,"n. half of the terrestrial globe
n. half of a sphere
n. either half of the cerebrum"
gravitation,"n. movement downward resulting from gravitational attraction
n. a figurative movement toward some attraction"
solar system,none
light year,n the distance that light travels in a vacuum in 1 year; 5.88 trillion miles or 9.46 trillion kilometers
galaxy,"n. a splendid assemblage (especially of famous people)
n. (astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust"
cluster,v. come together as in a cluster or flock
detector,"n. any device that receives a signal or stimulus (as heat or pressure or light or motion etc.) and responds to it in a distinctive manner
n. rectifier that extracts modulation from a radio carrier wave
n. electronic equipment that detects the presence of radio signals or radioactivity"
space shuttle,none
space exploration,none
vertical flight,none
decibel,n. a logarithmic unit of sound intensity; 10 times the logarithm of the ratio of the sound intensity to some reference intensity
velocity,n distance travelled per unit time
inertia,n. (physics) the tendency of a body to maintain its state of rest or uniform motion unless acted upon by an external force
parliament,n. a legislative assembly in certain countries
House of Commons,none
parliamentary debates,none
self-evident principle,none
verdict,n. (law) the findings of a jury on issues of fact submitted to it for decision; can be used in formulating a judgment
arbiter,"n. someone with the power to settle matters at will
n. someone chosen to judge and decide a disputed issue"
validity,n. the quality of having legal force or effectiveness
period terminate,none
suspension,"n. a mixture in which fine particles are suspended in a fluid where they are supported by buoyancy
n. an interruption in the intensity or amount of something
n. a mechanical system of springs or shock absorbers connecting the wheels and axles to the chassis of a wheeled vehicle
n. the act of suspending something (hanging it from above so it moves freely)"
in-house counsel,none
citizenry,n. the body of citizens of a state or country
basic right,none
privilege,"n. a special advantage or immunity or benefit not enjoyed by all
n. (law) the right to refuse to divulge information obtained in a confidential relationship
v. bestow a privilege upon"
higher up,n one of greater rank or station or quality
elitism,n. the attitude that society should be governed by an elite group of individuals
bureaucratic,a. of or relating to or resembling a bureaucrat or bureaucracy
self-governing,s (of political bodies) not controlled by outside forces
espionage,n. the systematic use of spies to get military or political secrets
spymaster,n. someone who directs clandestine intelligence activities
CIA,n an independent agency of the United States government responsible for collecting and coordinating intelligence and counterintelligence activities abroad in the national interest; headed by the Director of Central Intelligence under the supervision of the President and National Security Council
Central Intelligence Agency,none
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
democratic society,none
agricultural society,none
socio-economic,a. involving social as well as economic factors
social status,none
social ladder,none
social inequality,none
underprivileged,a. lacking the rights and advantages of other members of society
bottom line,none
societal changes,none
mediocrity,"n ordinariness as a consequence of being average and not outstanding
n a person of second-rate ability or value"
generalist,n a modern scholar who is in a position to acquire more than superficial knowledge about many different interests
futurist,n. a theologian who believes that the Scripture prophecies of the Apocalypse (the Book of Revelation) will be fulfilled in the future
athlete,n. a person trained to compete in sports
entertainer,n. a person who tries to please or amuse
initiation ceremony,none
spectator,n. a close observer; someone who looks at something (such as an exhibition of some kind)
attendee,n a person who is present and participates in a meeting
human relation,none
parading procession,none
metropolitan,"n. in the Eastern Orthodox Church this title is given to a position between bishop and patriarch; equivalent to archbishop in western Christianity
n. a person who lives in a metropolis
a. relating to or characteristic of a metropolis"
uncivilized behavior,none
subsequent behavior,none
traffic stream,none
traffic jam,none
traffic regulation,none
charitable organization,none
euthanasia,n. the act of killing someone painlessly (especially someone suffering from an incurable illness)
drug addict,none
substance dependence,none
withdrawal symptom,none
psychoactive,a. affecting the mind or mood or other mental processes
deterioration,"n. a symptom of reduced quality or strength
n. process of changing to an inferior state"
a touch on the brakes,none
adolescence,"n. the time period between the beginning of puberty and adulthood
n. in the state that someone is in between puberty and adulthood"
house-proud,s. proud of your house or its furnishings or upkeep
extended family,none
parental permission,none
mental conversation,none
intense perceptual distortion,none
anti-intellectualism,none
aggressive patriotism,none
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
Utopia,"n. a book written by Sir Thomas More (1516) describing the perfect society on an imaginary island
n. ideally perfect state; especially in its social and political and moral aspects
n. a work of fiction describing a utopia
n. an imaginary place considered to be perfect or ideal"
transcendentalist,n. advocate of transcendentalism
induction,"n. an electrical phenomenon whereby an electromotive force (EMF) is generated in a closed circuit by a change in the flow of current
n. the act of bringing about something (especially at an early time)"
deduction,"n. an amount or percentage deducted
n. something that is inferred (deduced or entailed or implied)
n. reasoning from the general to the particular (or from cause to effect)"
humanity,n. the quality of being humane
self-respect,n the quality of being worthy of esteem or respect
soul searching,n. a penetrating examination of your own beliefs and motives
self-examination,n the contemplation of your own thoughts and desires and conduct
anthropological,a. of or concerned with the science of anthropology
census,"n. a periodic count of the population
v. conduct a census"
demographer,n. a scientist who studies the growth and density of populations and their vital statistics
lifespan,n the period during which something is functional (as between birth and death)
aging population,none
tourist trail,none
interior design,none
piped music,none
objective,"n. the lens or system of lenses in a telescope or microscope that is nearest the object being viewed
a. undistorted by emotion or personal bias; based on observable phenomena
a. serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes
s. emphasizing or expressing things as perceived without distortion of personal feelings, insertion of fictional matter, or interpretation"
impartial,a. showing lack of favoritism
unbiased,s. without bias
positive,"n. the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution
n. a film showing a photographic image whose tones correspond to those of the original subject
a. characterized by or displaying affirmation or acceptance or certainty etc.
a. indicating existence or presence of a suspected condition or pathogen"
supporting,"n the act of bearing the weight of or strengthening
v give moral or psychological support, aid, or courage to
v support materially or financially
v be behind; approve of
v be the physical support of; carry the weight of
v establish or strengthen as with new evidence or facts
v adopt as a belief
v support with evidence or authority or make more certain or confirm
v argue or speak in defense of
v play a subordinate role to (another performer)
v be a regular customer or client of
v put up with something or somebody unpleasant
s furnishing support and encouragement
s capable of bearing a structural load"
impressive,"a. making a strong or vivid impression
s. producing a strong effect"
concerned,"a. feeling or showing worry or solicitude
s. involved in or affected by or having a claim to or share in"
confident,"a. having or marked by confidence or assurance
s. not liable to error in judgment or action"
optimistic,a. expecting the best in this best of all possible worlds
carefree,"s. free of trouble and worry and care
s. cheerfully irresponsible"
neutral,"n. one who does not side with any party in a war or dispute
s. not supporting or favoring either side in a war, dispute, or contest
a. possessing no distinctive quality or characteristics
s. lacking distinguishing quality or characteristics"
detached,"s. being or feeling set or kept apart from others
s. no longer connected or joined
a. used of buildings; standing apart from others
s. lacking affection or warm feeling"
factual,a. of or relating to or characterized by facts
impassive,s. having or revealing little emotion or sensibility; not easily aroused or excited
uninterested,"a. not having or showing interest
s. having no care or interest in knowing"
apathetic,"s. showing little or no emotion or animation
s. marked by a lack of interest; it is simply indifferent"""
indifferent,"s. showing no care or concern in attitude or action
s. fairly poor to not very good
s. marked by no especial liking or dislike or preference for one thing over another
s. characterized by a lack of partiality"
