abide,"v dwell
v put up with something or somebody unpleasant"
insight,"n. a feeling of understanding
n. the clear (and often sudden) understanding of a complex situation
n. grasping the inner nature of things intuitively"
inspect,v. look over carefully
installment,"n. a payment of part of a debt; usually paid at regular intervals
n. a part of a published serial"
instantaneous,s. occurring with no delay
institute,"n. an association organized to promote art or science or education
v. advance or set forth in court"
instrumental,a. relating to or designed for or performed on musical instruments
insulate,"v. protect from heat, cold, or noise by surrounding with insulating material"
insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
intact,"s. (of a woman) having the hymen unbroken
s. undamaged in any way"
integral,"n. the result of a mathematical integration; F(x) is the integral of f(x) if dF/dx = f(x)
s. constituting the undiminished entirety; lacking nothing essential especially not damaged
a. of or denoted by an integer"
integrity,"n. an undivided or unbroken completeness or totality with nothing wanting
n. moral soundness"
intellect,"n knowledge and intellectual ability
n the capacity for rational thought or inference or discrimination
n a person who uses the mind creatively"
intelligible,"a. well articulated or enunciated, and loud enough to be heard distinctly"
intensify,"v. make more intense, stronger, or more marked
v. become more intense
v. make the chemically affected part of (a negative) denser or more opaque in order produce a stronger contrast between light and dark"
intensive,"s. characterized by a high degree or intensity; often used as a combining form
a. tending to give force or emphasis
a. of agriculture; intended to increase productivity of a fixed area by expending more capital and labor"
intent,n. the intended meaning of a communication
interim,"n. the time between one event, process, or period and another
s. serving during an intermediate interval of time"
intermittent,s. stopping and starting at irregular intervals
internal,"a. happening or arising or located within some limits or especially surface
s. occurring within an institution or community"
intervene,"v. get involved, so as to alter or hinder an action, or through force or threat of force
v. be placed or located between other things or extend between spaces and events
v. occur between other event or between certain points of time"
intimidate,"v. make timid or fearful
v. to compel or deter by or as if by threats"
intricate,s. having many complexly arranged elements; elaborate
intriguing,s. capable of arousing interest or curiosity
intrinsic,"a. belonging to a thing by its very nature
s. situated within or belonging solely to the organ or body part on which it acts"
intuition,"n. instinctive knowing (without the use of rational processes)
n. an impression that something might be the case"
invalid,"n. someone who is incapacitated by a chronic illness or injury
v. force to retire, remove from active duty, as of firemen
a. having no cogency or legal force
s. no longer valid"
invariably,"r without variation or change, in every case"
inventory,"n. a detailed list of all the items in stock
n. (accounting) the value of a firm's current assets including raw materials and work in progress and finished goods
n. making an itemized list of merchandise or supplies on hand
v. make or include in an itemized record or report"
invert,"v. make an inversion (in a musical composition)
v. reverse the position, order, relation, or condition of"
irony,"n. incongruity between what might be expected and what actually occurs
n. a trope that involves incongruity between what is expected and what occurs"
irrespective,r in spite of everything; without regard to drawbacks
irrigate,"v. supply with a constant flow or sprinkling of some liquid, for the purpose of cooling, cleansing, or disinfecting"
irritate,"v. excite to an abnormal condition, or chafe or inflame
v. excite to some characteristic action or condition, such as motion, contraction, or nervous impulse, by the application of a stimulus"
jeopardize,"v pose a threat to; present a danger to
v put at risk"
jerk,"n. a dull stupid fatuous person
n. an abrupt spasmodic movement
n. (mechanics) the rate of change of acceleration
n. raising a weight from shoulder height to above the head by straightening the arms"
junction,"n. the place where two or more things come together
n. the state of being joined together
n. something that joins or connects
n. an act of joining or adjoining things"
justice,"n. the quality of being just or fair
n. judgment involved in the determination of rights and the assignment of rewards and punishments"
kidnap,v. take away to an undisclosed location against their will and usually in order to extract a ransom
kit,"n. a case for containing a set of articles
n. gear consisting of a set of articles or tools for a specified purpose
n. young of any of various fur-bearing animals"
knit,"n. a fabric made by knitting
n. a basic knitting stitch
n. needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine
v. make (textiles) by knitting"
knob,"n. a circular rounded projection or protuberance
n. a round handle
n. an ornament in the shape of a ball on the hilt of a sword or dagger"
label,"n. a brief description given for purposes of identification
n. trade name of a company that produces musical recordings
n. a radioactive isotope that is used in a compound in order to trace the mechanism of a chemical reaction
n. an identifying or descriptive marker that is attached to an object"
lame,n. a fabric interwoven with threads of metal
latent,"s. potentially existing but not presently evident or realized
s. (pathology) not presently active"
latitude,"n. the angular distance between an imaginary line around a heavenly body parallel to its equator and the equator itself
n. freedom from normal restraints in conduct
n. an imaginary line around the Earth parallel to the equator
n. scope for freedom of e.g. action or thought; freedom from restriction"
leaflet,n. part of a compound leaf
leak,"n. an accidental hole that allows something (fluid or light etc.) to enter or escape
n. soft watery rot in fruits and vegetables caused by fungi
n. a euphemism for urination
n. unauthorized (especially deliberate) disclosure of confidential information"
legend,n. a story about mythical or supernatural beings or events
legitimate,"v. show or affirm to be just and legitimate
v. make (an illegitimate child) legitimate; declare the legitimacy of (someone)
a. of marriages and offspring; recognized as lawful
s. based on known statements or events or conditions"
lessen,"v decrease in size, extent, or range
v make smaller
v wear off or die down"
liar,n. a person who has lied or who lies repeatedly
librarian,n. a professional person trained in library science and engaged in library services
likelihood,n. the probability of a specified outcome
limp,"v. walk impeded by some physical limitation or injury
v. proceed slowly or with difficulty
s. not firm
s. lacking in strength or firmness or resilience"
linear,"a. designating or involving an equation whose terms are of the first degree
a. of or in or along or relating to a line; involving a single dimension
s. (of a leaf shape) long and narrow
s. measured lengthwise"
linger,"v. remain present although waning or gradually dying
v. take one's time; proceed slowly"
litter,"n. the offspring at one birth of a multiparous mammal
n. rubbish carelessly dropped or left about (especially in public places)
n. conveyance consisting of a chair or bed carried on two poles by bearers
v. strew"
lively,"a. full of life and energy
s. full of zest or vigor
s. filled with events or activity"
load,"n. weight to be borne or conveyed
n. a quantity that can be processed or transported at one time
n. an amount of alcohol sufficient to intoxicate
n. the power output of a generator or power plant"
locality,n a surrounding or nearby region
lofty,"s of high moral or intellectual value; elevated in nature or style
s of imposing height; especially standing out above others
s having or displaying great dignity or nobility"
log,"n. a segment of the trunk of a tree when stripped of branches
n. a written record of messages sent or received
n. a written record of events on a voyage (of a ship or plane)
n. measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water"
longitude,n. the angular distance between a point on any meridian and the prime meridian at Greenwich
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
lubricate,"v. have lubricating properties
v. apply a lubricant to
v. make slippery or smooth through the application of a lubricant"
lumber,"n. the wood of trees cut and prepared for use as building material
v. move heavily or clumsily"
luminous,s softly bright or radiant
magic,n. any art that invokes supernatural powers
magnify,"v. increase in size, volume or significance"
magnitude,"n. the property of relative size or extent (whether large or small)
n. relative importance"
majesty,n impressiveness in scale or proportion
mall,"n a public area set aside as a pedestrian walk
n mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace"
maneuver,"n. a military training exercise
n. a deliberate coordinated movement requiring dexterity and skill
n. a move made to gain a tactical end"
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
manipulate,"v. influence or control shrewdly or deviously
v. hold something in one's hands and move it
v. control (others or oneself) or influence skillfully, usually to one's advantage
v. treat manually, as with massage, for therapeutic purposed"
manuscript,"n. the form of a literary work submitted for publication
n. handwritten book or document"
marsh,"n. low-lying wet land with grassy vegetation; usually is a transition zone between land and water
n. United States painter (1898-1954)
n. New Zealand writer of detective stories (1899-1982)"
marshal,"n. a law officer having duties similar to those of a sheriff in carrying out the judgments of a court of law
n. (in some countries) a military officer of highest rank
v. place in proper rank
v. arrange in logical order"
masculine,"n. a gender that refers chiefly (but not exclusively) to males or to objects classified as male
a. of grammatical gender
a. associated with men and not with women
s. (music or poetry) ending on an accented beat or syllable"
masterpiece,"n. the most outstanding work of a creative artist or craftsman
n. an outstanding achievement"
meadow,n a field where grass or alfalfa are grown to be made into hay
means,"n. how a result is obtained or an end is achieved
n. an instrumentality for accomplishing some end
n. considerable capital (wealth or income)"
medal,n an award for winning a championship or commemorating some other event
mediate,"v. occupy an intermediate or middle position or form a connecting link or stage between two others
a. acting through or dependent on an intervening agency"
medieval,"a. relating to or belonging to the Middle Ages
s. as if belonging to the Middle Ages; old-fashioned and unenlightened"
melody,n. the perception of pleasant arrangements of musical notes
memorandum,n a written proposal or reminder
menace,"n. something that is a source of danger
n. a threat or the act of threatening
v. express a threat either by an utterance or a gesture
v. act in a threatening manner"
mend,"n. sewing that repairs a worn or torn hole (especially in a garment)
v. heal or recover"
mental,"a. involving the mind or an intellectual process
a. of or relating to the mind
a. of or relating to the chin- or liplike structure in insects and certain mollusks
s. affected by a disorder of the mind"
merchandise,n. commodities offered for sale
merge,"v become one
v mix together different elements
v join or combine"
messenger,n. a person who carries a message
metropolitan,"n. in the Eastern Orthodox Church this title is given to a position between bishop and patriarch; equivalent to archbishop in western Christianity
n. a person who lives in a metropolis
a. relating to or characteristic of a metropolis"
migrate,"v. move from one country or region to another and settle there
v. move periodically or seasonally"
militant,"n. a militant reformer
s. disposed to warfare or hard-line policies"
mingle,v. get involved or mixed-up with
miniature,"n. painting or drawing included in a book (especially in illuminated medieval manuscripts)
n. a copy that reproduces a person or thing in greatly reduced size
s. being on a very small scale"
minimize,"v. make small or insignificant
v. cause to seem less serious; play down"
misery,"n. a state of ill-being due to affliction or misfortune
n. a feeling of intense unhappiness"
misfortune,"n. unnecessary and unforeseen trouble resulting from an unfortunate event
n. an unfortunate state resulting from unfavorable outcomes"
mislead,v. lead someone in the wrong direction or give someone wrong directions
missionary,"n. someone who attempts to convert others to a particular doctrine or program
n. someone sent on a mission--especially a religious or charitable mission to a foreign country
a. relating to or connected to a religious mission"
mobilize,"v. make ready for action or use
v. get ready for war
v. cause to move around"
mock,"n. the act of mocking or ridiculing
v. treat with contempt
v. imitate with mockery and derision
s. constituting a copy or imitation of something"
monopoly,"n. (economics) a market in which there are many buyers but only one seller
n. exclusive control or possession of something
n. a board game in which players try to gain a monopoly on real estate as pieces advance around the board according to the throw of a die"
morality,n. concern with the distinction between good and evil or right and wrong; right or good conduct
mortal,"a. subject to death
s. unrelenting and deadly"
mortgage,"n. a conditional conveyance of property as security for the repayment of a loan
v. put up as security or collateral"
mournful,s. expressing sorrow
muddy,"v. dirty with mud
v. cause to become muddy
v. make turbid"
multiple,"n. the product of a quantity by an integer
a. having or involving or consisting of more than one part or entity or individual"
multitude,"n. a large gathering of people
n. the common people generally"
municipal,"a. relating or belonging to or characteristic of a municipality
s. of or relating to the government of a municipality"
murmur,"v. speak softly or indistinctly
v. make complaining remarks or noises under one's breath"
muscular,"a. of or relating to or consisting of muscle
s. having or suggesting great physical power or force"
mute,"n. a deaf person who is unable to speak
n. a device used to soften the tone of a musical instrument
s. expressed without speech"
mysterious,s. having an import not apparent to the senses nor obvious to the intelligence; beyond ordinary understanding
naive,"a. marked by or showing unaffected simplicity and lack of guile or worldly experience
s. inexperienced"
nap,"n. a soft or fuzzy surface texture
n. sleeping for a short period of time (usually not in bed)
v. take a siesta"
narrate,"v. provide commentary for a film, for example"
nasty,"a. offensive or even (of persons) malicious
s. exasperatingly difficult to handle or circumvent"
necessitate,"v. require as useful, just, or proper
v. cause to be a concomitant"
negligible,"s. so small as to be meaningless; insignificant
s. not worth considering"
nominal,"a. relating to or constituting or bearing or giving a name
s. insignificantly small; a matter of form only (`tokenish' is informal)
a. pertaining to a noun or to a word group that functions as a noun
a. of, relating to, or characteristic of an amount that is not adjusted for inflation"
nominate,"v. propose as a candidate for some honor
v. put forward; nominate for appointment to an office or for an honor or position"
norm,n. a standard or model or pattern regarded as typical
notable,"n a celebrity who is an inspiration to others
s worthy of notice
s widely known and esteemed"
notation,"n. a technical system of symbols used to represent special things
n. the activity of representing something by a special system of marks or characters"
notify,v inform (somebody) of something
notorious,s known widely and usually unfavorably; 
nourish,v. provide with nourishment
novelty,n. originality by virtue of being new and surprising
numerical,a. relating to or having ability to think in or work with numbers
nutrition,"n. (physiology) the organic process of nourishing or being nourished; the processes by which an organism assimilates food and uses it for growth and maintenance
n. the scientific study of food and drink (especially in humans)"
oath,"n. a commitment to tell the truth (especially in a court of law); to lie under oath is to become subject to prosecution for perjury
n. a solemn promise, usually invoking a divine witness, regarding your future acts or behavior"
obedient,"a. dutifully complying with the commands or instructions of those in authority; the refractory remain unburdened""- Edmund Burke"
obligation,"n. the state of being obligated to do or pay something
n. a personal relation in which one is indebted for a service or favor
n. a legal agreement specifying a payment or action and the penalty for failure to comply"
obscene,s. designed to incite to indecency or lust
obscure,"v. make less visible or unclear
v. make obscure or unclear
v. reduce a vowel to a neutral one, such as a schwa
v. make undecipherable or imperceptible by obscuring or concealing"
obsolete,s no longer in use
obstruct,"v. hinder or prevent the progress or accomplishment of
v. block passage through
v. shut out from view or get in the way so as to hide from sight"
odor,"n any property detected by the olfactory system
n the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form"
offensive,"s. violating or tending to violate or offend against
a. for the purpose of attack rather than defense
a. causing anger or annoyance
a. unpleasant or disgusting especially to the senses"
offset,"n. a plate makes an inked impression on a rubber-blanketed cylinder, which in turn transfers it to the paper
v. compensate for or counterbalance
v. cause (printed matter) to transfer or smear onto another surface
v. create an offset in"
offspring,"n. the immediate descendants of a person
n. something that comes into existence as a result"
opaque,"a. not transmitting or reflecting light or radiant energy; impenetrable to sight
s. not clearly understood or expressed"
oppress,v. come down on or keep down by unjust use of one's authority
optimum,"n. most favorable conditions or greatest degree or amount possible under given circumstances
s. most desirable possible under a restriction expressed or implied"
option,"n. the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n. one of a number of things from which only one can be chosen"
oral,"n. an examination conducted by spoken communication
s. using speech rather than writing
a. of or relating to or affecting or for use in the mouth
a. of or involving the mouth or mouth region or the surface on which the mouth is located"
orderly,"n. a soldier who serves as an attendant to a superior officer
n. a male hospital attendant who has general duties that do not involve the medical treatment of patients
a. devoid of violence or disruption"
orientation,"n. the act of orienting
n. an integrated set of attitudes and beliefs
n. position or alignment relative to points of the compass or other specific directions
n. a person's awareness of self with regard to position and time and place and personal relationships"
originate,"v. come into existence; take on form or shape
v. bring into being
v. begin a trip at a certain point, as of a plane, train, bus, etc."
ornament,v. be an ornament to
orthodox,"a. of or pertaining to or characteristic of Judaism
a. adhering to what is commonly accepted
a. of or relating to or characteristic of the Eastern Orthodox Church"
outbreak,n. a sudden violent spontaneous occurrence (usually of some undesirable condition)
overflow,"n. the occurrence of surplus liquid (as water) exceeding the limit or capacity
v. flow or run over (a limit or brim)"
overhear,"v hear, usually without the knowledge of the speakers"
overlap,"n. a representation of common ground between theories or phenomena
n. the property of partial coincidence in time
v. coincide partially or wholly
v. extend over and cover a part of"
overt,a. open and observable; not secret or hidden
overthrow,"n. the termination of a ruler or institution (especially by force)
v. cause the downfall of; of rulers"
overwhelm,"v. overcome, as with emotions or perceptual stimuli
v. charge someone with too many tasks"
pacific,"n. the largest ocean in the world
a. relating to or bordering the Pacific Ocean
s. disposed to peace or of a peaceful nature"
painful,a. causing physical or psychological pain
pale,"v. turn pale, as if in fear
s. very light colored; highly diluted with white
s. (of light) lacking in intensity or brightness; dim or feeble
s. lacking in vitality or interest or effectiveness"
pamphlet,"n a small book usually having a paper cover
n a brief treatise on a subject of interest; published in the form of a booklet"
panic,"n. an overwhelming feeling of fear and anxiety
n. sudden mass fear and anxiety over anticipated events
v. be overcome by a sudden fear
v. cause sudden fear in or fill with sudden panic"
parachute,n. rescue equipment consisting of a device that fills with air and retards your fall
parade,"n. a ceremonial procession including people marching
n. an extended (often showy) succession of persons or things
n. a visible display
v. walk ostentatiously"
paradise,n. (Christianity) the abode of righteous souls after death
paradox,n. (logic) a statement that contradicts itself
paralyze,"v. make powerless and unable to function
v. cause to be paralyzed and immobile"
parcel,"n. the allotment of some amount by dividing something
v. divide into parts
v. cover with strips of canvas
v. make into a wrapped container"
partition,"n. a vertical structure that divides or separates (as a wall divides one room from another)
n. (computer science) the part of a hard disk that is dedicated to a particular operating system or application and accessed as a single unit
n. (anatomy) a structure that separates areas in an organism
v. divide into parts, pieces, or sections"
passport,n. a document issued by a country to a citizen allowing that person to travel abroad and re-enter the home country
pastime,n. a diversion that occupies one's time and thoughts (usually pleasantly)
pasture,n. a field covered with grass or herbage and suitable for grazing by livestock
patent,"n. a document granting an inventor sole rights to an invention
n. an official document granting a right or privilege
v. obtain a patent for
v. grant rights to; grant a patent for"
pathetic,"s. inspiring mixed contempt and pity
s. inspiring scornful pity"
patient,"n. a person who requires medical care
a. enduring trying circumstances with even temper or characterized by such endurance"
patriotic,a. inspired by love for your country
patrol,"n. a detachment used for security or reconnaissance
n. the activity of going around or through an area at regular intervals for security purposes
n. a group that goes through a region at regular intervals for the purpose of security
v. maintain the security of by carrying out a patrol"
pause,"n. a time interval during which there is a temporary cessation of something
n. temporary inactivity
v. cease an action temporarily"
pave,"n. a setting with precious stones so closely set that no metal shows
v. cover with a material such as stone or concrete to make suitable for vehicle traffic"
peak,n. the top or extreme point of something (usually a mountain or hill)
pedal,"n. a lever that is operated with the foot
v. operate the pedals on a keyboard instrument
a. of or relating to the feet"
pedestrian,"n. a person who travels by foot
s. lacking wit or imagination"
peel,"n. British politician (1788-1850)
n. the rind of a fruit or vegetable"
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
penalty,"n. a payment required for not fulfilling a contract
n. the disadvantage or painful consequences of an action or condition
n. (games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game"
pendulum,n. an apparatus consisting of an object mounted so that it swings freely under the influence of gravity
peninsula,n. a large mass of land projecting into a body of water
pension,"n. a regular payment to a person that is intended to allow them to subsist without working
v. grant a pension to"
perception,"n. a way of conceiving something
n. the process of perceiving
n. knowledge gained by perceiving"
perfect,"v. make perfect or complete
a. being complete of its kind and without defect or blemish
s. precisely accurate or exact"
perform,"v. carry out or perform an action
v. perform a function
v. give a performance (of something)"
perfume,"n. a toiletry that emits and diffuses a fragrant odor
v. fill or impregnate with an odor
v. apply perfume to"
periodic,"a. happening or recurring at regular intervals
s. recurring or reappearing from time to time"
perish,v pass from physical life and lose all bodily attributes and functions necessary to sustain life
permeate,v. spread or diffuse through
permission,n. approval to do something
perpetual,"s continuing forever or indefinitely
s uninterrupted in time and indefinitely long continuing"
perplex,v. be a mystery or bewildering to
persistent,"s. never-ceasing
a. retained; not shed"
personality,"n. the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual
n. a person of considerable prominence"
persuade,"v. cause somebody to adopt a certain position, belief, or course of action; twist somebody's arm"
pertain,v. be a part or attribute of
pertinent,s. having precise or logical relevance to the matter at hand
pest,"n. a persistently annoying person
n. any unwanted and destructive insect or other animal that attacks food or crops or livestock etc."
petition,v. write a petition for something to somebody; request formally and in writing
petty,s. contemptibly narrow in outlook
phenomena,"n any state or process known through the senses rather than by intuition or reasoning
n a remarkable development"
physiological,a. of or relating to the biological study of physiology
picnic,"n. any informal meal eaten outside or on an excursion
v. eat alfresco, in the open air"
pierce,"n. 14th President of the United States (1804-1869)
v. cut or make a way through
v. move or affect (a person's emotions or bodily feelings) deeply or sharply
v. sound sharply or shrilly"
pill,"n. something that resembles a tablet of medicine in shape or size
n. a dose of medicine in the form of a small pellet
n. a unpleasant or tiresome person
n. something unpleasant or offensive that must be tolerated or endured"
plague,"n. a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal
n. any epidemic disease with a high death rate
n. any large scale calamity (especially when thought to be sent by God)
n. an annoyance"
plaster,"n. a mixture of lime or gypsum with sand and water; hardens into a smooth solid; used to cover walls and ceilings
n. a surface of hardened plaster (as on a wall or ceiling)
n. adhesive tape used in dressing wounds
v. apply a heavy coat to"
plateau,n a relatively flat highland
plausible,"a. apparently reasonable and valid, and truthful
s. given to or characterized by presenting specious arguments"
plea,"n. (law) a defendant's answer by a factual matter (as distinguished from a demurrer)
n. an answer indicating why a suit should be dismissed"
plead,"v. appeal or request earnestly
v. offer as an excuse or plea
v. enter a plea, as in courts of law
v. make an allegation in an action or other legal proceeding, especially answer the previous pleading of the other party by denying facts therein stated or by alleging new facts"
pledge,"n. a deposit of personal property as security for a debt
n. someone accepted for membership but not yet fully admitted to the group
n. a drink in honor of or to the health of a person or event
v. promise solemnly and formally"
poke,"n. tall coarse perennial American herb having small white flowers followed by blackish-red berries on long drooping racemes; young fleshy stems are edible; berries and root are poisonous
v. stir by poking
v. make a hole by poking"
polar,"s. having a pair of equal and opposite charges
a. located at or near or coming from the earth's poles
a. of or existing at or near a geographical pole or within the Arctic or Antarctic Circles"
poll,"n. an inquiry into public opinion conducted by interviewing a random sample of people
n. the part of the head between the ears
n. a tame parrot
n. the counting of votes (as in an election)"
ponder,v reflect deeply on a subject
porous,"s. able to absorb fluids
a. full of pores or vessels or holes"
portion,"n something determined in relation to something that includes it
n something less than the whole of a human artifact
n the allotment of some amount by dividing something
n assets belonging to or due to or contributed by an individual person or group
n your overall circumstances or condition in life (including everything that happens to you)
n money or property brought by a woman to her husband at marriage
n an individual quantity of food or drink taken as part of a meal
v give out"
portray,"v. portray in words
v. make a portrait of
v. represent abstractly, for example in a painting, drawing, or sculpture"
pose,"n. a posture assumed by models for photographic or artistic purposes
v. pretend to be someone you are not; sometimes with fraudulent intentions
v. behave affectedly or unnaturally in order to impress others"
possession,"n. the act of having and controlling property
n. anything owned or possessed
n. being controlled by passion or the supernatural
n. a territory that is controlled by a ruling state"
poster,n. a sign posted in a public place as an advertisement
postulate,"n. (logic) a proposition that is accepted as true in order to provide a basis for logical reasoning
v. take as a given; assume as a postulate or axiom"
practicable,"s usable for a specific purpose
s capable of being done with means at hand and circumstances as they are"
practical,"a. concerned with actual use or practice
s. having or put to a practical purpose or use"
prayer,"n. the act of communicating with a deity (especially as a petition or in adoration or contrition or thanksgiving)
n. reverent petition to a deity
n. a fixed text used in praying
n. someone who prays to God"
preach,"v. deliver a sermon
v. speak, plead, or argue in favor of"
precipitate,"n. a precipitated solid substance in suspension or after settling or filtering
v. bring about abruptly
v. separate as a fine suspension of solid particles
v. fall from clouds"
preclude,"v. make impossible, especially beforehand"
predecessor,n. one who precedes you in time (as in holding a position or office)
predominant,"s most frequent or common
s having superior power and influence"
pregnant,a. carrying developing offspring within the body or being about to produce new life
premature,"a. born after a gestation period of less than the normal time
s. uncommonly early or before the expected time"
premise,"n. a statement that is assumed to be true and from which a conclusion can be drawn
v. set forth beforehand, often as an explanation
v. take something as preexisting and given"
premium,"n. payment for insurance
n. the amount that something in scarce supply is valued above its nominal value
n. a prize, bonus, or award given as an inducement to purchase products, enter competitions initiated by business interests, etc.
s. having or reflecting superior quality or value"
preservative,"n. a chemical compound that is added to protect against decay or decomposition
s. tending or having the power to preserve"
preside,v. act as president
pressure,"n. the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
n. a force that compels
n. the somatic sensation that results from applying force to an area of skin
n. an oppressive condition of physical or mental or social or economic distress"
prestige,n. a high standing achieved through success or influence or wealth etc.
presume,"v. constitute reasonable evidence for
v. take liberties or act with too much confidence"
pretext,n. something serving to conceal plans; a fictitious reason that is concocted in order to conceal the real reason
prevalent,s most frequent or common
prey,"n. a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence
n. animal hunted or caught for food
v. profit from in an exploitatory manner"
prick,"n. the act of puncturing with a small point
v. cause a stinging pain
v. to cause a sharp emotional pain"
priority,n. preceding in time
privacy,"n. the quality of being secluded from the presence or view of others
n. the condition of being concealed or hidden"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
process,"n. (psychology) the performance of some composite cognitive activity; an operation that affects mental contents
n. a mental process that you are not directly aware of
n. a natural prolongation or projection from a part of an organism either animal or plant
n. a sustained phenomenon or one marked by gradual changes through a series of states"
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
productive,"a. producing or capable of producing (especially abundantly)
s. yielding positive results"
profession,"n. the body of people in a learned occupation
n. an occupation requiring special education (especially in the liberal arts or sciences)
n. an open avowal (true or false) of some belief or opinion
n. affirmation of acceptance of some religion or faith"
proficient,"s having or showing knowledge and skill and aptitude
a of or relating to technique or proficiency in a practical skill"
profile,"n. an analysis (often in graphical form) representing the extent to which something exhibits various characteristics
n. an outline of something (especially a human face as seen from one side)
n. biographical sketch
n. a vertical section of the Earth's crust showing the different horizons or layers"
profitable,a. yielding material gain or profit
profound,"a. showing intellectual penetration or emotional depth
s. of the greatest intensity; complete
s. coming from deep within one
s. situated at or extending to great depth; too deep to have been sounded or plumbed"
project,"n. a planned undertaking
v. communicate vividly
v. transfer (ideas or principles) from one domain into another
v. project on a screen"
prolong,"v. lengthen in time; cause to be or last longer
v. lengthen or extend in duration or space"
promising,s. showing possibility of achievement or excellence
prone,"s. having a tendency (to); often used in combination
s. lying face downward"
propagate,"v. transmit from one generation to the next
v. travel through the air
v. transmit
v. transmit or cause to broaden or spread"
propel,v. cause to move forward with force
proper,"a. marked by suitability or rightness or appropriateness
s. having all the qualities typical of the thing specified; not just a snack""
s. limited to the thing specified
s. appropriate for a condition or purpose or occasion or a person's character, needs"
prophet,"n. an authoritative person who divines the future
n. someone who speaks by divine inspiration; someone who is an interpreter of the will of God"
proposition,"n. (logic) a statement that affirms or denies something and is either true or false
n. an offer for a private bargain (especially a request for sexual favors)
n. a task to be dealt with
v. suggest sex to"
prospective,a. of or concerned with or related to the future
prosper,v make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
prototype,n. a standard or typical example
provoke,"v. evoke or provoke to appear or occur
v. provide the needed stimulus for"
proximity,"n. the property of being close together
n. the region close around a person or thing
n. a Gestalt principle of organization holding that (other things being equal) objects or events that are near to one another (in space or time) are perceived as belonging together as a unit"
publicity,n. the quality of being open to public view
purify,"v. remove impurities from, increase the concentration of, and separate through the process of distillation
v. make pure or free from sin or guilt
v. become clean or pure or free of guilt and sin"
pursuit,"n. the act of pursuing in an effort to overtake or capture
n. a search for an alternative that meets cognitive criteria"
qualification,"n. an attribute that must be met or complied with and that fits a person for something
n. the act of modifying or changing the strength of some idea"
quantify,"v. use as a quantifier
v. express as a number or measure or quantity"
quarterly,"n. a periodical that is published every quarter (or four issues per year)
a. of or relating to or consisting of a quarter
r. in diagonally opposed quarters of an escutcheon
r. in three month intervals"
queer,"v. put in a dangerous, disadvantageous, or difficult position"
quench,"v. satisfy (thirst)
v. electronics: suppress (sparking) when the current is cut off in an inductive circuit, or suppress (an oscillation or discharge) in a component or device
v. reduce the degree of (luminescence or phosphorescence) in (excited molecules or a material) by adding a suitable substance"
quest,"n. the act of searching for something
v. make a search (for)
v. search the trail of (game)
v. seek alms, as for religious purposes"
questionable,"a. subject to question
s. able to be refuted"
questionnaire,n. a form containing a set of questions; submitted to people to gain statistical information
queue,"n. a line of people or vehicles waiting for something
n. (information processing) an ordered list of tasks to be performed or messages to be transmitted
n. a braid of hair at the back of the head"
quiver,"n. case for holding arrows
v. shake with fast, tremulous movements"
radiant,s radiating or as if radiating light
radiate,"v. send out rays or waves
v. send out real or metaphoric rays
v. extend or spread outward from a center or focus or inward towards a center
v. cause to be seen by emitting light as if in rays"
radical,"n. a person who has radical ideas or opinions
n. (mathematics) a quantity expressed as the root of another quantity
n. a character conveying the lexical meaning of a logogram
s. arising from or going to the root or source"
rage,"n. a state of extreme anger
n. something that is desired intensely
n. violent state of the elements
v. be violent; as of fires and storms"
raid,"n. an attempt by speculators to defraud investors
v. search without warning, make a sudden surprise attack on
v. take over (a company) by buying a controlling interest of its stock
v. search for something needed or desired"
rally,"n. a large gathering of people intended to arouse enthusiasm
n. the feat of mustering strength for a renewed effort
n. a marked recovery of strength or spirits during an illness
n. an automobile race run over public roads"
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
