admission,"n. the act of admitting someone to enter
n. an acknowledgment of the truth of something"
tackle,"n. the person who plays that position on a football team
n. (American football) a position on the line of scrimmage
n. (American football) grasping an opposing player with the intention of stopping by throwing to the ground
v. seize and throw down an opponent player, who usually carries the ball"
unconscious,"a. not conscious; lacking awareness and the capacity for sensory perception as if asleep or dead
s. without conscious volition
s. (followed by `of') not knowing or perceiving"
unfamiliar,a. not known or well known
unwelcome,"a. not welcome; not giving pleasure or received with pleasure
s. not welcome"
winged,"a. having wings or as if having wings of a specified kind; 
s. very fast; as if with wings"
casual,"s. marked by blithe unconcern
s. without or seeming to be without plan or method; offhand
s. appropriate for ordinary or routine occasions
s. occurring or appearing or singled out by chance"
appreciable,s. enough to be estimated or measured
initial,"n. the first letter of a word (especially a person's name)
v. mark with one's initials
s. occurring at the beginning"
elegant,"a. refined and tasteful in appearance or behavior or style
s. suggesting taste, ease, and wealth
s. displaying effortless beauty and simplicity in movement or execution"
unlawful,"a. contrary to or prohibited by or defiant of law
s. not morally right or permissible
s. having no legally established claim"
colloquial,s. characteristic of informal spoken language or conversation
reckless,"s marked by defiant disregard for danger or consequences
s characterized by careless unconcern"
cautious,"a. showing careful forethought; never making swift decisions""
s. avoiding excess"
attentive,a. (often followed by `to') giving care or attention
incidental,"n. an item that is incidental
a. (sometimes followed by `to') minor or casual or subordinate in significance or nature or occurring as a chance concomitant or consequence
s. not of prime or central importance"
dispense,v. grant a dispensation; grant an exemption
assault,"n. close fighting during the culmination of a military attack
n. a threatened or attempted physical attack by someone who appears to be able to cause bodily harm if not stopped
n. thoroughbred that won the triple crown in 1946"
summon,"v. call in an official matter, such as to attend court
v. ask to come"
compensate,"v. adjust for
v. make amends for; pay compensation for
v. make payment to; compensate"
warrant,"n. a writ from a court commanding police to perform specified acts
n. a type of security issued by a corporation (usually together with a bond or preferred stock) that gives the holder the right to purchase a certain amount of common stock at a stated price"
characteristic,"n. a distinguishing quality
n. the integer part (positive or negative) of the representation of a logarithm; in the expression log 643 = 2.808 the characteristic is 2
n. any measurable property of a device measured under closely specified conditions
a. typical or distinctive"
moral,"n. the significance of a story or event
a. concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles
s. psychological rather than physical or tangible in effect"
integral,"n. the result of a mathematical integration; F(x) is the integral of f(x) if dF/dx = f(x)
s. constituting the undiminished entirety; lacking nothing essential especially not damaged
a. of or denoted by an integer"
kindle,"v. catch fire
v. cause to start burning"
apt,"s. (usually followed by `to') naturally disposed toward
s. at risk of or subject to experiencing something usually unpleasant
s. mentally quick and resourceful"
plausible,"a. apparently reasonable and valid, and truthful
s. given to or characterized by presenting specious arguments"
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
liable,"s. subject to legal action
s. (often followed by `to') likely to be affected with
s. held legally responsible"
detrimental,s (sometimes followed by `to') causing harm or injury
bluff,"n. a high steep bank (usually formed by river erosion)
n. pretense that your position is stronger than it really is
n. the act of bluffing in poker; deception by a false show of confidence in the strength of your cards
v. deceive an opponent by a bold bet on an inferior hand with the result that the opponent withdraws a winning hand"
apparent,"s. clearly revealed to the mind or the senses or judgment
s. appearing as such but not necessarily so"
breast,"n. the front of the trunk from the neck to the abdomen
n. either of two soft fleshy milk-secreting glandular organs on the chest of a woman
n. meat carved from the breast of a fowl
n. the part of an animal's body that corresponds to a person's chest"
cholesterol,n. an animal sterol that is normally synthesized by the liver; the most abundant steroid in animal tissues
clown,"n. a rude or vulgar fool
n. a person who amuses others by ridiculous behavior
v. act as or like a clown"
clue,"n. evidence that helps to solve a problem
v. roll into a ball"
coach,"n. (sports) someone in charge of training an athlete or a team
n. a person who gives private instruction (as in singing, acting, etc.)
n. a carriage pulled by four horses with one driver
v. teach and supervise (someone); act as a trainer or coach (to), as in sports"
cocktail,"n. a short mixed drink
n. an appetizer served as a first course at a meal"
colleague,"n. an associate that one works with
n. a person who is member of one's class or profession"
colon,"n. the part of the large intestine between the cecum and the rectum; it extracts moisture from food residues before they are excreted
n. the basic unit of money in El Salvador; equal to 100 centavos
n. the basic unit of money in Costa Rica; equal to 100 centimos
n. a port city at the Caribbean entrance to the Panama Canal"
commerce,"n. transactions (sales and purchases) having the objective of supplying commodities (goods and services)
n. social exchange, especially of opinions, attitudes, etc."
competent,"a. properly or sufficiently qualified or capable or efficient
s. adequate for the purpose
a. legally qualified or sufficient"
compile,v. use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed
composition,"n. the spatial property resulting from the arrangement of parts in relation to each other and to the whole
n. a mixture of ingredients
n. an essay (especially one written as an assignment)
n. something that is created by arranging several things to form a unified whole"
compound,"n. a whole formed by a union of two or more elements or parts
n. (chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight
n. an enclosure of residences and other building (especially in the Orient)
v. put or add together"
comprehension,n. an ability to understand the meaning or importance of something (or the knowledge acquired as a result)
compulsory,s. required by rule
concentrate,"n. a concentrated form of a foodstuff; the bulk is reduced by removing water
n. a concentrated example of something
v. make denser, stronger, or purer
v. direct one's attention on something"
concrete,"n. a strong hard building material composed of sand and gravel and cement and water
v. cover with cement
v. form into a solid mass; coalesce
a. capable of being perceived by the senses; not abstract or imaginary"
condense,"v. undergo condensation; change from a gaseous to a liquid state and fall in drops
v. remove water from
v. cause a gas or vapor to change into a liquid
v. become more compact or concentrated"
conditioner,"n. exercise that conditions the body
n. a trainer of athletes
n. a substance used in washing (clothing or hair) to make things softer"
consumption,"n. the process of taking food into the body through the mouth (as by eating)
n. (economics) the utilization of economic goods to satisfy needs or in manufacturing
n. the act of consuming something"
coronary,a. surrounding like a crown (especially of the blood vessels surrounding the heart)
density,n. the amount per unit size
dose,"n. a measured portion of medicine taken at any one time
n. the quantity of an active agent (substance or radiation) taken in or absorbed at any one time
v. treat with an agent; add (an agent) to"
illegal,a. prohibited by law or by official or accepted rules
incidence,"n. the relative frequency of occurrence of something
n. the striking of a light beam on a surface"
indication,"n. something that serves to indicate or suggest
n. the act of indicating or pointing out by name
n. (medicine) a reason to prescribe a drug or perform a procedure
n. something (as a course of action) that is indicated as expedient or necessary"
lipoprotein,n. a conjugated protein having a lipid component; the principal means for transporting lipids in the blood
liquor,"n. an alcoholic beverage that is distilled rather than fermented
n. a liquid substance that is a solution (or emulsion or suspension) used or obtained in an industrial process
n. the liquid in which vegetables or meat have be cooked"
midwinter,n. the middle of winter
mini,a. used of women's clothing; very short with hemline above the knee
minibar,n. sideboard with compartments for holding bottles
minibus,n. a light bus (4 to 10 passengers)
minor,"a. of lesser importance or stature or rank
a. lesser in scope or effect
a. inferior in number or size or amount
a. of a scale or mode"
miserly,s (used of persons or behavior) characterized by or indicative of lack of generosity
misgiving,n. doubt about someone's honesty
moderate,"v. preside over
v. make less fast or intense
a. being within reasonable or average limits; not excessive or extreme
s. not extreme"
nondrinker,n a person who refrains from drinking intoxicating beverages
outweigh,v. be heavier than
overdraw,v. draw more money from than is available
prescription,"n. directions prescribed beforehand; the action of prescribing authoritative rules or directions
n. written instructions for an optician on the lenses for a given person
n. written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient
a. available only with a doctor's written prescription"
procedure,"n. a particular course of action intended to achieve a result
n. a mode of conducting legal and parliamentary proceedings"
property,"n. something owned; any tangible or intangible possession that is owned by someone; 
n. a basic or essential attribute shared by all members of a class
n. a construct whereby objects or individuals can be distinguished
n. any movable articles or objects used on the set of a play or movie"
recommend,"v. push for something
v. make attractive or acceptable"
repel,"v. cause to move back by force or influence
v. be repellent to; cause aversion in
v. force or drive back"
residence,"n. any address at which you dwell more than temporarily
n. the official house or establishment of an important person (as a sovereign or president)"
sip,"n. a small drink
v. drink in sips"
sterling,n. British money; especially the pound sterling as the basic monetary unit of the UK
stroke,"n. (sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand
n. a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
n. a light touch
n. a light touch with the hands"
transaction,n. the act of transacting within or between groups (as carrying on commercial activities)
withdrawn,"v pull back or move away or backward
v withdraw from active participation
v release from something that holds fast, connects, or entangles
v cause to be returned
v take back what one has said
v keep away from others
v break from a meeting or gathering
v retire gracefully
v remove (a commodity) from (a supply source)
v lose interest
v make a retreat from an earlier commitment or activity
v remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
s withdrawn from society; seeking solitude
s tending to reserve or introspection"
selection,n. an assortment of things from which a choice can be made
similarity,"n. the quality of being similar
n. a Gestalt principle of organization holding that (other things being equal) parts of a stimulus field that are similar to each other tend to be perceived as belonging together as a unit"
skeleton,"n. something reduced to its minimal form
n. a scandal that is kept secret
n. the internal supporting structure that gives an artifact its shape"
boast,"n. speaking of yourself in superlatives
v. show off"
slander,n. words falsely spoken that damage the reputation of another
spoil,"n. (usually plural) valuables taken by violence (especially in war)
n. the act of spoiling something by causing damage to it
n. the act of stripping and taking by force
v. become unfit for consumption or use"
interval,"n. a set containing all points (or all real numbers) between two given endpoints
n. the distance between things
n. the difference in pitch between two notes"
elaborate,"v. add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v. produce from basic elements or sources; change into a more developed product
v. work out in detail
s. marked by complexity and richness of detail"
exquisite,"s. intense or sharp
s. lavishly elegant and refined
s. of extreme beauty"
swarm,n. a group of many things in the air or on the ground
poisonous,"s. having the qualities or effects of a poison
s. not safe to eat
s. marked by deep ill will; deliberately harmful"
humiliate,v. cause to feel shame; hurt the pride of
embarrass,v. cause to be embarrassed; cause to feel self-conscious
embroider,"v. decorate with needlework
v. add details to"
plague,"n. a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal
n. any epidemic disease with a high death rate
n. any large scale calamity (especially when thought to be sent by God)
n. an annoyance"
comfort,"n. a state of being relaxed and feeling no pain
n. a feeling of freedom from worry or disappointment
n. satisfaction or physical well-being provided by a person or thing
n. assistance, such as that provided to an enemy or to a known criminal"
synthesize,"v. combine so as to form a more complex, product
v. combine and form a synthesis"
swamp,"n. low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog
n. a situation fraught with difficulties and imponderables
v. drench or submerge or be drenched or submerged"
idiomatic,a. of or relating to or conforming to idiom
saturate,"v. cause (a chemical compound, vapour, solution, magnetic material) to unite with the greatest possible amount of another substance"
unpopular,a. regarded with disfavor or lacking general approval
subjunctive,a. relating to a mood of verbs
amend,v. make amendments to
dismal,s causing dejection
earthly,a. of or belonging to or characteristic of this earth as distinguished from heaven
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
airbag,none
artificial,"a. contrived by art rather than nature
s. artificially formal
s. not arising from natural growth or characterized by vital processes"
athletic,"a. relating to or befitting athletics or athletes
s. having a sturdy and well proportioned body"
autograph,"n. something written by one's own hand
n. a person's own signature
v. mark with one's signature"
awesome,s inspiring awe or admiration or wonder
champion,"n. someone who has won first place in a competition
n. someone who fights for a cause
v. protect or fight for as a champion
s. holding first place in a contest"
charity,"n. a foundation created to promote the public good (not for assistance to any particular individuals)
n. a kindly and lenient attitude toward people
n. an activity or gift that benefits the public at large
n. an institution set up to provide help to the needy"
coexist,"v. coexist peacefully, as of nations
v. exist together"
collapse,"n. an abrupt failure of function or complete physical exhaustion
n. a natural event caused by something suddenly falling down or caving in
v. break down, literally or metaphorically
v. fold or close up"
column,"n. a line of units following one after another
n. a vertical glass tube used in column chromatography; a mixture is poured in the top and washed through a stationary substance where components of the mixture are adsorbed selectively to form colored bands
n. a vertical array of numbers or other information
n. anything that approximates the shape of a column or tower"
compensation,"n. something (such as money) given or received as payment or reparation (as for a service or loss or injury)
n. (psychiatry) a defense mechanism that conceals your undesirable shortcomings by exaggerating desirable behaviors"
competitive,"a. involving competition or competitiveness
s. subscribing to capitalistic competition
s. showing a fighting disposition"
conjunction,"n. an uninflected function word that serves to conjoin words or phrases or clauses or sentences
n. the grammatical relation between linguistic units (words or phrases or clauses) that are connected by a conjunction
n. (astronomy) apparent meeting or passing of two or more celestial bodies in the same degree of the zodiac"
conquer,v. overcome by conquest
consistent,"a. (sometimes followed by `with') in agreement or consistent or reliable
s. the same throughout in structure or composition"
conspicuous,a. obvious to the eye or mind
constitute,v. form or compose
contend,"v. maintain or assert
v. be engaged in a fight; carry on a fight"
continual,"a. occurring without interruption; chiefly restricted to what recurs regularly or frequently in a prolonged and closely spaced series
s. `continual' (meaning seemingly uninterrupted) is often used interchangeably with `continuous' (meaning without interruption)"
continuity,"n. uninterrupted connection or union
n. a detailed script used in making a film in order to avoid discontinuities from shot to shot
n. the property of a continuous and connected period of time"
contribution,"n. the part played by a person in bringing about a result
n. a voluntary gift (as of money or service or ideas) made to some worthwhile cause
n. act of giving in common with others for a common purpose especially to a charity
n. an amount of money contributed"
crystal,"n. a solid formed by the solidification of a chemical and having a highly regular atomic structure
n. a crystalline element used as a component in various electronic devices
n. a rock formed by the solidification of a substance; has regularly repeating internal structure; external plane faces
n. glassware made of quartz"
curriculum,n an integrated course of academic studies
determination,"n. the act of determining the properties of something, usually by research or calculation
n. the quality of being determined to do or achieve something; firmness of purpose
n. deciding or controlling something's outcome or nature"
embody,"v. represent, as of a character on stage
v. represent or express something abstract in tangible form"
essential,"s. absolutely necessary; vitally necessary
a. basic and fundamental
a. being or relating to or containing the essence of a plant etc"
excellence,"n. the quality of excelling; possessing good qualities in high degree
n. an outstanding feature; something in which something or someone excels"
fitness,"n. the quality of being suitable
n. good physical condition; being in shape or in condition
n. the quality of being qualified"
fulfillment,"n. a feeling of satisfaction at having achieved your desires
n. the act of consummating something (a desire or promise etc)"
gasp,n. a short labored intake of breath with the mouth open
hectic,s marked by intense agitation or emotion
identity,"n. the distinct personality of an individual regarded as a persisting entity
n. the individual characteristics by which a thing or person is recognized or known
n. an operator that leaves unchanged the element on which it operates
n. exact sameness"
immobilize,"v. hold as reserve or withdraw from circulation; of capital
v. make defenseless
v. convert (assets) into fixed capital"
inability,"n. lack of ability (especially mental ability) to do something
n. lacking the power to perform"
incident,"n. a single distinct event
n. a public disturbance
a. falling or striking of light rays on something"
ingredient,"n. a component of a mixture or compound
n. food that is a component of a mixture in cooking"
modernize,v. become technologically advanced
modify,"v. make less severe or harsh or extreme
v. add a modifier to a constituent"
mold,"n. container into which liquid is poured to create a given shape when it hardens
n. loose soil rich in organic matter
n. a fungus that produces a superficial growth on various kinds of damp or decaying organic matter"
pedigree,"n. line of descent of a purebred animal
n. ancestry of a purebred animal
s. having a list of ancestors as proof of being a purebred animal"
practiced,s. skillful after much practice
privilege,"n. a special advantage or immunity or benefit not enjoyed by all
n. (law) the right to refuse to divulge information obtained in a confidential relationship
v. bestow a privilege upon"
profile,"n. an analysis (often in graphical form) representing the extent to which something exhibits various characteristics
n. an outline of something (especially a human face as seen from one side)
n. biographical sketch
n. a vertical section of the Earth's crust showing the different horizons or layers"
prosecute,"v. conduct a prosecution in a court of law
v. bring a criminal action against (in a trial)
v. carry out or participate in an activity; be involved in"
smoothness,"n. a texture without roughness; smooth to the touch
n. the quality of having a level and even surface
n. the quality of being free from errors or interruptions"
spectator,n. a close observer; someone who looks at something (such as an exhibition of some kind)
spin,"n. a swift whirling motion (usually of a missile)
n. the act of rotating rapidly
n. a short drive in a car
n. a distinctive interpretation (especially as used by politicians to sway public opinion)"
sponsorship,n. the act of sponsoring (either officially or financially)
steer,"v. direct the course; determine the direction of travelling
v. direct (oneself) somewhere"
tipper,n. a person who leaves a tip
traction,n. (orthopedics) the act of pulling on a bone or limb (as in a fracture) to relieve pressure or align parts in a special way during healing
transform,"v. subject to a mathematical transformation
v. change or alter in form, appearance, or nature
v. change in outward structure or looks
v. convert (one form of energy) to another"
wrongful,"s. unlawfully violating the rights of others
s. not just or fair"
baptize,v. administer baptism to
capitalize,"v. draw advantages from
v. supply with capital, as of a business by using a combination of capital used by investors and debt capital provided by lenders
v. write in capital letters
v. compute the present value of a business or an income"
symmetric,"a having similarity in size, shape, and relative position of corresponding parts"
influence,"n. a power to affect persons or events especially power based on prestige etc
n. causing something without any direct or apparent effort
n. a cognitive factor that tends to have an effect on what you do
n. the effect of one thing (or person) on another"
inscribe,"v. draw within a figure so as to touch in as many places as possible
v. write, engrave, or print as a lasting record
v. address, (a work of literature) in a style less formal than a dedication"
intervention,"n. the act of intervening (as to mediate a dispute, etc.)
n. a policy of intervening in the affairs of other countries
n. (law) a proceeding that permits a person to enter into a lawsuit already in progress; admission of person not an original party to the suit so that person can protect some right or interest that is allegedly affected by the proceedings"
significance,"n. the quality of being significant
n. a meaning that is not expressly stated but can be inferred"
sequence,"n. serial arrangement in which things follow in logical order or a recurrent pattern
n. a following of one thing after another in time
n. film consisting of a succession of related shots that develop a given subject in a movie
n. several repetitions of a melodic phrase in different keys"
intersect,v. meet at a point
rustic,n. an unsophisticated country person
sanitary,a. free from filth and pathogens
inhabitable,s fit for habitation
distort,"v make false by mutilation or addition; as of a message or story
v form into a spiral shape
v twist and press out of shape
v affect as in thought or feeling
v alter the shape of (something) by stress"
inspiring,a. stimulating or exalting to the spirit
furious,"s marked by extreme and violent energy
s marked by extreme anger
s (of the elements) as if showing violent anger"
acceptable,"a. worthy of acceptance or satisfactory
s. judged to be in conformity with approved usage
s. adequate for the purpose"
accumulate,v. collect or gather
alter,"v. make an alteration to
v. remove the ovaries of"
avalanche,"n. a slide of large masses of snow and ice and mud down a mountain
n. a sudden appearance of an overwhelming number of things
v. gather into a huge mass and roll down a mountain, of snow"
boulder,"n. a large smooth mass of rock detached from its place of origin
n. a town in north central Colorado; Rocky Mountains resort center and university town"
cascade,"n. a small waterfall or series of small waterfalls
n. a succession of stages or operations or processes or units
v. rush down in big quantities, like a cascade
v. arrange (open windows) on a computer desktop so that they overlap each other, with the title bars visible"
catastrophe,"n. a state of extreme (usually irremediable) ruin and misfortune
n. a sudden violent change in the earth's surface"
collective,"n. members of a cooperative enterprise
a. forming a whole or aggregate
s. set up on the principle of collectivism or ownership and production by the workers involved usually under the supervision of a government"
comprise,"v be composed of
v include or contain; have as a component
v form or compose"
constant,"n. a quantity that does not vary
n. a number representing a quantity assumed to have a fixed value in a specified mathematical context
a. steadfast in purpose or devotion or affection"
convey,"v. make known; pass on, of information
v. transfer to another
v. transmit a title or property"
cope,"n. a long cloak; worn by a priest or bishop on ceremonial occasions
v. come to terms with"
correspondence,n. communication by the exchange of letters
costly,s. having a high price
costume,"n. the attire worn in a play or at a fancy dress ball
n. unusual or period attire not characteristic of or appropriate to the time and place
n. the prevalent fashion of dress (including accessories and hair style as well as garments)
n. the attire characteristic of a country or a time or a social class"
cot,n. a small bed that folds up for storage or transport
crush,"n. a dense crowd of people
n. the act of crushing
v. break into small pieces
v. humiliate or depress completely"
devastating,"v cause extensive destruction or ruin utterly
v overwhelm or overpower
s making light of
s wreaking or capable of wreaking complete destruction
s physically or spiritually devastating; often used in combination"
earnings,"n the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)
n something that remunerates
v earn on some commercial or business transaction; earn as salary or wages
v acquire or deserve by one's efforts or actions"
enormous,"s. extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman"
equality,"n. the quality of being the same in quantity or measure or value or status
n. a state of being essentially equal or equivalent; equally balanced"
estimate,"n. an approximate calculation of quantity or degree or worth
n. a judgment of the qualities of something or somebody
n. a statement indicating the likely cost of some job
n. the respect with which a person is held"
extremely,r. to an extreme degree
gigantic,s. so exceedingly large or extensive as to suggest a giant or mammoth
glacier,n. a slowly moving mass of ice
handicap,"n. advantage given to a competitor to equalize chances of winning
v. attempt to forecast the winner (especially in a horse race) and assign odds for or against a contestant
v. put at a disadvantage"
involved,"a. connected by participation or association or use
s. entangled or hindered as if e.g. in mire
s. emotionally involved
s. enveloped"
layer,"n. single thickness of usually some homogeneous substance
n. a relatively thin sheetlike expanse or region lying over or under another
n. a hen that lays eggs
n. thin structure composed of a single thickness of cells"
legislation,"n. law enacted by a legislative body
n. the act of making or enacting laws"
melt,"v. reduce or cause to be reduced from a solid to a liquid state, usually by heating
v. lose its distinct outline or shape; blend gradually
v. become less intense and fade away gradually"
mountainside,n. the side or slope of a mountain
opportunity,n. a possibility due to a favorable combination of circumstances
piling,"n a column of wood or steel or concrete that is driven into the ground to provide support for a structure
v arrange in stacks
v press tightly together or cram
v place or lay as if in a pile"
predict,v. make a prediction about; tell in advance
prejudice,"v. disadvantage by prejudice
v. influence (somebody's) opinion in advance"
promote,"v. contribute to the progress or growth of
v. give a promotion to or assign to a higher position
v. be changed for a superior chess or checker piece
v. change a pawn for a better piece by advancing it to the eighth row, or change a checker piece for a more valuable piece by moving it to the row closest to your opponent"
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
rarely,r. not often
rear,"n. the back of a military formation or procession
n. the side of an object that is opposite its front
n. the side that goes last or is not normally seen
v. stand up on the hind legs, of quadrupeds"
related,"a. being connected either logically or causally or by shared characteristics
a. connected by kinship, common origin, or marriage"
removed,s. separated in relationship by a given degree of descent
slide,"n. a small flat rectangular piece of glass on which specimens can be mounted for microscopic study
n. (geology) the descent of a large mass of earth or rocks or snow etc.
n. plaything consisting of a sloping chute down which children can slide
n. the act of moving smoothly along a surface while remaining in contact with it"
slight,"v. pay no attention to, disrespect"
slope,"n. an elevated geological formation
v. be at an angle"
toil,"n productive work (especially physical work done for wages)
v work hard"
topsoil,n. the layer of soil on the surface
tradition,n. an inherited pattern of thought or action
tumble,"n. an acrobatic feat of rolling or turning end over end
v. fall down, as if collapsing
v. roll over and over, back and forth
v. throw together in a confused mass"
vibration,"n. the act of vibrating
n. a distinctive emotional aura experienced instinctively"
eccentric,"n. a person with an unusual or odd personality
a. not having a common center; not concentric"
valiant,s. having or showing valor
outrage,n. a wantonly cruel act
greed,n. excessive desire to acquire or possess more (especially more material wealth) than one needs or deserves
fussy,"s annoyed and irritable
s overcrowded or cluttered with detail
s exacting especially about details"
muffle,"n. a kiln with an inner chamber for firing things at a low temperature
v. deaden (a sound or noise), especially by wrapping"
dissent,"n. (law) the difference of one judge's opinion from that of the majority
n. a difference of opinion
v. withhold assent"
moor,"n. one of the Muslim people of north Africa; of mixed Arab and Berber descent; converted to Islam in the 8th century; conqueror of Spain in the 8th century
n. open land usually with peaty soil covered with heather and bracken and moss
v. secure in or as if in a berth or dock
v. come into or dock at a wharf"
upset,"n. the act of disturbing the mind or body
n. a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging
n. the act of upsetting something
v. disturb the balance or stability of"
pictorial,"n. a periodical (magazine or newspaper) containing many pictures
a. pertaining to or consisting of pictures"
ultimate,"n. the finest or most superior quality of its kind
a. furthest or highest in degree or order; utmost or extreme
s. being the last or concluding element of a series"
criminal,"n. someone who has committed a crime or has been legally convicted of a crime
s. guilty of crime or serious offense
s. involving or being or having the nature of a crime"
onlooker,n. someone who looks on
gangster,n. a criminal who is a member of gang
admiration,"n. a feeling of delighted approval and liking
n. a favorable judgment"
allocation,n. (computer science) the assignment of particular areas of a magnetic disk to particular data or instructions
petition,v. write a petition for something to somebody; request formally and in writing
treasonable,"s having the character of, or characteristic of, a traitor"
supportive,a. furnishing support or assistance
obedient,"a. dutifully complying with the commands or instructions of those in authority; the refractory remain unburdened""- Edmund Burke"
dummy,"n. a person who does not talk
n. a figure representing the human form
v. make a dummy of
s. having the appearance of being real but lacking capacity to function"
destructive,a. causing destruction or much damage
accurate,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct"
adopt,"v. choose and follow; as of theories, ideas, policies, strategies or plans
v. take up and practice as one's own
v. take into one's family"
affection,n. a positive feeling of liking
arena,"n. the central area of an ancient Roman amphitheater where contests and spectacles were held; especially an area that was strewn with sand
n. a playing field where sports events take place"
authentic,"s. conforming to fact and therefore worthy of belief
s. not counterfeit or copied"
biathlon,none
bidding,n. a request to be present
billboard,n. large outdoor signboard
biogas,none
birthday,"n. an anniversary of the day on which a person was born (or the celebration of it)
n. the date on which a person was born"
blot,"n. an act that brings discredit to the person who does it
v. dry (ink) with blotting paper"
builder,"n. a substance added to soaps or detergents to increase their cleansing action
n. a person who creates a business or who organizes and develops a country
n. someone who contracts for and supervises construction (as of a building)"
ceremony,"n. a formal event performed on a special occasion
n. any activity that is performed in an especially solemn elaborate or formal way
n. the proper or conventional behavior on some solemn occasion"
charter,"n. a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation
n. a contract to hire or lease transportation
v. grant a charter to"
committee,"n. a special group delegated to consider some matter
n. a self-constituted organization to promote something"
complexion,"n. the coloring of a person's face
n. a combination that results from coupling or interlinking
n. a point of view or general attitude or inclination
n. texture and appearance of the skin of the face"
conceal,v. hold back; keep from being perceived by others
concerning,"v be relevant to
v be on the mind of"
considerable,a. large or relatively large in number or amount or extent or degree
construction,"n. the act of constructing something
n. a group of words that form a constituent of a sentence and are considered as a single unit
n. the creation of a construct; the process of combining ideas into a congruous object of thought
n. drawing a figure satisfying certain conditions as part of solving a problem or proving a theorem"
convert,"n. a person who has been converted to another religious or political belief
v. change from one system to another or to a new plan or policy
v. change the nature, purpose, or function of something
v. change religious beliefs, or adopt a religious belief"
council,"n. a body serving in an administrative capacity
n. (Christianity) an assembly of theologians and bishops and other representatives of different churches or dioceses that is convened to regulate matters of discipline or doctrine
n. a meeting of people for consultation"
coward,"n. a person who shows fear or timidity
n. English dramatist and actor and composer noted for his witty and sophisticated comedies (1899-1973)"
creativity,n. the ability to create
cruiser,"n. a car in which policemen cruise the streets; equipped with radiotelephonic communications to headquarters
n. a large fast warship; smaller than a battleship and larger than a destroyer"
decorate,"v. make more attractive by adding ornament, colour, etc.
v. award a mark of honor, such as a medal, to"
deprive,"v. take away possessions from someone
v. keep from having, keeping, or obtaining
v. take away"
dimension,"n. the magnitude of something in a particular direction (especially length or width or height)
n. one of three Cartesian coordinates that determine a position in space
v. indicate the dimensions on
v. shape or form to required dimensions"
dormitory,"n. a college or university building containing living quarters for students
n. a large sleeping room containing several beds"
efficient,a. being effective without wasting time or effort or expense
endorsement,"n. a promotional statement (as found on the dust jackets of books)
n. a signature that validates something
n. the act of endorsing"
enforcement,n. the act of enforcing; ensuring observance of or obedience to
entrenched,"s. dug in
s. established firmly and securely"
hinder,"v be a hindrance or obstacle to
v hinder or prevent the progress or accomplishment of
v put at a disadvantage
s located at or near the back of an animal
s located at or near the back of an animal"
ignorant,"s. uneducated in general; lacking knowledge or sophistication
s. uneducated in the fundamentals of a given art or branch of learning; lacking knowledge of a specific field
s. unaware because of a lack of relevant information or knowledge"
impertinent,s. characterized by a lightly pert and exuberant quality
infant,n a very young child (birth to 1 year) who has not yet begun to walk or talk
inquiry,"n. a search for knowledge
n. a systematic investigation of a matter of public interest"
motorway,n a broad highway designed for high-speed traffic
mountainside,n. the side or slope of a mountain
wildness,"n. a feeling of extreme emotional intensity
n. an unruly disposition to do as one pleases
n. an intractably barbarous or uncultivated state of nature"
opt,v select as an alternative over another
overturn,"n. an improbable and unexpected victory
v. turn from an upright or normal position
v. cause to overturn from an upright or normal position"
parentage,n. the kinship relation of an offspring to the parents
partial,"s. being or affecting only a part; not total
a. showing favoritism"
pluck,"n. the act of pulling and releasing a taut cord
v. pull or pull out sharply
v. pull lightly but sharply with a plucking motion
v. strip of feathers"
recycle,"v. cause to repeat a cycle
v. use again after processing"
rink,n. building that contains a surface for ice skating or roller skating
