heritage,n. practices that are handed down from the past by tradition
stew,"n. food prepared by stewing especially meat or fish with vegetables
v. bear a grudge; harbor ill feelings
v. cook slowly and for a long time in liquid"
custom,"n. accepted or habitual practice
n. a specific practice of long standing
n. habitual patronage"
sensory,a. involving or derived from the senses
striking,"n the physical coming together of two or more things
n the act of contacting one thing with another
v deliver a sharp blow, as with the hand, fist, or weapon
v have an emotional or cognitive impact upon
v hit against; come into sudden contact with
v make a strategic, offensive, assault against an enemy, opponent, or a target
v indicate (a certain time) by striking
v affect or afflict suddenly, usually adversely
v stop work in order to press demands
v touch or seem as if touching visually or audibly
v attain
v produce by manipulating keys or strings of musical instruments, also metaphorically
v cause to form (an electric arc) between electrodes of an arc lamp
v find unexpectedly
v produce by ignition or a blow
v remove by erasing or crossing out or as if by drawing a line
v cause to experience suddenly
v drive something violently into a location
v occupy or take on
v form by stamping, punching, or printing
v smooth with a strickle
v pierce with force
v arrive at after reckoning, deliberating, and weighing
s sensational in appearance or thrilling in effect
s having a quality that thrusts itself into attention"
transition,"n. a change from one place or state or subject or stage to another
n. a musical passage moving from one key to another
n. a passage that connects a topic to one that follows
v. cause to convert or undergo a transition"
crowd,"n. a large number of things or people considered together
n. an informal body of friends
v. fill or occupy to the point of overflowing
v. to gather together in large numbers"
Wales,n. one of the four countries that make up the United Kingdom of Great Britain and Northern Ireland; during Roman times the region was known as Cambria
Scotland,n. one of the four countries that make up the United Kingdom of Great Britain and Northern Ireland; located on the northern part of the island of Great Britain; famous for bagpipes and plaids and kilts
Northern Ireland,none
Anglo-Saxon,"n. a native or inhabitant of England prior to the Norman Conquest
n. a person of Anglo-Saxon (especially British) descent whose native tongue is English and whose culture is strongly influenced by English culture as in WASP for `White Anglo-Saxon Protestant'
a. of or relating to the Anglo-Saxons or their language"
Viking,n. any of the Scandinavian people who raided the coasts of Europe from the 8th to the 11th centuries
Norman,"n. United States operatic soprano (born in 1945)
n. Australian golfer (born in 1955)
n. an inhabitant of Normandy
a. of or relating to or characteristic of Normandy"
the Normans,none
Battle of Hastings,none
Roman,"n. a resident of modern Rome
n. an inhabitant of the ancient Roman Empire
n. a typeface used in ancient Roman inscriptions"
Van Gogh,none
the Emerald Isle,none
Irish,"n. people of Ireland or of Irish extraction
n. whiskey made in Ireland chiefly from barley
n. the Celtic language of Ireland"
classical,"a. of or relating to the most highly developed stage of an earlier civilisation and its culture
a. of or relating to the study of the literary works of ancient Greece and Rome
s. (language) having the form used by ancient standard authors
s. of or pertaining to or characteristic of the ancient Greek and Roman cultures"
hip-hop,"n. an urban youth culture associated with rap music and the fashions of African-American residents of the inner city
n. genre of African-American music of the 1980s and 1990s in which rhyming lyrics are chanted to a musical accompaniment; several forms of rap have emerged"
techno,n. a style of fast heavy electronic dance music usually without vocals
energy,"n. (physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
n. forceful exertion
n. enterprising or ambitious drive
n. an imaginative lively style (especially style of writing)"
soul,"n. the immaterial part of a person; the actuating cause of an individual life
n. deep feeling or emotion
n. the human embodiment of something
n. a secular form of gospel that was a major Black musical genre in the 1960s and 1970s"
bagpipes,n a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone
stringed,"v thread on or as if on a string
v add as if on a string
v move or come along
v stretch out or arrange like a string
v string together; tie or fasten with a string
v remove the stringy parts of
v provide with strings"
stringed instrument,none
virtual,"s. being actually such in almost every respect
s. existing in essence or effect though not in actual fact"
virtual choir,none
composition,"n. the spatial property resulting from the arrangement of parts in relation to each other and to the whole
n. a mixture of ingredients
n. an essay (especially one written as an assignment)
n. something that is created by arranging several things to form a unified whole"
opportunity,n. a possibility due to a favorable combination of circumstances
perform,"v. carry out or perform an action
v. perform a function
v. give a performance (of something)"
performance,"n. a dramatic or musical entertainment
n. the act of presenting a play or a piece of music or other entertainment
n. the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
n. any recognized accomplishment"
performer,n. an entertainer who performs a dramatic or musical work for an audience
onto,"prep. On the top of; upon; on. See On to, under On, prep."
studio,"n. workplace for the teaching or practice of an art
n. workplace consisting of a room or building where movies or television shows or radio programs are produced and recorded"
ordinary,"n. a judge of a probate court
n. the expected or commonplace condition or situation
n. a clergyman appointed to prepare condemned prisoners for death
n. an early bicycle with a very large front wheel and small back wheel"
enable,v. render capable or able for some task
prove,"v. be shown or be found to be
v. establish the validity of something, as by an example, explanation or experiment
v. prove formally; demonstrate by a mathematical, formal proof
v. take a trial impression of"
award,"n. a grant made by a law court
n. a tangible symbol signifying approval or distinction
v. give, especially as an honor or reward
v. give as judged due or on the basis of merit"
composer,n. someone who composes music as a profession
conductor,"n. the person who leads a musical group
n. a substance that readily conducts e.g. electricity and heat
n. the person who collects fares on a public conveyance
n. a device designed to transmit electricity, heat, etc."
fall in love with,none
original,"n. something that serves as a model or a basis for making copies
s. preceding all others in time or being as first made or performed
s. (of e.g. information) not secondhand or by way of something intermediary
a. being or productive of something fresh and unusual; or being as first made or thought of"
phenomenon,"n. any state or process known through the senses rather than by intuition or reasoning
n. a remarkable development"
stage,"n. a large platform on which people can stand and can be seen by an audience
n. the theater as a profession (usually `the stage')
n. a section or portion of a journey or course
n. any scene regarded as a setting for exhibiting or doing something"
altogether,r. with everything included or counted
thus,r. in the way indicated; (`thusly' is a nonstandard variant)
band,"n. instrumentalists not including string players
n. a stripe or stripes of contrasting color
n. an adornment consisting of a strip of a contrasting color or material
n. a range of frequencies between two limits"
rap,"n. a gentle blow
n. voluble conversation
n. genre of African-American music of the 1980s and 1990s in which rhyming lyrics are chanted to a musical accompaniment; several forms of rap have emerged
v. strike sharply"
nowadays,r. in these times
gradual,"n. (Roman Catholic Church) an antiphon (usually from the Book of Psalms) immediately after the epistle at Mass
a. proceeding in small stages
a. (of a topographical gradient) not steep or abrupt"
capable,"a. (usually followed by `of') having capacity or ability
s. possibly accepting or permitting
a. (followed by `of') having the temperament or inclination for"
relief,"n. the feeling that comes when something burdensome is removed or reduced
n. the condition of being comfortable or relieved (especially after being relieved of distress)
n. (law) redress awarded by a court
n. assistance in time of difficulty"
cure,"v. prepare by drying, salting, or chemical processing in order to preserve
v. make (substances) hard and improve their usability
v. be or become preserved"
absorbed in sth.,none
absorbed in sb.,none
previous,"s. just preceding something else in time or order
s. too soon or too hasty"
unemployed,a. not engaged in a gainful occupation
romantic,"n. a soulful or amorous idealist
a. belonging to or characteristic of Romanticism or the Romantic Movement in the arts"
album,"n. one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc
n. a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc"
impact,"n. the striking of one body against another
n. a forceful consequence; a strong effect
v. press or wedge together; pack together"
aim,"n. the goal intended to be attained (and which is believed to be attainable)
n. the action of directing something at an object
v. point or cause to go (blows, weapons, or objects such as photographic equipment) towards
v. propose or intend"
set sth. up,n. the way something is organized or arranged
equipment,n. an instrumentality needed for an undertaking or to perform a service
try out,"n trying something to find out about it
n a test of the suitability of a performer"
talent,n. a person who possesses unusual innate ability in some field or activity
piano,"n. a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds
n. (music) low loudness
a. used chiefly as a direction or description in music
r. used as a direction in music; to be played relatively softly"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
addition,"n. a component that is added to something to improve it
n. the act of adding one thing to another
n. a quantity that is added
n. a suburban area laid out in streets and lots for a future residential area"
in addition,none
in addition to sb.,none
in addition to sth.,none
disease,n. an impairment of health or a condition of abnormal functioning
ache,"n. a dull persistent (usually moderately intense) pain
v. have a desire for something or someone who is not present
v. be the source of pain"
treatment,"n. care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
n. the management of someone or something
n. a manner of dealing with something artistically"
from on,none
from then on,none
lean,"v. to incline or bend from a vertical position
v. cause to lean or incline
v. rely on for support
a. lacking in mineral content or combustible material"
leant,"v to incline or bend from a vertical position
v cause to lean or incline
v have a tendency or disposition to do or be something; be inclined
v rely on for support
v cause to lean to the side"
leaned,"v to incline or bend from a vertical position
v cause to lean or incline
v have a tendency or disposition to do or be something; be inclined
v rely on for support
v cause to lean to the side"
get through,none
moreover,"r in addition; furthermore, their quality is improving""; moreover, mice nested there"""
satisfaction,"n. the contentment one feels when one has fulfilled a desire, need, or expectation
n. (law) the payment of a debt or fulfillment of an obligation
n. act of fulfilling a desire or need or appetite"
being,n. the state or fact of existing
various,"s of many different kinds purposefully arranged but lacking any uniformity
s considered individually
s distinctly dissimilar or unlike
s having great diversity or variety"
somehow,"r. in some unspecified way or manner; or by some unspecified means
r. for some unspecified reason;"
rhetorical,"a. of or relating to rhetoric
a. given to rhetoric, emphasizing style at the expense of thought"
metaphor,n. a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity
personification,"n. a person who represents an abstract quality
n. representing an abstract quality or idea as a person or creature
n. the act of attributing human characteristics to abstract ideas etc."
repetition,"n. the act of doing or performing again
n. the repeated use of the same word or word pattern as a rhetorical device"
simile,n. a figure of speech that expresses a resemblance between things of different kinds (usually formed with `like' or `as')
outline,"n. the line that appears to bound an object
n. a sketchy summary of the main points of an argument or theory
n. a schematic or preliminary plan"
reaction,"n. an idea evoked by some experience
n. a bodily process occurring due to the effect of some antecedent stimulus or agent
n. (mechanics) the equal and opposite force that is produced when any force is applied to a body
n. a response that reveals a person's feelings or attitude"
Eric Whitacre,none
Nevada,n. a state in the southwestern United States
Mozart,"n. prolific Austrian composer and child prodigy; master of the classical style in all its forms of his time (1756-1791)
n. the music of Mozart"
Lux Aurumque,none
UNICEF,n an agency of the United Nations responsible for programs to aid education and the health of children and mothers in developing countries
United Nations Children's Fund,none
Las Vegas,none
John A. Logan,none
