important,"a. of great significance or value
s. having or suggesting a consciousness of high position"
expose,"n. the exposure of an impostor or a fraud
v. expose or make accessible to some action or influence
v. to show, make visible or apparent
v. expose to light, of photographic film"
extend,"v. make available; provide
v. reach outward in space
v. expand the influence of
v. open or straighten out; unbend"
frequency,"n. the number of occurrences within a given time period
n. the ratio of the number of observations in a statistical category to the total number of observations
n. the number of observations in a given statistical category"
grant,"n. any monetary aid
n. the act of providing a subsidy
n. (law) a transfer of property by deed of conveyance
n. Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)"
highlight,"n. the most interesting or memorable part
n. an area of lightness in a picture
v. apply a highlighter to one's cheeks or eyebrows in order to make them more prominent"
induce,"v. cause to arise
v. cause to do; cause to act in a specified manner
v. cause to occur rapidly
v. reason or establish by induction"
instant,s. in or of the present month
interactive,"a used especially of drugs or muscles that work together so the total effect is greater than the sum of the two (or more)
s capable of acting on or influencing each other"
investigate,"v. investigate scientifically
v. conduct an inquiry or investigation of"
liberal,"n. a person who favors a political philosophy of progress and reform and the protection of civil liberties
n. a person who favors an economic theory of laissez-faire and self-regulating markets
s. having political or social views favoring reform and progress
a. tolerant of change; not bound by authoritarianism, orthodoxy, or tradition"
multiple,"n. the product of a quantity by an integer
a. having or involving or consisting of more than one part or entity or individual"
novel,"n. an extended fictional work in prose; usually in the form of a story
n. a printed and bound book that is an extended work of fiction
s. pleasantly new or different"
objective,"n. the lens or system of lenses in a telescope or microscope that is nearest the object being viewed
a. undistorted by emotion or personal bias; based on observable phenomena
a. serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes
s. emphasizing or expressing things as perceived without distortion of personal feelings, insertion of fictional matter, or interpretation"
optimistic,a. expecting the best in this best of all possible worlds
outcome,"n something that results
n a phenomenon that follows and is caused by some previous phenomenon"
peak,n. the top or extreme point of something (usually a mountain or hill)
perspective,n. the appearance of things relative to one another as determined by their distance from the viewer
phenomenon,"n. any state or process known through the senses rather than by intuition or reasoning
n. a remarkable development"
plastic,"n. generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
s. capable of being influenced or formed"
presence,"n. the state of being present; current existence
n. the immediate proximity of someone or something
n. an invisible spiritual being felt to be nearby
n. the impression that something is present"
productivity,n. (economics) the ratio of the quantity and quality of units produced to the labor per unit of time
profitable,a. yielding material gain or profit
properly,r. in the right manner
rarely,r. not often
reaction,"n. an idea evoked by some experience
n. a bodily process occurring due to the effect of some antecedent stimulus or agent
n. (mechanics) the equal and opposite force that is produced when any force is applied to a body
n. a response that reveals a person's feelings or attitude"
refuse,"v. show unwillingness towards
v. refuse to accept"
request,"n. a formal message requesting something that is submitted to an authority
n. the verbal act of requesting
v. express the need or desire for; ask for
v. ask (a person) to do something"
satisfaction,"n. the contentment one feels when one has fulfilled a desire, need, or expectation
n. (law) the payment of a debt or fulfillment of an obligation
n. act of fulfilling a desire or need or appetite"
satisfy,"v. meet the requirements or expectations of
v. make happy or satisfied"
severe,"s. intensely or extremely bad or unpleasant in degree or quality
s. unsparing and uncompromising in discipline or judgment
s. very bad in degree or extent"
socialize,"v. take part in social activities; interact with others
v. train for a social environment
v. prepare for social life
v. make conform to socialist ideas and philosophies"
sustain,"v. supply with necessities and support
v. admit as valid"
technical,"n. a pickup truck with a gun mounted on it
a. of or relating to technique or proficiency in a practical skill
a. characterizing or showing skill in or specialized knowledge of applied arts and sciences
a. of or relating to a practical subject that is organized according to scientific principles"
translate,"v. restate (words) from one language into another language
v. change from one form or medium into another
v. bring to a certain spiritual state
v. change the position of (figures or bodies) in space without rotation"
trick,"n. a cunning or deceitful action or device
n. a period of work or duty
n. an attempt to get you to do something foolish or imprudent
n. (card games) in a single round, the sequence of cards played by all the players; the high card is the winner"
vast,s unusually great in size or amount or degree or especially extent or scope
voice,"n. the distinctive quality or pitch or condition of a person's speech
n. the sound made by the vibration of vocal folds modified by the resonance of the vocal tract
n. a sound suggestive of a vocal utterance
n. a means or agency by which something is expressed or communicated"
analysis,"n. an investigation of the component parts of a whole and their relations in making up the whole
n. the abstract separation of a whole into its constituent parts in order to study the parts and their relations
n. a form of literary criticism in which the structure of a piece of writing is analyzed
n. the use of closed-class words instead of inflections: e.g., `the father of the bride' instead of `the bride's father'"
collar,"n. a band that fits around the neck and is usually folded over
n. (zoology) an encircling band or marking around the neck of any animal
n. anything worn or placed about the neck
n. a short ring fastened over a rod or shaft to limit, guide, or secure a machine part"
friendship,n. the state of being friends (or friendly)
happiness,"n. state of well-being characterized by emotions ranging from contentment to intense joy
n. emotions experienced when in a state of well-being"
indeed,"r. in truth (often tends to intensify)
r. (used as an interjection) an expression of surprise or skepticism or irony etc."
largely,"r. in large part; mainly or chiefly
r. on a large scale"
legal,"a. established by or founded upon law or official or accepted rules
a. of or relating to jurisprudence
s. having legal efficacy or force
a. relating to or characteristic of the profession of law"
lifetime,n the period during which something is functional (as between birth and death)
narrative,"n. a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
s. consisting of or characterized by the telling of a story"
obvious,a. easily perceived by the senses or grasped by the mind
opinion,"n. a personal belief or judgment that is not founded on proof or certainty
n. a message expressing a belief about something; the expression of a belief that is held with confidence but not substantiated by positive knowledge or proof
n. the legal document stating the reasons for a judicial decision
n. the reason for a court's judgment (as opposed to the decision itself)"
repeatedly,r. several time
strict,"s rigidly accurate; allowing no deviation from a standard
s (of rules) stringently enforced
a characterized by strictness, severity, or restraint
s incapable of compromise or flexibility
s severe and unremitting in making demands"
suit,"n. a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color
n. (slang) a businessman dressed in a business suit
n. a petition or appeal made to a person of superior status or rank
n. playing card in any of four sets of 13 cards in a pack; each set has its own symbol and color"
tablet,"n. a slab of stone or wood suitable for bearing an inscription
n. a small flat compressed cake of some substance"
technique,n. a practical method or art applied to some particular task
union,"n. an organization of employees formed to bargain with the employer
n. the United States (especially the northern states during the American Civil War)
n. the state of being joined or united or linked
n. healing process involving the growing together of the edges of a wound or the growing together of broken bones"
universal,"n. (linguistics) a grammatical rule (or other linguistic feature) that is found in all languages
n. (logic) a proposition that asserts something of all members of a class
n. a behavioral convention or pattern characteristic of all members of a particular culture or of all human beings
s. applicable to or common to all members of a group or set"
unlikely,a. has little chance of being the case or coming about
vacation,"n. leisure time away from work devoted to rest or pleasure
n. the act of making something legally void
v. spend or take a vacation"
wheat,"n. annual or biennial grass having erect flower spikes and light brown grains
n. grains of common wheat; sometimes cooked whole or cracked as cereal; usually ground into flour"
wisdom,"n. accumulated knowledge or erudition or enlightenment
n. the trait of utilizing knowledge and experience with common sense and insight
n. ability to apply knowledge or experience or understanding or common sense and insight
n. the quality of being prudent and sensible"
start-up,"n. One who comes suddenly into notice; an upstart.
n. A kind of high rustic shoe.
a. Upstart."
abandon,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims"
abuse,"n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively"
acknowledge,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority"
additional,s further or added
advertise,"v. call attention to
v. make publicity for; try to sell (a product)"
agreement,"n. the statement (oral or written) of an exchange of promises
n. compatibility of observations
n. harmony of people's opinions or actions or characters
n. the thing arranged or agreed to"
alert,"n. condition of heightened watchfulness or preparation for action
n. a warning serves to make you more alert to danger
a. engaged in or accustomed to close observation
s. quick and energetic"
amaze,v. affect with wonder
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
aside,"n. a line spoken by an actor to the audience but not intended for others on the stage
r. on or to one side
r. out of the way (especially away from one's thoughts)
r. placed or kept separate and distinct as for a purpose"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
attractive,"a. pleasing to the eye or mind especially through beauty or charm
s. having power to arouse interest
a. having the properties of a magnet; the ability to draw or pull;"
attribute,n. an abstraction belonging to or characteristic of an entity
capital,"n. assets available for use in the production of further assets
n. wealth in the form of money or property owned by a person or business and human resources of economic value
n. a seat of government
n. one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis; capitals were kept in the upper half of the type case and so became known as upper-case letters"""
complaint,"n. (formerly) a loud cry (or repeated cries) of pain or rage or sorrow
n. an expression of grievance or resentment
n. (civil law) the first pleading of the plaintiff setting out the facts on which the claim for relief is based"
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
component,"n. an abstract part of something
n. an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system"
concentrate,"n. a concentrated form of a foodstuff; the bulk is reduced by removing water
n. a concentrated example of something
v. make denser, stronger, or purer
v. direct one's attention on something"
conclude,"v. bring to a close
v. reach a conclusion after a discussion or deliberation
v. come to a close
v. reach agreement on"
confuse,"v. mistake one thing for another
v. be confusing or perplexing to; cause to be unable to think clearly
v. cause to feel embarrassment
v. make unclear, indistinct, or blurred"
conservation,"n. an occurrence of improvement by virtue of preventing loss or injury or other change
n. the preservation and careful management of the environment and of natural resources
n. (physics) the maintenance of a certain quantities unchanged during chemical reactions or physical transformations"
contemporary,"n. a person of nearly the same age as another
s. characteristic of the present
s. belonging to the present time"
contribution,"n. the part played by a person in bringing about a result
n. a voluntary gift (as of money or service or ideas) made to some worthwhile cause
n. act of giving in common with others for a common purpose especially to a charity
n. an amount of money contributed"
convenient,a. suited to your comfort or purpose or needs
corps,"n. an army unit usually consisting of two or more divisions and their support
n. a body of people associated together"
count,"n. the total number counted
n. the act of counting; reciting numbers in ascending order
n. a nobleman (in various countries) having rank equal to a British earl
v. determine the number or amount of"
court,"n. an assembly (including one or more judges) to conduct judicial business
n. a room in which a lawcourt sits
n. the sovereign and his advisers who are the governing power of a state
n. a specially marked horizontal area within which a game is played"
creation,"n. the human act of creating
n. an artifact that has been brought into existence by someone
n. the event that occurred at the beginning of something
n. (theology) God's act of bringing the universe into existence"
criticize,v. act as a critic
cure,"v. prepare by drying, salting, or chemical processing in order to preserve
v. make (substances) hard and improve their usability
v. be or become preserved"
deliver,"v. deliver (a speech, oration, or idea)
v. bring to a destination, make a delivery
v. utter (an exclamation, noise, etc.)
v. save from sins"
demonstrate,v. march in protest; take part in a demonstration
derive,"v. obtain
v. come from
v. develop or evolve from a latent or potential state
v. come from; be connected by a relationship of blood, for example"
distraction,"n. mental turmoil
n. an obstacle to attention
n. the act of distracting; drawing someone's attention away from something"
division,"n. an army unit large enough to sustain combat
n. the act or process of dividing
n. an administrative unit in government or business
n. discord that splits a group"
dramatic,"a. suitable to or characteristic of drama
s. sensational in appearance or thrilling in effect
a. pertaining to or characteristic of drama
a. used of a singer or singing voice that is marked by power and expressiveness and a histrionic or theatrical style"
efficient,a. being effective without wasting time or effort or expense
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
emergency,"n. a sudden unforeseen crisis (usually involving danger) that requires immediate action
n. a state in which martial law applies"
emission,"n. the act of emitting; causing to flow forth
n. the release of electrons from parent atoms
n. the occurrence of a flow of water (as from a pipe)"
entitle,"v. give the right to
v. give a title to"
era,"n. a period marked by distinctive character or reckoned from a fixed point or event
n. a major division of geological time; an era is usually divided into two or more periods"
exception,"n. a deliberate act of omission
n. an instance that does not conform to a rule or generalization; the only exception was her last child""
n. grounds for adverse criticism"
excess,"n. a quantity much larger than is needed
n. immoderation as a consequence of going beyond sufficient or permitted limits
s. more than is needed, desired, or required"
execute,"v. kill as a means of socially sanctioned punishment
v. murder in a planned fashion
v. carry out the legalities of
v. sign in the presence of witnesses"
extraordinary,"a. beyond what is ordinary or usual; highly unusual or exceptional or remarkable
s. far more than usual or expected
s. (of an official) serving an unusual or special function in addition to those of the regular officials"
ideal,"n. the idea of something that is perfect; something that one hopes to attain
n. model of excellence or perfection of a kind; one having no equal
s. conforming to an ultimate standard of perfection or excellence; embodying an ideal
s. constituting or existing only in the form of an idea or mental image or conception"
insist,"v. be emphatic or resolute and refuse to budge
v. assert to be true"
inspire,"v. heighten or intensify
v. supply the inspiration for"
instruction,n. (computer science) a line of code written as part of a computer program
intend,"v. have in mind as a purpose
v. design or destine"
interfere,v. come between so as to be hindrance or obstacle
mood,n. verb inflections that express how the action or state is conceived by the speaker
otherwise,"s. other than as supposed or expected
r. in other respects or ways"
permanent,"a. continuing or enduring without marked change in status or condition or place
s. not capable of being reversed or returned to the original condition"
pose,"n. a posture assumed by models for photographic or artistic purposes
v. pretend to be someone you are not; sometimes with fraudulent intentions
v. behave affectedly or unnaturally in order to impress others"
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
propose,"v. make a proposal, declare a plan for something
v. ask (someone) to marry you"
rational,"a. consistent with or based on or using reason
a. capable of being expressed as a quotient of integers
s. having its source in or being guided by the intellect (as distinguished from experience or emotion)"
recovery,"n. return to an original state
n. the act of regaining or saving something lost (or in danger of becoming lost)"
regardless,r. in spite of everything; without regard to drawbacks
renew,"v reestablish on a new, usually improved, basis or make new or like new
v cause to appear in a new form"
represent,"v. take the place of or be parallel or equivalent to
v. be representative or typical for
v. be a delegate or spokesperson for; represent somebody's interest or be a proxy or substitute for, as of politicians and office holders representing their constituents, or of a tenant representing other tenants in a housing dispute
v. serve as a means of expressing something"
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
retain,"v. hold back within
v. allow to remain in a place or position or maintain a property or feature
v. secure and keep for possible future use or application
v. keep in one's mind"
reveal,v. disclose directly or through prophets
rid,v. relieve from
solid,"n. matter that is solid at room temperature and pressure
n. the state in which a substance has no tendency to flow under moderate stress; resists forces (such as compression) that tend to deform it; and retains a definite size and shape
n. a three-dimensional shape
s. characterized by good substantial quality"
sophisticated,"a. having or appealing to those having worldly knowledge and refinement and savoir-faire
s. intellectually appealing"
spare,"n. a score in tenpins; knocking down all ten after rolling two balls
v. refrain from harming
v. save or relieve from an experience or action
v. give up what is not strictly needed"
specify,"v. decide upon or fix definitely
v. determine the essential quality of
v. be specific about"
square,"n. (geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon
n. the product of two equal terms
n. something approximating the shape of a square
n. someone who doesn't understand what is going on"
utility,"n. a company that performs a public service; subject to government regulation
n. the quality of being of practical use
n. the service (electric power or water or transportation) provided by a public utility
n. (economics) a measure that is to be maximized in any situation involving choice"
via,"n. A road way.
prep. By the way of; as, to send a letter via Queenstown to
   London."
ceremony,"n. a formal event performed on a special occasion
n. any activity that is performed in an especially solemn elaborate or formal way
n. the proper or conventional behavior on some solemn occasion"
competitor,n the contestant you hope to defeat
cycle,"n. an interval during which a recurring sequence of events occurs
n. a series of poems or songs on the same theme
n. a periodically repeated sequence of events
n. a single complete execution of a periodically repeated phenomenon"
final,"n. the final match between the winners of all previous matches in an elimination tournament
s. conclusive in a process or progression
s. not to be altered or undone"
frank,"n. a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century
n. a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll
v. exempt by means of an official pass or letter, as from customs or other checks
s. clearly manifest; evident"
lawyer,n. a professional person authorized to practice law; conducts lawsuits or gives legal advice
mail,"n. the bags of letters and packages that are transported by the postal service
n. the system whereby messages are transmitted via the post office
n. a conveyance that transports the letters and packages that are conveyed by the postal system
n. any particular collection of letters or packages that is delivered"
midday,n the middle of the day
mill,"n. Scottish philosopher who expounded Bentham's utilitarianism; father of John Stuart Mill (1773-1836)
n. English philosopher and economist remembered for his interpretations of empiricism and utilitarianism (1806-1873)
n. machinery that processes materials by grinding or crushing
v. move about in a confused manner"
moreover,"r in addition; furthermore, their quality is improving""; moreover, mice nested there"""
parental,"a. designating the generation of organisms from which hybrid offspring are produced
a. relating to or characteristic of or befitting a parent"
philosopher,"n. a specialist in philosophy
n. a wise person who is calm and rational; someone who lives a life of reason with equanimity"
poll,"n. an inquiry into public opinion conducted by interviewing a random sample of people
n. the part of the head between the ears
n. a tame parrot
n. the counting of votes (as in an election)"
psychology,n. the science of mental life
rapid,"n. a part of a river where the current is very fast
s. done or occurring in a brief period of time
s. characterized by speed; moving with or capable of moving with high speed"
register,"n. an official written record of names or events or transactions
n. (music) the timbre that is characteristic of a certain range and manner of production of the human voice or of different pipe organ stops or of different musical instruments
n. a book in which names and transactions are listed
n. (computer science) memory device that is the part of computer memory that has a specific address and that is used to hold information of a specific kind"
route,"v. send documents or materials to appropriate destinations
v. send via a specific route
v. divert in a specified direction"
royal,"n. a sail set next above the topgallant on a royal mast
n. stag with antlers of 12 or more branches
a. of or relating to or indicative of or issued or performed by a king or queen or other monarch
a. established or chartered or authorized by royalty"
scholar,"n. a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines
n. a student who holds a scholarship"
sight,"n. an instance of visual perception
n. anything that is seen
n. the ability to see; the visual faculty
n. a range of mental vision"
surrounding,"v extend on all sides of simultaneously; encircle
v envelop completely
v surround so as to force to give up
v surround with a wall in order to fortify
s closely encircling"
undergraduate,n. a university student who has not yet received a first degree
unnecessary,a. not necessary
urban,"a. relating to or concerned with a city or densely populated area
a. located in or characteristic of a city or city life"
vitamin,n. any of a group of organic substances essential in small quantities to normal metabolism
vocabulary,"n. a listing of the words used in some enterprise
n. a language user's knowledge of words
n. the system of techniques or symbols serving as a means of expression (as in arts or crafts)"
abruptly,r. quickly and without warning
absorb,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically"
adjust,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim"
ambitious,"a. having a strong desire for success or achievement
s. requiring full use of your abilities or resources"
arrange,"v. put into a proper or systematic order
v. make arrangements for
v. adapt for performance in a different way
v. arrange thoughts, ideas, temporal events"
awareness,"n. having knowledge of
n. state of elementary or undifferentiated consciousness"
bias,"n. a partiality that prevents objective consideration of an issue or situation
v. influence in an unfair way
v. cause to be biased
s. slanting diagonally across the grain of a fabric"
barrier,"n. a structure or object that impedes free movement
n. any condition that makes it difficult to make progress or to achieve an objective
n. anything serving to maintain separation by obstructing vision or access"
capture,"n. the act of forcibly dispossessing an owner of property
n. a process whereby a star or planet holds an object in its gravitational field
n. any process in which an atomic or nuclear system acquires an additional particle
n. the act of taking of a person by force"
charter,"n. a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation
n. a contract to hire or lease transportation
v. grant a charter to"
coach,"n. (sports) someone in charge of training an athlete or a team
n. a person who gives private instruction (as in singing, acting, etc.)
n. a carriage pulled by four horses with one driver
v. teach and supervise (someone); act as a trainer or coach (to), as in sports"
cognitive,a. of or being or relating to or involving cognition
collection,"n. several things grouped together or considered as a whole
n. a publication containing a variety of works
n. the act of gathering something together"
column,"n. a line of units following one after another
n. a vertical glass tube used in column chromatography; a mixture is poured in the top and washed through a stationary substance where components of the mixture are adsorbed selectively to form colored bands
n. a vertical array of numbers or other information
n. anything that approximates the shape of a column or tower"
commission,"n. a fee for services rendered based on a percentage of an amount received or collected or agreed to be paid (as distinguished from a salary)
n. the act of granting authority to undertake certain functions
n. the state of being in good working order and ready for operation
n. a formal statement of a command or injunction to do something"
commitment,"n. the act of binding yourself (intellectually or emotionally) to a course of action
n. an engagement by contract involving financial obligation
n. a message that makes a pledge
n. the official act of consigning a person to confinement (as in a prison or mental hospital)"
committee,"n. a special group delegated to consider some matter
n. a self-constituted organization to promote something"
confident,"a. having or marked by confidence or assurance
s. not liable to error in judgment or action"
constant,"n. a quantity that does not vary
n. a number representing a quantity assumed to have a fixed value in a specified mathematical context
a. steadfast in purpose or devotion or affection"
contract,"n. a binding agreement between two or more persons that is enforceable by law
n. (contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make
n. a variety of bridge in which the bidder receives points toward game only for the number of tricks he bid
v. enter into a contractual arrangement"
convince,"v make (someone) agree, understand, or realize the truth or validity of something"
corner,"n. a place off to the side of an area
n. the point where two lines meet or intersect
n. an interior angle formed by two meeting walls
n. the intersection of two streets"
crucial,"a. of extreme importance; vital to the resolution of a crisis
s. having crucial relevance"
custom,"n. accepted or habitual practice
n. a specific practice of long standing
n. habitual patronage"
delight,"n. a feeling of extreme pleasure or satisfaction
v. take delight in"
deserve,v. be worthy or deserving
diploma,n. a document certifying the successful completion of a course of study
discrimination,"n. unfair treatment of a person or group on the basis of prejudice
n. the cognitive process whereby two or more stimuli are distinguished"
distract,v. draw someone's attention away from something
earnings,"n the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)
n something that remunerates
v earn on some commercial or business transaction; earn as salary or wages
v acquire or deserve by one's efforts or actions"
elementary,"s. easy and not involved or complicated
a. of or pertaining to or characteristic of elementary school or elementary education
s. of or being the essential or basic part"
evil,"n. morally objectionable behavior
n. that which causes harm or destruction or misfortune; the good is oft interred with their bones""- Shakespeare
n. the quality of being morally wrong in principle or practice
a. morally bad or wrong"
evolution,n. (biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms
excessive,"s. beyond normal limits
s. unrestrained, especially with regard to feelings"
explanation,"n. a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.
n. thought that makes something comprehensible
n. the act of explaining; making something plain or intelligible"
faculty,n. one of the inherent cognitive or perceptual powers of the mind
folk,n. people in general (often used in the plural)
frequent,"v. be a regular or frequent visitor to a certain place
a. coming at short intervals or habitually
s. frequently encountered;"
genuine,"a. not fake or counterfeit
s. not pretended; sincerely felt or expressed"
grab,"n. a mechanical device for gripping an object
v. make a grasping or snatching motion with the hand
v. obtain illegally or unscrupulously
v. take or grasp suddenly"
grid,"n. a pattern of regularly spaced horizontal and vertical lines
n. a perforated or corrugated metal plate used in a storage battery as a conductor and support for the active material
n. an electrode placed between the cathode and anode of a vacuum tube to control the flow of electrons through the tube
n. a cooking utensil of parallel metal bars; used to grill fish or meat"
identity,"n. the distinct personality of an individual regarded as a persisting entity
n. the individual characteristics by which a thing or person is recognized or known
n. an operator that leaves unchanged the element on which it operates
n. exact sameness"
initial,"n. the first letter of a word (especially a person's name)
v. mark with one's initials
s. occurring at the beginning"
innovative,s. being or producing something like nothing done or experienced or created before
insight,"n. a feeling of understanding
n. the clear (and often sudden) understanding of a complex situation
n. grasping the inner nature of things intuitively"
intense,"a. possessing or displaying a distinctive feature to a heightened degree
s. (of color) having the highest saturation"
interference,n. (American football) blocking a player's path with your body
intervention,"n. the act of intervening (as to mediate a dispute, etc.)
n. a policy of intervening in the affairs of other countries
n. (law) a proceeding that permits a person to enter into a lawsuit already in progress; admission of person not an original party to the suit so that person can protect some right or interest that is allegedly affected by the proceedings"
involvement,n. a connection of inclusion or containment
length,"n. the linear extent in space from one end to the other; the longest dimension of something that is fixed in place
n. the property of being the extent of something from beginning to end
n. a section of something that is long and narrow"
longevity,"n. duration of service
n. the property of being long-lived"
motivation,"n. the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
n. the condition of being motivated
n. the act of motivating; providing incentive"
occasion,"n. reason
n. the time of a particular event
n. an opportunity to do something
v. give occasion to"
pack,"n. a complete collection of similar things
n. a convenient package or parcel (as of cigarettes or film)
n. a group of hunting animals
n. a cream that cleanses and tones the skin"
persuade,"v. cause somebody to adopt a certain position, belief, or course of action; twist somebody's arm"
plunge,"n. a steep and rapid fall
v. dash violently or with great speed or impetuosity
v. begin with vigor
v. cause to be immersed"
praise,"n. an expression of approval and commendation
n. offering words of homage as an act of worship
v. express approval of"
previously,r. at an earlier time or formerly
primarily,r. of primary import
procedure,"n. a particular course of action intended to achieve a result
n. a mode of conducting legal and parliamentary proceedings"
prompt,"n. a cue given to a performer (usually the beginning of the next line to be spoken)
n. (computer science) a symbol that appears on the computer screen to indicate that the computer is ready to receive a command
v. serve as the inciting cause of
v. assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned"
quantity,"n. an adequate or large amount
n. the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable"
relieve,"v. provide physical relief, as from pain
v. free from a burden, evil, or distress
v. take by stealing
v. alleviate or remove (pressure or stress) or make less oppressive"
remarkable,s. unusual or striking
remote,"n a device that can be used to control a machine or apparatus from a distance
s located far away spatially
s very unlikely
s separate or apart in time
s inaccessible and sparsely populated; 
a far apart in relevance or relationship or kinship"
reverse,"n. a relation of direct opposition
n. the gears by which the motion of a machine can be reversed
n. an unfortunate happening that hinders or impedes; something that is thwarting or frustrating
n. the side of a coin or medal that does not bear the principal design"
secure,"v. assure payment of
a. free from fear or doubt; easy in mind
a. free from danger or risk
a. not likely to fail or give way"
sharp,"n. a musical notation indicating one half step higher than the note named
n. a long thin sewing needle with a sharp point
s. harsh
a. keenly and painfully felt; as if caused by a sharp edge or point"
sink,"n. plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
n. (technology) a process that acts to absorb or remove energy or a substance from a system
v. fall or descend to a lower place or level
v. cause to sink"
straight,"n. a poker hand with 5 consecutive cards (regardless of suit)
s. successive (without a break)
a. having no deviations
a. (of hair) having no waves or curls"
submit,"v. refer for judgment or consideration
v. put before
v. yield to the control of another
v. yield to another's wish or opinion"
suburban,a. relating to or characteristic of or situated in suburbs
surface,"n. the outer boundary of an artifact or a material layer constituting or resembling such a boundary
n. the extended two-dimensional outer boundary of a three-dimensional object
n. the outermost level of the land or sea
n. a superficial aspect as opposed to the real nature of something"
temptation,"n. something that seduces or has the quality to seduce
n. the desire to have or do something that you know you should avoid"
tension,"n. (psychology) a state of mental or emotional strain or suspense
n. the physical condition of being stretched or strained
n. a balance between and interplay of opposing elements or tendencies (especially in art or literature)
n. (physics) a stress that produces an elongation of an elastic physical body"
terrify,v. fill with terror; frighten greatly
transaction,n. the act of transacting within or between groups (as carrying on commercial activities)
transition,"n. a change from one place or state or subject or stage to another
n. a musical passage moving from one key to another
n. a passage that connects a topic to one that follows
v. cause to convert or undergo a transition"
voluntary,"n. composition (often improvised) for a solo instrument (especially solo organ) and not a regular part of a religious service or musical performance
a. of your own free will or design; done by choice; not forced or compelled
a. controlled by individual volition"
wave,"n. one of a series of ridges that moves across the surface of a liquid (especially across a large body of water)
n. a movement like that of a sudden occurrence or increase in a specified phenomenon
n. (physics) a movement up and down or back and forth
n. something that rises rapidly"
widespread,s. widely circulated or diffused
agriculture,n. the class of people engaged in growing food
anywhere,r. at or in or to any place; (`anyplace' is used informally for `anywhere')
biology,"n. the science that studies living organisms
n. characteristic life processes and phenomena of living organisms"
bureau,"n an administrative unit of government
n furniture with drawers for keeping clothes"
calcium,n. a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals
chocolate,"n. a food made from roasted ground cacao beans
n. a medium brown to dark-brown color"
client,n. a person who seeks the advice of a lawyer
diabetes,n. a polygenic disease characterized by abnormally high glucose levels in the blood; any of several metabolic disorders marked by excessive urination and persistent thirst
diamond,"n. a transparent piece of diamond that has been cut and polished and is valued as a precious gem
n. very hard native crystalline carbon valued as a gem
n. a playing card in the minor suit that has one or more red rhombuses on it"
download,v. transfer a file or program from a central computer to a smaller computer or to a computer at a remote location
dry,"n. a reformer who opposes the use of intoxicating beverages
v. remove the moisture from and make dry
v. become dry or drier
a. free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet"
