preacher,n. someone whose occupation is preaching the gospel
supernatural,"n. supernatural forces and events and beings collectively
a. not existing in nature or subject to explanation according to natural laws; not physical or material"
opposition,"n. the relation between opposed entities
n. a contestant that you are matched against
n. a body of people united in opposing something
n. a direction opposite to another"
stationary,"s. standing still
s. not capable of being moved"
circulate,"v. cause to become widely known
v. cause be distributed
v. move through a space, circuit or system, returning to the starting point
v. cause to move in a circuit or system"
heretical,s characterized by departure from accepted beliefs or standards
ban,"n. 100 bani equal 1 leu in Moldova
n. 100 bani equal 1 leu in Romania
n. an official prohibition or edict against something
v. forbid the public distribution of ( a movie or a newspaper)"
largely,"r. in large part; mainly or chiefly
r. on a large scale"
infinite,"a. having no limits or boundaries in time or space or extent or magnitude
a. of verbs; having neither person nor number nor mood (as a participle or gerund or infinitive)
s. total and all-embracing"
imprison,"v. lock up or confine, in or as in a jail
v. confine as if in a prison; he does not let them go out without a chaperone"""
popularize,"v. cater to popular taste to make popular and present to the general public; bring into general or common use
v. make understandable to the general public"
geologist,n. a specialist in geology
violent,"a. acting with or marked by or resulting from great force or energy or emotional intensity
s. effected by force or injury rather than natural causes
s. (of colors or sounds) intensely vivid or loud"
condemn,"v. express strong disapproval of
v. declare or judge unfit for use or habitation
v. compel or force into a particular state or activity
v. demonstrate the guilt of (someone)"
condemnation,"n. (law) the act of condemning (as land forfeited for public use) or judging to be unfit for use (as a food product or an unsafe building)
n. the condition of being strongly disapproved of"
genesis,"n. a coming into being
n. the first book of the Old Testament: tells of Creation; Adam and Eve; the Fall of Man; Cain and Abel; Noah and the flood; God's covenant with Abraham; Abraham and Isaac; Jacob and Esau; Joseph and his brothers"
geology,n. a science that deals with the history of the earth as recorded in rocks
crossway,n a junction where one street or road crosses another
progressive,"n. a tense of verbs used in describing action that is on-going
a. favoring or promoting progress
s. favoring or promoting reform (often by government action)
a. (of taxes) adjusted so that the rate increases as the amount of income increases"
rebel,"n. `Johnny' was applied as a nickname for Confederate soldiers by the Federal soldiers in the American Civil War; `greyback' derived from their grey Confederate uniforms
v. take part in a rebellion; renounce a former allegiance
v. break with established customs"
persecute,v. cause to suffer
suppress,"v. to put down by force or authority
v. put out of one's consciousness
v. reduce the incidence or severity of or stop"
elevation,"n. the event of something being raised upward
n. angular distance above the horizon (especially of a celestial object)
n. distance of something above a reference point (such as sea level)"
elevate,"v give a promotion to or assign to a higher position
v raise from a lower to a higher position
v raise in rank or condition"
credit,"n. money available for a client to borrow
n. an accounting entry acknowledging income or capital items
n. used in the phrase `to your credit' in order to indicate an achievement deserving praise; 
n. arrangement for deferred payment for goods and services"
formulate,v. prepare according to a formula
ingredient,"n. a component of a mixture or compound
n. food that is a component of a mixture in cooking"
experimental,"a. relating to or based on experiment
s. relying on observation or experiment
s. of the nature of or undergoing an experiment"
outcome,"n something that results
n a phenomenon that follows and is caused by some previous phenomenon"
cookbook,n. a book of recipes and cooking directions
breakthrough,"n. making an important discovery
n. a penetration of a barrier such as an enemy's defense"
trial and error,"s. trying out various means or theories until error is satisfactorily reduced or eliminated
s. relating to solving problems by experience rather than theory"
accidental,"n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
s. happening by chance or unexpectedly or unintentionally"
counterevidence,none
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
Greek,"n. the Hellenic branch of the Indo-European family of languages
n. a native or inhabitant of Greece
a. of or relating to or characteristic of Greece or the Greeks or the Greek language"
proportional,"n. one of the quantities in a mathematical proportion
s. properly related in size or degree or other measurable characteristics; usually followed by `to'
s. having a constant ratio"
immense,s unusually great in size or amount or degree or especially extent or scope
verifiable,s. capable of being verified
outweigh,v. be heavier than
follower,"n. a person who accepts the leadership of another
n. someone who travels behind or pursues another"
strive,v. to exert much effort or energy
distinguish,"v. mark as different
v. be a distinctive feature, attribute, or trait; sometimes in a very positive sense"
humanity,n. the quality of being humane
adopt,"v. choose and follow; as of theories, ideas, policies, strategies or plans
v. take up and practice as one's own
v. take into one's family"
creed,n. any system of principles or beliefs
retain,"v. hold back within
v. allow to remain in a place or position or maintain a property or feature
v. secure and keep for possible future use or application
v. keep in one's mind"
questionable,"a. subject to question
s. able to be refuted"
belittle,"v cause to seem less serious; play down
v express a negative opinion of
v lessen the authority, dignity, or reputation of"
ethical,"a. of or relating to the philosophical study of ethics
a. conforming to accepted standards of social or professional behavior
s. adhering to ethical and moral principles"
ethics,n. the philosophical study of moral values and rules
arena,"n. the central area of an ancient Roman amphitheater where contests and spectacles were held; especially an area that was strewn with sand
n. a playing field where sports events take place"
premium,"n. payment for insurance
n. the amount that something in scarce supply is valued above its nominal value
n. a prize, bonus, or award given as an inducement to purchase products, enter competitions initiated by business interests, etc.
s. having or reflecting superior quality or value"
cardinal,"n. (Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes
n. a variable color averaging a vivid red
n. crested thick-billed North American finch having bright red plumage in the male
s. serving as an essential component"
testable,"a. Capable of being tested or proved.
a. Capable of being devised, or given by will."
procedure,"n. a particular course of action intended to achieve a result
n. a mode of conducting legal and parliamentary proceedings"
stepping-stone,"n. A stone to raise the feet above the surface of
   water or mud in walking.
n. Fig.: A means of progress or advancement."
criterion,n. the ideal in terms of which something can be judged
speculation,"n. a hypothesis that has been formed by speculating or conjecturing (usually with little hard evidence)
n. an investment that is very risky but could yield great profits"
speculate,"v. to believe especially on uncertain or tentative grounds
v. talk over conjecturally, or review in an idle or casual way and with an element of doubt or without sufficient reason to reach a conclusion
v. invest at a risk"
long-run,s. relating to or extending over a relatively long time
publicize,v. make public
publicity,n. the quality of being open to public view
wishful,"a having or expressing desire for something
s desiring or striving for recognition or advancement"
wishful thinking,none
point out,none
have to do with,none
bow to,none
place a high value on,none
meet with,none
credit sb. with sth.,none
account for,none
to the contrary,none
distinguish between,none
be hung up on,none
be hung up about,none
put a premium on,none
put a high premium on,none
in principle,none
take sb.'s word,none
take sb.'s word for it,none
subject to,none
precede,"v. come before
v. be the predecessor of
v. move ahead (of others) in time or space
v. furnish with a preface or introduction"
contention,n. a point asserted as part of an argument
blossom,v. develop or come to a promising stage
obesity,n more than average fatness
obese,s excessively fat
pill,"n. something that resembles a tablet of medicine in shape or size
n. a dose of medicine in the form of a small pellet
n. a unpleasant or tiresome person
n. something unpleasant or offensive that must be tolerated or endured"
undergraduate,n. a university student who has not yet received a first degree
WASP,"n. a white person of Anglo-Saxon ancestry who belongs to a Protestant denomination
n. social or solitary hymenopterans typically having a slender body with the abdomen attached by a narrow stalk and having a formidable sting"
pastry,"n. a dough of flour and water and shortening
n. any of various baked foods made of dough or batter"
chef,n. a professional cook
Italian,"n. a native or inhabitant of Italy
n. the Romance language spoken in Italy
a. of or pertaining to or characteristic of Italy or its people or culture or language"
descent,"n. a movement downward
n. the act of changing your location in a downward direction
n. the kinship relation between an individual and the individual's progenitors
n. a downward slope or bend"
squeamish,s excessively fastidious and easily disgusted
blessing,"n. the formal act of approving
n. a desirable state
n. the act of praying for divine protection"
alliance,"n. the state of being allied or confederated
n. a connection based on kinship or marriage or common interest
n. an organization of people (or countries) involved in a pact or treaty
n. a formal agreement establishing an association or alliance between nations or other groups to achieve a particular aim"
thereupon,"adv. Upon that or this; thereon.
adv. On account, or in consequence, of that; therefore.
adv. Immediately; at once; without delay."
fierce,s. marked by extreme intensity of emotions or convictions; inclined to react violently; fervid
invitation,"n. a request (spoken or written) to participate or be present or take part in something
n. a tempting allurement"
reconciliation,"n. the reestablishing of cordial relations
n. getting two things to correspond"
reconcile,v. come to terms
r.s.v.p.,none
R.S.V.P.,none
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
versus,"prep. Against; as, John Doe versus Richard Roe; -- chiefly
   used in legal language, and abbreviated to v. or vs."
precedent,"n. an example that is used to justify similar occurrences at a later time
n. a subject mentioned earlier (preceding in time)
s. preceding in time, order, or significance"
bug,"n. general term for any insect or similar creeping or crawling invertebrate
n. a fault or defect in a computer program, system, or machine
n. a small hidden microphone; for listening secretly"
bullshit,n. obscene words for unacceptable behavior
yell,v. utter or declare in a very loud voice
virtual,"s. being actually such in almost every respect
s. existing in essence or effect though not in actual fact"
harangue,"n. a loud bombastic declamation expressed with strong emotion
v. deliver a harangue to; address forcefully"
goddamn,"s used as expletives
s expletives used informally as intensifiers
r extremely"
squeeze,"n. the act of gripping and pressing firmly
n. a situation in which increased costs cannot be passed on to the customer
n. (slang) a person's girlfriend or boyfriend
n. a twisting squeeze"
bozo,"n a man who is a stupid incompetent fool
n an informal term for a youth or man"
supreme,"s. final or last in your life or progress
s. highest in excellence or achievement
s. greatest or maximal in degree; extreme"
damn,"n. something of little value
s. used as expletives"
jokingly,r. in jest
deliberately,"r with intention; in an intentional manner
r in a deliberate unhurried manner"
deliberate,s. carefully thought out in advance
essence,n. any substance possessing to a high degree the predominant properties of a plant or drug or other natural product from which it is extracted
nerve,n. any bundle of nerve fibers running to various organs and tissues of the body
immerse,"v. thrust or throw into
v. enclose or envelop completely, as if by swallowing"
mouthpiece,"n. a part that goes over or into the mouth of a person
n. an acoustic device; the part of a telephone into which a person speaks
n. a spokesperson (as a lawyer)
n. (especially boxing) equipment that protects an athlete's mouth"
bleed,"v. draw blood
v. get or extort (money or other possessions) from someone
v. drain of liquid or steam"
audible,"n. a football play is changed orally after both teams have assumed their positions at the line of scrimmage
a. heard or perceptible by the ear"
adamant,"s. impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
refusal,"n. the act of refusing
n. a message refusing to accept something that is offered"
heartless,s. devoid of courage or enthusiasm
bastard,"n. the illegitimate offspring of unmarried parents
n. derogatory term for a variation that is not genuine; something irregular or inferior or of dubious origin"
await,v look forward to the probable occurrence of
allege,v. report or maintain
rational,"a. consistent with or based on or using reason
a. capable of being expressed as a quotient of integers
s. having its source in or being guided by the intellect (as distinguished from experience or emotion)"
split,"n. extending the legs at right angles to the trunk (one in front and the other in back)
n. a bottle containing half the usual amount
n. a promised or claimed share of loot or money
n. a lengthwise crack in wood"
split second,none
rip,"n. an opening made forcibly as by pulling apart
n. a stretch of turbulent water in a river or the sea caused by one current flowing into or across another current
v. move precipitously or violently
v. cut (wood) along the grain"
socket,"n. a bony hollow into which a structure fits
n. receptacle where something (a pipe or probe or end of a bone) is inserted
n. a receptacle into which an electric device can be inserted"
pant,"n. the noise made by a short puff of steam (as from an engine)
v. breathe noisily, as when one is exhausted
v. utter while panting, as if out of breath"
footstep,"n. the act of taking a step in walking
n. the distance covered by a step"
dash,"n. distinctive and stylish elegance
n. a quick run
n. a footrace run at top speed
n. the longer of the two telegraphic signals used in Morse code"
scarf,"n. a garment worn around the head or neck or shoulders for warmth or decoration
v. masturbate while strangling oneself
v. unite by a scarf joint
v. wrap in or adorn with a scarf"
prowl,"n. the act of prowling (walking about in a stealthy manner)
v. move about in or as if in a predatory manner
v. loiter about, with no apparent aim"
grind,"n. the grade of particle fineness to which a substance is ground
n. the act of grinding to a powder or dust
v. dance by rotating the pelvis in an erotically suggestive way, often while in contact with one's partner such that the dancers' legs are interlaced
v. reduce to small pieces or particles by pounding or abrading"
commons,n. a pasture subject to common use
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
cafeteria,n. a restaurant where you serve yourself and pay a cashier
sprint,"v. run very fast, usually for a short distance"
ironic,s. characterized by often poignant difference or incongruity between what is expected and what actually is
irony,"n. incongruity between what might be expected and what actually occurs
n. a trope that involves incongruity between what is expected and what occurs"
corridor,n. an enclosed passageway; rooms usually open onto it
filter,"n. device that removes something from whatever passes through it
n. an electrical device that alters the frequency spectrum of signals passing through it
v. remove by passing through a filter"
blend,"n. an occurrence of thorough mixing
n. a new word formed by joining two others and combining their meanings
n. the act of blending components together thoroughly
v. combine into one"
infernal,"n. an inhabitant of Hell
a. characteristic of or resembling Hell
a. of or pertaining to or characteristic of a very uncontrolled and intense fire"
instinct,"n. inborn pattern of behavior often responsive to specific stimuli
s. (followed by `with')deeply filled or permeated"
mutter,n. a low continuous indistinct sound; often accompanied by movement of the lips without the production of articulate speech
shit,n. a coarse term for defecation
hippie,n. someone who rejects the established culture; advocates extreme liberalism in politics and lifestyle
invasion,"n. the act of invading; the act of an army that invades for conquest or plunder
n. any entry into an area not previously occupied
n. (pathology) the spread of pathogenic microorganisms or malignant cells to new sites in the body"
fix,"n. informal terms for a difficult situation
n. something craved, especially an intravenous injection of a narcotic drug
n. an exemption granted after influence (e.g., money) is brought to bear
v. set or place definitely"
absently,r. in an absentminded or preoccupied manner
numb,"v. make numb or insensitive
s. so frightened as to be unable to move; stunned or paralyzed with terror; petrified"
fright,"n an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
v cause fear in"
inwardly,r. with respect to private feelings
inward,"a. relating to or existing in the mind or thoughts
r. toward the center or interior"
blunt,"v. make less intense
v. make less sharp
s. having a broad or rounded end
s. used of a knife or other blade; not sharp"
apology,"n. an expression of regret at having caused trouble for someone
n. a formal written defense of something you believe in strongly
n. a poor example"
undress,"n. partial or complete nakedness
v. get undressed"
reassuringly,r. in a reassuring manner
be made for each other,none
on one's own,none
in celebration of,none
work over,none
reach out,none
reach out to,none
in the shadow of,none
kind of,none
in simple terms,none
be certain of,none
lose one's nerve,none
be immersed in,none
come to the point,none
get to the point,none
go out of one's mind,none
scared to death,none
in need of,none
be in need of,none
cut off,"n. That which cuts off or shortens, as a nearer passage or
   road.
n. The valve gearing or mechanism by which steam is cut off
   from entering the cylinder of a steam engine after a definite point in
   a stroke, so as to allow the remainder of the stroke to be made by the
   expansive force of the steam already let in. See Expansion gear, under
   Expansion.
n. Any device for stopping or changing a current, as of grain
   or water in a spout."
subway,"n an electric railway operating below the surface of the ground (usually in a city)
n an underground tunnel or passage enabling pedestrians to cross a road or railway"
gallop,"n. a fast gait of a horse; a two-beat stride during which all four legs are off the ground simultaneously
v. ride at a galloping pace
v. go at galloping speed
v. cause to move at full gallop"
monotony,"n. the quality of wearisome constancy, routine, and lack of variety
n. constancy of tone or pitch or inflection"
monotonous,"s tediously repetitious or lacking in variety; all work and no play""
s sounded or spoken in a tone unvarying in pitch"
shove,"n. the act of shoving (giving a push to someone or something)
v. push roughly"
powder,"n. a solid substance in the form of tiny loose particles; a solid that has been pulverized
n. any of various cosmetic or medical preparations dispensed in the form of a pulverized powder
v. apply powder to"
rouge,"n. makeup consisting of a pink or red powder applied to the cheeks
v. redden by applying rouge to"
lipstick,"n. makeup that is used to color the lips
v. form by tracing with lipstick
v. apply lipstick to"
furnish,v. provide or equip with furniture
discharge,"n. the sudden giving off of energy
n. the act of venting
n. a substance that is emitted or released
n. any of several bodily processes by which substances go out of the body"
sway,n. controlling influence
clasp,"n. a fastener (as a buckle or hook) that is used to hold two things together
n. the act of grasping
v. hold firmly and tightly
v. grasp firmly"
fragrance,"n a distinctive odor that is pleasant
n a pleasingly sweet olfactory property"
brace,"n. a support that steadies or strengthens something else
n. either of two punctuation marks ({ or }) used to enclose textual material
n. a rope on a square-rigged ship that is used to swing a yard about and secure it
n. elastic straps that hold trousers up (usually used in the plural)"
confine,"v. prevent from leaving or from being removed
v. deprive of freedom; take into confinement"
obstacle,"n. something immaterial that stands in the way and must be circumvented or surmounted
n. an obstruction that stands in the way (and must be removed or surmounted or circumvented)"
able-bodied,s having a strong healthy body
roam,"v move about aimlessly or without any destination, often in search of food or employment"
cosmos,n. any of various mostly Mexican herbs of the genus Cosmos having radiate heads of variously colored flowers and pinnate leaves; popular fall-blooming annuals
cosmic,"a. of or from or pertaining to or characteristic of the cosmos or universe
s. inconceivably extended in space or time"
chilly,"s. not characterized by emotion
s. appreciably or disagreeably cold
s. lacking warmth of feeling"
chill,"n. coldness due to a cold environment
n. a sensation of cold that often marks the start of an infection and the development of a fever
n. a sudden numbing dread
v. depress or discourage"
faculty,n. one of the inherent cognitive or perceptual powers of the mind
thoroughfare,n. a public road from one place to another
distinguished,"s. (used of persons) standing above others in character or attainment or reputation
s. used of a person's appearance or behavior; befitting an eminent person"
motorized,a. equipped with a motor or motors
boyish,s. befitting or characteristic of a young boy
armrest,n. a support for the arm
maneuver,"n. a military training exercise
n. a deliberate coordinated movement requiring dexterity and skill
n. a move made to gain a tactical end"
motorist,n. someone who drives (or travels in) an automobile
honk,"n. the cry of a goose (or any sound resembling this)
v. make a loud noise
v. use the horn of a car"
bespectacled,"s. wearing, or having the face adorned with, eyeglasses or an eyeglass"
amyotrophic lateral sclerosis,none
deterioration,"n. a symptom of reduced quality or strength
n. process of changing to an inferior state"
voluntary,"n. composition (often improvised) for a solo instrument (especially solo organ) and not a regular part of a religious service or musical performance
a. of your own free will or design; done by choice; not forced or compelled
a. controlled by individual volition"
built-in,s. existing as an essential constituent or characteristic
synthesizer,n. (music) an electronic instrument (usually played with a keyboard) that generates and modifies sounds electronically and can imitate a variety of other musical instruments
voice synthesizer,none
synthesis,"n. the process of producing a chemical compound (usually by the union of simpler chemical compounds)
n. the combination of ideas into a complex whole"
intellect,"n knowledge and intellectual ability
n the capacity for rational thought or inference or discrimination
n a person who uses the mind creatively"
infinitesimal,"n. (mathematics) a variable that has zero as its limit
s. infinitely or immeasurably small"
subatomic,"a. of or relating to constituents of the atom or forces within the atom
s. of smaller than atomic dimensions"
expedition,"n. a military campaign designed to achieve a specific objective in a foreign country
n. an organized group of people undertaking a journey for a particular purpose
n. a journey organized for a particular purpose"
disorderly,"a. undisciplined and unruly
s. in utter disorder"
theologian,n. someone who is learned in theology or who speculates about theology
boundary,"n. the line or plane indicating the limit or extent of something
n. a line determining the limits of an area"
innovative,s. being or producing something like nothing done or experienced or created before
reign,"n. a period during which something or somebody is dominant or powerful
n. the period during which a monarch is sovereign
n. royal authority; the dominion of a monarch
v. have sovereign power"
relativity,"n. (physics) the theory that space and time are relative concepts rather than absolute concepts
n. the quality of being relative and having significance only in relation to something else"
overachieve,v perform better or achieve a greater degree of success than expected
plaque,n. (pathology) a small abnormal patch on or inside the body
irreverently,"r. without respect
r. in an irreverent manner; clergymen had been turned from their cures, and churches irreverently used"""
midmorning,none
book-lined,none
common room,none
evoke,"v call forth (emotions, feelings, and responses)
v evoke or provoke to appear or occur
v deduce (a principle) or construe (a meaning)
v summon into action or bring into existence, often as if by magic
v call to mind"
beep,"n. a short high tone produced as a signal or warning
v. call, summon, or alert with a beeper"
party,"n. an organization to gain political power
n. a group of people gathered together for pleasure
n. a band of people associated temporarily in some activity
n. an occasion on which people can assemble for social interaction and entertainment"
stumble,"v. walk unsteadily
v. miss a step and fall or nearly fall
v. encounter by chance
v. make an error"
clumsy,"s lacking grace in movement or posture
s not elegant or graceful in expression
s difficult to handle or manage especially because of shape
s showing lack of skill or aptitude"
overwhelm,"v. overcome, as with emotions or perceptual stimuli
v. charge someone with too many tasks"
cane,"n. a stick that people can lean on to help them walk
n. a strong slender often flexible stem as of bamboos, reeds, rattans, or sugar cane
n. a stiff switch used to hit students as punishment
v. beat with a cane"
formidable,"s. extremely impressive in strength or excellence
s. inspiring fear"
engaged,"s. having ones attention or mind or energy engaged
s. involved in military hostilities
s. (used of toothed parts or gears) interlocked and interacting
s. having services contracted for"
singularity,"n. the quality of being one of a kind
n. strangeness by virtue of being remarkable or unusual"
beast,n. a cruelly rapacious person
crush,"n. a dense crowd of people
n. the act of crushing
v. break into small pieces
v. humiliate or depress completely"
infinitely,r. continuing forever without end
dense,"s. permitting little if any light to pass through because of denseness of matter
s. hard to pass through because of dense growth
s. having high relative density or specific gravity
s. slow to learn or understand; lacking intellectual acuity"
irresistible,"a. impossible to resist; overpowering
s. overpoweringly attractive"
voluminous,s. large in volume or bulk
compelling,"s. driving or forcing
s. tending to persuade by forcefulness of argument"
thesis,n. an unproved statement put forward as a premise in an argument
mini-,a. used of women's clothing; very short with hemline above the knee
terrestrial,a. operating or living or growing on land
proton,n. a stable particle with positive charge equal to the negative charge of an electron
quantum,"n. a discrete amount of something that is analogous to the quantities in quantum theory
n. (physics) the smallest discrete quantity of some physical property that a system can possess (according to quantum theory)"
accurately,"r. with few mistakes
r. strictly correctly"
accurate,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct"
uncertain,"a. lacking or indicating lack of confidence or assurance
a. not established beyond doubt; still undecided or unknown
a. not certain to occur; not inevitable
s. not consistent or dependable"
falter,"v. be unsure or weak
v. move hesitatingly, as if about to give way"
radiation,"n. energy that is radiated or transmitted in the form of rays or waves or particles
n. the act of spreading outward from a central source
n. the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay
n. the spread of a group of organisms into new habitats"
radiate,"v. send out rays or waves
v. send out real or metaphoric rays
v. extend or spread outward from a center or focus or inward towards a center
v. cause to be seen by emitting light as if in rays"
evaporate,"v. lose or cause to lose liquid by vaporization leaving a more concentrated residue
v. cause to change into a vapor
v. change into a vapor"
H-bomb,n a nuclear weapon that releases atomic energy by union of light (hydrogen) nuclei at high temperatures to form helium
deviate,"v. turn aside; turn away from
v. be at variance with; be out of line with
v. cause to turn away from a previous or expected course"
accompany,v. go or travel along with
discothèque,none
festivity,n any joyous diversion
spin,"n. a swift whirling motion (usually of a missile)
n. the act of rotating rapidly
n. a short drive in a car
n. a distinctive interpretation (especially as used by politicians to sway public opinion)"
qualm,"n uneasiness about the fitness of an action
n a mild state of nausea"
recant,"v formally reject or disavow a formerly held belief, usually under pressure"
self-contained,s. constituting a complete and independent unit in and of itself
creator,n. a person who grows or makes or invents things
be confined to,none
light up,none
reign over,none
talk shop,none
in sequence,none
over the hill,s too old to be useful
to the day,none
put together,none
come to anything,none
come to something,none
come to nothing,none
distinguish oneself,none
engaged to,none
be engaged to,none
to sb.'s surprise,none
break down,"n. a mental or physical breakdown
n. a cessation of normal operation
n. an analysis into mutually exclusive categories"
deviate from,none
vigor,n. active strength of body or mind
vigorous,"s. characterized by forceful and energetic action or activity
s. strong and active physically or mentally"
certainty,"n. the state of being certain
n. something that is certain"
impending,"v be imminent or about to happen
s close in time; about to occur"
characterize,v. be characteristic of
hearing,"n. (law) a proceeding (usually by a court) where evidence is taken for the purpose of determining an issue of fact and reaching a decision based on that evidence
n. an opportunity to state your case and be heard
n. a session (of a committee or grand jury) in which witnesses are called and testimony is taken
n. the ability to hear; the auditory faculty"
impairment,n. damage that results in a reduction of strength or quality
impair,v. make worse or less effective
accustomed,"a. (often followed by `to') in the habit of or adapted to
s. commonly used or practiced; usual"
symmetry,"n. (mathematics) an attribute of a shape or relation; exact reflection of form on opposite sides of a dividing line or plane
n. balance among the parts of something"
bark,"n. tough protective covering of the woody stems and roots of trees and other woody plants
n. a noise resembling the bark of a dog
n. a sailing ship with 3 (or more) masts
n. the sound made by a dog"
bud,"n. a partially opened flower
n. a swelling on a plant stem consisting of overlapping immature leaves or petals
v. develop buds
v. start to grow or develop"
texture,"n. the feel of a surface or a fabric
n. the essential quality of something
n. the musical pattern created by parts being played or sung together
n. the characteristic appearance of a surface having a tactile quality"
quiver,"n. case for holding arrows
v. shake with fast, tremulous movements"
luxurious,"s displaying luxury and furnishing gratification to the senses
s rich and superior in quality"
luxury,"n. something that is an indulgence rather than a necessity
n. wealth as evidenced by sumptuous living"
rug,n. floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
compulsory,s. required by rule
intervene,"v. get involved, so as to alter or hinder an action, or through force or threat of force
v. be placed or located between other things or extend between spaces and events
v. occur between other event or between certain points of time"
kindness,"n. the quality of being warmhearted and considerate and humane and sympathetic
n. a kind act"
sympathetic,"a. of or relating to the sympathetic nervous system
a. expressing or feeling or resulting from sympathy or compassion or friendly fellow feelings; disposed toward
a. (of characters in literature or drama) evoking empathic or sympathetic feelings
s. having similar disposition and tastes"
patience,n. good-natured tolerance of delay or incompetence
detect,"v. discover or determine the existence, presence, or fact of"
sorrow,"n. an emotion of great sadness associated with loss or bereavement
n. sadness associated with some wrong done or some disappointment"
phase,"n. any distinct time period in a sequence of events
n. (physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state and separated from other material by the phase boundary
n. a particular point in the time of a cycle; measured from some arbitrary zero and expressed as an angle
n. (astronomy) the particular appearance of a body's state of illumination (especially one of the recurring shapes of the part of Earth's moon that is illuminated by the sun)"
essential,"s. absolutely necessary; vitally necessary
a. basic and fundamental
a. being or relating to or containing the essence of a plant etc"
outward,"a. relating to physical reality rather than with thoughts or the mind
r. toward the outside"
incidentally,r. of a minor or subordinate nature
chronic,"a. being long-lasting and recurrent or characterized by long suffering
s. of long duration
s. habitual"
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
emancipation,n. freeing someone from the control of another; especially a parent's relinquishing authority and control over a minor child
proclamation,n. the formal act of proclaiming; giving public notice
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
decree,"n. a legally binding command or decision entered on the court record (as if issued by a court or judge)
v. issue a decree"
cripple,"n. someone who is unable to walk normally because of an injury or disability to the legs or back
v. deprive of strength or efficiency; make useless or worthless
v. deprive of the use of a limb, especially a leg"
manacle,v. confine or restrain with or as if with manacles or handcuffs
segregation,"n. (genetics) the separation of paired alleles during meiosis so that members of each pair of alleles appear in different gametes
n. a social system that provides separate facilities for minority groups
n. the act of segregating or sequestering"
segregate,"n. someone who is or has been segregated
v. separate by race or religion; practice a policy of racial segregation
v. divide from the main body or mass and collect"
discrimination,"n. unfair treatment of a person or group on the basis of prejudice
n. the cognitive process whereby two or more stimuli are distinguished"
discriminate,"v. recognize or perceive the difference
v. treat differently on the basis of sex or race
v. distinguish
a. marked by the ability to see or make fine distinctions"
justice,"n. the quality of being just or fair
n. judgment involved in the determination of rights and the assignment of rewards and punishments"
demonstration,"n. a show of military force or preparedness
n. a public display of group feelings (usually of a political nature)
n. proof by a process of argument or a series of proposition proving an asserted conclusion
n. a visual presentation showing how something works"
demonstrate,v. march in protest; take part in a demonstration
aspiration,"n. a will to succeed
n. a manner of articulation involving an audible release of breath"
aspire,v have an ambitious plan or a lofty goal
equality,"n. the quality of being the same in quantity or measure or value or status
n. a state of being essentially equal or equivalent; equally balanced"
spiritual,"n. a kind of religious song originated by Blacks in the southern United States
s. concerned with or affecting the spirit or soul
s. lacking material body or form or substance"
symbolic,"a. relating to or using or proceeding by means of symbols
a. using symbolism"
momentous,s. of very great significance
momentum,"n. an impelling force or strength
n. the product of a body's mass and its velocity"
beacon,"n. a fire (usually on a hill or tower) that can be seen from a distance
n. a tower with a light that gives warning of shoals to passing ships
v. shine like a beacon
v. guide with a beacon"
Negro,s. relating to or characteristic of or being a member of the traditional racial division of mankind having brown to black pigmentation and tightly curled hair
sear,v. make very hot and dry
flame,"v. be in flames or aflame
v. criticize harshly, usually via an electronic medium"
wither,"v wither, as with a loss of moisture
v lose freshness, vigor, or vitality"
joyous,a. full of or characterized by joy
daybreak,n the first light of day
captivity,n. the state of being imprisoned
captive,"n. an animal that is confined
n. a person held in the grip of a strong emotion or passion
s. being in captivity
s. giving or marked by complete attention to"
poverty,n. the state of having little or no money and few or no material possessions
prosperity,"n. an economic state of growth with rising profits and full employment
n. the condition of prospering; having good fortune"
languish,v. become feeble
exile,"n. a person who is voluntarily absent from home or country
n. a person who is expelled from home or country by authority
n. the act of expelling a person from their native land"
dramatize,"v. put into dramatic form
v. represent something in a dramatic manner"
appalling,"n. an experience that appalls
s. causing consternation"
appall,"v strike with disgust or revulsion
v fill with apprehension or alarm; cause to be unpleasantly surprised"
architect,n. someone who creates plans to be used in making something (such as buildings)
promissory,a. relating to or having the character of a promise
promissory note,none
heir,n. a person who is entitled by law or by the terms of a will to inherit the estate of another
inalienable,a. incapable of being repudiated or transferred to another
