flashcard,n a card with words or numbers or pictures that is flashed to a class by the teacher
jungle,"n. a location marked by an intense competition and struggle for survival
n. an impenetrable equatorial forest"
fall,"n. the season when the leaves fall from the trees
n. the lapse of mankind into sinfulness because of the sin of Adam and Eve
n. a lapse into sin; a loss of innocence or of chastity
n. a sudden decline in strength or number or importance"
Niagara Falls,none
touristy,s visited by throngs of tourists
spotlight,"n. a lamp that produces a strong beam of light to illuminate a restricted area; used to focus attention of a stage performer
v. illuminate with a spotlight, as in the theater"
consider,"v. take into consideration for exemplifying purposes
v. show consideration for; take into account
v. think about carefully; weigh
v. regard or treat with consideration, respect, and esteem"
lively,"a. full of life and energy
s. full of zest or vigor
s. filled with events or activity"
sight,"n. an instance of visual perception
n. anything that is seen
n. the ability to see; the visual faculty
n. a range of mental vision"
including,"v have as a part, be made up out of
v consider as part of something
v add as part of something else; put in as part of a set, group, or category
v allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of"
tower,n. a structure taller than its diameter; can stand alone or be attached to a larger building
Eiffel Tower,none
cathedral,"n. any large and important church
n. the principal Christian church building of a bishop's diocese
a. relating to or containing or issuing from a bishop's office or throne"
Notre Dame Cathedral,none
church,"n. one of the groups of Christians who have their own beliefs and forms of worship
n. a place for public (especially Christian) worship
n. the body of people who attend or belong to a particular local church
v. perform a special church rite or service for"
convenient,a. suited to your comfort or purpose or needs
underground,"n. a secret group organized to overthrow a government or occupation force
r. in or into hiding or secret operation
r. beneath the surface of the earth"
general,"n. a general officer of the highest rank
n. the head of a religious order or congregation
n. a fact about the whole (as opposed to particular)
v. command as a general"
in general,none
wine,"n. fermented juice (of grapes especially)
n. a red as dark as red wine
v. drink wine
v. treat to wine"
translate,"v. restate (words) from one language into another language
v. change from one form or medium into another
v. bring to a certain spiritual state
v. change the position of (figures or bodies) in space without rotation"
pack,"n. a complete collection of similar things
n. a convenient package or parcel (as of cigarettes or film)
n. a group of hunting animals
n. a cream that cleanses and tones the skin"
light,"n. (physics) electromagnetic radiation that can produce a visual sensation
n. any device serving as a source of illumination
n. a particular perspective or aspect of a situation
n. an illuminated area"
Ace Travel,none
eastern,"s. lying toward or situated in the east
a. of or characteristic of eastern regions of the United States
a. relating to or characteristic of regions of eastern parts of the world"
provide,"v. give what is desired or needed, especially support, food or sustenance
v. determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation
v. supply means of subsistence; earn a living
v. take measures in preparation for"
firm,"n. the members of a business organization that owns or operates one or more establishments
s. marked by firm determination or resolution; not shakable
s. not soft or yielding to pressure
s. strong and sure"
spot,"n. a short section or illustration (as between radio or tv programs or in a magazine) that is often used for advertising
n. a small contrasting part of something
n. a section of an entertainment that is assigned to a specific performer or performance
n. a business establishment for entertainment"
Confucius,n. Chinese philosopher whose ideas and sayings were collected after his death and became the basis of a philosophical doctrine known a Confucianism (circa 551-478 BC)
sail,"n. a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel
n. any structure that resembles a sail
v. traverse or travel on (a body of water)
v. travel on water propelled by wind"
Pacific,"n. the largest ocean in the world
a. relating to or bordering the Pacific Ocean
s. disposed to peace or of a peaceful nature"
finding,"n. the decision of a court on issues of fact or law
n. something that is found"
thousands of,none
as soon as possible,none
continue,"v. continue a certain state, condition, or activity
v. continue talking
v. keep or maintain in unaltered condition; cause to remain or last
v. do something repeatedly and showing no intention to stop"
programming,n. creating a sequence of instructions to enable the computer to do something
translator,"n. a person who translates written messages from one language to another
n. a program that translates one programming language into another"
report,"n. a written document describing the findings of some individual or group
n. the act of informing by verbal report
n. a short account of the news
n. a sharp explosive sound (especially the sound of a gun firing)"
willing,a. disposed or inclined toward
be willing to,none
quite a few,none
dream,"n. a series of mental images and emotions occurring during sleep
n. imaginative thoughts indulged in while awake
n. a state of mind characterized by abstraction and release from reality
n. someone or something wonderful"
dream of,none
sportspeople,none
conclusion,"n. an intuitive assumption
n. the proposition arrived at by logical reasoning (such as the proposition that must follow from the major and minor premises of a syllogism)
n. a final settlement
n. the last section of a communication"
hold on to,none
attitude,"n. a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways
n. a theatrical pose created for effect
n. position of aircraft or spacecraft relative to a frame of reference (the horizon or direction of motion)"
clean up,n. (baseball) the fourth position in the batting order (usually filled by the best batter on the team)
hunger,"n. a physiological need for food; the consequence of food deprivation
n. strong desire for something (not food or drink)
v. feel the need to eat"
homeless,"n. someone unfortunate without housing
n. poor people who unfortunately do not have a home to live in
s. without nationality or citizenship"
cheer,"n. a cry or shout of approval
v. give encouragement to
v. show approval or good wishes by shouting
v. cause (somebody) to feel happier or more cheerful"
give out,none
clean-up,n. (baseball) the fourth position in the batting order (usually filled by the best batter on the team)
sign,"n. a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n. a public display of a message
n. (medicine) any objective evidence of the presence of a disorder or disease
n. a gesture that is part of a sign language"
advertisement,n a public promotion of some product or service
put off,n. A shift for evasion or delay; an evasion; an excuse.
set,"n. a group of things of the same kind that belong together and are so used
n. (mathematics) an abstract collection of numbers or symbols
n. several exercises intended to be done in series
n. an unofficial association of people or groups"
set up,n. the way something is organized or arranged
establish,"v. set up or found
v. set up or lay the groundwork for
v. bring about
v. use as a basis for; found on"
think up,none
major,"n. a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain
n. British statesman who was prime minister from 1990 until 1997 (born in 1943)
n. a university student who is studying a particular field as the principal subject
n. the principal field of study of a student at a university"
commitment,"n. the act of binding yourself (intellectually or emotionally) to a course of action
n. an engagement by contract involving financial obligation
n. a message that makes a pledge
n. the official act of consigning a person to confinement (as in a prison or mental hospital)"
elementary,"s. easy and not involved or complicated
a. of or pertaining to or characteristic of elementary school or elementary education
s. of or being the essential or basic part"
veterinarian,n. a doctor who practices veterinary medicine
coach,"n. (sports) someone in charge of training an athlete or a team
n. a person who gives private instruction (as in singing, acting, etc.)
n. a carriage pulled by four horses with one driver
v. teach and supervise (someone); act as a trainer or coach (to), as in sports"
take after,none
fix,"n. informal terms for a difficult situation
n. something craved, especially an intravenous injection of a narcotic drug
n. an exemption granted after influence (e.g., money) is brought to bear
v. set or place definitely"
fix up,none
repair,"n. the act of putting something in working order again
n. a formal way of referring to the condition of something
v. restore by replacing a part or putting together what is torn or broken
v. move, travel, or proceed toward some place"
similar,"a. marked by correspondence or resemblance
s. (of words) expressing closely related meanings"
put up,s. planned secretly
ask for,none
hand out,"n. an announcement distributed to members of the press in order to supplement or replace an oral presentation
n. giving money or food or clothing to a needy person"
call-in,n. a telephone call to a radio station or a television station in which the caller participates in the on-going program
strategy,n. the branch of military science dealing with military command and the planning and conduct of a war
work out,n the activity of exerting your muscles in various ways to keep fit
website,n a computer connected to the internet that maintains a series of web pages on the World Wide Web
disabled,"n. people collectively who are crippled or otherwise physically handicapped
s. incapable of functioning as a consequence of injury or illness"
organization,"n. a group of people who work together
n. the act of organizing a business or an activity related to a business
n. an ordered manner; orderliness by virtue of being methodical and well organized
n. the activity or result of distributing or disposing persons or things properly or methodically"
fill,"n. a quantity sufficient to satisfy
v. make full, also in a metaphorical sense
v. become full
v. assume, as of positions or roles"
pleasure,"n. a fundamental feeling that is hard to define but that people desire to experience
n. a formal expression
n. an activity that affords enjoyment
n. sexual gratification"
blind,"n. people who have severe visual impairments, considered as a group
n. a hiding place sometimes used by hunters (especially duck hunters)
n. a protective covering that keeps things out or hinders sight
v. render unable to see"
deaf,"n. people who have severe hearing impairments
a. lacking or deprived of the sense of hearing wholly or in part
s. (usually followed by `to') unwilling or refusing to pay heed"
unable,"a. (usually followed by `to') not having the necessary means or skill or know-how
s. (usually followed by `to') lacking necessary physical or mental ability"
cannot," Am, is, or are, not able; -- written either as one word or
   two."
imagine,v. form a mental image of something that is not present or that is not the case
shut,a. not open
carry,"n. the act of carrying something
v. have with oneself; have on one's person
v. serve as a means for expressing something
v. bear or be able to bear the weight, pressure,or responsibility of"
help out,none
help sb. out,none
specially,r. in a special manner
fetch,"n. the action of fetching
v. be sold for a certain price
v. take away or remove"
at once,none
support,"n. the activity of providing for or maintaining by supplying with money or necessities
n. aiding the cause or policy or interests of
n. something providing immaterial assistance to a person or cause or interest
n. a military operation (often involving new supplies of men and materiel) to strengthen a military force or aid in the performance of its mission"
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
donation,"n a voluntary gift (as of money or service or ideas) made to some worthwhile cause
n act of giving in common with others for a common purpose especially to a charity"
part of speech,none
pronoun,n. a function word that is used in place of a noun or noun phrase
adverb,"n. the word class that qualifies verbs or clauses
n. a word that modifies something other than a noun"
preposition,"n. a function word that combines with a noun or pronoun or noun phrase to form a prepositional phrase that can have an adverbial or adjectival relation to some other word
n. (linguistics) the placing of one linguistic element before another (as placing a modifier before the word it modifies in a sentence or placing an affix before the base to which it is attached)"
conjunction,"n. an uninflected function word that serves to conjoin words or phrases or clauses or sentences
n. the grammatical relation between linguistic units (words or phrases or clauses) that are connected by a conjunction
n. (astronomy) apparent meeting or passing of two or more celestial bodies in the same degree of the zodiac"
donate,v. give to a charity or good cause
Jimmy,n. a short crowbar
Sally,n. a venture off the beaten path
invent,"v. come up with (an idea, plan, explanation, theory, or principle) after a mental effort"
calculator,"n. an expert at calculation (or at operating calculating machines)
n. a small machine that is used for mathematical calculations"
be used for,none
scoop,"n. the quantity a scoop will hold
n. a hollow concave shape made by removing something
n. the shovel or bucket of a dredge or backhoe
n. a large ladle"
adjustable,"s. capable of being changed so as to match or fit
s. capable of being regulated"
heel,"n. the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
n. the back part of the human foot
n. one of the crusty ends of a loaf of bread
n. the lower end of a ship's mast"
battery,"n. group of guns or missile launchers operated together at one place
n. a device that produces electricity; may have several primary or secondary cells arranged in parallel or series
n. a collection of related things intended for use together
n. a unit composed of the pitcher and catcher"
operate,"v. direct or control; projects, businesses, etc.
v. handle and cause to function
v. happen"
battery-operated,none
slipper,n. low footwear that can be slipped on and off easily; usually worn indoors
heat,"n. a form of energy that is transferred by a difference in temperature
n. the sensation caused by heat energy
n. the trait of being intensely emotional
n. a preliminary race in which the winner advances to a more important race"
bulb,"n. a modified bud consisting of a thickened globular underground stem serving as a reproductive structure
n. a rounded part of a cylindrical instrument (usually at one end)
n. anything with a round shape resembling a teardrop
n. a rounded dilation or expansion in a canal or vessel or organ"
light bulb,none
microwave,"n. a short electromagnetic wave (longer than infrared but shorter than radio waves); used for radar and microwave ovens and for transmitting telephone, facsimile, video and data
n. kitchen appliance that cooks food by passing an electromagnetic wave through it; heat results from the absorption of energy by the water molecules in the food
v. cook or heat in a microwave oven"
microwave oven,none
crispy,s tender and brittle
salty,"a. containing or filled with salt
s. one of the four basic taste sensations; like the taste of sea water"
sour,"n. a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar
n. the taste experience when vinegar or lemon juice is taken into the mouth
v. go sour or spoil
v. make sour or more sour"
by mistake,none
chef,n. a professional cook
sprinkle,"n. the act of sprinkling or splashing water
v. cause (a liquid) to spatter about, especially with force
v. rain gently
v. scatter with liquid; wet lightly"
by accident,none
beverage,n. any liquid suitable for drinking
according to,none
ancient,"n. a very old person
n. a person who lived in ancient times
s. belonging to times long past especially of the historical period before the fall of the Western Roman Empire
s. very old"
legend,n. a story about mythical or supernatural beings or events
Shen Nong,none
bush,"n. a large wilderness area
n. 43rd President of the United States; son of George Herbert Walker Bush (born in 1946)
n. United States electrical engineer who designed an early analogue computer and who led the scientific program of the United States during World War II (1890-1974)
n. vice president under Reagan and 41st President of the United States (born in 1924)"
fall into,none
remain,"v. be left; of persons, questions, problems, results, evidence, etc."
notice,"n. an announcement containing information about an event
n. the act of noticing or paying attention
n. advance notification (usually written) of the intention to withdraw from an arrangement of contract
n. polite or favorable attention"
produce,"n. fresh fruits and vegetable grown for the market
v. bring forth or yield
v. create or manufacture a man-made product
v. cause to happen, occur or exist"
pleasant,"a. affording pleasure; being in harmony with your taste or likings
s. (of persons) having pleasing manners or behavior"
mixture,n. (chemistry) a substance consisting of two or more substances mixed together (not in fixed proportions and not with chemical bonding)
in this way,none
pie,n. dish baked in pastry-lined pan often with a pastry top
flying,s. hurried and brief
bakery,n. a workplace where baked goods (breads and cakes and pastries) are produced or sold
Bridgeport,n. a port in southwestern Connecticut on Long Island Sound
Connecticut,"n. a New England state; one of the original 13 colonies
n. a river in the northeastern United States; flows south from northern New Hampshire along the border between New Hampshire and Vermont and through Massachusetts and Connecticut where it empties into Long Island Sound
n. one of the British colonies that formed the United States"
throw,"n. the act of throwing (propelling something with a rapid movement of the arm and wrist)
n. a single chance or instance
n. the maximum movement available to a pivoted or reciprocating piece by a cam
n. bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something"
taste,"n. the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
n. delicate discrimination (especially of aesthetic values)
n. a brief experience of something
n. a small amount eaten or drunk"
lemon,"n. yellow oval fruit with juicy acidic flesh
n. a small evergreen tree that originated in Asia but is widely cultivated for its fruit
n. a distinctive tart flavor characteristic of lemons
n. an artifact (especially an automobile) that is defective or unsatisfactory"
cookie,"n. any of various small flat sweet cakes (`biscuit' is the British term)
n. the cook on a ranch or at a camp
n. a short line of text that a web site puts on your computer's hard drive when you access the web site"
abacus,"n. a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
n. a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves"
binoculars,n. an optical instrument designed for simultaneous use by both eyes
century,n. a period of 100 years
rank,"n. a row or line of people (especially soldiers or police) standing abreast of one another
n. relative status
v. take or have a position relative to others
v. take precedence or surpass others in rank"
active,"n. a person who is a participating member of an organization
a. tending to become more severe or wider in scope
s. engaged in or ready for military or naval operations
a. disposed to take action or effectuate change"
indoors,r within a building
create,"v. bring into existence
v. pursue a creative activity; be engaged in a creative activity
v. invest with a new title, office, or rank
v. create by artistic means"
wooden,"s. made or consisting of (entirely or in part) or employing wood
s. lacking ease or grace"
knock,"n. the sound of knocking (as on a door or in an engine or bearing)
n. negative criticism
n. a vigorous blow
n. a bad experience"
knock into,none
divide,"n. a serious disagreement between two groups of people (typically producing tension or hostility)
v. separate into parts or portions
v. perform a division"
aim,"n. the goal intended to be attained (and which is believed to be attainable)
n. the action of directing something at an object
v. point or cause to go (blows, weapons, or objects such as photographic equipment) towards
v. propose or intend"
basket,"n. a container that is usually woven and has handles
n. the quantity contained in a basket
n. horizontal circular metal hoop supporting a net through which players try to throw the basketball
n. a score in basketball made by throwing the ball through the hoop"
metal,v. cover with metal
hoop,"n. a light curved skeleton to spread out a skirt
n. a rigid circular band of metal or wood or other material used for holding or fastening or hanging or pulling
v. bind or fasten with a hoop"
shoot,"n. a new branch
n. the act of shooting at targets
v. hit with a missile from a weapon
v. kill by firing a missile"
below,"r. in or to a place that is lower
r. at a later place
r. (in writing) see below"
backboard,"n. a raised vertical board with basket attached; used to play basketball
n. a board used to support the back of someone or something"
guide,"n. someone who shows the way by leading or advising
n. a structure or marking that serves to direct the motion or positioning of something
v. be a guiding or motivating force or drive
v. use as a guide"
towards,"prep. In the direction of; to.
prep. With direction to, in a moral sense; with respect or
   reference to; regarding; concerning.
prep. Tending to; in the direction of; in behalf of.
prep. Near; about; approaching to.
adv. Near; at hand; in state of preparation.
prep. & adv. See Toward."
court,"n. an assembly (including one or more judges) to conduct judicial business
n. a room in which a lawcourt sits
n. the sovereign and his advisers who are the governing power of a state
n. a specially marked horizontal area within which a game is played"
Berlin,"n. capital of Germany located in eastern Germany
n. United States songwriter (born in Russia) who wrote more than 1500 songs and several musical comedies (1888-1989)
n. a limousine with a glass partition between the front and back seats"
develop,"v. make something new, such as a product or a mental or artistic creation
v. gain through experience
v. be gradually disclosed or unfolded; become manifest; 
v. grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment"
popularity,n. the quality of being widely admired or accepted or sought after
rise,"n. a growth in strength or number or importance
n. the act of changing location in an upward direction
n. a movement upward
n. an increase in cost"
risen,s. (of e.g. celestial bodies) above the horizon
worldwide,s. spanning or extending throughout the entire world
association,"n. a formal organization of people or groups of people
n. the act of consorting with or joining with others
n. the state of being connected together as in memory or imagination
n. the process of bringing ideas or events together in memory or imagination"
equipment,n. an instrumentality needed for an undertaking or to perform a service
Chelsea Lanmon,none
Jayce Coziar,none
Jamie Ellsworth,none
Julie Thompson,none
Crum,none
James Naismith,none
by the time,none
gotten,"v come into the possession of something concrete or abstract
v enter or assume a certain state or condition
v cause to move; cause to be in a certain position or condition
v receive a specified treatment (abstract)
v reach a destination; arrive by movement or progress
v go or come after and bring or take back
v go through (mental or physical states or experiences)
v take vengeance on or get even
v achieve a point or goal
v cause to do; cause to act in a specified manner
v succeed in catching or seizing, especially after a chase
v come to have or undergo a change of (physical features and attributes)
v be stricken by an illness, fall victim to an illness
v communicate with a place or person; establish communication with, as if by telephone
v give certain properties to something
v move into a desired direction of discourse
v grasp with the mind or develop an understanding of
v attract and fix
v reach with a blow or hit in a particular spot
v reach by calculation
v acquire as a result of some effort or action
v purchase
v perceive by hearing
v suffer from the receipt of
v receive as a retribution or punishment
v leave immediately; used usually in the imperative form
v reach and board
v irritate
v evoke an emotional response
v apprehend and reproduce accurately
v earn or achieve a base by being walked by the pitcher
v overcome or destroy
v be a mystery or bewildering to
v take the first step or steps in carrying out an action
v undergo (as of injuries and illnesses)
v make children"
oversleep,v. sleep longer than intended
go off,none
rush,"n. a sudden forceful flow
n. grasslike plants growing in wet places and having cylindrical often hollow stems
n. physician and American Revolutionary leader; signer of the Declaration of Independence (1745-1813)
n. a sudden burst of activity"
run off,n. a final election to resolve an earlier election that did not produce a winner
on time,none
lock,"n. a fastener fitted to a door or drawer to keep it firmly closed
n. a strand or cluster of hair
n. a mechanism that detonates the charge of a gun
n. enclosure consisting of a section of canal that can be closed to control the water level; used to raise or lower vessels that pass through it"
relative,"n. a person related by blood or marriage
n. an animal or plant that bears a relationship to another (as related by common descent or by membership in the same genus)
a. estimated by comparison; not absolute or complete"
broke,s. lacking funds
break down,"n. a mental or physical breakdown
n. a cessation of normal operation
n. an analysis into mutually exclusive categories"
fool,"n. a person who lacks good judgment
v. make a fool or dupe of"
costume,"n. the attire worn in a play or at a fancy dress ball
n. unusual or period attire not characteristic of or appropriate to the time and place
n. the prevalent fashion of dress (including accessories and hair style as well as garments)
n. the attire characteristic of a country or a time or a social class"
embarrassed,s. made to feel uncomfortable because of shame or wounded pride
empty,"n. a container that has been emptied
v. make void or empty of contents
v. become empty or void of its content
v. remove"
show up,none
exhausted,"s. drained of energy or effectiveness; extremely tired; completely exhausted
a. depleted of energy, force, or strength
s. drained physically"
April Fool's Day,none
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
Mars,"n. a small reddish planet that is the 4th from the sun and is periodically visible to the naked eye; minerals rich in iron cover its surface and are responsible for its characteristic color
n. (Roman mythology) Roman god of war and agriculture; father of Romulus and Remus; counterpart of Greek Ares"
convincing,a. causing one to believe the truth of something
panic,"n. an overwhelming feeling of fear and anxiety
n. sudden mass fear and anxiety over anticipated events
v. be overcome by a sudden fear
v. cause sudden fear in or fill with sudden panic"
set off,"n. That which is set off against another thing; an offset.
n. That which is used to improve the appearance of anything;
   a decoration; an ornament.
n. A counterclaim; a cross debt or demand; a distinct claim
   filed or set up by the defendant against the plaintiff's demand.
n. Same as Offset, n., 4.
n. See Offset, 7."
authority,"n. the power or right to give orders or make decisions
n. (usually plural) persons who exercise (administrative) control over others
n. an expert whose views are taken as definitive
n. official permission or approval"
reveal,v. disclose directly or through prophets
hoax,v. subject to a playful hoax or joke
flee,v. run away quickly
fled,v run away quickly
spaghetti,"n. spaghetti served with a tomato sauce
n. pasta in the form of long strings"
farmer,"n. a person who operates a farm
n. United States civil rights leader who in 1942 founded the Congress of Racial Equality (born in 1920)
n. an expert on cooking whose cookbook has undergone many editions (1857-1915)"
sell out,n. an act of betrayal
girlfriend,"n. any female friend
n. a girl or young woman with whom a man is romantically involved"
marry,"v. take in marriage
v. perform a marriage ceremony"
thrill,"n. something that causes you to experience a sudden intense feeling or sensation
v. cause to be thrilled by some perceptual input
v. feel sudden intense sensation or emotion"
get married,none
ending,"n. the end of a word (a suffix or inflectional ending or final morpheme)
n. event whose occurrence ends something"
embarrassing,s. causing to feel shame or chagrin or vexation
a piece of,none
Orson Welles,none
Halloween,n. the evening before All Saints' Day; often devoted to pranks played by young people
Holland,n a constitutional monarchy in western Europe on the North Sea; half the country lies below sea level
Qomolangma,none
restroom,n a toilet that is available to the public
shampoo,"n. cleansing agent consisting of soaps or detergents used for washing the hair
n. the act of washing your hair with shampoo
v. use shampoo on (hair)"
drugstore,n. a retail shop where medicine and other articles are sold
cafe,n. a small restaurant where drinks and snacks are sold
department,"n. a specialized division of a large organization
n. the territorial and administrative division of some countries (such as France)
n. a specialized sphere of knowledge"
department store,none
escalator,n. a stairway whose steps move continuously on a circulating belt
magic,n. any art that invokes supernatural powers
fresh,"a. recently made, produced, or harvested
s. (of a cycle) beginning or occurring again
s. original and of a kind not seen before
a. not canned or otherwise preserved"
block,"n. a solid piece of something (usually having flat rectangular sides)
n. a rectangular area in a city surrounded by streets and usually containing several buildings
n. a three-dimensional shape with six square or rectangular sides
n. a number or quantity of related things dealt with as a unit"
oak,"n. the hard durable wood of any oak; used especially for furniture and flooring
n. a deciduous tree of the genus Quercus; has acorns and lobed leaves"
uncrowded,a. having or allowing sufficient room
slide,"n. a small flat rectangular piece of glass on which specimens can be mounted for microscopic study
n. (geology) the descent of a large mass of earth or rocks or snow etc.
n. plaything consisting of a sloping chute down which children can slide
n. the act of moving smoothly along a surface while remaining in contact with it"
water slide,none
clown,"n. a rude or vulgar fool
n. a person who amuses others by ridiculous behavior
v. act as or like a clown"
staff,"n. personnel who assist their superior in carrying out an assigned task
n. a strong rod or stick with a specialized utilitarian purpose
n. the body of teachers and administrators at a school
n. building material consisting of plaster and hair; used to cover external surfaces of temporary structure (as at an exposition) or for decoration"
organized,"a. formed into a structured or coherent whole
a. methodical and efficient in arrangement or function
s. being a member of or formed into a labor union"
dress up,none
market,"n. the world of commercial activity where goods and services are bought and sold
n. the customers for a particular product or service
n. the securities markets in the aggregate
v. engage in the commercial promotion, sale, or distribution of"
lend,"v. bestow a quality on
v. give temporarily; let have for a limited time
v. have certain characteristics of qualities for something; be open or vulnerable to"
park,"n. a large area of land preserved in its natural state as public property
n. a piece of open land for recreational use in an urban area
n. Scottish explorer in Africa (1771-1806)
n. a gear position that acts as a parking brake"
alright,s. nonstandard usage
direct,"v. command with authority
v. guide the actors in (plays and films)
v. be in charge of
v. give directions to; point somebody into a certain direction"
order,"n. (often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed
n. a degree in a continuum of size or quantity
n. established customary state (especially of society)
n. a commercial document used to request someone to supply something in return for payment and providing specifications and quantities"
wonder,"n. the feeling aroused by something strange and surprising
n. something that causes feelings of wonder
v. have a wish or desire to know something
v. place in doubt or express doubtful speculation"
lead,"n. an advantage held by a competitor in a race
n. a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey
n. evidence pointing to a possible solution
n. a position of leadership (especially in the phrase `take the lead')"
trouble,"n. a source of difficulty
n. an event causing distress or pain
n. an effort that is inconvenient
n. an unwanted pregnancy"
offend,"v cause to feel resentment or indignation
v act in disregard of laws, rules, contracts, or promises
v strike with disgust or revulsion
v hurt the feelings of"
certain,"s. definite but not specified or identified
a. having or feeling no doubt or uncertainty; confident and assured
a. established beyond doubt or question; definitely known
a. certain to occur; destined or inevitable"
structure,"n. a thing constructed; a complex entity constructed of many parts
n. the manner of construction of something and the arrangement of its parts
n. the complex composition of knowledge as elements and their combinations
n. a particular complex anatomical part of a living thing"
hand in,none
Dean,"n. an administrator in charge of a division of a university or college
n. United States film actor whose moody rebellious roles made him a cult figure (1931-1955)
n. a man who is the senior member of a group
n. (Roman Catholic Church) the head of the College of Cardinals"
Sunville,none
Killeen,none
Valve,"n. a structure in a hollow organ (like the heart) with a flap to insure one-way flow of fluid through it
n. device in a brass wind instrument for varying the length of the air column to alter the pitch of a tone
n. control consisting of a mechanical device for controlling the flow of a fluid
n. the entire one-piece shell of a snail and certain other molluscs"
West,"n. the countries of (originally) Europe and (now including) North America and South America
n. the cardinal compass point that is a 270 degrees
n. the region of the United States lying to the west of the Mississippi River
n. the direction corresponding to the westward cardinal compass point"
shake,"v. move or cause to move back and forth
v. move with or as if with a tremor
v. undermine or cause to waver
v. get rid of"
shake hands,none
custom,"n. accepted or habitual practice
n. a specific practice of long standing
n. habitual patronage"
bow,"n. a knot with two loops and loose ends; used to tie shoelaces
n. a slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments
n. front part of a vessel or aircraft
n. a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow"
kiss,"n. the act of caressing with the lips (or an instance thereof)
n. a cookie made of egg whites and sugar
n. any of several bite-sized candies
n. a light glancing touch"
Cali,n. city in southwestern Colombia in a rich agricultural area
Colombia,n. a republic in northwestern South America with a coastline on the Pacific Ocean and the Caribbean Sea; achieved independence from Spain in 1821 under the leadership of Simon Bolivar; Spanish is the official language
relaxed,a. without strain or anxiety
drop by,none
Lausanne,n. a city in western Switzerland; cultural and commercial center
Switzerland,n. a landlocked federal republic in central Europe
land,"n. the land on which real estate is located
n. material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)
n. the solid part of the earth's surface
n. United States inventor who incorporated Polaroid film into lenses and invented the one step photographic process (1909-1991)"
after all,none
towards,"prep. In the direction of; to.
prep. With direction to, in a moral sense; with respect or
   reference to; regarding; concerning.
prep. Tending to; in the direction of; in behalf of.
prep. Near; about; approaching to.
adv. Near; at hand; in state of preparation.
prep. & adv. See Toward."
greet,"v. express greetings upon meeting someone
v. send greetings to
v. react to in a certain way
v. be perceived by"
Peru,n. a republic in western South America; achieved independence from Spain in 1821; was the heart of the Inca empire from the 12th to 16th centuries
wipe,v. rub with a circular motion
napkin,n. a small piece of table linen that is used to wipe the mouth and to cover the lap in order to protect clothing
make noise,none
make a noise,none
stick,"n. an implement consisting of a length of wood
n. a small thin branch of a tree
n. a lever used by a pilot to control the ailerons and elevators of an airplane
n. a rectangular quarter pound block of butter or margarine"
rude,"s socially incorrect in behavior
s (of persons) lacking in refinement or grace
a lacking civility or good manners
s (used especially of commodities) being unprocessed or manufactured using only simple or minimal processes
s belonging to an early stage of technical development; characterized by simplicity and (often) crudeness"
point,"n. a geometric element that has position but no extension
n. the precise location of something; a spatially limited location
n. a brief version of the essential meaning of something
n. an instant of time"
go out of one's way to do sth.,none
make sb. feel at home,none
manner,"n. how something is done or how it happens
n. a way of acting or behaving
n. a kind"
table manners,none
be used to,none
get used to,none
fork,"n. cutlery used for serving and eating food
n. the region of the angle formed by the junction of two branches
n. an agricultural tool used for lifting or digging; has a handle and metal prongs
v. place under attack with one's own pieces, of two enemy pieces"
full,"v. beat for the purpose of cleaning and thickening
v. make (a garment) fuller by pleating or gathering
a. containing as much or as many as is possible or normal
s. complete in extent or degree and in every particular"
lap,"n. the upper side of the thighs of a seated person
n. an area of control or responsibility
n. the part of a piece of clothing that covers the thighs
n. a flap that lies over another part"
elbow,"n. hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
n. a sharp bend in a road or river
n. a length of pipe with a sharp bend in it
n. the part of a sleeve that covers the elbow joint"
gradually,r. in a gradual manner
particular,"n. a fact about some part (as opposed to general)
n. (logic) a proposition that asserts something about some (but not all) members of a class
s. unique or specific to a person or thing or category
s. separate and distinct from others of the same group or category"
