disability,n. the condition of being unable to perform as a consequence of physical or mental unfitness
Sudan,"n. a republic in northeastern Africa on the Red Sea; achieved independence from Egypt and the United Kingdom in 1956
n. a region of northern Africa to the south of the Sahara and Libyan deserts; extends from the Atlantic to the Red Sea"
clinic,"n. a medical establishment run by a group of medical specialists
n. meeting for diagnosis of problems and instruction or remedial work in a particular activity
n. a healthcare facility for outpatient care"
Malawi,n. a landlocked republic in southern central Africa; achieved independence from the United Kingdom in 1964
adjust to,none
keep it up,none
fit in,none
motherland,n the country where you were born
visa,"n. an endorsement made in a passport that allows the bearer to enter the country issuing it
v. provide (a passport) with a visa
v. approve officially"
queue,"n. a line of people or vehicles waiting for something
n. (information processing) an ordered list of tasks to be performed or messages to be transmitted
n. a braid of hair at the back of the head"
cafeteria,n. a restaurant where you serve yourself and pay a cashier
lecture,"n. a speech that is open to the public
n. a lengthy rebuke
n. teaching by giving a discourse on some subject (typically to a class)
v. deliver a lecture or talk"
qualification,"n. an attribute that must be met or complied with and that fits a person for something
n. the act of modifying or changing the strength of some idea"
preparation,"n. the activity of putting or setting in order in advance of some act or purpose
n. (music) a note that produces a dissonant chord is first heard in a consonant chord"
recommend,"v. push for something
v. make attractive or acceptable"
shopkeeper,n. a merchant who owns or manages a shop
idiom,n. an expression whose meanings cannot be inferred from the meanings of the words that make it up
comfort,"n. a state of being relaxed and feeling no pain
n. a feeling of freedom from worry or disappointment
n. satisfaction or physical well-being provided by a person or thing
n. assistance, such as that provided to an enemy or to a known criminal"
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
academic,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects"
requirement,n. required activity
essay,"n. an analytic or interpretive literary composition
n. a tentative attempt"
tutor,"v. be a tutor to someone; give individual instruction
v. act as a guardian to someone"
revise,v. make revisions in
revision,"n. the act of revising or altering (involving reconsideration and modification)
n. the act of rewriting something"
draft,"n. a document ordering the payment of money; drawn by one person or bank on another
n. a current of air (usually coming into a chimney or room or vehicle)
n. a preliminary sketch of a design or picture
n. a serving of drink (usually alcoholic) drawn from a keg"
numb,"v. make numb or insensitive
s. so frightened as to be unable to move; stunned or paralyzed with terror; petrified"
acknowledge,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority"
as far as one is concerned,none
contradict,"v. be in contradiction with
v. deny the truth of"
autonomous,"s. (of political bodies) not controlled by outside forces
s. existing as an independent entity
s. (of persons) free from external control and constraint in e.g. action and judgment"
occupy,"v. live (in a certain place)
v. occupy the whole of"
be occupied with,none
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
apology,"n. an expression of regret at having caused trouble for someone
n. a formal written defense of something you believe in strongly
n. a poor example"
seminar,"n. any meeting for an exchange of ideas
n. a course offered for a small group of advanced students"
videophone,none
Rugby,n. a form of football played with an oval ball
bachelor,"n. a man who has never been married
v. lead a bachelor's existence"
bachelor's degree,none
routine,"n. an unvarying or habitual method or procedure
n. a set sequence of steps, part of larger computer program"
minibus,n. a light bus (4 to 10 passengers)
optional,a. possible but not necessary; left to personal choice
day in and day out,none
cage,"n. an enclosure made or wire or metal bars in which birds or animals can be kept
n. something that restricts freedom as a cage restricts movement
n. United States composer of avant-garde music (1912-1992)
n. the net that is the goal in ice hockey"
bark,"n. tough protective covering of the woody stems and roots of trees and other woody plants
n. a noise resembling the bark of a dog
n. a sailing ship with 3 (or more) masts
n. the sound made by a dog"
battery,"n. group of guns or missile launchers operated together at one place
n. a device that produces electricity; may have several primary or secondary cells arranged in parallel or series
n. a collection of related things intended for use together
n. a unit composed of the pitcher and catcher"
site,"n. the piece of land on which something is located (or is to be located)
n. physical position in relation to the surroundings"
Julie,none
Abigail,n. A lady's waiting-maid.
drill,"n. a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows)
n. similar to the mandrill but smaller and less brightly colored
n. (military) the training of soldiers to march (as in ceremonial parades) or to perform the manual of arms
v. train in the military, e.g., in the use of weapons"
oilfield,n. a region rich in petroleum deposits (especially one with producing oil wells)
Jamie,none
Sam,n a guided missile fired from land or shipboard against an airborne target
Lima,n. capital and largest city and economic center of Peru; located in western Peru; was capital of the Spanish empire in the New World until the 19th century
Cuzco,n. a town in the Andes in southern Peru; formerly the capital of the Inca empire
the Andes mountains,none
Peru,n. a republic in western South America; achieved independence from Spain in 1821; was the heart of the Inca empire from the 12th to 16th centuries
Lia,none
agent,"n. an active and efficient cause; capable of producing a certain effect
n. a representative who acts on behalf of other persons or organizations
n. a substance that exerts some force or effect
n. a businessman who buys or sells for another in exchange for a commission"
travel agent,none
geographical,"a of or relating to the science of geography
a determined by geography"
parallel,"n. (mathematics) one of a set of parallel geometric figures (parallel lines or planes)
v. be parallel to
v. make or place parallel to something
a. being everywhere equidistant and not intersecting"
Lake Titicaca,none
abundant,a. present in great quantity
Inca,"n. a ruler of the Incas (or a member of his family)
n. a member of the Quechuan people living in the Cuzco valley in Peru
n. the small group of Quechua living in the Cuzco Valley in Peru who established hegemony over their neighbors in order to create an empire that lasted from about 1100 until the Spanish conquest in the early 1530s"
govern,"v. direct or strongly influence the behavior of
v. exercise authority over; as of nations
v. require to be in a certain grammatical case, voice, or mood"
onwards,r in a forward direction
destination,n. the ultimate goal for which something is done
Machu Picchu,none
inn,n a hotel providing overnight lodging for travelers
out of the question,none
hike,"n. a long walk usually for exercise or pleasure
v. increase
v. walk a long way, as for pleasure or physical exercise"
Puno,none
tomb,n a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
the Amazon,none
settle in,none
