acrobatics,"n. the gymnastic moves of an acrobat
n. the performance of stunts while in flight in an aircraft"
rug,n. floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
ventilator,n. a device (such as a fan) that introduces fresh air or expels foul air
vase,n. an open jar of glass or porcelain used as an ornament or to hold flowers
tableware,n. articles for use at the table (dishes and silverware and glassware)
saucer,n. a small shallow dish for holding a cup at the table
fork,"n. cutlery used for serving and eating food
n. the region of the angle formed by the junction of two branches
n. an agricultural tool used for lifting or digging; has a handle and metal prongs
v. place under attack with one's own pieces, of two enemy pieces"
teaspoon,"n. as much as a teaspoon will hold
n. a small spoon used for stirring tea or coffee; holds about one fluid dram"
tablespoon,"n. as much as a tablespoon will hold
n. a spoon larger than a dessert spoon; used for serving"
chopsticks,n one of a pair of slender sticks used as oriental tableware to eat food with
teapot,n. pot for brewing tea; usually has a spout and handle
napkin,n. a small piece of table linen that is used to wipe the mouth and to cover the lap in order to protect clothing
toothpick,n. pick consisting of a small strip of wood or plastic; used to pick food from between the teeth
bill,"n. a statute in draft before it becomes law
n. an itemized statement of money owed for goods shipped or services rendered
n. a piece of paper money (especially one issued by a central bank)
n. the entertainment offered at a public presentation"
receipt,"n. an acknowledgment (usually tangible) that payment has been made
v. mark or stamp as paid"
thermos flask,none
central heating system,none
floor lamp,none
lamp shade,n. a protective ornamental shade used to screen a light bulb from direct view
flower arrangement,none
tea cup,"n. as much as a teacup will hold
n. a cup from which tea is drunk"
soup plate,none
coffee-pot,n. tall pot in which coffee is brewed
table cloth,n. a covering spread over a dining table
fierce,s. marked by extreme intensity of emotions or convictions; inclined to react violently; fervid
require intelligence,none
physical health,none
make people stronger,none
cooperate with each other,none
follow rules of games,none
childish and ridiculous,none
have their game time,none
have strong competition,none
play marbles,none
computer games,none
leave deep traces,none
conduct their behaviors,none
jumping rope,none
play hopscotch,none
Bungee jumping,none
play tag,none
play with dibs,none
play with doll's house,none
play marbles,none
play with magic cubes,none
play with plasticene,none
spin top,none
perfume,"n. a toiletry that emits and diffuses a fragrant odor
v. fill or impregnate with an odor
v. apply perfume to"
lighter,"n. a device for lighting or igniting fuel or charges or fires
v. transport in a flatbottom boat"
magazine,"n. a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it
n. product consisting of a paperback periodic publication as a physical object
n. a business firm that publishes magazines
n. a light-tight supply chamber holding the film and supplying it for exposure as required"
appliance,"n. a device or control that is very useful for a particular job
n. durable goods for home or office use"
tie,"n. equality of score in a contest
n. a horizontal beam used to prevent two other structural members from spreading apart or separating
n. (music) a slur over two notes of the same pitch; indicates that the note is to be sustained for their combined time value
n. one of the cross braces that support the rails on a railway track"
belt,"n. endless loop of flexible material between two rotating shafts or pulleys
n. a band to tie or buckle around the body (usually at the waist)
n. an elongated region where a specific condition or characteristic is found
n. ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun"
razor,"n. edge tool used in shaving
v. shave with a razor"
sports-wear,n. attire worn for sport or for casual wear
watch,"n. a small portable timepiece
n. a period of time (4 or 2 hours) during which some of a ship's crew are on duty
n. a purposeful surveillance to guard or observe
n. the period during which someone (especially a guard) is on duty"
cosmetics,n a toiletry designed to beautify the body
jewelry,n. an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems)
survive,"v. continue to live through hardship or adversity
v. continue in existence after (an adversity, etc.)"
shelter,"n. a structure that provides privacy and protection from danger
n. protective covering that provides protection from the weather
n. temporary housing for homeless or displaced persons
v. provide shelter for"
advice,n. a proposal for an appropriate course of action
beggar,"n. a pauper who lives by begging
v. be beyond the resources of
v. reduce to beggary"
help the poor,none
government grants,none
satisfy basic needs,none
working opportunities,none
minimum income,none
Red Cross,none
charity organization,none
receive donations,none
be distributed to those in need,none
entertainment activities,none
lack information,none
support themselves,none
relaxed and peaceful,none
fall sick,none
financial support,none
donate money,none
natural disaster,none
pagoda,n. an Asian temple; usually a pyramidal tower with an upward curving roof
temple,"n. place of worship consisting of an edifice for the worship of a deity
n. the flat area on either side of the forehead
n. an edifice devoted to special or exalted purposes"
storey,n a structure consisting of a room or set of rooms at a single position along a vertical scale
litter,"n. the offspring at one birth of a multiparous mammal
n. rubbish carelessly dropped or left about (especially in public places)
n. conveyance consisting of a chair or bed carried on two poles by bearers
v. strew"
preservation,"n. the activity of protecting something from loss or danger
n. the condition of being (well or ill) preserved
n. a process that saves organic substances from decay"
tripod,n. a three-legged rack used for support
interesting building,none
Buddha statue,none
white marble,none
different shape,none
elegant and stately,none
ethnic style,none
tourism facilities,none
witnesses of history,none
increase the tourism,none
local economy,none
increase income,none
scribble names,none
national treasure,none
singing,n. the act of singing vocal music
drawing,"n. an illustration that is drawn by hand and published in a book, magazine, or newspaper
n. a representation of forms or objects on a surface by means of lines
n. the creation of artistic pictures or diagrams
n. act of getting or draining something such as electricity or a liquid from a source"
consume,"v. serve oneself to, or consume regularly
v. spend extravagantly
v. destroy completely
v. use up (resources or materials)"
spoil,"n. (usually plural) valuables taken by violence (especially in war)
n. the act of spoiling something by causing damage to it
n. the act of stripping and taking by force
v. become unfit for consumption or use"
physical exercise,none
broaden our eyesight,none
spare time,none
release stress,none
enrich spare time,none
happiness,"n. state of well-being characterized by emotions ranging from contentment to intense joy
n. emotions experienced when in a state of well-being"
participant,n. someone who takes part in an activity
destination,n. the ultimate goal for which something is done
journey,n. the act of traveling from one place to another
coastline,n. the outline of a coast
perfect,"v. make perfect or complete
a. being complete of its kind and without defect or blemish
s. precisely accurate or exact"
drizzle,"n. very light rain; stronger than mist but less than a shower
v. rain lightly
v. moisten with fine drops"
collapse,"n. an abrupt failure of function or complete physical exhaustion
n. a natural event caused by something suddenly falling down or caving in
v. break down, literally or metaphorically
v. fold or close up"
scream,"n. sharp piercing cry
v. make a loud, piercing sound"
birdcage,n. a cage in which a bird can be kept
fog,"n. droplets of water vapor suspended in the air near the ground
n. an atmosphere in which visibility is reduced because of a cloud of some substance"
local people,none
challenge,"n. a demanding or stimulating situation
n. a call to engage in a contest or fight
n. questioning a statement and demanding an explanation
n. a formal objection to the selection of a particular person as a juror"
protection,"n. the activity of protecting someone or something
n. the condition of being protected
n. the imposition of duties or quotas on imports in order to protect domestic industry against foreign competition
n. payment extorted by gangsters on threat of violence"
fun,"n. activities that are enjoyable or amusing
n. verbal wit or mockery (often at another's expense but not to be taken seriously)
n. violent and excited activity"
ban,"n. 100 bani equal 1 leu in Moldova
n. 100 bani equal 1 leu in Romania
n. an official prohibition or edict against something
v. forbid the public distribution of ( a movie or a newspaper)"
facility,"n. a building or place that provides a particular service or is used for a particular industry
n. a natural effortlessness
n. something designed and created to serve a particular function and to afford a particular convenience or service
n. a service that an organization or a piece of equipment offers you"
survival,"n. a state of surviving; remaining alive
n. a natural process resulting in the evolution of organisms best adapted to the environment
n. something that survives"
adventure,n. a wild and exciting undertaking (not necessarily lawful)
potential,"n. the inherent capacity for coming into being
a. existing in possibility"
efficiency,"n. the ratio of the output to the input of any system
n. skillfulness in avoiding wasted time and effort"
ambition,"n. a cherished desire
n. a strong drive for success
v. have as one's ambition"
motivate,v. give an incentive for action
accident,"n. an unfortunate mishap; especially one causing damage or injury
n. anything that happens suddenly or by chance without an apparent cause"
enlighten,"v. make understand
v. give spiritual insight to; in religion"
confidence,"n. a feeling of trust (in someone or something)
n. a state of confident hopefulness that events will be favorable
n. a trustful relationship
n. a secret that is confided or entrusted to another"
creativity,n. the ability to create
opportunity,n. a possibility due to a favorable combination of circumstances
ability,"n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
n. possession of the qualities (especially mental qualities) required to do something or get something done"
goal,"n. the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it
n. game equipment consisting of the place toward which players of a game try to advance a ball or puck in order to score points
n. a successful attempt at scoring"
achieve,v. to gain with effort
stimulate,"v. act as a stimulant
v. stir the feelings, emotions, or peace of
v. cause to be alert and energetic
v. stir feelings in"
bossy,s offensively self-assured or given to exercising usually unwarranted power
consult,"v. get or ask advice from
v. seek information from
v. advise professionally"
recommend,"v. push for something
v. make attractive or acceptable"
freedom,n. the condition of being free; the power to act or speak or think without externally imposed restraints
naive,"a. marked by or showing unaffected simplicity and lack of guile or worldly experience
s. inexperienced"
successful,a. having succeeded or being marked by a favorable outcome
nostalgic,s. unhappy about being away and longing for familiar things or persons
mature,"v. develop and reach maturity; undergo maturation
v. develop and work out fully in one's mind
v. become due for repayment
a. characteristic of maturity"
deep impression,none
feel tired and reluctant,none
overcome difficulty,none
feel exhausted,none
prolong time of holidays,none
stimulate development of economy,none
scenic spots,none
local economy,none
take measures to,none
tertiary industry,none
prosperity of local economy,none
cause environmental pollution,none
spoil natural scenery,none
visit from others,none
wander around,none
explore the city,none
go boating,none
see sculptures and lanterns,none
bring tea,none
cultural shock,none
misunderstanding,"n putting the wrong interpretation on
n an understanding of something that is not correct
v interpret in the wrong way"
feel uncomfortable,none
western style,none
show ... around the city,none
taste traditional food,none
inland people,none
sigh of relief,none
dangerous adventure activities,none
mountain climbing,none
extreme games,none
excitement of life,none
professional skill,none
enjoy crazy games,none
go bungee jumping,none
killing game,none
perseverance,n. the act of persisting or persevering; continuing or repeating behavior
lose confidence,none
analyze situation,none
solve the problem,none
gain experience,none
feel bored,none
influence on adults,none
ups and downs,none
complex world,none
have high expectations,none
cause psychological problems,none
make greater achievement,none
safety and security,none
crime rate,none
peaceful world,none
positive ideas,none
do morning exercise,none
environmental pollution,none
equal working opportunities,none
burden of housework,none
domestic violence,none
protect rights of women,none
people's value,none
extended families,none
nuclear families,none
DINK families,none
win scholarship,none
fulfill a design,none
devote to,none
great success,none
be rewarded scholarship,none
necessities of success,none
hard working,-ing form of hard-work
feel satisfied,none
recent success,none
make the decision,none
analyze the advantages and disadvantages,none
interfere with,none
leaves a trace,none
happy childhood,none
healthy lifestyle,none
mental ability,none
learn musical instruments,none
sauna,n. a Finnish steam bath; steam is produced by pouring water over heated rocks
furnishing,"n. (usually plural) accessory wearing apparel
n. (usually plural) the instrumentalities (furniture and appliances and other movable accessories including curtains and rugs) that make a home (or other area) livable
n. the act of decorating a house or room"
receptionist,n. a secretary whose main duty is to answer the telephone and receive visitors
suitcase,n a portable rectangular container for carrying clothes
entrance,"n. something that provides access (to get in or get out)
n. a movement into or inward
n. the act of entering
v. put into a trance"
lobby,"n. the people who support some common cause or business or principle or sectional interest
n. a group of people who try actively to influence legislation
v. detain in conversation by or as if by holding on to the outer garments of; as for political or economic favors"
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
corridor,n. an enclosed passageway; rooms usually open onto it
verandah,n a porch along the outside of a building (sometimes partly enclosed)
staircase,n a way of access (upward and downward) consisting of a set of steps
elevator,"n. lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building
n. the airfoil on the tailplane of an aircraft that makes it ascend or descend"
lift,"n. the act of giving temporary assistance
n. a wave that lifts the surface of the water or ground
n. a device worn in a shoe or boot to make the wearer look taller or to correct a shortened leg
n. one of the layers forming the heel of a shoe or boot"
buffet,"n. a piece of furniture that stands at the side of a dining room; has shelves and drawers
n. a meal set out on a buffet at which guests help themselves
v. strike against forcefully
v. strike, beat repeatedly"
fountain,"n. a structure from which an artificially produced jet of water arises
n. an artificially produced flow of water
n. a plumbing fixture that provides a flow of water"
courtyard,n an area wholly or partly surrounded by walls or buildings
penthouse,n. an apartment located on the top floors of a building
presidential suite,none
suite,"n. a musical composition of several movements only loosely connected
n. apartment consisting of a series of connected rooms used as a living unit (as in a hotel)
n. a matching set of furniture"
standard room,none
bathtub,n. a relatively large open container that you fill with water and use to wash the body
basin,"n. a bowl-shaped vessel; usually used for holding food or liquids
n. the quantity that a basin will hold
n. a natural depression in the surface of the land often with a lake at the bottom of it"
bathrobe,n. a loose-fitting robe of towelling; worn after a bath or swim
curtain,"n. hanging cloth used as a blind (especially for a window)
n. any barrier to communication or vision
v. provide with drapery"
shutter,"n. a mechanical device on a camera that opens and closes to control the time of a photographic exposure
n. a hinged blind for a window
v. close with shutters"
blind,"n. people who have severe visual impairments, considered as a group
n. a hiding place sometimes used by hunters (especially duck hunters)
n. a protective covering that keeps things out or hinders sight
v. render unable to see"
5-star hotel,none
fitness center,none
business center,none
beauty salon,none
health club,none
conference room,none
massage service,none
taxi service,none
gift shop,none
indoor swimming pool,none
steam bath,none
banquet hall,none
information desk,none
hotel register,none
cloak room,"n. a private lounge off of a legislative chamber
n. a room where coats and other articles can be left temporarily"
news-stand,n. a stall where newspapers and other periodicals are sold
roof garden,none
single room,none
double room,none
twin-bed room,none
deluxe suite,none
window-sill,n. the sill of a window; the horizontal member at the bottom of the window frame
dressing-table,none
clothes-hanger,none
fitness room,none
billiard room,none
give the morning call,none
do the laundry,none
hammock,n. a hanging bed of canvas or rope netting (usually suspended between two trees); swings easily
washroom,n. a lavatory (particularly a lavatory in a public place)
toilet,"n. a room or building equipped with one or more toilets
n. a plumbing fixture for defecation and urination
n. the act of dressing and preparing yourself"
lavatory,"n a room or building equipped with one or more toilets
n a bathroom sink that is permanently installed and connected to a water supply and drainpipe; where you can wash your hands and face
n a toilet that is cleaned of waste by the flow of water through it"
shower bath,none
shower,"n. a plumbing fixture that sprays water over you
n. washing yourself by standing upright under water sprayed from a nozzle
n. a brief period of precipitation
n. a sudden downpour (as of tears or sparks etc) likened to a rain shower"
nailbrush,n. a brush used to clean a person's fingernails
faucet,n. a regulator for controlling the flow of a liquid from a reservoir
kitchen,n. a room equipped for preparing meals
living room,n a room in a private house or establishment where people can sit and talk and relax
sitting,"n. (photography) the act of assuming a certain position (as for a photograph or portrait)
n. the act of assuming or maintaining a seated position
n. a session as of a legislature or court"
parlour,"n reception room in an inn or club where visitors can be received
n a room in a private house or establishment where people can sit and talk and relax"
parlor,n. reception room in an inn or club where visitors can be received
studio,"n. workplace for the teaching or practice of an art
n. workplace consisting of a room or building where movies or television shows or radio programs are produced and recorded"
library,"n. a room where books are kept
n. a collection of literary documents or records kept for reference or borrowing
n. a depository built to contain books and other materials for reading and study
n. (computing) a collection of standard programs and subroutines that are stored and available for immediate use"
bedroom,n. a room used primarily for sleeping
lavatory,"n a room or building equipped with one or more toilets
n a bathroom sink that is permanently installed and connected to a water supply and drainpipe; where you can wash your hands and face
n a toilet that is cleaned of waste by the flow of water through it"
storeroom,n. a room in which things are stored
basement,"n. the lowermost portion of a structure partly or wholly below ground level; often used for storage
n. the ground floor facade or interior in Renaissance architecture"
attic,"n. the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia
n. informal terms for a human head
n. (architecture) a low wall at the top of the entablature; hides the roof
a. of or relating to Attica or its inhabitants or to the dialect spoken in Athens in classical times"
loft,"n. floor consisting of a large unpartitioned space over a factory or warehouse or other commercial space
n. floor consisting of open space at the top of a house just below roof; often used for storage
n. (golf) the backward slant on the head of some golf clubs that is designed to drive the ball high in the air
n. a raised shelter in which pigeons are kept"
courtyard,n an area wholly or partly surrounded by walls or buildings
backyard,n. the grounds in back of a house
garden,"n. a plot of ground where plants are cultivated
n. the flowers or vegetables or fruits or herbs that are cultivated in a garden
n. a yard or lawn adjoining a house
v. work in the garden"
lawn,n. a field of cultivated and mowed grass
hotel,n. a building where travelers can pay for lodging and meals and other services
attendant,"n. someone who waits on or tends to or attends to the needs of another
n. a person who is present and participates in a meeting
s. being present (at meeting or event etc.) ""attendant members of the congreation""
s. following or accompanying as a consequence"
hotel boy,none
water bed," A kind of mattress made of, or covered with, waterproof
   fabric and filled with water. It is used in hospitals for bedridden
   patients."
shower curtain,none
soap dish,none
towel rail,none
bath sponge,none
back brush,none
massage brush,none
hair brush,n. a brush used to groom a person's hair
tooth brush,n. small brush; has long handle; used to clean teeth
tooth paste,n. a dentifrice in the form of a paste
toilet paper,none
pipe-line gas,none
fire extinguisher,none
front room,none
reception room,none
dining room,n a room used for dining
spare room,none
reception desk,none
hotel manager,none
desk clerk,none
hotel vestibule,none
wash,"n. a thin coat of water-base paint
n. the work of cleansing (usually with soap and water)
n. the dry bed of an intermittent stream (as at the bottom of a canyon)
n. a watercolor made by applying a series of monochrome washes one over the other"
clean,"v. make clean by removing dirt, filth, or unwanted substances from
v. remove unwanted substances from, such as feathers or pits
v. be cleanable
v. deprive wholly of money in a gambling game, robbery, etc."
scrub,"n. dense vegetation consisting of stunted trees or bushes
n. the act of cleaning a surface by rubbing it with a brush and soap and water
v. clean with hard rubbing
v. wash thoroughly"
sponge,"n. a porous mass of interlacing fibers that forms the internal skeleton of various marine animals and usable to absorb water or any porous rubber or cellulose product similarly used
n. primitive multicellular marine animal whose porous body is supported by a fibrous skeletal framework; usually occurs in sessile colonies
v. wipe with a sponge, so as to clean or moisten
v. erase with a sponge; as of words on a blackboard"
wipe,v. rub with a circular motion
dry-clean,none
iron,"n. a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood
n. a golf club that has a relatively narrow metal head
n. implement used to brand live stock
n. home appliance consisting of a flat metal base that is heated and used to smooth cloth"
polish,"n. the property of being smooth and shiny
n. a highly developed state of perfection; having a flawless or impeccable quality
n. a preparation used in polishing
n. the Slavic language of Poland"
tidy,"n. receptacle that holds odds and ends (as sewing materials)
v. put (things or places) in order
a. marked by order and cleanliness in appearance or habits"
balcony,"n. an upper floor projecting from the rear over the main floor in an auditorium
n. a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet"
bedroom,n. a room used primarily for sleeping
bathroom,n. a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
study,"n. applying the mind to learning and understanding a subject (especially by reading)
n. a state of deep mental absorption
n. a room used for reading and writing and studying
n. someone who memorizes quickly and easily (as the lines for a part in a play)"
attic,"n. the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia
n. informal terms for a human head
n. (architecture) a low wall at the top of the entablature; hides the roof
a. of or relating to Attica or its inhabitants or to the dialect spoken in Athens in classical times"
basement,"n. the lowermost portion of a structure partly or wholly below ground level; often used for storage
n. the ground floor facade or interior in Renaissance architecture"
hall,"n. a large room for gatherings or entertainment
n. English writer whose novel about a lesbian relationship was banned in Britain for many years (1883-1943)
n. United States child psychologist whose theories of child psychology strongly influenced educational psychology (1844-1924)
n. United States chemist who developed an economical method of producing aluminum from bauxite (1863-1914)"
porch,n. a structure attached to the exterior of a building often forming a covered entrance
playroom,n a recreation room for noisy activities (parties or children's play etc)
furniture,n. furnishings that make a room or other area ready for occupancy
carpet,"n. a natural object that resembles or suggests a carpet
v. form a carpet-like cover (over)
v. cover completely, as if with a carpet
v. cover with a carpet"
armchair,n. chair with a support on each side for arms
drape,"n. the manner in which fabric hangs or falls
n. a sterile covering arranged over a patient's body during a medical examination or during surgery in order to reduce the possibility of contamination
v. arrange in a particular way
v. place casually"
fridge,n a refrigerator in which the coolant is pumped around by an electric motor
sink,"n. plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
n. (technology) a process that acts to absorb or remove energy or a substance from a system
v. fall or descend to a lower place or level
v. cause to sink"
tap,"n. a small metal plate that attaches to the toe or heel of a shoe (as in tap dancing)
n. a tool for cutting female (internal) screw threads
n. a plug for a bunghole in a cask
n. a light touch or stroke"
stool,"n. a simple seat without a back or arms
n. (forestry) the stump of a tree that has been felled or headed for the production of saplings
v. lure with a stool, as of wild fowl
v. react to a decoy, of wildfowl"
cooker,n. a utensil for cooking
oven,n. kitchen appliance used for baking or roasting
cupboard,n. a small room (or recess) or cabinet used for storage space
kettle,"n. a metal pot for stewing or boiling; usually has a lid
n. the quantity a kettle will hold
n. a large hemispherical brass or copper percussion instrument with a drumhead that can be tuned by adjusting the tension on it"
saucepan,n. a deep pan with a handle; used for stewing or boiling
range hood,none
collapse,"n. an abrupt failure of function or complete physical exhaustion
n. a natural event caused by something suddenly falling down or caving in
v. break down, literally or metaphorically
v. fold or close up"
shelter,"n. a structure that provides privacy and protection from danger
n. protective covering that provides protection from the weather
n. temporary housing for homeless or displaced persons
v. provide shelter for"
bamboo,"n. the hard woody stems of bamboo plants; used in construction and crafts and fishing poles
n. woody tropical grass having hollow woody stems; mature canes used for construction and furniture"
roof,"n. a protective covering that covers or forms the top of a building
n. protective covering on top of a motor vehicle
n. the inner top surface of a covered area or hollow space
v. provide a building with a roof; cover a building with a roof"
slope,"n. an elevated geological formation
v. be at an angle"
lifestyle,n a manner of living that reflects the person's values and attitudes
inherit,"v. obtain from someone after their death
v. receive from a predecessor
v. receive by genetic transmission"
rhythm,"n. the basic rhythmic unit in a piece of music
n. recurring at regular intervals
n. the arrangement of spoken words alternating stressed and unstressed elements"
decoration,"n. something used to beautify
n. an award for winning a championship or commemorating some other event
n. the act of decorating something (in the hope of making it more attractive)"
bungalow,n. a small house with a single story
bathroom,n. a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
comfortable,"a. providing or experiencing physical well-being or relief (`comfy' is informal)
a. free from stress or conducive to mental ease; having or affording peace of mind
s. more than adequate
s. sufficient to provide comfort"
sunshine,"n the rays of the sun
n moderate weather; suitable for outdoor activities
n the quality of being cheerful and dispelling gloom"
homeless,"n. someone unfortunate without housing
n. poor people who unfortunately do not have a home to live in
s. without nationality or citizenship"
dining room,n a room used for dining
utility room,none
spare room,none
CD player,none
hi-fi,n. equipment for the reproduction of sound with high fidelity
stereo system,none
coffee table,none
remote control,none
food mixer,none
frying pan,none
chest of drawers,none
tear down,none
construction material,none
clay or hay,none
night life,"n. the entertainment available to people seeking nighttime diversion
n. the activity of people seeking nighttime diversion (as at the theater, a nightclub, etc.)"
spacious rooms,none
noisy community,none
rules and regulations,none
different habits,none
living room,n a room in a private house or establishment where people can sit and talk and relax
fresh air,none
living space,none
large population,none
control population,none
skyscrapers,n. a very tall building with many stories
accommodate more people,none
lamp,"n. an artificial source of visible illumination
n. a piece of furniture holding one or more electric light bulbs"
pillow,"n. a cushion to support the head of a sleeping person
v. rest on or as if on a pillow"
wardrobe,"n. a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes
n. collection of clothing belonging to one person
n. collection of costumes belonging to a theatrical company"
bath,"n. a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it)
n. you soak and wash your body in a bathtub
n. an ancient Hebrew liquid measure equal to about 10 gallons
n. a town in southwestern England on the River Avon; famous for its hot springs and Roman remains"
shower,"n. a plumbing fixture that sprays water over you
n. washing yourself by standing upright under water sprayed from a nozzle
n. a brief period of precipitation
n. a sudden downpour (as of tears or sparks etc) likened to a rain shower"
towel,"n. a rectangular piece of absorbent cloth (or paper) for drying or wiping
v. wipe with a towel"
mirror,"n. polished surface that forms images by reflecting light
n. a faithful depiction or reflection
v. reflect as if in a mirror
v. reflect or resemble"
washbasin,"n. a bathroom sink that is permanently installed and connected to a water supply and drainpipe; where you can wash your hands and face
n. a basin for washing the hands (`wash-hand basin' is a British expression)"
ceiling,"n. the overhead upper surface of a covered space
n. (meteorology) altitude of the lowest layer of clouds
n. an upper limit on what is allowed
n. maximum altitude at which a plane can fly (under specified conditions)"
heater,n. device that heats water or supplies warmth to a room
electricity,"n. a physical phenomenon associated with stationary or moving electrons and protons
n. energy made available by the flow of electric charge through a conductor
n. keen and shared excitement"
alarm clock,none
rocking chair,none
modern facility,none
air-conditioner,none
flowers,"n a plant cultivated for its blooms or blossoms
n reproductive organ of angiosperm plants especially one having showy or colorful parts
n the period of greatest prosperity or productivity
v produce or yield flowers"
narcissus,"n. bulbous plant having erect linear leaves and showy yellow or white flowers either solitary or in clusters
n. (Greek mythology) a beautiful young man who fell in love with his own reflection"
daisy,n. any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl
orchid,n. any of numerous plants of the orchid family usually having flowers of unusual shapes and beautiful colors
carnation,"n. Eurasian plant with pink to purple-red spice-scented usually double flowers; widely cultivated in many varieties and many colors
n. a pink or reddish-pink color
s. pink or pinkish"
sunflower,n. any plant of the genus Helianthus having large flower heads with dark disk florets and showy yellow rays
dandelion,n. any of several herbs of the genus Taraxacum having long tap roots and deeply notched leaves and bright yellow flowers followed by fluffy seed balls
forget-me-not,n. small perennial herb having bright blue or white flowers
gypsophila,n. Mediterranean herbs having small white or pink flowers
yellow rose,none
water lily,none
open a new business,none
happy atmosphere,none
cozy and romantic,none
botanic garden,none
buttercup,n. any of various plants of the genus Ranunculus
lily,n. any liliaceous plant of the genus Lilium having showy pendulous flowers
tulip,n. any of numerous perennial bulbous herbs having linear or broadly lanceolate leaves and usually a single showy flower
violet,"n. any of numerous low-growing violas with small flowers
n. a variable color that lies beyond blue in the spectrum"
chrysanthemum,"n. the flower of a chrysanthemum plant
n. any of numerous perennial Old World herbs having showy brightly colored flower heads of the genera Chrysanthemum, Argyranthemum, Dendranthema, Tanacetum; widely cultivated"
snowdrop,n common anemone of eastern North America with solitary pink-tinged white flowers
lilac,n. any of various plants of the genus Syringa having large panicles of usually fragrant flowers
jasmine,n. any of several shrubs and vines of the genus Jasminum chiefly native to Asia
peony,n. any of numerous plants widely cultivated for their showy single or double red or pink or white flowers
cactus,n. any succulent plant of the family Cactaceae native chiefly to arid regions of the New World and usually having spines
camellia,n. any of several shrubs or small evergreen trees having solitary white or pink or reddish flowers
plum blossom,none
peach blossom,none
cherry blossom,none
mandarin,"n. shrub or small tree having flattened globose fruit with very sweet aromatic pulp and thin yellow-orange to flame-orange rind that is loose and easily removed; native to southeastern Asia
n. a member of an elite intellectual or cultural group
n. any high government official or bureaucrat
n. a high public official of imperial China"
Cantonese,n the dialect of Chinese spoken in Canton and neighboring provinces and in Hong Kong and elsewhere outside China
vivid,s. having the clarity and freshness of immediate experience
vocabulary,"n. a listing of the words used in some enterprise
n. a language user's knowledge of words
n. the system of techniques or symbols serving as a means of expression (as in arts or crafts)"
communicate,"v. transmit information
v. transmit thoughts or feelings
v. join or connect
v. be in verbal contact; interchange information or ideas"
dialect,n. the usage or vocabulary that is characteristic of a specific group of people
native language,none
local dialect,none
memorize words,none
memory,"n. something that is remembered
n. the cognitive processes whereby past experience is remembered
n. the power of retaining and recalling past experience
n. an electronic memory device"
importance of English,none
tell English stories,none
arouse the interest,none
useful for communication,none
grasp the language,none
native speakers,plural of native-speaker
English speaking environment,none
required course,none
language intuition,none
world peace,none
Science of Law,none
Legal History,none
Constitutional Law and Administrative Law,none
Science of Procedure Laws,none
Science of Economic Law,none
International Law,none
Science of Military Law,none
Criminal Law,none
Administrative Law,none
Civil Law,none
Commercial Law,none
Natural Law,none
Labour Law,none
Fiscal Law,none
Military Law,none
Copyright Law,none
civil rights,plural of civil-right
customs duties,none
death duty,none
death tax,none
royalty,"n. payment to the holder of a patent or copyright or resource for the right to use their property
n. royal persons collectively"
draft,"n. a document ordering the payment of money; drawn by one person or bank on another
n. a current of air (usually coming into a chimney or room or vehicle)
n. a preliminary sketch of a design or picture
n. a serving of drink (usually alcoholic) drawn from a keg"
government bill,none
pass a bill,none
carry a bill,none
enact a law,none
promulgate a law,none
law enforcement,none
come into force,none
legislation,"n. law enacted by a legislative body
n. the act of making or enacting laws"
legislator,n. someone who makes or enacts laws
legality,n. lawfulness by virtue of conformity to a legal statute
lawfulness,n. the quality of conforming to law
legal,"a. established by or founded upon law or official or accepted rules
a. of or relating to jurisprudence
s. having legal efficacy or force
a. relating to or characteristic of the profession of law"
lawful,"a. conformable to or allowed by law
s. according to custom or rule or natural law
s. authorized, sanctioned by, or in accordance with law"
contravene a law,none
infringe a law,none
break a law,none
outlaw,v. declare illegal; outlaw
outside the law,none
abolish,v. do away with
immunity,"n. (medicine) the condition in which an organism can resist disease
n. the quality of being unaffected by something"
vision,"n. a vivid mental image
n. the perceptual experience of seeing
n. a religious or mystical experience of a supernatural appearance"
practical ideas,none
