abdomen,n. the region of the body of a vertebrate between the thorax and the pelvis
hilarious,s. marked by or causing boisterous merriment or convulsive laughter
paramount,s having superior power and influence
recede,v. become faint or more distant
rife,"s most frequent or common
s excessively abundant"
spontaneous,a. happening or arising without apparent external cause
tenuous,"s. having thin consistency
s. very thin in gauge or diameter"
acme,n. the highest level or degree attainable; the highest stage of development
candor,n. the quality of being honest and straightforward in attitude and speech
dissuade,v. turn away from by persuasion
gratuitous,"s. without cause
s. unnecessary and unwarranted"
impeach,"v. challenge the honesty or veracity of
v. charge (a public official) with an offense or misdemeanor committed while in office"
ostensible,s. represented or appearing as such; pretended
paltry,"s not worth considering
s contemptibly small in amount"
sordid,s. meanly avaricious and mercenary
tidy,"n. receptacle that holds odds and ends (as sewing materials)
v. put (things or places) in order
a. marked by order and cleanliness in appearance or habits"
aloof,"s. remote in manner
r. in an aloof manner"
cardinal,"n. (Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes
n. a variable color averaging a vivid red
n. crested thick-billed North American finch having bright red plumage in the male
s. serving as an essential component"
drab,"s. lacking in liveliness or charm or surprise
s. lacking brightness or color; dull"
feud,"n. a bitter quarrel between two parties
v. carry out a feud"
insolent,"s marked by casual disrespect
s unrestrained by convention or propriety"
mitigate,v. make less severe or harsh
pertinent,s. having precise or logical relevance to the matter at hand
predecessor,n. one who precedes you in time (as in holding a position or office)
tardy,s after the expected or usual time; delayed
whet,"v. make keen or more acute
v. sharpen by rubbing, as on a whetstone"
acquit,v. pronounce not guilty of criminal charges
brittle,"n. caramelized sugar cooled in thin sheets
s. having little elasticity; hence easily cracked or fractured or snapped
s. lacking warmth and generosity of spirit
s. (of metal or glass) not annealed and consequently easily cracked or fractured"
detract,v take away a part from; diminish
extirpate,v. surgically remove (an organ)
indulgent,"a. characterized by or given to yielding to the wishes of someone
s. tolerant or lenient
s. being favorably inclined"
mendacious,"s. given to lying
s. intentionally untrue"
plausible,"a. apparently reasonable and valid, and truthful
s. given to or characterized by presenting specious arguments"
sanction,"n. formal and explicit approval
n. a mechanism of social control for enforcing a society's standards
n. the act of final authorization
v. give authority or permission to"
shallow,"v. make shallow
v. become shallow
a. lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center
a. not deep or strong; not affecting one deeply"
verge,"n. the limit beyond which something happens or changes
n. a grass border along a road
v. border on; come close to"
adjacent,"s. nearest in space or position; immediately adjoining without intervening space
s. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""
s. near or close to but not necessarily touching"
calamity,n. an event resulting in great loss and misfortune
devastate,v. overwhelm or overpower
exultant,s. joyful and proud especially because of triumph or success
inexhaustible,"s. that cannot be entirely consumed or used up
a. incapable of being entirely consumed or used up"
maudlin,s effusively or insincerely emotional
plunder,v. steal goods; take as spoils
scrupulous,a. having scruples; arising from a sense of right and wrong; principled
sundry,s consisting of a haphazard assortment of different kinds
zealous,s marked by active interest and enthusiasm
altruistic,a. showing unselfish concern for the welfare of others
clamor,"n. loud and persistent outcry from many people
v. make loud demands
v. utter or proclaim insistently and noisily"
disintegrate,"v. break into parts or components or lose cohesion or unity
v. cause to undergo fission or lose particles
v. lose a stored charge, magnetic flux, or current"
forebear,n. a person from whom you are descended
intact,"s. (of a woman) having the hymen unbroken
s. undamaged in any way"
molest,v. harass or assault sexually; make indecent advances to
profuse,s produced or growing in extreme abundance
slack,"n. dust consisting of a mixture of small coal fragments and coal dust and dirt that sifts out when coal is passed over a sieve
n. a stretch of water without current or movement
n. the quality of being loose (not taut)
n. a cord or rope or cable that is hanging loosely"
tart,"n. a small open pie with a fruit filling
n. a pastry cup with a filling of fruit or custard and no top crust"
viable,s. capable of life or normal growth and development
aslant,"s. having an oblique or slanted direction
r. over or across in a slanting direction"
concede,"v. admit (to a wrongdoing)
v. be willing to concede
v. give over; surrender or relinquish to the physical control of another
v. acknowledge defeat"
distrust,"n. the trait of not trusting others
v. regard as untrustworthy; regard with suspicion; have no faith or confidence in"
groggy,s stunned or confused and slow to react (as from blows or drunkenness or exhaustion)
intrepid,s invulnerable to fear or intimidation
overbearing,"v overcome
v bear too much
v contract the abdominal muscles during childbirth to ease delivery
s expecting unquestioning obedience
s having or showing arrogant superiority to and disdain of those one views as unworthy"
rash,"n. any red eruption of the skin
n. a series of unexpected and unpleasant occurrences
s. imprudently incurring risk"
sporadic,a. recurring in scattered and irregular or unpredictable instances
toxic,a. of or relating to or caused by a toxin or poison
avert,v. turn away or aside
deduce,"v. reason by deduction; establish by deduction
v. conclude by reasoning; in logic"
embark,"v. go on board
v. set out on (an enterprise or subject of study)"
humiliate,v. cause to feel shame; hurt the pride of
jovial,s full of or showing high-spirited merriment
pastime,n. a diversion that occupies one's time and thoughts (usually pleasantly)
renounce,"v give up, such as power, as of monarchs and emperors, or duties and obligations
v leave (a job, post, or position) voluntarily
v turn away from; give up
v cast off"
snug,"s. offering safety; well protected or concealed
s. well and tightly constructed"
umpteen,s. innumerable but many
blur,"n. a hazy or indistinct representation
v. to make less distinct or clear
v. make dim or indistinct
v. become vague or indistinct"
demolish,"v. destroy completely
v. defeat soundly"
enslave,v. make a slave of; bring into servitude
impede,v. be a hindrance or obstacle to
lull,"n. a period of calm weather
v. calm by deception
v. become quiet or less intensive"
plaintiff,n. a person who brings an action in a court of law
robust,"a. sturdy and strong in form, constitution, or construction
s. strong enough to withstand or overcome intellectual challenges or adversity
s. rough and crude"
strenuous,s. characterized by or performed with much energy or force
vitiate,"v corrupt morally or by intemperance or sensuality
v make imperfect
v take away the legal force of or render ineffective"
aggrieve,v. infringe on the rights of
callous,"v. make insensitive or callous; deaden feelings or morals
s. emotionally hardened"
disapprove,"v. consider bad or wrong
v. deem wrong or inappropriate"
fabulous,"s. extremely pleasing
s. based on or told of in traditional stories; lacking factual basis or historical validity
s. barely credible"
infuriate,v. make furious
mordant,n. a substance used to treat leather or other materials before dyeing; aids in dyeing process
prowess,n a superior skill that you can learn by study and practice and observation
subversive,"n a radical supporter of political or social revolution
s in opposition to a civil authority or government"
temporary,"n a worker (especially in an office) hired on a temporary basis
a not permanent; not lasting
s lacking continuity or regularity"
amass,"v collect or gather
v get or gather together"
colossal,s. so great in size or force or extent as to elicit awe
dismal,s causing dejection
genial,a. of or relating to the chin or median part of the lower jaw
inveterate,"s habitual
r in a habitual and longstanding manner"
offence,"n the action of attacking an enemy
n the team that has the ball (or puck) and is trying to score
n a feeling of anger caused by being offended
n a lack of politeness; a failure to show regard for others; wounding the feelings or others
n (criminal law) an act punishable by law; usually considered an evil act"
sojourn,"n. a temporary stay (e.g., as a guest)
v. spend a certain length of time; reside temporarily"
turmoil,"n a violent disturbance
n violent agitation
n disturbance usually in protest"
suspend,"v. hang freely
v. cause to be held in suspension in a fluid
v. bar temporarily; from school, office, etc.
v. make inoperative or stop"
assent,"n. agreement with a statement or proposal to do something
v. to agree or express agreement"
cosy,n. a padded cloth covering to keep a teapot warm
diversify,"v. make (more) diverse
v. spread into new habitats and produce variety or variegate
v. vary in order to spread risk or to expand"
haggard,n. British writer noted for romantic adventure novels (1856-1925)
irreparable,"a. impossible to repair, rectify, or amend"
paternal,"a. belonging to or inherited from one's father
a. characteristic of a father"
replica,n. copy that is not the original; something that has been copied
seclusion,n. the act of secluding yourself from others
wrangle,v. herd and care for
bigoted,s. blindly and obstinately attached to some creed or opinion and intolerant toward others
deficient,"s. inadequate in amount or degree
s. falling short of some prescribed norm"
elude,"v. escape, either physically or mentally
v. be incomprehensible to; escape understanding by"
ignoble,"a. completely lacking nobility in character or quality or purpose
s. not of the nobility"
kindred,s. related by blood or marriage
melancholy,"n. a feeling of thoughtful sadness
n. a constitutional tendency to be gloomy and depressed
s. characterized by or causing or expressing sadness"
poltroon,"n. an abject coward
s. characterized by complete cowardliness"
rout,"n. an overwhelming defeat
v. cause to flee
v. dig with the snout
v. make a groove in"
vulnerable,"a. susceptible to attack
s. susceptible to criticism or persuasion or temptation
s. capable of being wounded or hurt"
abide,"v dwell
v put up with something or somebody unpleasant"
boisterous,"s. noisy and lacking in restraint or discipline
s. full of rough and exuberant animal spirits
s. violently agitated and turbulent"
despicable,s. morally reprehensible
exotic,s. strikingly strange or unusual
imperative,"n. some duty that is essential and urgent
a. requiring attention or action
a. relating to verbs in the imperative mood"
nonplus,v be a mystery or bewildering to
pompous,a. characterized by pomp and ceremony and stately display
sever,v. set or keep apart
sultry,s. characterized by oppressive heat and humidity
wane,"v. become smaller
v. decrease in phase"
acclimate,v get used to a certain climate
assail,v. attack someone physically or emotionally
congest,v become or cause to become obstructed
effusive,s. extravagantly demonstrative
frugal,s avoiding waste
insolvent,a. unable to meet or discharge financial obligations
nausea,"n. the state that precedes vomiting
n. disgust so strong it makes you feel sick"
redeem,"v. restore the honor or worth of
v. to turn in (vouchers or coupons) and receive something in exchange
v. pay off (loans or promissory notes)
v. convert into cash; of commercial papers"
seep,v. pass gradually or leak through or as if through small openings
symmetry,"n. (mathematics) an attribute of a shape or relation; exact reflection of form on opposite sides of a dividing line or plane
n. balance among the parts of something"
aggravate,"v make worse
v exasperate or irritate"
balmy,"s. informal or slang terms for mentally irregular
s. mild and pleasant"
culmination,n. (astronomy) a heavenly body's highest celestial point above an observer's horizon
endorse,v. sign as evidence of legal transfer
hygiene,"n. a condition promoting sanitary practices
n. the science concerned with the prevention of illness and maintenance of health"
intangible,"n. assets that are saleable though not material or physical
a. (of especially business assets) not having physical substance or intrinsic productive value
a. incapable of being perceived by the senses especially the sense of touch
s. hard to pin down or identify"
oblivious,s. (followed by `to' or `of') lacking conscious awareness of
rite,n. an established ceremony prescribed by a religion
simulate,v. make a pretence of
transcribe,"v. write out from speech, notes, etc.
v. rewrite or arrange a piece of music for an instrument or medium other than that originally intended
v. make a phonetic transcription of
v. convert the genetic information in (a strand of DNA) into a strand of RNA, especially messenger RNA"
annex,"n. an addition that extends a main building
v. take (territory) as if by conquest
v. attach to"
brew,"n. drink made by steeping and boiling and fermenting rather than distilling
v. prepare by brewing
v. sit or let sit in boiling water so as to extract the flavor"
deride,v. treat or speak of with contempt
evaluate,v. form a critical opinion of
imminent,s close in time; about to occur
judicious,s. marked by the exercise of good judgment or common sense in practical matters
preponderance,"n. superiority in power or influence
n. a superiority in numbers or amount
n. exceeding in heaviness; having greater weight"
sage,"n. a mentor in spiritual and philosophical topics who is renowned for profound wisdom
n. aromatic fresh or dried grey-green leaves used widely as seasoning for meats and fowl and game etc
n. any of various plants of the genus Salvia; a cosmopolitan herb
s. having wisdom that comes with age and experience"
specter,"n a mental representation of some haunting experience
n a ghostly appearing figure"
tumult,"n. a state of commotion and noise and confusion
n. violent agitation"
apathy,"n. an absence of emotion or enthusiasm
n. the trait of lacking enthusiasm for or interest in things generally"
collide,"v. cause to collide
v. crash together with violent impact"
drape,"n. the manner in which fabric hangs or falls
n. a sterile covering arranged over a patient's body during a medical examination or during surgery in order to reduce the possibility of contamination
v. arrange in a particular way
v. place casually"
fatuous,s devoid of intelligence
impudent,s. marked by casual disrespect
meditate,"v reflect deeply on a subject
v think intently and at length, as for spiritual purposes"
purify,"v. remove impurities from, increase the concentration of, and separate through the process of distillation
v. make pure or free from sin or guilt
v. become clean or pure or free of guilt and sin"
sagacious,s. skillful in statecraft or management
suave,"s having a sophisticated charm
s smoothly agreeable and courteous with a degree of sophistication"
vigilance,"n the process of paying close and continuous attention
n vigilant attentiveness"
accelerate,"v. move faster
v. cause to move faster"
averse,s (usually followed by `to') strongly opposed
corroborate,v. support with evidence or authority or make more certain or confirm
encamp,v live in or as if in a tent
humid,s. containing or characterized by a great deal of water vapor
irrigation,"n. supplying dry land with water by means of ditches etc
n. (medicine) cleaning a wound or body organ by flushing or washing out with water or a medicated solution"
preeminent,s greatest in importance or degree or significance or achievement
rudiment,"n. the elementary stages of any subject (usually plural)
n. the remains of a body part that was functional at an earlier stage of life"
stifle,"n. joint between the femur and tibia in a quadruped; corresponds to the human knee
v. smother or suppress"
versatile,"s. having great diversity or variety
s. changeable or inconstant
s. competent in many areas and able to turn with ease from one thing to another
s. able to move freely in all directions"
anatomy,"n. the branch of morphology that deals with the structure of animals
n. a detailed analysis"
brawn,n. possessing muscular strength
dexterity,n. adroitness in using the hands
erupt,"v. start abruptly
v. erupt or intensify suddenly
v. start to burn or burst into flames
v. break out"
hypothesis,"n. a proposal intended to explain certain facts or observations
n. a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena"
manipulate,"v. influence or control shrewdly or deviously
v. hold something in one's hands and move it
v. control (others or oneself) or influence skillfully, usually to one's advantage
v. treat manually, as with massage, for therapeutic purposed"
prowess,n a superior skill that you can learn by study and practice and observation
scrupulous,a. having scruples; arising from a sense of right and wrong; principled
suffice,"v. be sufficient; be adequate, either in quality or quantity"
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
coherent,"a. marked by an orderly, logical, and aesthetically consistent relation of parts
s. capable of thinking and expressing yourself in a clear and consistent manner
a. (physics) of waves having a constant phase relation
s. sticking together"
doze,n. a light fitful sleep
fascinate,"v. to render motionless, as with a fixed stare or by arousing terror or awe"
innovate,v bring something new to an environment
mystify,v. make mysterious
recur,"v. happen or occur again
v. return in thought or speech to something"
shimmer,"n. a weak and tremulous light
v. shine with a weak or fitful light
v. give off a shimmering reflection, as of silk"
technicality,n. a detail that is considered insignificant
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
confront,"v. oppose, as in hostility or a competition
v. deal with (something unpleasant) head on
v. present somebody with something, usually to accuse or criticize
v. be face to face with"
ecstasy,"n. a state of being carried away by overwhelming emotion
n. a state of elated bliss"
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
irradiate,"v. cast rays of light upon
v. expose to radiation"
obstinate,v. persist stubbornly
repugnant,s offensive to the mind
soporific,"n. a drug that induces sleep
s. sleep inducing"
triumph,n. the exultation of victory
abound,"v. be abundant or plentiful; exist in large quantities
v. be in a state of movement or action"
arrogant,s. having or showing feelings of unwarranted importance out of overbearing pride
compile,v. use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed
entreat,v ask for or request earnestly
filth,"n. any substance considered disgustingly foul or unpleasant
n. a state characterized by foul or disgusting dirt and refuse"
incumbent,"n. the official who holds an office
s. lying or leaning on something else
s. necessary (for someone) as a duty or responsibility; morally binding
s. currently holding an office"
monotony,"n. the quality of wearisome constancy, routine, and lack of variety
n. constancy of tone or pitch or inflection"
reciprocate,"v. act, feel, or give mutually or in return
v. alternate the direction of motion of"
shaggy,"s used of hair; thick and poorly groomed
s having a very rough nap or covered with hanging shags"
tribulation,n an annoying or frustrating or catastrophic event
adolescent,"n. a juvenile between the onset of puberty and maturity
a. relating to or peculiar to or suggestive of an adolescent
s. being of the age 13 through 19
s. displaying or suggesting a lack of maturity"
autocratic,s. offensively self-assured or given to exercising usually unwarranted power
congenial,"a. suitable to your needs
s. (used of plants) capable of cross-fertilization or of being grafted"
encumber,v hold back
horrify,v fill with apprehension or alarm; cause to be unpleasantly surprised
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
nutrition,"n. (physiology) the organic process of nourishing or being nourished; the processes by which an organism assimilates food and uses it for growth and maintenance
n. the scientific study of food and drink (especially in humans)"
repress,"v. put down by force or intimidation
v. block the action of"
smuggle,v. import or export without paying customs duties
tangible,"a. perceptible by the senses especially the sense of touch
a. (of especially business assets) having physical substance and intrinsic monetary value"
analogy,"n. an inference that if things agree in some respects they probably agree in others
n. drawing a comparison in order to show a similarity in some respect"
billow,"n. a large sea wave
v. rise up as if in waves
v. move with great difficulty
v. rise and move, as in waves or billows"
detonate,v. burst and release energy as through a violent chemical or physical reaction
entangle,"v. entrap
v. twist together or entwine into a confusing mass"
hibernate,"v. sleep during winter
v. be in an inactive or dormant state"
intuition,"n. instinctive knowing (without the use of rational processes)
n. an impression that something might be the case"
pollute,v. make impure
revere,n. American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
solitary,"n confinement of a prisoner in isolation from other prisoners
n one who lives in solitude
s characterized by or preferring solitude
s of plants and animals; not growing or living in groups or colonies
s lacking companions or companionship
s being the only one; single and isolated from others
s devoid of creatures"
valor,n the qualities of a hero or heroine; exceptional or heroic courage when facing danger (especially in battle)
antagonist,"n. a muscle that relaxes while another contracts
n. a drug that neutralizes or counteracts the effects of another drug"
cognizant,a (sometimes followed by `of') having or showing knowledge or understanding or realization or perception
doleful,s. filled with or evoking sadness
facility,"n. a building or place that provides a particular service or is used for a particular industry
n. a natural effortlessness
n. something designed and created to serve a particular function and to afford a particular convenience or service
n. a service that an organization or a piece of equipment offers you"
improvise,"v. perform without preparation
v. manage in a makeshift way; do with whatever is at hand"
inquisitive,"s. showing curiosity
s. inquiring or appearing to inquire"
protrude,"v extend out or project in space
v bulge outward
v swell or protrude outwards"
savor,"v. taste appreciatively
v. give taste to"
subvert,v. destroy completely
addict,"n. someone who is so ardently devoted to something that it resembles an addiction
n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms
v. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
assiduous,s. marked by care and persistent effort
conspire,"v. engage in plotting or enter into a conspiracy, swear together
v. act in unison or agreement and in secret towards a deceitful or illegal purpose"
elusive,"s. difficult to describe
s. skillful at eluding capture
s. difficult to detect or grasp by the mind or analyze"
gaudy,n. (Britain) a celebratory reunion feast or entertainment held a college
ignite,v. cause to start burning; subject to fire or great heat
negotiate,"v. succeed in passing through, around, or over"
respiration,"n. the metabolic processes whereby certain organisms obtain energy from organic molecules; processes that take place in the cells and tissues during which energy is released and carbon dioxide is produced and absorbed by the blood to be transported to the lungs
n. a single complete act of breathing in and out"
spice,"n. aromatic substances of vegetable origin used as a preservative
n. any of a variety of pungent aromatic vegetable substances used for flavoring food
v. make more interesting or flavorful"
unanimous,"s in complete agreement
s acting together as a single undiversified whole"
aggregate,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster
n. a sum total of many heterogenous things taken together
v. amount in the aggregate to
v. gather in a mass, sum, or whole"
banal,s. repeated too often; overfamiliar through overuse
curative,s. tending to cure or restore to health
enforce,"v. ensure observance of laws and rules; 
v. compel to behave in a certain way"
hypocrite,n. a person who professes beliefs and opinions that he or she does not hold in order to conceal his or her real feelings or motives
intercept,"n. the point at which a line intersects a coordinate axis
v. seize on its way"
persecute,v. cause to suffer
sarcasm,n. witty language used to convey insults or scorn
superfluous,"s serving no useful purpose; having no excuse for being
s more than is needed, desired, or required"
vindicate,"v. maintain, uphold, or defend
v. clear of accusation, blame, suspicion, or doubt with supporting proof"
animate,"v. give new life or energy to
a. belonging to the class of nouns that denote living beings
a. endowed with animal life as distinguished from plant life"
chivalry,"n. courtesy towards women
n. the medieval principles governing knighthood and knightly conduct"
diagnosis,n. identifying the nature or cause of some phenomenon
exemplify,"v. be characteristic of
v. clarify by giving an example of"
impend,v. be imminent or about to happen
modulate,"v. change the key of, in music
v. adjust the pitch, tone, or volume of
v. vary the frequency, amplitude, phase, or other characteristic of (electromagnetic waves)"
prophecy,"n. knowledge of the future (usually said to be obtained from a divine source)
n. a prediction uttered under divine inspiration"
sensuous,s. taking delight in beauty
tact,n. consideration in dealing with others and avoiding giving offense
vindictive,"s disposed to seek revenge or intended for revenge
s showing malicious ill will and a desire to hurt; motivated by spite"
append,"v. add to the very end
v. fix to; attach"
communal,"s. for or by a group rather than individuals
a. relating to a small administrative district or community"
ecology,"n. the environment as it relates to living organisms
n. the branch of biology concerned with the relations between organisms and their environment"
forbear,v. refrain from doing
indifference,n. unbiased impartial unconcern
mediocre,"s. moderate to inferior in quality
s. poor to middling in quality"
rehearse,v. engage in a rehearsal (of)
singular,"n. the form of a word that is used to denote a singleton
s. being a single and separate person or thing
a. composed of one member, set, or kind
a. grammatical number category referring to a single item or unit"
transient,"n. one who stays for only a short time
n. (physics) a short-lived oscillation in a system caused by a sudden change of voltage or current or load"
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
audacity,"n. fearless daring
n. aggressive boldness or unmitigated effrontery"
contiguity,n the attribute of being so near as to be touching
enchant,v. hold spellbound
grandeur,"n the quality of being magnificent or splendid or grand
n the quality of elevation of mind and exaltation of character or ideals or conduct"
infer,"v reason by deduction; establish by deduction
v draw from specific cases for more general cases
v conclude by reasoning; in logic
v guess correctly; solve by guessing
v believe to be the case"
numb,"v. make numb or insensitive
s. so frightened as to be unable to move; stunned or paralyzed with terror; petrified"
remit,"n. the topic that a person, committee, or piece of research is expected to deal with or has authority to deal with
v. send (money) in payment
v. release from (claims, debts, or taxes)
v. refer (a matter or legal case) to another committee or authority or court for decision"
skeptical,"s denying or questioning the tenets of especially a religion
s marked by or given to doubt"
urban,"a. relating to or concerned with a city or densely populated area
a. located in or characteristic of a city or city life"
amputate,v. remove surgically
bawdy,s. humorously vulgar
deformity,n. an affliction in which some part of the body is misshapen or malformed
excavate,"v. recover through digging
v. find by digging in the ground
v. form by hollowing
v. remove the inner part or the core of"
harass,"v. annoy continually or chronically
v. exhaust by attacking repeatedly"
intoxicate,"v. make drunk (with alcoholic drinks)
v. have an intoxicating effect on, of a drug"
placid,s. (of a body of water) free from disturbance by heavy waves
retaliate,"v. make a counterattack and return like for like, especially evil for evil"
stealthy,s marked by quiet and caution and secrecy; taking pains to avoid being observed
wary,a. marked by keen caution and watchful prudence
annihilate,v kill in large numbers
chronological,a. relating to or arranged according to temporal order
divert,"v. send on a course or in a direction different from the planned or intended one
v. withdraw (money) and move into a different location, often secretly and with dishonest intentions"
enhance,"v. increase
v. make better or more attractive"
imprison,"v. lock up or confine, in or as in a jail
v. confine as if in a prison; he does not let them go out without a chaperone"""
malice,n. feeling a need to see others suffer
prosecute,"v. conduct a prosecution in a court of law
v. bring a criminal action against (in a trial)
v. carry out or participate in an activity; be involved in"
satirical,s. exposing human folly to ridicule
subscribe,"v. offer to buy, as of stocks and shares
v. adopt as a belief
v. receive or obtain regularly"
weird,"s. strikingly odd or unusual; some weird effect of shadow""- Bram Stoker"
apprehend,v. anticipate with dread or anxiety
commute,"n. a regular journey of some distance to and from your place of work
v. exchange positions without a change in value
v. travel back and forth regularly, as between one's place of work and home
v. exchange a penalty for a less severe one"
emit,"v. expel (gases or odors)
v. give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc."
fortify,"v. enclose by or as if by a fortification
v. add nutrients to"
inflict,v. impose something unpleasant
mimic,"n. someone who mimics (especially an actor or actress)
v. imitate (a person or manner), especially for satirical effect
s. constituting an imitation"
reassure,"v. cause to feel sure; give reassurance to
v. give or restore confidence in; cause to feel sure or certain"
serial,"n. a serialized set of programs
a. pertaining to or composed in serial technique
a. pertaining to or occurring in or producing a series
s. of or relating to the sequential performance of multiple operations"
tactics,n. the branch of military science dealing with detailed maneuvers to achieve objectives set by strategy
adversity,"n. a state of misfortune or affliction
n. a stroke of ill fortune; a calamitous event"
blister,"n. a flaw on a surface resulting when an applied substance does not adhere (as an air bubble in a coat of paint)
n. (botany) a swelling on a plant similar to that on the skin
n. (pathology) an elevation of the skin filled with serous fluid
v. get blistered"
clatter,"n. a rattling noise (often produced by rapid movement)
v. make a rattling sound"
digital,"a. displaying numbers rather than scale positions
a. relating to or performed with the fingers
a. of a circuit or device that represents magnitudes in digits"
gash,"n a wound made by cutting
n a trench resembling a furrow that was made by erosion or excavation
n a strong sweeping cut made with a sharp instrument
v cut open"
impunity,n. exemption from punishment or loss
manure,"n. any animal or plant material used to fertilize land especially animal excreta usually with litter material
v. spread manure, as for fertilization"
porous,"s. able to absorb fluids
a. full of pores or vessels or holes"
shack,"n small crude shelter used as a dwelling
v make one's home in a particular place or community
v move, proceed, or walk draggingly or slowly"
span,"n. the complete duration of something
n. the distance or interval between two points
n. a unit of length based on the width of the expanded human hand (usually taken as 9 inches)"
twitch,"n. a sudden muscle spasm; especially one caused by a nervous condition
v. make an uncontrolled, short, jerky motion
v. move or pull with a sudden motion"
armistice,n. a state of peace agreed to between opponents so they can discuss peace terms
breach,"n. a failure to perform some promised act or obligation
n. an opening (especially a gap in a dike or fortification)"
comity,n. a state or atmosphere of harmony or mutual civility and respect
dungeon,n. a dark cell (usually underground) where prisoners can be confined
gregarious,"a. (of animals) tending to form a group with others of the same species
s. instinctively or temperamentally seeking and enjoying the company of others
a. (of plants) growing in groups that are close together"
incur,v. make oneself subject to; bring upon oneself; become liable to
mole,"n. spicy sauce often containing chocolate
n. a small congenital pigmented spot on the skin
n. small velvety-furred burrowing mammal having small eyes and fossorial forefeet"
patent,"n. a document granting an inventor sole rights to an invention
n. an official document granting a right or privilege
v. obtain a patent for
v. grant rights to; grant a patent for"
sip,"n. a small drink
v. drink in sips"
sulfur,n. an abundant tasteless odorless multivalent nonmetallic element; best known in yellow crystals; occurs in many sulphide and sulphate minerals and even in native form (especially in volcanic regions)
upsurge,"n a sudden forceful flow
n a sudden or abrupt strong increase"
austere,"s. severely simple
s. of a stern or strict bearing or demeanor; forbidding in aspect"
bouquet,"n. an arrangement of flowers that is usually given as a present
n. a pleasingly sweet olfactory property"
coral,"n. a variable color averaging a deep pink
n. the hard stony skeleton of a Mediterranean coral that has a delicate red or pink color and is used for jewelry
n. unfertilized lobster roe; reddens in cooking; used as garnish or to color sauces
n. marine colonial polyp characterized by a calcareous skeleton; masses in a variety of shapes often forming reefs"
forum,"n. a public meeting or assembly for open discussion
n. a public facility to meet for open discussion"
gym,n athletic facility equipped for sports or physical training
interject,v. to insert between other elements
mushroom,"n. common name for an edible agaric (contrasting with the inedible toadstool)
n. mushrooms and related fleshy fungi (including toadstools, puffballs, morels, coral fungi, etc.)
n. any of various fleshy fungi of the subdivision Basidiomycota consisting of a cap at the end of a stem arising from an underground mycelium
n. a large cloud of rubble and dust shaped like a mushroom and rising into the sky after an explosion (especially of a nuclear bomb)"
raft,"n. a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers
v. transport on a raft
v. travel by raft in water
v. make into a raft"
smear,"n. slanderous defamation
n. a thin tissue or blood sample spread on a glass slide and stained for cytologic examination and diagnosis under a microscope
v. stain by smearing or daubing with a dirty substance
v. make a smudge on; soil by smudging"
taper,"n. a convex shape that narrows toward a point
n. the property possessed by a shape that narrows toward a point (as a wedge or cone)
v. diminish gradually"
via,"n. A road way.
prep. By the way of; as, to send a letter via Queenstown to
   London."
barometer,n. an instrument that measures atmospheric pressure
comply,"v. act in accordance with someone's rules, commands, or wishes"
coxcomb,n. a conceited dandy who is overly impressed by his own accomplishments
foliage,"n the main organ of photosynthesis and transpiration in higher plants
n (architecture) leaf-like architectural ornament"
hegira,n. the flight of Muhammad from Mecca to Medina in 622 which marked the beginning of the Muslim era; the Muslim calendar begins in that year
lair,n. the habitation of wild animals
nightmare,"n. a situation resembling a terrifying dream
n. a terrifying or deeply upsetting dream"
reservoir,"n. a large or extra supply of something
n. lake used to store water for community use
n. tank used for collecting and storing a liquid (as water or oil)
n. anything (a person or animal or plant or substance) in which an infectious agent normally lives and multiplies"
sod,"n. an informal British term for a youth or man
v. cover with sod"
trash,"n. worthless people
v. dispose of (something useless or old)"
warehouse,"n. a storehouse for goods and merchandise
v. store in a warehouse"
belch,n. a reflex that expels gas noisily from the stomach through the mouth
chore,n a specific piece of work required to be done as a duty or for a specific fee
crimson,"n. a deep and vivid red color
s. characterized by violence or bloodshed
s. (especially of the face) reddened or suffused with or as if with blood from emotion or exertion"
