sincere,a. open and genuine; not deceitful
attractive,"a. pleasing to the eye or mind especially through beauty or charm
s. having power to arouse interest
a. having the properties of a magnet; the ability to draw or pull;"
garlic,"n. bulbous herb of southern Europe widely naturalized; bulb breaks up into separate strong-flavored cloves
n. aromatic bulb used as seasoning"
temporary,"n a worker (especially in an office) hired on a temporary basis
a not permanent; not lasting
s lacking continuity or regularity"
recognize,"v. be fully aware or cognizant of
v. perceive to be the same
v. exhibit recognition for (an antigen or a substrate)
v. show approval or appreciation of"
puzzle,"n. a particularly baffling problem that is said to have a correct solution
n. a game that tests your ingenuity
v. be uncertain about; think about without fully understanding or being able to decide"
elevator,"n. lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building
n. the airfoil on the tailplane of an aircraft that makes it ascend or descend"
acquisition,"n. the act of contracting or assuming or acquiring possession of something
n. something acquired"
absolute,"n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
a. perfect or complete or pure
s. complete and without restriction or qualification; sometimes used informally as intensifiers
s. not limited by law"
frank,"n. a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century
n. a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll
v. exempt by means of an official pass or letter, as from customs or other checks
s. clearly manifest; evident"
hip,"n. either side of the body below the waist and above the thigh
n. the ball-and-socket joint between the head of the femur and the acetabulum
n. (architecture) the exterior angle formed by the junction of a sloping side and a sloping end of a roof
n. the fruit of a rose plant"
polish,"n. the property of being smooth and shiny
n. a highly developed state of perfection; having a flawless or impeccable quality
n. a preparation used in polishing
n. the Slavic language of Poland"
democratic,"a. characterized by or advocating or based upon the principles of democracy or social equality
a. belong to or relating to the Democratic Party
s. representing or appealing to or adapted for the benefit of the people at large"
temptation,"n. something that seduces or has the quality to seduce
n. the desire to have or do something that you know you should avoid"
disguise,"n. an outward semblance that misrepresents the true nature of something
n. any attire that modifies the appearance in order to conceal the wearer's identity
n. the act of concealing the identity of something by modifying its appearance
v. make unrecognizable"
glue,"n. cement consisting of a sticky substance that is used as an adhesive
v. join or attach with or as if with glue
v. be fixed as if by glue"
solemn,"s dignified and somber in manner or character and committed to keeping promises
s characterized by a firm and humorless belief in the validity of your opinions"
tend,"v. have a tendency or disposition to do or be something; be inclined
v. have care of or look after
v. manage or run"
ancient,"n. a very old person
n. a person who lived in ancient times
s. belonging to times long past especially of the historical period before the fall of the Western Roman Empire
s. very old"
effective,"a. producing or capable of producing an intended result or having a striking effect
s. able to accomplish a purpose; functioning effectively
s. works well as a means or remedy
s. exerting force or influence"
channel,"n. a path over which electrical signals can pass
n. a passage for water (or other fluids) to flow through
n. a deep and relatively narrow body of water (as in a river or a harbor or a strait linking two larger bodies) that allows the best passage for vessels
n. (often plural) a means of communication or access"
primitive,"n. a person who belongs to an early stage of civilization
n. a mathematical expression from which another expression is derived
n. a word serving as the basis for inflected or derived forms
s. used of preliterate or tribal or nonindustrial societies"
consent,n. permission to do something
organize,"v. cause to be structured or ordered or operating according to some principle or idea
v. bring order and organization to
v. arrange by systematic planning and united effort"
drama,"n. an episode that is turbulent or highly emotional
n. the literary genre of works intended for the theater
n. the quality of being arresting or highly emotional"
miserable,"s. very unhappy; full of misery
s. characterized by physical misery"
fur,"n. the dressed hairy coat of a mammal
n. dense coat of fine silky hairs on mammals (e.g., cat or seal or weasel)
n. a garment made of the dressed hairy coat of a mammal"
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
replacement,n. the act of furnishing an equivalent person or thing in the place of another
inner,"s. located inward
a. located or occurring within or closer to a center
s. innermost or essential
s. exclusive to a center; especially a center of influence"
clerk,"n. an employee who performs clerical work (e.g., keeps records or accounts)
v. work as a clerk, as in the legal business"
liquor,"n. an alcoholic beverage that is distilled rather than fermented
n. a liquid substance that is a solution (or emulsion or suspension) used or obtained in an industrial process
n. the liquid in which vegetables or meat have be cooked"
presently,r. at this time or period; now
gene,n. (genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity
security,"n. the state of being free from danger or injury
n. defense against financial failure; financial independence
n. freedom from anxiety or fear
n. a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends"
nerve,n. any bundle of nerve fibers running to various organs and tissues of the body
greedy,s. wanting to eat or drink more than one can reasonably consume
essential,"s. absolutely necessary; vitally necessary
a. basic and fundamental
a. being or relating to or containing the essence of a plant etc"
decorate,"v. make more attractive by adding ornament, colour, etc.
v. award a mark of honor, such as a medal, to"
excess,"n. a quantity much larger than is needed
n. immoderation as a consequence of going beyond sufficient or permitted limits
s. more than is needed, desired, or required"
compare,"v. examine and note the similarities or differences of
v. be comparable
v. consider or describe as similar, equal, or analogous
v. to form the comparative or superlative form on an adjective or adverb"
command,"n. an authoritative direction or instruction to do something
n. a military unit or region under the control of a single officer
n. the power or authority to command
n. availability for use"
fuel,"n. a substance that can be consumed to produce energy
v. provide with a combustible substance that provides energy
v. provide with fuel
v. take in fuel, as of a ship"
plastic,"n. generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
s. capable of being influenced or formed"
characteristic,"n. a distinguishing quality
n. the integer part (positive or negative) of the representation of a logarithm; in the expression log 643 = 2.808 the characteristic is 2
n. any measurable property of a device measured under closely specified conditions
a. typical or distinctive"
pressure,"n. the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
n. a force that compels
n. the somatic sensation that results from applying force to an area of skin
n. an oppressive condition of physical or mental or social or economic distress"
nearby,"s. close at hand
r. not far away in relative terms"
environment,"n. the totality of surrounding conditions
n. the area in which something exists or lives"
crime,"n. (criminal law) an act punishable by law; usually considered an evil act
n. an evil act not necessarily punishable by law"
pigeon,n. wild and domesticated birds having a heavy body and short legs
cement,"n. concrete pavement is sometimes referred to as cement
n. a building material that is a powder made of a mixture of calcined limestone and clay; used with water and sand or gravel to make concrete and mortar
n. something that hardens to act as adhesive material
n. any of various materials used by dentists to fill cavities in teeth"
magnificent,s characterized by grandeur
tendency,"n. a characteristic likelihood of or natural disposition toward a certain condition or character or effect
n. a general direction in which something tends to move"
investigate,"v. investigate scientifically
v. conduct an inquiry or investigation of"
infinite,"a. having no limits or boundaries in time or space or extent or magnitude
a. of verbs; having neither person nor number nor mood (as a participle or gerund or infinitive)
s. total and all-embracing"
painter,"n. an artist who paints
n. a worker who is employed to cover objects with paint
n. a line that is attached to the bow of a boat and used for tying up (as when docking or towing)"
tender,"n. something that can be used as an official medium of payment
n. car attached to a locomotive to carry fuel and water
n. a boat for communication between ship and shore
n. ship that usually provides supplies to other ships"
legal,"a. established by or founded upon law or official or accepted rules
a. of or relating to jurisprudence
s. having legal efficacy or force
a. relating to or characteristic of the profession of law"
moderate,"v. preside over
v. make less fast or intense
a. being within reasonable or average limits; not excessive or extreme
s. not extreme"
atomic,"a. of or relating to or comprising atoms
s. immeasurably small"
anchor,"n. a mechanical device that prevents a vessel from moving
n. a central cohesive source of support and stability
n. a television reporter who coordinates a broadcast to which several correspondents contribute
v. fix firmly and stably"
mystery,"n. something that baffles understanding and cannot be explained
n. a story about a crime (usually murder) presented as a novel or play or movie"
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
reaction,"n. an idea evoked by some experience
n. a bodily process occurring due to the effect of some antecedent stimulus or agent
n. (mechanics) the equal and opposite force that is produced when any force is applied to a body
n. a response that reveals a person's feelings or attitude"
affect,"n. the conscious subjective aspect of feeling or emotion
v. have an effect upon
v. act physically on; have an effect upon
v. have an emotional or cognitive impact upon"
tense,"n. a grammatical category of verbs used to express distinctions of time
v. increase the tension on
v. become tense, nervous, or uneasy
v. cause to be tense and uneasy or nervous or anxious"
flour,"n. fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain
v. cover with flour
v. convert grain into flour"
comedy,n. light and humorous drama with a happy ending
collision,"n. (physics) a brief event in which two or more bodies come together
n. an accident resulting from violent impact of a moving object
n. a conflict of opposed ideas or attitudes or goals"
absent,"v. go away or leave
a. not being in a specified place
s. lost in thought; showing preoccupation"
critical,"a. marked by a tendency to find and call attention to errors and flaws
a. at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction
a. characterized by careful evaluation and judgment
s. urgently needed; absolutely necessary"
paw,"n. a clawed foot of an animal especially a quadruped
v. scrape with the paws
v. touch clumsily"
crew,"n. the men and women who man a vehicle (ship, aircraft, etc.)
n. the team of men manning a racing shell
v. serve as a crew member on"
congratulation,"n. the act of acknowledging that someone has an occasion for celebration
n. (usually plural) an expression of pleasure at the success or good fortune of another"
interference,n. (American football) blocking a player's path with your body
flesh,"n. the soft tissue of the body of a vertebrate: mainly muscle tissue and fat
v. remove adhering flesh from (hides) when preparing leather manufacture"
innocent,"n. a person who lacks knowledge of evil
a. free from evil or guilt
s. lacking intent or capacity to injure
s. lacking in sophistication or worldliness"
excitement,n. the state of being emotionally aroused and worked up
adult,"n. a fully developed person from maturity onward
n. any mature animal
s. (of animals) fully developed"
enhance,"v. increase
v. make better or more attractive"
arrival,"n. accomplishment of an objective
n. the act of arriving at a certain place
n. someone who arrives (or has arrived)"
brief,"n. a document stating the facts and points of law of a client's case
n. a condensed written summary or abstract
v. give essential information to someone
s. of short duration or distance"
ambition,"n. a cherished desire
n. a strong drive for success
v. have as one's ambition"
outline,"n. the line that appears to bound an object
n. a sketchy summary of the main points of an argument or theory
n. a schematic or preliminary plan"
fertilizer,n. any substance such as manure or a mixture of nitrates used to make soil more fertile
tension,"n. (psychology) a state of mental or emotional strain or suspense
n. the physical condition of being stretched or strained
n. a balance between and interplay of opposing elements or tendencies (especially in art or literature)
n. (physics) a stress that produces an elongation of an elastic physical body"
petrol,n a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines
distinguish,"v. mark as different
v. be a distinctive feature, attribute, or trait; sometimes in a very positive sense"
shortcoming,n a failing or deficiency
propose,"v. make a proposal, declare a plan for something
v. ask (someone) to marry you"
former,"n. the first of two or the first mentioned of two
a. referring to the first of two things or persons mentioned (or the earlier one or ones of several); I prefer the former version to the latter one""
s. (used especially of persons) of the immediate past"
consumption,"n. the process of taking food into the body through the mouth (as by eating)
n. (economics) the utilization of economic goods to satisfy needs or in manufacturing
n. the act of consuming something"
terminal,"n. station where transport vehicles load or unload passengers or goods
n. a contact on an electrical device (such as a battery) at which electric current enters or leaves
n. electronic equipment consisting of a device providing access to a computer; has a keyboard and display
a. of or relating to or situated at the ends of a delivery route"
casual,"s. marked by blithe unconcern
s. without or seeming to be without plan or method; offhand
s. appropriate for ordinary or routine occasions
s. occurring or appearing or singled out by chance"
tough,"a. not given to gentleness or sentimentality
a. physically toughened
a. resistant to cutting or chewing"
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
governor,"n. the head of a state government
n. a control that maintains a steady speed in a machine (as by controlling the supply of fuel)"
oral,"n. an examination conducted by spoken communication
s. using speech rather than writing
a. of or relating to or affecting or for use in the mouth
a. of or involving the mouth or mouth region or the surface on which the mouth is located"
territory,"n. an area of knowledge or interest
n. the geographical area under the jurisdiction of a sovereign state"
mere,"n. a small pond of standing water
s. being nothing more than specified"
gross,"n. twelve dozen
n. the entire amount of income before any deductions are made
v. earn before taxes, expenses, etc.
a. before any deductions"
tone,"n. the quality of a person's voice
n. (linguistics) a pitch or change in pitch of the voice that serves to distinguish words in tonal languages
n. a steady sound without overtones
n. a musical interval of two semitones"
indication,"n. something that serves to indicate or suggest
n. the act of indicating or pointing out by name
n. (medicine) a reason to prescribe a drug or perform a procedure
n. something (as a course of action) that is indicated as expedient or necessary"
concerning,"v be relevant to
v be on the mind of"
embrace,"n. the act of clasping another person in the arms (as in greeting or affection)
n. the state of taking in or encircling
n. a close affectionate and protective acceptance
v. include in scope; include as part of something broader; have as one's sphere or territory"
numerous,s. amounting to a large indefinite number
launch,"n. a motorboat with an open deck or a half deck
v. propel with force
v. launch for the first time; launch on a maiden voyage
v. get going; give impetus to"
discount,"n. the act of reducing the selling price of merchandise
v. give a reduction in price on"
maintenance,"n. means of maintenance of a family or group
n. the unauthorized interference in a legal action by a person having no interest in it (as by helping one party with money or otherwise to continue the action) so as to obstruct justice or promote unnecessary litigation or unsettle the peace of the community"
incline,"v. bend or turn (one's ear) towards a speaker in order to listen well
v. lower or bend (the head or upper body), as in a nod or bow
v. feel favorably disposed or willing"
liberal,"n. a person who favors a political philosophy of progress and reform and the protection of civil liberties
n. a person who favors an economic theory of laissez-faire and self-regulating markets
s. having political or social views favoring reform and progress
a. tolerant of change; not bound by authoritarianism, orthodoxy, or tradition"
lavatory,"n a room or building equipped with one or more toilets
n a bathroom sink that is permanently installed and connected to a water supply and drainpipe; where you can wash your hands and face
n a toilet that is cleaned of waste by the flow of water through it"
marry,"v. take in marriage
v. perform a marriage ceremony"
constitution,"n. the act of forming or establishing something
n. the way in which someone or something is composed
n. a United States 44-gun frigate that was one of the first three naval ships built by the United States; it won brilliant victories over British frigates during the War of 1812 and is without doubt the most famous ship in the history of the United States Navy; it has been rebuilt and is anchored in the Charlestown Navy Yard in Boston"
tolerate,"v. recognize and respect (rights and beliefs of others)
v. have a tolerance for a poison or strong drug or pathogen or environmental condition"
intellectual,"n. a person who uses the mind creatively
s. of or associated with or requiring the use of the mind
a. appealing to or using the intellect"
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
mushroom,"n. common name for an edible agaric (contrasting with the inedible toadstool)
n. mushrooms and related fleshy fungi (including toadstools, puffballs, morels, coral fungi, etc.)
n. any of various fleshy fungi of the subdivision Basidiomycota consisting of a cap at the end of a stem arising from an underground mycelium
n. a large cloud of rubble and dust shaped like a mushroom and rising into the sky after an explosion (especially of a nuclear bomb)"
millimetre,n a metric unit of length equal to one thousandth of a meter
mate,"n. the officer below the master on a commercial ship
n. the partner of an animal (especially a sexual partner)
n. one of a pair
n. South American holly; leaves used in making a drink like tea"
elbow,"n. hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
n. a sharp bend in a road or river
n. a length of pipe with a sharp bend in it
n. the part of a sleeve that covers the elbow joint"
textile,a. of or relating to fabrics or fabric making
frame,"n. the framework for a pair of eyeglasses
n. a single one of a series of still transparent pictures forming a cinema, television or video film
n. a single drawing in a comic_strip
n. an application that divides the user's display into two or more windows that can be scrolled independently"
blend,"n. an occurrence of thorough mixing
n. a new word formed by joining two others and combining their meanings
n. the act of blending components together thoroughly
v. combine into one"
misunderstand,v interpret in the wrong way
lap,"n. the upper side of the thighs of a seated person
n. an area of control or responsibility
n. the part of a piece of clothing that covers the thighs
n. a flap that lies over another part"
notion,"n. a general inclusive concept
n. an odd or fanciful or capricious idea
n. (usually plural) small personal articles or clothing or sewing items"
hatred,n the emotion of intense dislike; a feeling of dislike so strong that it demands action
slippery,"a. causing or tending to cause things to slip or slide
s. not to be trusted"
durable,"s. existing for a long time
s. capable of withstanding wear and tear and decay
s. very long lasting"
inference,n. the reasoning involved in drawing a conclusion or making a logical judgment on the basis of circumstantial evidence and prior conclusions rather than on the basis of direct observation
employee,n. a worker who is hired to perform a job
sausage,n. highly seasoned minced meat stuffed in casings
theme,"n. a unifying idea that is a recurrent element in literary or artistic work
n. (music) melodic subject of a musical composition
v. provide with a particular theme or motive"
colleague,"n. an associate that one works with
n. a person who is member of one's class or profession"
dramatic,"a. suitable to or characteristic of drama
s. sensational in appearance or thrilling in effect
a. pertaining to or characteristic of drama
a. used of a singer or singing voice that is marked by power and expressiveness and a histrionic or theatrical style"
patience,n. good-natured tolerance of delay or incompetence
spacecraft,"n. a craft capable of traveling in outer space; technically, a satellite around the sun"
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
import,"n. commodities (goods or services) bought from a foreign country
n. an imported person brought from a foreign country
v. bring in from abroad
v. transfer (electronic data) into a database or document"
bankrupt,"n. someone who has insufficient assets to cover their debts
v. reduce to bankruptcy
s. financially ruined"
cartoon,"n. a humorous or satirical drawing published in a newspaper or magazine
n. a film made by photographing a series of cartoon drawings to give the illusion of movement when projected in rapid sequence
v. draw cartoons of"
alliance,"n. the state of being allied or confederated
n. a connection based on kinship or marriage or common interest
n. an organization of people (or countries) involved in a pact or treaty
n. a formal agreement establishing an association or alliance between nations or other groups to achieve a particular aim"
romantic,"n. a soulful or amorous idealist
a. belonging to or characteristic of Romanticism or the Romantic Movement in the arts"
barrel,"n. a tube through which a bullet travels when a gun is fired
n. a cylindrical container that holds liquids
n. a bulging cylindrical shape; hollow with flat ends
n. the quantity that a barrel (of any size) will hold"
theoretical,"a. concerned primarily with theories or hypotheses rather than practical considerations
a. concerned with theories rather than their practical applications"
stack,"n. an orderly pile
v. load or cover with stacks
v. arrange in stacks
v. arrange the order of so as to increase one's winning chances"
settle,"n. a long wooden bench with a back
v. settle into a position, usually on a surface or ground
v. settle conclusively; come to terms
v. take up residence and become established"
hopeful,a. having or manifesting hope
criminal,"n. someone who has committed a crime or has been legally convicted of a crime
s. guilty of crime or serious offense
s. involving or being or having the nature of a crime"
insert,"n. a folded section placed between the leaves of another publication
n. an artifact that is inserted or is to be inserted
v. put or introduce into something
v. introduce"
specifically,r. in distinction from others
accuse,v. bring an accusation against; level a charge against
reveal,v. disclose directly or through prophets
pack,"n. a complete collection of similar things
n. a convenient package or parcel (as of cigarettes or film)
n. a group of hunting animals
n. a cream that cleanses and tones the skin"
guilty,"a. responsible for or chargeable with a reprehensible act
s. showing a sense of guilt"
payment,"n. a sum of money paid or a claim discharged
n. the act of paying money"
offensive,"s. violating or tending to violate or offend against
a. for the purpose of attack rather than defense
a. causing anger or annoyance
a. unpleasant or disgusting especially to the senses"
elect,"v. select by a vote for an office or membership
v. choose
s. selected as the best
s. elected but not yet installed in office"
downward,s. on or toward a surface regarded as a base
liquid,"n. a substance that is liquid at room temperature and pressure
n. the state in which a substance exhibits a characteristic readiness to flow with little or no tendency to disperse and relatively high incompressibility
n. fluid matter having no fixed shape but a fixed volume
n. a frictionless continuant that is not a nasal consonant (especially `l' and `r')"
clue,"n. evidence that helps to solve a problem
v. roll into a ball"
jazz,"n. a genre of popular music that originated in New Orleans around 1900 and developed through increasingly complex styles
n. a style of dance music popular in the 1920s; similar to New Orleans jazz but played by large bands
v. play something in the style of jazz"
conjunction,"n. an uninflected function word that serves to conjoin words or phrases or clauses or sentences
n. the grammatical relation between linguistic units (words or phrases or clauses) that are connected by a conjunction
n. (astronomy) apparent meeting or passing of two or more celestial bodies in the same degree of the zodiac"
lord,"n. a titled peer of the realm
v. make a lord of someone"
therapy,n. (medicine) the act of caring for someone (as by medication or remedial training etc.)
cease,n. (`cease' is a noun only in the phrase `without cease') end
variable,"n. something that is likely to vary; something that is subject to variation
n. a quantity that can assume any of a set of values
n. a symbol (like x or y) that is used in mathematical or logical expressions to represent a variable quantity
a. liable to or capable of change"
identity,"n. the distinct personality of an individual regarded as a persisting entity
n. the individual characteristics by which a thing or person is recognized or known
n. an operator that leaves unchanged the element on which it operates
n. exact sameness"
obligation,"n. the state of being obligated to do or pay something
n. a personal relation in which one is indebted for a service or favor
n. a legal agreement specifying a payment or action and the penalty for failure to comply"
relativity,"n. (physics) the theory that space and time are relative concepts rather than absolute concepts
n. the quality of being relative and having significance only in relation to something else"
consult,"v. get or ask advice from
v. seek information from
v. advise professionally"
anyway,"r used to indicate that a statement explains or supports a previous statement; anyhow, they're quiet""; anyway, it's gone""; in any case, there was a brief scuffle""
r in any way whatsoever"
agent,"n. an active and efficient cause; capable of producing a certain effect
n. a representative who acts on behalf of other persons or organizations
n. a substance that exerts some force or effect
n. a businessman who buys or sells for another in exchange for a commission"
scan,"n. the act of scanning; systematic examination of a prescribed region
n. an image produced by scanning
v. examine minutely or intensely
v. examine hastily"
lemon,"n. yellow oval fruit with juicy acidic flesh
n. a small evergreen tree that originated in Asia but is widely cultivated for its fruit
n. a distinctive tart flavor characteristic of lemons
n. an artifact (especially an automobile) that is defective or unsatisfactory"
opponent,s. characterized by active hostility
climate,"n. the weather in some location averaged over some long period of time
n. the prevailing psychological state"
addition,"n. a component that is added to something to improve it
n. the act of adding one thing to another
n. a quantity that is added
n. a suburban area laid out in streets and lots for a future residential area"
architect,n. someone who creates plans to be used in making something (such as buildings)
integrate,"v. make into a whole or make part of a whole
v. become one; become integrated
v. calculate the integral of; calculate by integration"
exterior,a. situated in or suitable for the outdoors or outside of a building
thereby,r. by that means or because of that
therefore,r. (used to introduce a logical conclusion) from that fact or reason or as a result
handful,"n. a small number or amount
n. the quantity that can be held in the hand"
loyal,a. steadfast in allegiance or duty
furthermore,"r. in addition; furthermore, their quality is improving""; moreover, mice nested there"""
insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
category,n. a general concept that marks divisions or coordinations in a conceptual scheme
refine,"v. treat or prepare so as to put in a usable condition
v. reduce to a fine, unmixed, or pure state; separate from extraneous matter or cleanse from impurities
v. attenuate or reduce in vigor, strength, or validity by polishing or purifying
v. make more precise or increase the discriminatory powers of"
thick,"a. not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions
s. having component parts closely crowded together
a. relatively dense in consistency
s. (of darkness) very intense"
minority,"n. a group of people who differ racially or politically from a larger group of which it is a part
n. being or relating to the smaller in number of two parts
n. any age prior to the legal age"
sorrow,"n. an emotion of great sadness associated with loss or bereavement
n. sadness associated with some wrong done or some disappointment"
thinking,n. the process of using your mind to consider something carefully
quiz,"n. an examination consisting of a few short questions
v. examine someone's knowledge of something"
airplane,n. an aircraft that has a fixed wing and is powered by propellers or jets
thirsty,"s. needing moisture
a. feeling a need or desire to drink
s. able to take in large quantities of moisture"
objection,"n. the speech act of objecting
n. (law) a procedure whereby a party to a suit says that a particular line of questioning or a particular witness or a piece of evidence or other matter is improper and should not be continued and asks the court to rule on its impropriety or illegality"
platform,"n. a raised horizontal surface
n. a document stating the aims and principles of a political party
n. the combination of a particular computer and a particular operating system
n. any military structure or vehicle bearing weapons"
merchant,n. a businessperson engaged in retail trade
fertile,a. capable of reproducing
particularly,"r. to a distinctly greater extent or degree than is common
r. specifically or especially distinguished from others"
division,"n. an army unit large enough to sustain combat
n. the act or process of dividing
n. an administrative unit in government or business
n. discord that splits a group"
crisis,"n. an unstable situation of extreme danger or difficulty
n. a crucial stage or turning point in the course of something"
thorough,s. painstakingly careful and accurate
forth,"n. a river in southern Scotland that flows eastward to the Firth of Forth
r. forward in time or order or degree
r. out into view"
observer,n. an expert who observes and comments on something
retreat,"n. (military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat
n. a place of privacy; a place affording peace and quiet
n. (military) a signal to begin a withdrawal from a dangerous position
n. (military) a bugle call signaling the lowering of the flag at sunset"
relevant,a. having a bearing on or connection with the subject at issue
precision,n the quality of being reproducible in amount or performance
admit,"v. declare to be true or admit the existence or reality or truth of
v. allow to enter; grant entry to
v. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of
v. afford possibility"
jungle,"n. a location marked by an intense competition and struggle for survival
n. an impenetrable equatorial forest"
thoughtful,"s. having intellectual depth
a. exhibiting or characterized by careful thought
s. acting with or showing thought and good sense
s. considerate of the feelings or well-being of others"
apartment,n. a suite of rooms usually on one floor of an apartment house
afterward,r happening at a time subsequent to a reference time
entire,"s. constituting the full quantity or extent; complete
s. (of leaves or petals) having a smooth edge; not broken up into teeth or lobes
s. (used of domestic animals) sexually competent"
carbon,"n. an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond; occurs in all organic compounds
n. a copy made with carbon paper"
chamber,"n. a natural or artificial enclosed space
n. an enclosed volume in the body
n. a room where a judge transacts business
n. a deliberative or legislative or administrative or judicial assembly"
realm,"n a domain in which something is dominant
n the domain ruled by a king or queen
n a knowledge domain that you are interested in or are communicating about"
ratio,n. the relative magnitudes of two quantities (usually expressed as a quotient)
capture,"n. the act of forcibly dispossessing an owner of property
n. a process whereby a star or planet holds an object in its gravitational field
n. any process in which an atomic or nuclear system acquires an additional particle
n. the act of taking of a person by force"
baseball,"n. a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
n. a ball used in playing baseball"
boring,"n. the act of drilling a hole in the earth in the hope of producing petroleum
s. so lacking in interest as to cause mental weariness"
crowd,"n. a large number of things or people considered together
n. an informal body of friends
v. fill or occupy to the point of overflowing
v. to gather together in large numbers"
sample,"n. a small part of something intended as representative of the whole
n. all or part of a natural object that is collected and preserved as an example of its class
v. take a sample of"
estate,"n. everything you own; all of your assets (whether real property or personal property) and liabilities
n. extensive landed property (especially in the country) retained by the owner for his own use"
threat,"n. a warning that something unpleasant is imminent
n. declaration of an intention or a determination to inflict harm on another"
reliable,a. worthy of reliance or trust
constant,"n. a quantity that does not vary
n. a number representing a quantity assumed to have a fixed value in a specified mathematical context
a. steadfast in purpose or devotion or affection"
sustain,"v. supply with necessities and support
v. admit as valid"
horsepower,n. a unit of power equal to 746 watts
suspicion,"n. the state of being suspected
n. being of a suspicious nature"
prospect,"n. the possibility of future success
v. search for something desirable
v. explore for useful or valuable things or substances, such as minerals"
conduct,"v. direct the course of; manage or control
v. lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years""
v. lead musicians in the performance of"
lawn,n. a field of cultivated and mowed grass
transmit,v. send from one person or place to another
pollution,n. undesirable state of the natural environment being contaminated with harmful substances as a consequence of human activities
slip,"n. a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
n. potter's clay that is thinned and used for coating or decorating ceramics
n. a young and slender person
n. an accidental misstep threatening (or causing) a fall"
influential,a. having or exercising influence or power
handle,"n. the appendage to an object that is designed to be held in order to use or move it
v. touch, lift, or hold with the hands
v. show and train"
threaten,"v. to utter intentions of injury or punishment against:""He threatened me when I tried to call the police""
v. to be a menacing indication of something:""The clouds threaten rain"""
aircraft,n. a vehicle that can fly
thrive,v. make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
harm,v. cause or do harm to
similarly,r. in like or similar manner
prominent,"s having a quality that thrusts itself into attention
s conspicuous in position or importance"
signal,"n. any nonverbal action or gesture that encodes a message
n. any incitement to action
n. an electric quantity (voltage or current or field strength) whose modulation represents coded information about the source from which it comes
s. notably out of the ordinary"
encourage,"v. inspire with confidence; give hope or courage to
v. spur on"
recession,"n. the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year
n. the withdrawal of the clergy and choir from the chancel to the vestry at the end of a church service
n. the act of ceding back"
commitment,"n. the act of binding yourself (intellectually or emotionally) to a course of action
n. an engagement by contract involving financial obligation
n. a message that makes a pledge
n. the official act of consigning a person to confinement (as in a prison or mental hospital)"
monitor,"n. an ironclad vessel built by Federal forces to do battle with the Merrimac
n. display produced by a device that takes signals and displays them on a television screen or a computer monitor
n. electronic equipment that is used to check the quality or content of electronic transmissions
n. a piece of electronic equipment that keeps track of the operation of a system continuously and warns of trouble"
spark,"n. a small but noticeable trace of some quality that might become stronger
n. Scottish writer of satirical novels (born in 1918)
n. a small fragment of a burning substance thrown out by burning material or by friction
v. emit or produce sparks"
mug,"n. the quantity that can be held in a mug
n. with handle and usually cylindrical
v. rob at gunpoint or with the threat of violence"
