finale,"n. the closing section of a musical composition
n. the concluding part of any performance"
foreclosure,n. the legal proceedings initiated by a creditor to repossess the collateral for loan that is in default
iron,"n. a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood
n. a golf club that has a relatively narrow metal head
n. implement used to brand live stock
n. home appliance consisting of a flat metal base that is heated and used to smooth cloth"
preferable,s. more desirable than another
backfire,"n. a loud noise made by the explosion of fuel in the manifold or exhaust of an internal combustion engine
n. a fire that is set intentionally in order to slow an approaching forest fire or grassfire by clearing a burned area in its path
n. a miscalculation that recoils on its maker
v. come back to the originator of an action with an undesired effect"
anti-semitism,n. the intense dislike for and prejudice against Jewish people
individuality,n. the quality of being individual
captivity,n. the state of being imprisoned
defeated,"n. people who are defeated
a. beaten or overcome; not victorious
s. disappointingly unsuccessful"
flourish,"n. a showy gesture
n. an ornamental embellishment in writing
n. a display of ornamental speech or language
n. the act of waving"
reassurance,n. the act of reassuring; restoring someone's confidence
downright,"s. characterized by plain blunt honesty
r. thoroughgoing"
derail,"v. cause to run off the tracks
v. run off or leave the rails"
steward,"n. someone who manages property or other affairs for someone else
n. the ship's officer who is in charge of provisions and dining arrangements
n. an attendant on an airplane"
revitalize,v. give new life or vigor to
bumper,"n. a glass filled to the brim (especially as a toast)
n. a mechanical device consisting of bars at either end of a vehicle to absorb shock and prevent serious damage"
remake,"n. creation that is created again or anew
v. make new"
manageable,a. capable of being managed or controlled
reciprocal,"n. something (a term or expression or concept) that has a reciprocal relation to something else
a. concerning each of two or more persons or things; especially given or done in return
s. of or relating to the multiplicative inverse of a quantity or function"
tentatively,r. in a tentative manner
kayak,"n. a small canoe consisting of a light frame made watertight with animal skins; used by Eskimos
v. travel in a small canoe"
cover-up,n. concealment that attempts to prevent something scandalous from becoming public
storefront,n the front side of a store facing the street; usually contains display windows
guise,n. an artful or simulated semblance
pastel,"n. any of various pale or light colors
s. lacking in body or vigor
s. delicate and pale in color"
viral,a. relating to or caused by a virus
bipolar,"a. of or relating to manic depressive illness
a. of, pertaining to, or occurring in both polar regions
a. having two poles"
anxiously,r. with anxiety or apprehension
brake,"n. a restraint used to slow or stop a vehicle
n. any of various ferns of the genus Pteris having pinnately compound leaves and including several popular houseplants
n. an area thickly overgrown usually with one kind of plant
n. anything that slows or hinders a process"
menopause,n. the time in a woman's life in which the menstrual cycle ends
patch,"n. a piece of cloth used as decoration or to mend or cover a hole
n. a short set of commands to correct a bug in a computer program
v. to join or unite the pieces of
v. provide with a patch; also used metaphorically"
electrode,n. a conductor used to make electrical contact with some part of a circuit
sparkle,"n. merriment expressed by a brightness or gleam or animation of countenance
v. reflect brightly
v. be lively or brilliant or exhibit virtuosity"
stylistic,s. of or relating to style (especially in the use of language)
disciplined,"s. obeying the rules
s. trained mentally or physically by instruction or exercise"
ornate,s marked by elaborate rhetoric and elaborated with decorative details
slap,"n. a blow from a flat object (as an open hand)
v. hit with something flat, like a paddle or the open hand"
refinement,"n. the result of improving something
n. the quality of excellence in thought and manners and taste"
neurological,a. of or relating to or used in or practicing neurology
outpatient,n. a patient who does not reside in the hospital where he is being treated
awkwardly,r. in an awkward manner
edible,a. suitable for use as food
thrilling,s. causing quivering or shivering as by cold or fear or electric shock
neutralize,"v. make politically neutral and thus inoffensive
v. make ineffective by counterbalancing the effect of
v. get rid of (someone who may be a threat) by killing
v. make incapable of military action"
chute,"n. sloping channel through which things can descend
v. jump from an airplane and descend with a parachute"
focused,"a. being in focus or brought into focus
s. (of light rays) converging on a point
s. of an optical system (e.g. eye or opera glasses) adjusted to produce a clear image"
skyscraper,n. a very tall building with many stories
thunderstorm,n. a storm resulting from strong rising air currents; heavy rain or hail along with thunder and lightning
booklet,n. a small book usually having a paper cover
inexperienced,a. lacking practical experience or training
funky,"s. (of jazz) having the soulful feeling of early blues
s. stylish and modern in an unconventional way
s. in a state of cowardly fright"
hum,"n. a humming noise
v. sing with closed lips
v. be noisy with activity
v. sound with a monotonous hum"
schoolteacher,n. a teacher in a school below the college level
pronouncement,n. an authoritative declaration
miss,"n. a failure to hit (or meet or find etc)
n. a form of address for an unmarried woman
v. fail to perceive or to catch with the senses or the mind
v. feel or suffer from the lack of"
Yugoslav,n. a native or inhabitant of Yugoslavia
theorize,"v. construct a theory about
v. form or construct theories"
erratic,"s. liable to sudden unpredictable change
s. having no fixed course
s. likely to perform unpredictably; sometimes it would start and sometimes it wouldn't"""
stronghold,n. a strongly fortified defensive structure
expend,"v use up, consume fully
v pay out"
resilient,"s. recovering readily from adversity, depression, or the like"
special,"n. a special offering (usually temporary and at a reduced price) that is featured in advertising
n. a dish or meal given prominence in e.g. a restaurant
n. a television production that features a particular person or work or topic
s. for a special service or occasion"
Mormon,"n. the ancient prophet whose writings were revealed to Joseph Smith who founded the Church of Jesus Christ of Latter-Day Saints
a. of or pertaining to or characteristic of the Mormon Church"
dispel,"v force to go away; used both with concrete and metaphoric meanings
v to cause to separate and go in different directions"
hilarious,s. marked by or causing boisterous merriment or convulsive laughter
eggplant,"n. egg-shaped vegetable having a shiny skin typically dark purple but occasionally white or yellow
n. hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable"
mother-in-law,n. the mother of your spouse
redesign,"v. design anew, make a new design for"
airy,"s. not practical or realizable; speculative
s. having little or no perceptible weight; so light as to resemble air"
revere,n. American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
small-town,none
wiggle,n. the act of wiggling
taunt,"n aggravation by deriding or mocking or criticizing
v harass with persistent criticism or carping"
syringe,"n. a medical instrument used to inject or withdraw fluids
v. spray or irrigate (a body part) with a syringe"
renounce,"v give up, such as power, as of monarchs and emperors, or duties and obligations
v leave (a job, post, or position) voluntarily
v turn away from; give up
v cast off"
frown,"n. a facial expression of dislike or displeasure
v. look angry or sullen, wrinkle one's forehead, as if to signal disapproval"
handshake,n. grasping and shaking a person's hand (as to acknowledge an introduction or to agree on a contract)
envelop,v. enclose or enfold completely with or as if with a covering
pointer,"n. an indicator as on a dial
n. a strong slender smooth-haired dog of Spanish origin having a white coat with brown or black patches; scents out and points to game"
emigrate,v. leave one's country of residence for a new one
distrust,"n. the trait of not trusting others
v. regard as untrustworthy; regard with suspicion; have no faith or confidence in"
Shiite,n. a member of the branch of Islam that regards Ali as the legitimate successor to Mohammed and rejects the first three caliphs
arch,"n. a curved shape in the vertical plane that spans an opening
n. a curved bony structure supporting or enclosing organs (especially the inner sides of the feet)
n. a passageway under a curved masonry construction
n. (architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it"
squeeze,"n. the act of gripping and pressing firmly
n. a situation in which increased costs cannot be passed on to the customer
n. (slang) a person's girlfriend or boyfriend
n. a twisting squeeze"
bundle,"n. a package of several things tied together for carrying or storing
v. make into a bundle
v. sleep fully clothed in the same bed with one's betrothed"
cardboard,"n. a stiff moderately thick paper
s. without substance"
bribe,"n. payment made to a person in a position of trust to corrupt his judgment
v. make illegal payments to in exchange for favors or influence"
overstate,v. to enlarge beyond bounds or the truth
investing,n. the act of investing; laying out money or capital in an enterprise with the expectation of profit
swath,"n. the space created by the swing of a scythe or the cut of a mowing machine
n. a path or strip (as cut by one course of mowing)"
whichever,pron. & a. Alt. of Whichsoever
disapprove,"v. consider bad or wrong
v. deem wrong or inappropriate"
kindly,"s. pleasant and agreeable
r. in a kind manner or out of kindness"
tan,"n. a browning of the skin resulting from exposure to the rays of the sun
n. a light brown the color of topaz
v. treat skins and hides with tannic acid so as to convert them into leather
v. get a tan, from wind or sun"
yawn,"n. an involuntary intake of breath through a wide open mouth; usually triggered by fatigue or boredom
v. utter a yawn, as from lack of oxygen or when one is tired"
lore,n. knowledge gained through tradition or anecdote
herd,"n. a group of cattle or sheep or other domestic mammals all of the same kind that are herded by humans
n. a group of wild mammals of one species that remain together: antelope or elephants or seals or whales or zebra
v. cause to herd, drive, or crowd together
v. move together, like a herd"
gray,"n. a neutral achromatic color midway between white and black
n. the SI unit of energy absorbed from ionizing radiation; equal to the absorption of one joule of radiation energy by one kilogram of matter; one gray equals 100 rad
n. English radiobiologist in whose honor the gray (the SI unit of energy for the absorbed dose of radiation) was named (1905-1965)
n. English poet best known for his elegy written in a country churchyard (1716-1771)"
gag,"n. restraint put into a person's mouth to prevent speaking or shouting
v. prevent from speaking out
v. tie a gag around someone's mouth in order to silence them
v. make jokes or quips"
hearth,"n. home symbolized as a part of the fireplace
n. an area near a fireplace (usually paved and extending out into a room)"
emphatically,r without question and beyond doubt
closeness,"n. a feeling of being intimate and belonging together
n. characterized by a lack of openness (especially about one's actions or purposes)"
gal,"n. a unit of gravitational acceleration equal to one centimeter per second per second (named after Galileo)
n. alliterative term for girl (or woman)"
obstruct,"v. hinder or prevent the progress or accomplishment of
v. block passage through
v. shut out from view or get in the way so as to hide from sight"
simplistic,s. characterized by extreme and often misleading simplicity
improbable,"a. not likely to be true or to occur or to have occurred
s. having a probability too low to inspire belief
s. too improbable to admit of belief"
cringe,"v draw back, as with fear or pain
v show submission or fear"
climax,"n. the highest point of anything conceived of as growing or developing or unfolding
n. the decisive moment in a novel or play
n. the most severe stage of a disease
n. arrangement of clauses in ascending order of forcefulness"
trudge,n. a long difficult walk
czar,"n. a male monarch or emperor (especially of Russia prior to 1917)
n. a person having great power"
breeder,n. a person who breeds animals
smuggler,n. someone who imports or exports without paying duties
roadway,n. a road (especially that part of a road) over which vehicles travel
memorabilia,n. a record of things worth remembering
faucet,n. a regulator for controlling the flow of a liquid from a reservoir
unearth,v. bring to light
plunge,"n. a steep and rapid fall
v. dash violently or with great speed or impetuosity
v. begin with vigor
v. cause to be immersed"
worthy,"n. an important, honorable person (word is often used humorously)
a. having worth or merit or value; being honorable or admirable
s. having qualities or abilities that merit recognition in some way"
proclamation,n. the formal act of proclaiming; giving public notice
caliber,"n a degree or grade of excellence or worth
n diameter of a tube or gun barrel"
victimize,"v. make a victim of
v. punish unjustly
v. deprive of by deceit"
confinement,"n. the act of restraining of a person's liberty by confining them
n. the state of being confined"
shard,n. a broken piece of a brittle artifact
sharing,"n. using or enjoying something jointly with others
n. having in common
n. a distribution in shares"
glean,"v gather, as of natural products"
updated,"v modernize or bring up to date
v bring up to date; supply with recent information
v bring to the latest state of technology"
humid,s. containing or characterized by a great deal of water vapor
varsity,"n. a British abbreviation of `university'; usually refers to Oxford University or Cambridge University
n. a team representing a college or university"
contributing,"v bestow a quality on
v contribute to some cause
v be conducive to
v provide
s tending to bring about; being partly responsible for"
humiliating,"v cause to feel shame; hurt the pride of
s causing awareness of your shortcomings"
choral,a. related to or written for or performed by a chorus or choir
testament,"n. a profession of belief
n. strong evidence for something
n. either of the two main parts of the Christian Bible"
anthropological,a. of or concerned with the science of anthropology
induction,"n. an electrical phenomenon whereby an electromotive force (EMF) is generated in a closed circuit by a change in the flow of current
n. the act of bringing about something (especially at an early time)"
ambivalent,s. uncertain or unable to decide about what course to follow
wrapper,"n a loose dressing gown for women
n the covering (usually paper or cellophane) in which something is wrapped
n cloak that is folded or wrapped around a person"
worldly,a. characteristic of or devoted to the temporal world as opposed to the spiritual world
swarm,n. a group of many things in the air or on the ground
fillet,"n. a boneless steak cut from the tenderloin of beef
n. a longitudinal slice or boned side of a fish
n. fastener consisting of a narrow strip of welded metal used to join steel members
v. decorate with a lace of geometric designs"
unreliable,"a. not worthy of reliance or trust
s. lacking a sense of responsibility"
life-threatening,s causing fear or anxiety by threatening great harm
feeding,n. the act of supplying food and nourishment
tutoring,"v be a tutor to someone; give individual instruction
v act as a guardian to someone"
dwindle,v. become smaller or lose substance
stash,"n a secret store of valuables or money
v save up as for future use"
extra,"n. an additional edition of a newspaper (usually to report a crisis)
n. something additional of the same kind
s. added to a regular schedule
s. further or added"
shortstop,"n. (baseball) the person who plays the shortstop position
n. the fielding position of the player on a baseball team who is stationed between second and third base"
rejoice,v. feel happiness or joy
unequal,a. poorly balanced or matched in quantity or value or measure
suggestive,s. tending to suggest something improper or indecent
arid,"s. lacking sufficient water or rainfall
s. lacking vitality or spirit; lifeless"
down,"n. soft fine feathers
n. (American football) a complete play to advance the football
n. English physician who first described Down's syndrome (1828-1896)
n. (usually plural) a rolling treeless highland with little soil"
attributable,a. capable of being attributed
doorstep,n the sill of a door; a horizontal piece of wood or stone that forms the bottom of a doorway and offers support when passing through a doorway
ill,"a. affected by an impairment of normal physical or mental function
s. resulting in suffering or adversity
s. distressing
s. indicating hostility or enmity"
biased,s. favoring one person or side over another
centimeter,n. a metric unit of length equal to one hundredth of a meter
fundamental,"n. any factor that could be considered important to the understanding of a particular business
n. the lowest tone of a harmonic series
s. being or involving basic facts or principles
s. far-reaching and thoroughgoing in effect especially on the nature of something"
Ukrainian,"n. the Slavic language spoken in the Ukraine
a. of or relating to or characteristic of Ukraine or its people or culture"
flyer,"n an advertisement (usually printed on a page or in a leaflet) intended for wide distribution
n someone who travels by air
n someone who operates an aircraft
s (British informal) not to be deceived or hoodwinked"
caring,s. feeling and exhibiting concern and empathy for others
dialect,n. the usage or vocabulary that is characteristic of a specific group of people
Peruvian,"n. a native or inhabitant of Peru
a. of or relating to or characteristic of Peru or its people"
bungalow,n. a small house with a single story
evergreen,"n. a plant having foliage that persists and remains green throughout the year
a. (of plants and shrubs) bearing foliage throughout the year"
positioning,"n the act of putting something in a certain place
v cause to be in an appropriate place, state, or relation
v put into a certain place or abstract location
s causing to fall into line or into position"
founding,"n the act of starting something for the first time; introducing something new
v set up or found
v set up or lay the groundwork for
v use as a basis for; found on"
distance,"n. the property created by the space between two objects or points
n. a distant region
n. size of the gap between two places
n. indifference by personal withdrawal"
welcoming,s. very cordial
unspoken,"s expressed without speech
s not made explicit"
paddle,"n. small wooden bat with a flat surface; used for hitting balls in various games
n. a blade of a paddle wheel or water wheel
n. an instrument of punishment consisting of a flat board
n. a short light oar used without an oarlock to propel a canoe or small boat"
recruiter,"n. someone who supplies members or employees
n. an official who enlists personnel for military service"
substitution,"n. an event in which one thing is substituted for another
n. the act of putting one thing or person in the place of another: ""he sent Smith in for Jones but the substitution came too late to help"""
inconvenience,"n. an inconvenient discomfort
n. the quality of not being useful or convenient"
kettle,"n. a metal pot for stewing or boiling; usually has a lid
n. the quantity a kettle will hold
n. a large hemispherical brass or copper percussion instrument with a drumhead that can be tuned by adjusting the tension on it"
misdemeanor,n. a crime less serious than a felony
patriarch,"n. title for the heads of the Eastern Orthodox Churches (in Istanbul and Alexandria and Moscow and Jerusalem)
n. the male head of family or tribe
n. any of the early biblical characters regarded as fathers of the human race
n. a man who is older and higher in rank than yourself"
saucer,n. a small shallow dish for holding a cup at the table
recurrence,n. happening again (especially at regular intervals)
gamble,"n. money that is risked for possible monetary gain
n. a risky act or venture
v. take a risk in the hope of a favorable outcome
v. play games for money"
sleeper,"n. a rester who is sleeping
n. a spy or saboteur or terrorist planted in an enemy country who lives there as a law-abiding citizen until activated by a prearranged signal
n. an unexpected achiever of success
n. pajamas with feet; worn by children"
generalize,"v. draw from specific cases for more general cases
v. speak or write in generalities
v. become systemic and spread throughout the body"
transient,"n. one who stays for only a short time
n. (physics) a short-lived oscillation in a system caused by a sudden change of voltage or current or load"
caricature,"n. a representation of a person that is exaggerated for comic effect
v. represent in or produce a caricature of"
foothill,n. a relatively low hill on the lower slope of a mountain
loot,"n. goods or money obtained illegally
v. take illegally; of intellectual property"
adoptive,a. of parents and children; related by adoption
legalize,v. make legal
nest,"n. a structure in which animals lay eggs or give birth to their young
n. a kind of gun emplacement
n. a cosy or secluded retreat
n. a gang of people (criminals or spies or terrorists) assembled in one locality"
attire,n. clothing of a distinctive style or for a particular occasion
info,n a message received and understood
racing,n. the sport of engaging in contests of speed
derivative,"n. a compound obtained from, or regarded as derived from, another compound
n. (linguistics) a word that is derived from another word
s. resulting from or employing derivation"
macho,n. a male exhibiting or characterized by machismo
colonialism,n. exploitation by a stronger country of weaker one; the use of the weaker country's resources to strengthen and enrich the stronger country
frontal,"n. a drapery that covers the front of an altar
s. belonging to the front part
a. of or relating to the front of an advancing mass of air
s. meeting front to front"
strained,s. showing signs of mental and emotional tension
viability,"n. (of living things) capable of normal growth and development
n. capable of being done in a practical and useful way"
mare,"n. female equine animal
n. a dark region of considerable extent on the surface of the moon"
synonymous,a. (of words) meaning the same or nearly the same
clothe,v. cover as if with clothing
abstinence,"n. the trait of abstaining (especially from alcohol)
n. act or practice of refraining from indulging an appetite"
twirl,v. turn in a twisting or spinning motion
picket,"n. a detachment of troops guarding an army from surprise attack
n. a protester posted by a labor organization outside a place of work
n. a vehicle performing sentinel duty
n. a wooden strip forming part of a fence"
backcountry,none
propulsion,"n. a propelling force
n. the act of propelling"
sub,"n a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States
n a submersible warship usually armed with torpedoes
v be a substitute"
spreading,"n process or result of distributing or extending over a wide expanse of space
n the opening of a subject to widespread discussion and debate
n act of extending over a wider scope or expanse of space or time
v distribute or disperse widely
v become distributed or widespread
v spread across or over
v spread out or open from a closed or folded state
v cause to become widely known
v become widely known and passed on
v strew or distribute over an area
v move outward
v cover by spreading something over
v distribute over a surface in a layer"
second-hand,"s. derived from what is primary or original; not firsthand
s. previously used or owned by another
r. by indirect means"
blatant,"s. without any attempt at concealment; completely obvious
s. conspicuously and offensively loud; given to vehement outcry"
moderate,"v. preside over
v. make less fast or intense
a. being within reasonable or average limits; not excessive or extreme
s. not extreme"
overboard,"r. to extremes
r. from on board a vessel into the water"
informative,a. providing or conveying information
funnel,"n. a conical shape with a wider and a narrower opening at the two ends
n. a conically shaped utensil having a narrow tube at the small end; used to channel the flow of substances into a container with a small mouth
n. (nautical) smokestack consisting of a shaft for ventilation or the passage of smoke (especially the smokestack of a ship)
v. move or pour through a funnel"
Emmy,n. an annual award by the Academy of Television Arts and Sciences for outstanding achievements in television
stated,"v express in words
v put before
v indicate through a symbol, formula, etc.
s declared as fact; explicitly stated"
combatant,"n. someone who fights (or is fighting)
s. engaging in or ready for combat"
routine,"n. an unvarying or habitual method or procedure
n. a set sequence of steps, part of larger computer program"
distorted,s. having an intended meaning altered or misrepresented
fanatic,"n. a person motivated by irrational enthusiasm (as for a cause)
s. marked by excessive enthusiasm for and intense devotion to a cause or idea"
outfielder,"n. (baseball) a person who plays in the outfield
n. a fielder in cricket who is stationed in the outfield"
familial,"a. relating to or having the characteristics of a family
s. occurring among members of a family usually by heredity"
hopelessly,"r. in a hopeless manner
r. without hope; desperate because there seems no possibility of comfort or success"
nominal,"a. relating to or constituting or bearing or giving a name
s. insignificantly small; a matter of form only (`tokenish' is informal)
a. pertaining to a noun or to a word group that functions as a noun
a. of, relating to, or characteristic of an amount that is not adjusted for inflation"
frivolous,a. not serious in content or attitude or behavior
recapture,"n. a legal seizure by the government of profits beyond a fixed amount
n. the act of taking something back
v. experience anew
v. take up anew"
porn,n creative activity (writing or pictures or films etc.) of no literary or artistic value other than to stimulate sexual desire
remembrance,n. the ability to recall past occurrences
upstate,r. in or toward the northern parts of a state
going,"n. advancing toward a goal
s. in full operation"
attainment,"n. the act of achieving an aim
n. arrival at a new stage"
repercussion,n. a remote or indirect consequence of some action
exceedingly,r to an extreme degree
mussels,"n black marine bivalves usually steamed in wine
n marine or freshwater bivalve mollusk that lives attached to rocks etc."
wrinkled,a. marked by wrinkles
detachment,"n. the act of releasing from an attachment or connection
n. a small unit of troops of special composition"
tame,"v. correct by punishment or discipline
s. flat and uninspiring
a. very restrained or quiet
a. brought from wildness into a domesticated state"
rendering,"n. a coat of stucco applied to a masonry wall
n. perspective drawing of an architect's design
n. giving in acknowledgment of obligation"
thirst,"n. a physiological need to drink
v. feel the need to drink"
mindful,a. bearing in mind; attentive to
ancestry,n. inherited properties shared with others of your bloodline
pictorial,"n. a periodical (magazine or newspaper) containing many pictures
a. pertaining to or consisting of pictures"
bison,n. any of several large humped bovids having shaggy manes and large heads and short horns
genus,"n. a general kind of something
n. (biology) taxonomic group containing one or more species"
flashy,s. (used especially of clothes) marked by conspicuous display
pilot,"n. someone who is licensed to operate an aircraft in flight
n. a person qualified to guide ships through difficult waters going into or out of a harbor"
cohesion,"n. (botany) the process in some plants of parts growing together that are usually separate (such as petals)
n. (physics) the intermolecular force that holds together the molecules in a solid or liquid"
debacle,"n. a sudden and violent collapse
n. flooding caused by a tumultuous breakup of ice in a river during the spring or summer"
hygiene,"n. a condition promoting sanitary practices
n. the science concerned with the prevention of illness and maintenance of health"
provisional,s under terms not final or fully worked out or agreed upon
vial,n a small bottle that contains a drug (especially a sealed sterile container for injection by needle)
funded,a. furnished with funds
centennial,"n. the 100th anniversary (or the celebration of it)
a. of or relating to or completing a period of 100 years"
accelerated,"s. speeded up, as of an academic course"
twentieth-century,none
at-risk,none
original,"n. something that serves as a model or a basis for making copies
s. preceding all others in time or being as first made or performed
s. (of e.g. information) not secondhand or by way of something intermediary
a. being or productive of something fresh and unusual; or being as first made or thought of"
deport,"v behave in a certain manner
v hand over to the authorities of another country
v expel from a country"
dweller,n a person who inhabits a particular place
ardent,"s. characterized by intense emotion
s. characterized by strong enthusiasm
s. glowing or shining like fire"
relive,"v. experience again, often in the imagination"
amen,n. a primeval Egyptian personification of air and breath; worshipped especially at Thebes
nice,"n. a city in southeastern France on the Mediterranean; the leading resort on the French Riviera
a. pleasant or pleasing or agreeable in nature or appearance
s. done with delicacy and skill"
oversized,s larger than normal for its kind
decoy,"n. a beguiler who leads someone into danger (usually as part of a plot)
v. lure or entrap with or as if with a decoy"
righteous,"a. characterized by or proceeding from accepted standards of morality or justice
s. morally justified"
narration,"n. the act of giving an account describing incidents or a course of events
n. (rhetoric) the second section of an oration in which the facts are set forth"
blare,n. a loud harsh or strident noise
gobble,"n. the characteristic sound made by a turkey cock
v. eat hastily without proper chewing
v. make a gurgling sound, characteristic of turkeys"
regular,"n. a regular patron
n. a soldier in the regular army
n. a dependable follower (especially in party politics)
n. a garment size for persons of average height and weight"
jolt,"n. a sudden jarring impact
v. move or cause to move with a sudden jerky motion
v. disturb (someone's) composure"
mend,"n. sewing that repairs a worn or torn hole (especially in a garment)
v. heal or recover"
subpoena,"n. a writ issued by court authority to compel the attendance of a witness at a judicial proceeding; disobedience may be punishable as a contempt of court
v. serve or summon with a subpoena"
teller,"n. United States physicist (born in Hungary) who worked on the first atom bomb and the first hydrogen bomb (1908-2003)
n. an official appointed to count the votes (especially in legislative assembly)
n. an employee of a bank who receives and pays out money"
naturalist,"n. an advocate of the doctrine that the world can be understood in scientific terms
n. a biologist knowledgeable about natural history (especially botany and zoology)"
detrimental,s (sometimes followed by `to') causing harm or injury
spiritually,r. in a spiritual manner
demolition,n. the act of demolishing
internalize,v. incorporate within oneself; make subjective or personal
noted,s. worthy of notice or attention
metaphysical,"a. pertaining to or of the nature of metaphysics
s. without material form or substance
s. highly abstract and overly theoretical"
unprepared,a. without preparation; not prepared for
appalling,"n. an experience that appalls
s. causing consternation"
valuation,n. assessed price
reorganize,"v. organize anew
v. organize anew, as after a setback"
leafy,a. having or covered with leaves
tweak,v. pinch or squeeze sharply
cheerfully,r. in a cheerful manner
murmur,"v. speak softly or indistinctly
v. make complaining remarks or noises under one's breath"
ponytail,n. a hair style that draws the hair back so that it hangs down in back of the head like a pony's tail
boiler,n. sealed vessel where water is converted to steam
powerfully,r. in a powerful manner
learned,"v gain knowledge or skills
v get to know or become aware of, usually accidentally
v commit to memory; learn by heart
v be a student of a certain subject
v impart skills or knowledge to
v find out, learn, or determine with certainty, usually by making an inquiry or other effort
s having or showing profound knowledge
s highly educated; having extensive information or understanding
a established by conditioning or learning"
proprietor,n (law) someone who owns (is legal possessor of) a business
exaggeration,"n. the act of making something more noticeable than usual
n. making to seem more important than it really is"
ailing,s. somewhat ill or prone to illness
wrong,"n. that which is contrary to the principles of justice or law
n. any harm or injury resulting from a violation of a legal right
v. treat unjustly; do wrong to
a. contrary to conscience or morality or law"
unjust,a. violating principles of justice
accentuate,"v to stress, single out as important
v put stress on; utter with an accent"
strife,n. bitter conflict; heated often violent dissension
devout,s. deeply religious
penetration,"n. an attack that penetrates into enemy territory
n. clear or deep perception of a situation
n. the act of entering into or through something"
fielder,"n. a member of the baseball team that is in the field instead of at bat
n. a member of the cricket team that is fielding rather than batting"
baggy,s. not fitting closely; hanging loosely
validation,n. the act of validating; finding or testing the truth of something
primer,n. an introductory textbook
Hebrew,n. the ancient Canaanitic language of the Hebrews that has been revived as the official language of Israel
adventurous,a. willing to undertake or seeking out new and daring enterprises
grimace,"n. a contorted facial expression
v. contort the face to indicate a certain mental or emotional state"
gutter,"n. a channel along the eaves or on the roof; collects and carries away rainwater
n. misfortune resulting in lost effort or money
n. a worker who guts things (fish or buildings or cars etc.)
n. a tool for gutting fish"
leash,n. restraint consisting of a rope (or light chain) used to restrain an animal
baby-sitter,n a person engaged to care for children when the parents are not home
reinstate,v. restore to the previous state or rank
mint,"n. any north temperate plant of the genus Mentha with aromatic leaves and small mauve flowers
n. any member of the mint family of plants
n. the leaves of a mint plant used fresh or candied
n. a candy that is flavored with a mint oil"
colonization,n. the act of colonizing; the establishment of colonies
pane,n. sheet glass cut in shapes for windows or doors
gun,"n. a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)
n. the discharge of a firearm as signal or as a salute in military ceremonies
v. shoot with a gun"
privatize,v. change from governmental to private control or ownership
Jordanian,"n. a native or inhabitant of Jordan
a. of or relating to or characteristic of Jordan or its people"
vegetarian,n. eater of fruits and grains and nuts; someone who eats no meat or fish or (often) any animal products
exporter,n. a businessperson who transports goods abroad (for sale)
chip,"n. a triangular wooden float attached to the end of a log line
n. a piece of dried bovine dung
n. a thin crisp slice of potato fried in deep fat
n. a small disk-shaped counter used to represent money when gambling"
bottled,"v store (liquids or gases) in bottles
v put into bottles"
mate,"n. the officer below the master on a commercial ship
n. the partner of an animal (especially a sexual partner)
n. one of a pair
n. South American holly; leaves used in making a drink like tea"
crop,"n. the yield from plants in a single growing season
n. a cultivated plant that is grown commercially on a large scale
n. a collection of people or things appearing together
n. the output of something in a season"
specified,a. clearly and explicitly stated
stabilization,"n. the act of stabilizing something or making it more stable
n. the act of making something (as a vessel or aircraft) less likely to overturn"
feeder,"n. an animal being fattened or suitable for fattening
n. a branch that flows into the main stream
n. an animal that feeds on a particular source of food"
co-star,"n one of two actors who are given equal status as stars in a play or film
v feature as the co-star in a performance
v be the co-star in a performance"
standoff,"n the finish of a contest in which the score is tied and the winner is undecided
n the act of repulsing or repelling an attack; a successful defensive stand"
hire,"n. a newly hired employee
n. the act of hiring something or someone
v. engage or hire for work"
backward,"a. directed or facing toward the back or rear
a. (used of temperament or behavior) marked by a retiring nature
s. retarded in intellectual development
s. having made less than normal progress"
trainee,n. someone who is being trained
condition,"n. a state at a particular time
n. an assumption on which rests the validity or effect of something else
n. a mode of being or form of existence of a person or thing
n. the state of (good) health (especially in the phrases `in condition' or `in shape' or `out of condition' or `out of shape')"
childbirth,n. the parturition process in human beings; having a baby; the process of giving birth to a child
smother,"n. a stifling cloud of smoke
v. envelop completely
v. deprive of oxygen and prevent from breathing
v. conceal or hide"
faint,"n. a spontaneous loss of consciousness caused by insufficient blood to the brain
v. pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain
s. deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc
s. lacking strength or vigor"
spoon,"n. a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food
n. as much as a spoon will hold
n. formerly a golfing wood with an elevated face
v. scoop up or take up with a spoon"
refund,"n. money returned to a payer
n. the act of returning money received previously
v. pay back"
Islamist,"n. a scholar who knowledgeable in Islamic studies
n. an orthodox Muslim"
