abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
district,n. a region marked off for administrative or other purposes
disturb,"v. move deeply
v. damage as if by shaking or jarring"
diverge,"v. move or draw apart
v. have no limits as a mathematical series
v. extend in a different direction"
diverse,s. distinctly dissimilar or unlike
diversification,"n. the act of introducing variety (especially in investments or in the variety of goods and services offered)
n. the condition of being varied; every day it is the same"""
diversify,"v. make (more) diverse
v. spread into new habitats and produce variety or variegate
v. vary in order to spread risk or to expand"
diversion,"n. an activity that diverts or amuses or stimulates
n. a turning aside (of your course or attention or concern)
n. an attack calculated to draw enemy defense away from the point of the principal attack"
divest,"v. deprive of status or authority
v. reduce or dispose of; cease to hold (an investment)"
dividend,"n. that part of the earnings of a corporation that is distributed to its shareholders; usually paid quarterly
n. a number to be divided by another number
n. a bonus; something extra (especially a share of a surplus)"
divisible,a. capable of being or liable to be divided or separated
division,"n. an army unit large enough to sustain combat
n. the act or process of dividing
n. an administrative unit in government or business
n. discord that splits a group"
divisive,s dissenting (especially dissenting with the majority opinion)
divulge,v make known to the public information that was previously known only to a few people or that was meant to be kept a secret
doctorate,n one of the highest earned academic degrees conferred by a university
doctrine,n. a belief (or system of beliefs) accepted as authoritative by some group or school
documentation,"n. confirmation that some fact or statement is true through the use of documentary evidence
n. documentary validation"
dogma,"n. a religious doctrine that is proclaimed as true without proof
n. a doctrine or code of beliefs accepted as authoritative"
domain,"n. territory over which rule or control is exercised
n. (mathematics) the set of values of the independent variable for which a function is defined"
domestic,"n. a servant who is paid to perform menial tasks around the household
a. of concern to or concerning the internal affairs of a nation
a. of or relating to the home
a. of or involving the home or family"
domesticate,"v. adapt (a wild plant or unclaimed land) to the environment
v. overcome the wildness of; make docile and tractable
v. make fit for cultivation, domestic life, and service to humans"
domestication,"n. adaptation to intimate association with human beings
n. accommodation to domestic life"
domesticity,"n. the quality of being domestic or domesticated
n. domestic activities or life"
dominate,"v. be in control
v. have dominance or the power to defeat over
v. look down on"
donate,v. give to a charity or good cause
dormant,"s. in a condition of biological rest or suspended animation
a. (of e.g. volcanos) not erupting and not extinct
s. lying with head on paws as if sleeping"
dosage,"n the quantity of an active agent (substance or radiation) taken in or absorbed at any one time
n a measured portion of medicine taken at any one time"
dose,"n. a measured portion of medicine taken at any one time
n. the quantity of an active agent (substance or radiation) taken in or absorbed at any one time
v. treat with an agent; add (an agent) to"
dough,n. a flour mixture stiff enough to knead or roll
downplay,"v represent as less significant or important
v understate the importance or quality of"
downstream,a. in the direction of a stream's current
drab,"s. lacking in liveliness or charm or surprise
s. lacking brightness or color; dull"
draft,"n. a document ordering the payment of money; drawn by one person or bank on another
n. a current of air (usually coming into a chimney or room or vehicle)
n. a preliminary sketch of a design or picture
n. a serving of drink (usually alcoholic) drawn from a keg"
drainage,n emptying something accomplished by allowing liquid to run out of it
dramatize,"v. put into dramatic form
v. represent something in a dramatic manner"
drastic,s. forceful and extreme and rigorous
drift,"n. a force that moves something along
n. the gradual departure from an intended course due to external influences (as a ship or plane)
n. a process of linguistic change over a period of time
n. a large mass of material that is heaped up by the wind or by water currents"
drilling,n. the act of drilling
drizzle,"n. very light rain; stronger than mist but less than a shower
v. rain lightly
v. moisten with fine drops"
droplet,n. a tiny drop
dropout,"n. someone who quits school before graduation
n. someone who withdraws from a social group or environment"
drought,"n. a shortage of rainfall
n. a prolonged shortage"
dubious,s. not convinced
ductile,"s. easily influenced
s. capable of being shaped or bent or drawn out"
dump,"n. a piece of land where waste materials are dumped
n. (computer science) a copy of the contents of a computer storage device; sometimes used in debugging programs
n. a place where supplies can be stored
v. throw away as refuse"
dumpster,n. a container designed to receive and transport and dump waste
duplicate,"n. a copy that corresponds to an original exactly
v. make or do or perform again
v. make a duplicate or duplicates of
s. identically copied from an original"
duplication,n. the act of copying or making a duplicate (or duplicates) of something
durability,n permanence by virtue of the power to resist stress or force
duration,"n. the period of time during which something continues
n. the property of enduring or continuing in time
n. continuance in time"
dwarf,"n. a person who is markedly small
n. a plant or animal that is atypically small
v. check the growth of"
dwelling,n. housing that someone is living in
dwindle,v. become smaller or lose substance
dye,"n. a usually soluble substance for staining or coloring e.g. fabrics or hair
v. color with dye"
dynamic,"a. characterized by action or forcefulness or force of personality
a. of or relating to dynamics"
ease,"n. freedom from difficulty or hardship or effort
n. a freedom from financial difficulty that promotes a comfortable state
n. freedom from constraint or embarrassment
v. move gently or carefully"
echolocation,n. determining the location of something by measuring the time it takes for an echo to return from it
eclipse,"n. one celestial body obscures another
v. cause an eclipse of (a celestial body) by intervention"
ecology,"n. the environment as it relates to living organisms
n. the branch of biology concerned with the relations between organisms and their environment"
economy,"n. the system of production and distribution and consumption
n. the efficient use of resources
n. frugality in the expenditure of money or resources
n. an act of economizing; reduction in cost"
ecosystem,n. a system formed by the interaction of a community of organisms with their physical environment
edge,"n. the boundary of a surface
n. a sharp side formed by the intersection of two surfaces of an object
n. the attribute of urgency in tone of voice
n. a slight competitive advantage"
edible,a. suitable for use as food
editorial,"a. of or relating to an article stating opinions or giving perspectives
a. relating to or characteristic of an editor"
educator,n. someone who educates young people
effect,"n. an impression (especially one that is artificial or contrived)
n. the central meaning or theme of a speech or literary work
n. (of a law) having legal validity
n. a symptom caused by an illness or a drug"
efficacy,n. capacity or power to produce a desired effect
efficiency,"n. the ratio of the output to the input of any system
n. skillfulness in avoiding wasted time and effort"
efficient,a. being effective without wasting time or effort or expense
effigy,n. a representation of a person (especially in the form of sculpture)
effluent,"n. water mixed with waste matter
s. that is flowing outward"
egalitarianism,n. the doctrine of the equality of mankind and the desirability of political and economic and social equality
egoistic,a. limited to or caring only about yourself and your own needs
eject,"v. put out or expel from a place
v. leave an aircraft rapidly, using an ejection seat or capsule"
elaborate,"v. add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v. produce from basic elements or sources; change into a more developed product
v. work out in detail
s. marked by complexity and richness of detail"
elective,"a. subject to popular election
s. not compulsory"
electorate,n. the body of enfranchised citizens; those qualified to vote
electricity,"n. a physical phenomenon associated with stationary or moving electrons and protons
n. energy made available by the flow of electric charge through a conductor
n. keen and shared excitement"
electro,n. An electrotype.
electromagnetic,a. pertaining to or exhibiting magnetism produced by electric charge in motion
electron,n. an elementary particle with negative charge
element,"n. the most favorable environment for a plant or animal
n. one of four substances thought in ancient and medieval cosmology to constitute the physical universe
n. the situation in which you are happiest and most effective
n. a straight line that generates a cylinder or cone"
elevate,"v give a promotion to or assign to a higher position
v raise from a lower to a higher position
v raise in rank or condition"
elevation,"n. the event of something being raised upward
n. angular distance above the horizon (especially of a celestial object)
n. distance of something above a reference point (such as sea level)"
elicit,v. derive by reason
eligible,a. qualified for or allowed or worthy of being chosen
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
elite,n. a group or class of persons enjoying superior intellectual or social or economic status
elliptical,"s rounded like an egg
s characterized by extreme economy of expression or omission of superfluous elements"
elongate,"v. make long or longer by pulling and stretching
s. having notably more length than width; being long and slender"
eloquent,"s. expressing yourself readily, clearly, effectively"
elude,"v. escape, either physically or mentally
v. be incomprehensible to; escape understanding by"
emancipation,n. freeing someone from the control of another; especially a parent's relinquishing authority and control over a minor child
embalm,v. preserve a dead body
embargo,"n. a government order imposing a trade barrier
v. ban the publication of (documents), as for security or copyright reasons
v. prevent commerce"
embark,"v. go on board
v. set out on (an enterprise or subject of study)"
embarrass,v. cause to be embarrassed; cause to feel self-conscious
embarrassed,s. made to feel uncomfortable because of shame or wounded pride
embed,"v. attach to, as a journalist to a military unit when reporting on a war"
embellish,"v add details to
v be beautiful to look at
v make more attractive by adding ornament, colour, etc.
v make more beautiful"
embrace,"n. the act of clasping another person in the arms (as in greeting or affection)
n. the state of taking in or encircling
n. a close affectionate and protective acceptance
v. include in scope; include as part of something broader; have as one's sphere or territory"
embryo,"n. (botany) a minute rudimentary plant contained within a seed or an archegonium
n. an animal organism in the early stages of growth and differentiation that in higher forms merge into fetal stages but in lower forms terminate in commencement of larval life"
embryonic,"s. of an organism prior to birth or hatching
s. in an early stage of development"
emerge,"v. come out into view, as from concealment
v. become known or apparent
v. come up to the surface of or rise"
emergence,"n. the gradual beginning or coming forth
n. the becoming visible
n. the act of emerging"
emergency,"n. a sudden unforeseen crisis (usually involving danger) that requires immediate action
n. a state in which martial law applies"
emigrate,v. leave one's country of residence for a new one
eminent,"s. standing above others in quality or position
s. of imposing height; especially standing out above others"
emission,"n. the act of emitting; causing to flow forth
n. the release of electrons from parent atoms
n. the occurrence of a flow of water (as from a pipe)"
emit,"v. expel (gases or odors)
v. give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc."
emphasis,"n. special importance or significance
n. special and significant stress by means of position or repetition e.g."
emphasize,"v to stress, single out as important
v give extra weight to (a communication)"
empirical,a. derived from experiment and observation rather than theory
emulate,"v. strive to equal or match, especially by imitating
v. imitate the function of (another system), as by modifying the hardware or the software
v. compete with successfully; approach or reach equality with"
enact,v. act out; represent or perform as if in a play
enamel,"n. hard white substance covering the crown of a tooth
n. a colored glassy compound (opaque or partially opaque) that is fused to the surface of metal or glass or pottery for decoration or protection
n. a paint that dries to a hard glossy finish
n. any smooth glossy coating that resembles ceramic glaze"
encephalitis,n. inflammation of the brain usually caused by a virus; symptoms include headache and neck pain and drowsiness and nausea and fever (`phrenitis' is no longer in scientific use)
enclose,"v. close in; darkness enclosed him""
v. surround completely"
encode,v. convert information into code
encompass,v include in scope; include as part of something broader; have as one's sphere or territory
encounter,n. a casual meeting with a person or thing
encroach,v. advance beyond the usual limit
encyclopedia,n. a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty
endanger,v. pose a threat to; present a danger to
endeavor,v. attempt by employing effort
endemic,"n. a disease that is constantly present to a greater or lesser degree in people of a certain class or in people living in a particular location
n. a plant that is native to a certain limited area
a. of or relating to a disease (or anything resembling a disease) constantly present to greater or lesser extent in a particular locality
a. native to or confined to a certain region"
endorphin,n. a neurochemical occurring naturally in the brain and having analgesic properties
endorse,v. sign as evidence of legal transfer
endothermic,a. (of a chemical reaction or compound) occurring or formed with absorption of heat
enforce,"v. ensure observance of laws and rules; 
v. compel to behave in a certain way"
enfranchisement,n. freedom from political subjugation or servitude
engage,"v. ask to represent; of legal counsel
v. get caught
v. carry on (wars, battles, or campaigns)
v. hire for work or assistance"
engender,v. call forth
engulf,v. flow over or cover completely
enhance,"v. increase
v. make better or more attractive"
enhanced,s. increased or intensified in value or beauty or quality
enlightened,a. having knowledge and spiritual insight
enlist,"v. join the military
v. engage somebody to enter the army"
enormous,"s. extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman"
enrich,"v. make better or improve in quality
v. make wealthy or richer"
enroll,v. register formally as a participant or member
ensemble,"n. a group of musicians playing or singing together
n. a cast other than the principals
n. an assemblage of parts or details (as in a work of art) considered as forming a whole
n. a coordinated outfit (set of clothing)"
enshrine,"v. enclose in a shrine
v. hold sacred"
entail,"n. land received by fee tail
n. the act of entailing property; the creation of a fee tail from a fee simple
v. have as a logical consequence
v. impose, involve, or imply as a necessary accompaniment or result"
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
entertainment,n. an activity that is diverting and that holds the attention
enthusiastically,r. with enthusiasm; in an enthusiastic manner
entice,v. provoke someone to do something through (often false or exaggerated) promises or persuasion
entitle,"v. give the right to
v. give a title to"
entity,n. that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
entrant,"n. a commodity that enters competition with established merchandise
n. someone who enters
n. one who enters a competition"
entrapment,n. a defense that claims the defendant would not have broken the law if not tricked into doing it by law enforcement officials
entrepreneur,n. someone who organizes a business venture and assumes the risk for it
entrepreneurship,none
entry,"n. an item inserted in a written record
n. a written record of a commercial transaction"
enumerate,v. specify individually
envelop,v. enclose or enfold completely with or as if with a covering
envelope,"n. a flat (usually rectangular) container for a letter, thin package, etc.
n. any wrapper or covering
n. a curve that is tangent to each of a family of curves
n. a natural covering (as by a fluid)"
envision,v. picture to oneself; imagine possible
enzyme,n. any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions
epic,"s. very imposing or impressive; surpassing the ordinary (especially in size or scale)
a. constituting or having to do with or suggestive of a literary epic"
epicenter,n. the point on the Earth's surface directly above the focus of an earthquake
epidemic,"n. a widespread outbreak of an infectious disease; many people are infected at the same time
a. (especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously"
episode,"n. a happening that is distinctive in a series of related events
n. a brief section of a literary or dramatic work that forms part of a connected series
n. a part of a broadcast serial"
episodic,"s. of writing or narration; divided into or composed of episodes
s. occurring or appearing at usually irregular intervals
s. limited in duration to a single episode"
epochal,s. highly significant or important especially bringing about or marking the beginning of a new development or era
equalize,v. compensate; make the score equal
equilibrium,"n. a stable situation in which forces cancel one another
n. a sensory system located in structures of the inner ear that registers the orientation of the head"
equip,"v. provide with (something) usually for a specific purpose
v. provide with abilities or understanding"
equity,"n. the difference between the market value of a property and the claims held against it
n. the ownership interest of shareholders in a corporation"
equivalent,"n. a person or thing equal to another in value or measure or force or effect or significance etc
n. the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen
s. being essentially equal to something"
era,"n. a period marked by distinctive character or reckoned from a fixed point or event
n. a major division of geological time; an era is usually divided into two or more periods"
eradicate,"v kill in large numbers
v destroy completely, as if down to the roots"
eradication,n. the complete destruction of every trace of something
erase,"v. remove from memory or existence
v. remove by or as if by rubbing or erasing
v. wipe out digitally or magnetically recorded information"
ergonomic,a. of or relating to ergonomics
erode,"v. become ground down or deteriorate
v. remove soil or rock"
errand,n. a short trip that is taken in the performance of a necessary task or mission
erratic,"s. liable to sudden unpredictable change
s. having no fixed course
s. likely to perform unpredictably; sometimes it would start and sometimes it wouldn't"""
eruption,"n. symptom consisting of a breaking out and becoming visible
n. (of volcanos) pouring out fumes or lava (or a deposit so formed)
n. the emergence of a tooth as it breaks through the gum"
escalate,v. increase in extent or intensity
eschew,v avoid and stay away from deliberately; stay clear of
essence,n. any substance possessing to a high degree the predominant properties of a plant or drug or other natural product from which it is extracted
estate,"n. everything you own; all of your assets (whether real property or personal property) and liabilities
n. extensive landed property (especially in the country) retained by the owner for his own use"
esteem,n. the condition of being honored (esteemed or respected or well regarded)
estimate,"n. an approximate calculation of quantity or degree or worth
n. a judgment of the qualities of something or somebody
n. a statement indicating the likely cost of some job
n. the respect with which a person is held"
et al,none
etched,"v make an etching of
v cause to stand out or be clearly defined or visible
v carve or cut into a block used for printing or print from such a block
v carve or cut a design or letters into
v selectively dissolve the surface of (a semiconductor or printed circuit) with a solvent, laser, or stream of electrons
s cut or impressed into a surface"
eternal,"s continuing forever or indefinitely
s tiresomely long; seemingly without end"
ethanol,n the intoxicating agent in fermented and distilled liquors; used pure or denatured as a solvent or in medicines and colognes and cleaning solutions and rocket fuel; proposed as a renewable clean-burning additive to gasoline
ethic,"n. the principles of right and wrong that are accepted by an individual or a social group
n. a system of principles governing morality and acceptable conduct"
ethnic,n. a person who is a member of an ethnic group
ethnographic,a. of or relating to ethnography
ethnomusicology,none
euphoria,n. a feeling of great (usually exaggerated) elation
eusocial,none
evacuation,n. the act of evacuating; leaving a place in an orderly fashion; especially for protection
evade,"v. practice evasion
v. use cunning or deceit to escape or avoid"
evaluate,v. form a critical opinion of
evaporate,"v. lose or cause to lose liquid by vaporization leaving a more concentrated residue
v. cause to change into a vapor
v. change into a vapor"
eventual,s. expected to follow in the indefinite future from causes already operating
evident,"s clearly revealed to the mind or the senses or judgment
s capable of being seen or noticed"
evil,"n. morally objectionable behavior
n. that which causes harm or destruction or misfortune; the good is oft interred with their bones""- Shakespeare
n. the quality of being morally wrong in principle or practice
a. morally bad or wrong"
evolve,"v. work out
v. undergo development or evolution"
exacerbate,v. exasperate or irritate
exaggerate,"v to enlarge beyond bounds or the truth
v do something to an excessive degree"
excavate,"v. recover through digging
v. find by digging in the ground
v. form by hollowing
v. remove the inner part or the core of"
excavation,"n. the act of digging
n. a hole in the ground made by excavating"
exceedingly,r to an extreme degree
exceptional,s. deviating widely from a norm of physical or mental ability; used especially of children below normal in intelligence
excerpt,"n. a passage selected from a larger work
v. take out of a literary work in order to cite or copy"
excessive,"s. beyond normal limits
s. unrestrained, especially with regard to feelings"
exclude,"v. prevent from being included or considered or accepted
v. prevent from entering; shut out
v. lack or fail to include"
excluder,none
exclusion,n. the state of being excluded
exclusively,r without any others being included or involved
excrete,v. eliminate from the body
excursion,n. a journey taken for pleasure
execute,"v. kill as a means of socially sanctioned punishment
v. murder in a planned fashion
v. carry out the legalities of
v. sign in the presence of witnesses"
executive,"n. a person responsible for the administration of a business
n. persons who administer the law
a. having the function of carrying out plans or orders etc."
exemplary,s. worthy of imitation
exemplify,"v. be characteristic of
v. clarify by giving an example of"
exempt,"v. grant relief or an exemption from a rule or requirement to
a. (of persons) freed from or not subject to an obligation or liability (as e.g. taxes) to which others or other things are subject"
exert,"v. put to use
v. make a great effort at a mental or physical task"
exhale,"v. expel air
v. give out (breath or an odor)"
exhaust,"n. gases ejected from an engine as waste products
n. system consisting of the parts of an engine through which burned gases or steam are discharged
v. wear out completely
v. use up the whole supply of"
exhaustive,s. performed comprehensively and completely
exile,"n. a person who is voluntarily absent from home or country
n. a person who is expelled from home or country by authority
n. the act of expelling a person from their native land"
exodus,"n. a journey by a large group to escape from a hostile environment
n. the second book of the Old Testament: tells of the departure of the Israelites out of slavery in Egypt led by Moses; God gave them the Ten Commandments and the rest of Mosaic law on Mount Sinai during the Exodus"
exonerate,v pronounce not guilty of criminal charges
exotic,s. strikingly strange or unusual
expatriate,"v. expel from a country
v. move away from one's native country and adopt a new residence abroad"
expedient,"n. a means to an end; not necessarily a principled or ethical one
a. serving to promote your interest
s. appropriate to a purpose; practical"
expedition,"n. a military campaign designed to achieve a specific objective in a foreign country
n. an organized group of people undertaking a journey for a particular purpose
n. a journey organized for a particular purpose"
expenditure,"n money paid out; an amount spent
n the act of spending money for goods or services
n the act of consuming something"
experience,"n. the accumulation of knowledge or skill that results from direct participation in events or activities
n. the content of direct observation or participation in an event
n. an event as apprehended
v. go or live through"
expertise,n skillfulness by virtue of possessing special knowledge
expire,"v lose validity
v pass from physical life and lose all bodily attributes and functions necessary to sustain life
v expel air"
explicit,a. precisely and clearly expressed or readily observable; leaving nothing to implication
explode,"v. cause to burst with a violent release of energy
v. burst outward, usually with noise
v. show a violent emotional reaction
v. be unleashed; emerge with violence or noise"
exploit,"v. use or manipulate to one's advantage
v. draw from; make good use of"
exploration,"n. to travel for the purpose of discovery
n. a careful systematic search
n. a systematic consideration"
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
explosion,"n. a violent release of energy caused by a chemical or nuclear reaction
n. the act of exploding or bursting
n. a sudden great increase
n. the noise caused by an explosion"
export,"n. commodities (goods or services) sold to a foreign country
v. sell or transfer abroad
v. transfer (electronic data) out of a database or document in a format that can be used by other programs
v. cause to spread in another part of the world"
expound,"v add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v state"
expulsion,n. the act of expelling or projecting or ejecting
exquisite,"s. intense or sharp
s. lavishly elegant and refined
s. of extreme beauty"
extend,"v. make available; provide
v. reach outward in space
v. expand the influence of
v. open or straighten out; unbend"
extensive,"s. large in spatial extent or range or scope or quantity
a. of agriculture; increasing productivity by using large areas with minimal outlay and labor"
exterminate,v. kill en masse; kill on a large scale; kill many
external,"n. outward features
a. happening or arising or located outside or beyond some limits or especially surface
s. coming from the outside
s. from or between other countries"
extinct,"a. no longer in existence; lost or especially having died out leaving no living representatives
a. (of e.g. volcanos) permanently inactive
s. being out or having grown cold"
extinction,"n. no longer active; extinguished
n. no longer in existence
n. the reduction of the intensity of radiation as a consequence of absorption and radiation"
extinguish,"v. terminate, end, or take out"
extract,"v. remove, usually with some force or effort; also used in an abstract sense
v. get despite difficulties or obstacles
v. separate (a metal) from an ore
v. calculate the root of a number"
extraction,"n. the process of obtaining something from a mixture or compound by chemical or physical or mechanical means
n. the action of taking out something (especially using effort or force)"
extracurricular,"s. outside the regular academic curriculum
s. outside the regular duties of your job or profession"
extraneous,"s. not pertinent to the matter under consideration
s. not essential
s. not belonging to that in which it is contained; introduced from an outside source"
extraordinary,"a. beyond what is ordinary or usual; highly unusual or exceptional or remarkable
s. far more than usual or expected
s. (of an official) serving an unusual or special function in addition to those of the regular officials"
extrapolation,"n. (mathematics) calculation of the value of a function outside the range of known values
n. an inference about the future (or about some hypothetical situation) based on known facts and observations"
extraterrestrial,a. originating or located or occurring outside Earth or its atmosphere
extreme,"n. the furthest or highest degree of something
s. of the greatest possible degree or extent or intensity
s. far beyond a norm in quantity or amount or degree; to an utmost degree
s. beyond a norm in views or actions"
fabric,n. artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
facial,"n. cranial nerve that supplies facial muscles
n. care for the face that usually involves cleansing and massage and the application of cosmetic creams
a. of or concerning the face
a. of or pertaining to the outside surface of an object"
facilitate,"v. make easier
v. increase the likelihood of (a response)"
facility,"n. a building or place that provides a particular service or is used for a particular industry
n. a natural effortlessness
n. something designed and created to serve a particular function and to afford a particular convenience or service
n. a service that an organization or a piece of equipment offers you"
faction,n. a dissenting clique
factor,"n. anything that contributes causally to a result
n. any of the numbers (or symbols) that form a product when multiplied together
n. an independent variable in statistics
v. resolve into factors"
faculty,n. one of the inherent cognitive or perceptual powers of the mind
faith,"n. complete confidence in a person or plan etc
n. loyalty or allegiance to a cause or a person"
fallow,"n. cultivated land that is not seeded for one or more growing seasons
s. left unplowed and unseeded during a growing season
s. undeveloped but potentially useful"
falsify,"v. make false by mutilation or addition; as of a message or story
v. prove false
v. falsify knowingly"
fatal,"a. bringing death
s. controlled or decreed by fate; predetermined"
fatality,"n. a death resulting from an accident or a disaster
n. the quality of being able to cause death or fatal disasters"
fault,"n. (geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other
n. (electronics) equipment failure attributable to some defect in a circuit (loose connection or insulation failure or short circuit etc.)
n. responsibility for a bad situation or event
n. (sports) a serve that is illegal (e.g., that lands outside the prescribed area)"
feasible,s. capable of being done with means at hand and circumstances as they are
fecundity,n. the intellectual productivity of a creative imagination
federal,"n. a member of the Union Army during the American Civil War
n. any federal law-enforcement officer
s. national; especially in reference to the government of the United States as distinct from that of its member units
a. of or relating to the central government of a federation"
feign,v. make believe with the intent to deceive
feminist,"n. a supporter of feminism
a. of or relating to or advocating equal rights for women"
ferrous,a of or relating to or containing iron
fertility,n. the state of being fertile; capable of producing offspring
fertilized,"v provide with fertilizers or add nutrients to
v make fertile or productive
v introduce semen into (a female)"
fertilizer,n. any substance such as manure or a mixture of nitrates used to make soil more fertile
fervent,s. extremely hot
fetal,a. of or relating to a fetus
fetch,"n. the action of fetching
v. be sold for a certain price
v. take away or remove"
feudal,a. of or relating to or characteristic of feudalism
fiber,"n. a slender and greatly elongated substance capable of being spun into yarn
n. any of several elongated, threadlike cells (especially a muscle fiber or a nerve fiber)
n. a leatherlike material made by compressing layers of paper or cloth"
fibrosis,n. development of excess fibrous connective tissue in an organ
fickle,s. marked by erratic changeableness in affections or attachments
fierce,s. marked by extreme intensity of emotions or convictions; inclined to react violently; fervid
figurine,n. a small carved or molded figure
filament,"n. the stalk of a stamen
n. a threadlike structure (as a chainlike series of cells)
n. a thin wire (usually tungsten) that is heated white hot by the passage of an electric current"
file,"n. a set of related records (either written or electronic) kept together
n. a line of persons or things ranged one behind the other
n. office furniture consisting of a container for keeping papers in order
n. a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal"
filibuster,"n. a legislator who gives long speeches in an effort to delay or obstruct legislation that he (or she) opposes
n. (law) a tactic for delaying or obstructing legislation by making long speeches
v. obstruct deliberately by delaying"
filter,"n. device that removes something from whatever passes through it
n. an electrical device that alters the frequency spectrum of signals passing through it
v. remove by passing through a filter"
financier,"n. a person skilled in large scale financial transactions
v. conduct financial operations, often in an unethical manner"
finite,"a. bounded or limited in magnitude or spatial or temporal extent
a. of verbs; relating to forms of the verb that are limited in time by a tense and (usually) show agreement with number and person"
fiscal,a. involving financial matters
fivefold,s having five units or components
fixture,n. an object firmly fixed in place (especially in a household)
fjord,n. a long narrow inlet of the sea between steep cliffs; common in Norway
flat,"n. a level tract of land
n. a shallow box in which seedlings are started
n. a musical notation indicating one half step lower than the note named
n. a deflated pneumatic tire"
flatten,"v. make flat or flatter
v. become flat or flatter
v. lower the pitch of (musical notes)"
flaunt,"n. the act of displaying something ostentatiously
v. display proudly; act ostentatiously or pretentiously"
flavor,n. (physics) the six kinds of quarks
fledgling,"n. young bird that has just fledged or become capable of flying
s. (of a young bird) having acquired its flight feathers
s. young and inexperienced"
flexible,"a. capable of being changed
a. able to flex; able to bend easily
s. bending and snapping back readily without breaking"
flip,"n. hot or cold alcoholic mixed drink containing a beaten egg
n. a sudden, quick movement
n. the act of flipping a coin
n. a dive in which the diver somersaults before entering the water"
flippant,s. showing inappropriate levity
flock,"n. a church congregation guided by a pastor
n. a group of birds
n. a group of sheep or goats
v. move as a crowd or in a group"
flourish,"n. a showy gesture
n. an ornamental embellishment in writing
n. a display of ornamental speech or language
n. the act of waving"
fluctuate,"v. cause to fluctuate or move in a wavelike pattern
v. move or sway in a rising and falling or wavelike pattern
v. be unstable"
fluctuation,"n. a wave motion
n. the quality of being unsteady and subject to changes"
fluid,"n. a substance that is fluid at room temperature and pressure
n. continuous amorphous matter that tends to flow and to conform to the outline of its container: a liquid or a gas
s. subject to change; variable
s. characteristic of a fluid; capable of flowing and easily changing shape"
fluorescent,"n. a lighting fixture that uses a fluorescent lamp
s. emitting light during exposure to radiation from an external source
s. brilliantly colored and apparently giving off light"
focus,"n. the concentration of attention or energy on something
n. maximum clarity or distinctness of an image rendered by an optical system
n. maximum clarity or distinctness of an idea
n. a central point or locus of an infection in an organism"
fodder,"n. coarse food (especially for livestock) composed of entire plants or the leaves and stalks of a cereal crop
v. give fodder (to domesticated animals)"
folklore,n. the unwritten lore (stories and proverbs and riddles and songs) of a culture
folkway,none
follicle,n. any small spherical group of cells containing a cavity
forage,v. wander and feed
forager,n. someone who hunts for food and provisions
foraging,n. the act of searching for food and provisions
forecast,v. predict in advance
foreclosure,n. the legal proceedings initiated by a creditor to repossess the collateral for loan that is in default
foresee,"v realize beforehand
v picture to oneself; imagine possible
v act in advance of; deal with ahead of time"
foreseeable,s. capable of being anticipated
foreshadow,v indicate by signs
foresight,n. providence by virtue of planning prudently for the future
forestall,"v keep from happening or arising; make impossible
v act in advance of; deal with ahead of time"
forfeit,"n. something that is lost or surrendered as a penalty; 
n. a penalty for a fault or mistake that involves losing or giving up something
n. the act of losing or surrendering something as a penalty for a mistake or fault or failure to perform etc.
v. lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime"
forge,"n. furnace consisting of a special hearth where metal is heated before shaping
n. a workplace where metal is worked by heating and hammering
v. create by hammering
v. make a copy of with the intent to deceive"
format,"n. the organization of information according to preset specifications (usually for computer processing)
n. the general appearance of a publication
v. set (printed matter) into a specific format
v. determine the arrangement of (data) for storage and display (in computer science)"
formation,"n. an arrangement of people or things acting as a unit
n. the act of fabricating something in a particular shape
n. a particular spatial arrangement
n. natural process that causes something to form"
formidable,"s. extremely impressive in strength or excellence
s. inspiring fear"
formula,"n. a group of symbols that make a mathematical statement
n. a conventionalized statement expressing some fundamental principle
n. a representation of a substance using symbols for its constituent elements
n. a liquid food for infants"
forthcoming,s. available when required or as promised
fortify,"v. enclose by or as if by a fortification
v. add nutrients to"
fossil,"n. the remains (or an impression) of a plant or animal that existed in a past geological age and that has been excavated from the soil
a. characteristic of a fossil"
