unidimensional,a. relating to a single dimension or aspect; having no depth or scope
spur,"n. any sharply pointed projection
n. tubular extension at the base of the corolla in some flowers
n. a sharp prod fixed to a rider's heel and used to urge a horse onward
v. incite or stimulate"
provenance,n where something originated or was nurtured in its early existence
disfranchise,v deprive of voting rights
modish,s in the current fashion or style
redolent,s. (used with `of' or `with') noticeably odorous
numismatist,n. a collector and student of money (and coins in particular)
self-assertion,"n. the act of putting forth your own opinions in a boastful or inconsiderate manner that implies you feel superior to others
n. the act of asserting yourself in an aggressive manner"
gourmand,n a person who is devoted to eating and drinking to excess
profiteer,"n. someone who makes excessive profit (especially on goods in short supply)
v. make an unreasonable profit, as on the sale of difficult to obtain goods"
agog,s. highly excited
dimple,"n. any slight depression in a surface
n. a small natural hollow in the cheek or chin
v. mark with, or as if with, dimples"
pod,"n. the vessel that contains the seeds of a plant (not the seeds themselves)
n. a several-seeded dehiscent fruit as e.g. of a leguminous plant
n. a group of aquatic mammals
n. a detachable container of fuel on an airplane"
toothsome,"a acceptable to the taste or mind
s extremely pleasing to the sense of taste
s having strong sexual appeal"
hurdle,"n. a light movable barrier that competitors must leap over in certain races
n. an obstacle that you are expected to overcome
v. jump a hurdle"
poll,"n. an inquiry into public opinion conducted by interviewing a random sample of people
n. the part of the head between the ears
n. a tame parrot
n. the counting of votes (as in an election)"
gargoyle,"n. a spout that terminates in a grotesquely carved figure of a person or animal
n. an ornament consisting of a grotesquely carved figure of a person or animal"
rabid,a. of or infected by rabies
particularize,v be specific about
vie,v compete for something; engage in a contest; measure oneself against others
hinge,"n. a joint that holds two parts together so that one can swing relative to the other
n. a circumstance upon which subsequent events depend
v. attach with a hinge"
delusion,"n. (psychology) an erroneous belief that is held in the face of evidence to the contrary
n. a mistaken or unfounded opinion or idea
n. the act of deluding; deception by creating illusory ideas"
gander,n. mature male goose
barn,"n. an outlying farm building for storing grain or animal feed and housing farm animals
n. (physics) a unit of nuclear cross section; the effective circular area that one particle presents to another as a target for an encounter"
putrid,"a. of or relating to or attended by putrefaction
s. in an advanced state of decomposition and having a foul odor
s. morally corrupt or evil"
enchant,v. hold spellbound
plush,n. a fabric with a nap that is longer and softer than velvet
remonstrance,n the act of expressing earnest opposition or protest
gruff,s. deep and harsh sounding as if from shouting or illness or emotion
liken,"v consider or describe as similar, equal, or analogous"
filial,"a. designating the generation or the sequence of generations following the parental generation
a. relating to or characteristic of or befitting an offspring"
abnegate,"v. surrender (power or a position)
v. deny or renounce"
ensconce,v. fix firmly
hoodoo,"n. (geology) a column of weathered and unusually shaped rock
n. a practitioner of voodoo
n. something believed to bring bad luck"
vista,n the visual percept of a region
egoism,"n. (ethics) the theory that the pursuit of your own welfare in the basis of morality
n. concern for your own interests and welfare"
cloy,v. cause surfeit through excess though initially pleasing
pitiless,"s. without mercy or pity
s. deficient in humane and kindly feelings"
discern,v detect with the senses
tusk,"n. a long pointed tooth specialized for fighting or digging; especially in an elephant or walrus or hog
v. remove the tusks of animals"
avocation,n. an auxiliary activity
trounce,"v beat severely with a whip or rod
v come out better in a competition, race, or conflict
v censure severely or angrily"
brutal,"s. harsh
s. disagreeably direct and precise"
emergency,"n. a sudden unforeseen crisis (usually involving danger) that requires immediate action
n. a state in which martial law applies"
discriminate,"v. recognize or perceive the difference
v. treat differently on the basis of sex or race
v. distinguish
a. marked by the ability to see or make fine distinctions"
winkle,v. remove or displace from a position
district,n. a region marked off for administrative or other purposes
cohesion,"n. (botany) the process in some plants of parts growing together that are usually separate (such as petals)
n. (physics) the intermolecular force that holds together the molecules in a solid or liquid"
leak,"n. an accidental hole that allows something (fluid or light etc.) to enter or escape
n. soft watery rot in fruits and vegetables caused by fungi
n. a euphemism for urination
n. unauthorized (especially deliberate) disclosure of confidential information"
parturition,n. the process of giving birth
beacon,"n. a fire (usually on a hill or tower) that can be seen from a distance
n. a tower with a light that gives warning of shoals to passing ships
v. shine like a beacon
v. guide with a beacon"
stoop,"n. an inclination of the top half of the body forward and downward
n. small porch or set of steps at the front entrance of a house
v. descend swiftly, as if on prey
v. sag, bend, bend over or down"
shriek,v. utter a shrill cry
accessory,"n. clothing that is worn or carried, but not part of your main clothing
n. a supplementary component that improves capability
n. someone who helps another person commit a crime
s. furnishing added support"
dogmatism,n the intolerance and prejudice of a bigot
differentiate,"v. calculate a derivative; take the derivative
v. become different during development
v. become distinct and acquire a different character"
curdle,"v. turn into curds
v. go bad or sour
v. turn from a liquid to a solid mass"
gaffe,n a socially awkward or tactless act
wend,v. direct one's course or way
traduce,v speak unfavorably about
vicissitudinous,"a. Full of, or subject to, changes."
clarity,n. free from obscurity and easy to understand; the comprehensibility of clear expression
scud,"n. the act of moving along swiftly (as before a gale)
v. run before a gale"
gutless,a. lacking courage or vitality
magniloquent,s lofty in style
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
potboiler,n. a literary composition of poor quality that was written quickly to make money (to boil the pot)
boding,"n a feeling of evil to come
v indicate by signs"
demarcate,"v. separate clearly, as if by boundaries
v. set, mark, or draw the boundaries of something"
opulence,n wealth as evidenced by sumptuous living
smudge,"n. a smoky fire to drive away insects
n. a blemish made by dirt"
consecrate,v. render holy by means of religious rites
flux,"n. the rate of flow of energy or particles across a given surface
n. a flow or discharge
n. a substance added to molten metals to bond with impurities that can then be readily removed
n. excessive discharge of liquid from a cavity or organ (as in watery diarrhea)"
jeopardy,n a source of danger; a possibility of incurring loss or misfortune
resigned,"v leave (a job, post, or position) voluntarily
v give up or retire from a position
v part with a possession or right
v accept as inevitable"
everlasting,n. any of various plants of various genera of the family Compositae having flowers that can be dried without loss of form or color
shove,"n. the act of shoving (giving a push to someone or something)
v. push roughly"
dote,"v. be foolish or senile due to old age
v. shower with love; show excessive affection for"
sip,"n. a small drink
v. drink in sips"
consolidate,"v. unite into one
v. make firm or secure; strengthen
v. bring together into a single whole or system
v. form into a solid mass or whole"
corporeal,a. having material or physical form or substance
harshly,r. in a harsh or unkind manner
neurosis,n. a mental or personality disturbance not attributable to any known neurological or organic dysfunction
queer,"v. put in a dangerous, disadvantageous, or difficult position"
overriding,s. having superior power and influence
judicial,"s. decreed by or proceeding from a court of justice
a. belonging or appropriate to the office of a judge
a. relating to the administration of justice or the function of a judge"
brochure,n a small book usually having a paper cover
zealotry,n excessive intolerance of opposing views
pother,v. make upset or troubled
stranded,"v leave stranded or isolated with little hope of rescue
v drive (a vessel) ashore
v bring to the ground
s cut off or left behind"
ensign,"n. a person who holds a commissioned rank in the United States Navy or the United States Coast Guard; below lieutenant junior grade
n. colors flown by a ship to show its nationality"
perish,v pass from physical life and lose all bodily attributes and functions necessary to sustain life
beholden,s. under a moral obligation to someone
obtrude,"v push to thrust outward
v thrust oneself in as if by force"
thump,"n. a heavy dull sound (as made by impact of heavy objects)
n. a heavy blow with the hand
v. hit hard with the hand, fist, or some heavy instrument"
retard,"v. cause to move more slowly or operate at a slower rate
v. be delayed"
perforate,"v make a hole into or between, as for ease of separation
v pass into or through, often by overcoming resistance
s having a hole cut through"
dissertation,n. a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree
striking,"n the physical coming together of two or more things
n the act of contacting one thing with another
v deliver a sharp blow, as with the hand, fist, or weapon
v have an emotional or cognitive impact upon
v hit against; come into sudden contact with
v make a strategic, offensive, assault against an enemy, opponent, or a target
v indicate (a certain time) by striking
v affect or afflict suddenly, usually adversely
v stop work in order to press demands
v touch or seem as if touching visually or audibly
v attain
v produce by manipulating keys or strings of musical instruments, also metaphorically
v cause to form (an electric arc) between electrodes of an arc lamp
v find unexpectedly
v produce by ignition or a blow
v remove by erasing or crossing out or as if by drawing a line
v cause to experience suddenly
v drive something violently into a location
v occupy or take on
v form by stamping, punching, or printing
v smooth with a strickle
v pierce with force
v arrive at after reckoning, deliberating, and weighing
s sensational in appearance or thrilling in effect
s having a quality that thrusts itself into attention"
hone,"n. a whetstone made of fine gritstone; used for sharpening razors
v. sharpen with a hone"
dislocate,"v. move out of position
v. put out of its usual place, position, or relationship"
niggling,"v worry unnecessarily or excessively
v argue over petty things
s (informal) small and of little importance"
interweave,v interlace by or as if by weaving
ersatz,"n. an artificial or inferior substitute or imitation
s. artificial and inferior"
shuttle,"n. public transport that consists of a bus or train or airplane that plies back and forth between two points
n. bobbin that passes the weft thread between the warp threads
v. travel back and forth between two points"
surge,"n. a sudden or abrupt strong increase
v. see one's performance improve"
gaseous,a. existing as or having characteristics of a gas
fruition,"n. the condition of bearing fruit
n. enjoyment derived from use or possession"
cramp,"n. a clamp for holding pieces of wood together while they are glued
n. a strip of metal with ends bent at right angles; used to hold masonry together
v. secure with a cramp
v. affect with or as if with a cramp"
fabulous,"s. extremely pleasing
s. based on or told of in traditional stories; lacking factual basis or historical validity
s. barely credible"
gum,"n. any of various substances (soluble in water) that exude from certain plants; they are gelatinous when moist but harden on drying
v. cover, fill, fix or smear with or as if with gum
v. become sticky
v. exude or form gum"
extinguish,"v. terminate, end, or take out"
fallibility,n. the likelihood of making errors
merit,n. any admirable quality or attribute
gadget,n a device or control that is very useful for a particular job
homage,n respectful deference
odoriferous,"s. morally offensive
s. emitting an odor
s. having a natural fragrance"
archetype,n something that serves as a model or a basis for making copies
jibe,v. shift from one side of the ship to the other
pulpit,n a platform raised above the surrounding level to give prominence to the person on it
natal,"n. a region of eastern South Africa on the Indian Ocean
n. a port city in northeastern Brazil
a. relating to or accompanying birth"
pertain,v. be a part or attribute of
liability,"n. the state of being legally obliged and responsible
n. the quality of being something that holds you back"
cynic,"n. someone who is critical of the motives of others
n. a member of a group of ancient Greek philosophers who advocated the doctrine that virtue is the only good and that the essence of virtue is self-control"
outlet,"n a place of business for retailing goods
n receptacle providing a place in a wiring system where current can be taken to run electrical devices
n an opening that permits escape or release
n activity that frees or expresses creative energy or emotion"
cupidity,n extreme greed for material wealth
figurine,n. a small carved or molded figure
aleatory,s. dependent on chance
bungle,v. spoil by behaving clumsily or foolishly
lineal,"a. in a straight unbroken line of descent from parent to child
s. arranged in a line"
drivel,"n. a worthless message
v. let saliva drivel from the mouth"
sardonic,s. disdainfully or ironically humorous; scornful and mocking
palaver,"n. loud and confused and empty talk
v. have a lengthy discussion, usually between people of different backgrounds"
jot,"n a brief (and hurriedly handwritten) note
n a slight but appreciable amount
v write briefly or hurriedly; write a short note of"
blasphemy,n. blasphemous language (expressing disrespect for God or for something sacred)
dereliction,n. willful negligence
waive,v. do without or cease to hold or adhere to
complicity,n. guilt as an accomplice in a crime or offense
rote,n. memorization by repetition
fraternal,"a. of or relating to a fraternity or society of usually men
a. (of twins) derived from two separate fertilized ova"
shirk,v. avoid dealing with
atonal,a. characterized by avoidance of traditional western tonality
fang,"n. a Bantu language spoken in Cameroon
n. an appendage of insects that is capable of injecting venom; usually evolved from the legs
n. canine tooth of a carnivorous animal; used to seize and tear its prey
n. hollow or grooved tooth of a venomous snake; used to inject its poison"
snare,"n. a surgical instrument consisting of wire hoop that can be drawn tight around the base of polyps or small tumors to sever them; used especially in body cavities
n. strings stretched across the lower head of a snare drum; they make a rattling sound when the drum is hit
n. a trap for birds or small mammals; often has a slip noose"
archer,n. a person who is expert in the use of a bow and arrow
deluxe,"s. rich and superior in quality
s. elegant and sumptuous"
famine,n. a severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death
nip,"n. a small drink of liquor
n. a tart spicy quality
n. a small sharp bite or snip
v. give a small sharp bite to"
languor,"n. a relaxed comfortable feeling
n. a feeling of lack of interest or energy
n. inactivity; showing an unusual lack of energy"
malfunction,"n. a failure to function normally
v. fail to function or function improperly"
entreat,v ask for or request earnestly
mend,"n. sewing that repairs a worn or torn hole (especially in a garment)
v. heal or recover"
endearing,"v make attractive or lovable
s lovable especially in a childlike or naive way"
renal,a of or relating to the kidneys
asterisk,n. a star-shaped character * used in printing
fertile,a. capable of reproducing
serried,s. (especially of rows as of troops or mountains) pressed together
topsy-turvy,"s in utter disorder
r in a disordered manner
r in disorderly haste"
obsess,v. be preoccupied with something
slouch,"n. an incompetent person; usually used in negative constructions
n. a stooping carriage in standing and walking
v. walk slovenly"
vengeful,s disposed to seek revenge or intended for revenge
mendacity,n. the tendency to be untruthful
rout,"n. an overwhelming defeat
v. cause to flee
v. dig with the snout
v. make a groove in"
status,n. the relative position or standing of things or especially persons in a society
recant,"v formally reject or disavow a formerly held belief, usually under pressure"
deception,n. the act of deceiving
mushy,s. having the consistency of mush
modicum,n. a small or moderate or token amount
kudos,n an expression of approval and commendation
depredation,n. an act of plundering and pillaging and marauding
wily,s marked by skill in deception
characterization,n. the act of describing distinctive characteristics or essential features
mighty,"s. having or showing great strength or force or intensity
r. (Southern regional intensive) very; to a great degree"
convict,"n. a person serving a sentence in a jail or prison
n. a person who has been convicted of a criminal offense
v. find or declare guilty"
motile,"n. one whose prevailing mental imagery takes the form of inner feelings of action
s. (of spores or microorganisms) capable of movement"
conscience,"n. motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions
n. conformity to one's own sense of right conduct
n. a feeling of shame when you do something immoral"
mourn,"v. feel sadness
v. observe the customs of mourning after the death of a loved one"
diffuse,"v. move outward
s. spread out; not concentrated in one place
s. lacking conciseness"
carp,"n. the lean flesh of a fish that is often farmed; can be baked or braised
n. any of various freshwater fish of the family Cyprinidae"
onslaught,n. a sudden and severe onset of trouble
austerity,n. the trait of great self-denial (especially refraining from worldly pleasures)
monarch,n. large migratory American butterfly having deep orange wings with black and white markings; the larvae feed on milkweed
timeworn,s repeated too often; overfamiliar through overuse
crook,"n. a long staff with one end being hook shaped
v. bend or cause to bend"
gloomy,s. filled with melancholy and despondency
bustle,"n. a rapid active commotion
n. a framework worn at the back below the waist for giving fullness to a woman's skirt
v. move or cause to move energetically or busily"
caprice,n. a sudden desire
rapprochement,n the reestablishing of cordial relations
excrete,v. eliminate from the body
jerk,"n. a dull stupid fatuous person
n. an abrupt spasmodic movement
n. (mechanics) the rate of change of acceleration
n. raising a weight from shoulder height to above the head by straightening the arms"
punch,"n. (boxing) a blow with the fist
n. an iced mixed drink usually containing alcohol and prepared for multiple servings; normally served in a punch bowl
n. a tool for making holes or indentations
v. deliver a quick blow to"
dyspeptic,"n. a person suffering from indigestion
s. suffering from dyspepsia"
wacky,"s ludicrous, foolish
s informal or slang terms for mentally irregular"
amuse,"v. occupy in an agreeable, entertaining or pleasant fashion
v. make (somebody) laugh"
augmentation,"n. the amount by which something increases
n. the statement of a theme in notes of greater duration (usually twice the length of the original)
n. the act of augmenting"
cultivate,"v. foster the growth of
v. prepare for crops"
agnostic,"n. someone who is doubtful or noncommittal about something
n. a person who claims that they cannot have true knowledge about the existence of God (but does not deny that God might exist)
a. of or pertaining to an agnostic or agnosticism"
bogus,s. fraudulent; having a misleading appearance
plait,v. weave into plaits
stigma,"n. the apical end of the style where deposited pollen enters the pistil
n. an external tracheal aperture in a terrestrial arthropod
n. a skin lesion that is a diagnostic sign of some disease"
delectation,"n a feeling of extreme pleasure or satisfaction
n act of receiving pleasure from something"
adjudicate,"v put on trial or hear a case and sit as the judge at the trial of
v bring to an end; settle conclusively"
foray,"n. a sudden short attack
n. an initial attempt (especially outside your usual areas of competence)
v. briefly enter enemy territory"
finable,s. liable to a fine
ceremony,"n. a formal event performed on a special occasion
n. any activity that is performed in an especially solemn elaborate or formal way
n. the proper or conventional behavior on some solemn occasion"
friable,s easily broken into small fragments or reduced to powder
skullduggery,n verbal misrepresentation intended to take advantage of you in some way
blemish,"n. a mark or flaw that spoils the appearance of something (especially on a person's body)
v. mar or impair with a flaw"
badge,"n. an emblem (a small piece of plastic or cloth or metal) that signifies your status (rank or membership or affiliation etc.)
n. any feature that is regarded as a sign of status (a particular power or quality or rank)
v. put a badge on"
lucre,"n informal terms for money
n the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)"
poignancy,"n a state of deeply felt distress or sorrow
n a quality that arouses emotions (especially pity or sorrow)"
brusque,s. marked by rude or peremptory shortness
scar,"n. a mark left (usually on the skin) by the healing of injured tissue
v. mark with a scar"
piddle,v. waste time; spend one's time idly or inefficiently
shear,"n. (physics) a deformation of an object in which parallel planes remain parallel but are shifted in a direction parallel to themselves
n. a large edge tool that cuts sheet metal by passing a blade through it
v. cut with shears
v. cut or cut through with shears"
to-do,n a disorderly outburst or tumult
josh,v be silly or tease one another
licit,a. sanctioned by custom or morality especially sexual morality
unflappable,s not easily perturbed or excited or upset; marked by extreme calm and composure
vendetta,n. a feud in which members of the opposing parties murder each other
contented,a. satisfied or showing satisfaction with things as they are
ritzy,s. luxuriously elegant
exalt,"v. raise in rank, character, or status"
erase,"v. remove from memory or existence
v. remove by or as if by rubbing or erasing
v. wipe out digitally or magnetically recorded information"
rankle,v gnaw into; make resentful or angry
lunatic,"n. an insane person
s. insane and believed to be affected by the phases of the moon"
gracious,"a. characterized by charm, good taste, and generosity of spirit
s. disposed to bestow favors"
rollicking,"v play boisterously
s given to merry frolicking"
ecstatic,s. feeling great rapture or delight
choice,"n. the person or thing chosen or selected
n. the act of choosing or selecting
s. of superior grade
s. appealing to refined taste"
lapse,"n. a break or intermission in the occurrence of something
v. end, at least for a long time
v. drop to a lower level, as in one's morals or standards
v. let slip"
redemptive,"a. of or relating to or resulting in redemption
s. bringing about salvation or redemption from sin"
caudal,"a. constituting or relating to a tail
s. resembling a tail
s. situated in or directed toward the part of the body from which the tail arises"
parochial,a. relating to or supported by or located in a parish
automation,"n. the act of implementing the control of equipment with advanced technology; usually involving electronic hardware
n. the condition of being automatically operated or controlled
n. equipment used to achieve automatic control or operation"
mansion,n. a large and imposing house
lap,"n. the upper side of the thighs of a seated person
n. an area of control or responsibility
n. the part of a piece of clothing that covers the thighs
n. a flap that lies over another part"
simulate,v. make a pretence of
cardiologist,n. a specialist in cardiology; a specialist in the structure and function and disorders of the heart
ligneous,s. consisting of or containing lignin or xylem
oracle,"n. a prophecy (usually obscure or allegorical) revealed by a priest or priestess; believed to be infallible
n. a shrine where an oracular god is consulted"
phantom,s. something apparently sensed but having no physical reality
periphrastic,s roundabout and unnecessarily wordy; (`ambagious' is archaic)
monolithic,s. characterized by massiveness and rigidity and total uniformity
vault,"n. a burial chamber (usually underground)
n. a strongroom or compartment (often made of steel) for safekeeping of valuables
n. an arched brick or stone ceiling or roof
n. the act of jumping over an obstacle"
fathom,"n. a linear unit of measurement (equal to 6 feet) for water depth
n. (mining) a unit of volume (equal to 6 cubic feet) used in measuring bodies of ore
v. measure the depth of (a body of water) with a sounding line"
purported,"v have the often specious appearance of being, intending, or claiming
v propose or intend"
zest,v. add herbs or spices to
onset,n. the beginning or early stages
decomposition,"n. the analysis of a vector field
n. in a decomposed state
n. (chemistry) separation of a substance into two or more substances that may differ from each other and from the original substance"
feeble,"s. pathetically lacking in force or effectiveness
s. lacking strength"
uproar,"n a state of commotion and noise and confusion
n loud confused noise from many sources"
trinket,n cheap showy jewelry or ornament on clothing
encompass,v include in scope; include as part of something broader; have as one's sphere or territory
costume,"n. the attire worn in a play or at a fancy dress ball
n. unusual or period attire not characteristic of or appropriate to the time and place
n. the prevalent fashion of dress (including accessories and hair style as well as garments)
n. the attire characteristic of a country or a time or a social class"
dicker,v. negotiate the terms of an exchange
reciprocal,"n. something (a term or expression or concept) that has a reciprocal relation to something else
a. concerning each of two or more persons or things; especially given or done in return
s. of or relating to the multiplicative inverse of a quantity or function"
unscrupulousness,n. the quality of unscrupulous dishonesty
gangly,"s tall and thin and having long slender limbs
s tall and thin"
plagiarize,v. take without referencing from someone else's writing or speech; of intellectual property
clammy,s. unpleasantly cool and humid
sterilize,"v. make free from bacteria
v. make infertile"
temerity,n fearless daring
boor,n a crude uncouth ill-bred person lacking culture or refinement
swig,"n a large and hurried swallow
v strike heavily, especially with the fist or a bat
v to swallow hurriedly or greedily or in one draught"
mollycoddle,n. a pampered darling; an effeminate man
loaf,n. a quantity of food (other than bread) formed in a particular shape
hie,v move fast
ribald,n. a ribald person; someone who uses vulgar and offensive language
bristling,"v be in a state of movement or action
v rise up as in fear
v have or be thickly covered with or as if with bristles
v react in an offended or angry manner"
aquiline,s. curved down like an eagle's beak
derivation,"n. the source or origin from which something derives (i.e. comes or issues)
n. a line of reasoning that shows how a conclusion follows logically from accepted propositions
n. (descriptive linguistics) the process whereby new words are formed from existing words or bases by affixation"
scamp,v. perform hastily and carelessly
slit,"n. a long narrow opening
n. a narrow fissure
v. make a clean cut through
v. cut a slit into"
steep,"n. a steep place (as on a hill)
v. devote (oneself) fully to
v. let sit in a liquid to extract a flavor or to cleanse
a. having a sharp inclination"
conceit,"n. an elaborate poetic image or a far-fetched comparison of very dissimilar things
n. a witty or ingenious turn of phrase
n. an artistic device or effect
n. the trait of being unduly vain and conceited; false pride"
ineluctable,"s. impossible to avoid or evade:""inescapable conclusion"""
auxiliary,s. functioning in a supporting capacity
pavid,a. Timid; fearful.
dishevel,v disarrange or rumple; dishevel
humid,s. containing or characterized by a great deal of water vapor
grisly,s shockingly repellent; inspiring horror
droop,v. hang loosely or laxly
outwit,v. beat through cleverness and wit
tease,"n. someone given to teasing (as by mocking or stirring curiosity)
n. the act of harassing someone playfully or maliciously (especially by ridicule); provoking someone with persistent annoyances
v. annoy persistently
v. harass with persistent criticism or carping"
flatten,"v. make flat or flatter
v. become flat or flatter
v. lower the pitch of (musical notes)"
stubborn,a. tenaciously unwilling or marked by tenacious unwillingness to yield
envisage,v form a mental image of something that is not present or that is not the case
affix,"n. a linguistic element added to a word to produce an inflected or derived form
v. attach to
v. attach or become attached to a stem word"
indignant,s. angered at something unjust or wrong
neutralize,"v. make politically neutral and thus inoffensive
v. make ineffective by counterbalancing the effect of
v. get rid of (someone who may be a threat) by killing
v. make incapable of military action"
overweening,s. presumptuously arrogant
crib,"n. baby bed with high sides made of slats
n. a bin or granary for storing grains
n. the cards discarded by players at cribbage
v. use a crib, as in an exam"
feint,"n. any distracting or deceptive maneuver (as a mock attack)
v. deceive by a mock action"
aroma,n. a distinctive odor that is pleasant
ornery,s having a difficult and contrary disposition
veritable,"s often used as intensifiers
s not counterfeit or copied"
oasis,n. a fertile tract in a desert (where the water table approaches the surface)
caption,"n. taking exception; especially a quibble based on a captious argument
n. brief description accompanying an illustration
v. provide with a caption, as of a photograph or a drawing"
odometer,n. a meter that shows mileage traversed
abhorrent,s. offensive to the mind
soulful,s. full of or expressing deep emotion
daredevil,"n. a reckless impetuous irresponsible person
s. presumptuously daring"
reliance,"n. certainty based on past experience
n. the state of relying on something"
formative,"n. minimal language unit that has a syntactic (or morphological) function
s. capable of forming new cells and tissues
s. forming or capable of forming or molding or fashioning"
inelasticity,n. the lack of elasticity
pilfer,v. make off with belongings of others
oversee,v. watch and direct
yielding,"s. inclined to yield to argument or influence or control
s. lacking stiffness and giving way to pressure
s. tending to give in or surrender or agree"
virtual,"s. being actually such in almost every respect
s. existing in essence or effect though not in actual fact"
negation,"n. a negative statement; a statement that is a refusal or denial of some other statement
n. the speech act of negating
n. (logic) a proposition that is true if and only if another proposition is false"
roughen,v. make rough or rougher
tempestuous,"s characterized by violent emotions or behavior
s (of the elements) as if showing violent anger"
downpour,n. a heavy rain
slurp,v. eat noisily
superimpose,v. place on top of
strife,n. bitter conflict; heated often violent dissension
acclaim,"n. enthusiastic approval
v. praise vociferously"
funk,"n. a state of nervous depression
n. United States biochemist (born in Poland) who showed that several diseases were caused by dietary deficiencies and who coined the term `vitamin' for the chemicals involved (1884-1967)
n. an earthy type of jazz combining it with blues and soul; has a heavy bass line that accentuates the first beat in the bar"
atrocious,"s. shockingly brutal or cruel
s. exceptionally bad or displeasing
s. provoking horror"
residue,n. matter that remains after something has been removed
malice,n. feeling a need to see others suffer
correspondent,"n. someone who communicates by means of letters
n. a journalist employed to provide news stories for newspapers or broadcast media"
despise,v look down on with disdain
gnawing,"v bite or chew on with the teeth
v become ground down or deteriorate"
undulate,"v. increase and decrease in volume or pitch, as if in waves
s. having a wavy margin and rippled surface"
cello,n. a large stringed instrument; seated player holds it upright while playing
ague,"n. a fit of shivering or shaking
n. successive stages of chills and fever that is a symptom of malaria"
poach,"v. hunt illegally
v. cook in a simmering liquid"
oppress,v. come down on or keep down by unjust use of one's authority
hilarious,s. marked by or causing boisterous merriment or convulsive laughter
augury,n. an event that is experienced as indicating important things to come
gawky,s. lacking grace in movement or posture
hoarse,s deep and harsh sounding as if from shouting or illness or emotion
plentitude,n a full supply
shamble,n. walking with a slow dragging motion without lifting your feet
plangent,s. loud and resounding
sheen,n the visual property of something that shines with reflected light
chuckle,v. laugh quietly or with restraint
muniments,"plural of muniment
n. The act of supporting or defending.
n. That which supports or defends; stronghold; place or
   means of defense; munition; assistance.
n. A record; the evidences or writings whereby a man is
   enabled to defend the title to his estate; title deeds and papers."
loutish,s ill-mannered and coarse and contemptible in behavior or appearance
sophism,n. a deliberately invalid argument displaying ingenuity in reasoning in the hope of deceiving someone
tinkle,v. make or emit a high sound
preside,v. act as president
steer,"v. direct the course; determine the direction of travelling
v. direct (oneself) somewhere"
rampage,"n. violently angry and destructive behavior
v. act violently, recklessly, or destructively"
offbeat,"n an unaccented beat (especially the last beat of a measure)
s informal terms; strikingly unconventional"
bid,"n. an attempt to get something
n. a formal proposal to buy at a specified price
n. (bridge) the number of tricks a bridge player is willing to contract to make
v. ask for or request earnestly"
promissory,a. relating to or having the character of a promise
sly,s marked by skill in deception
slue,"v turn sharply; change direction abruptly
v move obliquely or sideways, usually in an uncontrolled manner"
analgesia,n. absence of the sense of pain without loss of consciousness
sleight,n adroitness in using the hands
flighty,s. guided by whim and fancy
buxom,s. (of a female body) healthily plump and vigorous;
sneer,"n. a facial expression of contempt or scorn; the upper lip curls
n. a contemptuous or scornful remark
v. express through a scornful smile
v. smile contemptuously"
scabrous,s. dealing with salacious or indecent material
clairvoyant,"n. someone who has the power of clairvoyance
s. perceiving things beyond the natural range of the senses
s. foreseeing the future"
imprint,"n. a distinctive influence
n. an identification of a publisher; a publisher's name along with the date and address and edition that is printed at the bottom of the title page
n. an impression produced by pressure or printing
n. a device produced by pressure on a surface"
subsidy,n. a grant paid by a government to an enterprise that benefits the public
reconnoiter,"v explore, often with the goal of finding something or somebody"
zesty,"s having an agreeably pungent taste
s marked by spirited enjoyment"
pierce,"n. 14th President of the United States (1804-1869)
v. cut or make a way through
v. move or affect (a person's emotions or bodily feelings) deeply or sharply
v. sound sharply or shrilly"
supine,s. lying face upward
badger,"n. sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere
v. persuade through constant efforts"
beatific,s. experiencing or bestowing celestial joy
smirch,v. smear so as to make dirty or stained
enlightening,a. tending to increase knowledge or dissipate ignorance
ostensible,s. represented or appearing as such; pretended
virulent,a. infectious; having the ability to cause disease
glow,"n. a feeling of considerable warmth
n. a steady even light without flames
v. emit a steady even light without flames
v. have a complexion with a strong bright color, such as red or pink"
simultaneous,s occurring or operating at the same time
intestate,a. having made no legally valid will before death or not disposed of by a legal will
rue,"n. European strong-scented perennial herb with grey-green bitter-tasting leaves; an irritant similar to poison ivy
n. leaves sometimes used for flavoring fruit or claret cup but should be used with great caution: can cause irritation like poison ivy
n. (French) a street or road in France"
digress,"v. lose clarity or turn aside especially from the main subject of attention or course of argument in writing, thinking, or speaking"
languish,v. become feeble
wobble,"n. an unsteady rocking motion
v. move unsteadily"
sulky,n. a light two-wheeled vehicle for one person; drawn by one horse
imbroglio,"n. an intricate and confusing interpersonal or political situation
n. a very embarrassing misunderstanding"
providential,"a. relating to or characteristic of providence
s. resulting from divine providence"
sartorial,"a. of or relating to the sartorius muscle
a. of or relating to a tailor or to tailoring"
mentor,"n. a wise and trusted guide and advisor
v. serve as a teacher or trusted counselor"
knotty,s. tangled in knots or snarls
