affair,"n. a usually secretive or illicit sexual relationship
n. a vaguely specified social event"
essence,n. any substance possessing to a high degree the predominant properties of a plant or drug or other natural product from which it is extracted
ethical,"a. of or relating to the philosophical study of ethics
a. conforming to accepted standards of social or professional behavior
s. adhering to ethical and moral principles"
hooliganism,n willful wanton and malicious destruction of the property of others
hostility,"n. a hostile (very unfriendly) disposition
n. a state of deep-seated ill-will
n. the feeling of a hostile person"
intensify,"v. make more intense, stronger, or more marked
v. become more intense
v. make the chemically affected part of (a negative) denser or more opaque in order produce a stronger contrast between light and dark"
lessen,"v decrease in size, extent, or range
v make smaller
v wear off or die down"
politicize,v. give a political character to
prejudice,"v. disadvantage by prejudice
v. influence (somebody's) opinion in advance"
provoke,"v. evoke or provoke to appear or occur
v. provide the needed stimulus for"
rivalry,n the act of competing as for profit or a prize
slogan,n a favorite saying of a sect or political group
tournament,"n. a sporting competition in which contestants play a series of games to decide the winner
n. a series of jousts between knights contesting for a prize"
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
accustom,v make psychologically or physically used (to something)
antagonism,"n. the relation between opposing principles or forces or factors
n. an actively expressed feeling of dislike and hostility
n. (biochemistry) interference in or inhibition of the physiological action of a chemical substance by another having a similar structure"
avid,"s. (often followed by `for') ardently or excessively desirous
s. marked by active interest and enthusiasm"
cross-cultural,a. dealing with or comparing two or more cultures
destination,n. the ultimate goal for which something is done
disruption,n. the act of causing disorder
congestion,"n. excessive accumulation of blood or other fluid in a body part
n. excessive crowding"
currency,"n. the metal or paper medium of exchange that is presently used
n. general acceptance or use"
ecotourism,n. tourism to exotic or threatened ecosystems to observe wildlife or to help preserve nature
heritage,n. practices that are handed down from the past by tradition
hospitable,"a. favorable to life and growth
a. disposed to treat guests and strangers with cordiality and generosity
s. having an open mind"
hospitality,n kindness in welcoming guests or strangers
horizon,"n. the line at which the sky and Earth appear to meet
n. the range of interest or activity that can be anticipated
n. a specific layer or stratum of soil or subsoil in a vertical cross section of land
n. the great circle on the celestial sphere whose plane passes through the sensible horizon and the center of the Earth"
hostile,"n. troops belonging to the enemy's military forces
a. characterized by enmity or ill will
a. not belonging to your own country's forces or those of an ally
s. impossible to bring into friendly accord"
relic,n. an antiquity that has survived from the distant past
resort,n. a hotel located in a resort area
revenue,"n the entire amount of income before any deductions are made
n government income due to taxation"
tertiary,n. from 63 million to 2 million years ago
tourism,n. the business of providing services to tourists
background,"n. a person's social heritage: previous experience or training
n. the part of a scene (or picture) that lies behind objects in the foreground
n. information that is essential to understanding a situation or problem
n. extraneous signals that can be confused with the phenomenon to be observed or measured"
complicated,s. difficult to analyze or understand
diversity,n. the condition or result of being changeable
enrichment,"n. act of making fuller or more meaningful or rewarding
n. a gift that significantly increases the recipient's wealth"
erroneous,s. containing or characterized by error
identity,"n. the distinct personality of an individual regarded as a persisting entity
n. the individual characteristics by which a thing or person is recognized or known
n. an operator that leaves unchanged the element on which it operates
n. exact sameness"
ideology,n. imaginary or visionary theorization
modernization,"n. making modern in appearance or behavior
n. a modernized version (as of a play)"
overwhelming,"v overcome, as with emotions or perceptual stimuli
v charge someone with too many tasks
v cover completely or make imperceptible
v overcome by superior force
s so strong as to be irresistible
s very intense"
pace,"n. the rate of moving (especially walking or running)
n. the relative speed of progress or change
n. a step in walking or running
v. walk with slow or fast paces"
superpower,n a state powerful enough to influence events throughout the world
suppress,"v. to put down by force or authority
v. put out of one's consciousness
v. reduce the incidence or severity of or stop"
unification,"n an occurrence that involves the production of a union
n the state of being joined or united or linked
n the act of making or becoming a single unit"
annoyance,"n. anger produced by some annoying irritation
n. something or someone that causes trouble; a source of unhappiness
n. the act of troubling or annoying someone"
atmosphere,"n. a particular environment or surrounding influence
n. the mass of air surrounding the Earth
n. the weather or climate at some place
n. the envelope of gases surrounding any celestial body"
cognizant,a (sometimes followed by `of') having or showing knowledge or understanding or realization or perception
combustion,"n. a process in which a substance reacts with oxygen to give heat and light
n. a state of violent disturbance and excitement"
lull,"n. a period of calm weather
v. calm by deception
v. become quiet or less intensive"
discriminate,"v. recognize or perceive the difference
v. treat differently on the basis of sex or race
v. distinguish
a. marked by the ability to see or make fine distinctions"
expediency,n the quality of being suited to the end in view
frustrate,"v hinder or prevent (the efforts, plans, or desires) of
v treat cruelly"
furnish,v. provide or equip with furniture
hazard,"n. a source of danger; a possibility of incurring loss or misfortune
n. an obstacle on a golf course"
hub,"n. the central part of a car wheel (or fan or propeller etc) through which the shaft or axle passes
n. a center of activity or interest or commerce or transportation; a focal point around which events revolve"
allergic,"a. characterized by or caused by allergy
s. having an allergy or peculiar or excessive susceptibility (especially to a specific factor)"
aggravate,"v make worse
v exasperate or irritate"
agitate,"v. try to stir up public opinion
v. cause to be agitated, excited, or roused
v. change the arrangement or position of"
mobility,n. the quality of moving freely
akin,"s. similar in quality or character
s. related by blood"
escapade,n. any carefree episode
escapologist,n. an entertainer who is expert in the art of escaping
globe-trotter,n. someone who travels widely and often
hair-raising,s extremely alarming
inveterate,"s habitual
r in a habitual and longstanding manner"
toxic,a. of or relating to or caused by a toxin or poison
under-served,none
qui vive," The challenge of a French sentinel, or patrol; -- used like
   the English challenge: ""Who comes there?"""
realm,"n a domain in which something is dominant
n the domain ruled by a king or queen
n a knowledge domain that you are interested in or are communicating about"
baby boomer,none
unfrequented,s devoid of creatures
actuate,"v put in motion or move to act
v give an incentive for action"
commoner,n. a person who holds no title
destination,n. the ultimate goal for which something is done
render,"n. a substance similar to stucco but exclusively applied to masonry walls
v. cause to become
v. give or supply
v. pass down"
urbanism,none
rugged,"a. sturdy and strong in constitution or construction; enduring
s. very difficult; severely testing stamina or resolution"
obsolete,s no longer in use
thruway,n a broad highway designed for high-speed traffic
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
flexible,"a. capable of being changed
a. able to flex; able to bend easily
s. bending and snapping back readily without breaking"
inure,v. cause to accept or become hardened to; habituate
inundate,"v. fill or cover completely, usually with water"
lurch,"n. an unsteady uneven gait
n. a decisive defeat in a game (especially in cribbage)
n. abrupt up-and-down motion (as caused by a ship or other conveyance)
n. the act of moving forward suddenly"
alienation,"n. the feeling of being alienated from other people
n. separation resulting from hostility
n. (law) the voluntary and absolute transfer of title and possession of real property from one person to another"
unaffordable,none
deprive,"v. take away possessions from someone
v. keep from having, keeping, or obtaining
v. take away"
mislead,v. lead someone in the wrong direction or give someone wrong directions
ubiquitous,s being present everywhere at once
copyright,"n. a document granting exclusive right to publish and sell literary or musical or artistic work
v. secure a copyright on a written work"
intimacy,"n close or warm friendship
n a usually secretive or illicit sexual relationship
n a feeling of being intimate and belonging together"
fall into a flat spin,none
abnegation,"n. the denial and rejection of a doctrine or belief
n. renunciation of your own interests in favor of the interests of others"
backdrop,n. scenery hung at back of stage
eternal,"s continuing forever or indefinitely
s tiresomely long; seemingly without end"
ethic,"n. the principles of right and wrong that are accepted by an individual or a social group
n. a system of principles governing morality and acceptable conduct"
humanity,n. the quality of being humane
implication,"n. an accusation that brings into intimate and usually incriminating connection
n. a logical relation between propositions p and q of the form `if p then q'; if p is true then q cannot be false
n. a relation implicated by virtue of involvement or close connection (especially an incriminating involvement)"
methodology,"n. the branch of philosophy that analyzes the principles and procedures of inquiry in a particular discipline
n. the system of methods followed in a particular discipline"
morality,n. concern with the distinction between good and evil or right and wrong; right or good conduct
panorama,n. a picture (or series of pictures) representing a continuous scene
perception,"n. a way of conceiving something
n. the process of perceiving
n. knowledge gained by perceiving"
self-identity,none
specious,s. plausible but false
anticlimax,"n. a disappointing decline after a previous rise
n. a change from a serious subject to a disappointing one"
antithetical,s sharply contrasted in character or purpose
apotheosis,"n model of excellence or perfection of a kind; one having no equal
n the elevation of a person (as to the status of a god)"
benighted,"s. overtaken by night or darkness
s. lacking enlightenment or knowledge or culture"
bewildering,"v be a mystery or bewildering to
v cause to be confused emotionally"
blood-shot,s. (of an eye) reddened as a result of locally congested blood vessels; inflamed
calculated,"v make a mathematical calculation or computation
v judge to be probable
v keep an account of
v predict in advance
v specifically design a product, event, or activity for a certain public
v have faith or confidence in
s carefully thought out in advance"
calamity,n. an event resulting in great loss and misfortune
environmentalist,n. someone who works to protect the environment from destruction or pollution
envisage,v form a mental image of something that is not present or that is not the case
flash,"n. a sudden intense burst of radiant energy
n. a momentary brightness
n. a short vivid experience
n. a sudden brilliant understanding"
gnawing,"v bite or chew on with the teeth
v become ground down or deteriorate"
go-getter,n. someone whose career progresses rapidly
manoeuvre,"n a plan for attaining a particular goal
n a military training exercise
n a deliberate coordinated movement requiring dexterity and skill
n a move made to gain a tactical end
n an action aimed at evading an opponent
v act in order to achieve a certain goal
v direct the course; determine the direction of travelling
v perform a movement in military or naval tactics in order to secure an advantage in attack or defense"
alter,"v. make an alteration to
v. remove the ovaries of"
accessibility,"n the quality of being at hand when needed
n the attribute of being easy to meet or deal with"
ascendant,"n. position or state of being dominant or in control
s. tending or directed upward
s. most powerful or important or influential"
availability,n the quality of being at hand when needed
zenith,n. the point above the observer that is directly opposite the nadir on the imaginary sphere against which celestial bodies appear to be projected
prototype,n. a standard or typical example
prerequisite,"n. something that is required in advance
s. required as a prior condition or course of study"
trace,"n. a just detectable amount
n. an indication that something has been present
n. either of two lines that connect a horse's harness to a wagon or other vehicle or to a whiffletree
n. a visible mark (as a footprint) left by the passage of person or animal or vehicle"
theory,"n. a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena
n. a belief that can guide behavior"
foundation,"n. the basis on which something is grounded
n. an institution supported by an endowment
n. lowest support of a structure
n. education or instruction in the fundamentals of a field of knowledge"
transformation,"n. a qualitative change
n. (mathematics) a function that changes the position or direction of the axes of a coordinate system
n. a rule describing the conversion of one syntactic structure into another related syntactic structure"
confinement,"n. the act of restraining of a person's liberty by confining them
n. the state of being confined"
ambience,"n a particular environment or surrounding influence
n the atmosphere of an environment"
accessible,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly"
accommodation,"n. a settlement of differences
n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
n. living quarters provided for public convenience
n. the act of providing something (lodging or seat or food) to meet a need"
barometer,n. an instrument that measures atmospheric pressure
beleaguered,"v annoy persistently
v surround so as to force to give up"
communication,"n. the activity of communicating; the activity of conveying information
n. something that is communicated by or to or between people or groups
n. a connection allowing access between persons or places"
bereft,s. unhappy in love; suffering from unrequited love
camaraderie,n the quality of affording easy familiarity and sociability
domestic,"n. a servant who is paid to perform menial tasks around the household
a. of concern to or concerning the internal affairs of a nation
a. of or relating to the home
a. of or involving the home or family"
eclectic,"n. someone who selects according to the eclectic method
s. selecting what seems best of various styles or ideas"
edifying,a. enlightening or uplifting so as to encourage intellectual or moral improvement
egalitarian,n. a person who believes in the equality of all people
fiend,"n a cruel wicked and inhuman person
n an evil supernatural being
n a person motivated by irrational enthusiasm (as for a cause)"
filch,v make off with belongings of others
finagle,v achieve something by means of trickery or devious methods
sacrifice,"n. personnel that are sacrificed (e.g., surrendered or lost in order to gain an objective)
n. a loss entailed by giving up or selling something at less than its value
n. the act of killing (an animal or person) in order to propitiate a deity
n. (baseball) an out that advances the base runners"
nuclear family,none
extended family,none
spoil,"n. (usually plural) valuables taken by violence (especially in war)
n. the act of spoiling something by causing damage to it
n. the act of stripping and taking by force
v. become unfit for consumption or use"
over-indulged,past participle of over-indulge
egoistic,a. limited to or caring only about yourself and your own needs
inconsiderate,"a. lacking regard for the rights or feelings of others
s. without proper consideration or reflection"
infantile autism,none
misconduct,n. bad or dishonest management by persons supposed to act on another's behalf
nourish,v. provide with nourishment
polish,"n. the property of being smooth and shiny
n. a highly developed state of perfection; having a flawless or impeccable quality
n. a preparation used in polishing
n. the Slavic language of Poland"
rebellious,"s. resisting control or authority
s. participating in organized resistance to a constituted government"
pastime,n. a diversion that occupies one's time and thoughts (usually pleasantly)
extravagant,s. recklessly wasteful
content,"n. everything that is included in a collection and that is held or included in something
n. the proportion of a substance that is contained in a mixture or alloy etc.
n. the sum or range of what has been perceived, discovered, or learned
v. satisfy in a limited way"
enlighten,"v. make understand
v. give spiritual insight to; in religion"
compensate,"v. adjust for
v. make amends for; pay compensation for
v. make payment to; compensate"
accompany,v. go or travel along with
blood kinship,none
morose,s showing a brooding ill humor
average,"n. a statistic describing the location of a distribution
n. (sports) the ratio of successful performances to opportunities
n. an intermediate scale value regarded as normal or usual
v. amount to or come to an average, without loss or gain"
category,n. a general concept that marks divisions or coordinations in a conceptual scheme
compare,"v. examine and note the similarities or differences of
v. be comparable
v. consider or describe as similar, equal, or analogous
v. to form the comparative or superlative form on an adjective or adverb"
component,"n. an abstract part of something
n. an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system"
decline,"n. change toward something smaller or lower
n. a condition inferior to an earlier condition; a gradual falling off from a better state
v. grow smaller
v. go down"
difference,"n. the quality of being unlike or dissimilar
n. a significant change"
fold,"n. an angular or rounded shape made by folding
n. a geological process that causes a bend in a stratum of rock
n. a folded part (as in skin or muscle)
n. a pen for sheep"
in contrast,none
increase,"n. a change resulting in an increase
n. a process of becoming larger or longer or more numerous or more important
n. the amount by which something increases
n. the act of increasing something"
indicate,"v. indicate a place, direction, person, or thing; either spatially or figuratively
v. to state or express briefly
v. suggest the necessity of an intervention; in medicine"
majority,"n. the property resulting from being or relating to the greater in number of two parts; the main part
n. (elections) more than half of the votes
n. the age at which persons are considered competent to manage their own affairs"
outnumber,v. be larger in number
pronounced,"v speak, pronounce, or utter in a certain way
v pronounce judgment on
s strongly marked; easily noticeable"
rate,"n. a magnitude or frequency relative to a time unit
n. amount of a charge or payment relative to some basis
n. a quantity or amount or measure considered as a proportion of another quantity or amount or measure
v. assign a rank or rating to"
significant,"a. important in effect or meaning
s. fairly large
a. too closely correlated to be attributed to chance and therefore indicating a systematic relation"
take up,"n. any of various devices for reducing slack (as in a sewing machine) or taking up motion (as in a loom)
n. the action of taking up as by tightening or absorption or reeling in"
confirm,"v. establish or strengthen as with new evidence or facts
v. strengthen or make more firm
v. make more firm
v. support a person for a position"
consistent,"a. (sometimes followed by `with') in agreement or consistent or reliable
s. the same throughout in structure or composition"
data,n. a collection of facts from which conclusions may be drawn
disproportion,n. lack of proportion; imbalance among the parts of something
drastically,r. in a drastic manner
engage,"v. ask to represent; of legal counsel
v. get caught
v. carry on (wars, battles, or campaigns)
v. hire for work or assistance"
evident,"s clearly revealed to the mind or the senses or judgment
s capable of being seen or noticed"
gradual,"n. (Roman Catholic Church) an antiphon (usually from the Book of Psalms) immediately after the epistle at Mass
a. proceeding in small stages
a. (of a topographical gradient) not steep or abrupt"
illustrate,"v. depict with an illustration
v. supply with illustrations"
incidence,"n. the relative frequency of occurrence of something
n. the striking of a light beam on a surface"
obvious,a. easily perceived by the senses or grasped by the mind
occur,"v. come to one's mind; suggest itself
v. to be found to exist"
overwhelmingly,r. incapable of being resisted
percentage,n. a proportion in relation to a whole (which is usually the amount per hundred)
prevalence,"n. the quality of prevailing generally; being widespread
n. (epidemiology) the ratio (for a given time period) of the number of occurrences of a disease or event to the number of units at risk in the population"
reflect,"v. manifest or bring back
v. to throw or bend back (from a surface)
v. be bright by reflecting or casting light
v. show an image of"
remarkable,s. unusual or striking
respectively,r. in the order given
undergo,v. pass through
vary,"v. be subject to change in accordance with a variable
v. make something more diverse and varied"
mode,"n. a particular functioning condition or arrangement
n. any of various fixed orders of the various diatonic notes within an octave
n. the most frequent value of a random variable"
statistics,n. a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters
percentage,n. a proportion in relation to a whole (which is usually the amount per hundred)
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
significant,"a. important in effect or meaning
s. fairly large
a. too closely correlated to be attributed to chance and therefore indicating a systematic relation"
account for,none
peak,n. the top or extreme point of something (usually a mountain or hill)
bottom,"n. the lower side of anything
n. the lowest part of anything
n. the second half of an inning; while the home team is at bat
n. a cargo ship"
summit,"n. a meeting of heads of governments
v. reach the summit (of a mountain)"
decrease,"n. a change downward
n. a process of becoming smaller or shorter
n. the amount by which something decreases
n. the act of decreasing or reducing something"
double,"n. a base hit on which the batter stops safely at second base
n. a stand-in for movie stars to perform dangerous stunts
n. someone who closely resembles a famous person (especially an actor)
n. a quantity that is twice as great as another"
increase,"n. a change resulting in an increase
n. a process of becoming larger or longer or more numerous or more important
n. the amount by which something increases
n. the act of increasing something"
steady,"v. make steady
a. not subject to change or variation especially in behavior
s. securely in position; not shaky
s. not easily excited or upset"
fluctuate,"v. cause to fluctuate or move in a wavelike pattern
v. move or sway in a rising and falling or wavelike pattern
v. be unstable"
triple,"n. a base hit at which the batter stops safely at third base
n. a quantity that is three times as great as another
v. increase threefold
v. hit a three-base hit"
fluctuation,"n. a wave motion
n. the quality of being unsteady and subject to changes"
rate,"n. a magnitude or frequency relative to a time unit
n. amount of a charge or payment relative to some basis
n. a quantity or amount or measure considered as a proportion of another quantity or amount or measure
v. assign a rank or rating to"
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
surge,"n. a sudden or abrupt strong increase
v. see one's performance improve"
upward,s. directed up
downward,s. on or toward a surface regarded as a base
decline,"n. change toward something smaller or lower
n. a condition inferior to an earlier condition; a gradual falling off from a better state
v. grow smaller
v. go down"
moderate,"v. preside over
v. make less fast or intense
a. being within reasonable or average limits; not excessive or extreme
s. not extreme"
stand at,none
plateau,n a relatively flat highland
recover,"v. get or find back; recover the use of
v. regain a former condition after a financial loss
v. regain or make up for
v. cover anew"
soar,"n. the act of rising upward into the air
v. rise rapidly
v. fly upwards or high in the sky
v. go or move upward"
plummet,v. drop sharply
flatten,"v. make flat or flatter
v. become flat or flatter
v. lower the pitch of (musical notes)"
plunge,"n. a steep and rapid fall
v. dash violently or with great speed or impetuosity
v. begin with vigor
v. cause to be immersed"
while,n. a period of indeterminate length (usually short) marked by some action or condition
whereas,"adv. At which place; where.
conj. Considering that; it being the case that; since; --
   used to introduce a preamble which is the basis of declarations,
   affirmations, commands, requests, or like, that follow.
conj. When in fact; while on the contrary; the case being in
   truth that; although; -- implying opposition to something that
   precedes; or implying recognition of facts, sometimes followed by a
   different statement, and sometimes by inferences or something
   consequent."
on the other hand,none
conversely,r. with the terms of the relation reversed
likewise,"r in like or similar manner
r in addition
r equally"
similarly,r. in like or similar manner
overall,"n. (usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps)
n. a loose protective coverall or smock worn over ordinary clothing for dirty work
s. involving only main features
s. including everything"
respectively,r. in the order given
category,n. a general concept that marks divisions or coordinations in a conceptual scheme
trend,"n a general direction in which something tends to move
n general line of orientation
n a general tendency to change (as of opinion)
n the popular taste at a given time
v turn sharply; change direction abruptly"
rocket,"n. any vehicle self-propelled by a rocket engine
n. a jet engine containing its own propellant and driven by reaction propulsion
n. erect European annual often grown as a salad crop to be harvested when young and tender
n. propels bright light high in the sky, or used to propel a lifesaving line or harpoon"
range,"n. the limits within which something can be effective
n. a large tract of grassy open land on which livestock can graze
n. a series of hills or mountains
n. a place for shooting (firing or driving) projectiles of various kinds"
noteworthy,"s. worthy of notice
s. worthy of notice"
undergo,v. pass through
hover,"v. be undecided about something; waver between conflicting positions or courses of action
v. move to and fro
v. hang in the air; fly or be suspended above"
surpass,v. be or do something to a greater degree
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
staggering,"v walk as if unable to control one's movements
v walk with great difficulty
v to arrange in a systematic order
v astound or overwhelm, as with shock
s so surprisingly impressive as to stun or overwhelm"
uneven,"a. not even or uniform as e.g. in shape or texture
s. variable and recurring at irregular intervals"
flow chart,n a diagram of the sequence of operations in a computer program or an accounting system
overall,"n. (usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps)
n. a loose protective coverall or smock worn over ordinary clothing for dirty work
s. involving only main features
s. including everything"
include,"v. have as a part, be made up out of
v. consider as part of something
v. add as part of something else; put in as part of a set, group, or category"
procedure,"n. a particular course of action intended to achieve a result
n. a mode of conducting legal and parliamentary proceedings"
arrange,"v. put into a proper or systematic order
v. make arrangements for
v. adapt for performance in a different way
v. arrange thoughts, ideas, temporal events"
measure,"n. any maneuver made as part of progress toward a goal
n. how much there is or how many there are of something that you can quantify
n. musical notation for a repeating pattern of musical beats
n. a container of some standard capacity that is used to obtain fixed amounts of a substance"
estimate,"n. an approximate calculation of quantity or degree or worth
n. a judgment of the qualities of something or somebody
n. a statement indicating the likely cost of some job
n. the respect with which a person is held"
prior,n. the head of a religious order; in an abbey the prior is next below the abbot
posterior,a. located at or near or behind a part or near the end of a structure
parallel,"n. (mathematics) one of a set of parallel geometric figures (parallel lines or planes)
v. be parallel to
v. make or place parallel to something
a. being everywhere equidistant and not intersecting"
prepare,"v. to prepare verbally, either for written or spoken delivery
v. educate for a future role or function
v. lead up to and soften by sounding the dissonant note in it as a consonant note in the preceding chord"
sort,"n. an approximate definition or example
n. a person of a particular character or nature
n. an operation that segregates items into groups according to a specified criterion"
implement,"n. instrumentation (a piece of equipment or tool) used to effect an end
v. apply in a manner consistent with its purpose or design"
automatically,r. in a reflex manner
manual,"n. a small handbook
a. of or relating to the hands
a. requiring human effort
s. doing or requiring physical work"
connect,"v. connect, fasten, or put together two or more pieces
v. be or become joined or united or linked
v. join by means of communication equipment
v. land on or hit solidly"
separate,"n. a garment that can be purchased separately and worn in combinations with other garments
v. act as a barrier between; stand between
v. force, take, or pull apart
v. divide into components or constituents"
stick,"n. an implement consisting of a length of wood
n. a small thin branch of a tree
n. a lever used by a pilot to control the ailerons and elevators of an airplane
n. a rectangular quarter pound block of butter or margarine"
detach,"v. cause to become detached or separated; take off
v. separate (a small unit) from a larger, especially for a special assignment
v. come to be detached"
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
rotate,"v. exchange on a regular basis
v. perform a job or duty on a rotating basis
v. cause to turn on an axis or center"
vertically,r. in a vertical direction
levelly,adv. In an even or level manner.
infuse,"v. undergo the process of infusion
v. introduce into the body through a vein, for therapeutic purposes"
remove,"n. degree of figurative distance or separation; 
v. remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
v. remove from a position or an office
v. shift the position or location of, as for business, legal, educational, or military purposes"
evaporate,"v. lose or cause to lose liquid by vaporization leaving a more concentrated residue
v. cause to change into a vapor
v. change into a vapor"
humidity,n. wetness in the atmosphere
density,n. the amount per unit size
height,n. the vertical dimension of extension; distance from the base of something to the top
width,n. the extent of something from side to side
laminate,"n. a sheet of material made by bonding two or more sheets or layers
v. create laminate by bonding sheets of material with a bonding material
v. press or beat (metals) into thin sheets"
grind,"n. the grade of particle fineness to which a substance is ground
n. the act of grinding to a powder or dust
v. dance by rotating the pelvis in an erotically suggestive way, often while in contact with one's partner such that the dancers' legs are interlaced
v. reduce to small pieces or particles by pounding or abrading"
mold,"n. container into which liquid is poured to create a given shape when it hardens
n. loose soil rich in organic matter
n. a fungus that produces a superficial growth on various kinds of damp or decaying organic matter"
pack,"n. a complete collection of similar things
n. a convenient package or parcel (as of cigarettes or film)
n. a group of hunting animals
n. a cream that cleanses and tones the skin"
draft,"n. a document ordering the payment of money; drawn by one person or bank on another
n. a current of air (usually coming into a chimney or room or vehicle)
n. a preliminary sketch of a design or picture
n. a serving of drink (usually alcoholic) drawn from a keg"
principal,"n. the original amount of a debt on which interest is calculated
n. the educator who has executive authority for a school
n. capital as contrasted with the income derived from it
n. (criminal law) any person involved in a criminal offense, regardless of whether the person profits from such involvement"
submit,"v. refer for judgment or consideration
v. put before
v. yield to the control of another
v. yield to another's wish or opinion"
complainant,n a person who brings an action in a court of law
defendant,n. a person or institution against whom an action is brought in a court of law; the person being sued or accused
analyze,"v. consider in detail and subject to an analysis in order to discover essential features or meaning
v. make a mathematical, chemical, or grammatical analysis of; break down into components or essential features
v. break down into components or essential features"
certify,"v. guarantee payment on; of checks
v. guarantee as meeting a certain standard
v. declare legally insane"
plough,"n a group of seven bright stars in the constellation Ursa Major
n a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
v move in a way resembling that of a plow cutting into or going through the soil
v to break and turn over earth especially with a plow"
seed,"n. a small hard fruit
n. a mature fertilized plant ovule consisting of an embryo and its food source and having a protective coat or testa
v. go to seed; shed seeds
v. help (an enterprise) in its early stages of development by providing seed money"
fertilize,"v. provide with fertilizers or add nutrients to
v. make fertile or productive"
thresh,"v move or stir about violently
v move like a flail; thresh about
v beat the seeds out of a grain
v give a thrashing to; beat hard"
venue,"n. the scene of any event or action (especially the place of a meeting)
n. in law: the jurisdiction where a trial will be held"
locate,"v. discover the location of; determine the place of; find by searching or examining
v. assign a location to"
relocate,"v. become established in a new location
v. move or establish in a new location"
urban,"a. relating to or concerned with a city or densely populated area
a. located in or characteristic of a city or city life"
downtown,"a. of or located in the lower part of a town, or in the business center
r. toward or in the lower or central part of town"
populous,s. densely populated
remote,"n a device that can be used to control a machine or apparatus from a distance
s located far away spatially
s very unlikely
s separate or apart in time
s inaccessible and sparsely populated; 
a far apart in relevance or relationship or kinship"
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
suitable,s. meant or adapted for an occasion or use
plain,"n. extensive tract of level open land
a. not elaborate or elaborated; simple
a. lacking patterns especially in color
s. not mixed with extraneous elements"
valley,n. a long depression in the surface of the land that usually contains a river
mountain,n. a land mass that projects well above its surroundings; higher than a hill
inland,"a. situated away from an area's coast or border
r. towards or into the interior of a region"
coastal,"a. of or relating to a coast
a. located on or near or bordering on a coast"
forest,"n. the trees and other plants in a large densely wooded area
n. land that is covered with trees and shrubs"
desert,"n. arid land with little or no vegetation
v. leave behind"
railway,n. line that is the commercial organization responsible for operating a system of transportation for trains that pull passengers or freight
thruway,n a broad highway designed for high-speed traffic
vessel,"n. a tube in which a body fluid circulates
n. a craft designed for water transportation
n. an object used as a container (especially for liquids)"
consumption,"n. the process of taking food into the body through the mouth (as by eating)
n. (economics) the utilization of economic goods to satisfy needs or in manufacturing
n. the act of consuming something"
length,"n. the linear extent in space from one end to the other; the longest dimension of something that is fixed in place
n. the property of being the extent of something from beginning to end
n. a section of something that is long and narrow"
adjoin,v. attach or add
accommodation,"n. a settlement of differences
n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
n. living quarters provided for public convenience
n. the act of providing something (lodging or seat or food) to meet a need"
action,"n. something done (usually as opposed to something said)
n. the state of being active
n. the series of events that form a plot
n. the trait of being active and energetic and forceful"
administration,"n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
n. the persons (or committees or departments etc.) who make up a body for the purpose of administering something
n. the act of administering medication
n. the act of meting out justice according to the law"
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
apology,"n. an expression of regret at having caused trouble for someone
n. a formal written defense of something you believe in strongly
n. a poor example"
arrangement,"n. an orderly grouping (of things or persons) considered as a unit; the result of arranging
n. an organized structure for arranging or classifying
n. the act of arranging and adapting a piece of music"
assistant,n. a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
attention,"n. the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others
n. a general interest that leads people to want to know more
n. a courteous act indicating affection
n. the faculty or power of mental concentration"
