abroad,"s. in a foreign country
r. to or in a foreign country"
vehicle,"n. a conveyance that transports people or objects
n. a medium for the expression or achievement of something
n. any substance that facilitates the use of a drug or pigment or other material that is mixed with it"
benefit,"n. financial assistance in time of need
n. something that aids or promotes well-being
n. a performance to raise money for a charitable cause
v. be beneficial for"
beneficial,s. promoting or enhancing well-being
profit,"n. the advantageous quality of being beneficial
v. derive a benefit from
v. make a profit; gain money or materially"
profitable,a. yielding material gain or profit
favourable,"a encouraging or approving or pleasing
a (of winds or weather) tending to promote or facilitate
s occurring at a convenient or suitable time
s presaging or likely to bring good luck"
favorable,"a. encouraging or approving or pleasing
a. (of winds or weather) tending to promote or facilitate
s. occurring at a convenient or suitable time"
distinct,"s. (often followed by `from') not alike; different in nature or quality
a. easy to perceive; especially clearly outlined
s. recognizable; marked"
distinguish,"v. mark as different
v. be a distinctive feature, attribute, or trait; sometimes in a very positive sense"
discriminate,"v. recognize or perceive the difference
v. treat differently on the basis of sex or race
v. distinguish
a. marked by the ability to see or make fine distinctions"
discern,v detect with the senses
differ,v. be different
distinction,"n. a distinguishing quality
n. a distinguishing difference"
discrepancy,"n. a difference between conflicting facts or claims or opinions
n. an event that departs from expectations"
discretion,"n. freedom to act or judge on one's own
n. knowing how to avoid embarrassment or distress
n. the trait of judging wisely and objectively"
disapprove,"v. consider bad or wrong
v. deem wrong or inappropriate"
dissent,"n. (law) the difference of one judge's opinion from that of the majority
n. a difference of opinion
v. withhold assent"
sanction,"n. formal and explicit approval
n. a mechanism of social control for enforcing a society's standards
n. the act of final authorization
v. give authority or permission to"
applaud,"v. clap one's hands or shout after performances to indicate approval
v. express approval of"
rally,"n. a large gathering of people intended to arouse enthusiasm
n. the feat of mustering strength for a renewed effort
n. a marked recovery of strength or spirits during an illness
n. an automobile race run over public roads"
summon,"v. call in an official matter, such as to attend court
v. ask to come"
dispel,"v force to go away; used both with concrete and metaphoric meanings
v to cause to separate and go in different directions"
disperse,"v. to cause to separate and go in different directions
v. move away from each other; 
v. separate (light) into spectral rays"
scatter,"n. a haphazard distribution in all directions
n. the act of scattering
v. distribute loosely
v. sow by scattering"
litter,"n. the offspring at one birth of a multiparous mammal
n. rubbish carelessly dropped or left about (especially in public places)
n. conveyance consisting of a chair or bed carried on two poles by bearers
v. strew"
relay,"n. the act of passing something along from one person or group to another
n. a crew of workers who relieve another crew
n. a fresh team to relieve weary draft animals
n. a race between teams; each member runs or swims part of the distance"
overhear,"v hear, usually without the knowledge of the speakers"
tuck,"n. eatables (especially sweets)
n. (sports) a bodily position adopted in some sports (such as diving or skiing) in which the knees are bent and the thighs are drawn close to the chest
n. a narrow flattened pleat or fold that is stitched in place
v. fit snugly into"
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
alienate,v. make withdrawn or isolated or emotionally dissociated
interior,"a. situated within or suitable for inside a building
s. inside and toward a center
s. of or coming from the middle of a region or country"
inward,"a. relating to or existing in the mind or thoughts
r. toward the center or interior"
inner,"s. located inward
a. located or occurring within or closer to a center
s. innermost or essential
s. exclusive to a center; especially a center of influence"
internal,"a. happening or arising or located within some limits or especially surface
s. occurring within an institution or community"
domestic,"n. a servant who is paid to perform menial tasks around the household
a. of concern to or concerning the internal affairs of a nation
a. of or relating to the home
a. of or involving the home or family"
external,"n. outward features
a. happening or arising or located outside or beyond some limits or especially surface
s. coming from the outside
s. from or between other countries"
exterior,a. situated in or suitable for the outdoors or outside of a building
abolish,v. do away with
abolition,n. the act of abolishing a system or practice or institution (especially abolishing slavery)
repeal,"n the act of abrogating; an official or legal cancellation
v cancel officially"
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
demolish,"v. destroy completely
v. defeat soundly"
eradicate,"v kill in large numbers
v destroy completely, as if down to the roots"
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
exclude,"v. prevent from being included or considered or accepted
v. prevent from entering; shut out
v. lack or fail to include"
erase,"v. remove from memory or existence
v. remove by or as if by rubbing or erasing
v. wipe out digitally or magnetically recorded information"
scrub,"n. dense vegetation consisting of stunted trees or bushes
n. the act of cleaning a surface by rubbing it with a brush and soap and water
v. clean with hard rubbing
v. wash thoroughly"
rub,"n. the act of rubbing or wiping
v. move over something with pressure
v. cause friction
v. scrape or rub as if to relieve itching"
wipe,v. rub with a circular motion
scrape,"n. a harsh noise made by scraping
n. a deep bow with the foot drawn backwards (indicating excessive humility)
v. scratch repeatedly
v. make by scraping"
polish,"n. the property of being smooth and shiny
n. a highly developed state of perfection; having a flawless or impeccable quality
n. a preparation used in polishing
n. the Slavic language of Poland"
embroider,"v. decorate with needlework
v. add details to"
scour,"n. a place that is scoured (especially by running water)
v. examine minutely
v. rub hard or scrub"
absolve,v. let off the hook
exempt,"v. grant relief or an exemption from a rule or requirement to
a. (of persons) freed from or not subject to an obligation or liability (as e.g. taxes) to which others or other things are subject"
intense,"a. possessing or displaying a distinctive feature to a heightened degree
s. (of color) having the highest saturation"
intensity,"n. the amount of energy transmitted (as by acoustic or electromagnetic radiation)
n. high level or degree; the property of being intense"
intensive,"s. characterized by a high degree or intensity; often used as a combining form
a. tending to give force or emphasis
a. of agriculture; intended to increase productivity of a fixed area by expending more capital and labor"
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
expansion,"n. the act of increasing (something) in size or volume or quantity or scope
n. a function expressed as a sum or product of terms
n. a discussion that provides additional information"
extend,"v. make available; provide
v. reach outward in space
v. expand the influence of
v. open or straighten out; unbend"
extensive,"s. large in spatial extent or range or scope or quantity
a. of agriculture; increasing productivity by using large areas with minimal outlay and labor"
extent,"n. the point or degree to which something extends
n. the distance or area or volume over which something extends"
enlarge,"v. make larger
v. become larger or bigger"
amplify,v. increase the volume of
stretch,"n. a large and unbroken expanse or distance
n. a straightaway section of a racetrack
n. exercise designed to extend the limbs and muscles to their full extent
n. extension to or beyond the ordinary limit"
multiply,"v. combine by multiplication
v. combine or increase by multiplication
r. in several ways; in a multiple manner"
magnify,"v. increase in size, volume or significance"
boast,"n. speaking of yourself in superlatives
v. show off"
brag,n. an instance of boastful talk
crow,"n. black birds having a raucous call
n. the cry of a cock (or an imitation of it)
n. a member of the Siouan people formerly living in eastern Montana
n. a Siouan language spoken by the Crow"
exaggerate,"v to enlarge beyond bounds or the truth
v do something to an excessive degree"
squeeze,"n. the act of gripping and pressing firmly
n. a situation in which increased costs cannot be passed on to the customer
n. (slang) a person's girlfriend or boyfriend
n. a twisting squeeze"
shrink,"v. reduce in size; reduce physically
v. become smaller or draw together
v. decrease in size, range, or extent"
expose,"n. the exposure of an impostor or a fraud
v. expose or make accessible to some action or influence
v. to show, make visible or apparent
v. expose to light, of photographic film"
exposure,"n. vulnerability to the elements; to the action of heat or cold or wind or rain; 
n. the act of subjecting someone to an influencing experience
n. the disclosure of something secret
n. aspect resulting from the direction a building or window faces"
display,"n. something intended to communicate a particular impression
n. something shown to the public
n. a visual representation of something
n. behavior that makes your feelings public"
regardless,r. in spite of everything; without regard to drawbacks
disregard,"n. lack of attention and due care
n. willful lack of care and attention"
neglect,"n. the state of something that has been unused and neglected
v. leave undone or leave out
v. fail to attend to
v. give little or no attention to"
omit,"v prevent from being included or considered or accepted
v leave undone or leave out"
overlook,"n. a high place affording a good view
v. look past, fail to notice
v. watch over"
oblivious,s. (followed by `to' or `of') lacking conscious awareness of
disrupt,v. throw into disorder
fuss,"n. an angry disturbance
v. worry unnecessarily or excessively"
solve,v. find the solution to (a problem or question) or understand the meaning of
soluble,"a. (of a substance) capable of being dissolved in some solvent (usually water)
a. susceptible of solution or of being solved or explained"
solution,"n. a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution
n. a statement that solves a problem or explains how to solve the problem
n. a method for solving a problem
n. the set of values that give a true statement when substituted into an equation"
resolve,"v. make clearly visible
v. find the solution"
resolute,a. firm in purpose or belief; characterized by firmness and determination
evolve,"v. work out
v. undergo development or evolution"
involve,"v. connect closely and often incriminatingly
v. engage as a participant
v. contain as a part
v. occupy or engage the interest of"
incorporate,"v. include or contain; have as a component
v. form a corporation
v. unite or merge with something already in existence
s. formed or united into a whole"
inclusive,a. including much or everything; and especially including stated limits
twist,"n. a jerky pulling movement
n. social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
n. turning or twisting around (in place)
v. turn in the opposite direction"
distort,"v make false by mutilation or addition; as of a message or story
v form into a spiral shape
v twist and press out of shape
v affect as in thought or feeling
v alter the shape of (something) by stress"
transit,"v. make a passage or journey from one place to another
v. pass across (a sign or house of the zodiac) or pass across (the disk of a celestial body or the meridian of a place)
v. revolve (the telescope of a surveying transit) about its horizontal transverse axis in order to reverse its direction
v. cause or enable to pass through"
transport,"n. an exchange of molecules (and their kinetic energy and momentum) across the boundary between adjacent layers of a fluid or across cell membranes
v. move something or somebody around; usually over long distances
v. move while supporting, either in a vehicle or in one's hands or on one's body
v. transport commercially"
convey,"v. make known; pass on, of information
v. transfer to another
v. transmit a title or property"
transplant,"n. an operation moving an organ from one organism (the donor) to another (the recipient)
n. the act of removing something from one location and introducing it in another location
v. lift and reset in another soil or situation
v. be transplantable"
transfer,"n. someone who transfers or is transferred from one position to another
n. the act of transfering something from one form to another
n. a ticket that allows a passenger to change conveyances
n. application of a skill learned in one situation to a different but similar situation"
shift,"n. an event in which something is displaced without rotation
n. the time period during which you are at work
n. the act of moving from one place to another
n. a crew of workers who work for a specific period of time"
divert,"v. send on a course or in a direction different from the planned or intended one
v. withdraw (money) and move into a different location, often secretly and with dishonest intentions"
transform,"v. subject to a mathematical transformation
v. change or alter in form, appearance, or nature
v. change in outward structure or looks
v. convert (one form of energy) to another"
switch,"n. control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a circuit
n. hairpiece consisting of a tress of false hair; used by women to give shape to a coiffure
n. railroad track having two movable rails and necessary connections; used to turn a train from one track to another or to store rolling stock
n. a flexible implement used as an instrument of punishment"
gallop,"n. a fast gait of a horse; a two-beat stride during which all four legs are off the ground simultaneously
v. ride at a galloping pace
v. go at galloping speed
v. cause to move at full gallop"
settlement,"n. a conclusive resolution of a matter and disposition of it
n. something settled or resolved; the outcome of decision making
n. an area where a group of families live together"
owing,"v be obliged to pay or repay
v be indebted to, in an abstract or intellectual sense
v be in debt
s owed as a debt"
lest,s being ten more than forty
intercept,"n. the point at which a line intersects a coordinate axis
v. seize on its way"
guarantee,"n. a written assurance that some product or service will be provided or will meet certain specifications
n. an unconditional commitment that something will happen or that something is true
n. a collateral agreement to answer for the debt of another in case that person defaults
v. give surety or assume responsibility"
warrant,"n. a writ from a court commanding police to perform specified acts
n. a type of security issued by a corporation (usually together with a bond or preferred stock) that gives the holder the right to purchase a certain amount of common stock at a stated price"
certificate,"n. a document attesting to the truth of certain stated facts
v. present someone with a certificate
v. authorize by certificate"
fragile,s. vulnerably delicate
weaken,"v. lessen the strength of
v. become weaker"
frail,"n. the weight of a frail (basket) full of raisins or figs; between 50 and 75 pounds
n. a basket for holding dried fruit (especially raisins or figs)
a. physically weak"
flexible,"a. capable of being changed
a. able to flex; able to bend easily
s. bending and snapping back readily without breaking"
regulate,"v. fix or adjust the time, amount, degree, or rate of
v. bring into conformity with rules or principles or usage; impose regulations"
dominate,"v. be in control
v. have dominance or the power to defeat over
v. look down on"
predominant,"s most frequent or common
s having superior power and influence"
subscribe,"v. offer to buy, as of stocks and shares
v. adopt as a belief
v. receive or obtain regularly"
endow,"v. give qualities or abilities to
v. furnish with an endowment"
bestow,v. give as a gift
entitle,"v. give the right to
v. give a title to"
donate,v. give to a charity or good cause
tribute,"n. something given or done as an expression of esteem
n. payment by one nation for protection by another"
horrify,v fill with apprehension or alarm; cause to be unpleasantly surprised
appalling,"n. an experience that appalls
s. causing consternation"
scare,n. a sudden attack of fear
dread,"n fearful expectation or anticipation
v be afraid or scared of; be frightened of
s causing fear or dread or terror"
terrify,v. fill with terror; frighten greatly
terror,"n. a person who inspires fear or dread
n. a very troublesome child
n. the use of extreme fear in order to coerce people (especially for political reasons)"
shudder,"v. tremble convulsively, as from fear or excitement"
tremble,"n. a reflex motion caused by cold or fear or excitement
v. move or jerk quickly and involuntarily up and down or sideways"
quiver,"n. case for holding arrows
v. shake with fast, tremulous movements"
shiver,"v. shake, as from cold"
alert,"n. condition of heightened watchfulness or preparation for action
n. a warning serves to make you more alert to danger
a. engaged in or accustomed to close observation
s. quick and energetic"
vigilant,s carefully observant or attentive; on the lookout for possible danger
assure,"v. inform positively and with certainty and confidence
v. assure somebody of the truth of something with the intention of giving the listener confidence"
insure,v. take out insurance for
ensure,"v make certain of
v be careful or certain to do something; make certain of something"
mourn,"v. feel sadness
v. observe the customs of mourning after the death of a loved one"
moan,"n an utterance expressing pain or disapproval
v indicate pain, discomfort, or displeasure"
groan,"n. an utterance expressing pain or disapproval
v. indicate pain, discomfort, or displeasure"
grumble,"n. a complaint uttered in a low and indistinct tone
v. to utter or emit low dull rumbling sounds"
mutter,n. a low continuous indistinct sound; often accompanied by movement of the lips without the production of articulate speech
murmur,"v. speak softly or indistinctly
v. make complaining remarks or noises under one's breath"
grunt,"n. the short low gruff noise of the kind made by hogs
n. an unskilled or low-ranking soldier or other worker
n. medium-sized tropical marine food fishes that utter grunting sounds when caught
v. issue a grunting, low, animal-like noise"
diminish,"v. lessen the authority, dignity, or reputation of"
dwindle,v. become smaller or lose substance
decrease,"n. a change downward
n. a process of becoming smaller or shorter
n. the amount by which something decreases
n. the act of decreasing or reducing something"
surge,"n. a sudden or abrupt strong increase
v. see one's performance improve"
rot,"n a state of decay usually accompanied by an offensive odor
n (biology) the process of decay caused by bacterial or fungal action
n unacceptable behavior (especially ludicrously false statements)
v break down
v become physically weaker"
corrupt,"v. corrupt morally or by intemperance or sensuality
v. alter from the original
a. lacking in integrity
s. containing errors or alterations"
decay,"n. the process of gradually becoming inferior
n. a gradual decrease; as of stored charge or current
n. the organic phenomenon of rotting
n. an inferior state resulting from the process of decaying"
ravage,n. (usually plural) a destructive action
spoil,"n. (usually plural) valuables taken by violence (especially in war)
n. the act of spoiling something by causing damage to it
n. the act of stripping and taking by force
v. become unfit for consumption or use"
deteriorate,v. become worse or disintegrate
erode,"v. become ground down or deteriorate
v. remove soil or rock"
emerge,"v. come out into view, as from concealment
v. become known or apparent
v. come up to the surface of or rise"
submerge,"v. sink below the surface; go under or as if under water
v. cover completely or make imperceptible
v. put under water"
drift,"n. a force that moves something along
n. the gradual departure from an intended course due to external influences (as a ship or plane)
n. a process of linguistic change over a period of time
n. a large mass of material that is heaped up by the wind or by water currents"
shed,"n. an outbuilding with a single story; used for shelter or storage
v. get rid of
v. cast off hair, skin, horn, or feathers"
resemble,v. appear like; be similar or bear a likeness to
phase,"n. any distinct time period in a sequence of events
n. (physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state and separated from other material by the phase boundary
n. a particular point in the time of a cycle; measured from some arbitrary zero and expressed as an angle
n. (astronomy) the particular appearance of a body's state of illumination (especially one of the recurring shapes of the part of Earth's moon that is illuminated by the sun)"
likewise,"r in like or similar manner
r in addition
r equally"
intersect,v. meet at a point
swamp,"n. low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog
n. a situation fraught with difficulties and imponderables
v. drench or submerge or be drenched or submerged"
scent,"n. an odor left in passing by which a person or animal can be traced
v. catch the scent of; get wind of"
privilege,"n. a special advantage or immunity or benefit not enjoyed by all
n. (law) the right to refuse to divulge information obtained in a confidential relationship
v. bestow a privilege upon"
gnaw,v. bite or chew on with the teeth
respective,s. considered individually
phenomenon,"n. any state or process known through the senses rather than by intuition or reasoning
n. a remarkable development"
propaganda,n. information that is spread for the purpose of promoting some cause
monopoly,"n. (economics) a market in which there are many buyers but only one seller
n. exclusive control or possession of something
n. a board game in which players try to gain a monopoly on real estate as pieces advance around the board according to the throw of a die"
irrelevant,a. having no bearing on or connection with the subject at issue
hover,"v. be undecided about something; waver between conflicting positions or courses of action
v. move to and fro
v. hang in the air; fly or be suspended above"
swift,"n. United States meat-packer who began the use of refrigerated railroad cars (1839-1903)
n. an English satirist born in Ireland (1667-1745)
n. a small bird that resembles a swallow and is noted for its rapid flight"
senior,"n. an undergraduate student during the year preceding graduation
a. older; higher in rank; longer in length of tenure or service
s. used of the fourth and final year in United States high school or college"
protest,"n. a formal and solemn declaration of objection
n. the act of protesting; a public (often organized) manifestation of dissent
n. the act of making a strong public expression of disagreement and disapproval
v. utter words of protest"
lever,"n. a rigid bar pivoted about a fulcrum
n. a simple machine that gives a mechanical advantage when given a fulcrum
n. a flat metal tumbler in a lever lock"
interpret,"v. make sense of; assign a meaning to
v. give an interpretation or rendition of"
horn,"n. a noisemaker (as at parties or games) that makes a loud noise when you blow through it
n. one of the bony outgrowths on the heads of certain ungulates
n. a noise made by the driver of an automobile to give warning; 
n. a high pommel of a Western saddle (usually metal covered with leather)"
survival,"n. a state of surviving; remaining alive
n. a natural process resulting in the evolution of organisms best adapted to the environment
n. something that survives"
route,"v. send documents or materials to appropriate destinations
v. send via a specific route
v. divert in a specified direction"
routine,"n. an unvarying or habitual method or procedure
n. a set sequence of steps, part of larger computer program"
abandon,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims"
desert,"n. arid land with little or no vegetation
v. leave behind"
discard,"n. anything that is cast aside or discarded
n. (cards) the act of throwing out a useless card or of failing to follow suit
n. getting rid something that is regarded as useless or undesirable
v. throw or cast away"
abrupt,"s. marked by sudden changes in subject and sharp transitions
s. exceedingly sudden and unexpected
s. extremely steep
s. surprisingly and unceremoniously brusque in manner"
abruptly,r. quickly and without warning
accompany,v. go or travel along with
escort,"n. the act of accompanying someone or something in order to protect them
n. an attendant who is employed to accompany someone
v. accompany as an escort"
supplement,"n. a quantity added (e.g. to make up for a deficiency)
v. add as a supplement to what seems insufficient
v. serve as a supplement to"
complement,"n. a word or phrase used to complete a grammatical construction
n. a complete number or quantity
n. number needed to make up a whole force
n. something added to complete or embellish or make perfect"
compliment,"n. a remark (or act) expressing praise and admiration
v. say something to someone that expresses praise
v. express respect or esteem for"
budget,"n. a sum of money allocated for a particular purpose
n. a summary of intended expenditures along with proposals for how to meet them
v. make a budget"
finance,"n. the commercial activity of providing funds and capital
n. the branch of economics that studies the management of money and other assets
n. the management of money and credit and banking and investments
v. obtain or provide money for"
combine,"n. harvester that heads and threshes and cleans grain while moving across the field
v. add together from different sources
v. join for a common purpose or in a common action"
combination,"n. a collection of things that have been combined; an assemblage of separate parts or qualities
n. a coordinated sequence of chess moves
n. a sequence of numbers or letters that opens a combination lock
n. a group of people (often temporary) having a common purpose"
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
blend,"n. an occurrence of thorough mixing
n. a new word formed by joining two others and combining their meanings
n. the act of blending components together thoroughly
v. combine into one"
merge,"v become one
v mix together different elements
v join or combine"
mingle,v. get involved or mixed-up with
bind,"n. something that hinders as if with bonds
v. create social or emotional ties
v. make fast; tie or secure, with or as if with a rope
v. wrap around with something so as to cover or enclose"
detach,"v. cause to become detached or separated; take off
v. separate (a small unit) from a larger, especially for a special assignment
v. come to be detached"
spill,"n. liquid that is spilled
n. the act of allowing a fluid to escape
n. a sudden drop from an upright position
v. cause or allow (a liquid substance) to run or flow from a container"
drain,"n. emptying something accomplished by allowing liquid to run out of it
n. tube inserted into a body cavity (as during surgery) to remove unwanted material
n. a pipe through which liquid is carried away
n. a gradual depletion of energy or resources"
trickle,"v. run or flow slowly, as in drops or in an unsteady stream"
drip,"n. flowing in drops; the formation and falling of drops of liquid
n. the sound of a liquid falling drop by drop
n. (architecture) a projection from a cornice or sill designed to protect the area below from rainwater (as over a window or doorway)
v. fall in drops"
sprinkle,"n. the act of sprinkling or splashing water
v. cause (a liquid) to spatter about, especially with force
v. rain gently
v. scatter with liquid; wet lightly"
splash,"n. the sound like water splashing
n. a patch of bright color
n. the act of scattering water about haphazardly
v. mark or overlay with patches of contrasting color or texture; cause to appear splashed or spattered"
spray,"n. a pesticide in suspension or solution; intended for spraying
n. a quantity of small objects flying through the air
n. flower arrangement consisting of a single branch or shoot bearing flowers and foliage
n. water in small drops in the atmosphere; blown from waves or thrown up by a waterfall"
ripple,"n. a small wave on the surface of a liquid
n. (electronics) an oscillation of small amplitude imposed on top of a steady value
v. stir up (water) so as to form ripples
v. flow in an irregular current with a bubbling noise"
imitate,"v. reproduce someone's behavior or looks
v. appear like, as in behavior or appearance
v. make a reproduction or copy of"
duplicate,"n. a copy that corresponds to an original exactly
v. make or do or perform again
v. make a duplicate or duplicates of
s. identically copied from an original"
luxury,"n. something that is an indulgence rather than a necessity
n. wealth as evidenced by sumptuous living"
extravagant,s. recklessly wasteful
economical,s. avoiding waste
thrifty,a. careful and diligent in the use of resources
frugal,s avoiding waste
prompt,"n. a cue given to a performer (usually the beginning of the next line to be spoken)
n. (computer science) a symbol that appears on the computer screen to indicate that the computer is ready to receive a command
v. serve as the inciting cause of
v. assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned"
elevate,"v give a promotion to or assign to a higher position
v raise from a lower to a higher position
v raise in rank or condition"
impulse,n. the act of applying force suddenly
spur,"n. any sharply pointed projection
n. tubular extension at the base of the corolla in some flowers
n. a sharp prod fixed to a rider's heel and used to urge a horse onward
v. incite or stimulate"
stimulate,"v. act as a stimulant
v. stir the feelings, emotions, or peace of
v. cause to be alert and energetic
v. stir feelings in"
motivate,v. give an incentive for action
incentive,n. a positive motivational influence
migrate,"v. move from one country or region to another and settle there
v. move periodically or seasonally"
emigrate,v. leave one's country of residence for a new one
immigrate,"v. migrate to a new environment
v. introduce or send as immigrants
v. come into a new country and change residency"
launch,"n. a motorboat with an open deck or a half deck
v. propel with force
v. launch for the first time; launch on a maiden voyage
v. get going; give impetus to"
emit,"v. expel (gases or odors)
v. give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc."
radiate,"v. send out rays or waves
v. send out real or metaphoric rays
v. extend or spread outward from a center or focus or inward towards a center
v. cause to be seen by emitting light as if in rays"
radioactive,a. exhibiting or caused by radioactivity
transmit,v. send from one person or place to another
convention,"n. a large formal assembly
n. something regarded as a normative example
n. (diplomacy) an international agreement
n. the act of convening"
congress,"n. the legislature of the United States government
n. a meeting of elected or appointed representatives
n. a national legislative assembly"
session,"n. a meeting for execution of a group's functions
n. a meeting devoted to a particular activity"
restless,"s. worried and uneasy
s. ceaselessly in motion
a. lacking or not affording physical or mental rest"
monotonous,"s tediously repetitious or lacking in variety; all work and no play""
s sounded or spoken in a tone unvarying in pitch"
irrigate,"v. supply with a constant flow or sprinkling of some liquid, for the purpose of cooling, cleansing, or disinfecting"
symmetry,"n. (mathematics) an attribute of a shape or relation; exact reflection of form on opposite sides of a dividing line or plane
n. balance among the parts of something"
supervise,"v watch and direct
v keep tabs on; keep an eye on; keep under surveillance"
gratitude,n. a feeling of thankfulness and appreciation
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
moreover,"r in addition; furthermore, their quality is improving""; moreover, mice nested there"""
humanity,n. the quality of being humane
symptom,"n. (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
n. anything that accompanies X and is regarded as an indication of X's existence"
conjunction,"n. an uninflected function word that serves to conjoin words or phrases or clauses or sentences
n. the grammatical relation between linguistic units (words or phrases or clauses) that are connected by a conjunction
n. (astronomy) apparent meeting or passing of two or more celestial bodies in the same degree of the zodiac"
undermine,"v destroy property or hinder normal operations
v hollow out as if making a cave or opening"
undo,"v. cancel, annul, or reverse an action or its effect
v. cause the ruin or downfall of"
endeavour,"n a purposeful or industrious undertaking (especially one that requires effort or boldness)
n earnest and conscientious activity intended to do or accomplish something
v attempt by employing effort"
endeavor,v. attempt by employing effort
strive,v. to exert much effort or energy
verge,"n. the limit beyond which something happens or changes
n. a grass border along a road
v. border on; come close to"
ridge,"n. a long narrow natural elevation or striation
n. any long raised strip
n. a long narrow natural elevation on the floor of the ocean
n. a long narrow range of hills"
brim,"n. the top edge of a vessel or other container
n. a circular projection that sticks outward from the crown of a hat
v. be completely full
v. fill as much as possible"
rim,"n. the shape of a raised edge of a more or less circular object
n. (basketball) the hoop from which the net is suspended
n. the outer part of a wheel to which the tire is attached
v. run around the rim of"
brink,"n. a region marking a boundary
n. the edge of a steep place"
margin,"n. the boundary line or the area immediately inside the boundary
n. an amount beyond the minimum necessary
n. the amount of collateral a customer deposits with a broker when borrowing from the broker to buy securities
n. the blank space that surrounds the text on a page"
fringe,"n. one of the light or dark bands produced by the interference and diffraction of light
n. a social group holding marginal or extreme views
n. an ornamental border consisting of short lengths of hanging threads or tassels
v. adorn with a fringe"
feat,n. a notable achievement
attain,"v to gain with effort
v reach a point in time, or a certain state or level
v find unexpectedly
v reach a destination, either real or abstract"
fulfill,"v put in effect
v meet the requirements or expectations of
v fill or meet a want or need"
fulfil,"v put in effect
v fill or meet a want or need
v meet the requirements or expectations of"
accomplish,"v put in effect
v to gain with effort"
satisfactory,"a. giving satisfaction
s. meeting requirements"
contented,a. satisfied or showing satisfaction with things as they are
dissatisfy,v. fail to satisfy
attendance,"n. the act of being present (at a meeting or event etc.)
n. the frequency with which a person is present
n. the number of people that are present"
attendant,"n. someone who waits on or tends to or attends to the needs of another
n. a person who is present and participates in a meeting
s. being present (at meeting or event etc.) ""attendant members of the congreation""
s. following or accompanying as a consequence"
intricate,s. having many complexly arranged elements; elaborate
complicate,"v. make more complicated
v. make more complex, intricate, or richer"
complicated,s. difficult to analyze or understand
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
perplex,v. be a mystery or bewildering to
sophisticated,"a. having or appealing to those having worldly knowledge and refinement and savoir-faire
s. intellectually appealing"
occupy,"v. live (in a certain place)
v. occupy the whole of"
occupation,"n. the principal activity in your life that you do to earn money
n. the control of a country by military forces of a foreign power
n. any activity that occupies a person's attention
n. the act of occupying or taking possession of a building"
engage,"v. ask to represent; of legal counsel
v. get caught
v. carry on (wars, battles, or campaigns)
v. hire for work or assistance"
preoccupy,"v. engage or engross the interest or attention of beforehand or occupy urgently or obsessively
v. occupy or take possession of beforehand or before another or appropriate for use in advance"
preoccupation,"n. an idea that preoccupies the mind and holds the attention
n. the mental state of being preoccupied by something"
enlighten,"v. make understand
v. give spiritual insight to; in religion"
illuminate,v. add embellishments and paintings to (medieval manuscripts)
mislead,v. lead someone in the wrong direction or give someone wrong directions
delusion,"n. (psychology) an erroneous belief that is held in the face of evidence to the contrary
n. a mistaken or unfounded opinion or idea
n. the act of deluding; deception by creating illusory ideas"
vision,"n. a vivid mental image
n. the perceptual experience of seeing
n. a religious or mystical experience of a supernatural appearance"
illusion,"n. an erroneous mental representation
n. something many people believe that is false"
stress,"n. the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
n. special emphasis attached to something
n. difficulty that causes worry or emotional tension
n. (physics) force that produces strain on a physical body"
emphasis,"n. special importance or significance
n. special and significant stress by means of position or repetition e.g."
