progress,"n. the act of moving forward (as toward a goal)
n. a movement forward
v. develop in a positive way"
sustain,"v. supply with necessities and support
v. admit as valid"
stain,"n. a soiled or discolored appearance
n. (microscopy) a dye or other coloring material that is used in microscopy to make structures visible
v. color with a liquid dye or tint
v. produce or leave stains"
spot,"n. a short section or illustration (as between radio or tv programs or in a magazine) that is often used for advertising
n. a small contrasting part of something
n. a section of an entertainment that is assigned to a specific performer or performance
n. a business establishment for entertainment"
obtain,v. come into possession of
gain,"n. the amount by which the revenue of a business exceeds its cost of operating
v. obtain advantages, such as points, etc.
v. increase or develop
v. earn on some commercial or business transaction; earn as salary or wages"
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
acquaintance,"n. personal knowledge or information about someone or something
n. a relationship less intimate than friendship
n. a person with whom you are acquainted"
inquire,"v inquire about
v have a wish or desire to know something
v conduct an inquiry or investigation of"
require,"v require as useful, just, or proper
v consider obligatory; request and expect
v make someone do something
v have need of"
request,"n. a formal message requesting something that is submitted to an authority
n. the verbal act of requesting
v. express the need or desire for; ask for
v. ask (a person) to do something"
academy,"n. a secondary school (usually private)
n. an institution for the advancement of art or science or literature
n. a school for special training
n. a learned establishment for the advancement of knowledge"
accent,"n. distinctive manner of oral expression
n. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation"
accept,"v. consider or hold as true
v. receive willingly something given or offered
v. give an affirmative reply to; respond favorably to
v. react favorably to; consider right and proper"
accommodate,"v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)"
accomplish,"v put in effect
v to gain with effort"
accuse,v. bring an accusation against; level a charge against
achieve,v. to gain with effort
acid,"n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
n. street name for lysergic acid diethylamide
s. having the characteristics of an acid"
acre,"n. a unit of area (4840 square yards) used in English-speaking countries
n. a territory of western Brazil bordering on Bolivia and Peru
n. a town and port in northwestern Israel in the eastern Mediterranean"
act,"n. a legal document codifying the result of deliberations of a committee or society or legislative body
n. something that people do or cause to happen
n. a subdivision of a play or opera or ballet
n. a short theatrical performance that is part of a longer program"
active,"n. a person who is a participating member of an organization
a. tending to become more severe or wider in scope
s. engaged in or ready for military or naval operations
a. disposed to take action or effectuate change"
actual,"a. presently existing in fact and not merely potential or possible
s. taking place in reality; not pretended or imitated
s. being or reflecting the essential or genuine character of something
s. existing in act or fact"
acute,"a. having or experiencing a rapid onset and short but severe course
s. extremely sharp or intense
s. having or demonstrating ability to recognize or draw fine distinctions
a. of an angle; less than 90 degrees"
consume,"v. serve oneself to, or consume regularly
v. spend extravagantly
v. destroy completely
v. use up (resources or materials)"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
receipt,"n. an acknowledgment (usually tangible) that payment has been made
v. mark or stamp as paid"
deceive,"v. be false to; be dishonest with
v. cause someone to believe an untruth"
perceive,"v. to become aware of through the senses
v. become conscious of"
concept,n. an abstract or general idea inferred or derived from specific instances
pose,"n. a posture assumed by models for photographic or artistic purposes
v. pretend to be someone you are not; sometimes with fraudulent intentions
v. behave affectedly or unnaturally in order to impress others"
position,"n. the particular portion of space occupied by something
n. a way of regarding situations or topics etc.
n. the arrangement of the body and its limbs
n. a job in an organization"
preposition,"n. a function word that combines with a noun or pronoun or noun phrase to form a prepositional phrase that can have an adverbial or adjectival relation to some other word
n. (linguistics) the placing of one linguistic element before another (as placing a modifier before the word it modifies in a sentence or placing an affix before the base to which it is attached)"
positive,"n. the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution
n. a film showing a photographic image whose tones correspond to those of the original subject
a. characterized by or displaying affirmation or acceptance or certainty etc.
a. indicating existence or presence of a suspected condition or pathogen"
negative,"n. a reply of denial
n. a piece of photographic film showing an image with light and shade or colors reversed
a. characterized by or displaying negation or denial or opposition or resistance; having no positive features
a. expressing or consisting of a negation or refusal or denial"
compose,"v. form the substance of
v. write music
v. put together out of existing material
v. calm (someone, especially oneself); make quiet"
compound,"n. a whole formed by a union of two or more elements or parts
n. (chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight
n. an enclosure of residences and other building (especially in the Orient)
v. put or add together"
oppose,"v. be against; express opposition to
v. contrast with equal weight or force
v. be resistant to"
opponent,s. characterized by active hostility
expose,"n. the exposure of an impostor or a fraud
v. expose or make accessible to some action or influence
v. to show, make visible or apparent
v. expose to light, of photographic film"
suppose,v. express a supposition
purpose,"n. an anticipated outcome that is intended or that guides your planned actions
v. reach a decision"
propose,"v. make a proposal, declare a plan for something
v. ask (someone) to marry you"
dispose,"v. give, sell, or transfer to another
v. make receptive or willing towards an action or attitude or belief
v. place or put in a particular order"
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
impose,"v compel to behave in a certain way
v impose something unpleasant
v impose and collect"
post,"n. the position where someone (as a guard or sentry) stands or is assigned to stand
n. an upright consisting of a piece of timber or metal fixed firmly in an upright position
n. United States aviator who in 1933 made the first solo flight around the world (1899-1935)
n. United States female author who wrote a book and a syndicated newspaper column on etiquette (1872-1960)"
postage,"n. the charge for mailing something
n. a small adhesive token stuck on a letter or package to indicate that that postal fees have been paid"
postpone,v. hold back to a later time
preferable,s. more desirable than another
differ,v. be different
refer,"v. be relevant to
v. think of, regard, or classify under a subsuming principle or with a general group or in relation to another
v. send or direct for treatment, information, or a decision
v. use a name to designate"
suffer,"v. undergo or be subjected to
v. undergo (as of injuries and illnesses)
v. experience (emotional) pain
v. get worse"
offer,"n. the verbal act of offering
n. something offered (as a proposal or bid)
v. make available or accessible, provide or furnish
v. present for acceptance or rejection"
infer,"v reason by deduction; establish by deduction
v draw from specific cases for more general cases
v conclude by reasoning; in logic
v guess correctly; solve by guessing
v believe to be the case"
inferior,"n. one of lesser rank or station or quality
a. of or characteristic of low rank or importance
a. of low or inferior quality
a. having an orbit between the sun and the Earth's orbit"
fertile,a. capable of reproducing
transfer,"n. someone who transfers or is transferred from one position to another
n. the act of transfering something from one form to another
n. a ticket that allows a passenger to change conveyances
n. application of a skill learned in one situation to a different but similar situation"
description,"n. a statement that represents something in words
n. the act of describing something
n. sort or variety"
prescribe,v issue commands or orders for
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
contract,"n. a binding agreement between two or more persons that is enforceable by law
n. (contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make
n. a variety of bridge in which the bidder receives points toward game only for the number of tricks he bid
v. enter into a contractual arrangement"
tractor,"n. a wheeled vehicle with large wheels; used in farming and other applications
n. a truck that has a cab but no body; used for pulling large trailers or vans"
subtract,"v. make a subtraction
v. take off or away"
bat,"n. nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
n. (baseball) a turn trying to get a hit
n. a club used for hitting a ball in various games
v. strike with, or as if with a baseball bat"
debate,"n. the formal presentation of a stated proposition and the opposition to it (usually followed by a vote)
v. argue with one another
v. discuss the pros and cons of an issue"
battery,"n. group of guns or missile launchers operated together at one place
n. a device that produces electricity; may have several primary or secondary cells arranged in parallel or series
n. a collection of related things intended for use together
n. a unit composed of the pitcher and catcher"
patch,"n. a piece of cloth used as decoration or to mend or cover a hole
n. a short set of commands to correct a bug in a computer program
v. to join or unite the pieces of
v. provide with a patch; also used metaphorically"
bath,"n. a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it)
n. you soak and wash your body in a bathtub
n. an ancient Hebrew liquid measure equal to about 10 gallons
n. a town in southwestern England on the River Avon; famous for its hot springs and Roman remains"
pat,"n. the sound made by a gentle blow
s. exactly suited to the occasion
r. completely or perfectly"
pad,"n. a number of sheets of paper fastened together along one edge
n. the large floating leaf of an aquatic plant (as the water lily)
n. a block of absorbent material saturated with ink; used to transfer ink evenly to a rubber stamp
n. a flat mass of soft material used for protection, stuffing, or comfort"
patience,n. good-natured tolerance of delay or incompetence
path,"n. a way especially designed for a particular use
n. an established line of travel or access
n. a line or route along which something travels or moves"
patriot,n. one who loves and defends his or her country
pattern,"n. a model considered worthy of imitation
v. form a pattern"
press,"n. the print media responsible for gathering and publishing news in the form of newspapers or magazines
n. a machine used for printing
n. clamp to prevent wooden rackets from warping when not in use
n. any machine that exerts pressure to form or shape or cut materials or extract liquids or compress solids"
compress,"n. a cloth pad or dressing (with or without medication) applied firmly to some part of the body (to relieve discomfort or reduce fever)
v. make more compact by or as if by pressing
v. squeeze or press together"
depress,"v. lower someone's spirits; make downhearted
v. lower (prices or markets)
v. lessen the activity or force of"
impress,"n. the act of coercing someone into government service
v. impress positively
v. produce or try to produce a vivid impression of
v. mark or stamp with or as if with pressure"
express,"n. mail that is distributed by a rapid and efficient system
n. public transport consisting of a fast train or bus that makes only a few scheduled stops
n. rapid transport of goods
v. give expression to"
convey,"v. make known; pass on, of information
v. transfer to another
v. transmit a title or property"
voyage,"n. a journey to some distant place
v. travel on water propelled by wind or by other means"
oppress,v. come down on or keep down by unjust use of one's authority
compel,"v. force somebody to do something
v. necessitate or exact"
spell,"n. a verbal formula believed to have magical force
v. orally recite the letters of or give the spelling of
v. indicate or signify
v. write or name the letters that comprise the conventionally accepted form of (a word or part of a word)"
disgust,"n. strong feelings of dislike
v. fill with distaste
v. cause aversion in; offend the moral sense of"
brook,n. a natural stream of water smaller than a river (and often a tributary of a river)
lake,"n. a body of (usually fresh) water surrounded by land
n. a purplish red pigment prepared from lac or cochineal
n. any of numerous bright translucent organic pigments"
stream,"n. a natural body of running water flowing on or under the earth
n. dominant course (suggestive of running water) of successive events or ideas
n. something that resembles a flowing stream in moving continuously
v. to extend, wave or float outward, as if in the wind"
steam,"n. water at boiling temperature diffused in the atmosphere
v. emit steam
v. rise as vapor
v. get very angry"
broom,"n. a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle
n. any of various shrubs of the genera Cytisus or Genista or Spartium having long slender branches and racemes of yellow flowers
v. finish with a broom"
bruise,"n. an injury that doesn't break the skin but results in some discoloration
v. injure the underlying soft tissue or bone of
v. break up into small pieces for food preparation
v. damage (plant tissue) by abrasion or pressure"
bush,"n. a large wilderness area
n. 43rd President of the United States; son of George Herbert Walker Bush (born in 1946)
n. United States electrical engineer who designed an early analogue computer and who led the scientific program of the United States during World War II (1890-1974)
n. vice president under Reagan and 41st President of the United States (born in 1924)"
brush,"n. a dense growth of bushes
n. an implement that has hairs or bristles firmly set into a handle
n. momentary contact
n. conducts current between rotating and stationary parts of a generator or motor"
mushroom,"n. common name for an edible agaric (contrasting with the inedible toadstool)
n. mushrooms and related fleshy fungi (including toadstools, puffballs, morels, coral fungi, etc.)
n. any of various fleshy fungi of the subdivision Basidiomycota consisting of a cap at the end of a stem arising from an underground mycelium
n. a large cloud of rubble and dust shaped like a mushroom and rising into the sky after an explosion (especially of a nuclear bomb)"
living-room,n a room in a private house or establishment where people can sit and talk and relax
kitchen,n. a room equipped for preparing meals
bacon,"n. back and sides of a hog salted and dried or smoked; usually sliced thin and fried
n. English scientist and Franciscan monk who stressed the importance of experimentation; first showed that air is required for combustion and first used lenses to correct vision (1220-1292)
n. English statesman and philosopher; precursor of British empiricism; advocated inductive reasoning (1561-1626)"
barber,"n. United States composer (1910-1981)
n. a hairdresser who cuts hair and shaves beards as a trade
v. perform the services of a barber: cut the hair and/or beard of"
feast,"n. something experienced with great delight
v. partake in a feast or banquet
v. provide a feast or banquet for"
festival,"n. a day or period of time set aside for feasting and celebration
n. an organized series of acts and performances (usually in one place)"
feasible,s. capable of being done with means at hand and circumstances as they are
ball,"n. round object that is hit or thrown or kicked in games
n. an object with a spherical shape
n. the people assembled at a lavish formal dance
n. a spherical object used as a plaything"
base,"n. installation from which a military force initiates operations
n. a place that the runner must touch before scoring
n. the bottom or lowest part
n. (anatomy) the part of an organ nearest its point of attachment"
balloon,"n. large tough nonrigid bag filled with gas or heated air
n. small thin inflatable rubber bag with narrow neck
v. ride in a hot-air balloon
v. become inflated"
vote,"n. a choice that is made by counting the number of people in favor of each alternative
n. the opinion of a group as determined by voting
n. a body of voters who have the same interests
n. the total number of voters who participated"
pollution,n. undesirable state of the natural environment being contaminated with harmful substances as a consequence of human activities
contact,"n. close interaction
n. the act of touching physically
n. the state or condition of touching or of being in immediate proximity
n. the physical coming together of two or more things"
butter,"n. an edible emulsion of fat globules made by churning milk or cream; for cooking and table use
n. a fighter who strikes the opponent with his head
v. spread butter on"
butterfly,"n. diurnal insect typically having a slender body with knobbed antennae and broad colorful wings
n. a swimming stroke in which the arms are thrown forward together out of the water while the feet kick up and down
v. flutter like a butterfly
v. cut and spread open, as in preparation for cooking"
fly,"n. two-winged insects characterized by active flight
n. an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth
n. (baseball) a hit that flies up in the air
n. fisherman's lure consisting of a fishhook decorated to look like an insect"
fleet,"n. group of aircraft operating together under the same ownership
n. group of motor vehicles operating together under the same ownership
n. a group of steamships operating together under the same ownership
n. a group of warships organized as a tactical unit"
flesh,"n. the soft tissue of the body of a vertebrate: mainly muscle tissue and fat
v. remove adhering flesh from (hides) when preparing leather manufacture"
ash,"n. the residue that remains when something is burned
n. any of various deciduous pinnate-leaved ornamental or timber trees of the genus Fraxinus
n. strong elastic wood of any of various ash trees; used for furniture and tool handles and sporting goods such as baseball bats
v. convert into ashes"
dust,"n. fine powdery material such as dry earth or pollen that can be blown about in the air
n. free microscopic particles of solid material
v. remove the dust from
v. rub the dust over a surface so as to blur the outlines of a shape"
flash,"n. a sudden intense burst of radiant energy
n. a momentary brightness
n. a short vivid experience
n. a sudden brilliant understanding"
bull,"n. uncastrated adult male of domestic cattle
n. a large and strong and heavyset man
n. a serious and ludicrous blunder
n. uncomplimentary terms for a policeman"
bee,"n. any of numerous hairy-bodied insects including social and solitary species
n. a social gathering to carry out some communal task or to hold competitions"
beast,n. a cruelly rapacious person
monster,"n. an imaginary creature usually having various human and animal parts
n. a cruel wicked and inhuman person
n. (medicine) a grossly malformed and usually nonviable fetus"
bear,"n. massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
n. an investor with a pessimistic market outlook; an investor who expects prices to fall and so sells now in order to buy later at a lower price
v. have
v. move while holding up or supporting"
beer,n. a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
alcohol,"n. a liquor or brew containing alcohol as the active agent
n. any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation"
wine,"n. fermented juice (of grapes especially)
n. a red as dark as red wine
v. drink wine
v. treat to wine"
hammer,"n. the part of a gunlock that strikes the percussion cap when the trigger is pulled
n. a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking
n. a heavy metal sphere attached to a flexible wire; used in the hammer throw
n. a striker that is covered in felt and that causes the piano strings to vibrate"
hamburger,"n. a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients"
chamber,"n. a natural or artificial enclosed space
n. an enclosed volume in the body
n. a room where a judge transacts business
n. a deliberative or legislative or administrative or judicial assembly"
shampoo,"n. cleansing agent consisting of soaps or detergents used for washing the hair
n. the act of washing your hair with shampoo
v. use shampoo on (hair)"
shame,"n. a painful emotion resulting from an awareness of inadequacy or guilt
n. a state of dishonor
v. compel through a sense of shame
v. cause to be ashamed"
hen,"n. adult female chicken
n. adult female bird
n. flesh of an older chicken suitable for stewing
n. female of certain aquatic animals e.g. octopus or lobster"
hence,"r. from this place
r. from this time"
phenomenon,"n. any state or process known through the senses rather than by intuition or reasoning
n. a remarkable development"
wage,n. something that remunerates
salary,n something that remunerates
pension,"n. a regular payment to a person that is intended to allow them to subsist without working
v. grant a pension to"
wagon,"n. any of various kinds of wheeled vehicles drawn by an animal or a tractor
n. a child's four-wheeled toy cart sometimes used for coasting"
dragon,"n. a creature of Teutonic mythology; usually represented as breathing fire and having a reptilian body and sometimes wings
n. a fiercely vigilant and unpleasant woman
n. any of several small tropical Asian lizards capable of gliding by spreading winglike membranes on each side of the body"
jar,"n. a vessel (usually cylindrical) with a wide mouth and without handles
n. the quantity contained in a jar
v. shock physically
v. affect in a disagreeable way"
pot,"n. metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid
n. the quantity contained in a pot
n. a container in which plants are cultivated
n. the cumulative amount involved in a game (such as poker)"
mug,"n. the quantity that can be held in a mug
n. with handle and usually cylindrical
v. rob at gunpoint or with the threat of violence"
pan,"n. cooking utensil consisting of a wide metal vessel
n. (Greek mythology) god of fields and woods and shepherds and flocks; represented as a man with goat's legs and horns and ears; identified with Roman Sylvanus or Faunus
n. shallow container made of metal
n. chimpanzees; more closely related to Australopithecus than to other pongids"
plate,"n. a sheet of metal or wood or glass or plastic
n. a full-page illustration (usually on slick paper)
n. dish on which food is served or from which food is eaten
n. the quantity contained in a plate"
spoon,"n. a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food
n. as much as a spoon will hold
n. formerly a golfing wood with an elevated face
v. scoop up or take up with a spoon"
fork,"n. cutlery used for serving and eating food
n. the region of the angle formed by the junction of two branches
n. an agricultural tool used for lifting or digging; has a handle and metal prongs
v. place under attack with one's own pieces, of two enemy pieces"
bowl,"n. a round vessel that is open at the top; used chiefly for holding food or liquids; 
n. a concave shape with an open top
n. a dish that is round and open at the top for serving foods
n. the quantity contained in a bowl"
owl,n. nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes
jaw,"n. the part of the skull of a vertebrate that frames the mouth and holds the teeth
n. the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth
n. holding device consisting of one or both of the opposing parts of a tool that close to hold an object"
jam,"n. preserve of crushed fruit
v. push down forcibly
v. crush or bruise
v. interfere with or prevent the reception of signals"
typhoon,n. a tropical cyclone occurring in the western Pacific or Indian oceans
ant,n. social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
dorm,n a college or university building containing living quarters for students
butcher,"n. a retailer of meat
n. a brutal indiscriminate murderer
n. a person who slaughters or dresses meat for market
v. kill (animals) usually for food consumption"
murder,"n. unlawful premeditated killing of a human being by a human being
v. kill intentionally and with premeditation"
animal,"n. a living organism characterized by voluntary movement
s. marked by the appetites and passions of the body"
camel,n. cud-chewing mammal used as a draft or saddle animal in desert regions
claw,"n. sharp curved horny process on the toe of a bird or some mammals or reptiles
n. a grasping structure on the limb of a crustacean or other arthropods
n. a bird's foot
v. move as if by clawing, seizing, or digging"
paw,"n. a clawed foot of an animal especially a quadruped
v. scrape with the paws
v. touch clumsily"
palm,"n. the inner surface of the hand from the wrist to the base of the fingers
n. a linear unit based on the length or width of the human hand
n. any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves"
crow,"n. black birds having a raucous call
n. the cry of a cock (or an imitation of it)
n. a member of the Siouan people formerly living in eastern Montana
n. a Siouan language spoken by the Crow"
cow,"n. female of domestic cattle: ""`moo-cow' is a child's term""
n. mature female of mammals of which the male is called `bull'
n. a large unpleasant woman"
coward,"n. a person who shows fear or timidity
n. English dramatist and actor and composer noted for his witty and sophisticated comedies (1899-1973)"
crane,"n. United States writer (1871-1900)
n. United States poet (1899-1932)
n. lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis
n. large long-necked wading bird of marshes and plains in many parts of the world"
deer,n. distinguished from Bovidae by the male's having solid deciduous antlers
pigeon,n. wild and domesticated birds having a heavy body and short legs
eagle,"n. any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight
n. (golf) a score of two strokes under par on a hole
n. a former gold coin in the United States worth 10 dollars
n. an emblem representing power"
hawk,"n. diurnal bird of prey typically having short rounded wings and a long tail
n. an advocate of an aggressive policy on foreign relations
v. hunt with hawks"
frog,"n. any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
n. a person of French descent
n. a decorative loop of braid or cord
v. hunt frogs for food"
mosquito,n. two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals
swan,"n. stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult
v. sweep majestically"
swallow,"n. a small amount of liquid food
n. the act of swallowing
n. small long-winged songbird noted for swift graceful flight and the regularity of its migrations
v. pass through the esophagus as part of eating or drinking"
swift,"n. United States meat-packer who began the use of refrigerated railroad cars (1839-1903)
n. an English satirist born in Ireland (1667-1745)
n. a small bird that resembles a swallow and is noted for its rapid flight"
squirrel,"n. a kind of arboreal rodent having a long bushy tail
n. the fur of a squirrel"
donkey,n. the symbol of the Democratic Party; introduced in cartoons by Thomas Nast in 1874
turkey,"n. large gallinaceous bird with fan-shaped tail; widely domesticated for food
n. a Eurasian republic in Asia Minor and the Balkans; on the collapse of the Ottoman Empire in 1918, the Young Turks, led by Kemal Ataturk, established a republic in 1923
n. flesh of large domesticated fowl usually roasted
n. an event that fails badly or is totally ineffectual"
bean,"n. any of various edible seeds of plants of the family Leguminosae used for food
n. any of various seeds or fruits that are beans or resemble beans
n. any of various leguminous plants grown for their edible seeds and pods
v. hit on the head, especially with a pitched baseball"
biscuit,n. small round bread leavened with baking-powder or soda
cabbage,"n. any of various types of cabbage
n. any of various cultivars of the genus Brassica oleracea grown for their edible leaves or flowers"
cherry,"n. wood of any of various cherry trees especially the black cherry
n. any of numerous trees and shrubs producing a small fleshy round fruit with a single hard stone; many also produce a valuable hardwood
n. a red fruit with a single hard stone"
chop,"n. the irregular motion of waves (usually caused by wind blowing in a direction opposite to the tide)
n. a small cut of meat including part of a rib
n. a jaw
n. a tennis return made with a downward motion that puts backspin on the ball"
drug,"n. a substance that is used as a medicine or narcotic
v. administer a drug to
v. use recreational drugs"
heroine,"n. the main good female character in a work of fiction
n. a woman possessing heroic qualities or a woman who has performed heroic deeds"
marine,"n. a member of the United States Marine Corps
n. a soldier who serves both on shipboard and on land
a. of or relating to the sea
a. of or relating to military personnel who serve both on land and at sea (specifically the U.S. Marine Corps)"
submarine,"n. a submersible warship usually armed with torpedoes
v. move forward or under in a sliding motion
v. throw with an underhand motion
v. bring down with a blow to the legs"
ocean,"n. a large body of water constituting a principal part of the hydrosphere
n. anything apparently limitless in quantity or volume"
famine,n. a severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death
male,"n. an animal that produces gametes (spermatozoa) that can fertilize female gametes (ova)
n. a person who belongs to the sex that cannot have babies
n. the capital of Maldives in the center of the islands
a. being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation"
female,"n. an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa)
n. a person who belongs to the sex that can have babies
a. being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop
s. characteristic of or peculiar to a woman"
muscle,"n. one of the contractile organs of the body
n. animal tissue consisting predominantly of contractile cells
n. authority or power or force (especially when used in a coercive way)
v. make one's way by force"
cook,"n. someone who cooks food
n. English navigator who claimed the east coast of Australia for Britain and discovered several Pacific islands (1728-1779)
v. prepare a hot meal
v. prepare for eating by applying heat"
doctor,"n. a licensed medical practitioner
n. children take the roles of physician or patient or nurse and pretend they are at the physician's office
n. a person who holds Ph.D. degree (or the equivalent) from an academic institution
v. give medical treatment to"
crop,"n. the yield from plants in a single growing season
n. a cultivated plant that is grown commercially on a large scale
n. a collection of people or things appearing together
n. the output of something in a season"
grain,"n. a relatively small granular particle of a substance
n. foodstuff prepared from the starchy grains of cereal grasses
n. the side of leather from which the hair has been removed
n. a weight unit used for pearls or diamonds: 50 mg or 1/4 carat"
cucumber,"n. a melon vine of the genus Cucumis; cultivated from earliest times for its cylindrical green fruit
n. cylindrical green fruit with thin green rind and white flesh eaten as a vegetable; related to melons"
cupboard,n. a small room (or recess) or cabinet used for storage space
keyboard,"n. device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like
n. holder consisting of an arrangement of hooks on which keys or locks can be hung"
abroad,"s. in a foreign country
r. to or in a foreign country"
broaden,"v. make broader
v. become broader"
broadcast,"n. message that is transmitted by radio or television
n. a radio or television show
v. sow over a wide area, especially by hand"
bosom,"n. the chest considered as the place where secret thoughts are kept
n. a person's breast or chest
n. cloth that covers the chest or breasts
v. hide in one's bosom"
chest,n. box with a lid; used for storage; usually large and sturdy
breast,"n. the front of the trunk from the neck to the abdomen
n. either of two soft fleshy milk-secreting glandular organs on the chest of a woman
n. meat carved from the breast of a fowl
n. the part of an animal's body that corresponds to a person's chest"
pepper,"n. climber having dark red berries (peppercorns) when fully ripe; southern India and Sri Lanka; naturalized in northern Burma and Assam
n. pungent seasoning from the berry of the common pepper plant of East India; use whole or ground
n. sweet and hot varieties of fruits of plants of the genus Capsicum
v. add pepper to"
diet,"n. a prescribed selection of foods
n. a legislative assembly in certain countries (e.g., Japan)
n. the usual food and drink consumed by an organism (person or animal)
n. the act of restricting your food intake (or your intake of particular foods)"
onion,"n. the bulb of an onion plant
n. bulbous plant having hollow leaves cultivated worldwide for its rounded edible bulb
n. an aromatic flavorful vegetable"
melon,"n. any of numerous fruits of the gourd family having a hard rind and sweet juicy flesh
n. any of various fruit of cucurbitaceous vines including: muskmelons; watermelons; cantaloupes; cucumbers"
gum,"n. any of various substances (soluble in water) that exude from certain plants; they are gelatinous when moist but harden on drying
v. cover, fill, fix or smear with or as if with gum
v. become sticky
v. exude or form gum"
sausage,n. highly seasoned minced meat stuffed in casings
sauce,"n. flavorful relish or dressing or topping served as an accompaniment to food
v. behave saucily or impudently towards
v. dress (food) with a relish
v. add zest or flavor to, make more interesting"
saucer,n. a small shallow dish for holding a cup at the table
tray,n. an open receptacle for holding or displaying or serving articles or food
liquor,"n. an alcoholic beverage that is distilled rather than fermented
n. a liquid substance that is a solution (or emulsion or suspension) used or obtained in an industrial process
n. the liquid in which vegetables or meat have be cooked"
pea,"n. seed of a pea plant used for food
n. the fruit or seed of a pea plant
n. a leguminous plant of the genus Pisum with small white flowers and long green pods containing edible green seeds"
nut,"n. usually large hard-shelled seed
n. Egyptian goddess of the sky
n. a small (usually square or hexagonal) metal block with internal screw thread to be fitted onto a bolt
v. gather nuts"
protein,n. any of a large group of nitrogenous organic compounds that are essential constituents of living cells; consist of polymers of amino acids; essential in the diet of animals for growth and for repair of tissues; can be obtained from meat and eggs and milk and legumes
straw,"n. plant fiber used e.g. for making baskets and hats or as fodder
n. a thin paper or plastic tube used to suck liquids into the mouth
v. cover or provide with or as if with straw
s. of a pale yellow color like straw; straw-colored"
strawberry,"n. sweet fleshy red fruit
n. any of various low perennial herbs with many runners and bearing white flowers followed by edible fruits having many small achenes scattered on the surface of an enlarged red pulpy berry
n. a soft red birthmark"
toast,"n. slices of bread that have been toasted
n. a celebrity who receives much acclaim and attention
v. propose a toast to"
tobacco,"n. leaves of the tobacco plant dried and prepared for smoking or ingestion
n. aromatic annual or perennial herbs and shrubs"
vegetable,"n. edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
n. any of various herbaceous plants cultivated for an edible part such as the fruit or the root of the beet or the leaf of spinach or the seeds of bean plants or the flower buds of broccoli or cauliflower"
vinegar,"n. sour-tasting liquid produced usually by oxidation of the alcohol in wine or cider and used as a condiment or food preservative
n. dilute acetic acid"
weed,"n. any plant that crowds out cultivated plants
n. a black band worn by a man (on the arm or hat) as a sign of mourning
v. clear of weeds"
wheat,"n. annual or biennial grass having erect flower spikes and light brown grains
n. grains of common wheat; sometimes cooked whole or cracked as cereal; usually ground into flour"
