man-made,s. not of natural origin; prepared or made artificially
northeast,"n. the compass point midway between north and east; at 45 degrees
n. the northeastern region of the United States
n. the direction corresponding to the northeastward compass point"
sheep,"n. woolly usually horned ruminant mammal related to the goat
n. a timid defenseless simpleton who is readily preyed upon
n. a docile and vulnerable person who would rather follow than make an independent decision"
hat,"n. headdress that protects the head from bad weather; has shaped crown and usually a brim
n. an informal term for a person's role
v. put on or wear a hat
v. furnish with a hat"
keep,"n. the main tower within the walls of a medieval castle or fortress
v. keep in a certain state, position, or activity; e.g., ""keep clean""
v. retain possession of
v. look after; be the keeper of; have charge of"
keep sb. away,none
keep sth. away,none
fly,"n. two-winged insects characterized by active flight
n. an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth
n. (baseball) a hit that flies up in the air
n. fisherman's lure consisting of a fishhook decorated to look like an insect"
scissors,"n. an edge tool having two crossed pivoting blades
n. a wrestling hold in which you wrap your legs around the opponents body or head and put your feet together and squeeze
n. a gymnastic exercise performed on the pommel horse when the gymnast moves his legs as the blades of scissors move"
cut sth. off sth.,"n. That which cuts off or shortens, as a nearer passage or
   road.
n. The valve gearing or mechanism by which steam is cut off
   from entering the cylinder of a steam engine after a definite point in
   a stroke, so as to allow the remainder of the stroke to be made by the
   expansive force of the steam already let in. See Expansion gear, under
   Expansion.
n. Any device for stopping or changing a current, as of grain
   or water in a spout."
wool,"n. a fabric made from the hair of sheep
n. fiber sheared from animals (such as sheep) and twisted into yarn for weaving
n. outer coat of especially sheep and yaks"
diary,"n. a daily written record of (usually personal) experiences and observations
n. a personal journal (as a physical object)"
keep a diary,none
hate,"n. the emotion of intense dislike; a feeling of dislike so strong that it demands action
v. dislike intensely; feel antipathy or aversion towards"
ant,n. social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
brush,"n. a dense growth of bushes
n. an implement that has hairs or bristles firmly set into a handle
n. momentary contact
n. conducts current between rotating and stationary parts of a generator or motor"
brush sth. off sth.,n. a curt or disdainful rejection
at the time,none
be surprised at,none
period,"n. the interval taken to complete one cycle of a regularly repeating phenomenon
n. (ice hockey) one of three divisions into which play is divided in hockey games
n. a unit of geological time during which a system of rocks formed
n. the end or completion of something"
spirit,"n. the vital principle or animating force within living things
n. the general atmosphere of a place or situation and the effect that it has on people
n. a fundamental emotional and activating principle determining one's character
n. any incorporeal supernatural being that can become visible (or audible) to human beings"
relationship,"n. a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)
n. a state of connectedness between people (especially an emotional connection)
n. a state involving mutual dealings between people or parties or countries"
relative,"n. a person related by blood or marriage
n. an animal or plant that bears a relationship to another (as related by common descent or by membership in the same genus)
a. estimated by comparison; not absolute or complete"
ham,"n. meat cut from the thigh of a hog (usually smoked)
n. (Old Testament) son of Noah
n. a licensed amateur radio operator
n. an unskilled actor who overacts"
salad,n. food mixtures either arranged on a plate or tossed and served with a moist dressing; usually consisting of or including greens
grape,"n. any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters
n. any of numerous woody vines of genus Vitis bearing clusters of edible berries"
surf,"n. waves breaking on the shore
v. switch channels, on television"
kangaroo,n. any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail
riding,"n. the sport of siting on the back of a horse while controlling its movements
n. travel by being carried on horseback"
lazy,s. moving slowly and gently
ride,"n. a mechanical device that you ride for amusement or excitement
v. sit and travel on the back of animal, usually while controlling its motions
v. be carried or travel on or in a vehicle
v. continue undisturbed and without interference"
bet,"n. the act of gambling
v. maintain with or as if with a bet
v. stake on the outcome of an issue"
you bet,none
the thing is,none
general,"n. a general officer of the highest rank
n. the head of a religious order or congregation
n. a fact about the whole (as opposed to particular)
v. command as a general"
standard,"n. a basis for comparison; a reference point against which other things can be evaluated
n. a board measure = 1980 board feet
n. the value behind the money in a monetary system
n. an upright pole or beam (especially one used as a support)"
feeling,"n. the experiencing of affective and emotional states
n. a physical sensation that you experience
n. an intuitive understanding of something"
difficulty,"n. a factor causing trouble in achieving a positive result or tending to produce a negative result
n. a condition or state of affairs almost beyond one's ability to deal with and requiring great effort to bear or overcome
n. the quality of being difficult"
subject,"n. the subject matter of a conversation or discussion
n. something (a person or object or scene) selected by an artist or photographer for graphic representation
n. (grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated
n. a person who is subjected to experimental or other observational procedures; someone who is an object of investigation"
add,"v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of
v. state or say further
v. make an addition by combining numbers
v. constitute an addition"
recently,r. in the recent past
menu,"n. a list of dishes available at a restaurant
n. the dishes making up a meal
n. (computer science) a list of options available to a computer user
n. an agenda of things to do"
be in with a chance,none
tonight,"n. the present or immediately coming night
r. during the night of the present day"
read out,"n the output of a computer in readable form
n the information displayed or recorded on an electronic device
n an electronic device the displays information is a visual form"
winner,"n. the contestant who wins the contest
n. a gambler who wins a bet"
compared with,none
even though,none
rush,"n. a sudden forceful flow
n. grasslike plants growing in wet places and having cylindrical often hollow stems
n. physician and American Revolutionary leader; signer of the Declaration of Independence (1745-1813)
n. a sudden burst of activity"
blouse,n. a top worn by women
skirt,"n. cloth covering that forms the part of a garment below the waist
n. a garment hanging from the waist; worn mainly by girls and women
v. pass around or about; move along the border
v. form the edge of"
protect sth. against sth.,none
singer,"n. a person who sings
n. United States inventor of an improved chain-stitch sewing machine (1811-1875)
n. United States writer (born in Poland) of Yiddish stories and novels (1904-1991)"
congratulations,"n an expression of approval and commendation
n the act of acknowledging that someone has an occasion for celebration
n (usually plural) an expression of pleasure at the success or good fortune of another"
headmaster,n. presiding officer of a school
present,"n. the period of time that is happening now; any continuous stretch of time including the moment of speech
n. something presented as a gift
n. a verb tense that expresses actions or states at the time of speaking
v. bring forward and present to the mind"
factory,n. a plant consisting of one or more buildings with facilities for manufacturing
pollute,v. make impure
recycle,"v. cause to repeat a cycle
v. use again after processing"
waste,"n. any materials unused and rejected as worthless or unwanted
n. useless or profitless activity; using or expending or consuming thoughtlessly or carelessly
n. (law) reduction in the value of an estate caused by act or neglect
v. spend thoughtlessly; throw away"
enemy,"n. an opposing military force
n. an armed adversary (especially a member of an opposing military force)
n. any hostile group of people"
crop,"n. the yield from plants in a single growing season
n. a cultivated plant that is grown commercially on a large scale
n. a collection of people or things appearing together
n. the output of something in a season"
kill,"n. the destruction of an enemy plane or ship or tank or missile
v. cause to die; put to death, usually intentionally or knowingly
v. thwart the passage of
v. be fatal"
oil,"n. a slippery or viscous liquid or liquefiable substance not miscible with water
n. oil paint containing pigment that is used by an artist
v. cover with oil, as if by rubbing"
less,"a. (comparative of `little' usually used with mass nouns) a quantifier meaning not as great in amount or degree
s. (usually preceded by `no') lower in quality
s. (nonstandard in some uses but often idiomatic with measure phrases) fewer
r. used to form the comparative of some adjectives and adverbs"
hopeless,"a. without hope because there seems to be no possibility of comfort or success
s. of a person unable to do something skillfully
s. certain to fail
s. (informal to emphasize how bad it is) beyond hope of management or reform"
china,"n. a communist nation that covers a vast territory in eastern Asia; the most populous country in the world
n. high quality porcelain originally made only in China"
divide,"n. a serious disagreement between two groups of people (typically producing tension or hostility)
v. separate into parts or portions
v. perform a division"
plastic,"n. generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
s. capable of being influenced or formed"
policy,"n. a plan of action adopted by an individual or social group
n. a line of argument rationalizing the course of action of a government
n. written contract or certificate of insurance"
reuse,v use again after processing
bottle,"n. a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
n. the quantity contained in a bottle
n. a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children
v. store (liquids or gases) in bottles"
throw away,"n. words spoken in a casual way with conscious under-emphasis
s. intended to be thrown away after use"
repeat,"n. an event that repeats
v. to say, state, or perform again
v. to say again or imitate
v. do over"
reduce,"v. cut down on; make a reduction in
v. make less complex
v. bring to humbler or weaker state or condition
v. simplify the form of a mathematical equation of expression by substituting one term for another"
cloth,n artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
ton,"n a United States unit of weight equivalent to 2000 pounds
n a British unit of weight equivalent to 2240 pounds"
tons of,none
rubber,"n. an elastic material obtained from the latex sap of trees (especially trees of the genera Hevea and Ficus) that can be vulcanized and finished into a variety of products
n. any of various synthetic elastic materials whose properties resemble natural rubber
s. returned for lack of funds"
recycling,n. the act of processing used or abandoned materials for use in creating new products
rapid,"n. a part of a river where the current is very fast
s. done or occurring in a brief period of time
s. characterized by speed; moving with or capable of moving with high speed"
step,"n. the act of changing location by raising the foot and setting it down
n. support consisting of a place to rest the foot while ascending or descending a stairway
n. a short distance
n. a solid block joined to the beams in which the heel of a ship's mast or capstan is fixed"
grandson,n. a male grandchild
granddaughter,n. a female grandchild
