oh,n a midwestern state in north central United States in the Great Lakes region
less,"a. (comparative of `little' usually used with mass nouns) a quantifier meaning not as great in amount or degree
s. (usually preceded by `no') lower in quality
s. (nonstandard in some uses but often idiomatic with measure phrases) fewer
r. used to form the comparative of some adjectives and adverbs"
than,"conj. A particle expressing comparison, used after certain
   adjectives and adverbs which express comparison or diversity, as more,
   better, other, otherwise, and the like. It is usually followed by the
   object compared in the nominative case. Sometimes, however, the object
   compared is placed in the objective case, and than is then considered
   by some grammarians as a preposition. Sometimes the object is expressed
   in a sentence, usually introduced by that; as, I would rather suffer
   than that you should want.
adv. Then. See Then."
less than,none
more than,none
take a walk,none
total,"v. add up in number or quantity
v. determine the sum of
v. damage beyond the point of repair"
number,"n. the property possessed by a sum or total or indefinite quantity of units or individuals
n. a concept of quantity involving zero and units
n. a select company of people
n. a numeral or string of numerals that is used for identification"
score,"n. a written form of a musical composition; parts for different instruments appear on separate staves on large pages
n. a number that expresses the accomplishment of a team or an individual in a game or contest
n. a set of twenty members
n. grounds"
point,"n. a geometric element that has position but no extension
n. the precise location of something; a spatially limited location
n. a brief version of the essential meaning of something
n. an instant of time"
more,"n. English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state
a. (comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree
a. (comparative of `many' used with count nouns) quantifier meaning greater in number
r. used to form the comparative of some adjectives and adverbs"
order,"n. (often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed
n. a degree in a continuum of size or quantity
n. established customary state (especially of society)
n. a commercial document used to request someone to supply something in return for payment and providing specifications and quantities"
menu,"n. a list of dishes available at a restaurant
n. the dishes making up a meal
n. (computer science) a list of options available to a computer user
n. an agenda of things to do"
bean,"n. any of various edible seeds of plants of the family Leguminosae used for food
n. any of various seeds or fruits that are beans or resemble beans
n. any of various leguminous plants grown for their edible seeds and pods
v. hit on the head, especially with a pitched baseball"
all right,none
taste,"n. the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
n. delicate discrimination (especially of aesthetic values)
n. a brief experience of something
n. a small amount eaten or drunk"
energy,"n. (physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
n. forceful exertion
n. enterprising or ambitious drive
n. an imaginative lively style (especially style of writing)"
whole,"n. all of something including all its component elements or parts
n. an assemblage of parts that is regarded as a single entity
a. including all components without exception; being one unit or constituting the full amount or extent or duration; complete
a. (of siblings) having the same parents"
shopping,"n. searching for or buying goods or services
n. the commodities purchased from stores"
mall,"n a public area set aside as a pedestrian walk
n mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace"
shopping mall,none
down,"n. soft fine feathers
n. (American football) a complete play to advance the football
n. English physician who first described Down's syndrome (1828-1896)
n. (usually plural) a rolling treeless highland with little soil"
hate,"n. the emotion of intense dislike; a feeling of dislike so strong that it demands action
v. dislike intensely; feel antipathy or aversion towards"
well,"n. a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
n. a cavity or vessel used to contain liquid
n. an abundant source
n. an open shaft through the floors of a building (as for a stairway)"
money,"n. the most common medium of exchange; functions as legal tender
n. wealth reckoned in terms of money
n. the official currency issued by a government or national bank"
wallet,n. a pocket-size case for holding papers and paper money
carry,"n. the act of carrying something
v. have with oneself; have on one's person
v. serve as a means for expressing something
v. bear or be able to bear the weight, pressure,or responsibility of"
bookshop,n. a shop where books are sold
gift,n. something acquired without compensation
CD,"n a soft bluish-white ductile malleable toxic bivalent metallic element; occurs in association with zinc ores
n the basic unit of luminous intensity adopted under the Systeme International d'Unites; equal to 1/60 of the luminous intensity per square centimeter of a black body radiating at the temperature of 2,046 degrees Kelvin
n a debt instrument issued by a bank; usually pays interest
n a digitally encoded recording on an optical disk that is smaller than a phonograph record; played back by a laser
s being one hundred more than three hundred"
compact disc,none
sure,"s. physically secure or dependable
s. (of persons) worthy of trust or confidence
s. infallible or unfailing
s. certain not to fail"
maybe,r by chance
be interested in,none
stamp,"n. a type or class
n. a symbol that is the result of printing or engraving
n. machine consisting of a heavy bar that moves vertically for pounding or crushing ores
n. a block or die used to imprint a mark or design"
collect,"n. a short prayer generally preceding the lesson in the Church of Rome or the Church of England
v. call for and obtain payment of
v. get or bring together
v. gather or collect"
you're welcome,none
shopkeeper,n. a merchant who owns or manages a shop
just a minute,none
take a look,none
cost,"n. the total spent for goods or services including money and time and labor
v. be priced at
v. require to lose, suffer, or sacrifice"
cheap,"a. relatively low in price or charging low prices
s. embarrassingly stingy"
last,"n. the last or lowest in an ordering or series
n. a person's dying act; the final thing a person can do
n. a unit of weight equal to 4,000 pounds
n. a unit of capacity for grain equal to 80 bushels"
hair clip,none
match,"n. lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction
n. a formal contest in which two or more persons or teams compete
n. a burning piece of wood or cardboard
n. an exact duplicate"
pink,"n. a light shade of red
n. any of various flowers of plants of the genus Dianthus cultivated for their fragrant flowers
v. sound like a car engine that is firing too early
v. cut in a zigzag pattern with pinking shears, in sewing"
pretty,"s. pleasing by delicacy or grace; not imposing
s. (used ironically) unexpectedly bad"
enough,"n. an adequate quantity; a quantity that is large enough to achieve a purpose
r. as much as necessary; (`plenty' is nonstandard) ""I've had plenty, thanks"""
change,"n. an event that occurs when something passes from one state or phase to another
n. a relational difference between states; especially between states before and after some event
n. the action of changing something
n. the result of alteration or modification"
different from,none
paper,"n. a material made of cellulose pulp derived mainly from wood or rags or certain grasses
n. a medium for written communication
n. a scholarly article describing the results of observations or stating hypotheses
v. cover with paper"
item,"n. a distinct part that can be specified separately in a group of things that could be enumerated on a list
n. a whole individual unit; especially when included in a list or collection
r. (used when listing or enumerating items) also"
T-shirt,n a close-fitting pullover shirt
poor,"a. having little money or few possessions
a. characterized by or indicating poverty
a. lacking in specific resources, qualities or substances
s. unsatisfactory"
area,"n. a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
n. a subject of study
n. a part of an animal that has a special function or is supplied by a given artery or nerve
n. a part of a structure having some specific characteristic or function"
most,"a. (superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number
a. the superlative of `much' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning the greatest in amount or extent or degree
r. used to form the superlative
r. very"
pocket,"n. a small pouch inside a garment for carrying small articles
n. a supply of money
n. (bowling) the space between the headpin and the pins behind it on the right or left
n. a small isolated group of people"
pocket money,none
pair,"n. a set of two similar things considered as a unit
n. two people considered as a unit
n. a poker hand with 2 cards of the same value
v. form a pair or pairs"
a pair of,none
size,"n. the physical magnitude of something (how big it is)
n. the property resulting from being one of a series of graduated measurements (as of clothing)
n. any glutinous material used to fill pores in surfaces or to stiffen fabrics
n. the actual state of affairs"
try on,n putting clothes on to see whether they fit
fit,"n. a display of bad temper
n. the manner in which something fits
v. be the right size or shape; fit correctly or as desired
v. make fit"
expensive,a. high in price or charging high prices
another,s. any of various alternatives; some other
price,"n. the amount of money needed to purchase something
n. value measured by what must be given or done or undergone to obtain something
n. the high value or worth of something
n. a monetary reward for helping to catch a criminal"
fit,"n. a display of bad temper
n. the manner in which something fits
v. be the right size or shape; fit correctly or as desired
v. make fit"
large,"n. a garment size for a large person
a. above average in size or number or quantity or magnitude or extent
s. fairly large or important in effect; influential
s. having broad power and range and scope"
note,"n. a brief written record
n. a short personal letter
n. a notation representing the pitch and duration of a musical sound
n. a tone of voice that shows what the speaker is feeling"
bus stop,none
restaurant,n. a building where people go to eat
top,"n. the upper part of anything
n. the highest or uppermost side of anything
n. the first half of an inning; while the visiting team is at bat
n. the greatest possible intensity"
fashion,"n. characteristic or habitual practice
n. the latest and most admired style in clothes and cosmetics and behavior
n. consumer goods (especially clothing) in the current mode
v. make out of components (often in an improvising manner)"
think about,none
spend,"v. pass time in a specific way
v. pay out
v. spend completely"
lazy,s. moving slowly and gently
blouse,n. a top worn by women
tie,"n. equality of score in a contest
n. a horizontal beam used to prevent two other structural members from spreading apart or separating
n. (music) a slur over two notes of the same pitch; indicates that the note is to be sustained for their combined time value
n. one of the cross braces that support the rails on a railway track"
lend,"v. bestow a quality on
v. give temporarily; let have for a limited time
v. have certain characteristics of qualities for something; be open or vulnerable to"
lady,"n. a polite name for any woman
n. a woman of the peerage in Britain"
gentleman,n. a man of refinement
style,"n. a particular kind (as to appearance)
n. (botany) the narrow elongated part of the pistil between the ovary and the stigma
n. editorial directions to be followed in spelling and punctuation and capitalization and typographical display
n. a slender bristlelike or tubular process"
trainer,n. one who trains other persons or animals
sneaker,"n a canvas shoe with a pliable rubber sole
n someone acting as an informer or decoy for the police"
comfortable,"a. providing or experiencing physical well-being or relief (`comfy' is informal)
a. free from stress or conducive to mental ease; having or affording peace of mind
s. more than adequate
s. sufficient to provide comfort"
popular,"a. regarded with great favor, approval, or affection especially by the general public
s. carried on by or for the people (or citizens) at large
s. (of music or art) new and of general appeal (especially among young people)"
among,prep. Alt. of Amongst
purple,"n. a purple color or pigment
n. of imperial status
v. become purple
v. color purple"
grey,"n. United States writer of western adventure novels (1875-1939)
n. Queen of England for nine days in 1553; she was quickly replaced by Mary Tudor and beheaded for treason (1537-1554)
n. Englishman who as Prime Minister implemented social reforms including the abolition of slavery throughout the British Empire (1764-1845)
n. any organization or party whose uniforms or badges are grey"
smart,"n. a kind of pain such as that caused by a wound or a burn or a sore
a. showing mental alertness and calculation and resourcefulness
s. painfully severe
s. quick and brisk"
cool,"n. the quality of being at a refreshingly low temperature
v. make cool or cooler
v. loose heat
v. lose intensity"
cotton,"n. soft silky fibers from cotton plants in their raw state
n. fabric woven from cotton fibers
n. erect bushy mallow plant or small tree bearing bolls containing seeds with many long hairy fibers
n. thread made of cotton fibers"
scarf,"n. a garment worn around the head or neck or shoulders for warmth or decoration
v. masturbate while strangling oneself
v. unite by a scarf joint
v. wrap in or adorn with a scarf"
both,s. (used with count nouns) two considered together; the two
jeans,"n (usually plural) close-fitting trousers of heavy denim for manual work or casual wear
n a coarse durable twill-weave cotton fabric"
silk,"n. a fabric made from the fine threads produced by certain insect larvae
n. animal fibers produced by silkworms and other larvae that spin cocoons and by most spiders"
wool,"n. a fabric made from the hair of sheep
n. fiber sheared from animals (such as sheep) and twisted into yarn for weaving
n. outer coat of especially sheep and yaks"
boot,"n. footwear that covers the whole foot and lower leg
n. British term for the luggage compartment in a car
n. protective casing for something that resembles a leg
n. an instrument of torture that is used to heat or crush the foot and leg"
both ... and ...,none
be made of,none
write to,none
wait for,none
look for,none
lie,"n. a statement that deviates from or perverts the truth
n. Norwegian diplomat who was the first Secretary General of the United Nations (1896-1968)
n. position or manner in which something is situated
v. be located or situated somewhere; occupy a certain position"
go for sth.,none
fit,"n. a display of bad temper
n. the manner in which something fits
v. be the right size or shape; fit correctly or as desired
v. make fit"
fit for,none
think of,none
glove,n. handwear: covers the hand and wrist
leather,"n. an animal skin made smooth and flexible by removing the hair and then tanning
v. whip with a leather strap"
soft,"a. yielding readily to pressure or weight
a. compassionate and kind; conciliatory
a. (of sound) relatively low in volume
a. not protected against attack (especially by nuclear weapons)"
smooth,"n. the act of smoothing
v. make smooth or smoother, as if by rubbing
v. free from obstructions
a. having a surface free from roughness or bumps or ridges or irregularities"
lovely,s. appealing to the emotions as well as the eye
hat,"n. headdress that protects the head from bad weather; has shaped crown and usually a brim
n. an informal term for a person's role
v. put on or wear a hat
v. furnish with a hat"
jacket,"n. a short coat
n. an outer wrapping or casing
n. the outer skin of a potato
n. the tough metal shell casing for certain kinds of ammunition"
feature,"n. a prominent attribute or aspect of something
n. the characteristic parts of a person's face: eyes and nose and mouth and chin
n. the principal (full-length) film in a program at a movie theater
n. a special or prominent article in a newspaper or magazine"
dark,"n. absence of light or illumination
n. an unenlightened state
a. devoid of or deficient in light or brightness; shadowed or black
a. (used of color) having a dark hue"
material,"n. the tangible substance that goes into the makeup of a physical object
n. information (data or ideas or observations) that can be used or reworked into a finished form
n. things needed for doing or making something
n. a person judged suitable for admission or employment"
design,"n. the act of working out the form of something (as by making a sketch or outline or plan)
n. an arrangement scheme
n. a decorative or artistic work
n. a preliminary sketch indicating the plan for something"
model,"n. a hypothetical description of a complex entity or process
n. a type of product
n. a person who poses for a photographer or painter or sculptor
n. representation of something (sometimes on a smaller scale)"
include,"v. have as a part, be made up out of
v. consider as part of something
v. add as part of something else; put in as part of a set, group, or category"
