curly,a. (of hair) having curls or waves
mind,"n. that which is responsible for one's thoughts and feelings; the seat of the faculty of reason
n. recall or remembrance
n. attention
n. your intention; what you intend to do"
body,"n. the entire structure of an organism (an animal, plant, or human being)
n. a group of persons associated by some common tie or occupation and regarded as an entity
n. a natural object consisting of a dead animal or person
n. an individual 3-dimensional object that has mass and that is distinguishable from other objects"
such,"s. of so extreme a degree or extent
r. to so extreme a degree"
such as,none
together,"s. mentally and emotionally stable
r. in contact with each other or in proximity
r. assembled in one place
r. in each other's company"
die,"n. a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers
n. a device used for shaping metal
n. a cutting tool that is fitted into a diestock and used for cutting male (external) screw threads on screws or bolts or pipes or rods
v. pass from physical life and lose all bodily attributes and functions necessary to sustain life"
writer,"n. writes (books or stories or articles or the like) professionally (for pay)
n. a person who is able to write and has written something"
dentist,n. a person qualified to practice dentistry
magazine,"n. a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it
n. product consisting of a paperback periodic publication as a physical object
n. a business firm that publishes magazines
n. a light-tight supply chamber holding the film and supplying it for exposure as required"
however,"r. despite anything to the contrary (usually following a concession)
r. by contrast; on the other hand; the second, however, took hours""
r. to whatever degree or extent
r. in whatever way or manner"
than,"conj. A particle expressing comparison, used after certain
   adjectives and adverbs which express comparison or diversity, as more,
   better, other, otherwise, and the like. It is usually followed by the
   object compared in the nominative case. Sometimes, however, the object
   compared is placed in the objective case, and than is then considered
   by some grammarians as a preposition. Sometimes the object is expressed
   in a sentence, usually introduced by that; as, I would rather suffer
   than that you should want.
adv. Then. See Then."
more than,none
almost,r (of actions or states) slightly short of or not quite accomplished; all but
none,"n. a canonical hour that is the ninth hour of the day counting from sunrise
n. a service in the Roman Catholic Church formerly read or chanted at 3 PM (the ninth hour counting from sunrise) but now somewhat earlier
s. not any
r. not at all or in no way"
less,"a. (comparative of `little' usually used with mass nouns) a quantifier meaning not as great in amount or degree
s. (usually preceded by `no') lower in quality
s. (nonstandard in some uses but often idiomatic with measure phrases) fewer
r. used to form the comparative of some adjectives and adverbs"
less than,none
point,"n. a geometric element that has position but no extension
n. the precise location of something; a spatially limited location
n. a brief version of the essential meaning of something
n. an instant of time"
Claire,none
Sue,n. French writer whose novels described the sordid side of city life (1804-1857)
American Teenager,none
outgoing,"a. leaving a place or a position
a. retiring from a position or office"
better,"n. something superior in quality or condition or effect
n. a superior person having claim to precedence
n. the superior one of two alternatives
v. surpass in excellence"
good,"n. benefit
n. moral excellence or admirableness
n. that which is pleasing or valuable or useful
a. having desirable or positive qualities especially those suitable for a thing specified"
well,"n. a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
n. a cavity or vessel used to contain liquid
n. an abundant source
n. an open shaft through the floors of a building (as for a stairway)"
loudly,r. with relatively high volume
quietly,"r. with little or no sound
r. with little or no activity or no agitation (`quiet' is a nonstandard variant for `quietly')"
hard-working,-ing form of hard-work
competition,"n. a business relation in which two parties compete to gain customers
n. the act of competing as for profit or a prize"
fantastic,"s. extraordinarily good or great; used especially as intensifiers
s. fanciful and unrealistic; foolish
s. existing in fancy only
s. extravagantly fanciful in design, construction, appearance"
which,"a. Of what sort or kind; what; what a; who.
a. A interrogative pronoun, used both substantively and
   adjectively, and in direct and indirect questions, to ask for, or refer
   to, an individual person or thing among several of a class; as, which
   man is it? which woman was it? which is the house? he asked which route
   he should take; which is best, to live or to die? See the Note under
   What, pron., 1.
pron. A relative pronoun, used esp. in referring to an
   antecedent noun or clause, but sometimes with reference to what is
   specified or implied in a sentence, or to a following noun or clause
   (generally involving a reference, however, to something which has
   preceded). It is used in all numbers and genders, and was formerly used
   of persons.
pron. A compound relative or indefinite pronoun, standing for
   any one which, whichever, that which, those which, the . . . which, and
   the like; as, take which you will."
clearly,"r. without doubt or question
r. in an easily perceptible manner"
win,"n. a victory (as in a race or other competition)
v. be the winner in a contest or competition; be victorious"
though,r. (postpositive) however
talented,a. endowed with talent or talents
truly,r. in accordance with truth or fact or reality
care,"n. the work of providing treatment for or attending to someone or something
n. a cause for feeling concern
n. attention and management implying responsibility for safety
n. activity involved in maintaining something in good working order"
care about,none
serious,"a. concerned with work or important matters rather than play or trivialities
s. of great consequence
s. requiring effort or concentration; complex and not easy to answer or solve"
mirror,"n. polished surface that forms images by reflecting light
n. a faithful depiction or reflection
v. reflect as if in a mirror
v. reflect or resemble"
kid,"n. soft smooth leather from the hide of a young goat
n. young goat
v. be silly or tease one another"
as long as,none
necessary,"a. absolutely essential
s. unavoidably determined by prior circumstances"
be different from,none
both,s. (used with count nouns) two considered together; the two
bring out,none
grade,"n. a relative position or degree of value in a graded group
n. the gradient of a slope or road or other surface
n. a degree of ablaut
n. the height of the ground on which something stands"
should,"imp. of Shall
imp. Used as an auxiliary verb, to express a conditional or
   contingent act or state, or as a supposition of an actual fact; also,
   to express moral obligation (see Shall); e. g.: they should have come
   last week; if I should go; I should think you could go."
the same as,none
saying,n. a word or phrase that particular people use in particular situations
reach,"n. the act of physically reaching or thrusting out
v. reach a destination, either real or abstract
v. reach a point in time, or a certain state or level
v. move forward or upward in order to touch; also in a metaphorical sense"
hand,"n. the (prehensile) extremity of the superior limb
n. ability
n. a position given by its location to the side of an object
n. the cards held in a card game by a given player at any given time"
touch,"n. the event of something coming in contact with the body
n. the faculty by which external objects or forces are perceived through contact with the body (especially the hands)
n. a suggestion of some quality
n. a distinguishing style"
heart,"n. the locus of feelings and intuitions
n. the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body
n. the courage to carry on
n. an inclination or tendency of a certain kind"
fact,"n. a piece of information about circumstances that exist or events that have occurred
n. a statement or assertion of verified information about something that is the case or has happened
n. an event known to have happened or something known to have existed
n. a concept whose truth can be proved"
in fact,none
break,"n. an unexpected piece of good luck
n. the occurrence of breaking
n. an abrupt change in the tone or register of the voice (as at puberty or due to emotion)
n. the opening shot that scatters the balls in billiards or pool"
arm,"n. a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
n. any projection that is thought to resemble a human arm
n. the part of an armchair or sofa that supports the elbow and forearm of a seated person
v. prepare oneself for a military confrontation"
share,"n. assets belonging to or due to or contributed by an individual person or group
n. any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate
v. have in common
v. use jointly or in common"
loud,a. characterized by or producing sound of great volume or intensity
similar,"a. marked by correspondence or resemblance
s. (of words) expressing closely related meanings"
be similar to,none
primary,"n. a preliminary election where delegates or nominees are chosen
n. one of the main flight feathers projecting along the outer edge of a bird's wing
n. (astronomy) a celestial body (especially a star) relative to other objects in orbit around it
a. of first rank or importance or value; direct and immediate rather than secondary"
primary school,none
information,"n. a message received and understood
n. knowledge acquired through study or experience or instruction
n. formal accusation of a crime
n. (communication theory) a numerical measure of the uncertainty of an outcome"
Tara,n. a village in eastern Ireland (northwest of Dublin); seat of Irish kings until 6th century
Sam,n a guided missile fired from land or shipboard against an airborne target
Nelly,none
Larry,"n. Same as Lorry, or Lorrie."
theater,n. a building where theatrical performances or motion-picture shows can be presented
theatre,"n a building where theatrical performances or motion-picture shows can be presented
n the art of writing and producing plays
n a region in which active military operations are in progress"
comfortable,"a. providing or experiencing physical well-being or relief (`comfy' is informal)
a. free from stress or conducive to mental ease; having or affording peace of mind
s. more than adequate
s. sufficient to provide comfort"
seat,"n. a space reserved for sitting (as in a theater or on a train or airplane)
n. furniture that is designed for sitting on
n. any support where you can sit (especially the part of a chair or bench etc. on which you sit)
n. a center of authority (as a city from which authority is exercised)"
screen,"n. a white or silvered surface where pictures can be projected for viewing
n. the display that is electronically created on the surface of the large end of a cathode-ray tube
n. a covering that serves to conceal or shelter something
n. a protective covering consisting of netting; can be mounted in a frame"
close,"v. move so that an opening or passage is obstructed; make shut
v. become closed
v. finish or terminate (meetings, speeches, etc.)
v. complete a business deal, negotiation, or an agreement"
ticket,"n. a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment)
n. a summons issued to an offender (especially to someone who violates a traffic regulation)
n. the appropriate or desirable thing
v. issue a ticket or a fine to as a penalty"
worst,"n. the least favorable outcome
n. the greatest damage or wickedness of which one is capable
n. the weakest effort or poorest achievement one is capable of
v. defeat thoroughly"
bad,"n. that which is below standard or expectations as of ethics or decency
a. having undesirable or negative qualities
s. very intense
s. feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad')"
badly,"r. to a severe or serious degree
r. evilly or wickedly
r. in a disobedient or naughty way
r. with great intensity (`bad' is a nonstandard variant for `badly')"
cheaply,"r. in a cheap manner
r. with little expenditure of money"
song,"n. a short musical composition with words
n. a distinctive or characteristic sound
n. the act of singing
n. a very small sum"
DJ,"n a person who announces and plays popular recorded music
v comment on music to be played"
choose,"v. pick out, select, or choose from a number of alternatives
v. select as an alternative over another
v. see fit or proper to act in a certain way; decide to act in a certain way"
chose,"v pick out, select, or choose from a number of alternatives
v select as an alternative over another
v see fit or proper to act in a certain way; decide to act in a certain way"
carefully,r. taking care or paying attention
reporter,n. a person who investigates and reports or edits news stories
so far,none
fresh,"a. recently made, produced, or harvested
s. (of a cycle) beginning or occurring again
s. original and of a kind not seen before
a. not canned or otherwise preserved"
comfortably,"r. in mental comfort; without stress
r. in physical comfort"
worse,"n. something inferior in quality or condition or effect
a. (comparative of `bad') inferior to another in quality or condition or desirability
a. changed for the worse in health or fitness
r. (comparative of `ill') in a less effective or successful or desirable manner"
bad,"n. that which is below standard or expectations as of ethics or decency
a. having undesirable or negative qualities
s. very intense
s. feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad')"
badly,"r. to a severe or serious degree
r. evilly or wickedly
r. in a disobedient or naughty way
r. with great intensity (`bad' is a nonstandard variant for `badly')"
service,"n. work done by one person or group that benefits another
n. an act of help or assistance
n. the act of public worship following prescribed rules
n. a company or agency that performs a public service; subject to government regulation"
pretty,"s. pleasing by delicacy or grace; not imposing
s. (used ironically) unexpectedly bad"
menu,"n. a list of dishes available at a restaurant
n. the dishes making up a meal
n. (computer science) a list of options available to a computer user
n. an agenda of things to do"
act,"n. a legal document codifying the result of deliberations of a committee or society or legislative body
n. something that people do or cause to happen
n. a subdivision of a play or opera or ballet
n. a short theatrical performance that is part of a longer program"
meal,"n. the food served and eaten at one time
n. any of the occasions for eating food that occur by custom or habit at more or less fixed times
n. coarsely ground foodstuff; especially seeds of various cereal grasses or pulse"
creative,"a. having the ability or power to create
s. promoting construction or creation"
performer,n. an entertainer who performs a dramatic or musical work for an audience
talent,n. a person who possesses unusual innate ability in some field or activity
common,"a. belonging to or participated in by a community as a whole; public
a. having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual
s. common to or shared by two or more parties
s. commonly encountered"
have ... in common,none
magician,n. someone who performs magic tricks to amuse an audience
all kinds of,none
beautifully,r. in a beautiful manner
be up to,none
role,n. normal or customary activity of a person in a particular social setting
play a role,none
winner,"n. the contestant who wins the contest
n. a gambler who wins a bet"
prize,"n. something given for victory or superiority in a contest or competition or for winning a lottery
v. hold dear"
everybody,n. Every person.
make up,"n an event that is substituted for a previously cancelled event
n the way in which someone or something is composed
n cosmetics applied to the face to improve or change your appearance"
example,"n. an item of information that is typical of a class or group
n. punishment intended as a warning to others"
for example,none
poor,"a. having little money or few possessions
a. characterized by or indicating poverty
a. lacking in specific resources, qualities or substances
s. unsatisfactory"
seriously,r. in a serious manner
take ... seriously,none
agree,"v. be in accord; be in agreement
v. consent or assent to a condition, or agree to do something
v. show grammatical agreement
v. be agreeable or suitable"
agree with,none
crowded,a. overfilled or compacted or concentrated
Greg,none
Depp,none
Danny,none
Eliza,none
Vera,none
Dennis,none
American Idol,none
America's Got Talent,none
China's Got Talent,none
