declare,"v. state emphatically and authoritatively
v. state firmly
v. declare to be
v. authorize payments of"
conquer,v. overcome by conquest
kindle,"v. catch fire
v. cause to start burning"
comply,"v. act in accordance with someone's rules, commands, or wishes"
pave,"n. a setting with precious stones so closely set that no metal shows
v. cover with a material such as stone or concrete to make suitable for vehicle traffic"
extinct,"a. no longer in existence; lost or especially having died out leaving no living representatives
a. (of e.g. volcanos) permanently inactive
s. being out or having grown cold"
fund,"n. a reserve of money set aside for some purpose
v. convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds
v. place or store up in a fund for accumulation
v. provide a fund for the redemption of principal or payment of interest"
hazard,"n. a source of danger; a possibility of incurring loss or misfortune
n. an obstacle on a golf course"
convenient,a. suited to your comfort or purpose or needs
proceed,"v. move ahead; travel onward in time or space
v. follow a certain course"
praise,"n. an expression of approval and commendation
n. offering words of homage as an act of worship
v. express approval of"
scramble,"n. an unceremonious and disorganized struggle
v. to move hurriedly
v. bring into random order
v. make unintelligible"
surge,"n. a sudden or abrupt strong increase
v. see one's performance improve"
blast,"n. a very long fly ball
n. an explosion (as of dynamite)
v. make a strident sound
v. use explosives on"
discontent,v. make dissatisfied
mechanic,s. resembling the action of a machine
disposal,"n. the power to use something or someone
n. the act or means of getting rid of something
n. a kitchen appliance for disposing of garbage"
appalling,"n. an experience that appalls
s. causing consternation"
vacant,"s. void of thought or knowledge
s. without an occupant or incumbent"
trace,"n. a just detectable amount
n. an indication that something has been present
n. either of two lines that connect a horse's harness to a wagon or other vehicle or to a whiffletree
n. a visible mark (as a footprint) left by the passage of person or animal or vehicle"
enormous,"s. extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman"
exclaim,"v. utter aloud; often with surprise, horror, or joy"
inquire,"v inquire about
v have a wish or desire to know something
v conduct an inquiry or investigation of"
grateful,"a. feeling or showing gratitude
s. affording comfort or pleasure"
originate,"v. come into existence; take on form or shape
v. bring into being
v. begin a trip at a certain point, as of a plane, train, bus, etc."
engage,"v. ask to represent; of legal counsel
v. get caught
v. carry on (wars, battles, or campaigns)
v. hire for work or assistance"
rare,"s. not widely known; especially valued for its uncommonness
s. recurring only at long intervals
s. not widely distributed
s. having low density"
prosperous,"s in fortunate circumstances financially; moderately rich
s very lively and profitable
s marked by peace and prosperity
s presaging or likely to bring good luck"
tumble,"n. an acrobatic feat of rolling or turning end over end
v. fall down, as if collapsing
v. roll over and over, back and forth
v. throw together in a confused mass"
prevent,"v. keep from happening or arising; make impossible
v. stop (someone or something) from doing something or being in a certain state"
sorrow,"n. an emotion of great sadness associated with loss or bereavement
n. sadness associated with some wrong done or some disappointment"
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
partition,"n. a vertical structure that divides or separates (as a wall divides one room from another)
n. (computer science) the part of a hard disk that is dedicated to a particular operating system or application and accessed as a single unit
n. (anatomy) a structure that separates areas in an organism
v. divide into parts, pieces, or sections"
flush,"n. a poker hand with all 5 cards in the same suit
n. a sudden rapid flow (as of water)
v. flow freely
v. glow or cause to glow with warm color or light"
luxury,"n. something that is an indulgence rather than a necessity
n. wealth as evidenced by sumptuous living"
escort,"n. the act of accompanying someone or something in order to protect them
n. an attendant who is employed to accompany someone
v. accompany as an escort"
investigate,"v. investigate scientifically
v. conduct an inquiry or investigation of"
slander,n. words falsely spoken that damage the reputation of another
daze,"n. the feeling of distress and disbelief that you have when something bad happens accidentally
n. confusion characterized by lack of clarity"
distinguish,"v. mark as different
v. be a distinctive feature, attribute, or trait; sometimes in a very positive sense"
subtle,s. able to make fine distinctions
chord,"n. a straight line connecting two points on a curve
n. a combination of three or more notes that blend harmoniously when sounded together
v. play chords on (a string instrument)"
astonish,v affect with wonder
compel,"v. force somebody to do something
v. necessitate or exact"
compact,"n. a small cosmetics case with a mirror; to be carried in a woman's purse
n. a small and economical car
v. have the property of being packable or of compacting easily
a. closely and firmly united or packed together"
distract,v. draw someone's attention away from something
discipline,"n. a branch of knowledge
n. a system of rules of conduct or method of practice; 
n. the trait of being well behaved
n. training to improve strength or self-control"
perpetual,"s continuing forever or indefinitely
s uninterrupted in time and indefinitely long continuing"
obscure,"v. make less visible or unclear
v. make obscure or unclear
v. reduce a vowel to a neutral one, such as a schwa
v. make undecipherable or imperceptible by obscuring or concealing"
gnawing,"v bite or chew on with the teeth
v become ground down or deteriorate"
inform,"v. impart knowledge of some fact, state or affairs, or event to
v. give character or essence to
v. act as an informer"
specimen,"n. an example regarded as typical of its class
n. a bit of tissue or blood or urine that is taken for diagnostic purposes"
romantic,"n. a soulful or amorous idealist
a. belonging to or characteristic of Romanticism or the Romantic Movement in the arts"
primary,"n. a preliminary election where delegates or nominees are chosen
n. one of the main flight feathers projecting along the outer edge of a bird's wing
n. (astronomy) a celestial body (especially a star) relative to other objects in orbit around it
a. of first rank or importance or value; direct and immediate rather than secondary"
irresistible,"a. impossible to resist; overpowering
s. overpoweringly attractive"
stroll,v. walk leisurely and with no apparent aim
transaction,n. the act of transacting within or between groups (as carrying on commercial activities)
blot,"n. an act that brings discredit to the person who does it
v. dry (ink) with blotting paper"
fling,"n. the act of flinging
v. throw with force or recklessness
v. move in an abrupt or headlong manner"
interior,"a. situated within or suitable for inside a building
s. inside and toward a center
s. of or coming from the middle of a region or country"
reverse,"n. a relation of direct opposition
n. the gears by which the motion of a machine can be reversed
n. an unfortunate happening that hinders or impedes; something that is thwarting or frustrating
n. the side of a coin or medal that does not bear the principal design"
spite,"n feeling a need to see others suffer
n malevolence by virtue of being malicious or spiteful or nasty
v hurt the feelings of"
confidence,"n. a feeling of trust (in someone or something)
n. a state of confident hopefulness that events will be favorable
n. a trustful relationship
n. a secret that is confided or entrusted to another"
request,"n. a formal message requesting something that is submitted to an authority
n. the verbal act of requesting
v. express the need or desire for; ask for
v. ask (a person) to do something"
complain,"v. express complaints, discontent, displeasure, or unhappiness
v. make a formal accusation; bring a formal charge"
clench,"v. hold in a tight grasp
v. squeeze together tightly"
eternal,"s continuing forever or indefinitely
s tiresomely long; seemingly without end"
brood,"n. the young of an animal cared for at one time
v. think moodily or anxiously about something
v. hang over, as of something threatening, dark, or menacing
v. sit on (eggs)"
scrutiny,n. a prolonged intense look
reject,"v. refuse to accept or acknowledge
v. reject with contempt
v. refuse entrance or membership"
contrast,"n. the opposition or dissimilarity of things that are compared
n. the act of distinguishing by comparing differences
n. the perceptual effect of the juxtaposition of very different colors
n. the range of optical density and tone on a photographic negative or print (or the extent to which adjacent areas on a television screen differ in brightness)"
gaze,"n. a long fixed look
v. look at with fixed eyes"
embrace,"n. the act of clasping another person in the arms (as in greeting or affection)
n. the state of taking in or encircling
n. a close affectionate and protective acceptance
v. include in scope; include as part of something broader; have as one's sphere or territory"
celebrated,"s. widely known and esteemed
s. having an illustrious past"
slender,"s. being of delicate or slender build
s. very narrow
s. having little width in proportion to the length or height
s. small in quantity"
scale,"n. an ordered reference standard
n. relative magnitude
n. the ratio between the size of something and a representation of it
n. a specialized leaf or bract that protects a bud or catkin"
resemble,v. appear like; be similar or bear a likeness to
measure,"n. any maneuver made as part of progress toward a goal
n. how much there is or how many there are of something that you can quantify
n. musical notation for a repeating pattern of musical beats
n. a container of some standard capacity that is used to obtain fixed amounts of a substance"
sweep,"n. a wide scope
n. a long oar used in an open boat
n. a movement in an arc
v. move with sweeping, effortless, gliding motions"
unexpected,a. not expected or anticipated
parallel,"n. (mathematics) one of a set of parallel geometric figures (parallel lines or planes)
v. be parallel to
v. make or place parallel to something
a. being everywhere equidistant and not intersecting"
overtake,v. catch up with and possibly overtake
outline,"n. the line that appears to bound an object
n. a sketchy summary of the main points of an argument or theory
n. a schematic or preliminary plan"
scarcely,"r only a very short time before
r almost not"
fragilely,none
gossip,"n. a report (often malicious) about the behavior of other people
n. a person given to gossiping and divulging personal information about others"
halt,v. cause to stop
enthusiasm,"n. a feeling of excitement
n. a lively interest"
propose,"v. make a proposal, declare a plan for something
v. ask (someone) to marry you"
clutch,"n. a tense critical situation
n. a number of birds hatched at the same time
n. a pedal or lever that engages or disengages a rotating shaft and a driving mechanism
n. a coupling that connects or disconnects driving and driven parts of a driving mechanism"
submerge,"v. sink below the surface; go under or as if under water
v. cover completely or make imperceptible
v. put under water"
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
shrink,"v. reduce in size; reduce physically
v. become smaller or draw together
v. decrease in size, range, or extent"
nevertheless,r despite anything to the contrary (usually following a concession)
vague,"s not clearly understood or expressed
a not precisely limited, determined, or distinguished
s lacking clarity or distinctness"
relief,"n. the feeling that comes when something burdensome is removed or reduced
n. the condition of being comfortable or relieved (especially after being relieved of distress)
n. (law) redress awarded by a court
n. assistance in time of difficulty"
enchant,v. hold spellbound
vulgar,"s lacking refinement or cultivation or taste
s of or associated with the great masses of people
s being or characteristic of or appropriate to everyday language
s conspicuously and tastelessly indecent"
investigation,n. the work of inquiring into something thoroughly and systematically
delicacy,"n. refined taste; tact
n. smallness of stature
n. subtly skillful handling of a situation"
precede,"v. come before
v. be the predecessor of
v. move ahead (of others) in time or space
v. furnish with a preface or introduction"
paralyze,"v. make powerless and unable to function
v. cause to be paralyzed and immobile"
security,"n. the state of being free from danger or injury
n. defense against financial failure; financial independence
n. freedom from anxiety or fear
n. a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends"
notorious,s known widely and usually unfavorably; 
await,v look forward to the probable occurrence of
ultimate,"n. the finest or most superior quality of its kind
a. furthest or highest in degree or order; utmost or extreme
s. being the last or concluding element of a series"
frown,"n. a facial expression of dislike or displeasure
v. look angry or sullen, wrinkle one's forehead, as if to signal disapproval"
erect,a. upright in position or posture
vulnerable,"a. susceptible to attack
s. susceptible to criticism or persuasion or temptation
s. capable of being wounded or hurt"
simultaneously,r. at the same instant
convert,"n. a person who has been converted to another religious or political belief
v. change from one system to another or to a new plan or policy
v. change the nature, purpose, or function of something
v. change religious beliefs, or adopt a religious belief"
weave,"n. pattern of weaving or structure of a fabric
v. interlace by or as if by weaving
v. create a piece of cloth by interlacing strands of fabric, such as wool or cotton
v. to move or cause to move in a sinuous, spiral, or circular course"
stale,"v. urinate, of cattle and horses
a. lacking freshness, palatability, or showing deterioration from age"
capital,"n. assets available for use in the production of further assets
n. wealth in the form of money or property owned by a person or business and human resources of economic value
n. a seat of government
n. one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis; capitals were kept in the upper half of the type case and so became known as upper-case letters"""
imply,"v. express or state indirectly
v. suggest as a logically necessary consequence; in logic
v. have as a necessary feature"
astound,v affect with wonder
sleigh,"n a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow
v ride (on) a sled"
commute,"n. a regular journey of some distance to and from your place of work
v. exchange positions without a change in value
v. travel back and forth regularly, as between one's place of work and home
v. exchange a penalty for a less severe one"
venture,"n. any venturesome undertaking especially one with an uncertain outcome
n. a commercial undertaking that risks a loss but promises a profit
v. proceed somewhere despite the risk of possible dangers
v. put at risk"
applaud,"v. clap one's hands or shout after performances to indicate approval
v. express approval of"
courtesy,"n. a courteous or respectful or considerate act
n. a courteous or respectful or considerate remark
n. a courteous manner"
responsible,"a. worthy of or requiring responsibility or trust; or held accountable
s. being the agent or cause"
intelligent,"a. having the capacity for thought and reason especially to a high degree
s. possessing sound knowledge
s. endowed with the capacity to reason"
justify,"v. show to be reasonable or provide adequate ground for
v. show to be right by providing justification or proof
v. adjust the spaces between words"
prohibit,v command against
circumstance,"n. a condition that accompanies or influences some event or activity
n. information that should be kept in mind when making a decision
n. formal ceremony about important occasions"
definite,"a. precise; explicit and clearly defined
s. known for certain"
enrich,"v. make better or improve in quality
v. make wealthy or richer"
bubble,"n. a hollow globule of gas (e.g., air or carbon dioxide)
n. an impracticable and illusory idea
n. a dome-shaped covering made of transparent glass or plastic
v. form, produce, or emit bubbles"
gleam,"n. an appearance of reflected light
n. a flash of light (especially reflected light)
v. shine brightly, like a star or a light
v. appear briefly"
crash,"n. a serious accident (usually involving one or more vehicles)
n. a sudden large decline of business or the prices of stocks (especially one that causes additional failures)
n. the act of colliding with something
n. (computer science) an event that causes a computer system to become inoperative"
slack,"n. dust consisting of a mixture of small coal fragments and coal dust and dirt that sifts out when coal is passed over a sieve
n. a stretch of water without current or movement
n. the quality of being loose (not taut)
n. a cord or rope or cable that is hanging loosely"
drift,"n. a force that moves something along
n. the gradual departure from an intended course due to external influences (as a ship or plane)
n. a process of linguistic change over a period of time
n. a large mass of material that is heaped up by the wind or by water currents"
release,"n. merchandise issued for sale or public showing (especially a record or film)
n. a process that liberates or discharges something
n. a device that when pressed will release part of a mechanism
n. activity that frees or expresses creative energy or emotion"
scrape,"n. a harsh noise made by scraping
n. a deep bow with the foot drawn backwards (indicating excessive humility)
v. scratch repeatedly
v. make by scraping"
repel,"v. cause to move back by force or influence
v. be repellent to; cause aversion in
v. force or drive back"
convince,"v make (someone) agree, understand, or realize the truth or validity of something"
outstanding,"s. distinguished from others in excellence
s. having a quality that thrusts itself into attention
s. owed as a debt"
disapprove,"v. consider bad or wrong
v. deem wrong or inappropriate"
deliver,"v. deliver (a speech, oration, or idea)
v. bring to a destination, make a delivery
v. utter (an exclamation, noise, etc.)
v. save from sins"
convict,"n. a person serving a sentence in a jail or prison
n. a person who has been convicted of a criminal offense
v. find or declare guilty"
satisfactory,"a. giving satisfaction
s. meeting requirements"
generosity,"n. the trait of being willing to give your money or time
n. acting generously"
interrupt,"n. a signal that temporarily stops the execution of a program so that another procedure can be carried out
v. make a break in
v. destroy the peace or tranquility of
v. interfere in someone else's activity"
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
finance,"n. the commercial activity of providing funds and capital
n. the branch of economics that studies the management of money and other assets
n. the management of money and credit and banking and investments
v. obtain or provide money for"
combine,"n. harvester that heads and threshes and cleans grain while moving across the field
v. add together from different sources
v. join for a common purpose or in a common action"
denounce,"v. speak out against
v. announce the termination of, as of treaties
v. give away information about somebody"
trash,"n. worthless people
v. dispose of (something useless or old)"
crisp,"s. (of something seen or heard) clearly defined
s. tender and brittle
s. pleasantly cold and invigorating
s. pleasingly firm and fresh"
suspend,"v. hang freely
v. cause to be held in suspension in a fluid
v. bar temporarily; from school, office, etc.
v. make inoperative or stop"
attempt,n. earnest and conscientious activity intended to do or accomplish something
discharge,"n. the sudden giving off of energy
n. the act of venting
n. a substance that is emitted or released
n. any of several bodily processes by which substances go out of the body"
rebellious,"s. resisting control or authority
s. participating in organized resistance to a constituted government"
dismiss,"v. bar from attention or consideration
v. cease to consider; put out of judicial consideration
v. stop associating with
v. end one's encounter with somebody by causing or permitting the person to leave"
delicate,"a. exquisitely fine and subtle and pleasing; susceptible to injury
s. marked by great skill especially in meticulous technique
s. easily broken or damaged or destroyed
s. easily hurt"
detach,"v. cause to become detached or separated; take off
v. separate (a small unit) from a larger, especially for a special assignment
v. come to be detached"
subscribe,"v. offer to buy, as of stocks and shares
v. adopt as a belief
v. receive or obtain regularly"
target,"n. a reference point to shoot at
n. the location of the target that is to be hit
n. sports equipment consisting of an object set up for a marksman or archer to aim at
v. intend (something) to move towards a certain goal"
quit,"v put an end to a state or an activity
v give up or retire from a position
v go away or leave
v turn away from; give up
v give up in the face of defeat of lacking hope; admit defeat"
refrain,"n. the part of a song where a soloist is joined by a group of singers
v. resist doing something"
torture,"n. unbearable physical pain
n. the deliberate, systematic, or wanton infliction of physical or mental suffering by one or more persons in an attempt to force another person to yield information or to make a confession or for any other reason
v. subject to torture"
divert,"v. send on a course or in a direction different from the planned or intended one
v. withdraw (money) and move into a different location, often secretly and with dishonest intentions"
confess,"v. confess to a punishable or reprehensible deed, usually under pressure
v. confess to God in the presence of a priest, as in the Catholic faith"
encircle,v. form a circle around
dreary,"s lacking in liveliness or charm or surprise
s causing dejection"
inquiry,"n. a search for knowledge
n. a systematic investigation of a matter of public interest"
urge,"n. an instinctive motive
n. a strong restless desire
v. force or impel in an indicated direction"
avenge,v take revenge for a perceived wrong
blink,"n. a reflex that closes and opens the eyes rapidly
v. briefly shut the eyes"
enact,v. act out; represent or perform as if in a play
flourish,"n. a showy gesture
n. an ornamental embellishment in writing
n. a display of ornamental speech or language
n. the act of waving"
depress,"v. lower someone's spirits; make downhearted
v. lower (prices or markets)
v. lessen the activity or force of"
tremendous,"s extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman
s extraordinarily good or great; used especially as intensifiers
s extreme in degree or extent or amount or impact"
stalk,"n. a slender or elongated structure that supports a plant or fungus or a plant part or plant organ
n. a hunt for game carried on by following it stealthily or waiting in ambush
n. the act of following prey stealthily
n. a stiff or threatening gait"
indulge,"v. give free rein to
v. enjoy to excess"
memorable,s. worth remembering
overlook,"n. a high place affording a good view
v. look past, fail to notice
v. watch over"
improve,"v to make better
v get better"
speculate,"v. to believe especially on uncertain or tentative grounds
v. talk over conjecturally, or review in an idle or casual way and with an element of doubt or without sufficient reason to reach a conclusion
v. invest at a risk"
intricate,s. having many complexly arranged elements; elaborate
tempt,"v. dispose or incline or entice to
v. give rise to a desire by being attractive or inviting
v. try to seduce
v. try presumptuously"
dedicate,"v. open to public use, as of a highway, park, or building
v. inscribe or address by way of compliment
v. set apart to sacred uses with solemn rites, of a church"
gamble,"n. money that is risked for possible monetary gain
n. a risky act or venture
v. take a risk in the hope of a favorable outcome
v. play games for money"
upset,"n. the act of disturbing the mind or body
n. a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging
n. the act of upsetting something
v. disturb the balance or stability of"
splash,"n. the sound like water splashing
n. a patch of bright color
n. the act of scattering water about haphazardly
v. mark or overlay with patches of contrasting color or texture; cause to appear splashed or spattered"
survey,"n. a detailed critical inspection
v. consider in a comprehensive way
v. look over carefully or inspect
v. make a survey of; for statistical purposes"
parade,"n. a ceremonial procession including people marching
n. an extended (often showy) succession of persons or things
n. a visible display
v. walk ostentatiously"
grease,"n. a thick fatty oil (especially one used to lubricate machinery)
v. lubricate with grease"
wit,n. a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter
mingle,v. get involved or mixed-up with
saint,"n. a person who has died and has been declared a saint by canonization
n. person of exceptional holiness"
criticize,v. act as a critic
accompany,v. go or travel along with
trot,"n. a gait faster than a walk; diagonally opposite legs strike the ground together
v. run at a moderately swift pace
v. ride at a trot
v. cause to trot"
inherit,"v. obtain from someone after their death
v. receive from a predecessor
v. receive by genetic transmission"
contest,"n. an occasion on which a winner is selected from among two or more contestants
n. a struggle between rivals
v. to make the subject of dispute, contention, or litigation"
assertion,n. a declaration that is made emphatically (as if no supporting evidence were necessary)
alter,"v. make an alteration to
v. remove the ovaries of"
poise,"n. a cgs unit of dynamic viscosity equal to one dyne-second per square centimeter; the viscosity of a fluid in which a force of one dyne per square centimeter maintains a velocity of 1 centimeter per second
n. a state of being balanced in a stable equilibrium
v. be motionless, in suspension"
exchange,"n. chemical process in which one atom or ion or group changes places with another
n. a mutual expression of views (especially an unpleasant one)
n. the act of changing one thing for another thing
n. the act of giving something in return for something received"
numerical,a. relating to or having ability to think in or work with numbers
glow,"n. a feeling of considerable warmth
n. a steady even light without flames
v. emit a steady even light without flames
v. have a complexion with a strong bright color, such as red or pink"
invalid,"n. someone who is incapacitated by a chronic illness or injury
v. force to retire, remove from active duty, as of firemen
a. having no cogency or legal force
s. no longer valid"
warrant,"n. a writ from a court commanding police to perform specified acts
n. a type of security issued by a corporation (usually together with a bond or preferred stock) that gives the holder the right to purchase a certain amount of common stock at a stated price"
prostitute,"n. a woman who engages in sexual intercourse for money
v. sell one's body; exchange sex for money"
starve,"v. be hungry; go without food
v. die of food deprivation
v. deprive of food
v. deprive of a necessity and cause suffering"
melancholy,"n. a feeling of thoughtful sadness
n. a constitutional tendency to be gloomy and depressed
s. characterized by or causing or expressing sadness"
tangible,"a. perceptible by the senses especially the sense of touch
a. (of especially business assets) having physical substance and intrinsic monetary value"
issue,"n. an important question that is in dispute and must be settled
n. one of a series published periodically
n. the act of providing an item for general use or for official purposes (usually in quantity)
n. supplies (as food or clothing or ammunition) issued by the government"
smear,"n. slanderous defamation
n. a thin tissue or blood sample spread on a glass slide and stained for cytologic examination and diagnosis under a microscope
v. stain by smearing or daubing with a dirty substance
v. make a smudge on; soil by smudging"
persistently,"r. in a persistent manner
r. with persistence"
tighten,"v. make tight or tighter
v. become tight or tighter"
glitter,"n. the quality of shining with a bright reflected light
n. the occurrence of a small flash or spark
v. be shiny, as if wet"
hostile,"n. troops belonging to the enemy's military forces
a. characterized by enmity or ill will
a. not belonging to your own country's forces or those of an ally
s. impossible to bring into friendly accord"
sturdy,s. substantially made or constructed
immediate,"s. of the present time and place
a. having no intervening medium
s. immediately before or after as in a chain of cause and effect
s. performed with little or no delay"
aftermath,n. the consequences of an event (especially a catastrophic event)
dignity,"n. the quality of being worthy of esteem or respect
n. formality in bearing and appearance
n. high office or rank or station"
glorious,"a. having or deserving or conferring glory
s. having great beauty and splendor"
trick,"n. a cunning or deceitful action or device
n. a period of work or duty
n. an attempt to get you to do something foolish or imprudent
n. (card games) in a single round, the sequence of cards played by all the players; the high card is the winner"
obedient,"a. dutifully complying with the commands or instructions of those in authority; the refractory remain unburdened""- Edmund Burke"
underestimate,"n. an estimation that is too low; an estimate that is less than the true or actual value
v. make too low an estimate of"
proverb,n. a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
stagger,"v. walk as if unable to control one's movements
v. walk with great difficulty
v. to arrange in a systematic order
v. astound or overwhelm, as with shock"
refugee,n. an exile who flees for safety
bound,"v. form the boundary of; be contiguous to
a. confined by bonds
a. held with another element, substance or material in chemical or physical union
a. secured with a cover or binding; often used as a combining form"
potential,"n. the inherent capacity for coming into being
a. existing in possibility"
postpone,v. hold back to a later time
penalty,"n. a payment required for not fulfilling a contract
n. the disadvantage or painful consequences of an action or condition
n. (games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game"
defensive,"n. an attitude of defensiveness (especially in the phrase `on the defensive')
a. intended or appropriate for defending against or deterring aggression or attack
s. attempting to justify or defend in speech or writing"
status,n. the relative position or standing of things or especially persons in a society
zeal,n. excessive fervor to do something or accomplish some end
epidemic,"n. a widespread outbreak of an infectious disease; many people are infected at the same time
a. (especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously"
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
conform,"v. be similar, be in line with"
avenue,"n. a line of approach
n. a wide street or thoroughfare"
snicker,"n. a disrespectful laugh
v. laugh quietly"
inscription,"n. letters inscribed (especially words engraved or carved) on something
n. the activity of inscribing (especially carving or engraving) letters or words"
specialize,"v. become more focus on an area of activity or field of study
v. suit to a special purpose
v. devote oneself to a special area of work"
glamorous,"s. having an air of allure, romance and excitement"
poll,"n. an inquiry into public opinion conducted by interviewing a random sample of people
n. the part of the head between the ears
n. a tame parrot
n. the counting of votes (as in an election)"
disrupt,v. throw into disorder
impractical,a. not practical; not workable or not given to practical matters
preoccupation,"n. an idea that preoccupies the mind and holds the attention
n. the mental state of being preoccupied by something"
budget,"n. a sum of money allocated for a particular purpose
n. a summary of intended expenditures along with proposals for how to meet them
v. make a budget"
envisage,v form a mental image of something that is not present or that is not the case
standstill,"n a situation in which no progress can be made or no advancement is possible
n an interruption of normal activity"
diagnose,"v. determine or distinguish the nature of a problem or an illness through a diagnostic analysis
v. subject to a medical analysis"
deplete,v use up (resources or materials)
filter,"n. device that removes something from whatever passes through it
n. an electrical device that alters the frequency spectrum of signals passing through it
v. remove by passing through a filter"
trigger,"n. a device that activates or releases or causes something to happen
n. an act that sets in motion some course of events
v. release or pull the trigger on"
donate,v. give to a charity or good cause
analyze,"v. consider in detail and subject to an analysis in order to discover essential features or meaning
v. make a mathematical, chemical, or grammatical analysis of; break down into components or essential features
v. break down into components or essential features"
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
stability,"n. the quality or attribute of being firm and steadfast
n. a stable order (especially of society)"
receptive,"s. open to arguments, ideas, or change
a. ready or willing to receive favorably
s. able to absorb liquid (not repellent)"
forthcoming,s. available when required or as promised
stall,"n. a compartment in a stable where a single animal is confined and fed
n. a booth where articles are displayed for sale
n. a malfunction in the flight of an aircraft in which there is a sudden loss of lift that results in a downward plunge
n. seating in the forward part of the main level of a theater"
imperative,"n. some duty that is essential and urgent
a. requiring attention or action
a. relating to verbs in the imperative mood"
triple,"n. a base hit at which the batter stops safely at third base
n. a quantity that is three times as great as another
v. increase threefold
v. hit a three-base hit"
neutral,"n. one who does not side with any party in a war or dispute
s. not supporting or favoring either side in a war, dispute, or contest
a. possessing no distinctive quality or characteristics
s. lacking distinguishing quality or characteristics"
beware,v. be on one's guard; be cautious or wary about; be alert to
condense,"v. undergo condensation; change from a gaseous to a liquid state and fall in drops
v. remove water from
v. cause a gas or vapor to change into a liquid
v. become more compact or concentrated"
sceptical,"s marked by or given to doubt
s denying or questioning the tenets of especially a religion"
notify,v inform (somebody) of something
transform,"v. subject to a mathematical transformation
v. change or alter in form, appearance, or nature
v. change in outward structure or looks
v. convert (one form of energy) to another"
superficial,"a. concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually
a. of, affecting, or being on or near the surface
s. of little substance or significance"
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
dramatic,"a. suitable to or characteristic of drama
s. sensational in appearance or thrilling in effect
a. pertaining to or characteristic of drama
a. used of a singer or singing voice that is marked by power and expressiveness and a histrionic or theatrical style"
version,"n. an interpretation of a matter from a particular viewpoint
n. something a little different from others of the same type
n. manual turning of a fetus in the uterus (usually to aid delivery)"
insert,"n. a folded section placed between the leaves of another publication
n. an artifact that is inserted or is to be inserted
v. put or introduce into something
v. introduce"
blandly,r. in a bland manner
tolerant,"a. showing respect for the rights or opinions or practices of others
s. able to tolerate environmental conditions or physiological stress
s. showing the capacity for endurance"
timid,"n. people who are fearful and cautious
a. showing fear and lack of confidence"
outbreak,n. a sudden violent spontaneous occurrence (usually of some undesirable condition)
detain,"v deprive of freedom; take into confinement
v stop or halt
v cause to be slowed down or delayed"
emerge,"v. come out into view, as from concealment
v. become known or apparent
v. come up to the surface of or rise"
exclude,"v. prevent from being included or considered or accepted
v. prevent from entering; shut out
v. lack or fail to include"
futile,s. producing no result or effect
scandal,"n. disgraceful gossip about the private lives of other people
n. a disgraceful event"
strategy,n. the branch of military science dealing with military command and the planning and conduct of a war
paradox,n. (logic) a statement that contradicts itself
index,"n. a numerical scale used to compare variables with one another or with some reference number
n. a number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal relative changes as a function of time
n. an alphabetical listing of names and topics along with page numbers where they are discussed
n. the finger next to the thumb"
preface,"n a short introductory essay preceding the text of a book
v furnish with a preface or introduction"
disintegrate,"v. break into parts or components or lose cohesion or unity
v. cause to undergo fission or lose particles
v. lose a stored charge, magnetic flux, or current"
trumpet,"v. proclaim on, or as if on, a trumpet
v. play or blow on the trumpet
v. utter in trumpet-like sounds"
characterize,v. be characteristic of
tolerate,"v. recognize and respect (rights and beliefs of others)
v. have a tolerance for a poison or strong drug or pathogen or environmental condition"
prosecute,"v. conduct a prosecution in a court of law
v. bring a criminal action against (in a trial)
v. carry out or participate in an activity; be involved in"
consecutive,"s. in regular succession without gaps
r. in a consecutive manner"
convention,"n. a large formal assembly
n. something regarded as a normative example
n. (diplomacy) an international agreement
n. the act of convening"
