abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
compress,"n. a cloth pad or dressing (with or without medication) applied firmly to some part of the body (to relieve discomfort or reduce fever)
v. make more compact by or as if by pressing
v. squeeze or press together"
comprise,"v be composed of
v include or contain; have as a component
v form or compose"
compromise,"n. a middle way between two extremes
n. an accommodation in which both sides make concessions
v. make a compromise; arrive at a compromise; we all must compromise""
v. settle by concession"
compulsory,s. required by rule
computation,"n the procedure of calculating; determining something by mathematical or logical methods
n problem solving that involves numbers or quantities"
conceal,v. hold back; keep from being perceived by others
concede,"v. admit (to a wrongdoing)
v. be willing to concede
v. give over; surrender or relinquish to the physical control of another
v. acknowledge defeat"
conceive,v. become pregnant; undergo conception
conceptual,s. being or characterized by concepts or their formation
concert,"n. a performance of music by players or singers not involving theatrical staging
v. contrive (a plan) by mutual agreement
v. settle by agreement"
concrete,"n. a strong hard building material composed of sand and gravel and cement and water
v. cover with cement
v. form into a solid mass; coalesce
a. capable of being perceived by the senses; not abstract or imaginary"
concurrent,s occurring or operating at the same time
condemn,"v. express strong disapproval of
v. declare or judge unfit for use or habitation
v. compel or force into a particular state or activity
v. demonstrate the guilt of (someone)"
condense,"v. undergo condensation; change from a gaseous to a liquid state and fall in drops
v. remove water from
v. cause a gas or vapor to change into a liquid
v. become more compact or concentrated"
condescending,"v behave in a patronizing and condescending manner
v do something that one considers to be below one's dignity
v debase oneself morally, act in an undignified, unworthy, or dishonorable way
v treat condescendingly
s (used of behavior or attitude) characteristic of those who treat others with condescension"
condominium,"n. one of the dwelling units in a condominium
n. housing consisting of a complex of dwelling units (as an apartment house) in which each unit is individually owned"
conduct,"v. direct the course of; manage or control
v. lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years""
v. lead musicians in the performance of"
confederation,"n. a union of political organizations
n. the act of forming an alliance or confederation"
confer,"v. have a conference in order to talk something over
v. present"
confess,"v. confess to a punishable or reprehensible deed, usually under pressure
v. confess to God in the presence of a priest, as in the Catholic faith"
confidential,"s. entrusted with private information and the confidence of another
s. (of information) given in confidence or in secret
s. denoting confidence or intimacy
s. the level of official classification for documents next above restricted and below secret; available only to persons authorized to see documents so classified"
configuration,n. an arrangement of parts or elements
confine,"v. prevent from leaving or from being removed
v. deprive of freedom; take into confinement"
confirm,"v. establish or strengthen as with new evidence or facts
v. strengthen or make more firm
v. make more firm
v. support a person for a position"
conform,"v. be similar, be in line with"
confront,"v. oppose, as in hostility or a competition
v. deal with (something unpleasant) head on
v. present somebody with something, usually to accuse or criticize
v. be face to face with"
Confucian,"n. a believer in the teachings of Confucius
a. relating to or characteristic of Confucianism"
congenial,"a. suitable to your needs
s. (used of plants) capable of cross-fertilization or of being grafted"
congested,s. overfull as with blood
conglomerate,"n. a group of diverse companies under common ownership and run as a single organization
s. composed of heterogeneous elements gathered into a mass"
congregation,"n. a group of people who adhere to a common faith and habitually attend a given church
n. an assemblage of people or animals or things collected together
n. the act of congregating"
congress,"n. the legislature of the United States government
n. a meeting of elected or appointed representatives
n. a national legislative assembly"
conscience,"n. motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions
n. conformity to one's own sense of right conduct
n. a feeling of shame when you do something immoral"
conscription,n. compulsory military service
consecutive,"s. in regular succession without gaps
r. in a consecutive manner"
consent,n. permission to do something
consequence,"n. a phenomenon that follows and is caused by some previous phenomenon
n. the outcome of an event especially as relative to an individual
n. having important effects or influence"
conservatively,r. in a conservative manner
conserve,"n. fruit preserved by cooking with sugar
v. keep constant through physical or chemical reactions or evolutionary change
v. keep in safety and protect from harm, decay, loss, or destruction
v. use cautiously and frugally"
consistency,"n. the property of holding together and retaining its shape
n. a harmonious uniformity or agreement among things or parts
n. logical coherence and accordance with the facts
n. (logic) an attribute of a logical system that is so constituted that none of the propositions deducible from the axioms contradict one another"
consortium,n. an association of companies for some definite purpose
conspire,"v. engage in plotting or enter into a conspiracy, swear together
v. act in unison or agreement and in secret towards a deceitful or illegal purpose"
constant,"n. a quantity that does not vary
n. a number representing a quantity assumed to have a fixed value in a specified mathematical context
a. steadfast in purpose or devotion or affection"
constellation,n. a configuration of stars as seen from the earth
constituent,"n. a member of a constituency; a citizen who is represented in a government by officials for whom he or she votes
n. (grammar) a word or phrase or clause forming part of a larger grammatical construction
s. constitutional in the structure of something (especially your physical makeup)"
constitute,v. form or compose
constraint,"n. the state of being physically constrained
n. the act of constraining; the threat or use of force to control the thoughts or behavior of others"
constrict,v. become tight or as if tight
consult,"v. get or ask advice from
v. seek information from
v. advise professionally"
consumption,"n. the process of taking food into the body through the mouth (as by eating)
n. (economics) the utilization of economic goods to satisfy needs or in manufacturing
n. the act of consuming something"
contaminate,v. make radioactive by adding radioactive material
contemplate,"v. look at thoughtfully; observe deep in thought
v. consider as a possibility"
contemporary,"n. a person of nearly the same age as another
s. characteristic of the present
s. belonging to the present time"
contemptuous,s. expressing extreme contempt
contend,"v. maintain or assert
v. be engaged in a fight; carry on a fight"
contiguous,s. very close or connected in space or time
contingent,"n. a gathering of persons representative of some larger group
n. a temporary military unit
s. possible but not certain to occur
s. determined by conditions or circumstances that follow"
contraband,n. goods whose importation or exportation or possession is prohibited by law
contract,"n. a binding agreement between two or more persons that is enforceable by law
n. (contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make
n. a variety of bridge in which the bidder receives points toward game only for the number of tricks he bid
v. enter into a contractual arrangement"
contraction,"n. (physiology) a shortening or tensing of a part or organ (especially of a muscle or muscle fiber)
n. a word formed from two or more words by omitting or combining some sounds
n. the act of decreasing (something) in size or volume or quantity or scope"
contradict,"v. be in contradiction with
v. deny the truth of"
control,"n. power to direct or determine
n. a relation of constraint of one entity (thing or person or group) by another
n. (physiology) regulation or maintenance of a function or action or reflex etc
n. the activity of managing or exerting control over something"
controversy,n. a contentious speech act; a dispute where there is strong disagreement
convection,"n. the transfer of heat through a fluid (liquid or gas) caused by molecular motion
n. (meteorology) the vertical movement of heat or other properties by massive motion within the atmosphere"
conversion,"n. an event that results in a transformation
n. a change in the units or form of an expression: ""conversion from Fahrenheit to Centigrade""
n. a successful free throw or try for point after a touchdown
n. a spiritual enlightenment causing a person to lead a new life"
convert,"n. a person who has been converted to another religious or political belief
v. change from one system to another or to a new plan or policy
v. change the nature, purpose, or function of something
v. change religious beliefs, or adopt a religious belief"
convey,"v. make known; pass on, of information
v. transfer to another
v. transmit a title or property"
conviction,"n. an unshakable belief in something without need for proof or evidence
n. (criminal law) a final judgment of guilty in a criminal case and the punishment that is imposed"
convince,"v make (someone) agree, understand, or realize the truth or validity of something"
convoluted,"v curl, wind, or twist together
v practice sophistry; change the meaning of or be vague about in order to mislead or deceive
s rolled longitudinally upon itself
s highly complex or intricate and occasionally devious"
coordinate,"n. a number that identifies a position relative to an axis
v. bring into common action, movement, or condition
v. be co-ordinated
s. of equal importance, rank, or degree"
copper,"n. a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor
n. a copper penny
n. a reddish-brown color resembling the color of polished copper
n. any of various small butterflies of the family Lycaenidae having coppery wings"
coral,"n. a variable color averaging a deep pink
n. the hard stony skeleton of a Mediterranean coral that has a delicate red or pink color and is used for jewelry
n. unfertilized lobster roe; reddens in cooking; used as garnish or to color sauces
n. marine colonial polyp characterized by a calcareous skeleton; masses in a variety of shapes often forming reefs"
cord,"n. a line made of twisted fibers or threads
n. a unit of amount of wood cut for burning; 128 cubic feet
n. a light insulated conductor for household use
n. a cut pile fabric with vertical ribs; usually made of cotton"
coronary,a. surrounding like a crown (especially of the blood vessels surrounding the heart)
corporate,"a. of or belonging to a corporation
s. done by or characteristic of individuals acting together
s. organized and maintained as a legal corporation"
corps,"n. an army unit usually consisting of two or more divisions and their support
n. a body of people associated together"
corral,"v. enclose in a corral
v. arrange wagons so that they form a corral
v. collect or gather"
correlate,"n. either of two or more related or complementary variables
v. to bear a reciprocal or mutual relation
v. bring into a mutual, complementary, or reciprocal relation"
correspond,v. exchange messages
corroborate,v. support with evidence or authority or make more certain or confirm
corrosion,"n. a state of deterioration in metals caused by oxidation or chemical action
n. erosion by chemical action"
corruption,"n. decay of matter (as by rot or oxidation)
n. moral perversion; impairment of virtue and moral principles
n. destroying someone's (or some group's) honesty or loyalty; undermining moral integrity
n. inducement (as of a public official) by improper means (as bribery) to violate duty (as by commiting a felony)"
cortex,n. the tissue forming the outer layer of an organ or structure in plant or animal
cosmetic,"n. a toiletry designed to beautify the body
s. serving an esthetic rather than a useful purpose
s. serving an aesthetic purpose in beautifying the body"
cosmic,"a. of or from or pertaining to or characteristic of the cosmos or universe
s. inconceivably extended in space or time"
council,"n. a body serving in an administrative capacity
n. (Christianity) an assembly of theologians and bishops and other representatives of different churches or dioceses that is convened to regulate matters of discipline or doctrine
n. a meeting of people for consultation"
counteract,v. oppose and mitigate the effects of by contrary actions
counterfeit,"n. a copy that is represented as the original
a. not genuine; imitating something superior"
countermeasure,n. an action taken to offset another action
counterpart,"n. a person or thing having the same function or characteristics as another
n. a duplicate copy"
countervail,"v compensate for or counterbalance
v oppose and mitigate the effects of by contrary actions"
coupon,"n. a negotiable certificate that can be detached and redeemed as needed
n. a test sample of some substance"
courier,n a person who carries a message
courtesy,"n. a courteous or respectful or considerate act
n. a courteous or respectful or considerate remark
n. a courteous manner"
cowhide,"n. leather made from the hide of a cow
n. the hide of a cow
n. a heavy flexible whip braided from leather made from the hide of a cow"
crack,"n. a long narrow opening
n. a sudden sharp noise
n. a blemish resulting from a break without complete separation of the parts
n. a purified and potent form of cocaine that is smoked rather than snorted; highly addictive"
cramped,s. constricted in size
crass,s. (of persons) so unrefined as to be lacking in discrimination and sensibility
crate,"n. a rugged box (usually made of wood); used for shipping
n. the quantity contained in a crate
v. put into a crate; as for protection"
creativity,n. the ability to create
credence,n. the mental attitude that something is believable and should be accepted as true
credit,"n. money available for a client to borrow
n. an accounting entry acknowledging income or capital items
n. used in the phrase `to your credit' in order to indicate an achievement deserving praise; 
n. arrangement for deferred payment for goods and services"
creditworthiness,n. trustworthiness with money as based on a person's credit history; a general qualification for borrowing
crest,"n. the top line of a hill, mountain, or wave
n. (heraldry) in medieval times, an emblem used to decorate a helmet
n. a showy growth of e.g. feathers or skin on the head of a bird or other animal
v. reach a high point"
criminology,n. the scientific study of crime and criminal behavior and law enforcement
cripple,"n. someone who is unable to walk normally because of an injury or disability to the legs or back
v. deprive of strength or efficiency; make useless or worthless
v. deprive of the use of a limb, especially a leg"
criteria,"n a basis for comparison; a reference point against which other things can be evaluated
n the ideal in terms of which something can be judged"
critic,"n. a person who is professionally engaged in the analysis and interpretation of works of art
n. anyone who expresses a reasoned judgment of something
n. someone who frequently finds fault or makes harsh and unfair judgments"
critique,"n an essay or article that gives a critical evaluation (as of a book or play)
n a serious examination and judgment of something
v appraise critically"
crossbred,a. bred from parents of different varieties or species
crucial,"a. of extreme importance; vital to the resolution of a crisis
s. having crucial relevance"
crude,"s. not carefully or expertly made
s. conspicuously and tastelessly indecent
s. belonging to an early stage of technical development; characterized by simplicity and (often) crudeness
s. not processed or subjected to analysis"
crusade,"n. any of the more or less continuous military expeditions in the 11th to 13th centuries when Christian powers of Europe tried to recapture the Holy Land from the Muslims
v. exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for
v. go on a crusade; fight a holy war"
crust,"n. the outer layer of the Earth
n. a hard outer layer that covers something
n. the trait of being rude and impertinent; inclined to take liberties
v. form a crust or form into a crust"
cryptic,"s. of an obscure nature
s. having a puzzling terseness"
cube,"n. a hexahedron with six equal squares as faces
n. the product of three equal terms
n. any of several tropical American woody plants of the genus Lonchocarpus whose roots are used locally as a fish poison and commercially as a source of rotenone
n. a block in the (approximate) shape of a cube"
cue,"n. an actor's line that immediately precedes and serves as a reminder for some action or speech
n. sports implement consisting of a tapering rod used to strike a cue ball in pool or billiards"
cuisine,n. the practice or manner of preparing food or the food so prepared
culminate,"v. end, especially to reach a final or climactic stage
v. bring to a head or to the highest point
v. reach the highest or most decisive point
v. reach the highest altitude or the meridian, of a celestial body"
culpability,n a state of guilt
cult,"n. followers of an exclusive system of religious beliefs and practices
n. followers of an unorthodox, extremist, or false religion or sect who often live outside of conventional society under the direction of a charismatic leader
n. a religion or sect that is generally considered to be unorthodox, extremist, or false
n. a system of religious beliefs and rituals"
cultivated,"a. (of land or fields) prepared for raising crops by plowing or fertilizing
s. no longer in the natural state; developed by human care and for human use"
cumbersome,s. difficult to handle or use especially because of size or weight
cupidity,n extreme greed for material wealth
curb,"n. an edge between a sidewalk and a roadway consisting of a line of curbstones (usually forming part of a gutter)
n. a horse's bit with an attached chain or strap to check the horse
v. keep to the curb"
currency,"n. the metal or paper medium of exchange that is presently used
n. general acceptance or use"
curriculum,n an integrated course of academic studies
curtail,"v place restrictions on
v terminate or abbreviate before its intended or proper end or its full extent"
customize,v. make according to requirements
customs,"n. money collected under a tariff
n. money collected under a tariff"
cutback,n. a reduction in quantity or rate
cyclic,"a. conforming to the Carnot cycle
a. forming a whorl or having parts arranged in a whorl
a. of a compound having atoms arranged in a ring structure"
cylinder,"n. a solid bounded by a cylindrical surface and two parallel planes (the bases)
n. a surface generated by rotating a parallel line around a fixed line
n. a chamber within which piston moves
n. a cylindrical container for oxygen or compressed air"
cylindrical,s. having the form of a cylinder
cynical,s. believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others
debase,v. lower in value by increasing the base-metal content
debate,"n. the formal presentation of a stated proposition and the opposition to it (usually followed by a vote)
v. argue with one another
v. discuss the pros and cons of an issue"
debris,n. the remains of something that has been destroyed or broken up
debunk,v. expose while ridiculing; especially of pretentious or false claims and ideas
decade,n. a period of 10 years
decay,"n. the process of gradually becoming inferior
n. a gradual decrease; as of stored charge or current
n. the organic phenomenon of rotting
n. an inferior state resulting from the process of decaying"
decimal,"n. a number in the decimal system
s. numbered or proceeding by tens; based on ten"
decimate,"v. kill one in every ten, as of mutineers in Roman armies"
decipher,v. read with difficulty
declension,"n. the inflection of nouns and pronouns and adjectives in Indo-European languages
n. a class of nouns or pronouns or adjectives in Indo-European languages having the same (or very similar) inflectional forms"
decorate,"v. make more attractive by adding ornament, colour, etc.
v. award a mark of honor, such as a medal, to"
decorous,a. characterized by propriety and dignity and good taste in manners and conduct
dedicated,a. devoted to a cause or ideal or purpose
deduce,"v. reason by deduction; establish by deduction
v. conclude by reasoning; in logic"
deduct,"v make a subtraction
v retain and refrain from disbursing; of payments
v reason by deduction; establish by deduction"
deem,v. keep in mind or convey as a conviction or view
default,"n. loss due to not showing up
n. act of failing to meet a financial obligation
v. fail to pay up"
defendant,n. a person or institution against whom an action is brought in a court of law; the person being sued or accused
deferential,s showing deference
defiant,a. boldly resisting authority or an opposing force
deficit,"n. the property of being an amount by which something is less than expected or required
n. a deficiency or failure in neurological or mental functioning
n. (sports) the score by which a team or individual is losing
n. an excess of liabilities over assets (usually over a certain period)"
definitive,"s. clearly defined or formulated
s. supplying or being a final or conclusive settlement"
deflect,"v. turn from a straight course, fixed direction, or line of interest
v. turn aside and away from an initial or intended course"
deform,"v. make formless
v. become misshapen
v. alter the shape of (something) by stress"
defrost,v. make or become free of frost or ice
degrade,"v. reduce the level of land, as by erosion
v. lower the grade of something; reduce its worth"
dehydrate,"v. preserve by removing all water and liquids from
v. remove water from"
deleterious,s. harmful to living things
deliberate,s. carefully thought out in advance
delicate,"a. exquisitely fine and subtle and pleasing; susceptible to injury
s. marked by great skill especially in meticulous technique
s. easily broken or damaged or destroyed
s. easily hurt"
delineate,"v. trace the shape of
v. describe in vivid detail"
delinquent,"n. a young offender
s. guilty of a misdeed
s. past due; not paid at the scheduled time"
delta,"n. a low triangular area of alluvial deposits where a river divides before entering a larger body of water
n. an object shaped like an equilateral triangle
n. the 4th letter of the Greek alphabet"
deluxe,"s. rich and superior in quality
s. elegant and sumptuous"
delve,"v turn up, loosen, or remove earth"
demobilization,n. act of changing from a war basis to a peace basis including disbanding or discharging troops
democrat,"n. a member of the Democratic Party
n. an advocate of democratic principles"
demographer,n. a scientist who studies the growth and density of populations and their vital statistics
demonstrably,r. in an obvious and provable manner
demonstrate,v. march in protest; take part in a demonstration
denote,"v. be a sign or indication of
v. have as a meaning"
dense,"s. permitting little if any light to pass through because of denseness of matter
s. hard to pass through because of dense growth
s. having high relative density or specific gravity
s. slow to learn or understand; lacking intellectual acuity"
denunciatory,s containing warning of punishment
depart,"v. leave
v. go away or leave"
depict,"v show in, or as in, a picture
v give a description of
v make a portrait of"
deplete,v use up (resources or materials)
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
deprecate,"v. express strong disapproval of; deplore
v. belittle"
depreciation,"n. a decrease in price or value
n. decrease in value of an asset due to obsolescence or use"
depress,"v. lower someone's spirits; make downhearted
v. lower (prices or markets)
v. lessen the activity or force of"
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
deprivation,"n a state of extreme poverty
n the disadvantage that results from losing something
n act of depriving someone of food or money or rights"
derive,"v. obtain
v. come from
v. develop or evolve from a latent or potential state
v. come from; be connected by a relationship of blood, for example"
descend,"v. move downward and lower, but not necessarily all the way"
description,"n. a statement that represents something in words
n. the act of describing something
n. sort or variety"
desegregation,n the action of incorporating a racial or religious group into a community
deserve,v. be worthy or deserving
designate,"v. assign a name or title to
s. appointed but not yet installed in office"
desire,"n. the feeling that accompanies an unsatisfied state
n. an inclination to want things
n. something that is desired
v. feel or have a desire for; want strongly"
despise,v look down on with disdain
detach,"v. cause to become detached or separated; take off
v. separate (a small unit) from a larger, especially for a special assignment
v. come to be detached"
detached,"s. being or feeling set or kept apart from others
s. no longer connected or joined
a. used of buildings; standing apart from others
s. lacking affection or warm feeling"
detection,"n. the perception that something has occurred or some state exists
n. the act of detecting something; catching sight of something
n. a police investigation to determine the perpetrator"
deter,v. try to prevent; show opposition to
deteriorate,v. become worse or disintegrate
devastate,v. overwhelm or overpower
devise,"n. a will disposing of real property
n. (law) a gift of real property by will
v. give by will, especially real property"
devoid,s completely wanting or lacking
dexterity,n. adroitness in using the hands
diagnose,"v. determine or distinguish the nature of a problem or an illness through a diagnostic analysis
v. subject to a medical analysis"
diagonal,"n. (geometry) a straight line connecting any two vertices of a polygon that are not adjacent
n. a line or cut across a fabric that is not at right angles to a side of the fabric
n. an oblique line of squares of the same color on a checkerboard
n. (mathematics) a set of entries in a square matrix running diagonally either from the upper left to lower right entry or running from the upper right to lower left entry"
dialect,n. the usage or vocabulary that is characteristic of a specific group of people
diameter,"n. the length of a straight line passing through the center of a circle and connecting two points on the circumference
n. a straight line connecting the center of a circle with two points on its perimeter (or the center of a sphere with two points on its surface)"
diaper,"n. garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement
n. a fabric (usually cotton or linen) with a distinctive woven pattern of small repeated figures"
dichotomy,n. being twofold; a classification into two opposed parts or subclasses
dictate,"n. an authoritative rule
n. a guiding principle
v. say out loud for the purpose of recording
v. rule as a dictator"
diesel,"n. German engineer (born in France) who invented the diesel engine (1858-1913)
n. an internal-combustion engine that burns heavy oil"
dietary,"n. a regulated daily food allowance
a. of or relating to the diet"
differentiate,"v. calculate a derivative; take the derivative
v. become different during development
v. become distinct and acquire a different character"
digest,"n. a periodical that summarizes the news
v. convert food into absorbable substances
v. arrange and integrate in the mind
v. put up with something or somebody unpleasant"
digit,"n. one of the elements that collectively form a system of numeration
n. a finger or toe in human beings or corresponding body part in other vertebrates"
dilemma,n. state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options
dilute,v. lessen the strength or flavor of a solution or mixture
dimension,"n. the magnitude of something in a particular direction (especially length or width or height)
n. one of three Cartesian coordinates that determine a position in space
v. indicate the dimensions on
v. shape or form to required dimensions"
diminish,"v. lessen the authority, dignity, or reputation of"
dinosaur,n. any of numerous extinct terrestrial reptiles of the Mesozoic era
dioxide,n. an oxide containing two atoms of oxygen in the molecule
diploma,n. a document certifying the successful completion of a course of study
diplomatic,"a. relating to or characteristic of diplomacy
a. using or marked by tact in dealing with sensitive matters or people"
dire,"s fraught with extreme danger; nearly hopeless
s causing fear or dread or terror"
disaster,n. an act that has disastrous consequences
discard,"n. anything that is cast aside or discarded
n. (cards) the act of throwing out a useless card or of failing to follow suit
n. getting rid something that is regarded as useless or undesirable
v. throw or cast away"
discern,v detect with the senses
discharge,"n. the sudden giving off of energy
n. the act of venting
n. a substance that is emitted or released
n. any of several bodily processes by which substances go out of the body"
disciple,n. someone who believes and helps to spread the doctrine of another
discipline,"n. a branch of knowledge
n. a system of rules of conduct or method of practice; 
n. the trait of being well behaved
n. training to improve strength or self-control"
discord,"n. lack of agreement or harmony
n. disagreement among those expected to cooperate
n. strife resulting from a lack of agreement"
discount,"n. the act of reducing the selling price of merchandise
v. give a reduction in price on"
discrepancy,"n. a difference between conflicting facts or claims or opinions
n. an event that departs from expectations"
discrete,s. constituting a separate entity or part
discretionary,"s. having or using the ability to act or decide according to your own discretion or judgment
s. (especially of funds) not earmarked; available for use as needed"
discriminate,"v. recognize or perceive the difference
v. treat differently on the basis of sex or race
v. distinguish
a. marked by the ability to see or make fine distinctions"
disdainful,s. having or showing arrogant superiority to and disdain of those one views as unworthy
disenchanted,a. freed from enchantment
disenfranchise,v. deprive of voting rights
disinclined,a. unwilling because of mild dislike or disapproval
dislocation,"n. an event that results in a displacement or discontinuity
n. the act of disrupting an established order so it fails to continue
n. a displacement of a part (especially a bone) from its normal position (as in the shoulder or the vertebral column)"
dislodge,"v. remove or force out from a position
v. remove or force from a position of dwelling previously occupied"
dismal,s causing dejection
dismantle,"v tear down so as to make flat with the ground
v take apart into its constituent pieces
v take off or remove"
dismay,v. fill with apprehension or alarm; cause to be unpleasantly surprised
disparaging,"v express a negative opinion of
s expressive of low opinion"
disparate,"s. fundamentally different or distinct in quality or kind
s. including markedly dissimilar elements"
dispel,"v force to go away; used both with concrete and metaphoric meanings
v to cause to separate and go in different directions"
dispense,v. grant a dispensation; grant an exemption
disperse,"v. to cause to separate and go in different directions
v. move away from each other; 
v. separate (light) into spectral rays"
dispose,"v. give, sell, or transfer to another
v. make receptive or willing towards an action or attitude or belief
v. place or put in a particular order"
disproportionate,"a. out of proportion
s. not proportionate"
disrupt,v. throw into disorder
disseminate,v cause to become widely known
dissent,"n. (law) the difference of one judge's opinion from that of the majority
n. a difference of opinion
v. withhold assent"
dissipate,"v. live a life of pleasure, especially with respect to alcoholic consumption"
dissociate,v. to undergo a reversible or temporary breakdown of a molecule into simpler molecules or atoms
distill,"v. undergo the process of distillation
v. extract by the process of distillation
v. give off (a liquid)"
distinct,"s. (often followed by `from') not alike; different in nature or quality
a. easy to perceive; especially clearly outlined
s. recognizable; marked"
distinguish,"v. mark as different
v. be a distinctive feature, attribute, or trait; sometimes in a very positive sense"
distort,"v make false by mutilation or addition; as of a message or story
v form into a spiral shape
v twist and press out of shape
v affect as in thought or feeling
v alter the shape of (something) by stress"
distribute,"v. administer or bestow, as in small portions
v. make available
v. give to several people
v. spread throughout a given area"
district,n. a region marked off for administrative or other purposes
disturb,"v. move deeply
v. damage as if by shaking or jarring"
diverge,"v. move or draw apart
v. have no limits as a mathematical series
v. extend in a different direction"
diverse,s. distinctly dissimilar or unlike
divest,"v. deprive of status or authority
v. reduce or dispose of; cease to hold (an investment)"
dividend,"n. that part of the earnings of a corporation that is distributed to its shareholders; usually paid quarterly
n. a number to be divided by another number
n. a bonus; something extra (especially a share of a surplus)"
divisible,a. capable of being or liable to be divided or separated
division,"n. an army unit large enough to sustain combat
n. the act or process of dividing
n. an administrative unit in government or business
n. discord that splits a group"
divisive,s dissenting (especially dissenting with the majority opinion)
divulge,v make known to the public information that was previously known only to a few people or that was meant to be kept a secret
doctorate,n one of the highest earned academic degrees conferred by a university
doctrine,n. a belief (or system of beliefs) accepted as authoritative by some group or school
dogma,"n. a religious doctrine that is proclaimed as true without proof
n. a doctrine or code of beliefs accepted as authoritative"
domain,"n. territory over which rule or control is exercised
n. (mathematics) the set of values of the independent variable for which a function is defined"
domestic,"n. a servant who is paid to perform menial tasks around the household
a. of concern to or concerning the internal affairs of a nation
a. of or relating to the home
a. of or involving the home or family"
domesticate,"v. adapt (a wild plant or unclaimed land) to the environment
v. overcome the wildness of; make docile and tractable
v. make fit for cultivation, domestic life, and service to humans"
dominate,"v. be in control
v. have dominance or the power to defeat over
v. look down on"
donate,v. give to a charity or good cause
dormant,"s. in a condition of biological rest or suspended animation
a. (of e.g. volcanos) not erupting and not extinct
s. lying with head on paws as if sleeping"
dose,"n. a measured portion of medicine taken at any one time
n. the quantity of an active agent (substance or radiation) taken in or absorbed at any one time
v. treat with an agent; add (an agent) to"
dough,n. a flour mixture stiff enough to knead or roll
downplay,"v represent as less significant or important
v understate the importance or quality of"
downstream,a. in the direction of a stream's current
drab,"s. lacking in liveliness or charm or surprise
s. lacking brightness or color; dull"
dramatize,"v. put into dramatic form
v. represent something in a dramatic manner"
drastic,s. forceful and extreme and rigorous
drift,"n. a force that moves something along
n. the gradual departure from an intended course due to external influences (as a ship or plane)
n. a process of linguistic change over a period of time
n. a large mass of material that is heaped up by the wind or by water currents"
drizzle,"n. very light rain; stronger than mist but less than a shower
v. rain lightly
v. moisten with fine drops"
dropout,"n. someone who quits school before graduation
n. someone who withdraws from a social group or environment"
drought,"n. a shortage of rainfall
n. a prolonged shortage"
dubious,s. not convinced
ductile,"s. easily influenced
s. capable of being shaped or bent or drawn out"
dump,"n. a piece of land where waste materials are dumped
n. (computer science) a copy of the contents of a computer storage device; sometimes used in debugging programs
n. a place where supplies can be stored
v. throw away as refuse"
dumpster,n. a container designed to receive and transport and dump waste
duplicate,"n. a copy that corresponds to an original exactly
v. make or do or perform again
v. make a duplicate or duplicates of
s. identically copied from an original"
durability,n permanence by virtue of the power to resist stress or force
dwarf,"n. a person who is markedly small
n. a plant or animal that is atypically small
v. check the growth of"
dwelling,n. housing that someone is living in
dye,"n. a usually soluble substance for staining or coloring e.g. fabrics or hair
v. color with dye"
dynamic,"a. characterized by action or forcefulness or force of personality
a. of or relating to dynamics"
ease,"n. freedom from difficulty or hardship or effort
n. a freedom from financial difficulty that promotes a comfortable state
n. freedom from constraint or embarrassment
v. move gently or carefully"
echolocation,n. determining the location of something by measuring the time it takes for an echo to return from it
eclipse,"n. one celestial body obscures another
v. cause an eclipse of (a celestial body) by intervention"
ecology,"n. the environment as it relates to living organisms
n. the branch of biology concerned with the relations between organisms and their environment"
ecosystem,n. a system formed by the interaction of a community of organisms with their physical environment
edge,"n. the boundary of a surface
n. a sharp side formed by the intersection of two surfaces of an object
n. the attribute of urgency in tone of voice
n. a slight competitive advantage"
edible,a. suitable for use as food
effect,"n. an impression (especially one that is artificial or contrived)
n. the central meaning or theme of a speech or literary work
n. (of a law) having legal validity
n. a symptom caused by an illness or a drug"
efficiency,"n. the ratio of the output to the input of any system
n. skillfulness in avoiding wasted time and effort"
effigy,n. a representation of a person (especially in the form of sculpture)
effluent,"n. water mixed with waste matter
s. that is flowing outward"
egalitarianism,n. the doctrine of the equality of mankind and the desirability of political and economic and social equality
egoistic,a. limited to or caring only about yourself and your own needs
eject,"v. put out or expel from a place
v. leave an aircraft rapidly, using an ejection seat or capsule"
elaborate,"v. add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v. produce from basic elements or sources; change into a more developed product
v. work out in detail
s. marked by complexity and richness of detail"
elective,"a. subject to popular election
s. not compulsory"
