cent,n. a fractional monetary unit of several countries
impressive,"a. making a strong or vivid impression
s. producing a strong effect"
compress,"n. a cloth pad or dressing (with or without medication) applied firmly to some part of the body (to relieve discomfort or reduce fever)
v. make more compact by or as if by pressing
v. squeeze or press together"
suppression,"n. the failure to develop some part or organ
n. the act of withholding or withdrawing some book or writing from publication or circulation
n. forceful prevention; putting down by power or authority"
compression,"n. the process or result of becoming smaller or pressed together
n. encoding information while reducing the bandwidth or bits required
n. applying pressure"
repress,"v. put down by force or intimidation
v. block the action of"
pressing,"n. a metal or plastic part that is made by a mechanical press
s. compelling immediate action"
drawback,n. the quality of being a hindrance
withdraw,"v. pull back or move away or backward
v. remove (a commodity) from (a supply source)"
drag,"n. the phenomenon of resistance to motion through a fluid
n. something that slows or delays progress
n. something tedious and boring
n. clothing that is conventionally worn by the opposite sex (especially women's clothing when worn by a man)"
draggy,none
drawl,"n. a slow speech pattern with prolonged vowels
v. lengthen and slow down or draw out"
closet,"n. a small private room for study or prayer
v. confine to a small space, as for intensive work"
exclude,"v. prevent from being included or considered or accepted
v. prevent from entering; shut out
v. lack or fail to include"
conclude,"v. bring to a close
v. reach a conclusion after a discussion or deliberation
v. come to a close
v. reach agreement on"
include,"v. have as a part, be made up out of
v. consider as part of something
v. add as part of something else; put in as part of a set, group, or category"
enclose,"v. close in; darkness enclosed him""
v. surround completely"
closure,"n. a rule for limiting or ending debate in a deliberative body
n. a Gestalt principle of organization holding that there is an innate tendency to perceive incomplete objects as complete and to close or fill gaps and to perceive asymmetric stimuli as symmetric
n. termination of operations
v. terminate debate by calling for a vote"
disclose,v. disclose to view as by removing a cover
exclusive,"n. a news report that is reported first by one news organization
s. not divided or shared with others
a. excluding much or all; especially all but a particular group or minority"
cover,"n. the act of concealing the existence of something by obstructing the view of it
n. fire that makes it difficult for the enemy to fire on your own individuals or formations
n. a recording of a song that was first recorded or made popular by somebody else
n. a false identity and background (especially one created for an undercover agent)"
discover,"v. make a discovery, make a new finding
v. make a discovery
v. see for the first time; make a discovery"
discovery,"n. the act of discovering something
n. something that is discovered
n. a productive insight
n. (law) compulsory pretrial disclosure of documents relevant to a case; enables one side in a litigation to elicit information from the other side concerning the facts in the case"
recover,"v. get or find back; recover the use of
v. regain a former condition after a financial loss
v. regain or make up for
v. cover anew"
coverage,"n. the total amount and type of insurance carried
n. the extent to which something is covered
n. the news as presented by reporters for newspapers or radio or television"
hardcover,"n a book with cardboard or cloth or leather covers
s having a hard back or cover"
covert,"n. a flock of coots
a. secret or hidden; not openly practiced or engaged in or shown or avowed
s. (of a wife) being under the protection of her husband"
softcover,none
tolerate,"v. recognize and respect (rights and beliefs of others)
v. have a tolerance for a poison or strong drug or pathogen or environmental condition"
tolerable,a. capable of being borne or endured
tolerant,"a. showing respect for the rights or opinions or practices of others
s. able to tolerate environmental conditions or physiological stress
s. showing the capacity for endurance"
intolerant,a. unwilling to tolerate difference of opinion
intolerance,"n. impatience with annoyances
n. unwillingness to recognize and respect differences in opinions or beliefs"
claim,"n. an assertion of a right (as to money or property)
n. an assertion that something is true or factual
n. demand for something as rightful or due
n. an informal right to something"
exclaim,"v. utter aloud; often with surprise, horror, or joy"
acclaim,"n. enthusiastic approval
v. praise vociferously"
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
clamorous,s conspicuously and offensively loud; given to vehement outcry
clamor,"n. loud and persistent outcry from many people
v. make loud demands
v. utter or proclaim insistently and noisily"
insure,v. take out insurance for
insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
assure,"v. inform positively and with certainty and confidence
v. assure somebody of the truth of something with the intention of giving the listener confidence"
assuredly,r. without a doubt
reassure,"v. cause to feel sure; give reassurance to
v. give or restore confidence in; cause to feel sure or certain"
assurance,"n. freedom from doubt; belief in yourself and your abilities
n. a binding commitment to do or give or refrain from something
n. a statement intended to inspire confidence
n. a British term for some kinds of insurance"
double,"n. a base hit on which the batter stops safely at second base
n. a stand-in for movie stars to perform dangerous stunts
n. someone who closely resembles a famous person (especially an actor)
n. a quantity that is twice as great as another"
doubt,"n. the state of being unsure of something
n. uncertainty about the truth or factuality or existence of something
v. consider unlikely or have doubts about
v. lack confidence in or have doubts about"
dual,s. a grammatical number category referring to two items or units as opposed to one item (singular) or more than two items (plural)
duet,"n. two performers or singers who perform together
n. a musical composition for two performers"
duplicate,"n. a copy that corresponds to an original exactly
v. make or do or perform again
v. make a duplicate or duplicates of
s. identically copied from an original"
dubious,s. not convinced
redouble,"v. double in magnitude, extent, or intensity
v. double again
v. make twice as great or intense"
unite,"v. act in concert or unite in a common purpose or belief
v. have or possess in combination
v. bring together for a common purpose or action or ideology or in a shared situation
v. join or combine"
uniform,"n. clothing of distinctive design worn by members of a particular group as a means of identification
v. provide with uniforms
a. always the same; showing a single form or character in all occurrences
s. evenly spaced"
unity,"n an undivided or unbroken completeness or totality with nothing wanting
n the smallest whole number or a numeral representing this number
n the quality of being united into one"
unify,v. become one
moral,"n. the significance of a story or event
a. concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles
s. psychological rather than physical or tangible in effect"
morale,n. a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose
demoralize,v. confuse or put into disorder
mores,n. (sociology) the conventions that embody the fundamental values of a group
negative,"n. a reply of denial
n. a piece of photographic film showing an image with light and shade or colors reversed
a. characterized by or displaying negation or denial or opposition or resistance; having no positive features
a. expressing or consisting of a negation or refusal or denial"
neglect,"n. the state of something that has been unused and neglected
v. leave undone or leave out
v. fail to attend to
v. give little or no attention to"
negligence,"n. failure to act with the prudence that a reasonable person would exercise under the same circumstances
n. the trait of neglecting responsibilities and lacking concern"
negligible,"s. so small as to be meaningless; insignificant
s. not worth considering"
negate,v. prove negative; show to be false
renege,v. fail to fulfill a promise or obligation
similar,"a. marked by correspondence or resemblance
s. (of words) expressing closely related meanings"
resemble,v. appear like; be similar or bear a likeness to
assemble,"v. create by putting components or members together
v. get people together"
similarity,"n. the quality of being similar
n. a Gestalt principle of organization holding that (other things being equal) parts of a stimulus field that are similar to each other tend to be perceived as belonging together as a unit"
simultaneous,s occurring or operating at the same time
simulate,v. make a pretence of
dissimilar,a. not similar
resemblance,n. similarity in appearance or external or superficial details
verisimilar,s. appearing to be true or real
via,"n. A road way.
prep. By the way of; as, to send a letter via Queenstown to
   London."
obvious,a. easily perceived by the senses or grasped by the mind
previous,"s. just preceding something else in time or order
s. too soon or too hasty"
convey,"v. make known; pass on, of information
v. transfer to another
v. transmit a title or property"
convoy,"n. a procession of land vehicles traveling together
n. a collection of merchant ships with an escort of warships
n. the act of escorting while in transit
v. escort in transit"
trivial,s. concerned with trivialities
deviate,"v. turn aside; turn away from
v. be at variance with; be out of line with
v. cause to turn away from a previous or expected course"
viaduct,n. bridge consisting of a series of arches supported by piers used to carry a road (or railroad) over a valley
fragile,s. vulnerably delicate
fragment,"n. a piece broken off or cut off of something else
n. an incomplete piece"
fraction,"n. a component of a mixture that has been separated by a fractional process
n. a small part or item forming a piece of a whole
n. the quotient of two rational numbers"
fracture,"n. breaking of hard tissue such as bone
n. the act of cracking something
v. violate or abuse
v. interrupt, break, or destroy"
frail,"n. the weight of a frail (basket) full of raisins or figs; between 50 and 75 pounds
n. a basket for holding dried fruit (especially raisins or figs)
a. physically weak"
temper,"n. a characteristic (habitual or relatively temporary) state of feeling
n. a disposition to exhibit uncontrolled anger
n. the elasticity and hardness of a metal object; its ability to absorb considerable energy before cracking
v. harden by reheating and cooling in oil"
temporary,"n a worker (especially in an office) hired on a temporary basis
a not permanent; not lasting
s lacking continuity or regularity"
contemporary,"n. a person of nearly the same age as another
s. characteristic of the present
s. belonging to the present time"
temperate,"a. (of weather or climate) free from extremes; mild; or characteristic of such weather or climate
a. not extreme in behavior"
tempest,n. (literary) a violent wind
extempore,"s with little or no preparation or forethought
r without prior preparation"
progress,"n. the act of moving forward (as toward a goal)
n. a movement forward
v. develop in a positive way"
congress,"n. the legislature of the United States government
n. a meeting of elected or appointed representatives
n. a national legislative assembly"
digress,"v. lose clarity or turn aside especially from the main subject of attention or course of argument in writing, thinking, or speaking"
retrogress,"v get worse or fall back to a previous condition
v go back to bad behavior"
transgress,"v. act in disregard of laws, rules, contracts, or promises
v. spread over land, especially along a subsiding shoreline
v. pass beyond (limits or boundaries)"
aggression,"n. a disposition to behave aggressively
n. a feeling of hostility that arouses thoughts of attack
n. violent action that is hostile and usually unprovoked
n. the act of initiating hostilities"
police,n. the force of policemen and officers
politician,"n. a leader engaged in civil administration
n. a person active in party politics
n. a schemer who tries to gain advantage in an organization in sly or underhanded ways"
policy,"n. a plan of action adopted by an individual or social group
n. a line of argument rationalizing the course of action of a government
n. written contract or certificate of insurance"
politics,"n. social relations involving intrigue to gain authority or power
n. the study of government of states and other political units
n. the profession devoted to governing and to political affairs
n. the opinion you hold with respect to political questions"
metropolis,"n a large and densely populated urban area; may include several independent administrative districts
n people living in a large densely populated municipality"
civilian,"n. a nonmilitary citizen
a. associated with civil life or performed by persons who are not active members of the military"
civic,a. of or relating or belonging to a city
civil,"s. applying to ordinary citizens as contrasted with the military
a. not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others
a. of or occurring within the state or between or among citizens of the state
a. of or relating to or befitting citizens as individuals"
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
civilize,v. raise from a barbaric to a civilized state
civility,n. formal or perfunctory politeness
harmony,"n. compatibility in opinion and action
n. the structure of music with respect to the composition and progression of chords
n. a harmonious state of things in general and of their properties (as of colors and sounds); congruity of parts with one another and with the whole
n. agreement of opinions"
harmonious,"a. musically pleasing
s. exhibiting equivalence or correspondence among constituents of an entity or between different entities
s. suitable and fitting
s. existing together in harmony"
harmonic,"n. a tone that is a component of a complex sound
n. any of a series of musical tones whose frequencies are integral multiples of the frequency of a fundamental
a. of or relating to harmony as distinct from melody and rhythm
a. of or relating to harmonics"
harmonical,s involving or characterized by harmony
tour,"n. a journey or route all the way around a particular place or area
v. make a tour of a certain place"
tournament,"n. a sporting competition in which contestants play a series of games to decide the winner
n. a series of jousts between knights contesting for a prize"
contour,"n. a line drawn on a map connecting points of equal height
n. a feature (or the order or arrangement of features) of anything having a complex structure
v. form the contours of"
detour,"n. a roundabout road (especially one that is used temporarily while a main route is blocked)
v. travel via a detour"
attorney,n a professional person authorized to practice law; conducts lawsuits or gives legal advice
quiet,"a. characterized by an absence or near absence of agitation or activity
a. free of noise or uproar; or making little if any sound
s. not showy or obtrusive
a. of the sun characterized by a low level of surface phenomena like sunspots e.g."
disquiet,n. the trait of seeming ill at ease
quietude,n a state of peace and quiet
inquietude,n feelings of anxiety that make you tense and irritable
acquiescence,n. acceptance without protest
influence,"n. a power to affect persons or events especially power based on prestige etc
n. causing something without any direct or apparent effort
n. a cognitive factor that tends to have an effect on what you do
n. the effect of one thing (or person) on another"
fluid,"n. a substance that is fluid at room temperature and pressure
n. continuous amorphous matter that tends to flow and to conform to the outline of its container: a liquid or a gas
s. subject to change; variable
s. characteristic of a fluid; capable of flowing and easily changing shape"
fluency,"n. skillfulness in speaking or writing
n. the quality of being facile in speech and writing"
flush,"n. a poker hand with all 5 cards in the same suit
n. a sudden rapid flow (as of water)
v. flow freely
v. glow or cause to glow with warm color or light"
affluent,"n. an affluent person; a person who is financially well off
s. having an abundant supply of money or possessions of value"
influenza,n. an acute febrile highly contagious viral disease
superfluous,"s serving no useful purpose; having no excuse for being
s more than is needed, desired, or required"
liquid,"n. a substance that is liquid at room temperature and pressure
n. the state in which a substance exhibits a characteristic readiness to flow with little or no tendency to disperse and relatively high incompressibility
n. fluid matter having no fixed shape but a fixed volume
n. a frictionless continuant that is not a nasal consonant (especially `l' and `r')"
liquor,"n. an alcoholic beverage that is distilled rather than fermented
n. a liquid substance that is a solution (or emulsion or suspension) used or obtained in an industrial process
n. the liquid in which vegetables or meat have be cooked"
liquidity,n. being in cash or easily convertible to cash; debt paying ability
liquidate,"v. eliminate by paying off (debts)
v. convert into cash
v. settle the affairs of by determining the debts and applying the assets to pay them off"
gene,n. (genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity
generation,"n. group of genetically related organisms constituting a single step in the line of descent
n. the normal time between successive generations
n. a stage of technological development or innovation
n. the production of heat or electricity"
generous,"a. willing to give and share unstintingly
a. not petty in character and mind
s. more than adequate"
generate,"v. bring into existence
v. produce (energy)"
genius,"n. someone who has exceptional intellectual ability and originality
n. exceptional creative ability"
genuine,"a. not fake or counterfeit
s. not pretended; sincerely felt or expressed"
engender,v. call forth
ingenious,s showing inventiveness and skill
generosity,"n. the trait of being willing to give your money or time
n. acting generously"
capital,"n. assets available for use in the production of further assets
n. wealth in the form of money or property owned by a person or business and human resources of economic value
n. a seat of government
n. one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis; capitals were kept in the upper half of the type case and so became known as upper-case letters"""
cape,"n. a strip of land projecting into a body of water
n. a sleeveless garment like a cloak but shorter"
precipitous,"s done with very great haste and without due deliberation
s extremely steep"
capitulate,v. surrender under agreed conditions
precipitate,"n. a precipitated solid substance in suspension or after settling or filtering
v. bring about abruptly
v. separate as a fine suspension of solid particles
v. fall from clouds"
dentist,n. a person qualified to practice dentistry
denture,n. a dental appliance that artificially replaces missing teeth
indenture,"n. formal agreement between the issuer of bonds and the bondholders as to terms of the debt
n. a contract binding one party into the service of another for a specified term
v. bind by or as if by indentures, as of an apprentice or servant"
edentate,n. primitive terrestrial mammal with few if any teeth; of tropical Central America and South America
dent,"n. an appreciable consequence (especially a lessening)
n. an impression in a surface (as made by a blow)"
limit,"n. the greatest possible degree of something
n. as far as something can go
n. the boundary of a specific area
n. the mathematical value toward which a function goes as the independent variable approaches infinity"
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
preliminary,"n. a minor match preceding the main event
n. something that serves as a preceding event or introduces what follows
s. denoting an action or event preceding or in preparation for something more important; designed to orient or acquaint with a situation before proceeding"
limp,"v. walk impeded by some physical limitation or injury
v. proceed slowly or with difficulty
s. not firm
s. lacking in strength or firmness or resilience"
supraliminal,none
compare,"v. examine and note the similarities or differences of
v. be comparable
v. consider or describe as similar, equal, or analogous
v. to form the comparative or superlative form on an adjective or adverb"
comparison,"n. the act of examining resemblances
n. relation based on similarities and differences
n. qualities that are comparable"
comparable,"a. able to be compared or worthy of comparison
s. conforming in every respect"
imparity,"n. Inequality; disparity; disproportion; difference of
   degree, rank, excellence, number, etc.
n. Lack of comparison, correspondence, or suitableness;
   incongruity.
n. Indivisibility into equal parts; oddness."
disparity,n. inequality or difference in some respect
disparate,"s. fundamentally different or distinct in quality or kind
s. including markedly dissimilar elements"
nonpareil,"n. colored beads of sugar used as a topping on e.g. candies and cookies
n. a flat disk of chocolate covered with beads of colored sugar"
apparent,"s. clearly revealed to the mind or the senses or judgment
s. appearing as such but not necessarily so"
transparent,s. easily understood or seen through (because of a lack of subtlety)
apparel,n. clothing in general
apparition,"n. a ghostly appearing figure
n. the appearance of a ghostlike figure
n. something existing in perception only"
transparency,"n. permitting the free passage of electromagnetic radiation
n. the quality of being clear and transparent"
prepare,"v. to prepare verbally, either for written or spoken delivery
v. educate for a future role or function
v. lead up to and soften by sounding the dissonant note in it as a consonant note in the preceding chord"
repair,"n. the act of putting something in working order again
n. a formal way of referring to the condition of something
v. restore by replacing a part or putting together what is torn or broken
v. move, travel, or proceed toward some place"
apparatus,"n. equipment designed to serve a specific function
n. (anatomy) a group of body parts that work together to perform a given function"
biparous,s. producing two offspring at a time
multiparous,a. producing more than one offspring at a time
parentage,n. the kinship relation of an offspring to the parents
primiparous,a. of or relating to a woman who has given birth only once
contest,"n. an occasion on which a winner is selected from among two or more contestants
n. a struggle between rivals
v. to make the subject of dispute, contention, or litigation"
protest,"n. a formal and solemn declaration of objection
n. the act of protesting; a public (often organized) manifestation of dissent
n. the act of making a strong public expression of disagreement and disapproval
v. utter words of protest"
testify,"v. give testimony in a court of law
v. provide evidence for"
testimony,"n. a solemn statement made under oath
n. an assertion offering firsthand authentication of a fact
n. something that serves as evidence"
available,"a. obtainable or accessible and ready for use or service
s. not busy; not otherwise committed
s. convenient for use or disposal"
valuable,"n. something of value
a. having great material or monetary value especially for use or exchange
s. having worth or merit or value"
evaluate,v. form a critical opinion of
equivalent,"n. a person or thing equal to another in value or measure or force or effect or significance etc
n. the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen
s. being essentially equal to something"
invaluable,"s. having incalculable monetary, intellectual, or spiritual worth"
undervalue,"v. assign too low a value to
v. esteem lightly"
prejudice,"v. disadvantage by prejudice
v. influence (somebody's) opinion in advance"
adjudge,v declare to be
judgment,"n. an opinion formed by judging something
n. the act of judging or assessing a person or situation or event
n. (law) the determination by a court of competent jurisdiction on matters submitted to it
n. the cognitive process of reaching a decision or drawing conclusions"
prejudge,"v. judge beforehand, especially without sufficient evidence"
judicial,"s. decreed by or proceeding from a court of justice
a. belonging or appropriate to the office of a judge
a. relating to the administration of justice or the function of a judge"
adjudicate,"v put on trial or hear a case and sit as the judge at the trial of
v bring to an end; settle conclusively"
quit,"v put an end to a state or an activity
v give up or retire from a position
v go away or leave
v turn away from; give up
v give up in the face of defeat of lacking hope; admit defeat"
requital,n. an act of requiting; returning in kind
quitclaim,"n. document transferring title or right or claim to another
n. act of transferring a title or right or claim to another"
requite,v. make repayment for or return something
acquit,v. pronounce not guilty of criminal charges
acquittal,n. a judgment of not guilty
criminal,"n. someone who has committed a crime or has been legally convicted of a crime
s. guilty of crime or serious offense
s. involving or being or having the nature of a crime"
discriminate,"v. recognize or perceive the difference
v. treat differently on the basis of sex or race
v. distinguish
a. marked by the ability to see or make fine distinctions"
incrimination,n. an accusation that you are responsible for some lapse or misdeed
incriminate,v. suggest that someone is guilty
recriminate,v. return an accusation against someone or engage in mutual accusations; charge in return
front,"n. the side that is forward or prominent
n. the outward appearance of a person
n. the side that is seen or that goes first
n. a sphere of activity involving effort"
frontal,"n. a drapery that covers the front of an altar
s. belonging to the front part
a. of or relating to the front of an advancing mass of air
s. meeting front to front"
confront,"v. oppose, as in hostility or a competition
v. deal with (something unpleasant) head on
v. present somebody with something, usually to accuse or criticize
v. be face to face with"
affront,"n a deliberately offensive act or something producing the effect of deliberate disrespect
v treat, mention, or speak to rudely"
forefront,n. the part in the front or nearest the viewer
touch,"n. the event of something coming in contact with the body
n. the faculty by which external objects or forces are perceived through contact with the body (especially the hands)
n. a suggestion of some quality
n. a distinguishing style"
untouchable,"n. belongs to lowest social and ritual class in India
s. beyond the reach of criticism or attack or impeachment
s. forbidden to the touch
s. ( especially used in traditional Hindu belief of the lowest caste or castes) defiling"
touched,a. having come into contact
touching,"n the event of something coming in contact with the body
n the act of putting two things together with no space between them
v make physical contact with, come in contact with
v perceive via the tactile sense
v affect emotionally
v be relevant to
v be in direct physical contact with; make contact
v have an effect upon
v deal with; usually used with a form of negation
v cause to be in brief contact with
v to extend as far as
v be equal to in quality or ability
v tamper with
v make a more or less disguised reference to
v comprehend
v consume
v color lightly
s arousing affect"
touchy,"s quick to take offense
s difficult to handle; requiring great tact"
forecast,v. predict in advance
newscast,n. a broadcast of news or commentary on the news
recast,"v. cast again, in a different role
v. cast again
v. cast or model anew"
downcast,"n. a ventilation shaft through which air enters a mine
s. directed downward"
overcast,"n. a long whipstitch or overhand stitch overlying an edge to prevent raveling
n. a cast that falls beyond the intended spot
v. make overcast or cloudy"
punch,"n. (boxing) a blow with the fist
n. an iced mixed drink usually containing alcohol and prepared for multiple servings; normally served in a punch bowl
n. a tool for making holes or indentations
v. deliver a quick blow to"
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
disappoint,v. fail to meet the hopes or expectations of
punctual,a. acting or arriving or performed exactly at the time appointed
pointer,"n. an indicator as on a dial
n. a strong slender smooth-haired dog of Spanish origin having a white coat with brown or black patches; scents out and points to game"
punctuality,n. the quality or habit of adhering to an appointed time
puncture,"n. loss of air pressure in a tire when a hole is made by some sharp object
n. a small hole made by a sharp object
n. the act of puncturing or perforating
v. pierce with a pointed object; make a hole into"
pungent,s. strong and sharp
numerable,s that can be counted
numerous,s. amounting to a large indefinite number
innumerable,s too numerous to be counted
supernumerary,"n. a person serving no apparent function
n. a minor actor in crowd scenes"
enumerate,v. specify individually
central,"n. a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication
a. in or near a center or constituting a center; the inner area"
concentrate,"n. a concentrated form of a foodstuff; the bulk is reduced by removing water
n. a concentrated example of something
v. make denser, stronger, or purer
v. direct one's attention on something"
eccentric,"n. a person with an unusual or odd personality
a. not having a common center; not concentric"
xenocentric,none
face,"n. the front of the human head from the forehead to the chin and ear to ear
n. the general outward appearance of something
n. the striking or working surface of an implement
n. a part of a person that is used to refer to a person"
surface,"n. the outer boundary of an artifact or a material layer constituting or resembling such a boundary
n. the extended two-dimensional outer boundary of a three-dimensional object
n. the outermost level of the land or sea
n. a superficial aspect as opposed to the real nature of something"
facet,n. a smooth surface (as of a bone or cut gemstone)
preface,"n a short introductory essay preceding the text of a book
v furnish with a preface or introduction"
deface,v. mar or spoil the appearance of
memory,"n. something that is remembered
n. the cognitive processes whereby past experience is remembered
n. the power of retaining and recalling past experience
n. an electronic memory device"
memorize,v. commit to memory; learn by heart
remember,"v. recall knowledge from memory; have a recollection
v. keep in mind for attention or consideration
v. recapture the past; indulge in memories
v. show appreciation to"
memorable,s. worth remembering
memorial,"n. a recognition of meritorious service
n. a written statement of facts submitted in conjunction with a petition to an authority
n. a structure erected to commemorate persons or events"
amnesiac,"n a person suffering from amnesia
s suffering from a partial loss of memory"
alike,"a. having the same or similar characteristics
r. equally
r. in a like manner"
amend,v. make amendments to
aloud,r. using the voice; not silently
alone,"s. isolated from others
s. lacking companions or companionship
s. exclusive of anyone or anything else
s. radically distinctive and without equal"
arise,"v. originate or come into being
v. rise to one's feet
v. result or issue"
awake,a. not in a state of sleep; completely conscious
aware,a. (sometimes followed by `of') having or showing knowledge or understanding or realization or perception
avoid,"v. stay clear from; keep away from; keep out of the way of someone or something
v. refrain from doing something"
await,v look forward to the probable occurrence of
abase,v cause to feel shame; hurt the pride of
afresh,r. again but in a new or different way
amass,"v collect or gather
v get or gather together"
asleep,"a. in a state of sleep
s. lacking sensation
s. dead
r. into a sleeping state"
away,"s. not present; having left
a. used of an opponent's ground
s. (of a baseball pitch) on the far side of home plate from the batter
r. from a particular thing or place or position (`forth' is obsolete)"
ahead,"s. having the leading position or higher score in a contest
r. at or in the front
r. toward the future; forward in time
r. in a forward direction"
alive,"a. possessing life
s. (often followed by `with') full of life and spirit
s. (followed by `to' or `of') aware of
s. capable of erupting"
aside,"n. a line spoken by an actor to the audience but not intended for others on the stage
r. on or to one side
r. out of the way (especially away from one's thoughts)
r. placed or kept separate and distinct as for a purpose"
amoral,none
apathy,"n. an absence of emotion or enthusiasm
n. the trait of lacking enthusiasm for or interest in things generally"
asocial,s. given to avoiding association with others
asymmetry,n. (mathematics) a lack of symmetry
atypical,"a. not representative of a group, class, or type
s. deviating from normal expectations; somewhat odd, strange, or abnormal"
arrange,"v. put into a proper or systematic order
v. make arrangements for
v. adapt for performance in a different way
v. arrange thoughts, ideas, temporal events"
assure,"v. inform positively and with certainty and confidence
v. assure somebody of the truth of something with the intention of giving the listener confidence"
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
attract,"v. direct toward itself or oneself by means of some psychological power or physical attributes
v. be attractive to
v. exert a force on (a body) causing it to approach or prevent it from moving away"
accelerate,"v. move faster
v. cause to move faster"
accompany,v. go or travel along with
accumulate,v. collect or gather
attain,"v to gain with effort
v reach a point in time, or a certain state or level
v find unexpectedly
v reach a destination, either real or abstract"
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
arrest,n. the state of inactivity following an interruption
assist,"n. (sports) the act of enabling another player to make a good play
v. act as an assistant in a subordinate or supportive function"
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
affirm,"v. to declare or affirm solemnly and formally as true
v. say yes to"
applause,n. a demonstration of approval by clapping the hands together
assault,"n. close fighting during the culmination of a military attack
n. a threatened or attempted physical attack by someone who appears to be able to cause bodily harm if not stopped
n. thoroughbred that won the triple crown in 1946"
aggravate,"v make worse
v exasperate or irritate"
abbreviate,v. shorten
aggression,"n. a disposition to behave aggressively
n. a feeling of hostility that arouses thoughts of attack
n. violent action that is hostile and usually unprovoked
n. the act of initiating hostilities"
affliction,"n. a state of great suffering and distress due to adversity
n. a condition of suffering or distress due to ill health
n. a cause of great suffering and distress"
appease,"v cause to be more favorably inclined; gain the good will of
v overcome or allay
v make peace with"
addict,"n. someone who is so ardently devoted to something that it resembles an addiction
n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms
v. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
adept,s. having or showing knowledge and skill and aptitude
adjust,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim"
adventure,n. a wild and exciting undertaking (not necessarily lawful)
adapt,"v. make fit for, or change to suit a new purpose"
administrate,v work in an administrative capacity; supervise or be in charge of
admire,"v. feel admiration for
v. look at with admiration"
adopt,"v. choose and follow; as of theories, ideas, policies, strategies or plans
v. take up and practice as one's own
v. take into one's family"
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
adjacent,"s. nearest in space or position; immediately adjoining without intervening space
s. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""
s. near or close to but not necessarily touching"
dislike,"n. a feeling of aversion or antipathy
v. have or feel a dislike or distaste for"
disorder,"n. a physical condition in which there is a disturbance of normal functioning
n. a disturbance of the peace or of public order
v. bring disorder to"
disagree,"v. be of different opinions
v. be different from one another"
disappear,"v. get lost, as without warning or explanation"
dishonest,a. deceptive or fraudulent; disposed to cheat or defraud or deceive
dissimilar,a. not similar
distrust,"n. the trait of not trusting others
v. regard as untrustworthy; regard with suspicion; have no faith or confidence in"
dismay,v. fill with apprehension or alarm; cause to be unpleasantly surprised
disobey,v. refuse to go along with; refuse to follow; be disobedient
disproof,n. any evidence that helps to establish the falsity of something
discolor,"v. lose color or turn colorless
v. cause to lose or change color
v. change color, often in an undesired manner"
discourage,v. deprive of courage or hope; take away hope from; cause to feel discouraged
discover,"v. make a discovery, make a new finding
v. make a discovery
v. see for the first time; make a discovery"
disarm,"v. remove offensive capability from
v. make less hostile; win over
v. take away the weapons from; render harmless"
displace,"v. cause to move, usually with force or pressure
v. terminate the employment of; discharge from an office or position"
disable,"v. make unable to perform a certain action
v. injure permanently"
divide,"n. a serious disagreement between two groups of people (typically producing tension or hostility)
v. separate into parts or portions
v. perform a division"
distend,"v. cause to expand as it by internal pressure
v. swell from or as if from internal pressure"
disband,"v. cause to break up or cease to function
v. stop functioning or cohering as a unit"
distract,v. draw someone's attention away from something
disorganize,v. remove the organization from
dispense,v. grant a dispensation; grant an exemption
dismiss,"v. bar from attention or consideration
v. cease to consider; put out of judicial consideration
v. stop associating with
v. end one's encounter with somebody by causing or permitting the person to leave"
disturb,"v. move deeply
v. damage as if by shaking or jarring"
