afternoon,n. the part of the day between noon and evening
summer,"n. the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox
n. the period of finest development, happiness, or beauty
v. spend the summer"
sunny,s bright and pleasant; promoting a feeling of cheer
sweater,n. a crocheted or knitted garment covering the upper part of the body
sweatshirt,n. cotton knit pullover with long sleeves worn during athletic activity
swimsuit,n. tight fitting garment worn for swimming
their,"pron. & a. The possessive case of the personal pronoun they;
   as, their houses; their country."
theirs,none
tie,"n. equality of score in a contest
n. a horizontal beam used to prevent two other structural members from spreading apart or separating
n. (music) a slur over two notes of the same pitch; indicates that the note is to be sustained for their combined time value
n. one of the cross braces that support the rails on a railway track"
T-shirt,n a close-fitting pullover shirt
warm,"v. get warm or warmer
v. make warm or warmer
a. having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat
a. psychologically warm; friendly and responsive"
wear,"n. impairment resulting from long use
n. the act of having on your person as a covering or adornment
v. be dressed in
v. have on one's person"
weather,"n. the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
v. face and withstand with courage
v. cause to slope
v. sail to the windward of"
white,"n. a member of the Caucasoid race
n. the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black)
n. United States jurist appointed chief justice of the United States Supreme Court in 1910 by President Taft; noted for his work on antitrust legislation (1845-1921)
n. Australian writer (1912-1990)"
whose,"pron. The possessive case of who or which. See Who, and Which."
windy,"s. resembling the wind in speed, force, or variability"
winter,"n. the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
v. spend the winter"
yellow,"n. yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons
v. turn yellow
s. of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk
s. changed to a yellowish color by age"
yours,pron. See the Note under Your.
a quarter after,none
a quarter after six,none
a quarter to,none
a quarter to six,none
A.M.,"s before noon
r before noon"
P.M.,"s after noon
r between noon and midnight"
at midnight,none
at night,none
at noon,none
awake,a. not in a state of sleep; completely conscious
bike,"n a motor vehicle with two wheels and a strong frame
n a wheeled vehicle that has two wheels and is moved by foot pedals
v ride a bicycle"
breakfast,"n. the first meal of the day (usually in the morning)
v. eat an early morning meal
v. provide breakfast for"
call,"n. a telephone connection
n. a special disposition (as if from a divine source) to pursue a particular course
n. a demand especially in the phrase ""the call of duty""
n. a brief social visit"
chat,n. an informal conversation
conference,"n. a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)
n. a discussion among participants who have an agreed (serious) topic"
cook,"n. someone who cooks food
n. English navigator who claimed the east coast of Australia for Britain and discovered several Pacific islands (1728-1779)
v. prepare a hot meal
v. prepare for eating by applying heat"
dance,"n. an artistic form of nonverbal communication
n. a party of people assembled for dancing
n. a party for social dancing
v. move in a graceful and rhythmical way"
dinner,"n. the main meal of the day served in the evening or at midday
n. a party of people assembled to have dinner together"
do,"n. the syllable naming the first (tonic) note of any major scale in solmization
v. get (something) done
v. proceed or get along
v. create or design, often in a certain way"
drive,"n. the act of applying force to propel something
n. a mechanism by which force or power is transmitted in a machine
n. the trait of being highly motivated
n. hitting a golf ball off of a tee with a driver"
eat,"v. take in solid food
v. eat a meal; take a meal
v. worry or cause anxiety in a persistent way"
get up,n a set of clothing (with accessories)
go to work,none
go to the movies,none
have breakfast,none
have lunch,none
hungry,a. feeling hunger; feeling a need or desire to eat food
in the afternoon,none
in the evening,none
in the morning,none
Internet café,none
laptop computer,none
lawn,n. a field of cultivated and mowed grass
lunch,"n. a midday meal
v. take the midday meal
v. provide a midday meal for"
make,"v. engage in
v. give certain properties to something
v. make or cause to be or to become
v. compel or make somebody or something to act in a certain way"
meal,"n. the food served and eaten at one time
n. any of the occasions for eating food that occur by custom or habit at more or less fixed times
n. coarsely ground foodstuff; especially seeds of various cereal grasses or pulse"
midnight,n. 12 o'clock at night; the middle of the night
mom,n informal terms for a mother
movie,n. a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
noon,n. the middle of the day
now,"n. the momentary present
r. in the historical present; at this point in the narration of a series of past events
r. used to preface a command or reproof or request
r. at the present moment"
right now,none
mow,v. cut with a blade or mower
online,"a on a regular route of a railroad or bus or airline system
a connected to a computer network or accessible by computer
s being in progress now"
pizza,n. Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
play,"n. a dramatic work intended for performance by actors on a stage
n. a theatrical performance of a drama
n. a preset plan of action in team sports
n. a state in which action is feasible"
play tennis,none
read,"n. something that is read
v. interpret something that is written or printed
v. have or contain a certain wording or form
v. look at, interpret, and say out loud something that is written or printed"
remember,"v. recall knowledge from memory; have a recollection
v. keep in mind for attention or consideration
v. recapture the past; indulge in memories
v. show appreciation to"
ride,"n. a mechanical device that you ride for amusement or excitement
v. sit and travel on the back of animal, usually while controlling its motions
v. be carried or travel on or in a vehicle
v. continue undisturbed and without interference"
ride a bike,none
run,"n. a score in baseball made by a runner touching all four bases safely
n. (American football) a play in which a player attempts to carry the ball through or past the opposing team
n. a regular trip
n. the act of running; traveling on foot at a fast pace"
shop,"n. a mercantile establishment for the retail sale of goods or services
v. do one's shopping
v. shop around; not necessarily buying"
sleep,"n. a natural and periodic state of rest during which consciousness of the world is suspended
n. a torpid state resembling deep sleep
n. a period of time spent sleeping
v. be asleep"
so,"r. to a very great extent or degree
r. in a manner that facilitates
r. in such a condition or manner, especially as expressed or implied
r. to a certain unspecified extent or degree"
soccer,n. a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal
study,"n. applying the mind to learning and understanding a subject (especially by reading)
n. a state of deep mental absorption
n. a room used for reading and writing and studying
n. someone who memorizes quickly and easily (as the lines for a part in a play)"
swim,"v. travel through water
v. be dizzy or giddy
v. be covered with or submerged in a liquid
v. move as if gliding through water"
take,"n. the act of photographing a scene or part of a scene without interruption
v. carry out
v. require (time or space)
v. get into one's hands, take physically"
take a walk,none
tennis,n. a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court
time zone,none
watch,"n. a small portable timepiece
n. a period of time (4 or 2 hours) during which some of a ship's crew are on duty
n. a purposeful surveillance to guard or observe
n. the period during which someone (especially a guard) is on duty"
watch television,none
work,"n. activity directed toward making or doing something
n. a product produced or accomplished through the effort or activity or agency of a person or thing
n. (physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force
v. exert oneself by doing mental or physical work for a purpose or out of necessity"
a lot of,none
all day,none
all night,"s lasting, open, or operating through the whole night"
alone,"s. isolated from others
s. lacking companions or companionship
s. exclusive of anyone or anything else
s. radically distinctive and without equal"
apartment,n. a suite of rooms usually on one floor of an apartment house
break,"n. an unexpected piece of good luck
n. the occurrence of breaking
n. an abrupt change in the tone or register of the voice (as at puberty or due to emotion)
n. the opening shot that scatters the balls in billiards or pool"
brother,"n. a male with the same parents as someone else
n. a male person who is a fellow member (of a fraternity or religion or other group)
n. used as a term of address for those male persons engaged in the same movement
n. (Roman Catholic Church) a title given to a monk and used as form of address"
bus,"n. a vehicle carrying many passengers; used for public transport
n. a car that is old and unreliable
v. send or move around by bus
v. ride in a bus"
busy,"v. keep busy with
a. actively or fully engaged or occupied
s. overcrowded or cluttered with detail
s. crowded with or characterized by much activity"
by,r. so as to pass a given point
by bus,none
by car,none
car,"n. a motor vehicle with four wheels; usually propelled by an internal combustion engine
n. a wheeled vehicle adapted to the rails of railroad
n. the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant
n. where passengers ride up and down"
child,"n. a young person of either sex
n. a human offspring (son or daughter) of any age
n. an immature childish person
n. a member of a clan or tribe"
kid,"n. soft smooth leather from the hide of a young goat
n. young goat
v. be silly or tease one another"
coffee shop,none
computer,n. a machine for performing calculations automatically
daughter,n. a female human offspring
downtown,"a. of or located in the lower part of a town, or in the business center
r. toward or in the lower or central part of town"
early,"a. at or near the beginning of a period of time or course of events or before the usual or expected time
a. being or occurring at an early stage of development
s. belonging to the distant past
s. very young"
early bird,none
end,"n. either extremity of something that has length
n. the point in time at which something ends
n. the concluding parts of an event or occurrence
n. a final part or section"
every,"s. (used of count nouns) each and all of the members of a group considered singly and without exception
s. each and all of a series of entities or intervals as specified"
every day,"s. found in the ordinary course of events
s. commonplace and ordinary"
exercise,"n. the activity of exerting your muscles in various ways to keep fit
n. systematic training by multiple repetitions
n. a task performed or problem solved in order to develop skill or understanding
n. (usually plural) a ceremony that involves processions and speeches"
far,"a. located at a great distance in time or space or degree
s. being of a considerable distance or length
s. being the animal or vehicle on the right or being on the right side of an animal or vehicle
s. beyond a norm in opinion or actions"
far from,none
far here,none
Friday,n. the sixth day of the week; the fifth working day
get to,none
go to,none
go for a run,none
run,"n. a score in baseball made by a runner touching all four bases safely
n. (American football) a play in which a player attempts to carry the ball through or past the opposing team
n. a regular trip
n. the act of running; traveling on foot at a fast pace"
homework,n. preparatory school work done outside school (especially at home)
house,"n. a dwelling that serves as living quarters for one or more families
n. the members of a religious community living together
n. the audience gathered together in a theatre or cinema
n. an official assembly having legislative powers"
husband,n. a married man; a woman's partner in marriage
job,"n. a specific piece of work required to be done as a duty or for a specific fee
n. a workplace; as in the expression ""on the job""; 
n. an object worked on; a result produced by working
n. the responsibility to do something"
late,"a. being or occurring at an advanced period of time or after a usual or expected time
s. of the immediate past or just previous to the present time
s. having died recently
a. of a later stage in the development of a language or literature; used especially of dead languages"
live,"v. lead a certain kind of life; live in a certain style
v. pursue a positive and satisfying existence
a. actually being performed at the time of hearing or viewing
a. exerting force or containing energy"
me,n a state in New England
meet,"n. a meeting at which a number of athletic contests are held
v. come together
v. get together socially or for a specific purpose
v. fill or meet a want or need"
Monday,n. the second day of the week; the first working day
motorcycle,n. a motor vehicle with two wheels and a strong frame
near,"a. not far distant in time or space or degree or circumstances
s. being on the left side
s. closely resembling the genuine article
r. near in time or place or relationship"
near our house,none
need,"n. a condition requiring relief
n. anything that is necessary but lacking
v. have or feel a need for"
night owl,none
office,"n. place of business where professional or clerical duties are performed
n. (of a government or government official) holding an office means being in power
n. professional or clerical workers in an office
n. a religious rite or service prescribed by ecclesiastical authorities"
on,"a. in operation or operational
a. (of events) planned or scheduled
r. indicates continuity or persistence or concentration
r. in a state required for something to function or be effective"
on Sundays,none
park,"n. a large area of land preserved in its natural state as public property
n. a piece of open land for recreational use in an urban area
n. Scottish explorer in Africa (1771-1806)
n. a gear position that acts as a parking brake"
project,"n. a planned undertaking
v. communicate vividly
v. transfer (ideas or principles) from one domain into another
v. project on a screen"
public,"n. a body of people sharing some common interest
a. not private; open to or concerning the people as a whole
s. affecting the people or community as a whole"
public transportation,none
restaurant,n. a building where people go to eat
retired,s. no longer active in your work or profession
routine,"n. an unvarying or habitual method or procedure
n. a set sequence of steps, part of larger computer program"
Saturday,n. the seventh and last day of the week; observed as the Sabbath by Jews and some Christians
school,"n. an educational institution
n. a building where young people receive education
n. the process of being formally educated at a school
n. a body of creative artists or writers or thinkers linked by a similar style or by similar teachers"
see,"n. the seat within a bishop's diocese where his cathedral is located
v. perceive by sight or have the power to perceive by sight
v. deem to be
v. be careful or certain to do something; make certain of something"
see family,none
see friends,none
serve,"n. (sports) a stroke that puts the ball in play
v. serve a purpose, role, or function
v. do duty or hold offices; serve in a specific function
v. contribute or conduce to"
sister,"n. a female person who has the same parents as another person
n. (Roman Catholic Church) a title given to a nun (and used as a form of address)
n. a female person who is a fellow member of a sorority or labor union or other group"
slow,"v. become slow or slower
v. cause to proceed more slowly
a. not moving quickly; taking a comparatively long time
a. at a slow tempo"
sometimes,"r. on certain occasions or in certain cases but not always; at other times for six months"""
son,"n. a male human offspring
n. the divine word of God; the second person in the Trinity (incarnate in Jesus)"
start,"n. the beginning of anything
n. a turn to be a starter (in a game at the beginning)
n. a line indicating the location of the start of a race or a game
n. the advantage gained by beginning early (as in a race)"
stop,"n. the event of something ending
n. the act of stopping something
n. a brief stay in the course of a journey
n. a spot where something halts or pauses"
suburb,n. a residential district located on the outskirts of a city
subway,"n an electric railway operating below the surface of the ground (usually in a city)
n an underground tunnel or passage enabling pedestrians to cross a road or railway"
Sunday,"n. first day of the week; observed as a day of rest and worship by most Christians
n. United States evangelist (1862-1935)"
Sure.,"s. physically secure or dependable
s. (of persons) worthy of trust or confidence
s. infallible or unfailing
s. certain not to fail"
survey,"n. a detailed critical inspection
v. consider in a comprehensive way
v. look over carefully or inspect
v. make a survey of; for statistical purposes"
take,"n. the act of photographing a scene or part of a scene without interruption
v. carry out
v. require (time or space)
v. get into one's hands, take physically"
take a taxi,none
take cab,none
taxi,"v. travel slowly
v. ride in a taxicab"
cab,"n. a compartment at the front of a motor vehicle or locomotive where driver sits
n. small two-wheeled horse-drawn carriage; with two seats and a folding hood
n. a car driven by a person whose job is to take passengers where they want to go in exchange for money"
then,"n. that time; that moment
s. at a specific prior time
r. subsequently or soon afterward (often used as sentence connectors)
r. in that case or as a consequence"
Thursday,n. the fifth day of the week; the fourth working day
together,"s. mentally and emotionally stable
r. in contact with each other or in proximity
r. assembled in one place
r. in each other's company"
top,"n. the upper part of anything
n. the highest or uppermost side of anything
n. the first half of an inning; while the visiting team is at bat
n. the greatest possible intensity"
train,"n. public transport provided by a line of railway cars coupled together and drawn by a locomotive
n. a series of consequences wrought by an event
n. piece of cloth forming the long back section of a gown that is drawn along the floor
v. create by training and teaching"
transportation,"n. the act of moving something from one location to another
n. the commercial enterprise of moving goods and materials"
Tuesday,n. the third day of the week; the second working day
us,"n North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
n a base containing nitrogen that is found in RNA (but not in DNA) and derived from pyrimidine; pairs with adenine
n a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons
n the 21st letter of the Roman alphabet"
use,"n. the act of using
n. a particular service
n. (law) the exercise of the legal right to enjoy the benefits of owning property
v. put into service; make work or employ for a particular purpose or for its inherent or natural purpose"
Wednesday,n. the fourth day of the week; the third working day
weekday,n. any day except Sunday (and sometimes except Saturday)
weekend,"n. a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
v. spend the weekend"
weekly,"n. a periodical that is published every week (or 52 issues per year)
s. of or occurring every seven days"
when,"adv. At what time; -- used interrogatively.
adv. At what time; at, during, or after the time that; at or
   just after, the moment that; -- used relatively.
adv. While; whereas; although; -- used in the manner of a
   conjunction to introduce a dependent adverbial sentence or clause,
   having a causal, conditional, or adversative relation to the principal
   proposition; as, he chose to turn highwayman when he might have
   continued an honest man; he removed the tree when it was the best in
   the grounds.
adv. Which time; then; -- used elliptically as a noun."
wife,n. a married woman; a man's partner in marriage
with,"n. See Withe.
prep. With denotes or expresses some situation or relation of
   nearness, proximity, association, connection, or the like.
prep. To denote a close or direct relation of opposition or
   hostility; -- equivalent to against.
prep. To denote association in respect of situation or
   environment; hence, among; in the company of.
prep. To denote a connection of friendship, support, alliance,
   assistance, countenance, etc.; hence, on the side of.
prep. To denote the accomplishment of cause, means, instrument,
   etc; -- sometimes equivalent to by.
prep. To denote association in thought, as for comparison or
   contrast.
prep. To denote simultaneous happening, or immediate succession
   or consequence.
prep. To denote having as a possession or an appendage; as, the
   firmament with its stars; a bride with a large fortune."
with my parents,none
Yeah.,"r not only so, but"
another,s. any of various alternatives; some other
any,"s. one or some or every or all without specification
r. to any degree or extent"
apartment building,none
appliance,"n. a device or control that is very useful for a particular job
n. durable goods for home or office use"
armchair,n. chair with a support on each side for arms
bathroom,n. a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
bed,"n. a piece of furniture that provides a place to sleep
n. a plot of ground in which plants are growing
n. a depression forming the ground under a body of water
n. (geology) a stratum of rock (especially sedimentary rock)"
bedroom,n. a room used primarily for sleeping
big,"s. significant
s. loud and firm
s. conspicuous in position or importance
s. prodigious"
bookcase,n. a piece of furniture with shelves for storing books
cabin,"n. small room on a ship or boat where people sleep
n. a small house built of wood; usually in a wooded area
n. the enclosed compartment of an aircraft or spacecraft where passengers are carried
v. confine to a small space, such as a cabin"
closet,"n. a small private room for study or prayer
v. confine to a small space, as for intensive work"
curtain,"n. hanging cloth used as a blind (especially for a window)
n. any barrier to communication or vision
v. provide with drapery"
difference,"n. the quality of being unlike or dissimilar
n. a significant change"
dining room,n a room used for dining
dream,"n. a series of mental images and emotions occurring during sleep
n. imaginative thoughts indulged in while awake
n. a state of mind characterized by abstraction and release from reality
n. someone or something wonderful"
dream home,none
dresser,"n. a person who dresses in a particular way
n. a wardrobe assistant for an actor
n. a cabinet with shelves"
elevator,"n. lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building
n. the airfoil on the tailplane of an aircraft that makes it ascend or descend"
expensive,a. high in price or charging high prices
floor,"n. the inside lower horizontal surface (as of a room, hallway, tent, or other structure)
n. a structure consisting of a room or set of rooms at a single position along a vertical scale
n. a lower limit
n. the ground on which people and animals move about"
first floor,none
second floor,none
forest,"n. the trees and other plants in a large densely wooded area
n. land that is covered with trees and shrubs"
furniture,n. furnishings that make a room or other area ready for occupancy
garage,"n. an outbuilding (or part of a building) for housing automobiles
n. a repair shop where cars and trucks are serviced and repaired
v. keep or store in a garage"
Guess what!,none
guest,"n. a visitor to whom hospitality is extended
n. United States journalist (born in England) noted for his syndicated homey verse (1881-1959)
n. a customer of a hotel or restaurant etc."
hall,"n. a large room for gatherings or entertainment
n. English writer whose novel about a lesbian relationship was banned in Britain for many years (1883-1943)
n. United States child psychologist whose theories of child psychology strongly influenced educational psychology (1844-1924)
n. United States chemist who developed an economical method of producing aluminum from bauxite (1863-1914)"
houseboat,n. a barge that is designed and equipped for use as a dwelling
just,"a. used especially of what is legally or ethically right or proper or fitting
r. only a moment ago
r. absolutely
r. exactly at this moment or the moment described;"
just one room,none
kitchen,n. a room equipped for preparing meals
lamp,"n. an artificial source of visible illumination
n. a piece of furniture holding one or more electric light bulbs"
laundry room,none
living room,n a room in a private house or establishment where people can sit and talk and relax
lobby,"n. the people who support some common cause or business or principle or sectional interest
n. a group of people who try actively to influence legislation
v. detain in conversation by or as if by holding on to the outer garments of; as for political or economic favors"
love,"n. a strong positive emotion of regard and affection
n. any object of warm affection or devotion; 
n. a deep feeling of sexual desire and attraction
n. a score of zero in tennis or squash"
microwave oven,none
mirror,"n. polished surface that forms images by reflecting light
n. a faithful depiction or reflection
v. reflect as if in a mirror
v. reflect or resemble"
Native American,none
next,r. at the time or occasion immediately following
next weekend,none
no,"n. a negative
a. quantifier; used with either mass nouns or plural count nouns for indicating a complete or almost complete lack or zero quantity of
r. referring to the degree to which a certain quality is present
r. not in any degree or manner; not at all"
penthouse,n. an apartment located on the top floors of a building
picture,"n. a visual representation (of an object or scene or person or abstraction) produced on a surface
n. a situation treated as an observable object
n. illustrations used to decorate or explain a text
n. a typical example of some state or quality"
porch,n. a structure attached to the exterior of a building often forming a covered entrance
refrigerator,n. white goods in which food can be stored at low temperatures
room,"n. an area within a building enclosed by walls and floor and ceiling
n. space for movement
n. opportunity for
n. the people who are present in a room"
rug,n. floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
sofa,n. an upholstered seat for more than one person
some,"a. quantifier; used with either mass nouns or plural count nouns to indicate an unspecified number or quantity
s. relatively much but unspecified in amount or extent
s. relatively many but unspecified in number
s. remarkable"
stair,n support consisting of a place to rest the foot while ascending or descending a stairway
store,"n. a supply of something available for future use
v. keep or lay aside for future use
v. find a place for and put away for storage"
stove,"n. a kitchen appliance used for cooking food
n. any heating apparatus"
think,"n. an instance of deliberate thinking
v. judge or regard; look upon; judge
v. expect, believe, or suppose
v. use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments"
traditional,"a. consisting of or derived from tradition
s. pertaining to time-honored orthodox doctrines"
tribe,"n. a social division of (usually preliterate) people
n. a federation (as of American Indians)
n. (biology) a taxonomic category between a genus and a subfamily"
view,"n. the visual percept of a region
n. the act of looking or seeing or observing
n. the range of the eye
n. purpose; the phrase `with a view to' means `with the intention of' or `for the purpose of'"
villa,"n. Mexican revolutionary leader (1877-1923)
n. detached or semidetached suburban house
n. country house in ancient Rome consisting of residential quarters and farm buildings around a courtyard
n. pretentious and luxurious country residence with extensive grounds"
visitor,n. someone who visits
wood-burning stove,none
yard,"n. a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
n. the enclosed land around a house or other building
n. a tract of land enclosed for particular activities (sometimes paved and usually associated with buildings)
n. a tract of land where logs are accumulated"
actually,"r. in actual fact
r. used to imply that one would expect the fact to be the opposite of that stated; surprisingly
r. at the present moment
r. as a sentence modifier to add slight emphasis"
agree,"v. be in accord; be in agreement
v. consent or assent to a condition, or agree to do something
v. show grammatical agreement
v. be agreeable or suitable"
athlete,n. a person trained to compete in sports
audition,"n. a test of the suitability of a performer
v. perform in order to get a role"
boring,"n. the act of drilling a hole in the earth in the hope of producing petroleum
s. so lacking in interest as to cause mental weariness"
cashier,"n. a person responsible for receiving payments for goods and services (as in a shop or restaurant)
v. discard or do away with
v. discharge with dishonor, as in the army"
cook,"n. someone who cooks food
n. English navigator who claimed the east coast of Australia for Britain and discovered several Pacific islands (1728-1779)
v. prepare a hot meal
v. prepare for eating by applying heat"
chef,n. a professional cook
dangerous,"a. involving or causing danger or risk; liable to hurt or harm
s. causing fear or anxiety by threatening great harm"
difficult,a. not easy; requiring great physical or mental effort to accomplish or comprehend or endure
disagree,"v. be of different opinions
v. be different from one another"
doctor,"n. a licensed medical practitioner
n. children take the roles of physician or patient or nurse and pretend they are at the physician's office
n. a person who holds Ph.D. degree (or the equivalent) from an academic institution
v. give medical treatment to"
easy,"a. posing no difficulty; requiring little effort
s. not hurried or forced
a. free from worry or anxiety
s. affording pleasure"
exactly,"r indicating exactness or preciseness
r just as it should be
r in a precise manner"
exciting,"a. creating or arousing excitement
s. stimulating interest and discussion"
firefighter,n a member of a fire department who tries to extinguish fires
follow one's dream,none
forget,"v. dismiss from the mind; stop remembering
v. be unable to remember
v. forget to do something
v. leave behind unintentionally"
front desk agent,none
guess,"n. a message expressing an opinion based on incomplete evidence
n. an estimate based on little or no information
v. put forward, of a guess, in spite of possible refutation
v. guess correctly; solve by guessing"
handle,"n. the appendage to an object that is designed to be held in order to use or move it
v. touch, lift, or hold with the hands
v. show and train"
hard,"a. dispassionate; 
a. resisting weight or pressure
s. very strong or vigorous
a. (of light) transmitted directly from a pointed light source"
high,"n. a lofty level or position or degree
n. an air mass of higher than normal pressure
n. a state of sustained elation
n. a state of altered consciousness induced by alcohol or narcotics"
high school,none
hospital,"n. a health facility where patients receive treatment
n. a medical institution where sick or injured people are given medical or surgical care"
hotel,n. a building where travelers can pay for lodging and meals and other services
interesting,a. arousing or holding the attention
judge,"n. a public official authorized to decide questions brought before a court of justice
v. determine the result of (a competition)
v. put on trial or hear a case and sit as the judge at the trial of"
lawyer,n. a professional person authorized to practice law; conducts lawsuits or gives legal advice
manager,"n someone who controls resources and expenditures
n (sports) someone in charge of training an athlete or a team"
money,"n. the most common medium of exchange; functions as legal tender
n. wealth reckoned in terms of money
n. the official currency issued by a government or national bank"
musician,"n. someone who plays a musical instrument (as a profession)
n. artist who composes or conducts music as a profession"
nurse,"n. one skilled in caring for young children or the sick (usually under the supervision of a physician)
v. try to cure by special care of treatment, of an illness or injury
v. serve as a nurse; care for sick or handicapped people
v. treat carefully"
office,"n. place of business where professional or clerical duties are performed
n. (of a government or government official) holding an office means being in power
n. professional or clerical workers in an office
n. a religious rite or service prescribed by ecclesiastical authorities"
opinion,"n. a personal belief or judgment that is not founded on proof or certainty
n. a message expressing a belief about something; the expression of a belief that is held with confidence but not substantiated by positive knowledge or proof
n. the legal document stating the reasons for a judicial decision
n. the reason for a court's judgment (as opposed to the decision itself)"
perfect,"v. make perfect or complete
a. being complete of its kind and without defect or blemish
s. precisely accurate or exact"
person,"n. a human being
n. a human body (usually including the clothing)
n. a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party"
photographer,n. someone who takes photographs professionally
pilot,"n. someone who is licensed to operate an aircraft in flight
n. a person qualified to guide ships through difficult waters going into or out of a harbor"
play,"n. a dramatic work intended for performance by actors on a stage
n. a theatrical performance of a drama
n. a preset plan of action in team sports
n. a state in which action is feasible"
police officer,none
pretty,"s. pleasing by delicacy or grace; not imposing
s. (used ironically) unexpectedly bad"
professional,"n. a person engaged in one of the learned professions
n. an athlete who plays for pay
a. engaged in a profession or engaging in as a profession or means of livelihood
a. of or relating to or suitable as a profession"
rain or shine,none
receptionist,n. a secretary whose main duty is to answer the telephone and receive visitors
relaxing,"v become less tense, rest, or take one's ease
v make less taut
v become loose or looser or less tight
v cause to feel relaxed
v become less tense, less formal, or less restrained, and assume a friendlier manner
v make less severe or strict
v become less severe or strict
v make less active or fast
a affording physical or mental rest"
safe,"n. strongbox where valuables can be safely kept
n. a ventilated or refrigerated cupboard for securing provisions from pests
a. free from danger or the risk of harm
s. (of an undertaking) secure from risk"
salary,n something that remunerates
salesperson,n. a person employed to represent a business and to sell its merchandise (as to customers in a store or to customers who are visited)
security guard,none
singer,"n. a person who sings
n. United States inventor of an improved chain-stitch sewing machine (1811-1875)
n. United States writer (born in Poland) of Yiddish stories and novels (1904-1991)"
sit,"v. be seated
v. be around, often idly or without specific purpose
v. be in session
v. be located or situated somewhere"
stand,"n. the position where a thing or person stands
n. a growth of similar plants (usually trees) in a particular area
n. a small table for holding articles of various kinds
n. an interruption of normal activity"
stressful,s extremely irritating to the nerves
talk,"n. an exchange of ideas via conversation
n. discussion; (`talk about' is a less formal alternative for `discussion of')
n. the act of giving a talk to an audience
n. idle gossip or rumor"
talk to,none
teach,"n. an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)
v. impart skills or knowledge to
v. accustom gradually to some action or attitude"
terrific,"s. very great or intense
s. causing extreme terror"
That's funny.,none
uniform,"n. clothing of distinctive design worn by members of a particular group as a means of identification
v. provide with uniforms
a. always the same; showing a single form or character in all occurrences
s. evenly spaced"
waiter,"n. a person whose occupation is to serve at table (as in a restaurant)
n. a person who waits or awaits"
waitress,n. a woman waiter
workplace,n. a place where work is done
write,"v. produce a literary work
v. communicate or express by writing
v. communicate (with) in writing
v. communicate by letter"
All right.,none
always,"r. at all times; all the time and on every occasion
r. at any time or in any event
r. forever; throughout all time"
apple,"n. fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
n. native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits"
at,n. 100 at equal 1 kip in Laos
at my desk,none
awful,s. causing fear or dread or terror
bacon,"n. back and sides of a hog salted and dried or smoked; usually sliced thin and fried
n. English scientist and Franciscan monk who stressed the importance of experimentation; first showed that air is required for combustion and first used lenses to correct vision (1220-1292)
n. English statesman and philosopher; precursor of British empiricism; advocated inductive reasoning (1561-1626)"
banana,"n. any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
n. elongated crescent-shaped yellow fruit with soft sweet flesh"
bean,"n. any of various edible seeds of plants of the family Leguminosae used for food
n. any of various seeds or fruits that are beans or resemble beans
n. any of various leguminous plants grown for their edible seeds and pods
v. hit on the head, especially with a pitched baseball"
beef,"n. cattle that are reared for their meat
n. meat from an adult domestic bovine"
bread,"n. food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
v. cover with bread crumbs"
broccoli,"n. plant with dense clusters of tight green flower buds
n. branched green undeveloped flower heads"
butter,"n. an edible emulsion of fat globules made by churning milk or cream; for cooking and table use
n. a fighter who strikes the opponent with his head
v. spread butter on"
buy,"v. obtain by purchase; acquire by means of a financial transaction
v. be worth or be capable of buying
v. acquire by trade or sacrifice or exchange
v. accept as true"
