time-out,n. a brief suspension of play
court,"n. an assembly (including one or more judges) to conduct judicial business
n. a room in which a lawcourt sits
n. the sovereign and his advisers who are the governing power of a state
n. a specially marked horizontal area within which a game is played"
construction,"n. the act of constructing something
n. a group of words that form a constituent of a sentence and are considered as a single unit
n. the creation of a construct; the process of combining ideas into a congruous object of thought
n. drawing a figure satisfying certain conditions as part of solving a problem or proving a theorem"
engaged,"s. having ones attention or mind or energy engaged
s. involved in military hostilities
s. (used of toothed parts or gears) interlocked and interacting
s. having services contracted for"
tragedy,n. drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity
fiancéé,none
passenger,n. a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it
passenger seat,none
fasten,"v. cause to be firmly attached
v. become fixed or fastened
v. attach to"
belt,"n. endless loop of flexible material between two rotating shafts or pulleys
n. a band to tie or buckle around the body (usually at the waist)
n. an elongated region where a specific condition or characteristic is found
n. ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun"
asleep,"a. in a state of sleep
s. lacking sensation
s. dead
r. into a sleeping state"
wheel,"n. a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
n. forces that provide energy and direction
n. a circular helm to control the rudder of a vessel
v. change directions as if revolving on a pivot"
cement,"n. concrete pavement is sometimes referred to as cement
n. a building material that is a powder made of a mixture of calcined limestone and clay; used with water and sand or gravel to make concrete and mortar
n. something that hardens to act as adhesive material
n. any of various materials used by dentists to fill cavities in teeth"
abutment,"n. point of contact between two objects or parts
n. a masonry support that touches and directly receives thrust or pressure of an arch or bridge"
eject,"v. put out or expel from a place
v. leave an aircraft rapidly, using an ejection seat or capsule"
vehicle,"n. a conveyance that transports people or objects
n. a medium for the expression or achievement of something
n. any substance that facilitates the use of a drug or pigment or other material that is mixed with it"
ambulance,n. a vehicle that takes people to and from hospitals
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
quadriplegic,n. a person who is paralyzed in both arms and both legs
triceps,n. any skeletal muscle having three origins (but especially the triceps brachii)
strength,"n. the property of being physically or mentally strong
n. the condition of financial success"
shoulder,"n. the part of the body between the neck and the upper arm
n. a cut of meat including the upper joint of the foreleg
n. a ball-and-socket joint between the head of the humerus and a cavity of the scapula
n. the part of a garment that covers or fits over the shoulder"
conclude,"v. bring to a close
v. reach a conclusion after a discussion or deliberation
v. come to a close
v. reach agreement on"
athletic,"a. relating to or befitting athletics or athletes
s. having a sturdy and well proportioned body"
competitive,"a. involving competition or competitiveness
s. subscribing to capitalistic competition
s. showing a fighting disposition"
previously,r. at an earlier time or formerly
joy,"n. the emotion of great happiness
n. something or someone that provides a source of happiness"
critical,"a. marked by a tendency to find and call attention to errors and flaws
a. at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction
a. characterized by careful evaluation and judgment
s. urgently needed; absolutely necessary"
fear,"n. an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
n. a feeling of profound respect for someone or something
v. be afraid or feel anxious or apprehensive about a possible or probable situation or event
v. be afraid or scared of; be frightened of"
bedside,n. space by the side of a bed (especially the bed of a sick or dying person)
darken,"v. become dark or darker
v. tarnish or stain
v. make dark or darker"
professional,"n. a person engaged in one of the learned professions
n. an athlete who plays for pay
a. engaged in a profession or engaging in as a profession or means of livelihood
a. of or relating to or suitable as a profession"
miracle,"n. any amazing or wonderful occurrence
n. a marvellous event manifesting a supernatural act of a divine agent"
fortune,"n. a large amount of wealth or prosperity
n. your overall circumstances or condition in life (including everything that happens to you)"
association,"n. a formal organization of people or groups of people
n. the act of consorting with or joining with others
n. the state of being connected together as in memory or imagination
n. the process of bringing ideas or events together in memory or imagination"
audience,"n. a gathering of spectators or listeners at a (usually public) performance
n. the part of the general public interested in a source of information or entertainment"
exceed,"v. be greater in scope or size than some standard
v. be superior or better than some standard"
entrepreneur,n. someone who organizes a business venture and assumes the risk for it
administration,"n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
n. the persons (or committees or departments etc.) who make up a body for the purpose of administering something
n. the act of administering medication
n. the act of meting out justice according to the law"
region,"n. the extended spatial location of something
n. a large indefinite location on the surface of the Earth
n. the approximate amount of something (usually used prepositionally as in `in the region of')
n. a knowledge domain that you are interested in or are communicating about"
honor,"n. the state of being honored
n. the quality of being honorable and having a good name
n. a woman's virtue or chastity"
honour,"n the state of being honored
n a tangible symbol signifying approval or distinction
n the quality of being honorable and having a good name
n a woman's virtue or chastity
v bestow honor or rewards upon
v show respect towards
v accept as pay"
comeback,n. return by a celebrity to some previously successful activity
gain,"n. the amount by which the revenue of a business exceeds its cost of operating
v. obtain advantages, such as points, etc.
v. increase or develop
v. earn on some commercial or business transaction; earn as salary or wages"
fateful,"s. having momentous consequences; of decisive importance
s. ominously prophetic"
scuba-dive,none
parasail,n. parachute that will lift a person up into the air when it is towed by a motorboat or a car
ski,"n. narrow wood or metal or plastic runners used in pairs for gliding over snow
v. move along on skis"
wheelchair,n. a movable chair mounted on large wheels; for invalids or those who cannot walk; frequently propelled by the occupant
marathon,"n. any long and arduous undertaking
n. a footrace of 26 miles 385 yards
n. a battle in 490 BC in which the Athenians and their allies defeated the Persians"
circumstance,"n. a condition that accompanies or influences some event or activity
n. information that should be kept in mind when making a decision
n. formal ceremony about important occasions"
head for,none
fall asleep,none
at the wheel,none
come to a stop,none
come true,none
take care of,none
as far as I know,none
of record,none
let go of,none
emergency,"n. a sudden unforeseen crisis (usually involving danger) that requires immediate action
n. a state in which martial law applies"
choke,"n. a coil of low resistance and high inductance used in electrical circuits to pass direct current and attenuate alternating current
n. a valve that controls the flow of air into the carburetor of a gasoline engine
v. breathe with great difficulty, as when experiencing a strong emotion
v. be too tight; rub or press"
salmon,"n. any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn
n. a tributary of the Snake River in Idaho
n. flesh of any of various marine or freshwater fish of the family Salmonidae
n. a pale pinkish orange color"
first-aid,none
karate,n. a traditional Japanese system of unarmed combat; sharp blows and kicks are given to pressure-sensitive points on the body of the opponent
maneuver,"n. a military training exercise
n. a deliberate coordinated movement requiring dexterity and skill
n. a move made to gain a tactical end"
force,"n. a powerful effect or influence
n. (physics) the influence that produces a change in a physical quantity
n. physical energy or intensity
n. group of people willing to obey orders"
expel,v. force to leave or move out
object,"n. a tangible and visible entity; an entity that can cast a shadow
n. (grammar) a constituent that is acted upon
n. the focus of cognitions or feelings
n. (computing) a discrete item that provides a description of virtually anything known to a computer"
moment,"n. a particular point in time
n. an indefinitely short time
n. a turning force produced by an object acting at a distance (or a measure of that force)
n. the n-th moment of a distribution is the expected value of the n-th power of the deviations from a fixed value"
wading pool,none
neighboring,"v live or be located as a neighbor
v be located near or adjacent to
s having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut"""
neighbouring,"v live or be located as a neighbor
v be located near or adjacent to"
apartment,n. a suite of rooms usually on one floor of an apartment house
pulse,"n. the rhythmic contraction and expansion of the arteries with each beat of the heart
n. the rate at which the heart beats; usually measured to obtain a quick evaluation of a person's health
n. edible seeds of various pod-bearing plants (peas or beans or lentils etc.)
v. produce or modulate (as electromagnetic waves) in the form of short bursts or pulses or cause an apparatus to produce pulses"
breathe,"v. draw air into, and expel out of, the lungs
v. be alive
v. impart as if by breathing
v. allow the passage of air through"
rescue,"n. recovery or preservation from loss or danger
v. free from harm or evil
v. take forcibly from legal custody"
rescue breathing,none
vomit,"n. the matter ejected in vomiting
n. the reflex act of ejecting the contents of the stomach through the mouth
v. eject the contents of the stomach through the mouth"
paramedic,n. a person trained to assist medical professionals and to give emergency medical treatment
recover,"v. get or find back; recover the use of
v. regain a former condition after a financial loss
v. regain or make up for
v. cover anew"
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
hazard,"n. a source of danger; a possibility of incurring loss or misfortune
n. an obstacle on a golf course"
harmful,a. causing or capable of causing harm
ingest,"v serve oneself to, or consume regularly
v take up mentally"
essential,"s. absolutely necessary; vitally necessary
a. basic and fundamental
a. being or relating to or containing the essence of a plant etc"
preparation,"n. the activity of putting or setting in order in advance of some act or purpose
n. (music) a note that produces a dissonant chord is first heard in a consonant chord"
well-stocked,none
kit,"n. a case for containing a set of articles
n. gear consisting of a set of articles or tools for a specified purpose
n. young of any of various fur-bearing animals"
warning,"n. a message informing of danger
n. notification of something, usually in advance"
apply,"v. be pertinent or relevant or applicable
v. ask (for something)
v. refer (a word or name) to a person or thing
v. apply oneself to"
community,"n. a group of people living in a particular local area
n. common ownership
n. a group of nations having common interests
n. agreement as to goals"
situation,"n. the general state of things; the combination of circumstances at a given time
n. a condition or position in which you find yourself
n. a complex or critical or unusual difficulty"
extensive,"s. large in spatial extent or range or scope or quantity
a. of agriculture; increasing productivity by using large areas with minimal outlay and labor"
harm,v. cause or do harm to
mishap,n. an instance of misfortune
illness,n. impairment of normal physiological function affecting part or all of an organism
stitch,"n. a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing
n. a sharp spasm of pain in the side resulting from running"
bleed,"v. draw blood
v. get or extort (money or other possessions) from someone
v. drain of liquid or steam"
ER,"n a trivalent metallic element of the rare earth group; occurs with yttrium
n a room in a hospital or clinic staffed and equipped to provide emergency care to persons requiring immediate medical treatment"
indigestion,n. a disorder of digestive function characterized by discomfort or heartburn or nausea
sudden,a. happening without warning or in a short space of time
routinely,r. according to routine or established practice
heartburn,n. a painful burning sensation in the chest caused by gastroesophageal reflux (backflow from the stomach irritating the esophagus); symptomatic of an ulcer or a diaphragmatic hernia or other disorder
victim,"n. an unfortunate person who suffers from some adverse circumstance
n. a person who is tricked or swindled"
life-threatening,s causing fear or anxiety by threatening great harm
worsen,"v. grow worse
v. make worse"
identify,"v. recognize as being; establish the identity of someone or something
v. consider (oneself) as similar to somebody else
v. conceive of as united or associated
v. identify as in botany or biology, for example"
nature,"n. the essential qualities or characteristics by which something is recognized
n. a causal agent creating and controlling things in the universe
n. the natural physical world including plants and animals and landscapes etc.
n. the complex of emotional and intellectual attributes that determine a person's characteristic actions and reactions"
dispatcher,n. employee of a transportation company who controls the departures of vehicles according to weather conditions and in the interest of efficient service
hang,"n. the way a garment hangs
n. a gymnastic exercise performed on the rings or horizontal bar or parallel bars when the gymnast's weight is supported by the arms
v. be suspended or hanging
v. cause to be hanging or suspended"
reassure,"v. cause to feel sure; give reassurance to
v. give or restore confidence in; cause to feel sure or certain"
patient,"n. a person who requires medical care
a. enduring trying circumstances with even temper or characterized by such endurance"
absolutely,"r. completely and without qualification; used informally as intensifiers
r. totally and definitely; without question"
prevent,"v. keep from happening or arising; make impossible
v. stop (someone or something) from doing something or being in a certain state"
injury,"n. any physical damage to the body caused by violence or accident or fracture etc.
n. an accident that results in physical damage or hurt
n. an act that causes someone or something to receive physical damage
n. wrongdoing that violates another's rights and is unjustly inflicted"
CPR,n an emergency procedure consisting of external cardiac massage and artificial respiration; the first treatment for a person who has collapsed and has no pulse and has stopped breathing; attempts to restore circulation of the blood and prevent death or brain damage due to lack of oxygen
elevate,"v give a promotion to or assign to a higher position
v raise from a lower to a higher position
v raise in rank or condition"
splint,"n. a thin sliver of wood
n. an orthopedic mechanical device used to immobilize and protect a part of the body (as a broken leg)
v. support with a splint"
immobilize,"v. hold as reserve or withdraw from circulation; of capital
v. make defenseless
v. convert (assets) into fixed capital"
bone,"n. rigid connective tissue that makes up the skeleton of vertebrates
n. the porous calcified substance from which bones are made
n. a shade of white the color of bleached bones
v. remove the bones from"
procedure,"n. a particular course of action intended to achieve a result
n. a mode of conducting legal and parliamentary proceedings"
take action,none
call for,none
keep one's cool,none
turn away,none
in general,none
identify oneself,none
hang up,"n. an emotional preoccupation
n. an unforeseen obstacle"
EMT,none
unconscious,"a. not conscious; lacking awareness and the capacity for sensory perception as if asleep or dead
s. without conscious volition
s. (followed by `of') not knowing or perceiving"
stare,"n. a fixed look with eyes open wide
v. fixate one's eyes"
helplessly,r. in a helpless manner
kick,"n. the act of delivering a blow with the foot
n. the sudden stimulation provided by strong drink (or certain drugs)
n. a rhythmic thrusting movement of the legs as in swimming or calisthenics
v. drive or propel with the foot"
gear,"n. a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion
n. a mechanism for transmitting motion for some specific purpose (as the steering gear of a vehicle)
n. equipment consisting of miscellaneous articles needed for a particular operation or sport etc.
v. set the level or character of"
carotid,a. of or relating to either of the two major arteries supplying blood to the head and neck
artery,"n. a blood vessel that carries blood from the heart to the body
n. a major thoroughfare that bears important traffic"
cardiopulmonary,a. of or pertaining to or affecting both the heart and the lungs and their functions
respiration,"n. the metabolic processes whereby certain organisms obtain energy from organic molecules; processes that take place in the cells and tissues during which energy is released and carbon dioxide is produced and absorbed by the blood to be transported to the lungs
n. a single complete act of breathing in and out"
compress,"n. a cloth pad or dressing (with or without medication) applied firmly to some part of the body (to relieve discomfort or reduce fever)
v. make more compact by or as if by pressing
v. squeeze or press together"
manually,r. by hand
pump,"n. a mechanical device that moves fluid or gas by pressure or suction
n. a low-cut shoe without fastenings
v. operate like a pump; move up and down, like a handle or a pedal
v. deliver forth"
compression,"n. the process or result of becoming smaller or pressed together
n. encoding information while reducing the bandwidth or bits required
n. applying pressure"
breath,"n. the process of taking in and expelling air during breathing
n. the air that is inhaled and exhaled in respiration
n. a short respite
n. a slight movement of the air"
essence,n. any substance possessing to a high degree the predominant properties of a plant or drug or other natural product from which it is extracted
oxygen,n. a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust
lung,n. either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
rotation,"n. the act of rotating as if on an axis
n. (mathematics) a transformation in which the coordinate axes are rotated by a fixed angle about the origin
n. a single complete turn (axial or orbital)"
stretcher,"n. a wooden framework on which canvas is stretched and fixed for oil painting
n. a mechanical device used to make something larger (as shoes or gloves) by stretching it
n. a litter for transporting people who are ill or wounded or dead; usually consists of a sheet of canvas stretched between two poles"
scissors,"n. an edge tool having two crossed pivoting blades
n. a wrestling hold in which you wrap your legs around the opponents body or head and put your feet together and squeeze
n. a gymnastic exercise performed on the pommel horse when the gymnast moves his legs as the blades of scissors move"
pants,"n underpants worn by women
n the noise made by a short puff of steam (as from an engine)
n (usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately
n a short labored intake of breath with the mouth open
v breathe noisily, as when one is exhausted
v utter while panting, as if out of breath"
naked,"s. having no protecting or concealing cover
s. (of the eye or ear e.g.) without the aid of an optical or acoustical device or instrument
s. devoid of elaboration or diminution or concealment; bare and pure
s. lacking any cover"
reality,"n. the state of being actual or real
n. the state of the world as it really is rather than as you might want it to be
n. the quality possessed by something that is real"
trigger,"n. a device that activates or releases or causes something to happen
n. an act that sets in motion some course of events
v. release or pull the trigger on"
adrenalin,n a catecholamine secreted by the adrenal medulla in response to stress (trade name Adrenalin); stimulates autonomic nerve action
rush,"n. a sudden forceful flow
n. grasslike plants growing in wet places and having cylindrical often hollow stems
n. physician and American Revolutionary leader; signer of the Declaration of Independence (1745-1813)
n. a sudden burst of activity"
intense,"a. possessing or displaying a distinctive feature to a heightened degree
s. (of color) having the highest saturation"
concentration,"n. the strength of a solution; number of molecules of a substance in a given volume
n. the spatial property of being crowded together
n. strengthening the concentration (as of a solute in a mixture) by removing diluting material
n. increase in density"
mumble,"n. a soft indistinct utterance
v. talk indistinctly; usually in a low voice
v. grind with the gums; chew without teeth and with great difficulty"
heavily,"r. to a considerable degree
r. in a heavy-footed manner
r. with great force
r. in a manner designed for heavy duty"
rub,"n. the act of rubbing or wiping
v. move over something with pressure
v. cause friction
v. scrape or rub as if to relieve itching"
sternum,n. the flat bone that articulates with the clavicles and the first seven pairs of ribs
pinch,"n. a painful or straitened circumstance
n. an injury resulting from getting some body part squeezed
n. a squeeze with the fingers
v. squeeze tightly between the fingers"
toe,"n. one of the digits of the foot
n. the part of footwear that provides a covering for the toes
n. forepart of a hoof
n. (golf) the part of a clubhead farthest from the shaft"
shake,"v. move or cause to move back and forth
v. move with or as if with a tremor
v. undermine or cause to waver
v. get rid of"
shaken,"v move or cause to move back and forth
v move with or as if with a tremor
v shake or vibrate rapidly and intensively
v move back and forth or sideways
v undermine or cause to waver
v stir the feelings, emotions, or peace of
v get rid of
v bring to a specified condition by or as if by shaking
v shake (a body part) to communicate a greeting, feeling, or cognitive state
s disturbed psychologically as if by a physical jolt or shock"
groan,"n. an utterance expressing pain or disapproval
v. indicate pain, discomfort, or displeasure"
bag-mask,none
apparatus,"n. equipment designed to serve a specific function
n. (anatomy) a group of body parts that work together to perform a given function"
artificially,r. not according to nature; not by natural means
biology,"n. the science that studies living organisms
n. characteristic life processes and phenomena of living organisms"
intervention,"n. the act of intervening (as to mediate a dispute, etc.)
n. a policy of intervening in the affairs of other countries
n. (law) a proceeding that permits a person to enter into a lawsuit already in progress; admission of person not an original party to the suit so that person can protect some right or interest that is allegedly affected by the proceedings"
hands-on,s. involving active participation
practical,"a. concerned with actual use or practice
s. having or put to a practical purpose or use"
basis,"n. the fundamental assumptions from which something is begun or developed or calculated or explained
n. the most important or necessary part of something"
backboard,"n. a raised vertical board with basket attached; used to play basketball
n. a board used to support the back of someone or something"
bandage,"n. a piece of soft material that covers and protects an injured part of the body
v. dress by covering or binding"
spinal,a. of or relating to the spine or spinal cord
immobilization,"n. fixation (as by a plaster cast) of a body part in order to promote proper healing
n. the act of limiting movement or making incapable of movement"
aspirin,"n. the acetylated derivative of salicylic acid; used as an analgesic anti-inflammatory drug (trade names Bayer, Empirin, and St. Joseph) usually taken in tablet form; used as an antipyretic; slows clotting of the blood by poisoning platelets"
uplifting,n. the rise of something
witness,"n. someone who sees an event and reports what happened
n. testimony by word or deed to your religious faith
n. (law) a person who attests to the genuineness of a document or signature by adding their own signature
n. (law) a person who testifies under oath in a court of law"
colleague,"n. an associate that one works with
n. a person who is member of one's class or profession"
potential,"n. the inherent capacity for coming into being
a. existing in possibility"
traumatic,"a. of or relating to a physical injury or wound to the body
s. psychologically painful;"
react,"v. show a response or a reaction to something
v. act against or in opposition to
v. undergo a chemical reaction; react with another substance under certain conditions"
lifestyle,n a manner of living that reflects the person's values and attitudes
adequate,"a. having the requisite qualities or resources to meet a task
s. sufficient for the purpose
s. about average; acceptable"
nutritious,s of or providing nourishment
certification,n. the act of certifying or bestowing a franchise on
possibility,"n. a future prospect or potential
n. capability of existing or happening or being true
n. a possible alternative"
retain,"v. hold back within
v. allow to remain in a place or position or maintain a property or feature
v. secure and keep for possible future use or application
v. keep in one's mind"
throughout,r. from first to last
on-campus,none
fulfilling,"v put in effect
v fill or meet a want or need
v meet the requirements or expectations of
v put in effect
v meet the requirements or expectations of
v fill or meet a want or need"
worthwhile,s. sufficiently valuable to justify the investment of time or interest
anything like,none
kick into gear,none
get into gear,none
in essence,none
all in a day's work,none
before I knew it,none
in charge of,none
on a regular basis,none
pass away,none
it's only a matter of time,none
it's just a matter of time,none
lay out,"n. a plan or design of something that is laid out
n. the act of laying out (as by making plans for something)"
right now,none
go for it,none
passion,"n. a strong feeling or emotion
n. a feeling of strong sexual desire
n. the suffering of Jesus at the Crucifixion"
strategy,n. the branch of military science dealing with military command and the planning and conduct of a war
fit,"n. a display of bad temper
n. the manner in which something fits
v. be the right size or shape; fit correctly or as desired
v. make fit"
value,"n. a numerical quantity measured or assigned or computed
n. the quality (positive or negative) that renders something desirable or valuable
n. the amount (of money or goods or services) that is considered to be a fair equivalent for something else
n. relative darkness or lightness of a color"
administrative,a. of or relating to or responsible for administration
assistant,n. a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
automotive,"a. of or relating to motor vehicles
s. containing within itself the means of propulsion or movement"
dealership,n a business established or operated under an authorization to sell or distribute a company's goods or services in a particular area
manager,"n someone who controls resources and expenditures
n (sports) someone in charge of training an athlete or a team"
controller,"n someone who maintains and audits business accounts
n a person who directs and restrains
n a mechanism that controls the operation of a machine"
bunch,"n. a grouping of a number of similar things
n. any collection in its entirety
v. gather or cause to gather into a cluster"
salespeople,n a person employed to represent a business and to sell its merchandise (as to customers in a store or to customers who are visited)
beef,"n. cattle that are reared for their meat
n. meat from an adult domestic bovine"
interact,v. act together or towards others or with others
co-worker,n an associate that one works with
truth,"n. a fact that has been verified
n. conformity to reality or actuality
n. a true statement
n. United States abolitionist and feminist who was freed from slavery and became a leading advocate of the abolition of slavery and for the rights of women (1797-1883)"
bill,"n. a statute in draft before it becomes law
n. an itemized statement of money owed for goods shipped or services rendered
n. a piece of paper money (especially one issued by a central bank)
n. the entertainment offered at a public presentation"
examine,"v. observe, check out, and look over carefully or inspect
v. question closely"
mildly,r. to a moderate degree
dislike,"n. a feeling of aversion or antipathy
v. have or feel a dislike or distaste for"
claim,"n. an assertion of a right (as to money or property)
n. an assertion that something is true or factual
n. demand for something as rightful or due
n. an informal right to something"
excite,"v. arouse or elicit a feeling
v. raise to a higher energy level
v. produce a magnetic field in"
attitude,"n. a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways
n. a theatrical pose created for effect
n. position of aircraft or spacecraft relative to a frame of reference (the horizon or direction of motion)"
miserable,"s. very unhappy; full of misery
s. characterized by physical misery"
foolish,a. devoid of good sense or judgment
prefer,"v. like better; value more highly
v. promote over another
v. give preference to one creditor over another"
boring,"n. the act of drilling a hole in the earth in the hope of producing petroleum
s. so lacking in interest as to cause mental weariness"
psychologist,n. a scientist trained in psychology
vocational,a. of or relating to a vocation or occupation; especially providing or undergoing training in special skills
investigative,s designed to find information or ascertain facts
artistic,"a. relating to or characteristic of art or artists
s. satisfying aesthetic standards and sensibilities"
enterprising,"a. marked by imagination, initiative, and readiness to undertake new projects"
conventional,"a. following accepted customs and proprieties
s. conforming with accepted standards
a. (weapons) using energy for propulsion or destruction that is not nuclear energy
a. unimaginative and conformist"
outdoors,n. where the air is unconfined
chef,n. a professional cook
traffic,"n. the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time
n. buying and selling; especially illicit trade
n. the amount of activity over a communication system during a given period of time
v. deal illegally"
carpenter,"n. a woodworker who makes or repairs wooden objects
v. work as a carpenter"
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
analyze,"v. consider in detail and subject to an analysis in order to discover essential features or meaning
v. make a mathematical, chemical, or grammatical analysis of; break down into components or essential features
v. break down into components or essential features"
analyse,"v consider in detail and subject to an analysis in order to discover essential features or meaning
v break down into components or essential features
v make a mathematical, chemical, or grammatical analysis of; break down into components or essential features
v subject to psychoanalytic treatment"
programmer,n. a person who designs and writes and tests computer programs
design,"n. the act of working out the form of something (as by making a sketch or outline or plan)
n. an arrangement scheme
n. a decorative or artistic work
n. a preliminary sketch indicating the plan for something"
creative,"a. having the ability or power to create
s. promoting construction or creation"
graphic,"n. an image that is generated by a computer
s. written or drawn or engraved
s. describing nudity or sexual activity in graphic detail
a. of or relating to the graphic arts"
graphic designer,none
musician,"n. someone who plays a musical instrument (as a profession)
n. artist who composes or conducts music as a profession"
interior,"a. situated within or suitable for inside a building
s. inside and toward a center
s. of or coming from the middle of a region or country"
occupation,"n. the principal activity in your life that you do to earn money
n. the control of a country by military forces of a foreign power
n. any activity that occupies a person's attention
n. the act of occupying or taking possession of a building"
politician,"n. a leader engaged in civil administration
n. a person active in party politics
n. a schemer who tries to gain advantage in an organization in sly or underhanded ways"
accountant,n. someone who maintains and audits business accounts
paralegal,n. a person with specialized training who assists lawyers
slot,"n. a position in a grammatical linguistic construction in which a variety of alternative units are interchangeable
n. a small slit (as for inserting a coin or depositing mail)
n. a position in a hierarchy or organization
n. the trail of an animal (especially a deer)"
tendency,"n. a characteristic likelihood of or natural disposition toward a certain condition or character or effect
n. a general direction in which something tends to move"
pros,"n an athlete who plays for pay
n an argument in favor of a proposal"
cons,"n an argument opposed to a proposal
n a person serving a sentence in a jail or prison
n a swindle in which you cheat at gambling or persuade a person to buy worthless property
v deprive of by deceit
v commit to memory; learn by heart"
plus,"a. on the positive side or higher end of a scale
s. involving advantage or good"
diverse,s. distinctly dissimilar or unlike
reward,"n. payment made in return for a service rendered
n. an act performed to strengthen approved behavior
n. the offer of money for helping to find a criminal or for returning lost property
v. act or give recompense in recognition of someone's behavior or actions"
beyond,"r. farther along in space or time or degree
r. on the farther side from the observer
r. in addition"
host,"n. a person who invites guests to a social event (such as a party in his or her own home) and who is responsible for them while they are there
n. an animal or plant that nourishes and supports a parasite; it does not benefit and is often harmed by the association
n. archaic terms for army
n. any organization that provides resources and facilities for a function or event"
real-world,none
concept,n. an abstract or general idea inferred or derived from specific instances
income,n. the financial gain (earned or unearned) accruing over a given period of time
checkbook,n. a book issued to holders of checking accounts
tax,"n. charge against a citizen's person or property or activity for the support of government
v. levy a tax on
v. set or determine the amount of (a payment such as a fine)
v. use to the limit"
withholding,"n. the act of deducting from an employee's salary
n. the act of holding back or keeping within your possession or control"
nursery,n. a child's room for a baby
day-care,n. childcare during the day while parents work
expose,"n. the exposure of an impostor or a fraud
v. expose or make accessible to some action or influence
v. to show, make visible or apparent
v. expose to light, of photographic film"
range,"n. the limits within which something can be effective
n. a large tract of grassy open land on which livestock can graze
n. a series of hills or mountains
n. a place for shooting (firing or driving) projectiles of various kinds"
background,"n. a person's social heritage: previous experience or training
n. the part of a scene (or picture) that lies behind objects in the foreground
n. information that is essential to understanding a situation or problem
n. extraneous signals that can be confused with the phenomenon to be observed or measured"
exposure,"n. vulnerability to the elements; to the action of heat or cold or wind or rain; 
n. the act of subjecting someone to an influencing experience
n. the disclosure of something secret
n. aspect resulting from the direction a building or window faces"
challenge,"n. a demanding or stimulating situation
n. a call to engage in a contest or fight
n. questioning a statement and demanding an explanation
n. a formal objection to the selection of a particular person as a juror"
downside,n. a negative aspect of something that is generally positive
wrinkle,"n. a slight depression in the smoothness of a surface
n. a minor difficulty
n. a clever method of doing something (especially something new and different)
v. make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in"
daily,"n. a newspaper that is published every day
s. of or belonging to or occurring every day
r. every day; without missing a day"
conflict,"n. an open clash between two opposing groups (or individuals)
n. opposition between two simultaneous but incompatible feelings
n. a state of opposition between persons or ideas or interests
n. an incompatibility of dates or events"
shift,"n. an event in which something is displaced without rotation
n. the time period during which you are at work
n. the act of moving from one place to another
n. a crew of workers who work for a specific period of time"
bound,"v. form the boundary of; be contiguous to
a. confined by bonds
a. held with another element, substance or material in chemical or physical union
a. secured with a cover or binding; often used as a combining form"
convenient,a. suited to your comfort or purpose or needs
position,"n. the particular portion of space occupied by something
n. a way of regarding situations or topics etc.
n. the arrangement of the body and its limbs
n. a job in an organization"
repetitive,a. characterized by repetition
accumulate,v. collect or gather
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
minimum-wage,none
law,"n. the collection of rules imposed by authority
n. legal document setting forth rules governing a particular kind of activity
n. a rule or body of rules of conduct inherent in human nature and essential to or binding upon human society
n. a generalization that describes recurring facts or events in nature"
category,n. a general concept that marks divisions or coordinations in a conceptual scheme
lottery,"n. something that is regarded as a chance event
n. players buy (or are given) chances and prizes are distributed by casting lots"
ensure,"v make certain of
v be careful or certain to do something; make certain of something"
extracurricular,"s. outside the regular academic curriculum
s. outside the regular duties of your job or profession"
hop,"n. the act of hopping; jumping upward or forward (especially on one foot)
n. twining perennials having cordate leaves and flowers arranged in conelike spikes; the dried flowers of this plant are used in brewing to add the characteristic bitter taste to beer
n. an informal dance where popular music is played
v. jump lightly"
aggravate,"v make worse
v exasperate or irritate"
employer,n. a person or firm that employs workers
