hello,n. an expression of greeting
red,"n. red color or pigment; the chromatic color resembling the hue of blood
n. a tributary of the Mississippi River that flows eastward from Texas along the southern boundary of Oklahoma and through Louisiana
s. of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies"
brown,"n. an orange of low brightness and saturation
n. Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858)
n. abolitionist who was hanged after leading an unsuccessful raid at Harper's Ferry, Virginia (1800-1859)
v. fry in a pan until it changes color"
orange,"n. round yellow to orange fruit of any of several citrus trees
n. orange color or pigment; any of a range of colors between red and yellow
n. any citrus tree bearing oranges
n. any pigment producing the orange color"
colour,"n any material used for its color
n a race with skin pigmentation different from the white race (especially Blacks)
n (physics) the characteristic of quarks that determines their role in the strong interaction
n interest and variety and intensity
n the timbre of a musical sound
n a visual attribute of things that results from the light they emit or transmit or reflect
n an outward or token appearance or form that is deliberately misleading
n the appearance of objects (or light sources) described in terms of a person's perception of their hue and lightness (or brightness) and saturation
v modify or bias
v decorate with colors
v give a deceptive explanation or excuse for
v affect as in thought or feeling
v add color to
v change color, often in an undesired manner
a having or capable of producing colors"
and,"conj. A particle which expresses the relation of connection or
   addition. It is used to conjoin a word with a word, a clause with a
   clause, or a sentence with a sentence.
conj. In order to; -- used instead of the infinitival to,
   especially after try, come, go.
conj. It is sometimes, in old songs, a mere expletive.
conj. If; though. See An, conj."
computer,n. a machine for performing calculations automatically
furniture,n. furnishings that make a room or other area ready for occupancy
map,"n. a diagrammatic representation of the earth's surface (or part of it)
v. make a map of; show or establish the features of details of
v. explore or survey for the purpose of making a map
v. locate within a specific region of a chromosome in relation to known DNA or gene sequences"
picture,"n. a visual representation (of an object or scene or person or abstraction) produced on a surface
n. a situation treated as an observable object
n. illustrations used to decorate or explain a text
n. a typical example of some state or quality"
television,"n. broadcasting visual images of stationary or moving objects
n. a telecommunication system that transmits images of objects (stationary or moving) between distant points"
TV,"n broadcasting visual images of stationary or moving objects
n an electronic device that receives television signals and displays them on a screen"
wall,"n. an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure
n. anything that suggests a wall in structure or function or effect
n. (anatomy) a layer (a lining or membrane) that encloses a structure
n. a difficult or awkward situation"
thirty,"n. the cardinal number that is the product of ten and three
s. being ten more than twenty"
forty,"n. the cardinal number that is the product of ten and four
s. being ten more than thirty"
fifty,"n. the cardinal number that is the product of ten and five
s. being ten more than forty"
sixty,"n. the cardinal number that is the product of ten and six
s. being ten more than fifty"
seventy,"n. the cardinal number that is the product of ten and seven
s. being ten more than sixty"
eighty,"n. the cardinal number that is the product of ten and eight
s. being ten more than seventy"
ninety,"n. the cardinal number that is the product of ten and nine
s. being ten more than eighty"
really,"r in accordance with truth or fact or reality
r in actual fact
r in fact (used as intensifiers or sentence modifiers)
r used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal"
many,a. a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number
how many,none
there,"n. a location other than here; that place
r. in or at that place
r. in that matter
r. to or toward that place; away from the speaker"
lot,"n. a parcel of land having fixed boundaries
n. (Old Testament) nephew of Abraham; God destroyed Sodom and Gomorrah but chose to spare Lot and his family who were told to flee without looking back at the destruction
v. divide into lots, as of land, for example"
a lot of,none
oh,n a midwestern state in north central United States in the Great Lakes region
any,"s. one or some or every or all without specification
r. to any degree or extent"
world,"n. people in general; especially a distinctive group of people with some shared interest
n. all of your experiences that determine how things appear to you
n. a part of the earth that can be considered separately
n. all of the living human inhabitants of the earth"
tree,"n. a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
n. a figure that branches from a single root
n. English actor and theatrical producer noted for his lavish productions of Shakespeare (1853-1917)
v. plant with trees"
building,"n. a structure that has a roof and walls and stands more or less permanently in one place
n. the occupants of a building"
hall,"n. a large room for gatherings or entertainment
n. English writer whose novel about a lesbian relationship was banned in Britain for many years (1883-1943)
n. United States child psychologist whose theories of child psychology strongly influenced educational psychology (1844-1924)
n. United States chemist who developed an economical method of producing aluminum from bauxite (1863-1914)"
dining hall,none
gate,"n. a movable barrier in a fence or wall
n. a computer circuit with several inputs but only one output that can be activated by particular combinations of inputs
n. total admission receipts at a sports event
n. passageway (as in an air terminal) where passengers can embark or disembark"
library,"n. a room where books are kept
n. a collection of literary documents or records kept for reference or borrowing
n. a depository built to contain books and other materials for reading and study
n. (computing) a collection of standard programs and subroutines that are stored and available for immediate use"
office,"n. place of business where professional or clerical duties are performed
n. (of a government or government official) holding an office means being in power
n. professional or clerical workers in an office
n. a religious rite or service prescribed by ecclesiastical authorities"
playground,n. yard consisting of an outdoor area for children's play
science,n. a particular branch of scientific knowledge
lab,n. a workplace for the conduct of scientific research
laboratory,"n a workplace for the conduct of scientific research
n a region resembling a laboratory inasmuch as it offers opportunities for observation and practice and experimentation"
behind,"s. having the lower score or lagging position in a contest
r. in or to or toward the rear
r. remaining in a place or condition that has been left or departed from
r. of timepieces"
between,"r. in the interval
r. in between"
middle,"n. an intermediate part or section
n. the middle area of the human torso (usually in front)
n. time between the beginning and the end of a temporal period
v. put in the middle"
near,"a. not far distant in time or space or degree or circumstances
s. being on the left side
s. closely resembling the genuine article
r. near in time or place or relationship"
with,"n. See Withe.
prep. With denotes or expresses some situation or relation of
   nearness, proximity, association, connection, or the like.
prep. To denote a close or direct relation of opposition or
   hostility; -- equivalent to against.
prep. To denote association in respect of situation or
   environment; hence, among; in the company of.
prep. To denote a connection of friendship, support, alliance,
   assistance, countenance, etc.; hence, on the side of.
prep. To denote the accomplishment of cause, means, instrument,
   etc; -- sometimes equivalent to by.
prep. To denote association in thought, as for comparison or
   contrast.
prep. To denote simultaneous happening, or immediate succession
   or consequence.
prep. To denote having as a possession or an appendage; as, the
   firmament with its stars; a bride with a large fortune."
for,"prep. In the most general sense, indicating that in consideration
   of, in view of, or with reference to, which anything is done or takes
   place.
prep. Indicating the antecedent cause or occasion of an action;
   the motive or inducement accompanying and prompting to an act or state;
   the reason of anything; that on account of which a thing is or is done.
prep. Indicating the remoter and indirect object of an act; the
   end or final cause with reference to which anything is, acts, serves,
   or is done.
prep. Indicating that in favor of which, or in promoting which,
   anything is, or is done; hence, in behalf of; in favor of; on the side
   of; -- opposed to against.
prep. Indicating that toward which the action of anything is
   directed, or the point toward which motion is made; /ntending to go to.
prep. Indicating that on place of or instead of which anything
   acts or serves, or that to which a substitute, an equivalent, a
   compensation, or the like, is offered or made; instead of, or place of.
prep. Indicating that in the character of or as being which
   anything is regarded or treated; to be, or as being.
prep. Indicating that instead of which something else controls in
   the performing of an action, or that in spite of which anything is
   done, occurs, or is; hence, equivalent to notwithstanding, in spite of;
   -- generally followed by all, aught, anything, etc.
prep. Indicating the space or time through which an action or
   state extends; hence, during; in or through the space or time of.
prep. Indicating that in prevention of which, or through fear of
   which, anything is done.
conj. Because; by reason that; for that; indicating, in Old
   English, the reason of anything.
conj. Since; because; introducing a reason of something before
   advanced, a cause, motive, explanation, justification, or the like, of
   an action related or a statement made. It is logically nearly
   equivalent to since, or because, but connects less closely, and is
   sometimes used as a very general introduction to something suggested by
   what has gone before.
n. One who takes, or that which is said on, the affrimative side;
   that which is said in favor of some one or something; -- the antithesis
   of against, and commonly used in connection with it."
room,"n. an area within a building enclosed by walls and floor and ceiling
n. space for movement
n. opportunity for
n. the people who are present in a room"
day,"n. time for Earth to make a complete rotation on its axis
n. some point or period in time
n. a day assigned to a particular purpose or observance
n. the time after sunrise and before sunset while it is light outside"
today,"n. the present time or age
n. the day that includes the present moment (as opposed to yesterday or tomorrow)
r. on this day as distinct from yesterday or tomorrow"
Monday,n. the second day of the week; the first working day
Tuesday,n. the third day of the week; the second working day
Wednesday,n. the fourth day of the week; the third working day
Thursday,n. the fifth day of the week; the fourth working day
Friday,n. the sixth day of the week; the fifth working day
Saturday,n. the seventh and last day of the week; observed as the Sabbath by Jews and some Christians
Sunday,"n. first day of the week; observed as a day of rest and worship by most Christians
n. United States evangelist (1862-1935)"
birthday,"n. an anniversary of the day on which a person was born (or the celebration of it)
n. the date on which a person was born"
favourite,"n a competitor thought likely to win
n a special loved one
n something regarded with special favor or liking
s appealing to the general public
s preferred above all others and treated with partiality"
spring,"n. the season of growth
n. a metal elastic device that returns to its shape or position when pushed or pulled or pressed
n. a natural flow of ground water
n. a point at which water issues forth"
summer,"n. the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox
n. the period of finest development, happiness, or beauty
v. spend the summer"
autumn,n the season when the leaves fall from the trees
winter,"n. the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
v. spend the winter"
warm,"v. get warm or warmer
v. make warm or warmer
a. having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat
a. psychologically warm; friendly and responsive"
hot,"a. used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
s. characterized by violent and forceful activity or movement; very intense
a. extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm
s. (color) bold and intense"
cool,"n. the quality of being at a refreshingly low temperature
v. make cool or cooler
v. loose heat
v. lose intensity"
cold,"n. a mild viral infection involving the nose and respiratory passages (but not the lungs)
n. the sensation produced by low temperatures
a. having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration
a. extended meanings; especially of psychological coldness; without human warmth or emotion"
weather,"n. the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
v. face and withstand with courage
v. cause to slope
v. sail to the windward of"
like,"n. a similar kind
n. a kind of person
v. find enjoyable or agreeable
v. be fond of"
London,"n. the capital and largest city of England; located on the Thames in southeastern England; financial and industrial and cultural center
n. United States writer of novels based on experiences in the Klondike gold rush (1876-1916)"
basketball,"n. a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop
n. an inflated ball used in playing basketball"
football,"n. any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal
n. the inflated oblong ball used in playing American football"
swimming,n. the act of swimming
table tennis,none
sport,"n. an active diversion requiring physical exertion and competition
n. the occupation of athletes who compete for pay
n. (Maine colloquial) a temporary summer resident of Maine
n. a person known for the way she (or he) behaves when teased or defeated or subjected to trying circumstances"
let,"n. a serve that strikes the net before falling into the receiver's court; the ball must be served again
v. make it possible through a specific action or lack of action for something to happen
v. actively cause something to happen
v. leave unchanged"
us,"n North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
n a base containing nitrogen that is found in RNA (but not in DNA) and derived from pyrimidine; pairs with adenine
n a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons
n the 21st letter of the Roman alphabet"
let's,"n a brutal terrorist group active in Kashmir; fights against India with the goal of restoring Islamic rule of India
n a serve that strikes the net before falling into the receiver's court; the ball must be served again
v make it possible through a specific action or lack of action for something to happen
v actively cause something to happen
v consent to, give permission
v cause to move; cause to be in a certain position or condition
v leave unchanged
v grant use or occupation of under a term of contract"
let us,none
play,"n. a dramatic work intended for performance by actors on a stage
n. a theatrical performance of a drama
n. a preset plan of action in team sports
n. a state in which action is feasible"
after,"s. located farther aft
r. behind or in the rear"
school,"n. an educational institution
n. a building where young people receive education
n. the process of being formally educated at a school
n. a body of creative artists or writers or thinkers linked by a similar style or by similar teachers"
idea,"n. the content of cognition; the main thing you are thinking about
n. a personal view"
food,"n. any substance that can be metabolized by an animal to give energy and build tissue
n. any solid substance (as opposed to liquid) that is used as a source of nourishment
n. anything that provides mental stimulus for thinking"
drink,"n. a single serving of a beverage
n. the act of drinking alcoholic beverages to excess
n. any large deep body of water
v. take in liquids"
candy,n. a rich sweet made of flavored sugar and often combined with fruit or nuts
fruit,"n. the ripened reproductive body of a seed plant
n. the consequence of some effort or action
v. cause to bear fruit
v. bear fruit"
meat,n. the flesh of animals (including fishes and birds and snails) used as food
vegetable,"n. edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
n. any of various herbaceous plants cultivated for an edible part such as the fruit or the root of the beet or the leaf of spinach or the seeds of bean plants or the flower buds of broccoli or cauliflower"
apple,"n. fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
n. native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits"
bean,"n. any of various edible seeds of plants of the family Leguminosae used for food
n. any of various seeds or fruits that are beans or resemble beans
n. any of various leguminous plants grown for their edible seeds and pods
v. hit on the head, especially with a pitched baseball"
beef,"n. cattle that are reared for their meat
n. meat from an adult domestic bovine"
carrot,"n. deep orange edible root of the cultivated carrot plant
n. perennial plant widely cultivated as an annual in many varieties for its long conical orange edible roots; temperate and tropical regions
n. orange root; important source of carotene
n. promise of reward as in ""carrot and stick"";"
chicken,"n. the flesh of a chicken used for food
n. a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl
n. a foolhardy competition; a dangerous activity that is continued until one competitor becomes afraid and stops
s. easily frightened"
chocolate,"n. a food made from roasted ground cacao beans
n. a medium brown to dark-brown color"
coffee,"n. a beverage consisting of an infusion of ground coffee beans
n. any of several small trees and shrubs native to the tropical Old World yielding coffee beans"
cola,"n. large genus of African trees bearing kola nuts
n. carbonated drink flavored with extract from kola nuts (`dope' is a southernism in the United States)"
juice,"n. the liquid part that can be extracted from plant or animal tissue by squeezing or cooking
n. energetic vitality
n. electric current
n. any of several liquids of the body"
milk,"n. a white nutritious liquid secreted by mammals and used as food by human beings
n. produced by mammary glands of female mammals for feeding their young
n. a river that rises in the Rockies in northwestern Montana and flows eastward to become a tributary of the Missouri River
n. any of several nutritive milklike liquids"
potato,"n. an edible tuber native to South America; a staple food of Ireland
n. annual native to South America having underground stolons bearing edible starchy tubers; widely cultivated as a garden vegetable; vines are poisonous"
tea,"n. a beverage made by steeping tea leaves in water
n. a light midafternoon meal of tea and sandwiches or cakes
n. a tropical evergreen shrub or small tree extensively cultivated in e.g. China and Japan and India; source of tea leaves
n. a reception or party at which tea is served"
tomato,"n. mildly acid red or yellow pulpy fruit eaten as a vegetable
n. native to South America; widely cultivated in many varieties"
water,"n. binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent
n. once thought to be one of four elements composing the universe (Empedocles)
n. a liquid necessary for the life of most animals and plants
v. supply with water, as with channels or ditches or streams"
shop,"n. a mercantile establishment for the retail sale of goods or services
v. do one's shopping
v. shop around; not necessarily buying"
go shopping,none
have,"v. have or possess, either in a concrete or an abstract sense
v. have as a feature
v. have a personal or business relationship with someone
v. have left"
get,"n. a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent
v. come into the possession of something concrete or abstract
v. cause to move; cause to be in a certain position or condition
v. succeed in catching or seizing, especially after a chase"
have got,none
some,"a. quantifier; used with either mass nouns or plural count nouns to indicate an unspecified number or quantity
s. relatively much but unspecified in amount or extent
s. relatively many but unspecified in number
s. remarkable"
much,"n. a great amount or extent
a. (quantifier used with mass nouns) great in quantity or degree or extent
r. to a great degree or extent
r. very"
too much,none
kind,"n. a category of things distinguished by some common characteristic or quality
a. having or showing a tender and considerate and helpful nature; used especially of persons and their behavior
s. agreeable, conducive to comfort
s. tolerant and forgiving under provocation"
lots of,none
so,"r. to a very great extent or degree
r. in a manner that facilitates
r. in such a condition or manner, especially as expressed or implied
r. to a certain unspecified extent or degree"
How about ...?,none
has,"n (astronomy) the angular distance of a celestial point measured westward along the celestial equator from the zenith crossing; the right ascension for an observer at a particular location and time of day
v have or possess, either in a concrete or an abstract sense
v have as a feature
v go through (mental or physical states or experiences)
v have ownership or possession of
v cause to move; cause to be in a certain position or condition
v serve oneself to, or consume regularly
v have a personal or business relationship with someone
v organize or be responsible for
v have left
v be confronted with
v undergo
v suffer from; be ill with
v cause to do; cause to act in a specified manner
v receive willingly something given or offered
v get something; come into possession of
v undergo (as of injuries and illnesses)
v achieve a point or goal
v cause to be born
v have sex with; archaic use"
bad,"n. that which is below standard or expectations as of ethics or decency
a. having undesirable or negative qualities
s. very intense
s. feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad')"
healthy,"a. having or indicating good health in body or mind; free from infirmity or disease
s. financially secure and functioning well
s. promoting health; healthful
s. exercising or showing good judgment"
delicious,n. variety of sweet eating apples
bread,"n. food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
v. cover with bread crumbs"
fish,"n. any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
n. the flesh of fish used as food
v. seek indirectly
v. catch or try to catch fish or shellfish"
hamburger,"n. a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients"
ice cream,n frozen dessert containing cream and sugar and flavoring
noodle,n. a ribbonlike strip of pasta
rice,"n. grains used as food either unpolished or more often polished
n. annual or perennial rhizomatous marsh grasses; seed used for food; straw used for paper
n. English lyricist who frequently worked with Andrew Lloyd Webber (born in 1944)
n. United States playwright (1892-1967)"
sugar,"n. a white crystalline carbohydrate used as a sweetener and preservative
v. sweeten with sugar"
eat,"v. take in solid food
v. eat a meal; take a meal
v. worry or cause anxiety in a persistent way"
child,"n. a young person of either sex
n. a human offspring (son or daughter) of any age
n. an immature childish person
n. a member of a clan or tribe"
children,"n a young person of either sex
n a human offspring (son or daughter) of any age
n an immature childish person
n a member of a clan or tribe"
be good for,none
sweet,"n. English phonetician; one of the founders of modern phonetics (1845-1912)
n. a food rich in sugar
n. the taste experience when sugar dissolves in the mouth
a. having or denoting the characteristic taste of sugar"
be bad for,none
right,"n. an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away""
n. location near or direction toward the right side; i.e. the side to the south when a person or object faces east
n. those who support political or social or economic conservatism; those who believe that things are better left unchanged
n. the hand that is on the right side of the body"
egg,"n. animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
n. oval reproductive body of a fowl (especially a hen) used as food
v. throw eggs at
v. coat with beaten egg"
eye,"n. the organ of sight
n. good discernment (either visually or as if visually)
n. attention to what is seen
n. a small hole or loop (as in a needle)"
cheese,"n. a solid food prepared from the pressed curd of milk
v. used in the imperative (get away, or stop it)
v. wind onto a cheese"
tooth,"n. hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense
n. something resembling the tooth of an animal
n. toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell
n. a means of enforcement"
teeth,"n the kind and number and arrangement of teeth (collectively) in a person or animal
n hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense
n something resembling the tooth of an animal
n toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell
n a means of enforcement
n one of a number of uniform projections on a gear"
bit,"n. a small fragment of something broken off from the whole
n. piece of metal held in horse's mouth by reins and used to control the horse while riding
n. a unit of measurement of information (from binary + digit); the amount of information in a system having two equiprobable states
n. the part of a key that enters a lock and lifts the tumblers"
a bit, 3d sing. pres. of Abide.
tired,a. depleted of strength or energy
soup,"n. liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
n. any composition having a consistency suggestive of soup
n. an unfortunate situation
v. dope (a racehorse)"
important,"a. of great significance or value
s. having or suggesting a consciousness of high position"
remember,"v. recall knowledge from memory; have a recollection
v. keep in mind for attention or consideration
v. recapture the past; indulge in memories
v. show appreciation to"
well,"n. a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
n. a cavity or vessel used to contain liquid
n. an abundant source
n. an open shaft through the floors of a building (as for a stairway)"
stay,"n. continuing or remaining in a place or state
n. a judicial order forbidding some action until an event occurs or the order is lifted
n. a thin strip of metal or bone that is used to stiffen a garment (e.g. a corset)
n. (nautical) brace consisting of a heavy rope or wire cable used as a support for a mast or spar"
fat,"n. a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides)
a. having an (over)abundance of flesh
s. having a relatively large diameter
s. lucrative"
get fat,none
or,"n a state in northwestern United States on the Pacific
n a room in a hospital equipped for the performance of surgical operations"
breakfast,"n. the first meal of the day (usually in the morning)
v. eat an early morning meal
v. provide breakfast for"
every,"s. (used of count nouns) each and all of the members of a group considered singly and without exception
s. each and all of a series of entities or intervals as specified"
lunch,"n. a midday meal
v. take the midday meal
v. provide a midday meal for"
home,"n. where you live at a particular time
n. the country or state or city where you live
n. place where something began and flourished
n. an environment offering affection and security"
dinner,"n. the main meal of the day served in the evening or at midday
n. a party of people assembled to have dinner together"
banana,"n. any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
n. elongated crescent-shaped yellow fruit with soft sweet flesh"
buy,"v. obtain by purchase; acquire by means of a financial transaction
v. be worth or be capable of buying
v. acquire by trade or sacrifice or exchange
v. accept as true"
half,"n. one of two divisions into which some games or performances are divided: the two divisions are separated by an interval
s. consisting of one of two equivalent parts in value or quantity
s. partial
a. (of siblings) related through one parent only"
past,"n. the time that has elapsed
n. a earlier period in someone's life (especially one that they have reason to keep secret)
n. a verb tense that expresses actions or states in the past
a. earlier than the present time; no longer current"
o'clock,r. according to the clock
to,"prep. The preposition to primarily indicates approach and arrival,
   motion made in the direction of a place or thing and attaining it,
   access; and also, motion or tendency without arrival; movement toward;
   -- opposed to from.
prep. Hence, it indicates motion, course, or tendency toward a
   time, a state or condition, an aim, or anything capable of being
   regarded as a limit to a tendency, movement, or action; as, he is going
   to a trade; he is rising to wealth and honor.
prep. In a very general way, and with innumerable varieties of
   application, to connects transitive verbs with their remoter or
   indirect object, and adjectives, nouns, and neuter or passive verbs
   with a following noun which limits their action. Its sphere verges upon
   that of for, but it contains less the idea of design or appropriation;
   as, these remarks were addressed to a large audience; let us keep this
   seat to ourselves; a substance sweet to the taste; an event painful to
   the mind; duty to God and to our parents; a dislike to spirituous
   liquor.
prep. As sign of the infinitive, to had originally the use of last
   defined, governing the infinitive as a verbal noun, and connecting it
   as indirect object with a preceding verb or adjective; thus, ready to
   go, i.e., ready unto going; good to eat, i.e., good for eating; I do my
   utmost to lead my life pleasantly. But it has come to be the almost
   constant prefix to the infinitive, even in situations where it has no
   prepositional meaning, as where the infinitive is direct object or
   subject; thus, I love to learn, i.e., I love learning; to die for one's
   country is noble, i.e., the dying for one's country. Where the
   infinitive denotes the design or purpose, good usage formerly allowed
   the prefixing of for to the to; as, what went ye out for see? (Matt.
   xi. 8).
prep. In many phrases, and in connection with many other words, to
   has a pregnant meaning, or is used elliptically.
prep. Extent; limit; degree of comprehension; inclusion as far as;
   as, they met us to the number of three hundred.
prep. Effect; end; consequence; as, the prince was flattered to
   his ruin; he engaged in a war to his cost; violent factions exist to
   the prejudice of the state.
prep. Apposition; connection; antithesis; opposition; as, they
   engaged hand to hand.
prep. Accord; adaptation; as, an occupation to his taste; she has
   a husband to her mind.
prep. Comparison; as, three is to nine as nine is to twenty-seven;
   it is ten to one that you will offend him.
prep. Addition; union; accumulation.
prep. Accompaniment; as, she sang to his guitar; they danced to
   the music of a piano.
prep. Character; condition of being; purpose subserved or office
   filled."
art,"n. the products of human creativity; works of art collectively
n. the creation of beautiful or significant things
n. a superior skill that you can learn by study and practice and observation"
geography,n. study of the earth's surface; includes people's responses to topography and climate and soil and vegetation
history,"n. the aggregate of past events
n. a record or narrative description of past events
n. the discipline that records and interprets past events involving human beings
n. the continuum of events occurring in succession leading from the past to the present and even into the future"
IT,n the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information
maths,"n a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
n a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement"
PE,n. the 17th letter of the Hebrew alphabet
physical education,none
lesson,"n. a unit of instruction
n. a task assigned for individual study"
then,"n. that time; that moment
s. at a specific prior time
r. subsequently or soon afterward (often used as sentence connectors)
r. in that case or as a consequence"
like,"n. a similar kind
n. a kind of person
v. find enjoyable or agreeable
v. be fond of"
difficult,a. not easy; requiring great physical or mental effort to accomplish or comprehend or endure
love,"n. a strong positive emotion of regard and affection
n. any object of warm affection or devotion; 
n. a deep feeling of sexual desire and attraction
n. a score of zero in tennis or squash"
subject,"n. the subject matter of a conversation or discussion
n. something (a person or object or scene) selected by an artist or photographer for graphic representation
n. (grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated
n. a person who is subjected to experimental or other observational procedures; someone who is an object of investigation"
because,"conj. By or for the cause that; on this account that; for the
   reason that.
conj. In order that; that."
interesting,a. arousing or holding the attention
talk,"n. an exchange of ideas via conversation
n. discussion; (`talk about' is a less formal alternative for `discussion of')
n. the act of giving a talk to an audience
n. idle gossip or rumor"
begin,"n. Israeli statesman (born in Russia) who (as prime minister of Israel) negotiated a peace treaty with Anwar Sadat (then the president of Egypt) (1913-1992)
v. have a beginning, in a temporal, spatial, or evaluative sense
v. set in motion, cause to start
v. begin to speak or say"
when,"adv. At what time; -- used interrogatively.
adv. At what time; at, during, or after the time that; at or
   just after, the moment that; -- used relatively.
adv. While; whereas; although; -- used in the manner of a
   conjunction to introduce a dependent adverbial sentence or clause,
   having a causal, conditional, or adversative relation to the principal
   proposition; as, he chose to turn highwayman when he might have
   continued an honest man; he removed the tree when it was the best in
   the grounds.
adv. Which time; then; -- used elliptically as a noun."
go to school,none
weekday,n. any day except Sunday (and sometimes except Saturday)
get up,n a set of clothing (with accessories)
have breakfast,none
house,"n. a dwelling that serves as living quarters for one or more families
n. the members of a religious community living together
n. the audience gathered together in a theatre or cinema
n. an official assembly having legislative powers"
start,"n. the beginning of anything
n. a turn to be a starter (in a game at the beginning)
n. a line indicating the location of the start of a race or a game
n. the advantage gained by beginning early (as in a race)"
work,"n. activity directed toward making or doing something
n. a product produced or accomplished through the effort or activity or agency of a person or thing
n. (physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force
v. exert oneself by doing mental or physical work for a purpose or out of necessity"
break,"n. an unexpected piece of good luck
n. the occurrence of breaking
n. an abrupt change in the tone or register of the voice (as at puberty or due to emotion)
n. the opening shot that scatters the balls in billiards or pool"
have lunch,none
go home,none
evening,"n. the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
n. a later concluding time period
n. the early part of night (from dinner until bedtime) spent in a special way"
watch,"n. a small portable timepiece
n. a period of time (4 or 2 hours) during which some of a ship's crew are on duty
n. a purposeful surveillance to guard or observe
n. the period during which someone (especially a guard) is on duty"
have dinner,none
do,"n. the syllable naming the first (tonic) note of any major scale in solmization
v. get (something) done
v. proceed or get along
v. create or design, often in a certain way"
homework,n. preparatory school work done outside school (especially at home)
bed,"n. a piece of furniture that provides a place to sleep
n. a plot of ground in which plants are growing
n. a depression forming the ground under a body of water
n. (geology) a stratum of rock (especially sedimentary rock)"
go to bed,none
sleep,"n. a natural and periodic state of rest during which consciousness of the world is suspended
n. a torpid state resembling deep sleep
n. a period of time spent sleeping
v. be asleep"
go to sleep,none
park,"n. a large area of land preserved in its natural state as public property
n. a piece of open land for recreational use in an urban area
n. Scottish explorer in Africa (1771-1806)
n. a gear position that acts as a parking brake"
busy,"v. keep busy with
a. actively or fully engaged or occupied
s. overcrowded or cluttered with detail
s. crowded with or characterized by much activity"
wash,"n. a thin coat of water-base paint
n. the work of cleansing (usually with soap and water)
n. the dry bed of an intermittent stream (as at the bottom of a canyon)
n. a watercolor made by applying a series of monochrome washes one over the other"
face,"n. the front of the human head from the forehead to the chin and ear to ear
n. the general outward appearance of something
n. the striking or working surface of an implement
n. a part of a person that is used to refer to a person"
minute,"n. a unit of time equal to 60 seconds or 1/60th of an hour
n. a unit of angular distance equal to a 60th of a degree
n. a short note
s. characterized by painstaking care and detailed examination"
grandma,n. the mother of your father or mother
grandpa,n the father of your father or mother
