counteract,v. oppose and mitigate the effects of by contrary actions
remark,"n. a statement that expresses a personal opinion or belief or adds information
n. explicit notice"
postmark,"n. a cancellation mark stamped on mail by postal officials; indicates the post office and date of mailing
v. stamp with a postmark to indicate date and time of mailing"
immediate,"s. of the present time and place
a. having no intervening medium
s. immediately before or after as in a chain of cause and effect
s. performed with little or no delay"
intermediate,"n. a substance formed during a chemical process before the desired product is obtained
a. lying between two extremes in time or space or state"
medium,"n. a means or instrumentality for storing or communicating information
n. the surrounding environment
n. an intervening substance through which signals can travel as a means for communication
n. a liquid with which pigment is mixed by a painter"
medieval,"a. relating to or belonging to the Middle Ages
s. as if belonging to the Middle Ages; old-fashioned and unenlightened"
Mediterranean,"n. the largest inland sea; between Europe and Africa and Asia
a. of or relating to or characteristic of or located near the Mediterranean Sea"
midst,n. the location of something surrounded by other things
memorable,s. worth remembering
commemorate,"v. mark by some ceremony or observation
v. call to remembrance; keep alive the memory of someone or something, as in a ceremony
v. be or provide a memorial to a person or an event"
memorandum,n a written proposal or reminder
emerge,"v. come out into view, as from concealment
v. become known or apparent
v. come up to the surface of or rise"
merge,"v become one
v mix together different elements
v join or combine"
immerge,"v. t. To plungel into, under, or within anything especially a
   fuid; to dip; to immerse. See Immerse.
v. i. To dissapear by entering into any medium, as a star
   into the light of the sun."
submerge,"v. sink below the surface; go under or as if under water
v. cover completely or make imperceptible
v. put under water"
dimension,"n. the magnitude of something in a particular direction (especially length or width or height)
n. one of three Cartesian coordinates that determine a position in space
v. indicate the dimensions on
v. shape or form to required dimensions"
immense,s unusually great in size or amount or degree or especially extent or scope
asymmetry,n. (mathematics) a lack of symmetry
barometer,n. an instrument that measures atmospheric pressure
diameter,"n. the length of a straight line passing through the center of a circle and connecting two points on the circumference
n. a straight line connecting the center of a circle with two points on its perimeter (or the center of a sphere with two points on its surface)"
geometry,n. the pure mathematics of points and lines and curves and surfaces
thermometer,n. measuring instrument for measuring temperature
migrate,"v. move from one country or region to another and settle there
v. move periodically or seasonally"
migratory,a. used of animals that move seasonally
emigrate,v. leave one's country of residence for a new one
immigrate,"v. migrate to a new environment
v. introduce or send as immigrants
v. come into a new country and change residency"
migrant,"n. traveler who moves from one region or country to another
s. habitually moving from place to place especially in search of seasonal work"
military,"n. the military forces of a nation
a. of or relating to the study of the principles of warfare
a. characteristic of or associated with soldiers or the military
a. associated with or performed by members of the armed services as contrasted with civilians"
militant,"n. a militant reformer
s. disposed to warfare or hard-line policies"
paramilitary,"n. a group of civilians organized in a military fashion (especially to operate in place of or to assist regular army troops)
a. of or relating to a group of civilians organized to function like or to assist a military unit"
demilitarize,v. do away with the military organization and potential of
minimum,"n. the smallest possible quantity
n. the point on a curve where the tangent changes from negative on the left to positive on the right"
miniature,"n. painting or drawing included in a book (especially in illuminated medieval manuscripts)
n. a copy that reproduces a person or thing in greatly reduced size
s. being on a very small scale"
minister,"n. a person appointed to a high office in the government
n. a diplomat representing one government to another; ranks below ambassador
n. the job of a head of a government department
v. attend to the wants and needs of others"
ministry,"n. religious ministers collectively (especially Presbyterian)
n. building where the business of a government department is transacted
n. a government department under the direction of a minister
n. the work of a minister of religion"
permission,n. approval to do something
commit,"v. cause to be admitted; of persons to an institution
v. engage in or perform"
emission,"n. the act of emitting; causing to flow forth
n. the release of electrons from parent atoms
n. the occurrence of a flow of water (as from a pipe)"
commission,"n. a fee for services rendered based on a percentage of an amount received or collected or agreed to be paid (as distinguished from a salary)
n. the act of granting authority to undertake certain functions
n. the state of being in good working order and ready for operation
n. a formal statement of a command or injunction to do something"
submit,"v. refer for judgment or consideration
v. put before
v. yield to the control of another
v. yield to another's wish or opinion"
admit,"v. declare to be true or admit the existence or reality or truth of
v. allow to enter; grant entry to
v. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of
v. afford possibility"
emit,"v. expel (gases or odors)
v. give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc."
mission,"n. an organization of missionaries in a foreign land sent to carry on religious work
n. an operation that is assigned by a higher headquarters
n. a special assignment that is given to a person or group
n. the organized work of a religious missionary"
missionary,"n. someone who attempts to convert others to a particular doctrine or program
n. someone sent on a mission--especially a religious or charitable mission to a foreign country
a. relating to or connected to a religious mission"
transmit,v. send from one person or place to another
emissary,n. someone sent on a mission to represent the interests of someone else
remote,"n a device that can be used to control a machine or apparatus from a distance
s located far away spatially
s very unlikely
s separate or apart in time
s inaccessible and sparsely populated; 
a far apart in relevance or relationship or kinship"
emotion,n. any strong feeling
motion,"n. a change of position that does not entail a change of location
n. a state of change
n. a formal proposal for action made to a deliberative assembly for discussion and vote
n. the act of changing location from one place to another"
motivate,v. give an incentive for action
motive,s. causing or able to cause motion
motor,"n. machine that converts other forms of energy into mechanical energy and so imparts motion
n. a nonspecific agent that imparts motion"
promotion,"n. a message issued in behalf of some product or cause or idea or person or institution
n. act of raising in rank or position
n. encouragement of the progress or growth or acceptance of something"
commotion,n. the act of making a noisy disturbance
demobilize,"v. release from military service or remove from the active list of military service
v. retire from military service"
mobster,n a criminal who is a member of gang
motivational,a. of or relating to motivation
commodity,n. articles of commerce
modify,"v. make less severe or harsh or extreme
v. add a modifier to a constituent"
model,"n. a hypothetical description of a complex entity or process
n. a type of product
n. a person who poses for a photographer or painter or sculptor
n. representation of something (sometimes on a smaller scale)"
moderate,"v. preside over
v. make less fast or intense
a. being within reasonable or average limits; not excessive or extreme
s. not extreme"
monopoly,"n. (economics) a market in which there are many buyers but only one seller
n. exclusive control or possession of something
n. a board game in which players try to gain a monopoly on real estate as pieces advance around the board according to the throw of a die"
monologue,"n. a long utterance by one person (especially one that prevents others from participating in the conversation)
n. a (usually long) dramatic speech by a single actor"
monotonous,"s tediously repetitious or lacking in variety; all work and no play""
s sounded or spoken in a tone unvarying in pitch"
monochrome,n. painting done in a range of tones of a single color
monograph,n. a detailed and documented treatise on a particular subject
monolith,n. a single great stone (often in the form of a column or obelisk)
demonstrate,v. march in protest; take part in a demonstration
demonstration,"n. a show of military force or preparedness
n. a public display of group feelings (usually of a political nature)
n. proof by a process of argument or a series of proposition proving an asserted conclusion
n. a visual presentation showing how something works"
monster,"n. an imaginary creature usually having various human and animal parts
n. a cruel wicked and inhuman person
n. (medicine) a grossly malformed and usually nonviable fetus"
remonstrate,"v. argue in protest or opposition
v. present and urge reasons in opposition"
navigable,s. able to be sailed on or through safely
navigation,"n. the guidance of ships or airplanes from place to place
n. ship traffic"
aeronautics,n. the theory and practice of navigation through air or space
astronaut,n. a person trained to travel in a spacecraft
circumnavigate,"v. travel around, either by plane or ship"
autonomous,"s. (of political bodies) not controlled by outside forces
s. existing as an independent entity
s. (of persons) free from external control and constraint in e.g. action and judgment"
economic,"a. of or relating to an economy, the system of production and management of material wealth
a. of or relating to the science of economics
s. using the minimum of time or resources necessary for effectiveness
s. concerned with worldly necessities of life (especially money)"
autonomy,"n. immunity from arbitrary exercise of authority: political independence
n. personal independence"
economy,"n. the system of production and distribution and consumption
n. the efficient use of resources
n. frugality in the expenditure of money or resources
n. an act of economizing; reduction in cost"
astronomy,n. the branch of physics that studies celestial bodies and the universe as a whole
enormous,"s. extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman"
normal,"a. conforming with or constituting a norm or standard or level or type or social norm; not abnormal
a. in accordance with scientific laws
a. being approximately average or within certain limits in e.g. intelligence and development
s. forming a right angle"
abnormal,"a. not normal; not typical or usual or regular or conforming to a norm
a. departing from the normal in e.g. intelligence and development
s. much greater than the normal"
transnormal,none
subnormal,"n. a person of less than normal intelligence
s. below normal or average"
denote,"v. be a sign or indication of
v. have as a meaning"
notable,"n a celebrity who is an inspiration to others
s worthy of notice
s widely known and esteemed"
notify,v inform (somebody) of something
notorious,s known widely and usually unfavorably; 
notion,"n. a general inclusive concept
n. an odd or fanciful or capricious idea
n. (usually plural) small personal articles or clothing or sewing items"
notoriety,n. the state of being known for some unfavorable act or quality
innovation,"n a creation (a new device or process) resulting from study and experimentation
n the creation of something in the mind
n the act of starting something for the first time; introducing something new"
innovative,s. being or producing something like nothing done or experienced or created before
innovate,v bring something new to an environment
novel,"n. an extended fictional work in prose; usually in the form of a story
n. a printed and bound book that is an extended work of fiction
s. pleasantly new or different"
novice,n. someone new to a field or activity
nutrition,"n. (physiology) the organic process of nourishing or being nourished; the processes by which an organism assimilates food and uses it for growth and maintenance
n. the scientific study of food and drink (especially in humans)"
nutrient,n. any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
nutritional,a. of or relating to or providing nutrition
nurture,"n the properties acquired as a consequence of the way you were treated as a child
n helping someone grow up to be an accepted member of the community
v help develop, help grow
v bring up
v provide with nourishment"
nutritious,s of or providing nourishment
optic,"n the organ of sight
a of or relating to or resembling the eye
a relating to or using sight"
optical,a. of or relating to or involving light or optics
optometrist,n. a person skilled in testing for defects of vision in order to prescribe corrective glasses
optional,a. possible but not necessary; left to personal choice
adopt,"v. choose and follow; as of theories, ideas, policies, strategies or plans
v. take up and practice as one's own
v. take into one's family"
option,"n. the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n. one of a number of things from which only one can be chosen"
optimistic,a. expecting the best in this best of all possible worlds
optimism,"n. the optimistic feeling that all is going to turn out well
n. a general disposition to expect the best in all things"
optimum,"n. most favorable conditions or greatest degree or amount possible under given circumstances
s. most desirable possible under a restriction expressed or implied"
extraordinary,"a. beyond what is ordinary or usual; highly unusual or exceptional or remarkable
s. far more than usual or expected
s. (of an official) serving an unusual or special function in addition to those of the regular officials"
subordinate,"n. an assistant subject to the authority or control of another
v. rank or order as less important or consider of less value
v. make subordinate, dependent, or subservient
a. lower in rank or importance"
coordinate,"n. a number that identifies a position relative to an axis
v. bring into common action, movement, or condition
v. be co-ordinated
s. of equal importance, rank, or degree"
coordinator,n. someone whose task is to see that work goes harmoniously
originate,"v. come into existence; take on form or shape
v. bring into being
v. begin a trip at a certain point, as of a plane, train, bus, etc."
original,"n. something that serves as a model or a basis for making copies
s. preceding all others in time or being as first made or performed
s. (of e.g. information) not secondhand or by way of something intermediary
a. being or productive of something fresh and unusual; or being as first made or thought of"
origin,"n. properties attributable to your ancestry
n. an event that is a beginning; a first part or stage of subsequent events
n. the point of intersection of coordinate axes; where the values of the coordinates are all zero
n. the source of something's existence or from which it derives or is derived"
orientation,"n. the act of orienting
n. an integrated set of attitudes and beliefs
n. position or alignment relative to points of the compass or other specific directions
n. a person's awareness of self with regard to position and time and place and personal relationships"
orient,"v. be oriented
v. determine one's position with reference to another point
v. cause to point
v. familiarize (someone) with new surroundings or circumstances"
disorient,v. cause to be lost or disoriented
disorientate,v cause to be lost or disoriented
comparable,"a. able to be compared or worthy of comparison
s. conforming in every respect"
comparative,"n. the comparative form of an adjective or adverb
a. relating to or based on or involving comparison"
compare,"v. examine and note the similarities or differences of
v. be comparable
v. consider or describe as similar, equal, or analogous
v. to form the comparative or superlative form on an adjective or adverb"
disparage,v. express a negative opinion of
disparity,n. inequality or difference in some respect
nonpareil,"n. colored beads of sugar used as a topping on e.g. candies and cookies
n. a flat disk of chocolate covered with beads of colored sugar"
parity,"n. (obstetrics) the number of liveborn children a woman has delivered
n. (mathematics) a relation between a pair of integers: if both integers are odd or both are even they have the same parity; if one is odd and the other is even they have different parity
n. (physics) parity is conserved in a universe in which the laws of physics are the same in a right-handed system of coordinates as in a left-handed system
n. functional equality"
prepare,"v. to prepare verbally, either for written or spoken delivery
v. educate for a future role or function
v. lead up to and soften by sounding the dissonant note in it as a consonant note in the preceding chord"
apparatus,"n. equipment designed to serve a specific function
n. (anatomy) a group of body parts that work together to perform a given function"
depart,"v. leave
v. go away or leave"
apart,"s. remote and separate physically or socially
s. having characteristics not shared by others
r. separated or at a distance in place or position or time
r. not taken into account or excluded from consideration"
impart,"v. transmit (knowledge or skills)
v. transmit or serve as the medium for transmission"
particular,"n. a fact about some part (as opposed to general)
n. (logic) a proposition that asserts something about some (but not all) members of a class
s. unique or specific to a person or thing or category
s. separate and distinct from others of the same group or category"
partial,"s. being or affecting only a part; not total
a. showing favoritism"
participate,v. share in something
apartheid,n. a social policy or racial segregation involving political and economic and legal discrimination against people who are not Whites; the former official policy in South Africa
counterpart,"n. a person or thing having the same function or characteristics as another
n. a duplicate copy"
particle,"n. a body having finite mass and internal structure but negligible dimensions
n. a function word that can be used in English to form phrasal verbs"
compassion,"n. a deep awareness of and sympathy for another's suffering
n. the humane quality of understanding the suffering of others and wanting to do something about it"
pathetic,"s. inspiring mixed contempt and pity
s. inspiring scornful pity"
apathy,"n. an absence of emotion or enthusiasm
n. the trait of lacking enthusiasm for or interest in things generally"
bypass,"n. a surgically created shunt (usually around a damaged part)
v. avoid something unpleasant or laborious"
surpass,v. be or do something to a greater degree
compass,"n. navigational instrument for finding directions
n. the limit of capability
n. drafting instrument used for drawing circles
v. bring about; accomplish"
passage,"n. the act of passing from one state or place to the next
n. a section of text; particularly a section of medium length
n. a way through or along which someone or something may pass
n. a journey usually by ship"
passport,n. a document issued by a country to a citizen allowing that person to travel abroad and re-enter the home country
trespass,"n. a wrongful interference with the possession of property (personal property as well as realty), or the action instituted to recover damages
n. entry to another's property without right or permission
v. enter unlawfully on someone's property
v. make excessive use of"
appear,"v. come into sight or view
v. be issued or published
v. seem to be true, probable, or apparent
v. come into being or existence, or appear on the scene"
disappear,"v. get lost, as without warning or explanation"
appearance,"n. outward or visible aspect of a person or thing
n. the event of coming into sight
n. formal attendance (in court or at a hearing) of a party in an action
n. a mental representation"
reappear,v. appear again
independent,"a. free from external control and constraint
a. (of a clause) capable of standing syntactically alone as a complete sentence
s. not controlled by a party or interest group"
suspend,"v. hang freely
v. cause to be held in suspension in a fluid
v. bar temporarily; from school, office, etc.
v. make inoperative or stop"
depend,v. be contingent upon (something that is elided)
appendage,n. a part that is joined to something larger
suspense,"n. apprehension about what is going to happen
n. an uncertain cognitive state
n. excited anticipation of an approaching climax"
compendium,n. a concise but comprehensive summary of a larger work
compensate,"v. adjust for
v. make amends for; pay compensation for
v. make payment to; compensate"
expenditure,"n money paid out; an amount spent
n the act of spending money for goods or services
n the act of consuming something"
dispense,v. grant a dispensation; grant an exemption
pension,"n. a regular payment to a person that is intended to allow them to subsist without working
v. grant a pension to"
pensive,s. showing pensive sadness
dispenser,"n. a container so designed that the contents can be used in prescribed amounts
n. a person who dispenses"
appetite,n. a feeling of craving something
competitive,"a. involving competition or competitiveness
s. subscribing to capitalistic competition
s. showing a fighting disposition"
perpetuate,v. cause to continue or prevail
impetuous,s. marked by violent force
competent,"a. properly or sufficiently qualified or capable or efficient
s. adequate for the purpose
a. legally qualified or sufficient"
physical,"a. involving the body as distinguished from the mind or spirit
a. relating to the sciences dealing with matter and energy; especially physics
s. having substance or material existence; perceptible to the senses
s. according with material things or natural laws (other than those peculiar to living matter)"
physician,n a licensed medical practitioner
astrophysics,n. the branch of astronomy concerned with the physical and chemical properties of celestial bodies
geophysics,n. geology that uses physical principles to study properties of the earth
replace,"v. substitute a person or thing for (another that is broken or inefficient or lost or no longer working or yielding what is expected)
v. put something back where it belongs"
displace,"v. cause to move, usually with force or pressure
v. terminate the employment of; discharge from an office or position"
irreplaceable,a. impossible to replace
marketplace,n. an area in a town where a public mercantile establishment is set up
implement,"n. instrumentation (a piece of equipment or tool) used to effect an end
v. apply in a manner consistent with its purpose or design"
depletion,"n. the act of decreasing something markedly
n. the state of being depleted"
supplement,"n. a quantity added (e.g. to make up for a deficiency)
v. add as a supplement to what seems insufficient
v. serve as a supplement to"
complement,"n. a word or phrase used to complete a grammatical construction
n. a complete number or quantity
n. number needed to make up a whole force
n. something added to complete or embellish or make perfect"
replenish,v. fill something that had previously been emptied
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
complicate,"v. make more complicated
v. make more complex, intricate, or richer"
implication,"n. an accusation that brings into intimate and usually incriminating connection
n. a logical relation between propositions p and q of the form `if p then q'; if p is true then q cannot be false
n. a relation implicated by virtue of involvement or close connection (especially an incriminating involvement)"
comply,"v. act in accordance with someone's rules, commands, or wishes"
perplex,v. be a mystery or bewildering to
pliable,"s susceptible to being led or directed
s capable of being shaped or bent or drawn out
s able to adjust readily to different conditions
s capable of being bent or flexed or twisted without breaking"
replicate,v. reproduce or make an exact copy of
applicable,s. capable of being applied; having relevance
complexity,n. the quality of being intricate and compounded
complication,"n. the act or process of complicating
n. a situation or condition that is complex or confused
n. any disease or disorder that occurs during the course of (or because of) another disease
n. a development that complicates a situation"
duplex,"v. change into a duplex
s. (used technically of a device or process) having two parts
s. allowing communication in opposite directions simultaneously"
exploit,"v. use or manipulate to one's advantage
v. draw from; make good use of"
deploy,"v. place troops or weapons in battle formation
v. to distribute systematically or strategically"
employ,"n the state of being employed or having a job
v put into service; make work or employ for a particular purpose or for its inherent or natural purpose
v engage or hire for work"
overexploit,none
expose,"n. the exposure of an impostor or a fraud
v. expose or make accessible to some action or influence
v. to show, make visible or apparent
v. expose to light, of photographic film"
component,"n. an abstract part of something
n. an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system"
compose,"v. form the substance of
v. write music
v. put together out of existing material
v. calm (someone, especially oneself); make quiet"
composition,"n. the spatial property resulting from the arrangement of parts in relation to each other and to the whole
n. a mixture of ingredients
n. an essay (especially one written as an assignment)
n. something that is created by arranging several things to form a unified whole"
compound,"n. a whole formed by a union of two or more elements or parts
n. (chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight
n. an enclosure of residences and other building (especially in the Orient)
v. put or add together"
disposable,"n. an item that can be disposed of after it has been used
a. free or available for use or disposition
a. designed to be disposed of after use"
impose,"v compel to behave in a certain way
v impose something unpleasant
v impose and collect"
position,"n. the particular portion of space occupied by something
n. a way of regarding situations or topics etc.
n. the arrangement of the body and its limbs
n. a job in an organization"
positive,"n. the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution
n. a film showing a photographic image whose tones correspond to those of the original subject
a. characterized by or displaying affirmation or acceptance or certainty etc.
a. indicating existence or presence of a suspected condition or pathogen"
proposal,"n. something proposed (such as a plan or assumption)
n. the act of making a proposal"
purpose,"n. an anticipated outcome that is intended or that guides your planned actions
v. reach a decision"
suppose,v. express a supposition
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
composure,n. steadiness of mind under stress
postpone,v. hold back to a later time
supposition,n. the cognitive process of supposing
depositary,n a facility where things can be deposited for storage or safekeeping
transpose,"n. a matrix formed by interchanging the rows and columns of a given matrix
v. transfer a quantity from one side of an equation to the other side reversing its sign, in order to maintain equality
v. put (a piece of music) into another key"
population,"n. the people who inhabit a territory or state
n. a group of organisms of the same species inhabiting a given area
n. (statistics) the entire aggregation of items from which samples can be drawn
n. the number of inhabitants (either the total number or the number of a particular race or class) in a given place (country or city etc.)"
popularity,n. the quality of being widely admired or accepted or sought after
populate,"v. inhabit or live in; be an inhabitant of
v. fill with inhabitants"
publicity,n. the quality of being open to public view
popularize,"v. cater to popular taste to make popular and present to the general public; bring into general or common use
v. make understandable to the general public"
populace,n. people in general considered as a whole
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
apportion,"v distribute according to a plan or set apart for a special purpose
v give out as one's portion or share"
portion,"n something determined in relation to something that includes it
n something less than the whole of a human artifact
n the allotment of some amount by dividing something
n assets belonging to or due to or contributed by an individual person or group
n your overall circumstances or condition in life (including everything that happens to you)
n money or property brought by a woman to her husband at marriage
n an individual quantity of food or drink taken as part of a meal
v give out"
export,"n. commodities (goods or services) sold to a foreign country
v. sell or transfer abroad
v. transfer (electronic data) out of a database or document in a format that can be used by other programs
v. cause to spread in another part of the world"
portable,"n. a small light typewriter; usually with a case in which it can be carried
a. easily or conveniently transported
s. of a motor designed to be attached to the outside of a boat's hull"
import,"n. commodities (goods or services) bought from a foreign country
n. an imported person brought from a foreign country
v. bring in from abroad
v. transfer (electronic data) into a database or document"
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
appreciative,"s. feeling or expressive of gratitude
s. having or showing appreciation or a favorable critical judgment or opinion"
impress,"n. the act of coercing someone into government service
v. impress positively
v. produce or try to produce a vivid impression of
v. mark or stamp with or as if with pressure"
pressure,"n. the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
n. a force that compels
n. the somatic sensation that results from applying force to an area of skin
n. an oppressive condition of physical or mental or social or economic distress"
suppression,"n. the failure to develop some part or organ
n. the act of withholding or withdrawing some book or writing from publication or circulation
n. forceful prevention; putting down by power or authority"
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
impression,"n. a vague idea in which some confidence is placed
n. an outward appearance
n. all the copies of a work printed at one time
n. (dentistry) an imprint of the teeth and gums in wax or plaster"
impressive,"a. making a strong or vivid impression
s. producing a strong effect"
compress,"n. a cloth pad or dressing (with or without medication) applied firmly to some part of the body (to relieve discomfort or reduce fever)
v. make more compact by or as if by pressing
v. squeeze or press together"
oppress,v. come down on or keep down by unjust use of one's authority
depress,"v. lower someone's spirits; make downhearted
v. lower (prices or markets)
v. lessen the activity or force of"
express,"n. mail that is distributed by a rapid and efficient system
n. public transport consisting of a fast train or bus that makes only a few scheduled stops
n. rapid transport of goods
v. give expression to"
oppression,"n. the act of subjugating by cruelty
n. the state of being kept down by unjust use of force or authority: ""after years of oppression they finally revolted""
n. a feeling of being oppressed"
primary,"n. a preliminary election where delegates or nominees are chosen
n. one of the main flight feathers projecting along the outer edge of a bird's wing
n. (astronomy) a celestial body (especially a star) relative to other objects in orbit around it
a. of first rank or importance or value; direct and immediate rather than secondary"
principle,"n. a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct
n. a rule or standard especially of good behavior
n. a basic truth or law or assumption
n. a rule or law concerning a natural phenomenon or the function of a complex system"
prime,"n. a number that has no factor but itself and 1
n. the second canonical hour; about 6 a.m.
n. the time of maturity when power and vigor are greatest
v. insert a primer into (a gun, mine, or charge) preparatory to detonation or firing"
primitive,"n. a person who belongs to an early stage of civilization
n. a mathematical expression from which another expression is derived
n. a word serving as the basis for inflected or derived forms
s. used of preliterate or tribal or nonindustrial societies"
principal,"n. the original amount of a debt on which interest is calculated
n. the educator who has executive authority for a school
n. capital as contrasted with the income derived from it
n. (criminal law) any person involved in a criminal offense, regardless of whether the person profits from such involvement"
prior,n. the head of a religious order; in an abbey the prior is next below the abbot
priority,n. preceding in time
primeval,s having existed from the beginning; in an earliest or original stage or state
primogenitor,n an ancestor in the direct line
private,"n. an enlisted man of the lowest rank in the Army or Marines
a. confined to particular persons or groups or providing privacy
s. concerning things deeply private and personal"
deprive,"v. take away possessions from someone
v. keep from having, keeping, or obtaining
v. take away"
privilege,"n. a special advantage or immunity or benefit not enjoyed by all
n. (law) the right to refuse to divulge information obtained in a confidential relationship
v. bestow a privilege upon"
approve,"v. give sanction to
v. judge to be right or commendable; think well of"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
approbation,"n. official approval
n. official recognition or approval"
approval,"n. a feeling of liking something or someone good
n. acceptance as satisfactory
n. a message expressing a favorable opinion"
disapprove,"v. consider bad or wrong
v. deem wrong or inappropriate"
probation,"n. a trial period during which your character and abilities are tested to see whether you are suitable for work or for membership
n. a trial period during which an offender has time to redeem himself or herself
n. (law) a way of dealing with offenders without imprisoning them; a defendant found guilty of a crime is released by the court without imprisonment subject to conditions imposed by the court"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
enquire,"v inquire about
v conduct an inquiry or investigation of
v have a wish or desire to know something"
acquisition,"n. the act of contracting or assuming or acquiring possession of something
n. something acquired"
conquer,v. overcome by conquest
conquest,"n. the act of conquering
n. success in mastering something difficult"
request,"n. a formal message requesting something that is submitted to an authority
n. the verbal act of requesting
v. express the need or desire for; ask for
v. ask (a person) to do something"
require,"v require as useful, just, or proper
v consider obligatory; request and expect
v make someone do something
v have need of"
requisite,"n anything indispensable
s necessary for relief or supply"
enquiry,"n an instance of questioning
n a search for knowledge
n a systematic investigation of a matter of public interest"
prerequisite,"n. something that is required in advance
s. required as a prior condition or course of study"
query,"n an instance of questioning
v pose a question"
unconquerable,a. not capable of being conquered or vanquished or overcome
range,"n. the limits within which something can be effective
n. a large tract of grassy open land on which livestock can graze
n. a series of hills or mountains
n. a place for shooting (firing or driving) projectiles of various kinds"
arrange,"v. put into a proper or systematic order
v. make arrangements for
v. adapt for performance in a different way
v. arrange thoughts, ideas, temporal events"
arrangement,"n. an orderly grouping (of things or persons) considered as a unit; the result of arranging
n. an organized structure for arranging or classifying
n. the act of arranging and adapting a piece of music"
rearrange,v. put into a new order or arrangement
disrupt,v. throw into disorder
eruption,"n. symptom consisting of a breaking out and becoming visible
n. (of volcanos) pouring out fumes or lava (or a deposit so formed)
n. the emergence of a tooth as it breaks through the gum"
bankrupt,"n. someone who has insufficient assets to cover their debts
v. reduce to bankruptcy
s. financially ruined"
bankruptcy,"n. a state of complete lack of some abstract property
n. inability to discharge all your debts as they come due
n. a legal process intended to insure equality among the creditors of a corporation declared to be insolvent"
disruption,n. the act of causing disorder
disruptive,s. characterized by unrest or disorder or insubordination
interrupt,"n. a signal that temporarily stops the execution of a program so that another procedure can be carried out
v. make a break in
v. destroy the peace or tranquility of
v. interfere in someone else's activity"
sanitary,a. free from filth and pathogens
sanitation,"n. the state of being clean and conducive to health
n. making something sanitary (free of germs) as by sterilizing"
insane,a. afflicted with or characteristic of mental derangement
unsanitary,a. not sanitary or healthful
conscious,"s. intentionally conceived
a. knowing and perceiving; having awareness of surroundings and sensations and thoughts
s. (followed by `of') showing realization or recognition of something"
omniscient,s infinitely wise
prescient,s. perceiving the significance of events before they occur
ascribe,v attribute or credit to
prescribe,v issue commands or orders for
prescription,"n. directions prescribed beforehand; the action of prescribing authoritative rules or directions
n. written instructions for an optician on the lenses for a given person
n. written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient
a. available only with a doctor's written prescription"
describe,v. give a description of
inscribe,"v. draw within a figure so as to touch in as many places as possible
v. write, engrave, or print as a lasting record
v. address, (a work of literature) in a style less formal than a dedication"
subscribe,"v. offer to buy, as of stocks and shares
v. adopt as a belief
v. receive or obtain regularly"
transcript,"n. something that has been transcribed; a written record (usually typewritten) of dictated or recorded speech
n. a reproduction of a written record (e.g. of a legal or school record)"
sensitive,"a. responsive to physical stimuli
a. being susceptible to the attitudes, feelings, or circumstances of others
s. hurting
s. of or pertaining to classified information or matters affecting national security"
consensus,n. agreement in the judgment or opinion reached by a group as a whole
sensory,a. involving or derived from the senses
sensibility,"n. mental responsiveness and awareness
n. refined sensitivity to pleasurable or painful impressions"
sensible,"a. able to feel or perceive
s. readily perceived by the senses
s. aware intuitively or intellectually of something sensed"
sensitivity,"n. (physiology) responsiveness to external stimuli; the faculty of sensation
n. the ability to respond to physical stimuli or to register small physical amounts or differences
n. sensitivity to emotional feelings (of self and others)"
