abase,v cause to feel shame; hurt the pride of
override,"n. a manually operated device to correct the operation of an automatic device
v. prevail over
v. counteract the normal operation of (an automatic gear shift in a vehicle)
v. ride (a horse) too hard"
overshadow,"v. be greater in significance than
v. cast a shadow upon"
oversight,"n. an unintentional omission resulting from failure to notice something
n. a mistake resulting from inattention"
overstate,v. to enlarge beyond bounds or the truth
overt,a. open and observable; not secret or hidden
overview,n. a general summary of a subject
oxidize,v. add oxygen to or combine with oxygen
pacify,"v. cause to be more favorably inclined; gain the good will of
v. fight violence and try to establish peace in (a location)"
padlock,"n. a detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut
v. fasten with a padlock"
painstaking,s characterized by extreme care and great effort
pal,v. become friends; act friendly towards
palatable,a. acceptable to the taste or mind
palpable,"a. capable of being perceived; especially capable of being handled or touched or felt
s. can be felt by palpation"
pamper,v. treat with excessive indulgence
panoramic,s as from an altitude or distance
par,"n. (golf) the standard number of strokes set for each hole on a golf course, or for the entire course
v. make a score (on a hole) equal to par"
paradigm,"n. systematic arrangement of all the inflected forms of a word
n. the generally accepted perspective of a particular discipline at a given time"
paradoxical,s. seemingly contradictory but nonetheless possibly true
paramount,s having superior power and influence
paranoid,"n. a person afflicted with paranoia
s. suffering from paranoia"
parody,"n. a composition that imitates or misrepresents somebody's style, usually in a humorous way
n. humorous or satirical mimicry
v. make a spoof of or make fun of"
parole,"n. a promise
n. (law) a conditional release from imprisonment that entitles the person to serve the remainder of the sentence outside the prison as long as the terms of release are complied with
v. release a criminal from detention and place him on parole"
parry,"n. (fencing) blocking a lunge or deflecting it with a circular motion of the sword
v. impede the movement of (an opponent or a ball)"
partake,"v. have some of the qualities or attributes of something
v. have, give, or receive a share of
v. consume"
partisan,"n. a fervent and even militant proponent of something
n. a pike with a long tapering double-edged blade with lateral projections; 16th and 17th centuries
a. devoted to a cause or party"
pastoral,"n. a letter from a pastor to the congregation
n. a literary work idealizing the rural life (especially the life of shepherds)
a. of or relating to a pastor"
patchy,"s. irregular or uneven in quality, texture, etc."
patronage,"n. (politics) granting favors or giving contracts or making appointments to office in return for political support
v. support by being a patron of"
patronise,"v do one's shopping at; do business with; be a customer or client of
v assume sponsorship of
v treat condescendingly
v be a regular customer or client of"
patter,"n. a quick succession of light rapid sounds
v. make light, rapid and repeated sounds"
pawn,"n. an article deposited as security
n. (chess) the least powerful piece; moves only forward and captures only to the side; it can be promoted to a more powerful piece if it reaches the 8th rank
n. borrowing and leaving an article as security for repayment of the loan
v. leave as a guarantee in return for money"
pedantic,s marked by a narrow focus on or display of learning especially its trivial aspects
peek,n. a secret look
penalize,v impose a penalty on; inflict punishment on
pending,s. awaiting conclusion or confirmation
perceptible,"a. capable of being perceived by the mind or senses
s. easily perceived by the senses or grasped by the mind"
perception,"n. a way of conceiving something
n. the process of perceiving
n. knowledge gained by perceiving"
perceptive,"a. of or relating to perception
a. having the ability to perceive or understand; keen in discernment"
perfunctory,"s hasty and without attention to detail; not thorough
s as a formality only"
perilous,s fraught with danger
periodic,"a. happening or recurring at regular intervals
s. recurring or reappearing from time to time"
peripheral,"n. (computer science) electronic equipment connected by cable to the CPU of a computer
a. on or near an edge or constituting an outer boundary; the outer area
s. related to the key issue but not of central importance"
perish,v pass from physical life and lose all bodily attributes and functions necessary to sustain life
perjury,n. criminal offense of making false statements under oath
permeate,v. spread or diffuse through
permissible,"a. that may be permitted especially as according to rule
s. that may be accepted or conceded"
pernicious,"s exceedingly harmful
s working or spreading in a hidden and usually injurious way"
perpetrate,"v. perform an act, usually with a negative connotation"
perpetuate,v. cause to continue or prevail
personage,n. another word for person; a person not meriting identification
personify,v. attribute human qualities to something
pertain,v. be a part or attribute of
pertinent,s. having precise or logical relevance to the matter at hand
perturb,"v. disturb in mind or make uneasy or cause to be worried or alarmed
v. disturb or interfere with the usual path of an electron or atom
v. cause a celestial body to deviate from a theoretically regular orbital motion, especially as a result of interposed or extraordinary gravitational pull"
