abase,v cause to feel shame; hurt the pride of
hoot,"n. a loud raucous cry (as of an owl)
v. to utter a loud clamorous shout
v. utter the characteristic sound of owls"
hornet,n. large stinging paper wasp
horrid,s. exceedingly bad
horrific,"s grossly offensive to decency or morality; causing horror
s causing fear or dread or terror"
hot-blooded,s. prone to emotion
huddle,"n. (informal) a quick private conference
n. a disorganized and densely packed crowd
v. crowd or draw together
v. crouch or curl up"
hue,"n. the quality of a color as determined by its dominant wavelength
v. take on color or become colored"
huff,"n. a state of irritation or annoyance
v. inhale recreational drugs"
humbug,"n. communication (written or spoken) intended to deceive
v. trick or deceive"
hump,"n something that bulges out or is protuberant or projects from its surroundings
v round one's back by bending forward and drawing the shoulders forward
v have sexual intercourse with"
hunch,"n. the act of bending yourself into a humped position
v. round one's back by bending forward and drawing the shoulders forward"
hurdle,"n. a light movable barrier that competitors must leap over in certain races
n. an obstacle that you are expected to overcome
v. jump a hurdle"
husky,"n breed of heavy-coated Arctic sled dog
s muscular and heavily built
s deep and harsh sounding as if from shouting or illness or emotion"
hybrid,"n. a composite of mixed origin
n. (genetics) an organism that is the offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals of different varieties or breeds or species
s. produced by crossbreeding"
hype,v. publicize in an exaggerated and often misleading manner
hyperactive,s. more active than normal
hypercritical,s. inclined to judge too severely
hypocrisy,"n. an expression of agreement that is not supported by real conviction
n. insincerity by virtue of pretending to have qualities or beliefs that you do not really have"
hypothesis,"n. a proposal intended to explain certain facts or observations
n. a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena"
idolise,v love unquestioningly and uncritically or to excess; venerate as an idol
ignite,v. cause to start burning; subject to fire or great heat
ignoble,"a. completely lacking nobility in character or quality or purpose
s. not of the nobility"
ignominy,n a state of dishonor
illicit,a. contrary to accepted morality (especially sexual morality) or convention
illustrious,s. having or conferring glory
imbibe,v. receive into the mind and retain
imbue,v. suffuse with color
immaculate,"s. completely neat and clean
s. free from stain or blemish"
immaterial,"a. of no importance or relevance especially to a law case
a. not consisting of matter
s. (often followed by `to') lacking importance; not mattering one way or the other"
immerse,"v. thrust or throw into
v. enclose or envelop completely, as if by swallowing"
immunize,"v. law: grant immunity from prosecution
v. perform vaccinations or produce immunity in by inoculation"
impair,v. make worse or less effective
impale,v. kill by piercing with a spear or sharp pole
impart,"v. transmit (knowledge or skills)
v. transmit or serve as the medium for transmission"
impartial,a. showing lack of favoritism
impasse,"n a situation in which no progress can be made or no advancement is possible
n a street with only one way in or out"
impassioned,s characterized by intense emotion
impassive,s. having or revealing little emotion or sensibility; not easily aroused or excited
impeccable,s. not capable of sin
impede,v. be a hindrance or obstacle to
impediment,"n something immaterial that interferes with or delays action or progress
n any structure that makes progress difficult"
impel,v. urge or force (a person) to an action; constrain or motivate
impending,"v be imminent or about to happen
s close in time; about to occur"
impenetrable,"a. not admitting of penetration or passage into or through
s. impossible to understand"
imperceptible,a. impossible or difficult to perceive by the mind or senses
imperil,v pose a threat to; present a danger to
imperious,s having or showing arrogant superiority to and disdain of those one views as unworthy
impersonate,"v. assume or act the character of
v. represent another person with comic intentions"
impertinent,s. characterized by a lightly pert and exuberant quality
impetuous,s. marked by violent force
impetus,"n a force that moves something along
n the act of applying force suddenly"
impinge,v. impinge or infringe upon
implacable,a. incapable of being placated
implant,"n. a prosthesis placed permanently in tissue
v. fix or set securely or deeply
v. become attached to and embedded in the uterus"
implore,v call upon in supplication; entreat
impotent,"a. lacking power or ability; morality without technology is impotent""- Freeman J.Dyson
a. (of a male) unable to copulate"
impound,"v. take temporary possession of as a security, by legal authority
v. place or shut up in a pound"
impoverish,v. make poor
impregnable,"s. immune to attack; incapable of being tampered with
s. incapable of being overcome, challenged or refuted"
impregnate,"v. fill, as with a certain quality
v. infuse or fill completely
v. fertilize and cause to grow"
impressionable,a. easily impressed or influenced
imprint,"n. a distinctive influence
n. an identification of a publisher; a publisher's name along with the date and address and edition that is printed at the bottom of the title page
n. an impression produced by pressure or printing
n. a device produced by pressure on a surface"
impromptu,"n. an extemporaneous speech or remark
n. a short musical passage that seems to have been made spontaneously without advance preparation"
improvise,"v. perform without preparation
v. manage in a makeshift way; do with whatever is at hand"
imprudent,"a. not prudent or wise
s. lacking wise self-restraint"
inanimate,"a. belonging to the class of nouns denoting nonliving things
a. not endowed with life"
inarticulate,a. without or deprived of the use of speech or words
inborn,"s present at birth but not necessarily hereditary; acquired during fetal development
s normally existing at birth"
incapacitate,"v make unable to perform a certain action
v injure permanently"
incense,"n. a substance that produces a fragrant odor when burned
n. the pleasing scent produced when incense is burned"
incensed,"v perfume especially with a censer
v make furious
s angered at something unjust or wrong"
inception,n an event that is a beginning; a first part or stage of subsequent events
incessant,s uninterrupted in time and indefinitely long continuing
incipient,s. only partly in existence; imperfectly formed
incisive,s. suitable for cutting or piercing
incite,v. provoke or stir up
incriminate,v. suggest that someone is guilty
incubation,"n. maintaining something at the most favorable temperature for its development
n. (pathology) the phase in the development of an infection between the time a pathogen enters the body and the time the first symptoms appear"
inculcate,v. teach and impress by frequent repetitions or admonitions
incumbent,"n. the official who holds an office
s. lying or leaning on something else
s. necessary (for someone) as a duty or responsibility; morally binding
s. currently holding an office"
incur,v. make oneself subject to; bring upon oneself; become liable to
indelible,s. cannot be removed or erased
indemnify,"v. secure against future loss, damage, or liability; give security for"
indemnity,"n. protection against future loss
n. legal exemption from liability for damages"
indent,"n. an order for goods to be exported or imported
v. set in from the margin
v. cut or tear along an irregular line so that the parts can later be matched for authentication"
indeterminate,"a. not precisely determined or established; not fixed or known in advance
a. having a capacity for continuing to grow at the apex
s. of uncertain or ambiguous nature"
indict,v. accuse formally of a crime
indiscreet,a. lacking discretion; injudicious
indiscriminate,"s. failing to make or recognize distinctions
a. not marked by fine distinctions"
indisposed,"v make unwilling
v make unfit or unsuitable
v cause to feel unwell
s somewhat ill or prone to illness
s (usually followed by `to') strongly opposed"
indoctrinate,v. teach doctrines to; teach uncritically
indolent,"s. (of tumors, e.g.) slow to heal or develop and usually painless"
indubitable,s too obvious to be doubted
induct,"v. place ceremoniously or formally in an office or position
v. admit as a member
v. introduce or initiate"
infallible,a. incapable of failure or error
infamous,s known widely and usually unfavorably; 
infantile,"a. of or relating to infants or infancy
s. being or befitting or characteristic of an infant"
infatuated,"v arouse unreasoning love or passion in and cause to behave in an irrational way
s marked by foolish or unreasoning fondness"
infest,"v. invade in great numbers
v. live on or in a host, as of parasites"
infiltrate,"v. cause (a liquid) to enter by penetrating the interstices
v. enter a group or organization in order to spy on the members
v. pass into or through by filtering or permeating
v. pass through an enemy line; in a military conflict"
infirm,"s. lacking firmness of will or character or purpose; give me the daggers"" - Shakespeare"
inflame,"v. cause inflammation in
v. arouse or excite feelings and passions
v. become inflamed; get sore"
inflamed,"s. resulting from inflammation; hot and swollen and reddened
s. adorned with tongues of flame"
inflexible,"a. incapable of change
a. resistant to being bent; 
s. incapable of adapting or changing to meet circumstances"
inflict,v. impose something unpleasant
infrastructure,"n. the basic structure or features of a system or organization
n. the stock of basic facilities and capital equipment needed for the functioning of a country or area"
infringe,"v go against, as of rules and laws
v advance beyond the usual limit"
infuriate,v. make furious
infuse,"v. undergo the process of infusion
v. introduce into the body through a vein, for therapeutic purposes"
ingenuous,a. characterized by an inability to mask your feelings; not devious
ingrained,"v thoroughly work in
v produce or try to produce a vivid impression of
s (used especially of ideas or principles) deeply rooted; firmly fixed or held"
ingratiate,v. gain favor with somebody by deliberate efforts
inhibit,"v. limit the range or extent of
v. limit, block, or decrease the action or function of
v. control and refrain from showing; of emotions, desires, impulses, or behavior"
injurious,s harmful to living things
inmate,n. one of several resident of a dwelling (especially someone confined to a prison or hospital)
innate,"a not established by conditioning or learning
s being talented through inherited qualities
s present at birth but not necessarily hereditary; acquired during fetal development"
inoculate,"v. introduce an idea or attitude into the mind of
v. introduce a microorganism into
v. insert a bud for propagation"
inordinate,s beyond normal limits
inquisitive,"s. showing curiosity
s. inquiring or appearing to inquire"
insatiable,a impossible to satisfy
inset,"n. a small picture inserted within the bounds or a larger one
v. set or place in"
insidious,"s. beguiling but harmful
s. intended to entrap
s. working or spreading in a hidden and usually injurious way"
insinuate,v. introduce or insert (oneself) in a subtle manner
insipid,s. lacking interest or significance or impact
insofar,r. to the degree or extent that
insolent,"s marked by casual disrespect
s unrestrained by convention or propriety"
insoluble,"a. (of a substance) incapable of being dissolved
a. admitting of no solution or explanation
s. without hope of solution"
insomuch,r. to such an extent or degree; so
instigate,"v provoke or stir up
v serve as the inciting cause of"
instil,v enter drop by drop
instill,"v. impart gradually
v. enter drop by drop"
insular,"a. relating to or characteristic of or situated on an island
s. suggestive of the isolated life of an island; so deeply private as to seem inaccessible to the scrutiny of a novelist""- Leonard Michaels
s. narrowly restricted in outlook or scope"
insulate,"v. protect from heat, cold, or noise by surrounding with insulating material"
insuperable,"s. impossible to surmount
s. incapable of being surmounted or excelled"
insurgent,"n. a person who takes part in an armed rebellion against the constituted authority (especially in the hope of improving conditions)
s. in opposition to a civil authority or government"
insurmountable,a. not capable of being surmounted or overcome
insurrection,n organized opposition to authority; a conflict in which one faction tries to wrest control from another
intangible,"n. assets that are saleable though not material or physical
a. (of especially business assets) not having physical substance or intrinsic productive value
a. incapable of being perceived by the senses especially the sense of touch
s. hard to pin down or identify"
intelligible,"a. well articulated or enunciated, and loud enough to be heard distinctly"
interface,"n. (chemistry) a surface forming a common boundary between two things (two objects or liquids or chemical phases)
n. (computer science) a program that controls a display for the user (usually on a computer monitor) and that allows the user to interact with the system
n. the overlap where two theories or phenomena affect each other or have links with each other
n. (computer science) computer circuit consisting of the hardware and associated circuitry that links one device with another (especially a computer and a hard disk drive or other peripherals)"
interject,v. to insert between other elements
interlock,"n. a device that prevents an automotive engine from starting
v. coordinate in such a way that all parts work together effectively
v. become engaged or intermeshed with one another"
interminable,s tiresomely long; seemingly without end
intermingle,v combine into one
intermittent,s. stopping and starting at irregular intervals
intern,"n. an advanced student or graduate in medicine gaining supervised practical experience (`houseman' is a British term)
v. deprive of freedom
v. work as an intern"
interpose,"v. be or come between
v. introduce"
interrogate,"v. transmit (a signal) for setting off an appropriate response, as in telecommunication
v. pose a series of questions to"
intersperse,"v. place at intervals in or among
v. introduce one's writing or speech with certain expressions"
intimidate,"v. make timid or fearful
v. to compel or deter by or as if by threats"
intoxicate,"v. make drunk (with alcoholic drinks)
v. have an intoxicating effect on, of a drug"
intractable,a. not tractable; difficult to manage or mold
intransigent,"s impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
intrepid,s invulnerable to fear or intimidation
intrigue,"n. a crafty and involved plot to achieve your (usually sinister) ends
n. a clandestine love affair
v. cause to be interested or curious"
intrinsic,"a. belonging to a thing by its very nature
s. situated within or belonging solely to the organ or body part on which it acts"
introspection,n. the contemplation of your own thoughts and desires and conduct
introvert,"n. (psychology) a person who tends to shrink from social contacts and to become preoccupied with their own thoughts
v. turn inside"
intuition,"n. instinctive knowing (without the use of rational processes)
n. an impression that something might be the case"
inundate,"v. fill or cover completely, usually with water"
invalidate,"v. declare invalid
v. show to be invalid
v. take away the legal force of or render ineffective"
inveterate,"s habitual
r in a habitual and longstanding manner"
invidious,s containing or implying a slight or showing prejudice
invigorate,"v. impart vigor, strength, or vitality to"
invincible,s. incapable of being overcome or subdued
invoice,v. send an bill to
invoke,v. cite as an authority; resort to
involuntary,"a. not subject to the control of the will
a. controlled by the autonomic nervous system; without conscious control"
invulnerable,a. immune to attack; impregnable
irascible,"s quickly aroused to anger
s characterized by anger"
irradiate,"v. cast rays of light upon
v. expose to radiation"
irreconcilable,a. impossible to reconcile
irreducible,a. incapable of being made smaller or simpler
irreparable,"a. impossible to repair, rectify, or amend"
irrespective,r in spite of everything; without regard to drawbacks
irruption,"n. a sudden violent entrance; a bursting in
n. a sudden sharp increase in the relative numbers of a population"
itch,"n. an irritating cutaneous sensation that produces a desire to scratch
v. have or perceive an itch
v. cause to perceive an itch
v. have a strong desire or urge to do something"
iterate,v. run or be performed again
itinerant,"n. a laborer who moves from place to place as demanded by employment
s. traveling from place to place to work"
itinerary,"n an established line of travel or access
n a guidebook for travelers
n a proposed route of travel"
jab,"n. a sharp hand gesture (resembling a blow)
n. a quick short straight punch
v. poke or thrust abruptly
v. strike or punch with quick and short blows"
jaywalk,v. cross the road at a red light
jeer,"n. showing your contempt by derision
v. laugh at with contempt and derision"
jeopardise,v pose a threat to; present a danger to
jerky,n. meat (especially beef) cut in strips and dried in the sun
jest,n. activity characterized by good humor
jocular,"s characterized by jokes and good humor
r with humor"
jog,"n. a sharp change in direction
n. a slow pace of running
v. run for exercise
v. give a slight push to"
jolt,"n. a sudden jarring impact
v. move or cause to move with a sudden jerky motion
v. disturb (someone's) composure"
jostle,"n. the act of jostling (forcing your way by pushing)
v. make one's way by jostling, pushing, or shoving
v. come into rough contact with while moving"
jubilant,"s joyful and proud especially because of triumph or success
s full of high-spirited delight"
judicious,s. marked by the exercise of good judgment or common sense in practical matters
juggle,"n. the act of rearranging things to give a misleading impression
n. throwing and catching several objects simultaneously
v. influence by slyness
v. manipulate by or as if by moving around components"
jumble,"n. small flat ring-shaped cake or cookie
v. be all mixed up or jumbled together
v. assemble without order or sense"
juncture,"n. an event that occurs at a critical time
n. a crisis situation or point in time when a critical decision must be made"
jurisdiction,n. in law; the territory within which power can be exercised
juxtapose,v. place side by side
keel,"n. a projection or ridge that suggests a keel
n. the median ridge on the breastbone of birds that fly
n. one of the main longitudinal beams (or plates) of the hull of a vessel; can extend vertically into the water to provide lateral stability"
kindred,s. related by blood or marriage
knack,n a special way of doing something
knead,v. make uniform
laborious,s characterized by effort to the point of exhaustion; especially physical effort
lacquer,"n. a black resinous substance obtained from certain trees and used as a natural varnish
n. a hard glossy coating
v. coat with lacquer"
lament,"n. a cry of sorrow and grief
v. express grief verbally"
languid,s lacking spirit or liveliness
languish,v. become feeble
lapse,"n. a break or intermission in the occurrence of something
v. end, at least for a long time
v. drop to a lower level, as in one's morals or standards
v. let slip"
lavish,"v. expend profusely; also used with abstract nouns
s. very generous
s. characterized by extravagance and profusion"
lawsuit,n. a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
lax,"s. lacking in rigor or strictness
a. pronounced with muscles of the tongue and jaw relatively relaxed (e.g., the vowel sound in `bet')
a. lacking in strength or firmness or resilience
s. emptying easily or excessively"
lay-off,n. the act of laying off an employee or a work force
legalise,v make legal
legendary,s. so celebrated as to having taken on the nature of a legend
legible,"a. (of handwriting, print, etc.) capable of being read or deciphered"
legislate,"v. make laws, bills, etc. or bring into effect by legislation"
legitimise,v make legal
lenient,"s. not strict
s. characterized by tolerance and mercy"
lethal,s of an instrument of certain death
lieu,n the post or function properly or customarily occupied or served by another
liken,"v consider or describe as similar, equal, or analogous"
limelight,"n. a focus of public attention
n. a lamp consisting of a flame directed at a cylinder of lime with a lens to concentrate the light; formerly used for stage lighting"
liquidate,"v. eliminate by paying off (debts)
v. convert into cash
v. settle the affairs of by determining the debts and applying the assets to pay them off"
literally,"r. in a literal sense
r. (intensifier before a figurative expression) without exaggeration"
literate,"n. a person who can read and write
a. able to read and write
a. versed in literature; dealing with literature
s. knowledgeable and educated in one or several fields"
litigation,n. a legal proceeding in a court; a judicial contest to determine and enforce legal rights
liven,v make lively
livid,"s. (of a light) imparting a deathlike luminosity
s. furiously angry"
loathe,v find repugnant
loiter,v. be about
loll,"v hang loosely or laxly
v be lazy or idle"
loot,"n. goods or money obtained illegally
v. take illegally; of intellectual property"
lousy,s. infested with lice
lucid,s. having a clear mind
lucrative,s. producing a sizeable profit
ludicrous,"s broadly or extravagantly humorous; resembling farce
s incongruous; inviting ridicule"
lug,"n. ancient Celtic god
n. a projecting piece that is used to lift or support or turn something
v. carry with difficulty"
lukewarm,s. moderately warm
lull,"n. a period of calm weather
v. calm by deception
v. become quiet or less intensive"
luminous,s softly bright or radiant
lunge,"n. (fencing) an attacking thrust made with one foot forward and the back leg straight and with the sword arm outstretched forward
v. make a thrusting forward movement"
lurch,"n. an unsteady uneven gait
n. a decisive defeat in a game (especially in cribbage)
n. abrupt up-and-down motion (as caused by a ship or other conveyance)
n. the act of moving forward suddenly"
lure,n. qualities that attract by seeming to promise some kind of reward
lurk,"v. lie in wait, lie in ambush, behave in a sneaky and secretive manner"
luscious,"s having strong sexual appeal
s extremely pleasing to the sense of taste"
lush,s. full of juice
macho,n. a male exhibiting or characterized by machismo
madden,"v. cause to go crazy; cause to lose one's mind
v. drive up the wall; go on someone's nerves
v. make mad"
magnanimous,"s noble and generous in spirit
s generous and understanding and tolerant"
magnetism,"n. attraction for iron; associated with electric currents as well as magnets; characterized by fields of force
n. the branch of science that studies magnetism"
magnitude,"n. the property of relative size or extent (whether large or small)
n. relative importance"
maim,v. injure or wound seriously and leave permanent disfiguration or mutilation
majestic,s. majestic in manner or bearing; superior to mundane matters
makeshift,n. something contrived to meet an urgent need or emergency
malign,a. evil or harmful in nature or influence
malignancy,n. (medicine) a malignant state; progressive and resistant to treatment and tending to cause death
malignant,a. dangerous to health; characterized by progressive and uncontrolled growth (especially of a tumor)
mammoth,n. any of numerous extinct elephants widely distributed in the Pleistocene; extremely large with hairy coats and long upcurved tusks
manageable,a. capable of being managed or controlled
managerial,a. of or relating to the function or responsibility or activity of management
mandate,"n. a document giving an official instruction or command
n. a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
n. the commission that is given to a government and its policies through an electoral victory"
mandatory,"n the recipient of a mandate
n a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
s required by rule"
manful,"a possessing qualities befitting a man
s characteristic of a man"
mania,"n. an irrational but irresistible motive for a belief or action
n. a mood disorder; an affective disorder in which the victim tends to respond excessively and sometimes violently"
maniac,n. a person who has an obsession with or excessive enthusiasm for something
manoeuvre,"n a plan for attaining a particular goal
n a military training exercise
n a deliberate coordinated movement requiring dexterity and skill
n a move made to gain a tactical end
n an action aimed at evading an opponent
v act in order to achieve a certain goal
v direct the course; determine the direction of travelling
v perform a movement in military or naval tactics in order to secure an advantage in attack or defense"
manure,"n. any animal or plant material used to fertilize land especially animal excreta usually with litter material
v. spread manure, as for fertilization"
mar,v. make imperfect
marginal,s. producing at a rate that barely covers production costs
martial,"n. Roman poet noted for epigrams (first century BC)
s. of or relating to the armed forces"
mash,"n. a mixture of mashed malt grains and hot water; used in brewing
n. mixture of ground animal feeds"
masquerade,"n. a party of guests wearing costumes and masks
n. making a false outward show
v. take part in a masquerade
v. pretend to be someone or something that you are not"
mastermind,v. plan and direct (a complex undertaking)
materialise,v come into being; become reality
maul,"n. a heavy long-handled hammer used to drive stakes or wedges
v. split (wood) with a maul and wedges
v. injure badly by beating"
maxim,"n. a saying that is widely accepted on its own merits
n. English inventor (born in the United States) who invented the Maxim gun that was used in World War I (1840-1916)"
mayhem,n. the willful and unlawful crippling or mutilation of another person
maze,n. complex system of paths or tunnels in which it is easy to get lost
meagre,a deficient in amount or quality or extent
meander,"n. a bend or curve, as in a stream or river"
measurable,"a. capable of being measured
s. of distinguished importance"
meddle,v. intrude in other people's affairs or business; interfere unwantedly
mediate,"v. occupy an intermediate or middle position or form a connecting link or stage between two others
a. acting through or dependent on an intervening agency"
mediocre,"s. moderate to inferior in quality
s. poor to middling in quality"
meditate,"v reflect deeply on a subject
v think intently and at length, as for spiritual purposes"
meek,"s. humble in spirit or manner; suggesting retiring mildness or even cowed submissiveness
s. very docile
s. evidencing little spirit or courage; overly submissive or compliant"
mellow,"v. soften, make mellow
v. become more relaxed, easygoing, or genial
v. make or grow (more) mellow
s. having a full and pleasing flavor through proper aging"
menial,n. a domestic servant
mercantile,"a. of or relating to the economic system of mercantilism
s. profit oriented
s. relating to or characteristic of trade or traders"
mercenary,"n. a person hired to fight for another country than their own
s. serving for wages in a foreign army"
mesh,"n. the number of openings per linear inch of a screen; measures size of particles
n. the act of interlocking or meshing
v. work together in harmony"
mesmerise,"v attract strongly, as if with a magnet
v induce hypnosis in"
meticulous,"s. marked by precise accordance with details
s. marked by extreme care in treatment of details"
midget,"n a person who is markedly small
s very small"
migrant,"n. traveler who moves from one region or country to another
s. habitually moving from place to place especially in search of seasonal work"
militant,"n. a militant reformer
s. disposed to warfare or hard-line policies"
mimic,"n. someone who mimics (especially an actor or actress)
v. imitate (a person or manner), especially for satirical effect
s. constituting an imitation"
mirage,"n. an optical illusion in which atmospheric refraction by a layer of hot air distorts or inverts reflections of distant objects
n. something illusory and unattainable"
misapprehend,v interpret in the wrong way
misappropriate,v appropriate (as property entrusted to one's care) fraudulently to one's own use
misbehave,v. behave badly
miscarriage,n. failure of a plan
misconduct,n. bad or dishonest management by persons supposed to act on another's behalf
misgiving,n. doubt about someone's honesty
misplace,"v. place (something) where one cannot find it again
v. place or position wrongly; put in the wrong position"
mitigate,v. make less severe or harsh
mobilise,"v call to arms; of military personnel
v get ready for war
v make ready for action or use
v cause to move around"
mockery,"n showing your contempt by derision
n a composition that imitates or misrepresents somebody's style, usually in a humorous way
n humorous or satirical mimicry"
moisturise,v make (more) humid
molest,v. harass or assault sexually; make indecent advances to
mollify,v. make less rigid or softer
momentous,s. of very great significance
monotony,"n. the quality of wearisome constancy, routine, and lack of variety
n. constancy of tone or pitch or inflection"
monumental,"a. relating or belonging to or serving as a monument
s. of outstanding significance"
mope,"v. move around slowly and aimlessly
v. be apathetic, gloomy, or dazed"
morbid,s. suggesting an unhealthy mental state
mortality,n. the quality or state of being mortal
motionless,s not in physical motion
motley,"n. a garment made of motley (especially a court jester's costume)
n. a multicolored woolen fabric woven of mixed threads in 14th to 17th century England
v. make motley; color with different colors
s. having sections or patches colored differently and usually brightly"
movable,"s. (of personal property as opposed to real estate) can be moved from place to place (especially carried by hand)
s. capable of being moved or conveyed from one place to another"
muddle,v. make into a puddle
multilateral,a. having many parts or sides
multitude,"n. a large gathering of people
n. the common people generally"
mumble,"n. a soft indistinct utterance
v. talk indistinctly; usually in a low voice
v. grind with the gums; chew without teeth and with great difficulty"
mundane,"s. concerned with the world or worldly matters
s. belonging to this earth or world; not ideal or heavenly; yet a mundane wonder of unimagined kind"""
munition,"n. military supplies
v. supply with weapons"
muse,"n. in ancient Greek mythology any of 9 daughters of Zeus and Mnemosyne; protector of an art or science
n. the source of an artist's inspiration"
muster,"n. a gathering of military personnel for duty
v. gather or bring together
v. call to duty, military service, jury duty, etc."
mutilate,"v. destroy or injure severely
v. destroy or injure severely"
muzzle,"n. forward projecting part of the head of certain animals; includes the jaws and nose
n. a leather or wire restraint that fits over an animal's snout (especially a dog's nose and jaws) and prevents it from eating or biting
v. fit with a muzzle"
myriad,n. a large indefinite number
nab,"v. tag the base runner to get him out
v. seize suddenly"
nag,"v. bother persistently with trivial complaints
v. worry persistently
v. remind or urge constantly"
naturalise,"v adopt to another place
v make more natural or lifelike
v make into a citizen
v adapt (a wild plant or unclaimed land) to the environment"
nebulous,s. lacking definition or definite content
necessitate,"v. require as useful, just, or proper
v. cause to be a concomitant"
negate,v. prove negative; show to be false
negligible,"s. so small as to be meaningless; insignificant
s. not worth considering"
negotiable,"s. capable of being passed or negotiated
s. able to be negotiated or arranged by compromise"
nestle,"v. lie in a sheltered position
v. position comfortably"
neutralise,"v get rid of (someone who may be a threat) by killing
v make incapable of military action
v make ineffective by counterbalancing the effect of
v make chemically neutral"
nibble,"n. gentle biting
v. bite off very small pieces
v. bite gently
v. eat intermittently; take small bites of"
niche,"n. a position particularly well suited to the person who occupies it
n. (ecology) the status of an organism within its environment and community (affecting its survival as a species)"
nimble,"s moving quickly and lightly
s mentally quick"
nip,"n. a small drink of liquor
n. a tart spicy quality
n. a small sharp bite or snip
v. give a small sharp bite to"
nominal,"a. relating to or constituting or bearing or giving a name
s. insignificantly small; a matter of form only (`tokenish' is informal)
a. pertaining to a noun or to a word group that functions as a noun
a. of, relating to, or characteristic of an amount that is not adjusted for inflation"
nonchalant,s marked by blithe unconcern
nonetheless,r despite anything to the contrary (usually following a concession)
notwithstanding,r despite anything to the contrary (usually following a concession)
nude,"n. a painting of a naked human figure
n. without clothing (especially in the phrase `in the nude')
n. a naked person
n. a statue of a naked human figure"
nudge,"n. a slight push or shake
v. to push against gently
v. push into action by pestering or annoying gently"
numb,"v. make numb or insensitive
s. so frightened as to be unable to move; stunned or paralyzed with terror; petrified"
nurture,"n the properties acquired as a consequence of the way you were treated as a child
n helping someone grow up to be an accepted member of the community
v help develop, help grow
v bring up
v provide with nourishment"
nutrient,n. any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
obese,s excessively fat
obligatory,"a. morally or legally constraining or binding
s. required by obligation or compulsion or convention"
obliterate,"v. remove completely from recognition or memory
v. do away with completely, without leaving a trace"
oblivion,n. the state of being disregarded or forgotten
obscurity,"n. an obscure and unimportant standing; not well known
n. the state of being indistinct or indefinite for lack of adequate illumination"
observance,"n the act of observing; taking a patient look
n a formal event performed on a special occasion
n the act of noticing or paying attention
n conformity with law or custom or practice etc."
observant,"s. paying close attention especially to details
s. quick to notice; showing quick and keen perception"
obsess,v. be preoccupied with something
obsessive,n. a person who has obsessions
obsolete,s no longer in use
occupancy,n. an act of being a tenant or occupant
odds,"n. the likelihood of a thing occurring rather than not occurring
n. the ratio by which one better's wager is greater than that of another"
odour,"n the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form
n any property detected by the olfactory system"
offensive,"s. violating or tending to violate or offend against
a. for the purpose of attack rather than defense
a. causing anger or annoyance
a. unpleasant or disgusting especially to the senses"
offhand,"s. casually thoughtless or inconsiderate
r. without previous thought or preparation
r. in a casually inconsiderate manner"
ominous,"s threatening or foreshadowing evil or tragic developments
s presaging ill fortune"
omniscient,s infinitely wise
ongoing,s. currently happening
onslaught,n. a sudden and severe onset of trouble
ooze,"n any thick, viscous matter
n the process of seeping
v pass gradually or leak through or as if through small openings
v release (a liquid) in drops or small quantities"
opaque,"a. not transmitting or reflecting light or radiant energy; impenetrable to sight
s. not clearly understood or expressed"
operational,"a. pertaining to a process or series of actions for achieving a result
a. (military) of or intended for or involved in military operations
s. being in effect or operation"
operative,"a. being in force or having or exerting force
s. effective; producing a desired effect"
opt,v select as an alternative over another
optimise,"v make optimal; get the most out of; use best
v modify to achieve maximum efficiency in storage capacity or time or cost
v act as an optimist and take a sunny view of the world"
optimum,"n. most favorable conditions or greatest degree or amount possible under given circumstances
s. most desirable possible under a restriction expressed or implied"
opulent,s rich and superior in quality
opus,n a musical work that has been created
orchestrate,v. write an orchestra score for
ordain,"v. order by virtue of superior authority; decree
v. appoint to a clerical posts
v. invest with ministerial or priestly authority
v. issue an order"
orientation,"n. the act of orienting
n. an integrated set of attitudes and beliefs
n. position or alignment relative to points of the compass or other specific directions
n. a person's awareness of self with regard to position and time and place and personal relationships"
ornate,s marked by elaborate rhetoric and elaborated with decorative details
ostentatious,"a. intended to attract notice and impress others
s. (of a display) tawdry or vulgar"
oust,"v. remove from a position or office
v. remove and replace"
outcast,n. a person who is rejected (from society or home)
outfit,"n. any cohesive unit such as a military company
n. a set of clothing (with accessories)"
outgoing,"a. leaving a place or a position
a. retiring from a position or office"
outgrow,"v. grow too large or too mature for
v. grow faster than"
outlandish,s conspicuously or grossly unconventional or unusual
outlay,"n the act of spending or disbursing money
n money paid out; an amount spent"
outreach,n. the act of reaching out
outright,"s. without reservation or exception
r. without restrictions or stipulations or further payments
r. without reservation or concealment"
outspoken,s. given to expressing yourself freely or insistently
outweigh,v. be heavier than
ovation,n. enthusiastic recognition (especially one accompanied by loud applause)
overboard,"r. to extremes
r. from on board a vessel into the water"
