fiction,n. a literary work based on the imagination and not necessarily on fact
bridegroom,"n a man who has recently been married
n a man participant in his own marriage ceremony"
geometry,n. the pure mathematics of points and lines and curves and surfaces
debt,"n. the state of owing something (especially money)
n. money or goods or services owed by one person to another
n. an obligation to pay or do something"
categorise,v place into or assign to a category
profile,"n. an analysis (often in graphical form) representing the extent to which something exhibits various characteristics
n. an outline of something (especially a human face as seen from one side)
n. biographical sketch
n. a vertical section of the Earth's crust showing the different horizons or layers"
participant,n. someone who takes part in an activity
code,"n. a set of rules or principles or laws (especially written ones)
n. a coding system used for transmitting messages requiring brevity or secrecy
n. (computer science) the symbolic arrangement of data or instructions in a computer program or the set of such instructions
v. attach a code to"
orient,"v. be oriented
v. determine one's position with reference to another point
v. cause to point
v. familiarize (someone) with new surroundings or circumstances"
detective,"n. a police officer who investigates crimes
n. an investigator engaged or employed in obtaining information not easily available to the public"
graphic,"n. an image that is generated by a computer
s. written or drawn or engraved
s. describing nudity or sexual activity in graphic detail
a. of or relating to the graphic arts"
estate,"n. everything you own; all of your assets (whether real property or personal property) and liabilities
n. extensive landed property (especially in the country) retained by the owner for his own use"
estate agent,none
real estate agent,none
accountant,n. someone who maintains and audits business accounts
spy,"n. (military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors
n. a secret watcher; someone who secretly watches other people
v. watch, observe, or inquire secretly
v. catch sight of; to perceive with the eyes"
justice,"n. the quality of being just or fair
n. judgment involved in the determination of rights and the assignment of rewards and punishments"
accuse,v. bring an accusation against; level a charge against
come to a conclusion,none
greedy,s. wanting to eat or drink more than one can reasonably consume
entrepreneur,n. someone who organizes a business venture and assumes the risk for it
receptionist,n. a secretary whose main duty is to answer the telephone and receive visitors
CV,"n a summary of your academic and work history
s being five more than one hundred"
résumé,none
socialist,n. a political advocate of socialism
communist,"n. a member of the communist party
n. a socialist who advocates communism
a. relating to or marked by communism"
dedicate,"v. open to public use, as of a highway, park, or building
v. inscribe or address by way of compliment
v. set apart to sacred uses with solemn rites, of a church"
fox,"n. alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs
n. the grey or reddish-brown fur of a fox
n. English statesman who supported American independence and the French Revolution (1749-1806)
n. English religious leader who founded the Society of Friends (1624-1691)"
council,"n. a body serving in an administrative capacity
n. (Christianity) an assembly of theologians and bishops and other representatives of different churches or dioceses that is convened to regulate matters of discipline or doctrine
n. a meeting of people for consultation"
canal,"n. (astronomy) an indistinct surface feature of Mars once thought to be a system of channels; they are now believed to be an optical illusion
n. long and narrow strip of water made for boats or for irrigation
v. provide (a city) with a canal"
attend to,none
supervise,"v watch and direct
v keep tabs on; keep an eye on; keep under surveillance"
handwriting,"n. something written by hand
n. the activity of writing by hand"
disk,"n. something with a round shape resembling a flat circular plate
n. a flat circular plate"
disc,"n sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove
n something with a round shape resembling a flat circular plate
n (computer science) a memory device consisting of a flat disk covered with a magnetic coating on which information is stored
n a flat circular plate"
parking,"n. space in which vehicles can be parked
n. the act of maneuvering a vehicle into a location where it can be left temporarily"
camel,n. cud-chewing mammal used as a draft or saddle animal in desert regions
fry,"n. English painter and art critic (1866-1934)
n. English dramatist noted for his comic verse dramas (born 1907)
v. be excessively hot
v. cook on a hot surface using fat"
purse,"n. a sum of money spoken of as the contents of a money purse
n. a small bag for carrying money
n. a sum of money offered as a prize
v. contract one's lips into a rounded shape"
sew,"v. fasten by sewing; do needlework
v. create (clothes) with cloth"
sewed,s. fastened with stitches
sewn,"v fasten by sewing; do needlework
v create (clothes) with cloth
s fastened with stitches"
sewed,s. fastened with stitches
knit,"n. a fabric made by knitting
n. a basic knitting stitch
n. needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine
v. make (textiles) by knitting"
wool,"n. a fabric made from the hair of sheep
n. fiber sheared from animals (such as sheep) and twisted into yarn for weaving
n. outer coat of especially sheep and yaks"
intermediate,"n. a substance formed during a chemical process before the desired product is obtained
a. lying between two extremes in time or space or state"
priority,n. preceding in time
proficiency,"n. the quality of having great facility and competence
n. skillfulness in the command of fundamentals deriving from practice and familiarity"
cage,"n. an enclosure made or wire or metal bars in which birds or animals can be kept
n. something that restricts freedom as a cage restricts movement
n. United States composer of avant-garde music (1912-1992)
n. the net that is the goal in ice hockey"
collar,"n. a band that fits around the neck and is usually folded over
n. (zoology) an encircling band or marking around the neck of any animal
n. anything worn or placed about the neck
n. a short ring fastened over a rod or shaft to limit, guide, or secure a machine part"
flea collar,none
finance,"n. the commercial activity of providing funds and capital
n. the branch of economics that studies the management of money and other assets
n. the management of money and credit and banking and investments
v. obtain or provide money for"
receipt,"n. an acknowledgment (usually tangible) that payment has been made
v. mark or stamp as paid"
certificate,"n. a document attesting to the truth of certain stated facts
v. present someone with a certificate
v. authorize by certificate"
employer,n. a person or firm that employs workers
desert,"n. arid land with little or no vegetation
v. leave behind"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
Marie Curie,none
The Communist Manifesto,none
Olivia,none
PETS,"n a domesticated animal kept for companionship or amusement
n a special loved one
n a fit of petulance or sulkiness (especially at what is felt to be a slight)
n using a computerized radiographic technique to examine the metabolic activity in various tissues (especially in the brain)
v stroke or caress gently
v stroke or caress in an erotic manner, as during lovemaking"
Public English Test System,none
