textbook,n. a book prepared for use in schools or colleges
subject matter,none
theme,"n. a unifying idea that is a recurrent element in literary or artistic work
n. (music) melodic subject of a musical composition
v. provide with a particular theme or motive"
commission,"n. a fee for services rendered based on a percentage of an amount received or collected or agreed to be paid (as distinguished from a salary)
n. the act of granting authority to undertake certain functions
n. the state of being in good working order and ready for operation
n. a formal statement of a command or injunction to do something"
color film,none
crop,"n. the yield from plants in a single growing season
n. a cultivated plant that is grown commercially on a large scale
n. a collection of people or things appearing together
n. the output of something in a season"
dimension,"n. the magnitude of something in a particular direction (especially length or width or height)
n. one of three Cartesian coordinates that determine a position in space
v. indicate the dimensions on
v. shape or form to required dimensions"
author,v. be the author of
authorship,n. the act of initiating a new idea or theory or writing
biographer,n. someone who writes an account of a person's life
biography,n. an account of the series of events making up a person's life
illustrator,n. an artist who makes illustrations (for books or magazines or advertisements etc.)
journalist,n. a writer for newspapers and magazines
narrator,n. someone who tells a story
narrative,"n. a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
s. consisting of or characterized by the telling of a story"
novelist,n. one who writes novels
poet,n. a writer of poems (the term is usually reserved for writers of good poetry)
storyteller,n. someone who tells lies
science fiction,none
dime novel,none
comic book,none
novella,n a short novel
poem,n. a composition written in metrical feet forming rhythmical lines
poetry,"n. literature in metrical form
n. any communication resembling poetry in beauty or the evocation of feeling"
essay,"n. an analytic or interpretive literary composition
n. a tentative attempt"
mythology,"n. myths collectively; the body of stories associated with a culture or institution or person
n. the study of myths"
anecdote,n. short account of an incident (especially a biographical one)
tale,"n a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
n a trivial lie"
fairy tale,"n. a story about fairies; told to amuse children
n. an interesting but highly implausible story; often told as an excuse"
folktale,n. a tale circulated by word of mouth among the common folk
folk legend,none
storyline,n. the plot of a book or play or film
plot,"n. a secret scheme to do something (especially something underhand or illegal)
n. a small area of ground covered by specific vegetation
n. the story that is told in a novel or play or movie etc.
n. a chart or map showing the movements or progress of an object"
plot development,none
fictional,a. related to or involving literary fiction
paraphrase,"n. rewording for the purpose of clarification
v. express the same message in different words"
standpoint,n a mental position from which things are viewed
tragedy,n. drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity
dramatic literature,none
romantic literature,none
realistic literature,none
publisher,"n. a firm in the publishing business
n. a person engaged in publishing periodicals or books or music
n. the proprietor of a newspaper"
press,"n. the print media responsible for gathering and publishing news in the form of newspapers or magazines
n. a machine used for printing
n. clamp to prevent wooden rackets from warping when not in use
n. any machine that exerts pressure to form or shape or cut materials or extract liquids or compress solids"
penny press,none
edition,"n. the form in which a text (especially a printed book) is published
n. all of the identical copies of something offered to the public at the same time
n. an issue of a newspaper"
literacy,n. the ability to read and write
literate,"n. a person who can read and write
a. able to read and write
a. versed in literature; dealing with literature
s. knowledgeable and educated in one or several fields"
phrase,"n. an expression consisting of one or more words forming a grammatical constituent of a sentence
n. a short musical passage
n. dance movements that are linked in a single choreographic sequence
v. divide, combine, or mark into phrases"
contemporary review,none
musician,"n. someone who plays a musical instrument (as a profession)
n. artist who composes or conducts music as a profession"
composer,n. someone who composes music as a profession
composition,"n. the spatial property resulting from the arrangement of parts in relation to each other and to the whole
n. a mixture of ingredients
n. an essay (especially one written as an assignment)
n. something that is created by arranging several things to form a unified whole"
compose,"v. form the substance of
v. write music
v. put together out of existing material
v. calm (someone, especially oneself); make quiet"
cabaret,"n. a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink
n. a series of acts at a night club"
concert,"n. a performance of music by players or singers not involving theatrical staging
v. contrive (a plan) by mutual agreement
v. settle by agreement"
concert hall,none
music venue,none
conservatory,"n. the faculty and students of a school specializing in one of the fine arts
n. a schoolhouse with special facilities for fine arts
n. a greenhouse in which plants are arranged in a pleasing manner"
heyday,n the period of greatest prosperity or productivity
genre,"n. a kind of literary or artistic work
n. a class of art (or artistic endeavor) having a characteristic form or technique"
trend,"n a general direction in which something tends to move
n general line of orientation
n a general tendency to change (as of opinion)
n the popular taste at a given time
v turn sharply; change direction abruptly"
dominant view,none
mainstream,n. the prevailing current of thought
musical element,none
ballad,"n. a narrative song with a recurrent refrain
n. a narrative poem of popular origin"
blues,"n. a type of folksong that originated among Black Americans at the beginning of the 20th century; has a melancholy sound from repeated use of blue notes
n. a state of depression"
original score,none
rock 'n' roll,n a genre of popular music originating in the 1950s; a blend of black rhythm-and-blues with white country-and-western
jazz,"n. a genre of popular music that originated in New Orleans around 1900 and developed through increasingly complex styles
n. a style of dance music popular in the 1920s; similar to New Orleans jazz but played by large bands
v. play something in the style of jazz"
opera,"n. a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes
n. a commercial browser
n. a building where musical dramas are performed"
Broadway musical,none
folk music,none
choir,"n. a chorus that sings as part of a religious ceremony
n. a family of similar musical instrument playing together
n. the area occupied by singers; the part of the chancel between sanctuary and nave
v. sing in a choir"
university choir,none
accompaniment,"n. an event or situation that happens at the same time as or in connection with another
n. a musical part (vocal or instrumental) that supports or provides background for other musical parts"
recital,"n. performance of music or dance especially by soloists
n. a detailed statement giving facts and figures
n. a detailed account or description of something"
orchestra,"n. a musical organization consisting of a group of instrumentalists including string players
n. seating on the main floor in a theater"
jazz orchestra,none
acoustic,"n. a remedy for hearing loss or deafness
a. of or relating to the science of acoustics"
acoustic guitar,none
acoustics,n. the study of the physical properties of sound
acoustical,a of or relating to the science of acoustics
acoustical quality,none
tone,"n. the quality of a person's voice
n. (linguistics) a pitch or change in pitch of the voice that serves to distinguish words in tonal languages
n. a steady sound without overtones
n. a musical interval of two semitones"
tone quality,none
bass,"n. the lowest part of the musical range
n. the lowest part in polyphonic music
n. an adult male singer with the lowest voice
n. the lowest adult male singing voice"
distortion,"n. a change for the worse
n. a change (usually undesired) in the waveform of an acoustic or analog electrical signal; the difference between two measurements of a signal (as between the input and output signal)
n. the act of distorting something so it seems to mean something it was not intended to mean"
rhythm,"n. the basic rhythmic unit in a piece of music
n. recurring at regular intervals
n. the arrangement of spoken words alternating stressed and unstressed elements"
lyric,"n. the text of a popular song or musical-comedy number
n. a short poem of songlike quality
v. write lyrics for (a song)
s. expressing deep emotion"
sheet music,none
instrument,"n. a device that requires skill for proper use
n. the means whereby some act is accomplished
n. a person used by another to gain an end
v. equip with instruments for measuring, recording, or controlling"
percussion instrument,none
string instrument,none
drama,"n. an episode that is turbulent or highly emotional
n. the literary genre of works intended for the theater
n. the quality of being arresting or highly emotional"
musical drama,none
perform,"v. carry out or perform an action
v. perform a function
v. give a performance (of something)"
live performance,none
theatrical performance,none
performing art,none
audition,"n. a test of the suitability of a performer
v. perform in order to get a role"
audience,"n. a gathering of spectators or listeners at a (usually public) performance
n. the part of the general public interested in a source of information or entertainment"
audience members,none
live audience,none
intended audience,none
spectator,n. a close observer; someone who looks at something (such as an exhibition of some kind)
listener,n someone who listens attentively
performance area,none
playhouse,n. plaything consisting of a small model of a house that children can play inside of
prop,n. a support placed beneath or against something to keep it from shaking or falling
costume,"n. the attire worn in a play or at a fancy dress ball
n. unusual or period attire not characteristic of or appropriate to the time and place
n. the prevalent fashion of dress (including accessories and hair style as well as garments)
n. the attire characteristic of a country or a time or a social class"
gesture,"n. motion of hands or body to emphasize or help to express a thought or feeling
n. the use of movements (especially of the hands) to communicate familiar or prearranged signals
n. something done as an indication of intention"
close-up shot,none
scene,"n. the place where some action occurs
n. an incident (real or imaginary)
n. a consecutive series of pictures that constitutes a unit of action in a film
n. a subdivision of an act of a play"
scenery,"n. the painted structures of a stage set that are intended to suggest a particular locale
n. the appearance of a place"
background scenery,none
theatrical production,none
ballerina,n. a female ballet dancer
lead dancer,none
performer,n. an entertainer who performs a dramatic or musical work for an audience
practice room,none
choreograph,"v. compose a sequence of dance steps, often to music
v. plan and oversee the development and details of"
dance tune,none
line-up,n. a line of persons arranged by police for inspection or identification
rehearsal,"n. a practice session in preparation for a public performance (as of a play or speech or concert)
n. (psychology) a form of practice; repetition of information (silently or aloud) in order to keep it in short-term memory"
intermission,n. the act of suspending activity temporarily
setting,"n. the context and environment in which something is set
n. the state of the environment in which a situation exists
n. the physical position of something"
actor,"n. a theatrical performer
n. a person who acts and gets things done"
main character,none
film maker,n a producer of motion pictures
producer,"n. someone who finds financing for and supervises the making and presentation of a show (play or film or program or similar work)
n. something that produces"
movie theater,none
public theater,none
editing room,none
studio,"n. workplace for the teaching or practice of an art
n. workplace consisting of a room or building where movies or television shows or radio programs are produced and recorded"
studio musician,none
projector,"n. an optical device for projecting a beam of light
n. an optical instrument that projects an enlarged image onto a screen"
film projector,none
projection,"n. a prediction made by extrapolating from past observations
n. the projection of an image from a film onto a screen
n. any structure that branches out from a central support
n. any solid convex shape that juts out from something"
narration,"n. the act of giving an account describing incidents or a course of events
n. (rhetoric) the second section of an oration in which the facts are set forth"
film music,none
soundtrack,n. sound recording on a narrow strip of a motion picture film
short film,none
playwriting,none
loose end,none
film appreciation,none
dramatic element,none
Antarctica,"n. an extremely cold continent at the south pole almost entirely below the Antarctic Circle; covered by an ice cap up to 13,000 feet deep"
Atlantic Ocean,none
arctic circle,none
continent,"n. one of the large landmasses of the earth
n. the European mainland
a. having control over urination and defecation"
continental,"a. of or pertaining to or typical of Europe
a. of or relating to or concerning the American colonies during and immediately after the American Revolutionary War
a. of or relating to or characteristic of a continent
a. being or concerning or limited to a continent especially the continents of North America or Europe"
continental plates,none
continental drift,none
tectonic plates,none
plate tectonic theory,none
oceanic plate,none
plate boundary,none
crust,"n. the outer layer of the Earth
n. a hard outer layer that covers something
n. the trait of being rude and impertinent; inclined to take liberties
v. form a crust or form into a crust"
earth crust,none
mantle,"n. the cloak as a symbol of authority
n. United States baseball player (1931-1997)
n. the layer of the earth between the crust and the core
n. (zoology) a protective layer of epidermis in mollusks or brachiopods that secretes a substance forming the shell"
ocean floor,none
bedrock,n. solid unweathered rock lying beneath surface deposits of soil
layer,"n. single thickness of usually some homogeneous substance
n. a relatively thin sheetlike expanse or region lying over or under another
n. a hen that lays eggs
n. thin structure composed of a single thickness of cells"
rock layer,none
equator,"n. an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles
n. a circle dividing a sphere or other surface into two usually equal and symmetrical parts"
equatorial region,none
landscape,"n. an expanse of scenery that can be seen in a single view
n. painting depicting an expanse of natural scenery
n. a genre of art dealing with the depiction of natural scenery
n. an extensive mental viewpoint"
topographic,a concerned with topography
geographic regions,none
peninsula,n. a large mass of land projecting into a body of water
basin,"n. a bowl-shaped vessel; usually used for holding food or liquids
n. the quantity that a basin will hold
n. a natural depression in the surface of the land often with a lake at the bottom of it"
erode,"v. become ground down or deteriorate
v. remove soil or rock"
erosion,"n. (geology) the mechanical process of wearing or grinding something down (as by particles washing over it)
n. condition in which the earth's surface is worn away by the action of water and wind
n. a gradual decline of something"
canyon,n. a ravine formed by a river in an area with little rainfall
valley,n. a long depression in the surface of the land that usually contains a river
crack,"n. a long narrow opening
n. a sudden sharp noise
n. a blemish resulting from a break without complete separation of the parts
n. a purified and potent form of cocaine that is smoked rather than snorted; highly addictive"
ridge,"n. a long narrow natural elevation or striation
n. any long raised strip
n. a long narrow natural elevation on the floor of the ocean
n. a long narrow range of hills"
cavern,"n. any large dark enclosed space
n. a large cave or a large chamber in a cave
v. hollow out as if making a cavern"
bank,"n. sloping land (especially the slope beside a body of water)
n. a long ridge or pile
n. an arrangement of similar objects in a row or in tiers
n. a supply or stock held in reserve for future use (especially in emergencies)"
shallow,"v. make shallow
v. become shallow
a. lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center
a. not deep or strong; not affecting one deeply"
shore,"n. the land along the edge of a body of water
n. a beam or timber that is propped against a structure to provide support
v. serve as a shore to"
puddle,"n. a mixture of wet clay and sand that can be used to line a pond and that is impervious to water when dry
v. wade or dabble in a puddle
v. subject to puddling or form by puddling
v. dip into mud before planting"
waterway,n. a navigable body of water
canal,"n. (astronomy) an indistinct surface feature of Mars once thought to be a system of channels; they are now believed to be an optical illusion
n. long and narrow strip of water made for boats or for irrigation
v. provide (a city) with a canal"
clay,"n. a very fine-grained soil that is plastic when moist but hard when fired
n. United States general who commanded United States forces in Europe from 1945 to 1949 and who oversaw the Berlin airlift (1897-1978)
n. United States politician responsible for the Missouri Compromise between free and slave states (1777-1852)"
mud,"n. water soaked soil; soft wet earth
n. slanderous remarks or charges
v. plaster with mud"
salt marshes,plural of salt-marsh
soil properties,none
soil sample,none
fertile,a. capable of reproducing
barren,"n. an uninhabited wilderness that is worthless for cultivation
s. not bearing offspring
s. completely wanting or lacking"
acid,"n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
n. street name for lysergic acid diethylamide
s. having the characteristics of an acid"
mineralize,"v. convert into a mineral substance
v. transform (a metal) into an ore"
sediment,"n. matter that has been deposited by some natural process
v. deposit as a sediment
v. settle as sediment"
sedimentary rock,none
rock fragment,none
limestone,n. a sedimentary rock consisting mainly of calcium that was deposited by the remains of marine animals
crater,"n. a faint constellation in the southern hemisphere near Hydra and Corvus
n. a bowl-shaped depression formed by the impact of a meteorite or bomb"
volcano,n. a mountain formed by volcanic material
volcanic,"a. relating to or produced by or consisting of volcanoes
s. explosively unstable
s. igneous rock produced by eruption and solidified on or near the earth's surface; rhyolite or andesite or basalt"
volcanic eruption,none
melting point,none
molten rock,none
magma,n. molten rock in the earth's crust
lava,n. rock that in its molten form (as magma) issues from volcanos; lava is what magma is called when it reaches the surface
geologic time,none
glacier,n. a slowly moving mass of ice
solid ice,none
harsh winter,none
ice crystal,none
freezing cold,none
crevasse,n. a deep fissure
anti-freeze,n. a liquid added to the water in a cooling system to lower its freezing point
thaw,"n. the process whereby heat changes something from a solid to a liquid
n. warm weather following a freeze; snow and ice melt
n. a relaxation or slackening of tensions or reserve; becoming less hostile"
circular,"n. an advertisement (usually printed on a page or in a leaflet) intended for wide distribution
s. describing a circle; moving in a circle"
circulatory system,none
aquifer,n. underground bed or layer yielding ground water for wells and springs etc
vaporize,"v kill with or as if with a burst of gunfire or electric current or as if by shooting
v turn into gas
v lose or cause to lose liquid by vaporization leaving a more concentrated residue
v decrease rapidly and disappear"
evaporate,"v. lose or cause to lose liquid by vaporization leaving a more concentrated residue
v. cause to change into a vapor
v. change into a vapor"
water vapor,none
moist,s slightly wet
moisture,n. wetness caused by water
condensation,"n. (psychoanalysis) an unconscious process whereby two ideas or images combine into a single symbol; especially in dreams
n. the process of changing from a gaseous to a liquid or solid state
n. atmospheric moisture that has condensed because of cold"
precipitation,"n. the quantity of water falling to earth at a specific place within a specified period of time
n. the process of forming a chemical precipitate
n. the falling to earth of any form of water (rain or snow or hail or sleet or mist)"
water current,none
salt water,n water containing salts
fresh water,n water that is not salty
standing water,none
breeze,"n. a slight wind (usually refreshing)
v. blow gently and lightly
v. to proceed quickly and easily"
dominant wind,none
tropical,"s. relating to or situated in or characteristic of the tropics (the region on either side of the equator)
a. of or relating to the tropics, or either tropic
s. characterized by or of the nature of a trope or tropes; changed from its literal sense
s. of weather or climate; hot and humid as in the tropics"
subtropical regions,none
temperate,"a. (of weather or climate) free from extremes; mild; or characteristic of such weather or climate
a. not extreme in behavior"
temperate climate,none
fossil fuels,none
crude oils,none
oil field,n. a region rich in petroleum deposits (especially one with producing oil wells)
petroleum,n. a dark oil consisting mainly of hydrocarbons
gasoline,n. a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines
refiner,n. one whose work is to refine a specific thing
methane,n. a colorless odorless gas used as a fuel
natural gas,none
natural phenomenon,none
anomaly,"n. deviation from the normal or common order or form or rule
n. a person who is unusual
n. (astronomy) position of a planet as defined by its angular distance from its perihelion (as observed from the sun)"
deforestation,"n. the state of being clear of trees
n. the removal of trees"
landfill,n. a low area that has been filled in
heavy metal,none
land reclamation,none
waste water treatment,none
water conservation,none
micro-organisms,n. any organism of microscopic size
algae,n primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves
bacteria,n. (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants
bacterium,n (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants
fungus,n. an organism of the kingdom Fungi lacking chlorophyll and feeding on organic matter; ranging from unicellular or multicellular organisms to spore-bearing syncytia
fungi,"n. the taxonomic kingdom including yeast, molds, smuts, mushrooms, and toadstools; distinct from the green plants"
microbe,n. a minute life form (especially a disease-causing bacterium); the term is not in technical use
organism,"n. a living thing that has (or can develop) the ability to act or function independently
n. a system considered analogous in structure or function to a living body"
microorganism,n. any organism of microscopic size
single organism,none
solid organism,none
organism material,none
organic molecule,none
inorganic,"a. relating or belonging to the class of compounds not having a carbon basis
a. lacking the properties characteristic of living organisms"
tissue,"n. part of an organism consisting of an aggregate of cells having a similar structure and function
n. a soft thin (usually translucent) paper"
decomposer,none
carbohydrate,n. an essential structural component of living cells and source of energy for animals; includes simple sugars with small molecules as well as macromolecular substances; are classified according to the number of monosaccharide groups they contain
mutation,"n. (genetics) any event that changes genetic structure; any alteration in the inherited nucleic acid sequence of the genotype of an organism
n. a change or alteration in form or qualities"
cell division,none
galaxy,"n. a splendid assemblage (especially of famous people)
n. (astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust"
galaxy clusters,none
solar system,none
sunspot,n. a cooler darker spot appearing periodically on the sun's photosphere; associated with a strong magnetic field
planetary,a. of or relating to or characteristic of the planet Earth or its inhabitants
terrestrial plants,none
gas giant,none
Venus,"n. the second nearest planet to the sun; it is peculiar in that its rotation is slow and retrograde (in the opposite sense of the Earth and all other planets except Uranus); it is visible from Earth as an early `morning star' or an `evening star'
n. goddess of love; counterpart of Greek Aphrodite
n. type genus of the family Veneridae: genus of edible clams with thick oval shells"
Saturn,"n. a giant planet that is surrounded by three planar concentric rings of ice particles; the 6th planet from the sun
n. (Roman mythology) god of agriculture and vegetation; counterpart of Greek Cronus"
Jupiter,"n. the largest planet and the 5th from the sun; has many satellites and is one of the brightest objects in the night sky
n. (Roman mythology) supreme god of Romans; counterpart of Greek Zeus"
Mars,"n. a small reddish planet that is the 4th from the sun and is periodically visible to the naked eye; minerals rich in iron cover its surface and are responsible for its characteristic color
n. (Roman mythology) Roman god of war and agriculture; father of Romulus and Remus; counterpart of Greek Ares"
lunar,a. of or relating to or associated with the moon
asteroid,"n. any of numerous small celestial bodies composed of rock and metal that move around the sun (mainly between the orbits of Mars and Jupiter)
s. shaped like a star"
comet,n. (astronomy) a relatively small extraterrestrial body consisting of a frozen mass that travels around the sun in a highly elliptical orbit
debris,n. the remains of something that has been destroyed or broken up
meteor,n. a streak of light in the sky at night that results when a meteoroid hits the earth's atmosphere and air friction causes the meteoroid to melt or vaporize or explode
meteorite,n. stony or metallic object that is the remains of a meteoroid that has reached the earth's surface
atmosphere,"n. a particular environment or surrounding influence
n. the mass of air surrounding the Earth
n. the weather or climate at some place
n. the envelope of gases surrounding any celestial body"
extraterrestrial,a. originating or located or occurring outside Earth or its atmosphere
outer space,none
gravitation,"n. movement downward resulting from gravitational attraction
n. a figurative movement toward some attraction"
gravitational,a. of or relating to or caused by gravitation
astronomy,n. the branch of physics that studies celestial bodies and the universe as a whole
astronomer,n. a physicist who studies astronomy
astronomical,"a relating or belonging to the science of astronomy
s inconceivably large"
astronomical units,none
astronaut,n. a person trained to travel in a spacecraft
space agency,none
emit,"v. expel (gases or odors)
v. give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc."
light year,n the distance that light travels in a vacuum in 1 year; 5.88 trillion miles or 9.46 trillion kilometers
escape velocity,none
orbit,"n. the (usually elliptical) path described by one celestial body in its revolution about another
n. the path of an electron around the nucleus of an atom"
geostationary orbit,none
radiation,"n. energy that is radiated or transmitted in the form of rays or waves or particles
n. the act of spreading outward from a central source
n. the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay
n. the spread of a group of organisms into new habitats"
optical radiation,none
spacecraft,"n. a craft capable of traveling in outer space; technically, a satellite around the sun"
space shuttle,none
satellite,"n. man-made equipment that orbits around the earth or the moon
n. a person who follows or serves another
n. any celestial body orbiting around a planet or star
v. broadcast or disseminate via satellite"
telescope,"n. a magnifier of images of distant objects
v. crush together or collapse
v. make smaller or shorter"
radio telescope,none
a head start,none
back and forth,none
beat-up,s damaged by blows or hard usage
best bet,none
blank out,none
blow away,none
boil down,none
box in,none
carry away,none
clear-cut,"v. remove all the trees at one time
s. clearly or sharply defined to the mind
s. having had all the trees removed at one time"
comes to light,none
draw the line,none
drown out,none
ease the pain,none
fade away,none
far-fetched,s. highly imaginative but unlikely
far-between,none
flip through,none
free rider,none
get around,none
get-go,n. the time at which something is supposed to begin
get in the way,none
get rid of,none
get the picture,none
go down the drain,none
goof off,n an idle worthless person
hang around,none
hang on,none
joke around,none
just in case,none
last-minute,s. just before a deadline; at the last minute
long shot,none
long story short,none
low-key,s. restrained in style or quality
novel idea,none
over my head,none
play it safe,none
picky eater,none
pile up,n. multiple collisions of vehicles
piping hot,none
pitch in,none
ring off the hook,none
rule of thumb,none
sell yourself short,none
sit back,none
skating on thin ice,none
start from scratch,none
stand a chance,none
stay up all night,none
sticking out,none
take a stab,none
take comfort,none
the plot thickens,none
threw ... for a loop,none
tongue in cheek,"s cleverly amusing in tone
r in a bantering fashion
r not seriously"
toss around,none
up and down,none
way off,none
wander around,none
wear and tear,none
well-fed,s. properly nourished
wind up,s. operated by a mechanism
word of mouth,s expressed orally
abandon,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims"
absence,"n. the state of being absent
n. failure to be present
n. the time interval during which something or somebody is away
n. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy"
abundantly,r. in an abundant manner
according,"s. (followed by `to') in agreement with or accordant with
s. (followed by `to') as reported or stated by"
accumulate,v. collect or gather
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
adapt,"v. make fit for, or change to suit a new purpose"
adaptive,a. having a capacity for adaptation
adjacent,"s. nearest in space or position; immediately adjoining without intervening space
s. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""
s. near or close to but not necessarily touching"
allow,"v. let have
v. give or assign a resource to a particular person or cause
v. allow or plan for a certain possibility; concede the truth or validity of something
v. grant as a discount or in exchange"
alter,"v. make an alteration to
v. remove the ovaries of"
annual,"n. (botany) a plant that completes its entire life cycle within the space of a year
n. a reference book that is published regularly once every year
a. completing its life cycle within a year
s. occurring or payable every year"
apparent,"s. clearly revealed to the mind or the senses or judgment
s. appearing as such but not necessarily so"
approach,"n. ideas or actions intended to deal with a problem or situation
n. the act of drawing spatially closer to something
n. the event of one object coming closer to another
n. the temporal property of becoming nearer in time"
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
assure,"v. inform positively and with certainty and confidence
v. assure somebody of the truth of something with the intention of giving the listener confidence"
autonomy,"n. immunity from arbitrary exercise of authority: political independence
n. personal independence"
capacity,"n. capability to perform or produce
n. the amount that can be contained
n. the maximum production possible
n. a specified function"
cease,n. (`cease' is a noun only in the phrase `without cease') end
characteristic,"n. a distinguishing quality
n. the integer part (positive or negative) of the representation of a logarithm; in the expression log 643 = 2.808 the characteristic is 2
n. any measurable property of a device measured under closely specified conditions
a. typical or distinctive"
comparative,"n. the comparative form of an adjective or adverb
a. relating to or based on or involving comparison"
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
component,"n. an abstract part of something
n. an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system"
compose,"v. form the substance of
v. write music
v. put together out of existing material
v. calm (someone, especially oneself); make quiet"
concentration,"n. the strength of a solution; number of molecules of a substance in a given volume
n. the spatial property of being crowded together
n. strengthening the concentration (as of a solute in a mixture) by removing diluting material
n. increase in density"
concept,n. an abstract or general idea inferred or derived from specific instances
consequently,"r. (sentence connectors) because of the reason given
r. as a consequence"
considerable,a. large or relatively large in number or amount or extent or degree
constant,"n. a quantity that does not vary
n. a number representing a quantity assumed to have a fixed value in a specified mathematical context
a. steadfast in purpose or devotion or affection"
construct,"v. make by combining materials and parts
v. draw with suitable instruments and under specified conditions
v. create by linking linguistic units
v. create by organizing and linking ideas, arguments, or concepts"
consumption,"n. the process of taking food into the body through the mouth (as by eating)
n. (economics) the utilization of economic goods to satisfy needs or in manufacturing
n. the act of consuming something"
continuous,"a. continuing in time or space without interruption
a. of a function or curve; extending without break or irregularity"
contribute,"v. contribute to some cause
v. be conducive to"
core,"n. a small group of indispensable persons or things
n. the center of an object
n. the central part of the Earth
n. a cylindrical sample of soil or rock obtained with a hollow drill"
correspond,v. exchange messages
critically,r. in a critical manner
cultivate,"v. foster the growth of
v. prepare for crops"
current,"n. a flow of electricity through a conductor
n. a steady flow of a fluid (usually from natural causes)
a. occurring in or belonging to the present time"
cycle,"n. an interval during which a recurring sequence of events occurs
n. a series of poems or songs on the same theme
n. a periodically repeated sequence of events
n. a single complete execution of a periodically repeated phenomenon"
decline,"n. change toward something smaller or lower
n. a condition inferior to an earlier condition; a gradual falling off from a better state
v. grow smaller
v. go down"
demand,"n. an urgent or peremptory request
n. the ability and desire to purchase goods and services
n. the act of demanding
v. request urgently and forcefully"
dense,"s. permitting little if any light to pass through because of denseness of matter
s. hard to pass through because of dense growth
s. having high relative density or specific gravity
s. slow to learn or understand; lacking intellectual acuity"
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
derive,"v. obtain
v. come from
v. develop or evolve from a latent or potential state
v. come from; be connected by a relationship of blood, for example"
despite,n. contemptuous disregard
detect,"v. discover or determine the existence, presence, or fact of"
differ,v. be different
diminish,"v. lessen the authority, dignity, or reputation of"
disperse,"v. to cause to separate and go in different directions
v. move away from each other; 
v. separate (light) into spectral rays"
distinct,"s. (often followed by `from') not alike; different in nature or quality
a. easy to perceive; especially clearly outlined
s. recognizable; marked"
distinctive,s. of a feature that helps to distinguish a person or thing
distribute,"v. administer or bestow, as in small portions
v. make available
v. give to several people
v. spread throughout a given area"
diversity,n. the condition or result of being changeable
document,"n. writing that provides information (especially information of an official nature)
n. anything serving as a representation of a person's thinking by means of symbolic marks
n. a written account of ownership or obligation
v. record in detail"
domestic,"n. a servant who is paid to perform menial tasks around the household
a. of concern to or concerning the internal affairs of a nation
a. of or relating to the home
a. of or involving the home or family"
dominate,"v. be in control
v. have dominance or the power to defeat over
v. look down on"
dramatic,"a. suitable to or characteristic of drama
s. sensational in appearance or thrilling in effect
a. pertaining to or characteristic of drama
a. used of a singer or singing voice that is marked by power and expressiveness and a histrionic or theatrical style"
dramatically,"r. in a very impressive manner
r. in a dramatic manner
r. with respect to dramatic value"
drastically,r. in a drastic manner
duration,"n. the period of time during which something continues
n. the property of enduring or continuing in time
n. continuance in time"
effort,n. use of physical or mental energy; hard work
elaboration,n. developing in intricate and painstaking detail
emergence,"n. the gradual beginning or coming forth
n. the becoming visible
n. the act of emerging"
enable,v. render capable or able for some task
