admission,"n. the act of admitting someone to enter
n. an acknowledgment of the truth of something"
vocal,"a. relating to or designed for or using the singing voice
a. having or using the power to produce speech or sound
s. full of the sound of voices"
a variety of,none
in general,none
in other words,none
in this case,none
lighten up,none
sing along,n. informal group singing of popular songs
tune out,none
backstroke,"n. a swimming stroke that resembles the crawl except the swimmer lies on his or her back
v. swim on one's back"
breaststroke,"n. a swimming stroke; the arms are extended together in front of the head and swept back on either side accompanied by a frog kick
v. swim with the face down and extend the arms forward and outward while kicking with the leg"
celebration,"n. a joyful occasion for special festivities to mark some happy event
n. any joyous diversion
n. the public performance of a sacrament or solemn ceremony with all appropriate ritual"
contract,"n. a binding agreement between two or more persons that is enforceable by law
n. (contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make
n. a variety of bridge in which the bidder receives points toward game only for the number of tricks he bid
v. enter into a contractual arrangement"
counter,"n. table consisting of a horizontal surface over which business is transacted
n. game equipment (as a piece of wood, plastic, or ivory) used for keeping a count or reserving a space in various card or board games
n. a calculator that keeps a record of the number of times something happens
n. a person who counts things"
desperate,"n. a person who is frightened and in need of help
s. desperately determined
s. (of persons) dangerously reckless or violent as from urgency or despair
s. showing extreme courage; especially of actions courageously undertaken in desperation as a last resort"
disqualify,"v. make unfit or unsuitable
v. declare unfit"
entertaining,s. agreeably diverting
extraordinary,"a. beyond what is ordinary or usual; highly unusual or exceptional or remarkable
s. far more than usual or expected
s. (of an official) serving an unusual or special function in addition to those of the regular officials"
flap,"n. any broad thin and limber covering attached at one edge; hangs loose or projects freely
n. the motion made by flapping up and down
n. a movable piece of tissue partly connected to the body
n. a movable airfoil that is part of an aircraft wing; used to increase lift or drag"
flip,"n. hot or cold alcoholic mixed drink containing a beaten egg
n. a sudden, quick movement
n. the act of flipping a coin
n. a dive in which the diver somersaults before entering the water"
float,"n. the time interval between the deposit of a check in a bank and its payment
n. the number of shares outstanding and available for trading by the public
n. an elaborate display mounted on a platform carried by a truck (or pulled by a truck) in a procession or parade
n. a hand tool with a flat face used for smoothing and finishing the surface of plaster or cement or stucco"
freestyle,n. a race (as in swimming) in which each contestant has a free choice of the style to use
furiously,"r. (of the elements) in a wild and stormy manner
r. in a manner marked by extreme or violent energy
r. in an impassioned or very angry manner"
lane,"n. a narrow way or road
n. a well-defined track or path; for e.g. swimmers or lines of traffic"
meanwhile,"r. at the same time but in another place
r. during the intervening time"
moderate,"v. preside over
v. make less fast or intense
a. being within reasonable or average limits; not excessive or extreme
s. not extreme"
panic,"n. an overwhelming feeling of fear and anxiety
n. sudden mass fear and anxiety over anticipated events
v. be overcome by a sudden fear
v. cause sudden fear in or fill with sudden panic"
pointless,a. not having a point especially a sharp point
quit,"v put an end to a state or an activity
v give up or retire from a position
v go away or leave
v turn away from; give up
v give up in the face of defeat of lacking hope; admit defeat"
readily,r. without much difficulty
relate,"v. give an account of
v. be in a relationship with
v. have or establish a relationship to"
relay,"n. the act of passing something along from one person or group to another
n. a crew of workers who relieve another crew
n. a fresh team to relieve weary draft animals
n. a race between teams; each member runs or swims part of the distance"
relive,"v. experience again, often in the imagination"
ridiculous,"s inspiring scornful pity
s incongruous; inviting ridicule
s broadly or extravagantly humorous; resembling farce"
scared,"v cause fear in
v cause to lose courage
v mark with a scar
s made afraid"
shiver,"v. shake, as from cold"
slosh,v. spill or splash copiously or clumsily
tactic,n. a plan for attaining a particular goal
timer,"n. a timepiece that measures a time interval and signals its end
n. a regulator that activates or deactivates a mechanism at set times"
yank,"v. pull, or move with a sudden movement"
yell,v. utter or declare in a very loud voice
anchor leg,none
build up,"n. the act of building up an accumulation
n. the result of the process of accumulation
n. highly favorable publicity and praise"
come up with,none
compete in,none
cut a deal,none
fall off,n a noticeable deterioration in performance or quality
fight back,none
gain on,none
high five,n. a gesture of greeting or elation; one person's upraised palm slaps the upraised palm of another person
in the lead,none
in the zone,none
let down,n a feeling of dissatisfaction that results when your expectations are not realized
out the window,none
stem from,none
tread water,none
all-time,s. unsurpassed in some respect up to the present
aspire,v have an ambitious plan or a lofty goal
assistant,n. a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
attire,n. clothing of a distinctive style or for a particular occasion
championship,"n. the status of being a champion
n. a competition at which a champion is chosen"
classy,s. elegant and fashionable
currently,r at this time or period; now
dictate,"n. an authoritative rule
n. a guiding principle
v. say out loud for the purpose of recording
v. rule as a dictator"
draft,"n. a document ordering the payment of money; drawn by one person or bank on another
n. a current of air (usually coming into a chimney or room or vehicle)
n. a preliminary sketch of a design or picture
n. a serving of drink (usually alcoholic) drawn from a keg"
family-oriented,none
feat,n. a notable achievement
full-fledged,"s. (of a bird) having reached full development with fully grown adult plumage; ready to fly
s. (of persons, e.g.) having gained full status"
gear,"n. a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion
n. a mechanism for transmitting motion for some specific purpose (as the steering gear of a vehicle)
n. equipment consisting of miscellaneous articles needed for a particular operation or sport etc.
v. set the level or character of"
hands-on,s. involving active participation
jersey,"n. the largest of the Channel Islands
n. a close-fitting pullover shirt
n. a slightly elastic machine-knit fabric
n. a breed of diary cattle developed on the island of Jersey"
late-riser,none
league,"n. an association of sports teams that organizes matches for its members
n. an association of states or organizations or individuals for common action
n. an obsolete unit of distance of variable length (usually 3 miles)
v. unite to form a league"
literally,"r. in a literal sense
r. (intensifier before a figurative expression) without exaggeration"
longevity,"n. duration of service
n. the property of being long-lived"
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
persist,v. stay behind
polo,"n. Venetian traveler who explored Asia in the 13th century and served Kublai Khan (1254-1324)
n. a game similar to field hockey but played on horseback using long-handled mallets and a wooden ball"
rebounding,"v spring back; spring away from an impact
v return to a former condition"
remarkable,s. unusual or striking
scout,"n. a Boy Scout or Girl Scout
n. someone employed to discover and recruit talented persons (especially in the worlds of entertainment or sports)
n. someone who can find paths through unexplored territory
v. explore, often with the goal of finding something or somebody"
session,"n. a meeting for execution of a group's functions
n. a meeting devoted to a particular activity"
staff,"n. personnel who assist their superior in carrying out an assigned task
n. a strong rod or stick with a specialized utilitarian purpose
n. the body of teachers and administrators at a school
n. building material consisting of plaster and hair; used to cover external surfaces of temporary structure (as at an exposition) or for decoration"
transition,"n. a change from one place or state or subject or stage to another
n. a musical passage moving from one key to another
n. a passage that connects a topic to one that follows
v. cause to convert or undergo a transition"
get over,none
go about,none
hang out,n a frequently visited place
look forward to,none
make a point of,none
move on,none
move on to sth.,none
of sorts,none
wind down,none
acclimate,v get used to a certain climate
accreditation,n. the act of granting credit or recognition (especially with respect to educational institution that maintains suitable standards)
ache,"n. a dull persistent (usually moderately intense) pain
v. have a desire for something or someone who is not present
v. be the source of pain"
affirm,"v. to declare or affirm solemnly and formally as true
v. say yes to"
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
astonish,v affect with wonder
backpack,"n. a bag carried by a strap on your back or shoulder
v. hike with a backpack"
clarity,n. free from obscurity and easy to understand; the comprehensibility of clear expression
compromise,"n. a middle way between two extremes
n. an accommodation in which both sides make concessions
v. make a compromise; arrive at a compromise; we all must compromise""
v. settle by concession"
construct,"v. make by combining materials and parts
v. draw with suitable instruments and under specified conditions
v. create by linking linguistic units
v. create by organizing and linking ideas, arguments, or concepts"
contact,"n. close interaction
n. the act of touching physically
n. the state or condition of touching or of being in immediate proximity
n. the physical coming together of two or more things"
convince,"v make (someone) agree, understand, or realize the truth or validity of something"
cram,"v. put something somewhere so that the space is completely filled
v. study intensively, as before an exam
v. prepare (students) hastily for an impending exam"
day-to-day,s of or belonging to or occurring every day
discharge,"n. the sudden giving off of energy
n. the act of venting
n. a substance that is emitted or released
n. any of several bodily processes by which substances go out of the body"
evident,"s clearly revealed to the mind or the senses or judgment
s capable of being seen or noticed"
grief,"n. intense sorrow caused by loss of a loved one (especially by death)
n. something that causes great unhappiness"
grieve,"v. feel grief
v. cause to feel sorrow"
hesitantly,r. with hesitation; in a hesitant manner
imperative,"n. some duty that is essential and urgent
a. requiring attention or action
a. relating to verbs in the imperative mood"
internalize,v. incorporate within oneself; make subjective or personal
logically,"r. according to logical reasoning
r. in a logical manner"
normalcy,"n being within certain limits that define the range of normal functioning
n expectedness as a consequence of being usual or regular or common"
notably,r. especially; in particular
obvious,a. easily perceived by the senses or grasped by the mind
peripheral,"n. (computer science) electronic equipment connected by cable to the CPU of a computer
a. on or near an edge or constituting an outer boundary; the outer area
s. related to the key issue but not of central importance"
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
prompt,"n. a cue given to a performer (usually the beginning of the next line to be spoken)
n. (computer science) a symbol that appears on the computer screen to indicate that the computer is ready to receive a command
v. serve as the inciting cause of
v. assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned"
resultant,n. the final point in a process
scar,"n. a mark left (usually on the skin) by the healing of injured tissue
v. mark with a scar"
seminar,"n. any meeting for an exchange of ideas
n. a course offered for a small group of advanced students"
shed,"n. an outbuilding with a single story; used for shelter or storage
v. get rid of
v. cast off hair, skin, horn, or feathers"
speculation,"n. a hypothesis that has been formed by speculating or conjecturing (usually with little hard evidence)
n. an investment that is very risky but could yield great profits"
ubiquitous,s being present everywhere at once
unworthy,a. lacking in value or merit
validate,"v. declare or make legally valid
v. prove valid; show or confirm the validity of something
v. give evidence for
v. make valid or confirm the validity of"
whatsoever,s one or some or every or all without specification
at hand,none
end up,none
give up on,none
guidance counselor,none
impose ... on,none
impose ... upon,none
in retrospect,none
let go of,none
make sense of,none
other than,none
acceptance,"n. the state of being acceptable and accepted
n. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)
n. banking: a time draft drawn on and accepted by a bank
n. the act of taking something that is offered"
brick,"n. rectangular block of clay baked by the sun or in a kiln; used as a building or paving material
n. a good fellow; helpful and trustworthy"
credentials,"n a document attesting to the truth of certain stated facts
n a document attesting to the truth of certain stated facts"
cutlery,n. tableware implements for cutting and eating food
delicate,"a. exquisitely fine and subtle and pleasing; susceptible to injury
s. marked by great skill especially in meticulous technique
s. easily broken or damaged or destroyed
s. easily hurt"
economics,n. the branch of social science that deals with the production and distribution and consumption of goods and services and their management
frustrating,"s. discouraging by hindering
s. preventing realization or attainment of a desire"
gambling,n. the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
household,n a social unit living together
incoming,"a. arriving at a place or position
a. entering upon a position of office vacated by another"
jealous,s. suspicious or unduly suspicious or fearful of being displaced by a rival
permanent,"a. continuing or enduring without marked change in status or condition or place
s. not capable of being reversed or returned to the original condition"
pigeonhole,"n. a specific (often simplistic) category
v. place into a small compartment
v. treat or classify according to a mental stereotype"
professionalism,n. the expertness characteristic of a professional person
progressively,r advancing in amount or intensity
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
rejection,"n. the act of rejecting something
n. the state of being rejected
n. (medicine) an immunological response that refuses to accept substances or organisms that are recognized as foreign"
reminder,"n. a message that helps you remember something
n. an experience that causes you to remember something"
scary,s provoking fear terror
scroll,"n. a document that can be rolled up (as for storage)
v. move through text or graphics in order to display parts that do not fit on the screen"
slippery,"a. causing or tending to cause things to slip or slide
s. not to be trusted"
slope,"n. an elevated geological formation
v. be at an angle"
stack,"n. an orderly pile
v. load or cover with stacks
v. arrange in stacks
v. arrange the order of so as to increase one's winning chances"
statistics,n. a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters
switch,"n. control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a circuit
n. hairpiece consisting of a tress of false hair; used by women to give shape to a coiffure
n. railroad track having two movable rails and necessary connections; used to turn a train from one track to another or to store rolling stock
n. a flexible implement used as an instrument of punishment"
temporary,"n a worker (especially in an office) hired on a temporary basis
a not permanent; not lasting
s lacking continuity or regularity"
become addicted to,none
be addicted to,none
come to a close,none
jump out at sb.,none
junk food,none
liberal arts,none
narrow down,none
no wonder,none
or rather,none
pop in,none
sign up for,none
sink in,none
What if ...?,none
account,"n. a formal contractual relationship established to provide for regular banking or brokerage or business services
n. importance or value
n. a statement of recent transactions and the resulting balance
n. the quality of taking advantage"
accumulate,v. collect or gather
beggar,"n. a pauper who lives by begging
v. be beyond the resources of
v. reduce to beggary"
biography,n. an account of the series of events making up a person's life
blessing,"n. the formal act of approving
n. a desirable state
n. the act of praying for divine protection"
charming,"s. pleasing or delighting
s. possessing or using or characteristic of or appropriate to supernatural powers"
choral,a. related to or written for or performed by a chorus or choir
comfort,"n. a state of being relaxed and feeling no pain
n. a feeling of freedom from worry or disappointment
n. satisfaction or physical well-being provided by a person or thing
n. assistance, such as that provided to an enemy or to a known criminal"
delight,"n. a feeling of extreme pleasure or satisfaction
v. take delight in"
enchanted,a. influenced as by charms or incantations
endow,"v. give qualities or abilities to
v. furnish with an endowment"
expense,"n. amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures)
n. a detriment or sacrifice
n. money spent to perform work and usually reimbursed by an employer
v. reduce the estimated value of something"
fame,"n. the state or quality of being widely honored and acclaimed
n. favorable public reputation"
fireside,"n an area near a fireplace (usually paved and extending out into a room)
n home symbolized as a part of the fireplace"
flock,"n. a church congregation guided by a pastor
n. a group of birds
n. a group of sheep or goats
v. move as a crowd or in a group"
garner,v. store grain
garret,n floor consisting of open space at the top of a house just below roof; often used for storage
hound,"n. any of several breeds of dog used for hunting typically having large drooping ears
v. pursue or chase relentlessly"
hymn,"n. a song of praise (to God or to a saint or to a nation)
v. sing a hymn
v. praise by singing a hymn"
inconvenience,"n. an inconvenient discomfort
n. the quality of not being useful or convenient"
marvel,v. express astonishment or surprise about something
oriel,n. a projecting bay window corbeled or cantilevered out from a wall
oriental,"n. a member of an Oriental race; the term is regarded as offensive by Asians (especially by Asian Americans)
s. denoting or characteristic of countries of Asia"
Paradise,n. (Christianity) the abode of righteous souls after death
peal,"n. a deep prolonged sound (as of thunder or large bells)
v. ring recurrently"
philosophy,"n. the rational investigation of questions about existence and knowledge and ethics
n. any personal belief about how to live or how to deal with a situation"
precious,"s. of high worth or cost
r. extremely"
priceless,"s having incalculable monetary, intellectual, or spiritual worth"
prince,n. a male member of a royal family other than the sovereign (especially the son of a sovereign)
prospect,"n. the possibility of future success
v. search for something desirable
v. explore for useful or valuable things or substances, such as minerals"
realm,"n a domain in which something is dominant
n the domain ruled by a king or queen
n a knowledge domain that you are interested in or are communicating about"
reflection,"n. the phenomenon of a propagating wave (light or sound) being thrown back from a surface
n. the image of something as reflected by a mirror (or other reflective material)
n. (mathematics) a transformation in which the direction of one axis is reversed
n. the ability to reflect beams or rays"
region,"n. the extended spatial location of something
n. a large indefinite location on the surface of the Earth
n. the approximate amount of something (usually used prepositionally as in `in the region of')
n. a knowledge domain that you are interested in or are communicating about"
roam,"v move about aimlessly or without any destination, often in search of food or employment"
scatter,"n. a haphazard distribution in all directions
n. the act of scattering
v. distribute loosely
v. sow by scattering"
schoolmaster,"n. any person (or institution) who acts as an educator
n. food fish of warm Caribbean and Atlantic waters"
seashore,n. the shore of a sea or ocean
soar,"n. the act of rising upward into the air
v. rise rapidly
v. fly upwards or high in the sky
v. go or move upward"
sorrow,"n. an emotion of great sadness associated with loss or bereavement
n. sadness associated with some wrong done or some disappointment"
stir,"n. a prominent or sensational but short-lived news event
n. emotional agitation and excitement
v. move an implement through
v. move very slightly"
sublime,"v. vaporize and then condense right back again
v. change or cause to change directly from a solid into a vapor without first melting
s. lifted up or set high"
suffering,"n. misery resulting from affliction
n. feelings of mental or physical pain
s. troubled by pain or loss"
tart,"n. a small open pie with a fruit filling
n. a pastry cup with a filling of fruit or custard and no top crust"
throne,"n. the chair of state for a monarch, bishop, etc.
n. the position and power of an exalted person (a sovereign or bishop) who is entitled to sit in a chair of state on ceremonial occasions
v. sit on the throne as a ruler"
touching,"n the event of something coming in contact with the body
n the act of putting two things together with no space between them
v make physical contact with, come in contact with
v perceive via the tactile sense
v affect emotionally
v be relevant to
v be in direct physical contact with; make contact
v have an effect upon
v deal with; usually used with a form of negation
v cause to be in brief contact with
v to extend as far as
v be equal to in quality or ability
v tamper with
v make a more or less disguised reference to
v comprehend
v consume
v color lightly
s arousing affect"
unearthly,"s concerned with or affecting the spirit or soul
s suggesting the operation of supernatural influences"
vivid,s. having the clarity and freshness of immediate experience
weariness,n temporary loss of strength and energy resulting from hard physical or mental work
endow ... with ...,none
in full cry,none
on condition that,none
owe ... to ...,none
would rather ... than ...,none
amongst,"prep. Mixed or mingled; surrounded by.
prep. Conjoined, or associated with, or making part of the
   number of; in the number or class of.
prep. Expressing a relation of dispersion, distribution,
   etc.; also, a relation of reciprocal action."
belongings,"n something owned; any tangible or intangible possession that is owned by someone; 
n happiness felt in a secure relationship
v be owned by; be in the possession of
v be suitable or acceptable
v be in the right place or situation
v be rightly classified in a class or category
v be a member, adherent, inhabitant, etc. (of a group, organization, or place)
v be a part or adjunct"
bless,"v. give a benediction to
v. confer prosperity or happiness on
v. make the sign of the cross over someone in order to call on God for protection; consecrate"
bum,"v. be lazy or idle
s. of very poor quality; flimsy"
classic,"n. a creation of the highest excellence
n. an artist who has created classic works"
commitment,"n. the act of binding yourself (intellectually or emotionally) to a course of action
n. an engagement by contract involving financial obligation
n. a message that makes a pledge
n. the official act of consigning a person to confinement (as in a prison or mental hospital)"
converse,"n. a proposition obtained by conversion
v. carry on a conversation
s. of words so related that one reverses the relation denoted by the other
s. turned about in order or relation"
dropout,"n. someone who quits school before graduation
n. someone who withdraws from a social group or environment"
figure,"n. a diagram or picture illustrating textual material
n. a model of a bodily form (especially of a person)
n. a combination of points and lines and planes that form a visible palpable shape
n. an amount of money expressed numerically"
grand,"s. large and impressive in physical size or extent
s. the most important and magnificent in adornment"
grandmotherly,"a. Like a grandmother in age or manner; kind;
   indulgent."
hitchhike,v. travel by getting free rides from motorists
immortal,"n. a person (such as an author) of enduring fame
a. not subject to death"
magnificent,s characterized by grandeur
malt,"n. a lager of high alcohol content; by law it is considered too alcoholic to be sold as lager or beer
n. a cereal grain (usually barley) that is kiln-dried after having been germinated by soaking in water; used especially in brewing and distilling
v. treat with malt or malt extract
v. turn into malt, become malt"
originally,r. in an original manner
request,"n. a formal message requesting something that is submitted to an authority
n. the verbal act of requesting
v. express the need or desire for; ask for
v. ask (a person) to do something"
soda,"n a sodium salt of carbonic acid; used in making soap powders and glass and paper
n a sweet drink containing carbonated water and flavoring"
soul,"n. the immaterial part of a person; the actuating cause of an individual life
n. deep feeling or emotion
n. the human embodiment of something
n. a secular form of gospel that was a major Black musical genre in the 1960s and 1970s"
stool,"n. a simple seat without a back or arms
n. (forestry) the stump of a tree that has been felled or headed for the production of saplings
v. lure with a stool, as of wild fowl
v. react to a decoy, of wildfowl"
surf,"n. waves breaking on the shore
v. switch channels, on television"
swivel,n. a coupling (as in a chain) that has one end that turns on a headed pin
come upon,none
give sb. a ride,none
give sb. a lift,none
make a commitment to do sth.,none
make a commitment to oneself to do sth.,none
pass away,none
pass by,none
reflect upon,none
aloof,"s. remote in manner
r. in an aloof manner"
apart,"s. remote and separate physically or socially
s. having characteristics not shared by others
r. separated or at a distance in place or position or time
r. not taken into account or excluded from consideration"
appreciation,"n. understanding of the nature or meaning or quality or magnitude of something
n. an expression of gratitude
n. an increase in price or value"
artificial,"a. contrived by art rather than nature
s. artificially formal
s. not arising from natural growth or characterized by vital processes"
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
ballet,"n. a theatrical representation of a story that is performed to music by trained dancers
n. music written for a ballet"
calculated,"v make a mathematical calculation or computation
v judge to be probable
v keep an account of
v predict in advance
v specifically design a product, event, or activity for a certain public
v have faith or confidence in
s carefully thought out in advance"
caste,"n. social status or position conferred by a system based on class
n. (Hinduism) a hereditary social class among Hindus; stratified according to ritual purity
n. a social class separated from others by distinctions of hereditary rank or profession or wealth
n. in some social insects (such as ants) a physically distinct individual or group of individuals specialized to perform certain functions in the colony"
comment,"n. a written explanation or criticism or illustration that is added to a book or other textual material
v. make or write a comment on
v. explain or interpret something"
commoner,n. a person who holds no title
continental,"a. of or pertaining to or typical of Europe
a. of or relating to or concerning the American colonies during and immediately after the American Revolutionary War
a. of or relating to or characteristic of a continent
a. being or concerning or limited to a continent especially the continents of North America or Europe"
disconcertingly,r. in a disturbing or embarrassing manner
distasteful,s. not pleasing in odor or taste
embarrassment,"n. the shame you feel when your inadequacy or guilt is made public
n. the state of being embarrassed (usually by some financial inadequacy)
n. some event that causes someone to be embarrassed"
embrace,"n. the act of clasping another person in the arms (as in greeting or affection)
n. the state of taking in or encircling
n. a close affectionate and protective acceptance
v. include in scope; include as part of something broader; have as one's sphere or territory"
engagement,"n. employment for performers or performing groups that lasts for a limited period of time
n. contact by fitting together
n. the act of sharing in the activities of a group"
equality,"n. the quality of being the same in quantity or measure or value or status
n. a state of being essentially equal or equivalent; equally balanced"
extend,"v. make available; provide
v. reach outward in space
v. expand the influence of
v. open or straighten out; unbend"
hence,"r. from this place
r. from this time"
indecent,"s. not in keeping with accepted standards of what is right or proper in polite society
a. offensive to good taste especially in sexual matters
s. offending against sexual mores in conduct or appearance"
individualistic,s. with minimally restricted freedom in commerce
intimacy,"n close or warm friendship
n a usually secretive or illicit sexual relationship
n a feeling of being intimate and belonging together"
intimate,"v. give to understand
s. marked by close acquaintance, association, or familiarity
s. involved in a sexual relationship
s. thoroughly acquainted through study or experience"
intrude,"v. enter uninvited
v. search or inquire in a meddlesome way
v. thrust oneself in as if by force"
intrusion,"n. entrance by force or without permission or welcome
n. the forcing of molten rock into fissures or between strata of an earlier rock formation
n. rock produced by an intrusive process"
involvement,n. a connection of inclusion or containment
invisible,a. impossible or nearly impossible to see; imperceptible by the eye
magnet,n. (physics) a device that attracts iron and produces a magnetic field
mate,"n. the officer below the master on a commercial ship
n. the partner of an animal (especially a sexual partner)
n. one of a pair
n. South American holly; leaves used in making a drink like tea"
mutual,"s common to or shared by two or more parties
a concerning each of two or more persons or things; especially given or done in return"
nobleman,n a titled peer of the realm
obscene,s. designed to incite to indecency or lust
odd,"a. not divisible by two
s. not easily explained
s. an indefinite quantity more than that specified
s. of the remaining member of a pair, of socks e.g."
privacy,"n. the quality of being secluded from the presence or view of others
n. the condition of being concealed or hidden"
repulsion,"n. the force by which bodies repel one another
n. the act of repulsing or repelling an attack; a successful defensive stand"
restrained,"s. cool and formal in manner
a. under restraint"
separateness,n. political independence
stiff,"n. an ordinary man
s. not moving or operating freely
s. powerful
r. extremely"
symbolic,"a. relating to or using or proceeding by means of symbols
a. using symbolism"
symbolize,v. represent or identify by using a symbol; use symbols
threatening,"v pose a threat to; present a danger to
v to utter intentions of injury or punishment against:""He threatened me when I tried to call the police""
v to be a menacing indication of something:""The clouds threaten rain""
s threatening or foreshadowing evil or tragic developments
s darkened by clouds"
tribal,a. relating to or characteristic of a tribe
unexpectedly,r. in a way that was not expected
untouchability,none
Westerner,n. an inhabitant of a western area; especially of the U.S.
draw together,none
drop in,none
effect a compromise,none
fairy tale,"n. a story about fairies; told to amuse children
n. an interesting but highly implausible story; often told as an excuse"
fend off,none
in private,none
in public,none
in the company of,none
keep one's distance,none
more or less,none
on one's own,none
stretch out,none
vary with,none
adopt,"v. choose and follow; as of theories, ideas, policies, strategies or plans
v. take up and practice as one's own
v. take into one's family"
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
almighty,s. having unlimited power
alumnus,n. a person who has received a degree from a school (high school or college or university)
blockbuster,"n. a large bomb used to demolish extensive areas (as a city block)
n. an unusually successful hit with widespread popularity and huge sales (especially a movie or play or recording or novel)"
buddy,n. a close friend who accompanies his buddies in their activities
claim,"n. an assertion of a right (as to money or property)
n. an assertion that something is true or factual
n. demand for something as rightful or due
n. an informal right to something"
commercial,"n. a commercially sponsored ad on radio or television
a. connected with or engaged in or sponsored by or used in commerce or commercial enterprises
a. of or relating to commercialism
s. of the kind or quality used in commerce; average or inferior"
complicated,s. difficult to analyze or understand
configuration,n. an arrangement of parts or elements
convention,"n. a large formal assembly
n. something regarded as a normative example
n. (diplomacy) an international agreement
n. the act of convening"
dap,v. i. To drop the bait gently on the surface of the water.
definition,"n. a concise explanation of the meaning of a word or phrase or symbol
n. clarity of outline"
dub,"n. the new sounds added by dubbing
v. give a nickname to
v. provide (movies) with a soundtrack of a foreign language"
era,"n. a period marked by distinctive character or reckoned from a fixed point or event
n. a major division of geological time; an era is usually divided into two or more periods"
governor,"n. the head of a state government
n. a control that maintains a steady speed in a machine (as by controlling the supply of fuel)"
hook,"n. a catch for locking a door
n. a sharp curve or crook; a shape resembling a hook
n. a mechanical device that is curved or bent to suspend or hold or pull something
n. a curved or bent implement for suspending or pulling something"
horn,"n. a noisemaker (as at parties or games) that makes a loud noise when you blow through it
n. one of the bony outgrowths on the heads of certain ungulates
n. a noise made by the driver of an automobile to give warning; 
n. a high pommel of a Western saddle (usually metal covered with leather)"
impressive,"a. making a strong or vivid impression
s. producing a strong effect"
inauguration,"n. the act of starting a new operation or practice
n. the ceremonial induction into a position"
infantry,n. an army unit consisting of soldiers who fight on foot
interconnected,s. reciprocally connected
interpret,"v. make sense of; assign a meaning to
v. give an interpretation or rendition of"
longhorn,n. long-horned beef cattle formerly common in southwestern United States
mascot,n. a person or animal that is adopted by a team or other group as a symbolic figure
mimic,"n. someone who mimics (especially an actor or actress)
v. imitate (a person or manner), especially for satirical effect
s. constituting an imitation"
multiple,"n. the product of a quantity by an integer
a. having or involving or consisting of more than one part or entity or individual"
nickname,"n. a familiar name for a person (often a shortened version of a person's given name)
n. a descriptive name for a place or thing"
origin,"n. properties attributable to your ancestry
n. an event that is a beginning; a first part or stage of subsequent events
n. the point of intersection of coordinate axes; where the values of the coordinates are all zero
n. the source of something's existence or from which it derives or is derived"
palm,"n. the inner surface of the hand from the wrist to the base of the fingers
n. a linear unit based on the length or width of the human hand
n. any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves"
parade,"n. a ceremonial procession including people marching
n. an extended (often showy) succession of persons or things
n. a visible display
v. walk ostentatiously"
pinky,n the finger farthest from the thumb
pointy-eared,none
press,"n. the print media responsible for gathering and publishing news in the form of newspapers or magazines
n. a machine used for printing
n. clamp to prevent wooden rackets from warping when not in use
n. any machine that exerts pressure to form or shape or cut materials or extract liquids or compress solids"
priest,"n. a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders
n. a person who performs religious duties and ceremonies in a non-Christian religion"
regiment,"n. army unit smaller than a division
v. subject to rigid discipline, order, and systematization
v. form (military personnel) into a regiment
v. assign to a regiment"
represent,"v. take the place of or be parallel or equivalent to
v. be representative or typical for
v. be a delegate or spokesperson for; represent somebody's interest or be a proxy or substitute for, as of politicians and office holders representing their constituents, or of a tenant representing other tenants in a housing dispute
v. serve as a means of expressing something"
resemble,v. appear like; be similar or bear a likeness to
ritual,"n. any customary observance or practice
n. the prescribed procedure for conducting religious ceremonies
n. stereotyped behavior
a. of or relating to or characteristic of religious rituals"
salutation,n. word of greeting used to begin a letter
salute,"n. an act of honor or courteous recognition
n. a formal military gesture of respect
n. an act of greeting with friendly words and gestures like bowing or lifting the hat
v. greet in a friendly way"
sci-fi,none
slap,"n. a blow from a flat object (as an open hand)
v. hit with something flat, like a paddle or the open hand"
split,"n. extending the legs at right angles to the trunk (one in front and the other in back)
n. a bottle containing half the usual amount
n. a promised or claimed share of loot or money
n. a lengthwise crack in wood"
steer,"v. direct the course; determine the direction of travelling
v. direct (oneself) somewhere"
stitch,"n. a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing
n. a sharp spasm of pain in the side resulting from running"
superglue,none
