off and on,s intermittently stopping and starting
clean up,n. (baseball) the fourth position in the batting order (usually filled by the best batter on the team)
do with,none
determination,"n. the act of determining the properties of something, usually by research or calculation
n. the quality of being determined to do or achieve something; firmness of purpose
n. deciding or controlling something's outcome or nature"
personnel,"n group of people willing to obey orders
n the department responsible for hiring and training and placing employees and for setting policies for personnel management"
apprentice,"n. works for an expert to learn a trade
v. be or work as an apprentice"
capacity,"n. capability to perform or produce
n. the amount that can be contained
n. the maximum production possible
n. a specified function"
blueprint,"n. something intended as a guide for making something else
n. photographic print of plans or technical drawings etc.
v. make a blueprint of"
micrometer,n. caliper for measuring small distances
precision,n the quality of being reproducible in amount or performance
turn down,n the act of refusing an offer
skilled,a. having or showing or requiring special skill
grinder,n. a machine tool that polishes metal
grind,"n. the grade of particle fineness to which a substance is ground
n. the act of grinding to a powder or dust
v. dance by rotating the pelvis in an erotically suggestive way, often while in contact with one's partner such that the dancers' legs are interlaced
v. reduce to small pieces or particles by pounding or abrading"
instrument,"n. a device that requires skill for proper use
n. the means whereby some act is accomplished
n. a person used by another to gain an end
v. equip with instruments for measuring, recording, or controlling"
for sale,none
wreck,"n. something or someone that has suffered ruin or dilapidation
n. a ship that has been destroyed at sea"
call on,none
banker,"n. a financier who owns or is an executive in a bank
n. the person in charge of the bank in a gambling game"
loan,n. the temporary provision of money (usually at interest)
character,"n. the inherent complex of attributes that determines a persons moral and ethical actions and reactions
n. an actor's portrayal of someone in a play
n. a person of a specified kind (usually with many eccentricities)
n. good repute"
damn,"n. something of little value
s. used as expletives"
reluctantly,r. with reluctance
reluctant,"s. disinclined to become involved
s. not eager"
mortgage,"n. a conditional conveyance of property as security for the repayment of a loan
v. put up as security or collateral"
down payment,none
discard,"n. anything that is cast aside or discarded
n. (cards) the act of throwing out a useless card or of failing to follow suit
n. getting rid something that is regarded as useless or undesirable
v. throw or cast away"
odds and ends,none
screen,"n. a white or silvered surface where pictures can be projected for viewing
n. the display that is electronically created on the surface of the large end of a cathode-ray tube
n. a covering that serves to conceal or shelter something
n. a protective covering consisting of netting; can be mounted in a frame"
hardware,"n. major items of military weaponry (as tanks or missile)
n. instrumentalities (tools or implements) made of metal
n. (computer science) the mechanical, magnetic, electronic, and electrical components making up a computer system"
spot,"n. a short section or illustration (as between radio or tv programs or in a magazine) that is often used for advertising
n. a small contrasting part of something
n. a section of an entertainment that is assigned to a specific performer or performance
n. a business establishment for entertainment"
confidence,"n. a feeling of trust (in someone or something)
n. a state of confident hopefulness that events will be favorable
n. a trustful relationship
n. a secret that is confided or entrusted to another"
amaze,v. affect with wonder
amazement,n the feeling that accompanies something extremely surprising
diet,"n. a prescribed selection of foods
n. a legislative assembly in certain countries (e.g., Japan)
n. the usual food and drink consumed by an organism (person or animal)
n. the act of restricting your food intake (or your intake of particular foods)"
send for,none
hunt,"n. Englishman and Pre-Raphaelite painter (1827-1910)
n. United States architect (1827-1895)
n. British writer who defended the Romanticism of Keats and Shelley (1784-1859)
n. an association of huntsmen who hunt for sport"
abandon,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims"
property,"n. something owned; any tangible or intangible possession that is owned by someone; 
n. a basic or essential attribute shared by all members of a class
n. a construct whereby objects or individuals can be distinguished
n. any movable articles or objects used on the set of a play or movie"
shed,"n. an outbuilding with a single story; used for shelter or storage
v. get rid of
v. cast off hair, skin, horn, or feathers"
sometime,r. at some indefinite or unstated time
sponsor,"v. assume sponsorship of
v. assume responsibility for or leadership of"
amuse,"v. occupy in an agreeable, entertaining or pleasant fashion
v. make (somebody) laugh"
approach,"n. ideas or actions intended to deal with a problem or situation
n. the act of drawing spatially closer to something
n. the event of one object coming closer to another
n. the temporal property of becoming nearer in time"
millionaire,n. a person whose material wealth is valued at more than a million dollars
pass away,none
check on,none
handle,"n. the appendage to an object that is designed to be held in order to use or move it
v. touch, lift, or hold with the hands
v. show and train"
livable,a. fit or suitable to live in or with
homey,s having a feeling of home; cozy and comfortable
stature,"n. high level of respect gained by impressive development or achievement
n. (of a standing person) the distance from head to foot"
industrialist,n. someone who manages or has significant financial interest in an industrial enterprise
route,"v. send documents or materials to appropriate destinations
v. send via a specific route
v. divert in a specified direction"
principle,"n. a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct
n. a rule or standard especially of good behavior
n. a basic truth or law or assumption
n. a rule or law concerning a natural phenomenon or the function of a complex system"
vision,"n. a vivid mental image
n. the perceptual experience of seeing
n. a religious or mystical experience of a supernatural appearance"
optimism,"n. the optimistic feeling that all is going to turn out well
n. a general disposition to expect the best in all things"
above all,none
integrity,"n. an undivided or unbroken completeness or totality with nothing wanting
n. moral soundness"
rung,n. a crosspiece between the legs of a chair
basement,"n. the lowermost portion of a structure partly or wholly below ground level; often used for storage
n. the ground floor facade or interior in Renaissance architecture"
giant,"n. any creature of exceptional size
n. an unusually large enterprise
n. a very large person; impressive in size or qualities
n. someone or something that is abnormally large and powerful"
balance,"n. a state of equilibrium
n. equality between the totals of the credit and debit sides of an account
n. equality of distribution
n. the difference between the totals of the credit and debit sides of an account"
balance sheet,none
decimal,"n. a number in the decimal system
s. numbered or proceeding by tens; based on ten"
illegal,a. prohibited by law or by official or accepted rules
immigrant,n. a person who comes to a country where they were not born in order to settle there
taco stand,none
keep up with school,none
connection,"n. a relation between things or events (as in the case of one causing the other or sharing features with it)
n. the state of being connected
n. an instrumentality that connects
n. (usually plural) a person who is influential and to whom you are connected in some way (as by family or friendship)"
put up with,none
in search of,none
head for,none
supervise,"v watch and direct
v keep tabs on; keep an eye on; keep under surveillance"
land,"n. the land on which real estate is located
n. material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)
n. the solid part of the earth's surface
n. United States inventor who incorporated Polaroid film into lenses and invented the one step photographic process (1909-1991)"
temporary,"n a worker (especially in an office) hired on a temporary basis
a not permanent; not lasting
s lacking continuity or regularity"
response,"n. a result
n. a phrase recited or sung by the congregation following a versicle by the priest or minister
n. the manner in which an electrical or mechanical device responds to an input signal or a range of input signals"
risk,"n. a venture undertaken without regard to possible loss or injury
n. the probability of becoming infected given that exposure to an infectious agent has occurred
n. the probability of being exposed to an infectious agent
v. expose to a chance of loss or damage"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
make ends meet,none
make both ends meet,none
associate's degree,none
environment,"n. the totality of surrounding conditions
n. the area in which something exists or lives"
honors thesis,none
on the side,none
stand a chance of,none
commencement address,none
prospect,"n. the possibility of future success
v. search for something desirable
v. explore for useful or valuable things or substances, such as minerals"
reserve,"n. something kept back or saved for future use or a special purpose
n. (medicine) potential capacity to respond in order to maintain vital functions
n. the trait of being uncommunicative; not volunteering anything more than necessary
v. hold back or set aside, especially for future use or contingency"
rare,"s. not widely known; especially valued for its uncommonness
s. recurring only at long intervals
s. not widely distributed
s. having low density"
look right through him,none
former,"n. the first of two or the first mentioned of two
a. referring to the first of two things or persons mentioned (or the earlier one or ones of several); I prefer the former version to the latter one""
s. (used especially of persons) of the immediate past"
quit,"v put an end to a state or an activity
v give up or retire from a position
v go away or leave
v turn away from; give up
v give up in the face of defeat of lacking hope; admit defeat"
deserve,v. be worthy or deserving
impress,"n. the act of coercing someone into government service
v. impress positively
v. produce or try to produce a vivid impression of
v. mark or stamp with or as if with pressure"
show up,none
Tex-Mex cookout,none
flip,"n. hot or cold alcoholic mixed drink containing a beaten egg
n. a sudden, quick movement
n. the act of flipping a coin
n. a dive in which the diver somersaults before entering the water"
humanistic,a. of or pertaining to Renaissance humanism
obituary,n. a notice of someone's death; usually includes a short biography
die of,none
coronary,a. surrounding like a crown (especially of the blood vessels surrounding the heart)
thrombosis,n. the formation or presence of a thrombus (a clot of coagulated blood attached at the site of its formation) in a blood vessel
acquaintance,"n. personal knowledge or information about someone or something
n. a relationship less intimate than friendship
n. a person with whom you are acquainted"
instantly,"r without delay or hesitation; with no time intervening
r without any delay"
instant,s. in or of the present month
type A,none
workaholic,n. person with a compulsive need to work
classic,"n. a creation of the highest excellence
n. an artist who has created classic works"
day off,none
conceivably,r. within the realm of possibility
conceivable,s. capable of being imagined
retire,"v. go into retirement; stop performing one's work or withdraw from one's position
v. withdraw from active participation
v. withdraw from circulation or from the market, as of bills, shares, and bonds
v. make (someone) retire"
executive,"n. a person responsible for the administration of a business
n. persons who administer the law
a. having the function of carrying out plans or orders etc."
extracurricular,"s. outside the regular academic curriculum
s. outside the regular duties of your job or profession"
monthly,"n. a periodical that is published every month (or 12 issues per year)
s. of or occurring or payable every month
r. occurring once a month"
golf,"n. a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes
v. play golf"
salad,n. food mixtures either arranged on a plate or tossed and served with a moist dressing; usually consisting of or including greens
overweight,"n the property of excessive fatness
s usually describes a large person who is fat but has a large frame to carry it"
survivor,"n. one who lives through affliction
n. one who outlives another
n. an animal that survives in spite of adversity"
survive,"v. continue to live through hardship or adversity
v. continue in existence after (an adversity, etc.)"
marketable,"s. being in demand by especially employers
s. fit to be offered for sale
s. capable of being marketed"
mother,"n. a woman who has given birth to a child (also used as a term of address to your mother)
n. a stringy slimy substance consisting of yeast cells and bacteria; forms during fermentation and is added to cider or wine to produce vinegar
n. a term of address for an elderly woman
n. a term of address for a mother superior"
give up,none
compete,v. compete for something; engage in a contest; measure oneself against others
compete against,none
compete with,none
care for,none
dearly,"r. in a sincere and heartfelt manner
r. at a great cost
r. with affection"
beloved,"n. a beloved person; used as terms of endearment
s. dearly loved"
eldest,"n the offspring who came first in the order of birth
s first in order of birth"
manufacture,"v. put together out of artificial or natural components or parts; He manufactured a popular cereal""
v. produce naturally
v. create or produce in a mechanical way"
funeral,n. a ceremony at which a dead person is buried or cremated
embarrass,v. cause to be embarrassed; cause to feel self-conscious
newly,r. very recently
married,"n. a person who is married
a. joined in matrimony"
odd,"a. not divisible by two
s. not easily explained
s. an indefinite quantity more than that specified
s. of the remaining member of a pair, of socks e.g."
grass,"n. narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
n. German writer of novels and poetry and plays (born 1927)
v. shoot down, of birds
v. cover with grass"
grab at,none
favorite,"n. something regarded with special favor or liking
s. appealing to the general public"
stay up,none
board,"n. a committee having supervisory powers
n. a stout length of sawn timber; made in a wide variety of sizes and used for many purposes
n. a flat piece of material designed for a special purpose
n. food or meals in general"
widow,"n. a woman whose husband is dead especially one who has not remarried
v. cause to be without a spouse"
deceased,"n someone who is no longer alive
v pass from physical life and lose all bodily attributes and functions necessary to sustain life
s dead"
the deceased,none
replace,"v. substitute a person or thing for (another that is broken or inefficient or lost or no longer working or yielding what is expected)
v. put something back where it belongs"
look sb. in the eye,none
bitterness,"n. a rough and bitter manner
n. the property of having a harsh unpleasant taste"
bitter,"n. English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)
n. the taste experience when quinine or coffee is taken into the mouth
v. make bitter
s. very difficult to accept or bear"
straighten out,none
finance,"n. the commercial activity of providing funds and capital
n. the branch of economics that studies the management of money and other assets
n. the management of money and credit and banking and investments
v. obtain or provide money for"
stock,"n. the capital raised by a corporation through the issue of shares entitling holders to an ownership interest (equity)
n. the merchandise that a shop has on hand
n. the handle of a handgun or the butt end of a rifle or shotgun or part of the support of a machine gun or artillery gun
n. the reputation and popularity a person has"
option,"n. the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n. one of a number of things from which only one can be chosen"
stock option,none
and all that,none
heart-attack,none
natural,"n. someone regarded as certain to succeed
n. a notation cancelling a previous sharp or flat
n. (craps) a first roll of 7 or 11 that immediately wins the stake
a. in accordance with nature; relating to or concerning nature"
pick out,none
lineup,n. a line of persons arranged by police for inspection or identification
discreetly,r. with discretion; prudently and with wise self-restraint
discreet,a. marked by prudence or modesty and wise self-restraint
inquiry,"n. a search for knowledge
n. a systematic investigation of a matter of public interest"
replacement,n. the act of furnishing an equivalent person or thing in the place of another
ask around,none
pop up,"n a book (usually for children) that contains one or more pages such that a three-dimensional structure rises up when a page is opened
n a short high fly ball"
enthusiastic,a. having or showing great excitement and interest
among others,none
distract,v. draw someone's attention away from something
relationship,"n. a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)
n. a state of connectedness between people (especially an emotional connection)
n. a state involving mutual dealings between people or parties or countries"
socialize,"v. take part in social activities; interact with others
v. train for a social environment
v. prepare for social life
v. make conform to socialist ideas and philosophies"
delegate,"n. a person appointed or elected to represent others
v. transfer power to someone
v. give an assignment to (a person) to a post, or assign a task to (a person)"
input,"n. a component of production; something that goes into the production of output
v. enter (data or a program) into a computer"
typically,r. in a typical manner
disarray,n. untidiness (especially of clothing and appearance)
intimacy,"n close or warm friendship
n a usually secretive or illicit sexual relationship
n a feeling of being intimate and belonging together"
divorce,"n. the legal dissolution of a marriage
v. get a divorce; formally terminate a marriage"
focus on,none
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
link,"n. the means of connection between things linked in series
n. a fastener that serves to join or connect
n. a unit of length equal to 1/100 of a chain
n. (computing) an instruction that connects one part of a program or an element on a list to another program or list"
concern,"n. something that interests you because it is important or affects you
n. an anxious feeling
n. a feeling of sympathy for someone or something
n. something or someone that causes anxiety; a source of unhappiness"
extreme,"n. the furthest or highest degree of something
s. of the greatest possible degree or extent or intensity
s. far beyond a norm in quantity or amount or degree; to an utmost degree
s. beyond a norm in views or actions"
in short,none
well-being,n a contented state of being happy and healthy and prosperous
solution,"n. a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution
n. a statement that solves a problem or explains how to solve the problem
n. a method for solving a problem
n. the set of values that give a true statement when substituted into an equation"
addiction,"n. being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
n. an abnormally strong craving
n. (Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master"
survey,"n. a detailed critical inspection
v. consider in a comprehensive way
v. look over carefully or inspect
v. make a survey of; for statistical purposes"
priority,n. preceding in time
relax,"v. become less tense, rest, or take one's ease
v. make less taut
v. cause to feel relaxed
v. become less tense, less formal, or less restrained, and assume a friendlier manner"
detail,"n. an isolated fact that is considered separately from the whole
n. a small part that can be considered separately from the whole
n. extended treatment of particulars
n. a crew of workers selected for a particular task"
oriented,a. adjusted or located in relation to surroundings or circumstances; sometimes used in combination
schedule,"n. an ordered list of times at which things are planned to occur
v. plan for an activity or event
v. make a schedule; plan the time and place for events"
overall,"n. (usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps)
n. a loose protective coverall or smock worn over ordinary clothing for dirty work
s. involving only main features
s. including everything"
fulfilling,"v put in effect
v fill or meet a want or need
v meet the requirements or expectations of
v put in effect
v meet the requirements or expectations of
v fill or meet a want or need"
reliable,a. worthy of reliance or trust
diversion,"n. an activity that diverts or amuses or stimulates
n. a turning aside (of your course or attention or concern)
n. an attack calculated to draw enemy defense away from the point of the principal attack"
productive,"a. producing or capable of producing (especially abundantly)
s. yielding positive results"
on one's own,none
staff,"n. personnel who assist their superior in carrying out an assigned task
n. a strong rod or stick with a specialized utilitarian purpose
n. the body of teachers and administrators at a school
n. building material consisting of plaster and hair; used to cover external surfaces of temporary structure (as at an exposition) or for decoration"
let go,none
valentine,"n. a sweetheart chosen to receive a greeting on Saint Valentine's Day
n. a card sent or given (as to a sweetheart) on Saint Valentine's Day"
make one's way,none
grand,"s. large and impressive in physical size or extent
s. the most important and magnificent in adornment"
absorb,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically"
margin,"n. the boundary line or the area immediately inside the boundary
n. an amount beyond the minimum necessary
n. the amount of collateral a customer deposits with a broker when borrowing from the broker to buy securities
n. the blank space that surrounds the text on a page"
reflect,"v. manifest or bring back
v. to throw or bend back (from a surface)
v. be bright by reflecting or casting light
v. show an image of"
thoughtful,"s. having intellectual depth
a. exhibiting or characterized by careful thought
s. acting with or showing thought and good sense
s. considerate of the feelings or well-being of others"
insightful,s. exhibiting insight or clear and deep perception
insight,"n. a feeling of understanding
n. the clear (and often sudden) understanding of a complex situation
n. grasping the inner nature of things intuitively"
previous,"s. just preceding something else in time or order
s. too soon or too hasty"
locate,"v. discover the location of; determine the place of; find by searching or examining
v. assign a location to"
correspond,v. exchange messages
ship,"n. a vessel that carries passengers or freight
v. hire for work on a ship
v. travel by ship
v. place on board a ship"
overseas,r. in a place across an ocean
fertile,a. capable of reproducing
romance,"n. the group of languages derived from Latin
n. a novel dealing with idealized events remote from everyday life
v. have a love affair with
v. tell romantic or exaggerated lies"
bud,"n. a partially opened flower
n. a swelling on a plant stem consisting of overlapping immature leaves or petals
v. develop buds
v. start to grow or develop"
haunt,"n. a frequently visited place
v. follow stealthily or recur constantly and spontaneously to
v. haunt like a ghost; pursue"
take a chance,none
take a chance on sth.,none
disgust,"n. strong feelings of dislike
v. fill with distaste
v. cause aversion in; offend the moral sense of"
whichever,pron. & a. Alt. of Whichsoever
lapel,n. lap at the front of a coat; continuation of the coat collar
sustain,"v. supply with necessities and support
v. admit as valid"
unfailingly,r. without fail
unfailing,"s. always able to supply more
s. unceasing"
slim,"v take off weight
s being of delicate or slender build
s small in quantity"
curl,"n. American chemist who with Richard Smalley and Harold Kroto discovered fullerenes and opened a new branch of chemistry (born in 1933)
v. form a curl, curve, or kink
v. twist or roll into coils or ringlets
v. play the Scottish game of curling"
chin,"n. the protruding part of the lower jaw
v. raise oneself while hanging from one's hands until one's chin is level with the support bar"
provocative,"a. serving or tending to provoke, excite, or stimulate; stimulating discussion or exciting controversy
s. exciting sexual desire"
curve,"n. the trace of a point whose direction of motion changes
n. a line on a graph representing data
n. a pitch of a baseball that is thrown with spin so that its path curves as it approaches the batter"
go sb.'s way,none
murmur,"v. speak softly or indistinctly
v. make complaining remarks or noises under one's breath"
more than a little,none
ankle,n. a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
thrust,"n. verbal criticism
v. push forcefully
v. press or force
v. force (molten rock) into pre-existing rock"
heel,"n. the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
n. the back part of the human foot
n. one of the crusty ends of a loaf of bread
n. the lower end of a ship's mast"
split,"n. extending the legs at right angles to the trunk (one in front and the other in back)
n. a bottle containing half the usual amount
n. a promised or claimed share of loot or money
n. a lengthwise crack in wood"
keen,"n. a funeral lament sung with loud wailing
s. having a sharp cutting edge or point"
longing,n. prolonged unfulfilled desire or need
companion,"n. a friend who is frequently in the company of another
n. a traveler who accompanies you
n. one paid to accompany or assist or live with another"
uphold,"v. stand up for; stick up for; of causes, principles, or ideals
v. support against an opponent"
sensible,"a. able to feel or perceive
s. readily perceived by the senses
s. aware intuitively or intellectually of something sensed"
kindly,"s. pleasant and agreeable
r. in a kind manner or out of kindness"
glow,"n. a feeling of considerable warmth
n. a steady even light without flames
v. emit a steady even light without flames
v. have a complexion with a strong bright color, such as red or pink"
hesitate,"v. pause or hold back in uncertainty or unwillingness
v. interrupt temporarily an activity before continuing"
grip,"n. the friction between a body and the surface on which it moves (as between an automobile tire and the road)
n. worker who moves the camera around while a film or television show is being made
n. an intellectual hold or understanding
v. hold fast or firmly"
leather,"n. an animal skin made smooth and flexible by removing the hair and then tanning
v. whip with a leather strap"
identify,"v. recognize as being; establish the identity of someone or something
v. consider (oneself) as similar to somebody else
v. conceive of as united or associated
v. identify as in botany or biology, for example"
grateful,"a. feeling or showing gratitude
s. affording comfort or pleasure"
be grateful to sb. for sth.,none
square,"n. (geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon
n. the product of two equal terms
n. something approximating the shape of a square
n. someone who doesn't understand what is going on"
salute,"n. an act of honor or courteous recognition
n. a formal military gesture of respect
n. an act of greeting with friendly words and gestures like bowing or lifting the hat
v. greet in a friendly way"
lieutenant,"n. a commissioned military officer
n. an officer in a police force
n. an officer holding a commissioned rank in the United States Navy or the United States Coast Guard; below lieutenant commander and above lieutenant junior grade"
broaden,"v. make broader
v. become broader"
wisdom,"n. accumulated knowledge or erudition or enlightenment
n. the trait of utilizing knowledge and experience with common sense and insight
n. ability to apply knowledge or experience or understanding or common sense and insight
n. the quality of being prudent and sensible"
in response to,none
come across,none
make out,none
hope for,none
clue,"n. evidence that helps to solve a problem
v. roll into a ball"
identity,"n. the distinct personality of an individual regarded as a persisting entity
n. the individual characteristics by which a thing or person is recognized or known
n. an operator that leaves unchanged the element on which it operates
n. exact sameness"
other than,none
call in,n. a telephone call to a radio station or a television station in which the caller participates in the on-going program
know of sb.,none
know of sth.,none
nursing home,none
exchange,"n. chemical process in which one atom or ion or group changes places with another
n. a mutual expression of views (especially an unpleasant one)
n. the act of changing one thing for another thing
n. the act of giving something in return for something received"
match up to,none
lead,"n. an advantage held by a competitor in a race
n. a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey
n. evidence pointing to a possible solution
n. a position of leadership (especially in the phrase `take the lead')"
for sure,none
security,"n. the state of being free from danger or injury
n. defense against financial failure; financial independence
n. freedom from anxiety or fear
n. a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends"
goodness,"n that which is pleasing or valuable or useful
n moral excellence or admirableness"
relief,"n. the feeling that comes when something burdensome is removed or reduced
n. the condition of being comfortable or relieved (especially after being relieved of distress)
n. (law) redress awarded by a court
n. assistance in time of difficulty"
be in love with,none
be in love with sb.,none
come to an end,none
adjust,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim"
darling,"n. a special loved one
n. an Australian river; tributary of the Murray River"
catch up on,none
catch up on sth.,none
knot,"n. a tight cluster of people or things
n. any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object
n. a hard cross-grained round piece of wood in a board where a branch emerged
n. something twisted and tight and swollen"
tie the knot,none
erect,a. upright in position or posture
extensively,r. in a widespread way
extensive,"s. large in spatial extent or range or scope or quantity
a. of agriculture; increasing productivity by using large areas with minimal outlay and labor"
intelligence,"n. the ability to comprehend; to understand and profit from experience
n. a unit responsible for gathering and interpreting information about an enemy
n. secret information about an enemy (or potential enemy)
n. the operation of gathering information about an enemy"
intelligent,"a. having the capacity for thought and reason especially to a high degree
s. possessing sound knowledge
s. endowed with the capacity to reason"
controversy,n. a contentious speech act; a dispute where there is strong disagreement
surround,v. extend on all sides of simultaneously; encircle
consciousness,n. an alert cognitive state in which you are aware of yourself and your situation
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
obvious,a. easily perceived by the senses or grasped by the mind
vet,"v. work as a veterinarian
v. examine carefully
v. provide (a person) with medical care
v. provide veterinary care for"
keeper,n. someone in charge of other people
encounter,n. a casual meeting with a person or thing
reveal,v. disclose directly or through prophets
convince,"v make (someone) agree, understand, or realize the truth or validity of something"
feat,n. a notable achievement
captivity,n. the state of being imprisoned
dominant,"n. (music) the fifth note of the diatonic scale
a. exercising influence or control
a. (of genes) producing the same phenotype whether its allele is identical or dissimilar"
species,"n. (biology) taxonomic group whose members can interbreed
n. a specific kind of something"
planet,"n. (astronomy) any of the nine large celestial bodies in the solar system that revolve around the sun and shine by reflected light; Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, and Pluto in order of their proximity to the sun; viewed from the constellation Hercules, all the planets rotate around the sun in a counterclockwise direction
n. any celestial body (other than comets or satellites) that revolves around a star"
make a deal,none
conservationist,n someone who works to protect the environment from destruction or pollution
gorilla,n. largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa
suspicious,"s openly distrustful and unwilling to confide
s not as expected"
peanut,"n. underground pod of the peanut vine
n. widely cultivated American plant cultivated in tropical and warm regions; showy yellow flowers on stalks that bend over to the soil so that seed pods ripen underground
n. a young child who is small for his age
n. pod of the peanut vine containing usually 2 nuts or seeds; `groundnut' and `monkey nut' are British terms"
only to,none
blank,"n. a piece of material ready to be made into something
n. a cartridge containing an explosive charge but no bullet
v. keep the opposing (baseball) team from winning
s. (of a surface) not written or printed on"
negotiate,"v. succeed in passing through, around, or over"
stake,"n. instrument of execution consisting of a vertical post that a victim is tied to for burning
n. the money risked on a gamble
n. a strong wooden or metal post with a point at one end so it can be driven into the ground
v. mark with a stake"
pineapple,"n. a tropical American plant bearing a large fleshy edible fruit with a terminal tuft of stiff leaves; widely cultivated in the tropics
n. large sweet fleshy tropical fruit with a terminal tuft of stiff leaves; widely cultivated"
relieve,"v. provide physical relief, as from pain
v. free from a burden, evil, or distress
v. take by stealing
v. alleviate or remove (pressure or stress) or make less oppressive"
orangutan,n. large long-armed ape of Borneo and Sumatra having arboreal habits
undertake,"v. enter upon an activity or enterprise
v. accept as a challenge
v. promise to do or accomplish
v. accept as a charge"
anthropologist,n. a social scientist who specializes in anthropology
figure out,none
extend,"v. make available; provide
v. reach outward in space
v. expand the influence of
v. open or straighten out; unbend"
dealing,n. method or manner of conduct in relation to others
chip,"n. a triangular wooden float attached to the end of a log line
n. a piece of dried bovine dung
n. a thin crisp slice of potato fried in deep fat
n. a small disk-shaped counter used to represent money when gambling"
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
switch,"n. control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a circuit
n. hairpiece consisting of a tress of false hair; used by women to give shape to a coiffure
n. railroad track having two movable rails and necessary connections; used to turn a train from one track to another or to store rolling stock
n. a flexible implement used as an instrument of punishment"
foil,"n. a piece of thin and flexible sheet metal
n. anything that serves by contrast to call attention to another thing's good qualities
n. picture consisting of a positive photograph or drawing on a transparent base; viewed with a projector
n. a light slender flexible sword tipped by a button"
virtuous,a. morally excellent
promptly,"r. with little or no delay
r. in a punctual manner
r. at once (usually modifies an undesirable occurrence)"
prompt,"n. a cue given to a performer (usually the beginning of the next line to be spoken)
n. (computer science) a symbol that appears on the computer screen to indicate that the computer is ready to receive a command
v. serve as the inciting cause of
v. assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned"
stem,"n. the tube of a tobacco pipe
v. grow out of, have roots in, originate in
v. cause to point inward
v. stop the flow of a liquid"
whale,"n. any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head
v. hunt for whales"
cooperate,v work together on a common enterprise of project
behaviorist,n. a psychologist who subscribes to behaviorism
in sb.'s interest,none
in sb.'s interests,none
go far,none
consultant,n an expert who gives advice
behavior,"n. manner of acting or controlling yourself
n. the action or reaction of something (as a machine or substance) under specified circumstances
n. (psychology) the aggregate of the responses or reactions or movements made by an organism in any situation"
assess,"v. charge (a person or a property) with a payment, such as a tax or a fine
v. estimate the value of (property) for taxation"
judgment,"n. an opinion formed by judging something
n. the act of judging or assessing a person or situation or event
n. (law) the determination by a court of competent jurisdiction on matters submitted to it
n. the cognitive process of reaching a decision or drawing conclusions"
mate,"n. the officer below the master on a commercial ship
n. the partner of an animal (especially a sexual partner)
n. one of a pair
n. South American holly; leaves used in making a drink like tea"
thrive,v. make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
at first,none
stretcher,"n. a wooden framework on which canvas is stretched and fixed for oil painting
n. a mechanical device used to make something larger (as shoes or gloves) by stretching it
n. a litter for transporting people who are ill or wounded or dead; usually consists of a sheet of canvas stretched between two poles"
emergency,"n. a sudden unforeseen crisis (usually involving danger) that requires immediate action
n. a state in which martial law applies"
go wrong,none
halt,v. cause to stop
throw up,none
apparently,r. from appearances alone
