childishly,r. in a childlike manner
era,"n. a period marked by distinctive character or reckoned from a fixed point or event
n. a major division of geological time; an era is usually divided into two or more periods"
identifiable,a. capable of being identified
breed,"n. a special variety of domesticated animals within a species
n. a special type
v. copulate with a female, used especially of horses
v. cause to procreate (animals)"
crooner,n. a singer of popular ballads
orchestra,"n. a musical organization consisting of a group of instrumentalists including string players
n. seating on the main floor in a theater"
harmony,"n. compatibility in opinion and action
n. the structure of music with respect to the composition and progression of chords
n. a harmonious state of things in general and of their properties (as of colors and sounds); congruity of parts with one another and with the whole
n. agreement of opinions"
transitional,a. of or relating to or characterized by transition
break up,"n. Disruption; a separation and dispersion of the parts or
   members; as, a break-up of an assembly or dinner party; a break-up of
   the government."
dominate,"v. be in control
v. have dominance or the power to defeat over
v. look down on"
in the wake of,none
the Fab Four,none
manufacture,"v. put together out of artificial or natural components or parts; He manufactured a popular cereal""
v. produce naturally
v. create or produce in a mechanical way"
assemble,"v. create by putting components or members together
v. get people together"
sustain,"v. supply with necessities and support
v. admit as valid"
tactic,n. a plan for attaining a particular goal
owe sth. to sb.,none
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
dyslexics,"plural of dyslexic
a. of or relating to or symptomatic of dyslexia"
merger,"n the combination of two or more commercial companies
n an occurrence that involves the production of a union"
therapeutic,a. relating to or involved in therapy
bubble,"n. a hollow globule of gas (e.g., air or carbon dioxide)
n. an impracticable and illusory idea
n. a dome-shaped covering made of transparent glass or plastic
v. form, produce, or emit bubbles"
cricket,"n. leaping insect; male makes chirping noises by rubbing the forewings together
n. a game played with a ball and bat by two teams of 11 players; teams take turns trying to score runs
v. play cricket"
chirp,n. a sharp sound made by small birds or insects
Aristotle,n. one of the greatest of the ancient Athenian philosophers; pupil of Plato; teacher of Alexander the Great (384-322 BC)
veteran,"n. a serviceman who has seen considerable active service
n. a person who has served in the armed forces
n. an experienced person who has been through many battles; someone who has given long service"
resonate,"v. sound with resonance
v. be received or understood"
sync,v make synchronous and adjust in time or manner
tempo,"n. (music) the speed at which a composition is to be played
n. the rate of some repeating event"
meditative,s deeply or seriously thoughtful; 
imitate,"v. reproduce someone's behavior or looks
v. appear like, as in behavior or appearance
v. make a reproduction or copy of"
chronic,"a. being long-lasting and recurrent or characterized by long suffering
s. of long duration
s. habitual"
insomnia,n. an inability to sleep; chronic sleeplessness
keep at bay,none
obsess,v. be preoccupied with something
intersect,v. meet at a point
predate,"v. be earlier in time; go back further
v. establish something as being earlier relative to something else"
fascinating,"v cause to be interested or curious
v to render motionless, as with a fixed stare or by arousing terror or awe
v attract; cause to be enamored
s capable of arousing and holding the attention
s capturing interest as if by a spell"
in spite of,none
encounter,n. a casual meeting with a person or thing
clash,"n. a state of conflict between persons
n. a state of conflict between colors
v. be incompatible; be or come into conflict
v. disagree violently"
tradition,n. an inherited pattern of thought or action
adjust,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim"
result from,none
cue,"n. an actor's line that immediately precedes and serves as a reminder for some action or speech
n. sports implement consisting of a tapering rod used to strike a cue ball in pool or billiards"
statement,"n. a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc
n. (music) the presentation of a musical theme
n. a nonverbal message
n. a document showing credits and debits"
gesture,"n. motion of hands or body to emphasize or help to express a thought or feeling
n. the use of movements (especially of the hands) to communicate familiar or prearranged signals
n. something done as an indication of intention"
custom,"n. accepted or habitual practice
n. a specific practice of long standing
n. habitual patronage"
belief,n. any cognitive content held as true
remove,"n. degree of figurative distance or separation; 
v. remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
v. remove from a position or an office
v. shift the position or location of, as for business, legal, educational, or military purposes"
broad-minded,a. inclined to respect views and beliefs that differ from your own
discomfort,"n. the state of being tense and feeling pain
n. an uncomfortable feeling of mental painfulness or distress"
suffer from,none
regression,"n. (psychiatry) a defense mechanism in which you flee from reality by assuming a more infantile state
n. the relation between selected values of x and observed values of y (from which the most probable value of y can be predicted for any value of x)
n. returning to a former state"
irrationally,r. in an irrational manner
glorified,"v praise, glorify, or honor
v bestow glory upon
v elevate or idealize, in allusion to Christ's transfiguration
v cause to seem more splendid
s accorded sacrosanct or authoritative standing"
go through,none
phase,"n. any distinct time period in a sequence of events
n. (physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state and separated from other material by the phase boundary
n. a particular point in the time of a cycle; measured from some arbitrary zero and expressed as an angle
n. (astronomy) the particular appearance of a body's state of illumination (especially one of the recurring shapes of the part of Earth's moon that is illuminated by the sun)"
perceive,"v. to become aware of through the senses
v. become conscious of"
picturesque,"s. suggesting or suitable for a picture; pretty as a picture
s. strikingly expressive"
superficial,"a. concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually
a. of, affecting, or being on or near the surface
s. of little substance or significance"
wear off,none
sink in,none
stick with,none
mastery,n. the act of mastering or subordinating someone
adjustment,"n. making or becoming suitable; adjusting to circumstances
n. the act of adjusting something to match a standard"
conversion,"n. an event that results in a transformation
n. a change in the units or form of an expression: ""conversion from Fahrenheit to Centigrade""
n. a successful free throw or try for point after a touchdown
n. a spiritual enlightenment causing a person to lead a new life"
initial,"n. the first letter of a word (especially a person's name)
v. mark with one's initials
s. occurring at the beginning"
elementary,"s. easy and not involved or complicated
a. of or pertaining to or characteristic of elementary school or elementary education
s. of or being the essential or basic part"
accompanied,imp. & p. p. of Accompany
escort,"n. the act of accompanying someone or something in order to protect them
n. an attendant who is employed to accompany someone
v. accompany as an escort"
tag,"n. a label written or printed on paper, cardboard, or plastic that is attached to something to indicate its owner, nature, price, etc.
n. a label associated with something for the purpose of identification
n. a game in which one child chases the others; the one who is caught becomes the next chaser
n. (sports) the act of touching a player in a game (which changes their status in the game)"
caretaker,"n. a custodian who is hired to take care of something (property or a person)
n. an official who performs the duties of an office temporarily"
preteen,"n. a preadolescent boy or girl (usually between 9 and 12 years of age)
s. of or relating to or designed for children between the ages of 9 and 12"
self-identity,none
be subject to,none
impose,"v compel to behave in a certain way
v impose something unpleasant
v impose and collect"
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
inherent,"s existing as an essential constituent or characteristic
s in the nature of something though not readily apparent"
transnational,s involving or operating in several nations or nationalities
cutthroat,"n. someone who murders by cutting the victim's throat
s. ruthless in competition"
scenario,"n. an outline or synopsis of a play (or, by extension, of a literary work)
n. a setting for a work of art or literature
n. a postulated sequence of possible events"
portray,"v. portray in words
v. make a portrait of
v. represent abstractly, for example in a painting, drawing, or sculpture"
impetuous,s. marked by violent force
undisciplined,"s. not subjected to discipline
s. lacking in discipline or control"
acquisition,"n. the act of contracting or assuming or acquiring possession of something
n. something acquired"
fit in,none
radically,r. in a radical manner
result in,none
marginalized,"v relegate to a lower or outer edge, as of specific groups of people"
maintenance,"n. means of maintenance of a family or group
n. the unauthorized interference in a legal action by a person having no interest in it (as by helping one party with money or otherwise to continue the action) so as to obstruct justice or promote unnecessary litigation or unsettle the peace of the community"
paradoxically,r. in a paradoxical manner
ridicule,"n. language or behavior intended to mock or humiliate
v. subject to laughter or ridicule"
scorn,"n lack of respect accompanied by a feeling of intense dislike
n open disrespect for a person or thing
v look down on with disdain
v reject with contempt"
assimilation,"n. the state of being assimilated; people of different backgrounds come to see themselves as part of a larger national family
n. the social process of absorbing one cultural group into harmony with another
n. the process of absorbing nutrients into the body after digestion"
integration,"n. the action of incorporating a racial or religious group into a community
n. an operation used in the calculus whereby the integral of a function is determined"
permanent,"a. continuing or enduring without marked change in status or condition or place
s. not capable of being reversed or returned to the original condition"
sustained,s. maintained at length without interruption or weakening
socioeconomic,a. involving social as well as economic factors
tie,"n. equality of score in a contest
n. a horizontal beam used to prevent two other structural members from spreading apart or separating
n. (music) a slur over two notes of the same pitch; indicates that the note is to be sustained for their combined time value
n. one of the cross braces that support the rails on a railway track"
ethnic,n. a person who is a member of an ethnic group
gigantic,s. so exceedingly large or extensive as to suggest a giant or mammoth
despise,v look down on with disdain
sociologist,n. a social scientist who studies the institutions and development of human society
immigrant,n. a person who comes to a country where they were not born in order to settle there
sleeved,a. made with sleeves or sleeves especially as specified; often used in combination
buckle,"n. fastener that fastens together two ends of a belt or strap; often has loose prong
v. fasten with a buckle or buckles
v. fold or collapse"
imitation,"n. the doctrine that representations of nature or human behavior should be accurate imitations
n. something copied or derived from an original
n. copying (or trying to copy) the actions of someone else"
numerous,s. amounting to a large indefinite number
franchise,"n. an authorization to sell a company's goods or services in a particular place
n. a business established or operated under an authorization to sell or distribute a company's goods or services in a particular area
n. a statutory right or privilege granted to a person or group by a government (especially the rights of citizenship and the right to vote)
v. grant a franchise to"
undeniable,a. not possible to deny
dietitian,n a specialist in the study of nutrition
obesity,n more than average fatness
stereotype,n. a conventional or formulaic conception or image
cuisine,n. the practice or manner of preparing food or the food so prepared
junk food,none
eating joint,none
transmission,"n. the act of sending a message; causing a message to be transmitted
n. communication by means of transmitted signals
n. the gears that transmit power from an automobile engine via the driveshaft to the live axle"
conduit,n. a passage (a pipe or tunnel) through which water or electric wires can pass
electronic media,none
adore,v. love intensely
casino,"n. a public building for gambling and entertainment
n. a card game in which cards face up on the table are taken with eligible cards in the hand"
jazz,"n. a genre of popular music that originated in New Orleans around 1900 and developed through increasingly complex styles
n. a style of dance music popular in the 1920s; similar to New Orleans jazz but played by large bands
v. play something in the style of jazz"
hip-hop,"n. an urban youth culture associated with rap music and the fashions of African-American residents of the inner city
n. genre of African-American music of the 1980s and 1990s in which rhyming lyrics are chanted to a musical accompaniment; several forms of rap have emerged"
rap,"n. a gentle blow
n. voluble conversation
n. genre of African-American music of the 1980s and 1990s in which rhyming lyrics are chanted to a musical accompaniment; several forms of rap have emerged
v. strike sharply"
equivalent,"n. a person or thing equal to another in value or measure or force or effect or significance etc
n. the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen
s. being essentially equal to something"
continental,"a. of or pertaining to or typical of Europe
a. of or relating to or concerning the American colonies during and immediately after the American Revolutionary War
a. of or relating to or characteristic of a continent
a. being or concerning or limited to a continent especially the continents of North America or Europe"
annually,r. without missing a year
theme park,none
acceptability,n. satisfactoriness by virtue of conforming to approved standards
demonstrate,v. march in protest; take part in a demonstration
subsequent,a. following in time or order
propose,"v. make a proposal, declare a plan for something
v. ask (someone) to marry you"
iPod,n. (trademark) a pocket-sized device used to play music files
gadget,n a device or control that is very useful for a particular job
portable,"n. a small light typewriter; usually with a case in which it can be carried
a. easily or conveniently transported
s. of a motor designed to be attached to the outside of a boat's hull"
digital,"a. displaying numbers rather than scale positions
a. relating to or performed with the fingers
a. of a circuit or device that represents magnitudes in digits"
premier,"v. be performed for the first time
v. perform a work for the first time
s. first in rank or degree
s. preceding all others in time"
globalization,n. growth to a global or worldwide scale
sociopolitical,none
fascinate,"v. to render motionless, as with a fixed stare or by arousing terror or awe"
colonialism,n. exploitation by a stronger country of weaker one; the use of the weaker country's resources to strengthen and enrich the stronger country
quasi,s. having some resemblance
International Monetary Fund,none
World Bank,none
consequently,"r. (sentence connectors) because of the reason given
r. as a consequence"
Bretton Woods Institutions,none
liberalization,n. the act of making less strict
privatization,n changing something from state to private ownership or control
welfare,"n governmental provision of economic assistance to persons in need
n something that aids or promotes well-being
n a contented state of being happy and healthy and prosperous"
concurrently,r. overlapping in duration
multinational,s. involving or operating in several nations or nationalities
format,"n. the organization of information according to preset specifications (usually for computer processing)
n. the general appearance of a publication
v. set (printed matter) into a specific format
v. determine the arrangement of (data) for storage and display (in computer science)"
rhetoric,"n. using language effectively to please or persuade
n. study of the technique and rules for using language effectively (especially in public speaking)"
disparate,"s. fundamentally different or distinct in quality or kind
s. including markedly dissimilar elements"
financial flow,none
dimension,"n. the magnitude of something in a particular direction (especially length or width or height)
n. one of three Cartesian coordinates that determine a position in space
v. indicate the dimensions on
v. shape or form to required dimensions"
leverage,"n. the mechanical advantage gained by being in a position to use a lever
n. strategic advantage; power to act effectively
n. investing with borrowed money as a way to amplify potential gains (at the risk of greater losses)
v. supplement with leverage"
proponent,n a person who pleads for a cause or propounds an idea
corporate,"a. of or belonging to a corporation
s. done by or characteristic of individuals acting together
s. organized and maintained as a legal corporation"
imperialism,"n. a policy of extending your rule over foreign countries
n. a political orientation that advocates imperial interests
n. any instance of aggressive extension of authority"
trample,"n. the sound of heavy treading or stomping
v. injure by trampling or as if by trampling"
plunder,v. steal goods; take as spoils
profiteering,"v make an unreasonable profit, as on the sale of difficult to obtain goods"
via,"n. A road way.
prep. By the way of; as, to send a letter via Queenstown to
   London."
inhibition,"n. (psychology) the conscious exclusion of unacceptable thoughts or desires
n. the quality of being inhibited
n. (physiology) the process whereby nerves can retard or prevent the functioning of an organ or part"
authentic,"s. conforming to fact and therefore worthy of belief
s. not counterfeit or copied"
satire,n witty language used to convey insults or scorn
commentary,n a written explanation or criticism or illustration that is added to a book or other textual material
terrorist,n. a radical who employs terror as a political weapon; usually organizes with other terrorists in small cells; often uses religion as a cover for terrorist activities
laptop,n. a portable computer small enough to use in your lap
contemporary,"n. a person of nearly the same age as another
s. characteristic of the present
s. belonging to the present time"
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
connotation,n. an idea that is implied or suggested
