a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
scorpion,n. arachnid of warm dry regions having a long segmented tail ending in a venomous stinger
Scotch,"n. whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still
v. make a small cut or score into"
scotch,"n. whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still
v. make a small cut or score into"
Scotland,n. one of the four countries that make up the United Kingdom of Great Britain and Northern Ireland; located on the northern part of the island of Great Britain; famous for bagpipes and plaids and kilts
Scots,a. of or relating to or characteristic of Scotland or its people or culture or its English dialect or Gaelic language
Scotsman,n a native or inhabitant of Scotland
Scotswoman,n a woman who is a Scot
Scottish,n. the dialect of English used in Scotland
scoundrel,n a wicked or evil person; someone who does evil deliberately
scour,"n. a place that is scoured (especially by running water)
v. examine minutely
v. rub hard or scrub"
scout,"n. a Boy Scout or Girl Scout
n. someone employed to discover and recruit talented persons (especially in the worlds of entertainment or sports)
n. someone who can find paths through unexplored territory
v. explore, often with the goal of finding something or somebody"
scramble,"n. an unceremonious and disorganized struggle
v. to move hurriedly
v. bring into random order
v. make unintelligible"
scrap,"n. a small piece of something that is left over after the rest has been used
v. make into scrap or refuse"
scrape,"n. a harsh noise made by scraping
n. a deep bow with the foot drawn backwards (indicating excessive humility)
v. scratch repeatedly
v. make by scraping"
scratch,"n. a competitor who has withdrawn from competition
n. (golf) a handicap of zero strokes
n. an indication of damage
v. cut the surface of; wear away the surface of"
scream,"n. sharp piercing cry
v. make a loud, piercing sound"
screen,"n. a white or silvered surface where pictures can be projected for viewing
n. the display that is electronically created on the surface of the large end of a cathode-ray tube
n. a covering that serves to conceal or shelter something
n. a protective covering consisting of netting; can be mounted in a frame"
screenplay,n. a script for a film including dialogue and descriptions of characters and sets
screw,"n. a simple machine of the inclined-plane type consisting of a spirally threaded cylindrical rod that engages with a similarly threaded hole
n. a propeller with several angled blades that rotates to push against water or air
n. a fastener with a tapered threaded shank and a slotted head
v. turn like a screw"
screwdriver,"n. a hand tool for driving screws; has a tip that fits into the head of a screw
n. a cocktail made with vodka and orange juice"
scribble,"n. poor handwriting
n. an aimless drawing
v. write down quickly without much attention to detail
v. write carelessly"
script,"n. a written version of a play or other dramatic composition; used in preparing for a performance
n. a particular orthography or writing system
v. write a script for"
scriptwriter,n. someone who writes scripts for plays or movies or broadcast dramas
scroll,"n. a document that can be rolled up (as for storage)
v. move through text or graphics in order to display parts that do not fit on the screen"
scrub,"n. dense vegetation consisting of stunted trees or bushes
n. the act of cleaning a surface by rubbing it with a brush and soap and water
v. clean with hard rubbing
v. wash thoroughly"
scrutiny,n. a prolonged intense look
sculptor,"n. an artist who creates sculptures
n. a faint constellation in the southern hemisphere near Phoenix and Cetus"
sculpture,"n. a three-dimensional work of plastic art
n. creating figures or designs in three dimensions"
scythe,"n. an edge tool for cutting grass; has a long handle that must be held with both hands and a curved blade that moves parallel to the ground
v. cut with a scythe"
sea,"n. a division of an ocean or a large body of salt water partially enclosed by land
n. turbulent water with swells of considerable size"
seafood,n. edible fish (broadly including freshwater fish) or shellfish or roe etc
seagull,n mostly white aquatic bird having long pointed wings and short legs
seal,"n. a device incised to make an impression; used to secure a closing or to authenticate documents
n. the pelt or fur (especially the underfur) of a seal
n. a stamp affixed to a document (as to attest to its authenticity or to seal it)
n. a finishing coat applied to exclude moisture"
seam,"n. joint consisting of a line formed by joining two pieces
n. a stratum of ore or coal thick enough to be mined with profit
v. put together with a seam"
seaman,n. muckraking United States journalist who exposed bad conditions in mental institutions (1867-1922)
seaport,n. a sheltered port where ships can take on or discharge cargo
search,"n. the activity of looking thoroughly in order to find something or someone
n. an investigation seeking answers
n. an operation that determines whether one or more of a set of items has a specified property
n. the examination of alternative hypotheses"
sea-shell,n. the shell of a marine organism
seashore,n. the shore of a sea or ocean
seasick,s experiencing motion sickness
seasickness,n. motion sickness experienced while traveling on water
seaside,n. the shore of a sea or ocean regarded as a resort
season,"n. a period of the year marked by special events or activities in some field
n. one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions
n. a recurrent time marked by major holidays
v. lend flavor to"
seasoning,n. the act of adding a seasoning to food
seat,"n. a space reserved for sitting (as in a theater or on a train or airplane)
n. furniture that is designed for sitting on
n. any support where you can sit (especially the part of a chair or bench etc. on which you sit)
n. a center of authority (as a city from which authority is exercised)"
seatbelt,n a safety belt used in a car or plane to hold you in your seat in case of an accident
seaward,"n. the direction toward the sea
s. directed or situated away from inland regions and toward the sea or coast
r. in the direction of the sea"
seaweed,"n. plant growing in the sea, especially marine algae"
second,"n. 1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
n. following the first in an ordering or series
n. a 60th part of a minute of arc
n. the official attendant of a contestant in a duel or boxing match"
second,"n. 1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
n. following the first in an ordering or series
n. a 60th part of a minute of arc
n. the official attendant of a contestant in a duel or boxing match"
secondary,"n. the defensive football players who line up behind the linemen
a. being of second rank or importance or value; not direct or immediate
s. depending on or incidental to what is original or primary
s. not of major importance"
secondhand,"s. derived from what is primary or original; not firsthand
s. previously used or owned by another
r. by indirect means"
second-rate,s moderate to inferior in quality
secrecy,n. the trait of keeping things secret
secret,"n. something that should remain hidden from others (especially information that is not to be passed on)
n. information known only to a special group
s. not open or public; kept private or not revealed
s. communicated covertly"
secretarial,a. of or relating to a secretary or to a secretary's work
secretariat,"n. an administrative unit responsible for maintaining records and other secretarial duties; especially for international organizations
n. thoroughbred that won the triple crown in 1973"
secretary,"n. a person who is head of an administrative department of government
n. an assistant who handles correspondence and clerical work for a boss or an organization
n. a desk used for writing"
sect,n. a subdivision of a larger religious group
section,"n. a self-contained part of a larger composition (written or musical)
n. a very thin slice (of tissue or mineral or other substance) for examination under a microscope
n. a distinct region or subdivision of a territorial or political area or community or group of people
n. one of several parts or pieces that fit with others to constitute a whole object"
sector,"n. a plane figure bounded by two radii and the included arc of a circle
n. a social group that forms part of the society or the economy
n. a particular aspect of life or activity
n. the minimum track length that can be assigned to store information; unless otherwise specified a sector of data consists of 512 bytes"
secular,"a. of or relating to the doctrine that rejects religion and religious considerations
a. of or relating to clergy not bound by monastic vows"
secure,"v. assure payment of
a. free from fear or doubt; easy in mind
a. free from danger or risk
a. not likely to fail or give way"
security,"n. the state of being free from danger or injury
n. defense against financial failure; financial independence
n. freedom from anxiety or fear
n. a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends"
sediment,"n. matter that has been deposited by some natural process
v. deposit as a sediment
v. settle as sediment"
see,"n. the seat within a bishop's diocese where his cathedral is located
v. perceive by sight or have the power to perceive by sight
v. deem to be
v. be careful or certain to do something; make certain of something"
seed,"n. a small hard fruit
n. a mature fertilized plant ovule consisting of an embryo and its food source and having a protective coat or testa
v. go to seed; shed seeds
v. help (an enterprise) in its early stages of development by providing seed money"
seedling,n. young plant or tree grown from a seed
seek,"n. the movement of a read/write head to a specific data track on a disk
v. try to get or reach
v. go to or towards
v. inquire for"
seem,"v. appear to exist
v. appear to one's own mind or opinion"
seemingly,r from appearances alone
seesaw,"n. a plaything consisting of a board balanced on a fulcrum; the board is ridden up and down by children at either end
v. move up and down as if on a seesaw"
segment,"n. one of the parts into which something naturally divides
v. divide into segments
v. divide or split up"
seize,"v. take hold of; grab
v. take or capture by force
v. hook by a pull on the line
v. affect"
seizure,"n. a sudden occurrence (or recurrence) of a disease
n. the taking possession of something by legal process"
seldom,r not often
select,"v pick out, select, or choose from a number of alternatives
s of superior grade
s selected or chosen for special qualifications"
selection,n. an assortment of things from which a choice can be made
selective,"s. tending to select; characterized by careful choice
s. characterized by very careful or fastidious selection"
self,"n. your consciousness of your own identity
n. a person considered as a unique individual
a. (used as a combining form) relating to--of or by or to or from or for--the self"
self-assured,s. showing poise and confidence in your own worth
self-confidence,n freedom from doubt; belief in yourself and your abilities
self-conscious,"s. aware of yourself as an individual or of your own being and actions and thoughts
s. excessively and uncomfortably conscious of your appearance or behavior"
self-contained,s. constituting a complete and independent unit in and of itself
self-contradictory,"s seemingly contradictory but nonetheless possibly true
s in disagreement"
self-control,n. the trait of resolutely controlling your own behavior
self-criticism,n. criticism of yourself
self-determination,n. determination of one's own fate or course of action without compulsion
self-education,n the process of educating yourself
self-employed,a working for yourself
self-evident,s evident without proof or argument
self-government,n. government of a political unit by its own people
self-interest,"n taking advantage of opportunities without regard for the consequences for others
n concern for your own interests and welfare"
selfish,a. concerned chiefly or only with yourself and your advantage to the exclusion of others
selfless,a showing unselfish concern for the welfare of others
self-pity,n. a feeling of sorrow (often self-indulgent) over your own sufferings
self-reliant,s (of persons) free from external control and constraint in e.g. action and judgment
self-respect,n the quality of being worthy of esteem or respect
self-service,"n. the practice of serving yourself (as in a grocery or cafeteria)
a. of or denoting an establishment (a restaurant or shop etc.) where customers serve themselves"
self-sufficient,s. able to provide for your own needs without help from others
self-taught,a. Taught by one's own efforts.
sell,"n. the activity of persuading someone to buy
v. exchange or deliver for money or its equivalent
v. be sold at a certain price or in a certain way
v. persuade somebody to accept something"
seller,n. someone who promotes or exchanges goods or services for money
semester,"n. one of two divisions of an academic year
n. half a year; a period of 6 months"
semicolon,n. a punctuation mark (`; ') used to connect independent clauses; indicates a closer relation than does a period
semi-conductor,n. a substance as germanium or silicon whose electrical conductivity is intermediate between that of a metal and an insulator; its conductivity increases with temperature and in the presence of impurities
seminar,"n. any meeting for an exchange of ideas
n. a course offered for a small group of advanced students"
semi-skilled,s. possessing or requiring limited skills
senate,n. assembly possessing high legislative powers
senator,n. a member of a senate
send,"v. cause to go somewhere
v. to cause or order to be taken, directed, or transmitted to another place
v. transfer"
senior,"n. an undergraduate student during the year preceding graduation
a. older; higher in rank; longer in length of tenure or service
s. used of the fourth and final year in United States high school or college"
seniority,n. higher rank than that of others especially by reason of longer service
sensation,"n. an unelaborated elementary awareness of stimulation
n. a general feeling of excitement and heightened interest
n. a state of widespread public excitement and interest"
sensational,"a. causing intense interest, curiosity, or emotion
a. relating to or concerned in sensation"
sense,"n. a general conscious awareness
n. the meaning of a word or expression; the way in which a word or expression or situation can be interpreted
n. the faculty through which the external world is apprehended
n. a natural appreciation or ability"
senseless,"s not marked by the use of reason
s unresponsive to stimulation
s serving no useful purpose; having no excuse for being
s (of especially persons) lacking sense or understanding or judgment"
sensibility,"n. mental responsiveness and awareness
n. refined sensitivity to pleasurable or painful impressions"
sensible,"a. able to feel or perceive
s. readily perceived by the senses
s. aware intuitively or intellectually of something sensed"
sensitive,"a. responsive to physical stimuli
a. being susceptible to the attitudes, feelings, or circumstances of others
s. hurting
s. of or pertaining to classified information or matters affecting national security"
sensitivity,"n. (physiology) responsiveness to external stimuli; the faculty of sensation
n. the ability to respond to physical stimuli or to register small physical amounts or differences
n. sensitivity to emotional feelings (of self and others)"
sentence,"n. a string of words satisfying the grammatical rules of a language
v. pronounce a sentence on (somebody) in a court of law"
sentiment,"n. tender, romantic, or nostalgic feeling or emotion"
sentimental,s. given to or marked by sentiment or sentimentality
separate,"n. a garment that can be purchased separately and worn in combinations with other garments
v. act as a barrier between; stand between
v. force, take, or pull apart
v. divide into components or constituents"
separately,r apart from others
separation,"n. the state of lacking unity
n. coming apart
n. sorting one thing from others
n. the social act of separating or parting company"
separatist,n. an advocate of secession or separation from a larger group (such as an established church or a national union)
September,n. the month following August and preceding October
sequence,"n. serial arrangement in which things follow in logical order or a recurrent pattern
n. a following of one thing after another in time
n. film consisting of a succession of related shots that develop a given subject in a movie
n. several repetitions of a melodic phrase in different keys"
serene,s. completely clear and fine
serenely,r. in a peacefully serene manner
serenity,"n a disposition free from stress or emotion
n the absence of mental stress or anxiety"
sergeant,n. any of several noncommissioned officer ranks in the Army or Air Force or Marines ranking above a corporal
serial,"n. a serialized set of programs
a. pertaining to or composed in serial technique
a. pertaining to or occurring in or producing a series
s. of or relating to the sequential performance of multiple operations"
series,"n. similar things placed in order or happening one after another
n. a periodical that appears at scheduled times
n. (sports) several contests played successively by the same teams
n. (electronics) connection of components in such a manner that current flows first through one and then through the other"
serious,"a. concerned with work or important matters rather than play or trivialities
s. of great consequence
s. requiring effort or concentration; complex and not easy to answer or solve"
sermon,"n. an address of a religious nature (usually delivered during a church service)
n. a moralistic rebuke"
serpent,"n. a firework that moves in serpentine manner when ignited
n. an obsolete bass cornet; resembles a snake"
servant,n. a person working in the service of another (especially in the household)
serve,"n. (sports) a stroke that puts the ball in play
v. serve a purpose, role, or function
v. do duty or hold offices; serve in a specific function
v. contribute or conduce to"
service,"n. work done by one person or group that benefits another
n. an act of help or assistance
n. the act of public worship following prescribed rules
n. a company or agency that performs a public service; subject to government regulation"
serviceman,n. someone who serves in the armed forces; a member of a military force
sesame,n. East Indian annual erect herb; source of sesame seed or benniseed and sesame oil
session,"n. a meeting for execution of a group's functions
n. a meeting devoted to a particular activity"
set,"n. a group of things of the same kind that belong together and are so used
n. (mathematics) an abstract collection of numbers or symbols
n. several exercises intended to be done in series
n. an unofficial association of people or groups"
setback,n an unfortunate happening that hinders or impedes; something that is thwarting or frustrating
settee,n. a small sofa
setting,"n. the context and environment in which something is set
n. the state of the environment in which a situation exists
n. the physical position of something"
settle,"n. a long wooden bench with a back
v. settle into a position, usually on a surface or ground
v. settle conclusively; come to terms
v. take up residence and become established"
settlement,"n. a conclusive resolution of a matter and disposition of it
n. something settled or resolved; the outcome of decision making
n. an area where a group of families live together"
settler,"n. a person who settles in a new colony or moves into new country
n. a negotiator who settles disputes
n. a clerk in a betting shop who calculates the winnings"
seven,"n. the cardinal number that is the sum of six and one
s. being one more than six"
seventeen,"n. the cardinal number that is the sum of sixteen and one
s. being one more than sixteen"
seventh,"n. position seven in a countable series of things
n. the musical interval between one note and another seven notes away from it
s. coming next after the sixth and just before the eighth in position"
seventieth,"n. position 70 in a countable series of things
s. the ordinal number of seventy in counting order"
seventy,"n. the cardinal number that is the product of ten and seven
s. being ten more than sixty"
sever,v. set or keep apart
several,"s. (used with count nouns) of an indefinite number more than 2 or 3 but not many
s. distinct and individual"
severe,"s. intensely or extremely bad or unpleasant in degree or quality
s. unsparing and uncompromising in discipline or judgment
s. very bad in degree or extent"
sew,"v. fasten by sewing; do needlework
v. create (clothes) with cloth"
sewage,n. waste matter carried away in sewers or drains
sewer,"n. a waste pipe that carries away sewage or surface water
n. someone who sews"
sewerage,"n waste matter carried away in sewers or drains
n a waste pipe that carries away sewage or surface water"
sex,"n. either of the two categories (male or female) into which most organisms are divided
n. all of the feelings resulting from the urge to gratify sexual impulses
n. the properties that distinguish organisms on the basis of their reproductive roles
v. tell the sex (of young chickens)"
sexual,"a. of or relating to or characterized by sexuality
a. having or involving sex"
sexuality,n the properties that distinguish organisms on the basis of their reproductive roles
sexy,a. marked by or tending to arouse sexual desire or interest
shabby,s. mean and unworthy and despicable
shade,"n. relative darkness caused by light rays being intercepted by an opaque body
n. a quality of a given color that differs slightly from another color
n. protective covering that protects something from direct sunlight
n. a position of relative inferiority"
shadow,"n. shade within clear boundaries
n. a premonition of something adverse
n. refuge from danger or observation
n. a dominating and pervasive presence"
shadowy,s. lacking in substance
shady,s. filled with shade
shaft,"n. a line that forms the length of an arrow pointer
n. a long rod or pole (especially the handle of an implement or the body of a weapon like a spear or arrow)
n. a vertical passageway through a building (as for an elevator)
n. (architecture) upright consisting of the vertical part of a column"
shake,"v. move or cause to move back and forth
v. move with or as if with a tremor
v. undermine or cause to waver
v. get rid of"
shaky,s. vibrating slightly and irregularly; as e.g. with fear or cold or like the leaves of an aspen in a breeze
shall,"v. i. & auxiliary. To owe; to be under obligation for.
v. i. & auxiliary. To be obliged; must.
v. i. & auxiliary. As an auxiliary, shall indicates a duty or
   necessity whose obligation is derived from the person speaking; as, you
   shall go; he shall go; that is, I order or promise your going. It thus
   ordinarily expresses, in the second and third persons, a command, a
   threat, or a promise. If the auxillary be emphasized, the command is
   made more imperative, the promise or that more positive and sure. It is
   also employed in the language of prophecy; as, ""the day shall come when
   . . . , "" since a promise or threat and an authoritative prophecy
   nearly coincide in significance. In shall with the first person, the
   necessity of the action is sometimes implied as residing elsewhere than
   in the speaker; as, I shall suffer; we shall see; and there is always a
   less distinct and positive assertion of his volition than is indicated
   by will. ""I shall go"" implies nearly a simple futurity; more exactly, a
   foretelling or an expectation of my going, in which, naturally enough,
   a certain degree of plan or intention may be included; emphasize the
   shall, and the event is described as certain to occur, and the
   expression approximates in meaning to our emphatic ""I will go."" In a
   question, the relation of speaker and source of obligation is of course
   transferred to the person addressed; as, ""Shall you go?"" (answer, ""I
   shall go""); ""Shall he go?"" i. e., ""Do you require or promise his
   going?"" (answer, ""He shall go"".) The same relation is transferred to
   either second or third person in such phrases as ""You say, or think,
   you shall go;"" ""He says, or thinks, he shall go."" After a conditional
   conjunction (as if, whether) shall is used in all persons to express
   futurity simply; as, if I, you, or he shall say they are right. Should
   is everywhere used in the same connection and the same senses as shall,
   as its imperfect. It also expresses duty or moral obligation; as, he
   should do it whether he will or not. In the early English, and hence in
   our English Bible, shall is the auxiliary mainly used, in all the
   persons, to express simple futurity. (Cf. Will, v. t.) Shall may be
   used elliptically; thus, with an adverb or other word expressive of
   motion go may be omitted."
shallow,"v. make shallow
v. become shallow
a. lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center
a. not deep or strong; not affecting one deeply"
shame,"n. a painful emotion resulting from an awareness of inadequacy or guilt
n. a state of dishonor
v. compel through a sense of shame
v. cause to be ashamed"
shamefaced,"s. extremely modest or shy
s. showing a sense of shame"
shameful,"s (used of conduct or character) deserving or bringing disgrace or shame
s giving offense to moral sensibilities and injurious to reputation"
shameless,s. feeling no shame
shampoo,"n. cleansing agent consisting of soaps or detergents used for washing the hair
n. the act of washing your hair with shampoo
v. use shampoo on (hair)"
shape,"n. any spatial attributes (especially as defined by outline)
n. the spatial arrangement of something as distinct from its substance
n. a concrete representation of an otherwise nebulous concept
v. make something, usually for a specific function"
share,"n. assets belonging to or due to or contributed by an individual person or group
n. any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate
v. have in common
v. use jointly or in common"
shareholder,n someone who holds shares of stock in a corporation
shark,"n. any of numerous elongate mostly marine carnivorous fishes with heterocercal caudal fins and tough skin covered with small toothlike scales
n. a person who is ruthless and greedy and dishonest
n. a person who is unusually skilled in certain ways
v. play the shark; act with trickery"
sharp,"n. a musical notation indicating one half step higher than the note named
n. a long thin sewing needle with a sharp point
s. harsh
a. keenly and painfully felt; as if caused by a sharp edge or point"
sharpen,"v. make sharp or sharper
v. make crisp or more crisp and precise
v. become sharp or sharper
v. make (images or sounds) sharp or sharper"
sharpener,n. any implement that is used to make something (an edge or a point) sharper
shave,"n. the act of removing hair with a razor
v. remove body hair with a razor
v. cut closely
v. cut the price of"
shawl,n. cloak consisting of an oblong piece of cloth used to cover the head and shoulders
she,"obj. This or that female; the woman understood or referred to;
   the animal of the female sex, or object personified as feminine, which
   was spoken of.
obj. A woman; a female; -- used substantively."
shed,"n. an outbuilding with a single story; used for shelter or storage
v. get rid of
v. cast off hair, skin, horn, or feathers"
sheep,"n. woolly usually horned ruminant mammal related to the goat
n. a timid defenseless simpleton who is readily preyed upon
n. a docile and vulnerable person who would rather follow than make an independent decision"
sheer,"v. cause to sheer
r. straight up or down without a break
r. directly"
sheet,"n. any broad thin expanse or surface
n. paper used for writing or printing
n. bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs
n. a flat artifact that is thin relative to its length and width"
shelf,n. a support that consists of a horizontal surface for holding objects
shell,"n. ammunition consisting of a cylindrical metal casing containing an explosive charge and a projectile; fired from a large gun
n. the material that forms the hard outer covering of many animals
n. the hard usually fibrous outer layer of some fruits especially nuts
n. the exterior covering of a bird's egg"
shellfish,n. meat of edible aquatic invertebrate with a shell (especially a mollusk or crustacean)
shelter,"n. a structure that provides privacy and protection from danger
n. protective covering that provides protection from the weather
n. temporary housing for homeless or displaced persons
v. provide shelter for"
shepherd,"n. a clergyman who watches over a group of people
v. watch over like a shepherd, as a teacher of her pupils
v. tend as a shepherd, as of sheep or goats"
sheriff,n. the principal law-enforcement officer in a county
sherry,n. dry to sweet amber wine from the Jerez region of southern Spain or similar wines produced elsewhere; usually drunk as an aperitif
shield,"n. a protective covering or structure
n. armor carried on the arm to intercept blows
v. protect, hide, or conceal from danger or harm"
shift,"n. an event in which something is displaced without rotation
n. the time period during which you are at work
n. the act of moving from one place to another
n. a crew of workers who work for a specific period of time"
shilling,n. an English coin worth one twentieth of a pound
shine,"v. emit light; be bright, as of the sun or a light
v. be distinguished or eminent
v. be clear and obvious
v. throw or flash the light of (a lamp)"
shiny,"s reflecting light
a having a shiny surface or coating
s made smooth and bright by or as if by rubbing; reflecting a sheen or glow"
ship,"n. a vessel that carries passengers or freight
v. hire for work on a ship
v. travel by ship
v. place on board a ship"
shipboard,s. casual or ephemeral as if taking place on board a ship
shipment,"n goods carried by a large vehicle
n the act of sending off something"
shipping,n. conveyance provided by the ships belonging to one country or industry
shipwreck,"n. a wrecked ship (or a part of one)
n. an irretrievable loss
n. an accident that destroys a ship at sea"
shipyard,n. a workplace where ships are built or repaired
shirt,"n. a garment worn on the upper half of the body
v. put a shirt on"
shit,n. a coarse term for defecation
shiver,"v. shake, as from cold"
shock,"n. the violent interaction of individuals or groups entering into combat
n. (pathology) bodily collapse or near collapse caused by inadequate oxygen delivery to the cells; characterized by reduced cardiac output and rapid heartbeat and circulatory insufficiency and pallor
n. an instance of agitation of the earth's crust
n. an unpleasant or disappointing surprise"
shockproof,none
shoe,"n. footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
n. (card games) a case from which playing cards are dealt one at a time
v. furnish with shoes"
shoemaker,n a person who makes or repairs shoes
shoot,"n. a new branch
n. the act of shooting at targets
v. hit with a missile from a weapon
v. kill by firing a missile"
shop,"n. a mercantile establishment for the retail sale of goods or services
v. do one's shopping
v. shop around; not necessarily buying"
shopkeeper,n. a merchant who owns or manages a shop
shoplift,v. steal in a store
shopper,"n. someone who visits stores in search of articles to buy
n. a commercial agent who shops at the competitor's store in order to compare their prices and merchandise with those of the store that employs her"
shopping,"n. searching for or buying goods or services
n. the commodities purchased from stores"
shore,"n. the land along the edge of a body of water
n. a beam or timber that is propped against a structure to provide support
v. serve as a shore to"
short,"n. the location on a baseball field where the shortstop is stationed
a. primarily temporal sense; indicating or being or seeming to be limited in duration
a. (primarily spatial sense) having little length or lacking in length
a. low in stature; not tall"
shortage,"n the property of being an amount by which something is less than expected or required
n an acute insufficiency"
short-circuit,"v. hamper the progress of; impede
v. create a short circuit in"
shortcoming,n a failing or deficiency
shortcut,n. a route shorter than the usual one
shorten,"v. make shorter than originally intended; reduce or retrench in length or duration
v. make short or shorter
v. become short or shorter"
shorthand,"n. a method of writing rapidly
s. written in abbreviated or symbolic form"
shortly,"r. for a short time
r. at a short distance"
shorts,"n trousers that end at or above the knee
n underpants worn by men
n the location on a baseball field where the shortstop is stationed
n accidental contact between two points in an electric circuit that have a potential difference
n the fielding position of the player on a baseball team who is stationed between second and third base
v cheat someone by not returning him enough money
v create a short circuit in"
shortsighted,"s lacking foresight or scope
a unable to see distant objects clearly
s not given careful consideration"
short-term,s relating to or extending over a limited period
short-wave,none
shot,"n. a solid missile discharged from a firearm
n. a chance to do something
n. a person who shoots (usually with respect to their ability to shoot)
n. an aggressive remark directed at a person like a missile and intended to have a telling effect"
shotgun,n. firearm that is a double-barreled smoothbore shoulder weapon for firing shot at short ranges
should,"imp. of Shall
imp. Used as an auxiliary verb, to express a conditional or
   contingent act or state, or as a supposition of an actual fact; also,
   to express moral obligation (see Shall); e. g.: they should have come
   last week; if I should go; I should think you could go."
shoulder,"n. the part of the body between the neck and the upper arm
n. a cut of meat including the upper joint of the foreleg
n. a ball-and-socket joint between the head of the humerus and a cavity of the scapula
n. the part of a garment that covers or fits over the shoulder"
shout,"v. utter in a loud voice; talk in a loud voice (usually denoting characteristic manner of speaking)
v. utter a sudden loud cry"
shovel,"n. a hand tool for lifting loose material; consists of a curved container or scoop and a handle
n. the quantity a shovel can hold
n. a fire iron consisting of a small shovel used to scoop coals or ashes in a fireplace
v. dig with or as if with a shovel"
show,"n. the act of publicly exhibiting or entertaining
n. a social event involving a public performance or entertainment
v. give an exhibition of to an interested audience
v. make visible or noticeable"
showcase,n. a setting in which something can be displayed to best effect
showdown,n a hostile disagreement face-to-face
shower,"n. a plumbing fixture that sprays water over you
n. washing yourself by standing upright under water sprayed from a nozzle
n. a brief period of precipitation
n. a sudden downpour (as of tears or sparks etc) likened to a rain shower"
shrewd,"s marked by practical hardheaded intelligence
s used of persons"
shriek,v. utter a shrill cry
shrill,"s. having or emitting a high-pitched and sharp tone or tones
s. of colors that are bright and gaudy"
shrimp,"n. small slender-bodied chiefly marine decapod crustaceans with a long tail and single pair of pincers; many species are edible
v. fish for shrimp"
shrine,n. a place of worship hallowed by association with some sacred thing or person
shrink,"v. reduce in size; reduce physically
v. become smaller or draw together
v. decrease in size, range, or extent"
shrub,n. a low woody perennial plant usually having several major stems
shrug,"n. a gesture involving the shoulders
v. raise one's shoulders to indicate indifference or resignation"
shudder,"v. tremble convulsively, as from fear or excitement"
shut,a. not open
shutter,"n. a mechanical device on a camera that opens and closes to control the time of a photographic exposure
n. a hinged blind for a window
v. close with shutters"
shuttle,"n. public transport that consists of a bus or train or airplane that plies back and forth between two points
n. bobbin that passes the weft thread between the warp threads
v. travel back and forth between two points"
shy,"n. a quick throw
v. start suddenly, as from fright
v. throw quickly
s. short"
sick,"n. people who are sick
s. deeply affected by a strong feeling"
sicken,"v. get sick
v. upset and make nauseated
v. make sick or ill"
sickle,n. an edge tool for cutting grass or crops; has a curved blade and a short handle
sickness,n. defectiveness or unsoundness
side,"n. a place within a region identified relative to a center or reference location
n. one of two or more contesting groups
n. either the left or right half of a body
n. a surface forming part of the outside of an object"
sideboard,"n. a removable board fitted on the side of a wagon to increase its capacity
n. a board that forms part of the side of a bed or crib"
sidelight,n. light carried by a boat that indicates the boat's direction; vessels at night carry a red light on the port bow and a green light on the starboard bow
sidewalk,n. walk consisting of a paved area for pedestrians; usually beside a street or roadway
sideways,"r. with one side forward or to the front
r. toward one side"
siege,n. the action of an armed force that surrounds a fortified place and isolates it while continuing to attack
sieve,"n. a strainer for separating lumps from powdered material or grading particles
v. check and sort carefully
v. distinguish and separate out"
sift,"v. move as if through a sieve
v. separate by passing through a sieve or other straining device to separate out coarser elements"
sigh,"n. an utterance made by exhaling audibly
n. a sound like a person sighing
v. heave or utter a sigh; breathe deeply and heavily
v. utter with a sigh"
sight,"n. an instance of visual perception
n. anything that is seen
n. the ability to see; the visual faculty
n. a range of mental vision"
sightseeing,n. going about to look at places of interest
sign,"n. a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n. a public display of a message
n. (medicine) any objective evidence of the presence of a disorder or disease
n. a gesture that is part of a sign language"
signal,"n. any nonverbal action or gesture that encodes a message
n. any incitement to action
n. an electric quantity (voltage or current or field strength) whose modulation represents coded information about the source from which it comes
s. notably out of the ordinary"
signature,"n. your name written in your own handwriting
n. a melody used to identify a performer or a dance band or radio/tv program
n. a sheet with several pages printed on it; it folds to page size and is bound with other signatures to form a book"
significance,"n. the quality of being significant
n. a meaning that is not expressly stated but can be inferred"
significant,"a. important in effect or meaning
s. fairly large
a. too closely correlated to be attributed to chance and therefore indicating a systematic relation"
signify,"v. convey or express a meaning
v. make known with a word or signal"
signpost,"n. a post bearing a sign that gives directions or shows the way
v. mark with a signpost, as of a path"
silence,"n. the state of being silent (as when no one is speaking)
n. the absence of sound
v. keep from expression, for example by threats or pressure"
silent,"s. marked by absence of sound
s. implied by or inferred from actions or statements
s. not made to sound
s. having a frequency below or above the range of human audibility"
