a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
ancestral,"s. inherited or inheritable by established rules (usually legal rules) of descent
a. of or belonging to or inherited from an ancestor"
ancestry,n. inherited properties shared with others of your bloodline
anchor,"n. a mechanical device that prevents a vessel from moving
n. a central cohesive source of support and stability
n. a television reporter who coordinates a broadcast to which several correspondents contribute
v. fix firmly and stably"
anchorage,"n. the condition of being secured to a base
n. a fee for anchoring
n. a city in south central Alaska
n. place for vessels to anchor"
anchorman,n a television reporter who coordinates a broadcast to which several correspondents contribute
anchorwoman,none
ancient,"n. a very old person
n. a person who lived in ancient times
s. belonging to times long past especially of the historical period before the fall of the Western Roman Empire
s. very old"
and,"conj. A particle which expresses the relation of connection or
   addition. It is used to conjoin a word with a word, a clause with a
   clause, or a sentence with a sentence.
conj. In order to; -- used instead of the infinitival to,
   especially after try, come, go.
conj. It is sometimes, in old songs, a mere expletive.
conj. If; though. See An, conj."
anecdote,n. short account of an incident (especially a biographical one)
angel,"n. spiritual being attendant upon God
n. invests in a theatrical production
n. the highest waterfall; has more than one leap; flow varies seasonally"
anger,"n. a strong emotion; a feeling that is oriented toward some real or supposed grievance
n. the state of being angry
v. make angry
v. become angry"
angle,"n. the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians
n. a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons
v. move or proceed at an angle
v. fish with a hook"
angrily,r. with anger
angry,"a. feeling or showing anger
s. (of the elements) as if showing violent anger
s. severely inflamed and painful"
angular,"a. measured by an angle or by the rate of change of an angle
a. having angles or an angular shape"
animal,"n. a living organism characterized by voluntary movement
s. marked by the appetites and passions of the body"
ankle,n. a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
annals,"n. reports of the work of a society or learned body etc
n. a chronological account of events in successive years"
annex,"n. an addition that extends a main building
v. take (territory) as if by conquest
v. attach to"
anniversary,n. the date on which an event occurred in some previous year (or the celebration of it)
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
announcement,"n. a formal public statement
n. a public statement containing information about an event that has happened or is going to happen"
announcer,"n. someone who proclaims a message publicly
n. reads news, commercials on radio or television"
annoy,"v. cause annoyance in; disturb, especially by minor irritations"
annoyance,"n. anger produced by some annoying irritation
n. something or someone that causes trouble; a source of unhappiness
n. the act of troubling or annoying someone"
