abatement,n. the act of abating
burst,"n. a sudden flurry of activity (often for no obvious reason)
v. come open suddenly and violently, as if from internal pressure
v. move suddenly, energetically, or violently
v. emerge suddenly"
buttress,"n. a support usually of stone or brick; supports the wall of a building
v. reinforce with a buttress
v. make stronger or defensible"
bygone,"n. past events to be put aside
s. well in the past; former"
byproduct,"n a secondary and sometimes unexpected consequence
n a product made during the manufacture of something else"
byzantine,"n. a native or inhabitant of Byzantium or of the Byzantine Empire
a. of or relating to the Eastern Orthodox Church or the rites performed in it
a. of or relating to or characteristic of the Byzantine Empire or the ancient city of Byzantium"
cabinet,"n. a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display
n. persons appointed by a head of state to head executive departments of government and act as official advisers
n. a storage compartment for clothes and valuables; usually it has a lock
n. housing for electronic instruments, as radio or television"
cacophonous,a. having an unpleasant sound
calamity,n. an event resulting in great loss and misfortune
calculable,a. capable of being calculated or estimated
callous,"v. make insensitive or callous; deaden feelings or morals
s. emotionally hardened"
calumny,"n a false accusation of an offense or a malicious misrepresentation of someone's words or actions
n an abusive attack on a person's character or good name"
camaraderie,n the quality of affording easy familiarity and sociability
candid,"s. informal or natural; especially caught off guard or unprepared
s. openly straightforward and direct without reserve or secretiveness"
candor,n. the quality of being honest and straightforward in attitude and speech
cannily,r with foresight
canny,s showing self-interest and shrewdness in dealing with others
cantankerous,s. having a difficult and contrary disposition
capitulate,v. surrender under agreed conditions
capricious,"s. changeable
s. determined by chance or impulse or whim rather than by necessity or reason"
captious,s. tending to find and call attention to faults
captivating,"v attract; cause to be enamored
s capturing interest as if by a spell"
capture,"n. the act of forcibly dispossessing an owner of property
n. a process whereby a star or planet holds an object in its gravitational field
n. any process in which an atomic or nuclear system acquires an additional particle
n. the act of taking of a person by force"
cardiac,a. of or relating to the heart
cardinal,"n. (Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes
n. a variable color averaging a vivid red
n. crested thick-billed North American finch having bright red plumage in the male
s. serving as an essential component"
caricature,"n. a representation of a person that is exaggerated for comic effect
v. represent in or produce a caricature of"
carnage,n the savage and excessive killing of many people
carnivorous,"a. relating to or characteristic of carnivores
a. (used of plants as well as animals) feeding on animals"
carve,"v. form by carving
v. engrave or cut by chipping away at a surface
v. cut to pieces"
cast,"n. the actors in a play
n. the distinctive form in which a thing is made
n. bandage consisting of a firm covering (often made of plaster of Paris) that immobilizes broken bones while they heal
n. object formed by a mold"
caste,"n. social status or position conferred by a system based on class
n. (Hinduism) a hereditary social class among Hindus; stratified according to ritual purity
n. a social class separated from others by distinctions of hereditary rank or profession or wealth
n. in some social insects (such as ants) a physically distinct individual or group of individuals specialized to perform certain functions in the colony"
castigate,v. inflict severe punishment on
catalyze,v. change by catalysis or cause to catalyze
catastrophe,"n. a state of extreme (usually irremediable) ruin and misfortune
n. a sudden violent change in the earth's surface"
category,n. a general concept that marks divisions or coordinations in a conceptual scheme
cater,v. supply food ready to eat; for parties and banquets
caterpillar,"n. a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth
n. a large tracked vehicle that is propelled by two endless metal belts; frequently used for moving earth in construction and farm work"
causal,s. involving or constituting a cause; causing
caustic,"n. any chemical substance that burns or destroys living tissue
s. of a substance, especially a strong acid; capable of destroying or eating away by chemical action"
cautionary,s. warding off
cautious,"a. showing careful forethought; never making swift decisions""
s. avoiding excess"
cavil,v. raise trivial objections
cavity,"n. space that is surrounded by something
n. soft decayed area in a tooth; progressive decay can lead to the death of a tooth
n. (anatomy) a natural hollow or sinus within the body"
