abatement,n. the act of abating
procrastinate,"v. postpone doing what one should be doing
v. postpone or delay needlessly"
procrustean,a. of or relating to the mythical giant Procrustes or the mode of torture practiced by him
profane,"a. not concerned with or devoted to religion
s. not holy because unconsecrated or impure or defiled"
proffer,"n a proposal offered for acceptance or rejection
v present for acceptance or rejection"
profiteer,"n. someone who makes excessive profit (especially on goods in short supply)
v. make an unreasonable profit, as on the sale of difficult to obtain goods"
profligate,"n a dissolute man in fashionable society
n a recklessly extravagant consumer
s recklessly wasteful
s unrestrained by convention or morality"
progenitor,n. an ancestor in the direct line
progeny,n the immediate descendants of a person
prognosis,"n. a prediction about how something (as the weather) will develop
n. a prediction of the course of a disease"
prognosticate,"v make a prediction about; tell in advance
v indicate by signs"
projectile,"n. a weapon that is forcibly thrown or projected at a targets but is not self-propelled
s. impelling or impelled forward"
projection,"n. a prediction made by extrapolating from past observations
n. the projection of an image from a film onto a screen
n. any structure that branches out from a central support
n. any solid convex shape that juts out from something"
projector,"n. an optical device for projecting a beam of light
n. an optical instrument that projects an enlarged image onto a screen"
prolix,a. tediously prolonged or tending to speak or write at great length
prologue,n. an introduction to a play
promenade,"n. a formal ball held for a school class toward the end of the academic year
n. a public area set aside as a pedestrian walk
n. a square dance figure; couples march counterclockwise in a circle
n. a march of all the guests at the opening of a formal dance"
prominent,"s having a quality that thrusts itself into attention
s conspicuous in position or importance"
promissory,a. relating to or having the character of a promise
prompt,"n. a cue given to a performer (usually the beginning of the next line to be spoken)
n. (computer science) a symbol that appears on the computer screen to indicate that the computer is ready to receive a command
v. serve as the inciting cause of
v. assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned"
prong,n. a pointed projection
prop,n. a support placed beneath or against something to keep it from shaking or falling
prophecy,"n. knowledge of the future (usually said to be obtained from a divine source)
n. a prediction uttered under divine inspiration"
prophet,"n. an authoritative person who divines the future
n. someone who speaks by divine inspiration; someone who is an interpreter of the will of God"
propulsion,"n. a propelling force
n. the act of propelling"
prorogue,v. adjourn by royal prerogative; without dissolving the legislative body
prosecution,"n. the institution and conduct of legal proceedings against a defendant for criminal behavior
n. the lawyers acting for the state to put the case against the defendant"
prosperity,"n. an economic state of growth with rising profits and full employment
n. the condition of prospering; having good fortune"
prosperous,"s in fortunate circumstances financially; moderately rich
s very lively and profitable
s marked by peace and prosperity
s presaging or likely to bring good luck"
protagonist,n. the principal character in a work of fiction
protean,s. taking on different forms
protocol,"n. (computer science) rules determining the format and transmission of data
n. forms of ceremony and etiquette observed by diplomats and heads of state
n. code of correct conduct"
protuberance,n. the condition of being protuberant; the condition of bulging out
protuberant,s curving outward
provenance,n where something originated or was nurtured in its early existence
proverbially,r. in the manner of something that has become a byword
providential,"a. relating to or characteristic of providence
s. resulting from divine providence"
prowess,n a superior skill that you can learn by study and practice and observation
prowl,"n. the act of prowling (walking about in a stealthy manner)
v. move about in or as if in a predatory manner
v. loiter about, with no apparent aim"
prude,n. a person excessively concerned about propriety and decorum
prune,n. dried plum
pry,"v. to move or force, especially in an effort to get something open
v. be nosey
v. make an uninvited or presumptuous inquiry"
puerile,a. of or characteristic of a child
puffery,n. a flattering commendation (especially when used for promotional purposes)
puissant,s. powerful
pulchritude,n. physical beauty (especially of a woman)
pullet,n. young hen usually less than a year old
pullulate,"v. become abundant; increase rapidly
v. breed freely and abundantly"
pulp,"n. any soft or soggy mass
n. a soft moist part of a fruit
n. a mixture of cellulose fibers
n. an inexpensive magazine printed on poor quality paper"
pulpit,n a platform raised above the surrounding level to give prominence to the person on it
pulverize,"v make into a powder by breaking up or cause to become dust
v destroy completely
v become powder or dust"
punch,"n. (boxing) a blow with the fist
n. an iced mixed drink usually containing alcohol and prepared for multiple servings; normally served in a punch bowl
n. a tool for making holes or indentations
v. deliver a quick blow to"
punctilious,s marked by precise accordance with details
pundit,n someone who has been admitted to membership in a scholarly field
puny,"s. inferior in strength or significance
s. (used especially of persons) of inferior size"
purgatory,"n. a temporary condition of torment or suffering
n. (theology) in Roman Catholic theology the place where those who have died in a state of grace undergo limited torment to expiate their sins"
purge,"n. the act of clearing yourself (or another) from some stigma or charge
n. an act of removing by cleansing; ridding of sediment or other undesired elements
n. an abrupt or sudden removal of a person or group from an organization or place
v. oust politically"
purify,"v. remove impurities from, increase the concentration of, and separate through the process of distillation
v. make pure or free from sin or guilt
v. become clean or pure or free of guilt and sin"
purloin,v make off with belongings of others
purported,"v have the often specious appearance of being, intending, or claiming
v propose or intend"
purse,"n. a sum of money spoken of as the contents of a money purse
n. a small bag for carrying money
n. a sum of money offered as a prize
v. contract one's lips into a rounded shape"
purvey,v supply with provisions
pushy,s marked by aggressive ambition and energy and initiative
pusillanimous,s. lacking in courage and manly strength and resolution; contemptibly fearful
putative,s. purported; commonly put forth or accepted as true on inconclusive grounds
putrefy,v. become putrid; decay with an offensive smell
putrid,"a. of or relating to or attended by putrefaction
s. in an advanced state of decomposition and having a foul odor
s. morally corrupt or evil"
quack,"n. an untrained person who pretends to be a physician and who dispenses medical advice
n. the harsh sound of a duck
v. utter quacking noises"
quaff,n. a hearty draft
quail,"n. flesh of quail; suitable for roasting or broiling if young; otherwise must be braised
n. small gallinaceous game birds"
qualm,"n uneasiness about the fitness of an action
n a mild state of nausea"
quandary,"n a situation from which extrication is difficult especially an unpleasant or trying one
n state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options"
queer,"v. put in a dangerous, disadvantageous, or difficult position"
quell,v. overcome or allay
quench,"v. satisfy (thirst)
v. electronics: suppress (sparking) when the current is cut off in an inductive circuit, or suppress (an oscillation or discharge) in a component or device
v. reduce the degree of (luminescence or phosphorescence) in (excited molecules or a material) by adding a suitable substance"
query,"n an instance of questioning
v pose a question"
queue,"n. a line of people or vehicles waiting for something
n. (information processing) an ordered list of tasks to be performed or messages to be transmitted
n. a braid of hair at the back of the head"
quibble,"n. an evasion of the point of an argument by raising irrelevant distinctions or objections
v. evade the truth of a point or question by raising irrelevant objections
v. argue over petty things"
quirk,"n. a narrow groove beside a beading
v. twist or curve abruptly"
quondam,s belonging to some prior time
quota,"n. a prescribed number
n. a proportional share assigned to each participant
n. a limitation on imports"
quotidian,s found in the ordinary course of events
rabid,a. of or infected by rabies
rack,"n. framework for holding objects
n. rib section of a forequarter of veal or pork or especially lamb or mutton
n. an instrument of torture that stretches or disjoints or mutilates victims
n. a support for displaying various articles"
raff,"v. t. To sweep, snatch, draw, or huddle together; to take by a
   promiscuous sweep.
n. A promiscuous heap; a jumble; a large quantity; lumber;
   refuse.
n. The sweepings of society; the rabble; the mob; -- chiefly
   used in the compound or duplicate, riffraff.
n. A low fellow; a churl."
rakish,"s marked by up-to-dateness in dress and manners
s marked by a carefree unconventionality or disreputableness"
ramble,n. an aimless amble on a winding course
rambunctious,s noisy and lacking in restraint or discipline
rampage,"n. violently angry and destructive behavior
v. act violently, recklessly, or destructively"
rankle,v gnaw into; make resentful or angry
ransom,"n. money demanded for the return of a captured person
n. payment for the release of someone
n. the act of freeing from captivity or punishment
v. exchange or buy back for money; under threat"
rant,"v. talk in a noisy, excited, or declamatory manner"
rapacious,s. excessively greedy and grasping
rapids,n a part of a river where the current is very fast
rapport,n. a relationship of mutual understanding or trust and agreement between people
rapprochement,n the reestablishing of cordial relations
rapt,s feeling great rapture or delight
rarefaction,n. a decrease in the density of something
rasp,"n. uttering in an irritated tone
n. a coarse file with sharp pointed projections
v. scrape with a rasp
v. utter in a grating voice"
raspy,s unpleasantly harsh or grating in sound
ratification,n. making something valid by formally ratifying or confirming it
ratiocination,n. logical and methodical reasoning
ration,"n. the food allowance for one day (especially for service personnel)
n. a fixed portion that is allotted (especially in times of scarcity)
v. restrict the consumption of a relatively scarce commodity, as during war
v. distribute in rations, as in the army"
rattle,"n. a rapid series of short loud sounds (as might be heard with a stethoscope in some types of respiratory disorders)
n. a baby's toy that makes percussive noises when shaken
n. loosely connected horny sections at the end of a rattlesnake's tail
v. make short successive sounds"
ravel,"n. French composer and exponent of Impressionism (1875-1937)
v. disentangle
v. tangle or complicate"
ravening,"v obtain or seize by violence
v prey on or hunt for
v eat greedily
v feed greedily
s living by preying on other animals especially by catching living prey
s excessively greedy and grasping
s devouring or craving food in great quantities"
ravenous,"s extremely hungry
s devouring or craving food in great quantities"
ravish,"v force (someone) to have sex against their will
v hold spellbound"
ravishing,s. stunningly beautiful
razor,"n. edge tool used in shaving
v. shave with a razor"
readily,r. without much difficulty
ready,"n. poised for action
a. completely prepared or in condition for immediate action or use or progress
s. (of especially money) immediately available
s. mentally disposed"
realign,v. align anew or better
reap,"v. gather, as of natural products
v. get or derive"
rebarbative,s. serving or tending to repel
rebuff,"n. a deliberate discourteous act (usually as an expression of anger or disapproval)
n. an instance of driving away or warding off
v. reject outright and bluntly"
rebuttal,n. the speech act of refuting by offering a contrary contention or argument
recall,"n. a request by the manufacturer of a defective product to return the product (as for replacement or repair)
n. a call to return
n. a bugle call that signals troops to return
n. the process of remembering (especially the process of recovering information by mental effort)"
recant,"v formally reject or disavow a formerly held belief, usually under pressure"
receipt,"n. an acknowledgment (usually tangible) that payment has been made
v. mark or stamp as paid"
recess,"n. a small concavity
n. an enclosure that is set back or indented
v. put into a recess
v. make a recess in"
recherché,none
recipe,n. directions for making something
reciprocal,"n. something (a term or expression or concept) that has a reciprocal relation to something else
a. concerning each of two or more persons or things; especially given or done in return
s. of or relating to the multiplicative inverse of a quantity or function"
reckon,v. take account of
recline,v. cause to recline
recollection,n. something recalled to the mind
recombine,"v. undergo genetic recombination
v. cause genetic recombination
v. to combine or put together again"
recompense,"n. payment or reward (as for service rendered)
n. the act of compensating for service or loss or injury"
reconnoiter,"v explore, often with the goal of finding something or somebody"
recruit,"n. a recently enlisted soldier
n. any new member or supporter (as in the armed forces)
v. seek to employ
v. cause to assemble or enlist in the military"
rectitude,n righteousness as a consequence of being honorable and honest
recumbent,s lying down; in a position of comfort or rest
recusant,s. refusing to submit to authority
redemptive,"a. of or relating to or resulting in redemption
s. bringing about salvation or redemption from sin"
redolent,s. (used with `of' or `with') noticeably odorous
redoubtable,s. worthy of respect or honor
redress,n. act of correcting an error or a fault or an evil
redundancy,"n. repetition of messages to reduce the probability of errors in transmission
n. the attribute of being superfluous and unneeded
n. (electronics) a system design that duplicates components to provide alternatives in case one component fails
n. repetition of an act needlessly"
reek,"v. smell badly and offensively
v. be wet with sweat or blood, as of one's face
v. give off smoke, fumes, warm vapour, steam, etc."
reel,"n. a roll of photographic film holding a series of frames to be projected by a movie projector
n. music composed for dancing a reel
n. winder consisting of a revolving spool with a handle; attached to a fishing rod
n. a lively dance of Scottish Highlanders; marked by circular moves and gliding steps"
refectory,n. a communal dining-hall (usually in a monastery)
refraction,n. the change in direction of a propagating wave (light or sound) when passing from one medium to another
refresh,"v. make (to feel) fresh
v. make fresh again"
refulgent,s radiating or as if radiating light
refurbish,v. make brighter and prettier
refute,"v. overthrow by argument, evidence, or proof
v. prove to be false or incorrect"
regime,"n the organization that is the governing authority of a political unit
n (medicine) a systematic plan for therapy (often including diet)"
regress,"n. the reasoning involved when you assume the conclusion is true and reason backward to the evidence
v. go back to a statistical means
v. get worse or fall back to a previous condition"
regurgitate,"v. pour or rush back
v. feed through the beak by regurgitating previously swallowed food
v. repeat after memorization"
rehearse,v. engage in a rehearsal (of)
reincarnate,"v. be born anew in another body after death
v. cause to appear in a new form
s. having a new body"
rejoice,v. feel happiness or joy
rejoin,v. join again
rejoinder,"n. a quick reply to a question or remark (especially a witty or critical one)
n. (law) a pleading made by a defendant in response to the plaintiff's replication"
rejuvenate,"v. cause (a stream or river) to erode, as by an uplift of the land
v. develop youthful topographical features
v. make younger or more youthful
v. become young again"
relapse,v. go back to bad behavior
relent,"v give in, as to influence or pressure"
reliance,"n. certainty based on past experience
n. the state of relying on something"
relic,n. an antiquity that has survived from the distant past
remainder,"n. something left after other parts have been taken away
n. the part of the dividend that is left over when the dividend is not evenly divisible by the divisor
n. the number that remains after subtraction; the number that when added to the subtrahend gives the minuend
v. sell cheaply as remainders"
remains,n. any object that is left unused or still extant
remand,n. the act of sending an accused person back into custody to await trial (or the continuation of the trial)
reminder,"n. a message that helps you remember something
n. an experience that causes you to remember something"
reminisce,v. recall the past
remission,"n. an abatement in intensity or degree (as in the manifestations of a disease)
n. (law) the act of remitting (especially the referral of a law case to another court)"
remit,"n. the topic that a person, committee, or piece of research is expected to deal with or has authority to deal with
v. send (money) in payment
v. release from (claims, debts, or taxes)
v. refer (a matter or legal case) to another committee or authority or court for decision"
remittance,n. a payment of money sent to a person in another place
remonstrance,n the act of expressing earnest opposition or protest
remonstrate,"v. argue in protest or opposition
v. present and urge reasons in opposition"
remunerate,v make payment to; compensate
renal,a of or relating to the kidneys
renascent,s rising again as to new life and vigor
rend,v. tear or be torn violently
rendering,"n. a coat of stucco applied to a masonry wall
n. perspective drawing of an architect's design
n. giving in acknowledgment of obligation"
rendition,"n. a performance of a musical composition or a dramatic role etc.
n. handing over prisoners to countries where torture is allowed
n. the act of interpreting something as expressed in an artistic performance"
renege,v. fail to fulfill a promise or obligation
renovate,v. restore to a previous or better condition
rent,"n. a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service
n. the act of rending or ripping or splitting something
v. let for money
v. hold under a lease or rental agreement; of goods and services"
renunciate,none
repartee,n. adroitness and cleverness in reply
repent,"v. turn away from sin or do penitence
v. feel remorse for; feel sorry for; be contrite about"
repercussion,n. a remote or indirect consequence of some action
repine,v. express discontent
repose,"n. a disposition free from stress or emotion
v. put or confide something in a person or thing
v. lie when dead"
reprehend,v. express strong disapproval of
repressed,"v put down by force or intimidation
v conceal or hide
v put out of one's consciousness
v block the action of
s characterized by or showing the suppression of impulses or emotions"
reprieve,"n. a (temporary) relief from harm or discomfort
n. a warrant granting postponement (usually to postpone the execution of the death sentence)
n. the act of reprieving; postponing or remitting punishment
v. postpone the punishment of a convicted criminal, such as an execution"
reprobate,"n. a person without moral scruples
v. reject (documents) as invalid
v. abandon to eternal damnation"
reproof,"n an act or expression of criticism and censure
v censure severely or angrily"
repulsion,"n. the force by which bodies repel one another
n. the act of repulsing or repelling an attack; a successful defensive stand"
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
requite,v. make repayment for or return something
rescission,n (law) the act of rescinding; the cancellation of a contract and the return of the parties to the positions they would have had if the contract had not been made
resentment,n. a feeling of deep and bitter anger and ill-will
resident,"n. someone who lives at a particular place for a prolonged period or who was born there
a. living in a particular place"
residue,n. matter that remains after something has been removed
resigned,"v leave (a job, post, or position) voluntarily
v give up or retire from a position
v part with a possession or right
v accept as inevitable"
resilience,"n. the physical property of a material that can return to its original shape or position after deformation that does not exceed its elastic limit
n. an occurrence of rebounding or springing back"
resound,v. ring or echo with sound
resourceful,s. having inner resources; adroit or imaginative
resplendent,s having great beauty and splendor
restiveness,"n the anxious feeling you have when you have the jitters
n characterized by nervousness and quickness to take fright"
restless,"s. worried and uneasy
s. ceaselessly in motion
a. lacking or not affording physical or mental rest"
restorative,"n a medicine that strengthens and invigorates
n a device for treating injury or disease
s tending to impart new life and vigor to
s promoting recuperation"
restored,"v return to its original or usable and functioning condition
v return to life; get or give new life or energy
v give or bring back
v restore by replacing a part or putting together what is torn or broken
v bring back into original existence, use, function, or position"
restrain,"v. keep under control; keep in check
v. to close within bounds, limit or hold back from movement
v. hold back"
resurgence,n bringing again into activity and prominence
retaliation,n. action taken in return for an injury or offense
retard,"v. cause to move more slowly or operate at a slower rate
v. be delayed"
retch,"n an involuntary spasm of ineffectual vomiting
v eject the contents of the stomach through the mouth
v make an unsuccessful effort to vomit; strain to vomit"
retention,n. the act of retaining something
retiring,s. not arrogant or presuming
retort,"n. a vessel where substances are distilled or decomposed by heat
v. answer back"
retouch,v. give retouches to (hair)
retrace,"v to go back over again
v reassemble mentally"
retreat,"n. (military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat
n. a place of privacy; a place affording peace and quiet
n. (military) a signal to begin a withdrawal from a dangerous position
n. (military) a bugle call signaling the lowering of the flag at sunset"
retrench,"v. tighten one's belt; use resources carefully
v. make a reduction, as in one's workforce"
revenge,v. take revenge for a perceived wrong
revenue,"n the entire amount of income before any deductions are made
n government income due to taxation"
reversion,"n. (law) an interest in an estate that reverts to the grantor (or his heirs) at the end of some period (e.g., the death of the grantee)
n. (genetics) a return to a normal phenotype (usually resulting from a second mutation)
n. turning in the opposite direction"
revive,"v. be brought back to life, consciousness, or strength
v. restore from a depressed, inactive, or unused state"
revolt,v. make revolution
revulsion,n intense aversion
rewarding,a. providing personal satisfaction
rhubarb,n. plants having long green or reddish acidic leafstalks growing in basal clumps; stems (and only the stems) are edible when cooked; leaves are poisonous
ribald,n. a ribald person; someone who uses vulgar and offensive language
rife,"s most frequent or common
s excessively abundant"
rifle,"n. a shoulder firearm with a long barrel and a rifled bore
v. go through in search of something; search through someone's belongings in an unauthorized way"
rig,"n. gear (including necessary machinery) for a particular enterprise
n. formation of masts, spars, sails, etc., on a vessel
v. arrange the outcome of by means of deceit
v. manipulate in a fraudulent manner"
rigor,"n something hard to endure
n the quality of being valid and rigorous
n excessive sternness"
rile,"v cause annoyance in; disturb, especially by minor irritations
v make turbid by stirring up the sediments of"
rind,n. the natural outer covering of food (usually removed before eating)
rinse,"n. a liquid preparation used on wet hair to give it a tint
n. the removal of soap with clean water in the final stage of washing
n. the act of giving a light tint to the hair
n. washing lightly without soap"
riot,"n. a public act of violence by an unruly mob
v. take part in a riot; disturb the public peace by engaging in a riot"
riotous,"s produced or growing in extreme abundance
s characterized by unrest or disorder or insubordination
s unrestrained by convention or morality"
ripen,"v. cause to ripen or develop fully
v. grow ripe"
ripple,"n. a small wave on the surface of a liquid
n. (electronics) an oscillation of small amplitude imposed on top of a steady value
v. stir up (water) so as to form ripples
v. flow in an irregular current with a bubbling noise"
ritzy,s. luxuriously elegant
rive,"v tear or be torn violently
v separate or cut with a tool, such as a sharp instrument"
riven,"v tear or be torn violently
v separate or cut with a tool, such as a sharp instrument"
riveting,"v direct one's attention on something
v fasten with a rivet or rivets
v hold (someone's attention)
s capable of arousing and holding the attention"
roe,"n. fish eggs or egg-filled ovary; having a grainy texture
n. eggs of female fish
n. the egg mass or spawn of certain crustaceans such as the lobster"
rollicking,"v play boisterously
s given to merry frolicking"
rotate,"v. exchange on a regular basis
v. perform a job or duty on a rotating basis
v. cause to turn on an axis or center"
rote,n. memorization by repetition
rotten,s. having decayed or disintegrated; usually implies foulness
roughen,v. make rough or rougher
roundabout,"n a road junction at which traffic streams circularly around a central island
n a large, rotating machine with seats for children to ride or amusement
s marked by obliqueness or indirection in speech or conduct
s deviating from a straight course"
rout,"n. an overwhelming defeat
v. cause to flee
v. dig with the snout
v. make a groove in"
rove,"v move about aimlessly or without any destination, often in search of food or employment
v pass a rope through
v pass through a hole or opening
v fasten by passing through a hole or around something"
ruckus,n the act of making a noisy disturbance
rudder,"n. a hinged vertical airfoil mounted at the tail of an aircraft and used to make horizontal course changes
n. (nautical) steering mechanism consisting of a hinged vertical plate mounted at the stern of a vessel"
ruddy,"s inclined to a healthy reddish color often associated with outdoor life
s of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies"
rue,"n. European strong-scented perennial herb with grey-green bitter-tasting leaves; an irritant similar to poison ivy
n. leaves sometimes used for flavoring fruit or claret cup but should be used with great caution: can cause irritation like poison ivy
n. (French) a street or road in France"
ruffle,"v. trouble or vex
v. discompose
v. erect or fluff up
v. disturb the smoothness of"
rumble,"n. a loud low dull continuous noise
n. a servant's seat (or luggage compartment) in the rear of a carriage
n. a fight between rival gangs of adolescents
v. make a low noise"
ruminate,v. chew the cuds
rumple,v. become wrinkled or crumpled or creased
rumpus,v. cause a disturbance
runic,a. relating to or consisting of runes
rupture,"n. state of being torn or burst open
n. a personal or social separation (as between opposing factions)
n. the act of making a sudden noisy break"
rural,"a. living in or characteristic of farming or country life
a. of or relating to the countryside as opposed to the city"
ruse,n. a deceptive maneuver (especially to avoid capture)
rustle,"n. a light noise, like the noise of silk clothing or leaves blowing in the wind
v. make a dry crackling sound
v. take illegally
v. forage food"
ruthlessness,"n mercilessness characterized by a lack of pity
n feelings of extreme heartlessness"
sacrament,n. a formal religious ceremony conferring a specific grace on those who receive it; the two Protestant ceremonies are baptism and the Lord's Supper; in the Roman Catholic Church and the Eastern Orthodox Church there are seven traditional rites accepted as instituted by Jesus: baptism and confirmation and Holy Eucharist and penance and holy orders and matrimony and extreme unction
sacrilege,n blasphemous behavior; the act of depriving something of its sacred character
sadden,"v. make unhappy
v. come to feel sad"
saddle,"n. a seat for the rider of a horse or camel
n. cut of meat (especially mutton or lamb) consisting of part of the backbone and both loins
n. a piece of leather across the instep of a shoe
n. posterior part of the back of a domestic fowl"
sag,"n. a shape that sags
v. droop, sink, or settle from or as if from pressure or loss of tautness
v. cause to sag"
salmon,"n. any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn
n. a tributary of the Snake River in Idaho
n. flesh of any of various marine or freshwater fish of the family Salmonidae
n. a pale pinkish orange color"
salutation,n. word of greeting used to begin a letter
salute,"n. an act of honor or courteous recognition
n. a formal military gesture of respect
n. an act of greeting with friendly words and gestures like bowing or lifting the hat
v. greet in a friendly way"
salve,"n. anything that remedies or heals or soothes
v. apply a salve to, usually for the purpose of healing"
sampler,"n. an assortment of various samples
n. a piece of embroidery demonstrating skill with various stitches"
sangfroid,none
sanitize,"v. make sanitary by cleaning or sterilizing
v. make less offensive or more acceptable by removing objectionable features"
sanity,n. normal or sound powers of mind
sardonic,s. disdainfully or ironically humorous; scornful and mocking
sartorial,"a. of or relating to the sartorius muscle
a. of or relating to a tailor or to tailoring"
sash,n. a framework that holds the panes of a window in the window frame
satanic,a. of or relating to Satan
sate,v fill to satisfaction
satiny,"s. having a smooth, gleaming surface reflecting light"
satire,n witty language used to convey insults or scorn
saturated,"a. being the most concentrated solution possible at a given temperature; unable to dissolve still more of a substance
a. used especially of organic compounds; having all available valence bonds filled
a. (of color) being chromatically pure; not diluted with white or grey or black"
saucy,"s characterized by a lightly pert and exuberant quality
s improperly forward or bold"
saunter,n. a careless leisurely gait
savvy,"n the cognitive condition of someone who understands
v get the meaning of something"
scabrous,s. dealing with salacious or indecent material
scads,"n a large number or amount
n any of a number of fishes of the family Carangidae"
scald,"n. a burn cause by hot liquid or steam
n. the act of burning with steam or hot water
v. treat with boiling water"
scalding,"v subject to harsh criticism
v treat with boiling water
v heat to the boiling point
v burn with a hot liquid or steam"
scamp,v. perform hastily and carelessly
scamper,n. rushing about hastily in an undignified way
scan,"n. the act of scanning; systematic examination of a prescribed region
n. an image produced by scanning
v. examine minutely or intensely
v. examine hastily"
scandal,"n. disgraceful gossip about the private lives of other people
n. a disgraceful event"
scar,"n. a mark left (usually on the skin) by the healing of injured tissue
v. mark with a scar"
scare,n. a sudden attack of fear
scatter,"n. a haphazard distribution in all directions
n. the act of scattering
v. distribute loosely
v. sow by scattering"
schematize,"v. formulate in regular order; to reduce to a scheme or formula
v. give conventional form to"
scintillate,"v. give off
v. physics: fluoresce momentarily when struck by a charged particle or high-energy photon"
scission,n. the act of dividing by cutting or splitting
scissor,v. cut with or as if with scissors
scoff,v. treat with contemptuous disregard
scorch,"n. a surface burn
n. a plant disease that produces a browning or scorched appearance of plant tissues
n. a discoloration caused by heat
v. become superficially burned"
scorching,"s. hot and dry enough to burn or parch a surface
r. capable of causing burns"
scotch,"n. whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still
v. make a small cut or score into"
scowl,v. frown with displeasure
scraggly,s. lacking neatness or order
scrape,"n. a harsh noise made by scraping
n. a deep bow with the foot drawn backwards (indicating excessive humility)
v. scratch repeatedly
v. make by scraping"
scrawl,"n poor handwriting
v write carelessly"
scribble,"n. poor handwriting
n. an aimless drawing
v. write down quickly without much attention to detail
v. write carelessly"
scrimp,v. subsist on a meager allowance
scripture,n. any writing that is regarded as sacred by a religious group
scruffy,s. shabby and untidy
scrumptious,s extremely pleasing to the sense of taste
scrutable,"a. Discoverable by scrutiny, inquiry, or critical
   examination."
scrutinize,"v to look at critically or searchingly, or in minute detail
v examine carefully for accuracy with the intent of verification"
scud,"n. the act of moving along swiftly (as before a gale)
v. run before a gale"
scuff,"n. the act of scuffing (scraping or dragging the feet)
v. walk without lifting the feet
v. get or become scuffed"
scurry,v. to move about or proceed hurriedly
scurvy,n. a condition caused by deficiency of ascorbic acid (vitamin C)
scutter,none
seafaring,n. the work of a sailor
seam,"n. joint consisting of a line formed by joining two pieces
n. a stratum of ore or coal thick enough to be mined with profit
v. put together with a seam"
seamy,"s. showing a seam
s. morally degraded"
sear,v. make very hot and dry
seasoned,"a. aged or processed
s. rendered competent through trial and experience"
secretive,s inclined to secrecy or reticence about divulging information
secure,"v. assure payment of
a. free from fear or doubt; easy in mind
a. free from danger or risk
a. not likely to fail or give way"
sedulity,n. the quality of being constantly diligent and attentive
seep,v. pass gradually or leak through or as if through small openings
self-assertion,"n. the act of putting forth your own opinions in a boastful or inconsiderate manner that implies you feel superior to others
n. the act of asserting yourself in an aggressive manner"
senile,s mentally or physically infirm with age
sensible,"a. able to feel or perceive
s. readily perceived by the senses
s. aware intuitively or intellectually of something sensed"
sententious,s. abounding in or given to pompous or aphoristic moralizing
sentient,"a. endowed with feeling and unstructured consciousness
s. consciously perceiving"
sentiment,"n. tender, romantic, or nostalgic feeling or emotion"
sentinel,n a person employed to keep watch for some anticipated event
sentry,n a person employed to keep watch for some anticipated event
sequacious,"a. Inclined to follow a leader; following; attendant.
a. Hence, ductile; malleable; pliant; manageable.
a. Having or observing logical sequence; logically
   consistent and rigorous; consecutive in development or transition of
   thought."
sequestrate,"v keep away from others
v set apart from others"
seraphic,a. of or relating to an angel of the first order
sere,s (used especially of vegetation) having lost all moisture
serenade,"n. a song characteristically played outside the house of a woman
v. sing and play for somebody"
sermon,"n. an address of a religious nature (usually delivered during a church service)
n. a moralistic rebuke"
serpentine,s. resembling a serpent in form
serried,s. (especially of rows as of troops or mountains) pressed together
settle,"n. a long wooden bench with a back
v. settle into a position, usually on a surface or ground
v. settle conclusively; come to terms
v. take up residence and become established"
sever,v. set or keep apart
severe,"s. intensely or extremely bad or unpleasant in degree or quality
s. unsparing and uncompromising in discipline or judgment
s. very bad in degree or extent"
shabby,s. mean and unworthy and despicable
shamble,n. walking with a slow dragging motion without lifting your feet
shattered,s. ruined or disrupted
sheaf,n a package of several things tied together for carrying or storing
shear,"n. (physics) a deformation of an object in which parallel planes remain parallel but are shifted in a direction parallel to themselves
n. a large edge tool that cuts sheet metal by passing a blade through it
v. cut with shears
v. cut or cut through with shears"
sheen,n the visual property of something that shines with reflected light
sheer,"v. cause to sheer
r. straight up or down without a break
r. directly"
shelter,"n. a structure that provides privacy and protection from danger
n. protective covering that provides protection from the weather
n. temporary housing for homeless or displaced persons
v. provide shelter for"
shield,"n. a protective covering or structure
n. armor carried on the arm to intercept blows
v. protect, hide, or conceal from danger or harm"
shilly-shally,"adv. In an irresolute, undecided, or hesitating manner.
v. i. To hesitate; to act in an irresolute manner;
   hence, to occupy one's self with trifles.
n. Irresolution; hesitation; also, occupation with
   trifles."
shipshape,s. of places; characterized by order and neatness; free from disorder
shirk,v. avoid dealing with
shoddy,n. reclaimed wool fiber
shove,"n. the act of shoving (giving a push to someone or something)
v. push roughly"
showy,s. displaying brilliance and virtuosity
shrewd,"s marked by practical hardheaded intelligence
s used of persons"
shriek,v. utter a shrill cry
shudder,"v. tremble convulsively, as from fear or excitement"
shuttle,"n. public transport that consists of a bus or train or airplane that plies back and forth between two points
n. bobbin that passes the weft thread between the warp threads
v. travel back and forth between two points"
