motivate,v. give an incentive for action
canteen,"n. a flask for carrying water; used by soldiers or travelers
n. sells food and personal items to personnel at an institution or school or camp etc.
n. a restaurant outside; often for soldiers or policemen
n. a recreation room in an institution"
mailbox,n. a private box for delivery of mail
twin,"n. either of two offspring born at the same time from the same pregnancy
n. a waterfall in the Snake River in southern Idaho
v. duplicate or match
v. grow as twins"
courtyard,n an area wholly or partly surrounded by walls or buildings
familiar,"n. a person attached to the household of a high official (as a pope or bishop) who renders service in return for support
n. a spirit (usually in animal form) that acts as an assistant to a witch or wizard
a. well known or easily recognized
a. within normal everyday experience; common and ordinary; not strange"
arrival,"n. accomplishment of an objective
n. the act of arriving at a certain place
n. someone who arrives (or has arrived)"
aspect,"n. a distinct feature or element in a problem
n. a characteristic to be considered
n. the beginning or duration or completion or repetition of the action of a verb"
splendid,"s having great beauty and splendor
s very good; of the highest quality
s characterized by grandeur"
cocoa,"n. a beverage made from cocoa powder and milk and sugar; usually drunk hot
n. powder of ground roasted cacao beans with most of the fat removed"
outgoing,"a. leaving a place or a position
a. retiring from a position or office"
cautious,"a. showing careful forethought; never making swift decisions""
s. avoiding excess"
dessert,n. a dish served as the last course of a meal
stare,"n. a fixed look with eyes open wide
v. fixate one's eyes"
whisper,"n. speaking softly without vibration of the vocal cords
v. speak softly; in a low voice"
custom,"n. accepted or habitual practice
n. a specific practice of long standing
n. habitual patronage"
appetite,n. a feeling of craving something
yummy,s extremely pleasing to the sense of taste
spoken,a. uttered through the medium of speech or characterized by speech; sometimes used in combination
see ... off,none
fur,"n. the dressed hairy coat of a mammal
n. dense coat of fine silky hairs on mammals (e.g., cat or seal or weasel)
n. a garment made of the dressed hairy coat of a mammal"
conduct,"v. direct the course of; manage or control
v. lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years""
v. lead musicians in the performance of"
band,"n. instrumentalists not including string players
n. a stripe or stripes of contrasting color
n. an adornment consisting of a strip of a contrasting color or material
n. a range of frequencies between two limits"
burglar,n. a thief who enters a building with intent to steal
bark,"n. tough protective covering of the woody stems and roots of trees and other woody plants
n. a noise resembling the bark of a dog
n. a sailing ship with 3 (or more) masts
n. the sound made by a dog"
injure,v. cause injuries or bodily harm to
educator,n. someone who educates young people
erupt,"v. start abruptly
v. erupt or intensify suddenly
v. start to burn or burst into flames
v. break out"
dinosaur,n. any of numerous extinct terrestrial reptiles of the Mesozoic era
detective,"n. a police officer who investigates crimes
n. an investigator engaged or employed in obtaining information not easily available to the public"
earthquake,"n. shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
n. a disturbance that is extremely disruptive"
acre,"n. a unit of area (4840 square yards) used in English-speaking countries
n. a territory of western Brazil bordering on Bolivia and Peru
n. a town and port in northwestern Israel in the eastern Mediterranean"
belong,"v. be owned by; be in the possession of
v. be suitable or acceptable
v. be in the right place or situation
v. be rightly classified in a class or category"
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
birthplace,"n. the place where someone was born
n. where something originated or was nurtured in its early existence"
chef,n. a professional cook
fusion,"n. an occurrence that involves the production of a union
n. the merging of adjacent sounds or syllables or words
n. a nuclear reaction in which nuclei combine to form more massive nuclei with the simultaneous release of energy
n. the combining of images from the two eyes to form a single visual percept"
vast,s unusually great in size or amount or degree or especially extent or scope
export,"n. commodities (goods or services) sold to a foreign country
v. sell or transfer abroad
v. transfer (electronic data) out of a database or document in a format that can be used by other programs
v. cause to spread in another part of the world"
fond,"s. (followed by `of' or `to') having a strong preference or liking for
s. absurd or silly because unlikely"
outdoors,n. where the air is unconfined
literature,"n. creative writing of recognized artistic value
n. the humanistic study of a body of literature
n. published writings in a particular style on a particular subject
n. the profession or art of a writer"
contrary,"n. exact opposition
n. a logical relation such that two propositions are contraries if both cannot be true but both can be false
s. very opposed in nature or character or purpose
s. of words or propositions so related that both cannot be true but both may be false"
broad,"n. slang term for a woman
s. not detailed or specific
s. lacking subtlety; obvious
s. being at a peak or culminating point"
bear,"n. massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
n. an investor with a pessimistic market outlook; an investor who expects prices to fall and so sells now in order to buy later at a lower price
v. have
v. move while holding up or supporting"
minority,"n. a group of people who differ racially or politically from a larger group of which it is a part
n. being or relating to the smaller in number of two parts
n. any age prior to the legal age"
well-off,s. fortunately situated
unfair,a. not fair; marked by injustice or partiality or deception
forgive,"v. stop blaming or grant forgiveness
v. absolve from payment"
preview,"n. an advertisement consisting of short scenes from a motion picture that will appear in the near future
n. a screening for a select audience in advance of release for the general public
v. watch (a movie or play) before it is released to the general public"
dusk,v. become dusk
multi-cultural,a. of or relating to or including several cultures
spot,"n. a short section or illustration (as between radio or tv programs or in a magazine) that is often used for advertising
n. a small contrasting part of something
n. a section of an entertainment that is assigned to a specific performer or performance
n. a business establishment for entertainment"
garlic,"n. bulbous herb of southern Europe widely naturalized; bulb breaks up into separate strong-flavored cloves
n. aromatic bulb used as seasoning"
apron,"n. a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
n. (golf) the part of the fairway leading onto the green
n. a paved surface where aircraft stand while not being used"
ashtray,n. a receptacle for the ash from smokers' cigars or cigarettes
cassette,n. a container that holds a magnetic tape used for recording or playing sound or video
comb,"n. a flat device with narrow pointed teeth on one edge; disentangles or arranges hair
n. the fleshy red crest on the head of the domestic fowl and other gallinaceous birds
n. any of several tools for straightening fibers
n. ciliated comb-like swimming plate of a ctenophore"
scissors,"n. an edge tool having two crossed pivoting blades
n. a wrestling hold in which you wrap your legs around the opponents body or head and put your feet together and squeeze
n. a gymnastic exercise performed on the pommel horse when the gymnast moves his legs as the blades of scissors move"
dustbin,n a bin that holds rubbish until it is collected
addition,"n. a component that is added to something to improve it
n. the act of adding one thing to another
n. a quantity that is added
n. a suburban area laid out in streets and lots for a future residential area"
contrast,"n. the opposition or dissimilarity of things that are compared
n. the act of distinguishing by comparing differences
n. the perceptual effect of the juxtaposition of very different colors
n. the range of optical density and tone on a photographic negative or print (or the extent to which adjacent areas on a television screen differ in brightness)"
Charles Gray,none
Angus Deayton,none
Helen Cooper,none
Gordon Selfridge,none
Alan Meyer,none
Tony,n. A simpleton.
Janet,none
Steven Spielberg,none
Michael Owen,none
William,none
Lindbrow,none
Diana,"n. English aristocrat who was the first wife of Prince Charles; her death in an automobile accident in Paris produced intense national mourning (1961-1997)
n. (Roman mythology) virgin goddess of the hunt and the Moon; counterpart of Greek Artemis"
James,"n. a Stuart king of Scotland who married a daughter of Henry VII; when England and France went to war in 1513 he invaded England and died in defeat at Flodden (1473-1513)
n. the last Stuart to be king of England and Ireland and Scotland; overthrown in 1688 (1633-1701)
n. the first Stuart to be king of England and Ireland from 1603 to 1625 and king of Scotland from 1567 to 1625; he was the son of Mary Queen of Scots and he succeeded Elizabeth I; he alienated the British Parliament by claiming the divine right of kings (1566-1625)"
Jamie,none
Janice Jones,none
John Lennon,none
Alan,n. A wolfhound.
Peter Moore,none
Susan Bold,none
Lillian Derbyshire,none
Shonda,none
Shelley,"n. English writer who created Frankenstein's monster and married Percy Bysshe Shelley (1797-1851)
n. Englishman and romantic poet (1792-1822)"
Sherri,none
Shirin,none
James Cameron,none
Steve Morgan,none
Norma Jean,none
Marilyn Monroe,none
G.K.Chesterton,none
Christina,none
Davis,"n. United States painter who developed an American version of cubism (1894-1964)
n. United States jazz musician; noted for his trumpet style (1926-1991)
n. American statesman; president of the Confederate States of America during the American Civil War (1808-1889)"
Jan Groot,none
Pete,none
Anne,n. Queen of England and Scotland and Ireland; daughter if James II and the last of the Stuart monarchs; in 1707 she was the last English ruler to exercise the royal veto over parliament (1665-1714)
Martin,"n. French bishop who is a patron saint of France (died in 397)
n. United States actor and comedian (born in 1945)
n. United States actress (1913-1990)"
Tina,none
George,"n. Christian martyr; patron saint of England; hero of the legend of Saint George and the Dragon in which he slew a dragon and saved a princess (?-303)
n. King of Great Britain and Ireland and emperor of India from 1936 to 1947; he succeeded Edward VIII (1895-1952)
n. King of Great Britain and Ireland and emperor of India from 1910 to 1936; gave up his German title in 1917 during World War I (1865-1936)"
Fiona,none
Barry Humphries,none
Weller,"a in good health especially after having suffered illness or injury; at least I feel well""
s resulting favorably
s wise or advantageous and hence advisable"
Liverpool,n. a large city in northwestern England; its port is the country's major outlet for industrial exports
Manchester United,none
Singapore,"n. the capital of Singapore; one of the world's biggest ports
n. a country in southeastern Asia on the island of Singapore; achieved independence from Malaysia in 1965
n. an island to the south of the Malay Peninsula"
Moscow,n. a city of central European Russia; formerly capital of both the Soviet Union and Soviet Russia; since 1991 the capital of the Russian Federation
Madrid,n. the capital and largest city situated centrally in Spain; home of an outstanding art museum
Leeds University,none
Kingston,"n. a town on the Hudson River in New York
n. a town in southeast Ontario on Lake Ontario near the head of the Saint Lawrence River
n. capital and largest city of Jamaica"
Gorton,none
Big Ben,none
The River Thames,none
The Statue of Liberty,none
the Great Barrier Reef,none
Utrecht University,none
Melbourne,"n. a resort town in east central Florida
n. the capital of Victoria state and 2nd largest Australian city; a financial and commercial center"
Athens,"n. the capital and largest city of Greece; named after Athena (its patron goddess)
n. a town in southeast Ohio
n. a university town in northeast Georgia"
