abroad,"s. in a foreign country
r. to or in a foreign country"
rare,"s. not widely known; especially valued for its uncommonness
s. recurring only at long intervals
s. not widely distributed
s. having low density"
remedy,"n. a medicine or therapy that cures disease or relieve pain
v. provide relief for"
retire,"v. go into retirement; stop performing one's work or withdraw from one's position
v. withdraw from active participation
v. withdraw from circulation or from the market, as of bills, shares, and bonds
v. make (someone) retire"
scream,"n. sharp piercing cry
v. make a loud, piercing sound"
shed,"n. an outbuilding with a single story; used for shelter or storage
v. get rid of
v. cast off hair, skin, horn, or feathers"
slavery,"n. the practice of owning slaves
n. work done under harsh conditions for little or no pay"
spacious,"s very large in expanse or scope
s (of buildings and rooms) having ample space"
staff,"n. personnel who assist their superior in carrying out an assigned task
n. a strong rod or stick with a specialized utilitarian purpose
n. the body of teachers and administrators at a school
n. building material consisting of plaster and hair; used to cover external surfaces of temporary structure (as at an exposition) or for decoration"
straw,"n. plant fiber used e.g. for making baskets and hats or as fodder
n. a thin paper or plastic tube used to suck liquids into the mouth
v. cover or provide with or as if with straw
s. of a pale yellow color like straw; straw-colored"
surface,"n. the outer boundary of an artifact or a material layer constituting or resembling such a boundary
n. the extended two-dimensional outer boundary of a three-dimensional object
n. the outermost level of the land or sea
n. a superficial aspect as opposed to the real nature of something"
tick,"n. a metallic tapping sound
n. any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals
n. a light mattress
v. make a sound like a clock or a timer"
tremendous,"s extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman
s extraordinarily good or great; used especially as intensifiers
s extreme in degree or extent or amount or impact"
variety,"n. (biology) a taxonomic category consisting of members of a species that differ from others of the same species in minor but heritable characteristics
n. a difference that is usually pleasant"
waterfall,n. a steep descent of the water of a river
worm,"n. any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae
n. a person who has a nasty or unethical character undeserving of respect
n. a software program capable of reproducing itself that can spread from one computer to the next over a network
n. screw thread on a gear with the teeth of a worm wheel or rack"
accompany,v. go or travel along with
amuse,"v. occupy in an agreeable, entertaining or pleasant fashion
v. make (somebody) laugh"
avoid,"v. stay clear from; keep away from; keep out of the way of someone or something
v. refrain from doing something"
bomb,n. an explosive device fused to explode under specific conditions
burial,n. the ritual placing of a corpse in a grave
chase,"n. United States politician and jurist who served as chief justice of the United States Supreme Court (1808-1873)
n. a rectangular metal frame used in letterpress printing to hold together the pages or columns of composed type that are printed at one time
v. go after with the intent to catch
v. pursue someone sexually or romantically"
compel,"v. force somebody to do something
v. necessitate or exact"
consent,n. permission to do something
counterpart,"n. a person or thing having the same function or characteristics as another
n. a duplicate copy"
deafen,"v. be unbearably loud
v. make or render deaf
v. make soundproof"
derive,"v. obtain
v. come from
v. develop or evolve from a latent or potential state
v. come from; be connected by a relationship of blood, for example"
display,"n. something intended to communicate a particular impression
n. something shown to the public
n. a visual representation of something
n. behavior that makes your feelings public"
dust,"n. fine powdery material such as dry earth or pollen that can be blown about in the air
n. free microscopic particles of solid material
v. remove the dust from
v. rub the dust over a surface so as to blur the outlines of a shape"
energetic,"a. possessing or exerting or displaying energy
s. working hard to promote an enterprise"
extent,"n. the point or degree to which something extends
n. the distance or area or volume over which something extends"
fairy,"n. a small being, human in form, playful and having magical powers"
flatter,v. praise somewhat dishonestly
frown,"n. a facial expression of dislike or displeasure
v. look angry or sullen, wrinkle one's forehead, as if to signal disapproval"
glimpse,"n. a brief or incomplete view
n. a vague indication
v. catch a glimpse of or see briefly"
harvest,"n. the consequence of an effort or activity
n. the gathering of a ripened crop
n. the season for gathering crops
v. remove from a culture or a living or dead body, as for the purposes of transplantation"
inhabit,v. be present in
involve,"v. connect closely and often incriminatingly
v. engage as a participant
v. contain as a part
v. occupy or engage the interest of"
lamb,"n. young sheep
n. English essayist (1775-1834)
n. a person easily deceived or cheated (especially in financial matters)
n. a sweet innocent mild-mannered person (especially a child)"
liquid,"n. a substance that is liquid at room temperature and pressure
n. the state in which a substance exhibits a characteristic readiness to flow with little or no tendency to disperse and relatively high incompressibility
n. fluid matter having no fixed shape but a fixed volume
n. a frictionless continuant that is not a nasal consonant (especially `l' and `r')"
mighty,"s. having or showing great strength or force or intensity
r. (Southern regional intensive) very; to a great degree"
mount,"n. a mounting consisting of a piece of metal (as in a ring or other jewelry) that holds a gem in place
v. attach to a support
v. fix onto a backing, setting, or support
v. put up or launch"
notify,v inform (somebody) of something
orbit,"n. the (usually elliptical) path described by one celestial body in its revolution about another
n. the path of an electron around the nucleus of an atom"
paradise,n. (Christianity) the abode of righteous souls after death
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
pledge,"n. a deposit of personal property as security for a debt
n. someone accepted for membership but not yet fully admitted to the group
n. a drink in honor of or to the health of a person or event
v. promise solemnly and formally"
pressure,"n. the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
n. a force that compels
n. the somatic sensation that results from applying force to an area of skin
n. an oppressive condition of physical or mental or social or economic distress"
prosper,v make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
raw,"n. informal terms for nakedness
s. having the surface exposed and painful
a. not treated with heat to prepare it for eating
s. not processed or refined"
remind,v. put in the mind of someone
retreat,"n. (military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat
n. a place of privacy; a place affording peace and quiet
n. (military) a signal to begin a withdrawal from a dangerous position
n. (military) a bugle call signaling the lowering of the flag at sunset"
sacred,"a. concerned with religion or religious purposes
s. worthy of respect or dedication
s. (often followed by `to') devoted exclusively to a single use or purpose or person"
screen,"n. a white or silvered surface where pictures can be projected for viewing
n. the display that is electronically created on the surface of the large end of a cathode-ray tube
n. a covering that serves to conceal or shelter something
n. a protective covering consisting of netting; can be mounted in a frame"
shelf,n. a support that consists of a horizontal surface for holding objects
sleeve,"n. the part of a garment that is attached at the armhole and that provides a cloth covering for the arm
n. small case into which an object fits"
spare,"n. a score in tenpins; knocking down all ten after rolling two balls
v. refrain from harming
v. save or relieve from an experience or action
v. give up what is not strictly needed"
stability,"n. the quality or attribute of being firm and steadfast
n. a stable order (especially of society)"
strawberry,"n. sweet fleshy red fruit
n. any of various low perennial herbs with many runners and bearing white flowers followed by edible fruits having many small achenes scattered on the surface of an enlarged red pulpy berry
n. a soft red birthmark"
surgeon,n. a physician who specializes in surgery
task,v. assign a task to
tide,"n. the periodic rise and fall of the sea level under the gravitational pull of the moon
n. something that may increase or decrease (like the tides of the sea)
n. there are usually two high and two low tides each day
v. rise or move forward"
trial,"n. trying something to find out about it
n. (law) the determination of a person's innocence or guilt by due process of law
n. (sports) a preliminary competition to determine qualifications
n. an annoying or frustrating or catastrophic event"
vast,s unusually great in size or amount or degree or especially extent or scope
waterproof,"n. any fabric impervious to water
v. make watertight"
worsen,"v. grow worse
v. make worse"
accomplish,"v put in effect
v to gain with effort"
anchor,"n. a mechanical device that prevents a vessel from moving
n. a central cohesive source of support and stability
n. a television reporter who coordinates a broadcast to which several correspondents contribute
v. fix firmly and stably"
awaken,"v. cause to become awake or conscious
v. make aware"
blush,"n. sudden reddening of the face (as from embarrassment or guilt or shame or modesty)
v. turn red, as if in embarrassment or shame
v. become rosy or reddish"
bush,"n. a large wilderness area
n. 43rd President of the United States; son of George Herbert Walker Bush (born in 1946)
n. United States electrical engineer who designed an early analogue computer and who led the scientific program of the United States during World War II (1890-1974)
n. vice president under Reagan and 41st President of the United States (born in 1924)"
cheat,"n. a deception for profit to yourself
v. deprive somebody of something by deceit
v. defeat someone through trickery or deceit
v. engage in deceitful behavior; practice trickery or fraud"
compete,v. compete for something; engage in a contest; measure oneself against others
consequence,"n. a phenomenon that follows and is caused by some previous phenomenon
n. the outcome of an event especially as relative to an individual
n. having important effects or influence"
courage,n. a quality of spirit that enables you to face danger or pain without showing fear
debate,"n. the formal presentation of a stated proposition and the opposition to it (usually followed by a vote)
v. argue with one another
v. discuss the pros and cons of an issue"
descend,"v. move downward and lower, but not necessarily all the way"
dispose,"v. give, sell, or transfer to another
v. make receptive or willing towards an action or attitude or belief
v. place or put in a particular order"
earnest,"n. something of value given by one person to another to bind a contract
s. characterized by a firm and humorless belief in the validity of your opinions"
enforce,"v. ensure observance of laws and rules; 
v. compel to behave in a certain way"
extend,"v. make available; provide
v. reach outward in space
v. expand the influence of
v. open or straighten out; unbend"
faithful,"n. any loyal and steadfast following
a. steadfast in affection or allegiance
a. not having sexual relations with anyone except your husband or wife, or your boyfriend or girlfriend"
flavor,n. (physics) the six kinds of quarks
frustrate,"v hinder or prevent (the efforts, plans, or desires) of
v treat cruelly"
glorious,"a. having or deserving or conferring glory
s. having great beauty and splendor"
haste,"n. overly eager speed (and possible carelessness)
n. the act of moving hurriedly and in a careless manner"
identify,"v. recognize as being; establish the identity of someone or something
v. consider (oneself) as similar to somebody else
v. conceive of as united or associated
v. identify as in botany or biology, for example"
injure,v. cause injuries or bodily harm to
irregular,"n. merchandise that has imperfections; usually sold at a reduced price without the brand name
a. contrary to rule or accepted order or general practice
s. not occurring at expected times
a. (used of the military) not belonging to or engaged in by regular army forces"
lame,n. a fabric interwoven with threads of metal
liquor,"n. an alcoholic beverage that is distilled rather than fermented
n. a liquid substance that is a solution (or emulsion or suspension) used or obtained in an industrial process
n. the liquid in which vegetables or meat have be cooked"
manly,a. possessing qualities befitting a man
mild,a. moderate in type or degree or effect or force; far from extreme
mourn,"v. feel sadness
v. observe the customs of mourning after the death of a loved one"
notion,"n. a general inclusive concept
n. an odd or fanciful or capricious idea
n. (usually plural) small personal articles or clothing or sewing items"
order,"n. (often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed
n. a degree in a continuum of size or quantity
n. established customary state (especially of society)
n. a commercial document used to request someone to supply something in return for payment and providing specifications and quantities"
paragraph,"n. one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line
v. divide into paragraphs, as of text
v. write about in a paragraph
v. write paragraphs; work as a paragrapher"
penalty,"n. a payment required for not fulfilling a contract
n. the disadvantage or painful consequences of an action or condition
n. (games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game"
pluck,"n. the act of pulling and releasing a taut cord
v. pull or pull out sharply
v. pull lightly but sharply with a plucking motion
v. strip of feathers"
pretend,v. put forward a claim and assert right or possession of
protect,"v. shield from danger, injury, destruction, or damage
v. use tariffs to favor domestic industry"
realize,"v. make real or concrete; give reality or substance to
v. convert into cash; of goods and property
v. expand or complete (a part in a piece of baroque music) by supplying the harmonies indicated in the figured bass"
remove,"n. degree of figurative distance or separation; 
v. remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
v. remove from a position or an office
v. shift the position or location of, as for business, legal, educational, or military purposes"
reveal,v. disclose directly or through prophets
sacrifice,"n. personnel that are sacrificed (e.g., surrendered or lost in order to gain an objective)
n. a loss entailed by giving up or selling something at less than its value
n. the act of killing (an animal or person) in order to propitiate a deity
n. (baseball) an out that advances the base runners"
screw,"n. a simple machine of the inclined-plane type consisting of a spirally threaded cylindrical rod that engages with a similarly threaded hole
n. a propeller with several angled blades that rotates to push against water or air
n. a fastener with a tapered threaded shank and a slotted head
v. turn like a screw"
shell,"n. ammunition consisting of a cylindrical metal casing containing an explosive charge and a projectile; fired from a large gun
n. the material that forms the hard outer covering of many animals
n. the hard usually fibrous outer layer of some fruits especially nuts
n. the exterior covering of a bird's egg"
slender,"s. being of delicate or slender build
s. very narrow
s. having little width in proportion to the length or height
s. small in quantity"
sparkle,"n. merriment expressed by a brightness or gleam or animation of countenance
v. reflect brightly
v. be lively or brilliant or exhibit virtuosity"
stain,"n. a soiled or discolored appearance
n. (microscopy) a dye or other coloring material that is used in microscopy to make structures visible
v. color with a liquid dye or tint
v. produce or leave stains"
stream,"n. a natural body of running water flowing on or under the earth
n. dominant course (suggestive of running water) of successive events or ideas
n. something that resembles a flowing stream in moving continuously
v. to extend, wave or float outward, as if in the wind"
surrender,"n. the delivery of a principal into lawful custody
v. give up or agree to forgo to the power or possession of another
v. relinquish possession or control over"
tasty,a. pleasing to the sense of taste
tight,"a. closely constrained or constricted or constricting
s. set so close together as to be invulnerable to penetration
s. affected by scarcity and expensive to borrow
a. of such close construction as to be impermeable"
tribe,"n. a social division of (usually preliterate) people
n. a federation (as of American Indians)
n. (biology) a taxonomic category between a genus and a subfamily"
weapon,"n. any instrument or instrumentality used in fighting or hunting
n. a means of persuading or arguing"
wreck,"n. something or someone that has suffered ruin or dilapidation
n. a ship that has been destroyed at sea"
accord,"n. concurrence of opinion
n. sympathetic compatibility
v. allow to have"
award,"n. a grant made by a law court
n. a tangible symbol signifying approval or distinction
v. give, especially as an honor or reward
v. give as judged due or on the basis of merit"
boast,"n. speaking of yourself in superlatives
v. show off"
butcher,"n. a retailer of meat
n. a brutal indiscriminate murderer
n. a person who slaughters or dresses meat for market
v. kill (animals) usually for food consumption"
cheek,"n. either side of the face below the eyes
v. speak impudently to"
competent,"a. properly or sufficiently qualified or capable or efficient
s. adequate for the purpose
a. legally qualified or sufficient"
consist,"v. have its essential character; be comprised or contained in; be embodied in
v. be consistent in form, tenor, or character; be congruous
v. be composed of"
crack,"n. a long narrow opening
n. a sudden sharp noise
n. a blemish resulting from a break without complete separation of the parts
n. a purified and potent form of cocaine that is smoked rather than snorted; highly addictive"
debt,"n. the state of owing something (especially money)
n. money or goods or services owed by one person to another
n. an obligation to pay or do something"
describe,v. give a description of
dispute,"n. a disagreement or argument about something important
n. coming into conflict with"
ease,"n. freedom from difficulty or hardship or effort
n. a freedom from financial difficulty that promotes a comfortable state
n. freedom from constraint or embarrassment
v. move gently or carefully"
engage,"v. ask to represent; of legal counsel
v. get caught
v. carry on (wars, battles, or campaigns)
v. hire for work or assistance"
express,"n. mail that is distributed by a rapid and efficient system
n. public transport consisting of a fast train or bus that makes only a few scheduled stops
n. rapid transport of goods
v. give expression to"
fancy,"n. a kind of imagination that was held by Coleridge to be more casual and superficial than true imagination
v. have a fancy or particular liking or desire for
a. not plain; decorative or ornamented"
flee,v. run away quickly
fulfil,"v put in effect
v fill or meet a want or need
v meet the requirements or expectations of"
fulfill,"v put in effect
v meet the requirements or expectations of
v fill or meet a want or need"
grace,"n. (Christian theology) a state of sanctification by God; the state of one who is under such divine influence
n. elegance and beauty of movement or expression
n. a disposition to kindness and compassion
n. (Greek mythology) one of three sisters who were the givers of beauty and charm; a favorite subject for sculptors"
haunt,"n. a frequently visited place
v. follow stealthily or recur constantly and spontaneously to
v. haunt like a ghost; pursue"
innocent,"n. a person who lacks knowledge of evil
a. free from evil or guilt
s. lacking intent or capacity to injure
s. lacking in sophistication or worldliness"
issue,"n. an important question that is in dispute and must be settled
n. one of a series published periodically
n. the act of providing an item for general use or for official purposes (usually in quantity)
n. supplies (as food or clothing or ammunition) issued by the government"
landlord,n. a landowner who leases to others
literature,"n. creative writing of recognized artistic value
n. the humanistic study of a body of literature
n. published writings in a particular style on a particular subject
n. the profession or art of a writer"
manufacture,"v. put together out of artificial or natural components or parts; He manufactured a popular cereal""
v. produce naturally
v. create or produce in a mechanical way"
military,"n. the military forces of a nation
a. of or relating to the study of the principles of warfare
a. characteristic of or associated with soldiers or the military
a. associated with or performed by members of the armed services as contrasted with civilians"
multiply,"v. combine by multiplication
v. combine or increase by multiplication
r. in several ways; in a multiple manner"
numerous,s. amounting to a large indefinite number
ordinary,"n. a judge of a probate court
n. the expected or commonplace condition or situation
n. a clergyman appointed to prepare condemned prisoners for death
n. an early bicycle with a very large front wheel and small back wheel"
pardon,"n. a warrant granting release from punishment for an offense
v. grant a pardon to"
peninsula,n. a large mass of land projecting into a body of water
plunge,"n. a steep and rapid fall
v. dash violently or with great speed or impetuosity
v. begin with vigor
v. cause to be immersed"
prevent,"v. keep from happening or arising; make impossible
v. stop (someone or something) from doing something or being in a certain state"
protest,"n. a formal and solemn declaration of objection
n. the act of protesting; a public (often organized) manifestation of dissent
n. the act of making a strong public expression of disagreement and disapproval
v. utter words of protest"
rear,"n. the back of a military formation or procession
n. the side of an object that is opposite its front
n. the side that goes last or is not normally seen
v. stand up on the hind legs, of quadrupeds"
rent,"n. a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service
n. the act of rending or ripping or splitting something
v. let for money
v. hold under a lease or rental agreement; of goods and services"
revenge,v. take revenge for a perceived wrong
saddle,"n. a seat for the rider of a horse or camel
n. cut of meat (especially mutton or lamb) consisting of part of the backbone and both loins
n. a piece of leather across the instep of a shoe
n. posterior part of the back of a domestic fowl"
seal,"n. a device incised to make an impression; used to secure a closing or to authenticate documents
n. the pelt or fur (especially the underfur) of a seal
n. a stamp affixed to a document (as to attest to its authenticity or to seal it)
n. a finishing coat applied to exclude moisture"
shelter,"n. a structure that provides privacy and protection from danger
n. protective covering that provides protection from the weather
n. temporary housing for homeless or displaced persons
v. provide shelter for"
slice,"n. a share of something
n. a golf shot that curves to the right for a right-handed golfer
n. a thin flat piece cut off of some object
n. a spatula for spreading paint or ink"
spear,"n. a long pointed rod used as a tool or weapon
n. an implement with a shaft and barbed point used for catching fish
v. pierce with a spear
v. thrust up like a spear"
stake,"n. instrument of execution consisting of a vertical post that a victim is tied to for burning
n. the money risked on a gamble
n. a strong wooden or metal post with a point at one end so it can be driven into the ground
v. mark with a stake"
stretch,"n. a large and unbroken expanse or distance
n. a straightaway section of a racetrack
n. exercise designed to extend the limbs and muscles to their full extent
n. extension to or beyond the ordinary limit"
surround,v. extend on all sides of simultaneously; encircle
tavern,n. a building with a bar that is licensed to sell alcoholic drinks
timber,"n. a beam made of wood
n. a post made of wood"
trick,"n. a cunning or deceitful action or device
n. a period of work or duty
n. an attempt to get you to do something foolish or imprudent
n. (card games) in a single round, the sequence of cards played by all the players; the high card is the winner"
vein,"n. a blood vessel that carries blood from the capillaries toward the heart
n. a distinctive style or manner
n. any of the vascular bundles or ribs that form the branching framework of conducting and supporting tissues in a leaf or other plant organ
n. a layer of ore between layers of rock"
weaken,"v. lessen the strength of
v. become weaker"
wring,"v. twist and compress, as if in pain or anguish
v. twist, squeeze, or compress in order to extract liquid"
account,"n. a formal contractual relationship established to provide for regular banking or brokerage or business services
n. importance or value
n. a statement of recent transactions and the resulting balance
n. the quality of taking advantage"
angle,"n. the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians
n. a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons
v. move or proceed at an angle
v. fish with a hook"
aware,a. (sometimes followed by `of') having or showing knowledge or understanding or realization or perception
bold,"a. fearless and daring
s. clear and distinct"
cabin,"n. small room on a ship or boat where people sleep
n. a small house built of wood; usually in a wooded area
n. the enclosed compartment of an aircraft or spacecraft where passengers are carried
v. confine to a small space, such as a cabin"
cheer,"n. a cry or shout of approval
v. give encouragement to
v. show approval or good wishes by shouting
v. cause (somebody) to feel happier or more cheerful"
complain,"v. express complaints, discontent, displeasure, or unhappiness
v. make a formal accusation; bring a formal charge"
consolation,"n. the comfort you feel when consoled in times of disappointment
n. the act of consoling; giving relief in affliction"
crash,"n. a serious accident (usually involving one or more vehicles)
n. a sudden large decline of business or the prices of stocks (especially one that causes additional failures)
n. the act of colliding with something
n. (computer science) an event that causes a computer system to become inoperative"
decay,"n. the process of gradually becoming inferior
n. a gradual decrease; as of stored charge or current
n. the organic phenomenon of rotting
n. an inferior state resulting from the process of decaying"
deserve,v. be worthy or deserving
distinction,"n. a distinguishing quality
n. a distinguishing difference"
echo,"n. the repetition of a sound resulting from reflection of the sound waves
n. (Greek mythology) a nymph who was spurned by Narcissus and pined away until only her voice remained
n. a reply that repeats what has just been said
n. a reflected television or radio or radar beam"
enormous,"s. extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman"
expose,"n. the exposure of an impostor or a fraud
v. expose or make accessible to some action or influence
v. to show, make visible or apparent
v. expose to light, of photographic film"
farewell,"n. an acknowledgment or expression of goodwill at parting
n. the act of departing politely"
fleet,"n. group of aircraft operating together under the same ownership
n. group of motor vehicles operating together under the same ownership
n. a group of steamships operating together under the same ownership
n. a group of warships organized as a tactical unit"
function,"n. (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)
n. what something is used for
n. the actions and activities assigned to or required or expected of a person or group
n. a relation such that one thing is dependent on another"
gradual,"n. (Roman Catholic Church) an antiphon (usually from the Book of Psalms) immediately after the epistle at Mass
a. proceeding in small stages
a. (of a topographical gradient) not steep or abrupt"
hay,"n. grass mowed and cured for use as fodder
v. convert (plant material) into hay"
ignorant,"s. uneducated in general; lacking knowledge or sophistication
s. uneducated in the fundamentals of a given art or branch of learning; lacking knowledge of a specific field
s. unaware because of a lack of relevant information or knowledge"
inquire,"v inquire about
v have a wish or desire to know something
v conduct an inquiry or investigation of"
item,"n. a distinct part that can be specified separately in a group of things that could be enumerated on a list
n. a whole individual unit; especially when included in a list or collection
r. (used when listing or enumerating items) also"
landscape,"n. an expanse of scenery that can be seen in a single view
n. painting depicting an expanse of natural scenery
n. a genre of art dealing with the depiction of natural scenery
n. an extensive mental viewpoint"
liver,"n. large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes
n. liver of an animal used as meat
n. a person who has a special life style
n. someone who lives in a place"
manuscript,"n. the form of a literary work submitted for publication
n. handwritten book or document"
millionaire,n. a person whose material wealth is valued at more than a million dollars
murder,"n. unlawful premeditated killing of a human being by a human being
v. kill intentionally and with premeditation"
obey,v. be obedient to
organization,"n. a group of people who work together
n. the act of organizing a business or an activity related to a business
n. an ordered manner; orderliness by virtue of being methodical and well organized
n. the activity or result of distributing or disposing persons or things properly or methodically"
parliament,n. a legislative assembly in certain countries
pepper,"n. climber having dark red berries (peppercorns) when fully ripe; southern India and Sri Lanka; naturalized in northern Burma and Assam
n. pungent seasoning from the berry of the common pepper plant of East India; use whole or ground
n. sweet and hot varieties of fruits of plants of the genus Capsicum
v. add pepper to"
poetry,"n. literature in metrical form
n. any communication resembling poetry in beauty or the evocation of feeling"
preview,"n. an advertisement consisting of short scenes from a motion picture that will appear in the near future
n. a screening for a select audience in advance of release for the general public
v. watch (a movie or play) before it is released to the general public"
provide,"v. give what is desired or needed, especially support, food or sustenance
v. determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation
v. supply means of subsistence; earn a living
v. take measures in preparation for"
reckless,"s marked by defiant disregard for danger or consequences
s characterized by careless unconcern"
repair,"n. the act of putting something in working order again
n. a formal way of referring to the condition of something
v. restore by replacing a part or putting together what is torn or broken
v. move, travel, or proceed toward some place"
saint,"n. a person who has died and has been declared a saint by canonization
n. person of exceptional holiness"
search,"n. the activity of looking thoroughly in order to find something or someone
n. an investigation seeking answers
n. an operation that determines whether one or more of a set of items has a specified property
n. the examination of alternative hypotheses"
sheriff,n. the principal law-enforcement officer in a county
specialist,"n. an expert who is devoted to one occupation or branch of learning
n. practices one branch of medicine"
stalk,"n. a slender or elongated structure that supports a plant or fungus or a plant part or plant organ
n. a hunt for game carried on by following it stealthily or waiting in ambush
n. the act of following prey stealthily
n. a stiff or threatening gait"
strict,"s rigidly accurate; allowing no deviation from a standard
s (of rules) stringently enforced
a characterized by strictness, severity, or restraint
s incapable of compromise or flexibility
s severe and unremitting in making demands"
survey,"n. a detailed critical inspection
v. consider in a comprehensive way
v. look over carefully or inspect
v. make a survey of; for statistical purposes"
temper,"n. a characteristic (habitual or relatively temporary) state of feeling
n. a disposition to exhibit uncontrolled anger
n. the elasticity and hardness of a metal object; its ability to absorb considerable energy before cracking
v. harden by reheating and cooling in oil"
tin,"n. a silvery malleable metallic element that resists corrosion; used in many alloys and to coat other metals to prevent corrosion; obtained chiefly from cassiterite where it occurs as tin oxide
n. a vessel (box, can, pan, etc.) made of tinplate and used mainly in baking
v. plate with tin
v. prepare (a metal) for soldering or brazing by applying a thin layer of solder to the surface"
trim,"n. a state of arrangement or appearance
n. attitude of an aircraft in flight when allowed to take its own orientation
n. cutting down to the desired size or shape
v. decorate, as with ornaments"
venture,"n. any venturesome undertaking especially one with an uncertain outcome
n. a commercial undertaking that risks a loss but promises a profit
v. proceed somewhere despite the risk of possible dangers
v. put at risk"
wealthy,s having an abundant supply of money or possessions of value
wrist,n. a joint between the distal end of the radius and the proximal row of carpal bones
accustom,v make psychologically or physically used (to something)
ankle,n. a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
bachelor,"n. a man who has never been married
v. lead a bachelor's existence"
border,"n. a strip forming the outer edge of something
v. provide with a border or edge
v. lie adjacent to another or share a boundary"
calm,"v. make calm or still
v. become quiet or calm, especially after a state of agitation
s. not agitated; without losing self-possession
a. (of weather) free from storm or wind"
chew,"n. a wad of something chewable as tobacco
n. biting and grinding food in your mouth so it becomes soft enough to swallow
v. chew (food); to bite and grind with the teeth"
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
consolidate,"v. unite into one
v. make firm or secure; strengthen
v. bring together into a single whole or system
v. form into a solid mass or whole"
crawl,"n. a very slow movement
n. a swimming stroke; arms are moved alternately overhead accompanied by a flutter kick
n. a slow mode of locomotion on hands and knees or dragging the body
v. move slowly; in the case of people or animals with the body near the ground"
decent,"s. socially or conventionally correct; refined or virtuous
a. conforming to conventions of sexual behavior
s. decently clothed
s. observing conventional sexual mores in speech or behavior or dress"
despair,"n. a state in which all hope is lost or absent
n. the feeling that everything is wrong and nothing will turn out well
v. abandon hope; give up hope; lose heart"
distress,"n. psychological suffering
n. a state of adversity (danger or affliction or need)
n. extreme physical pain
n. the seizure and holding of property as security for payment of a debt or satisfaction of a claim"
edge,"n. the boundary of a surface
n. a sharp side formed by the intersection of two surfaces of an object
n. the attribute of urgency in tone of voice
n. a slight competitive advantage"
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
export,"n. commodities (goods or services) sold to a foreign country
v. sell or transfer abroad
v. transfer (electronic data) out of a database or document in a format that can be used by other programs
v. cause to spread in another part of the world"
fasten,"v. cause to be firmly attached
v. become fixed or fastened
v. attach to"
flesh,"n. the soft tissue of the body of a vertebrate: mainly muscle tissue and fat
v. remove adhering flesh from (hides) when preparing leather manufacture"
fund,"n. a reserve of money set aside for some purpose
v. convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds
v. place or store up in a fund for accumulation
v. provide a fund for the redemption of principal or payment of interest"
graduate,"n. a measuring instrument for measuring fluid volume; a glass container (cup or cylinder or flask) whose sides are marked with or divided into amounts
v. receive an academic degree upon completion of one's studies
v. confer an academic degree upon
s. of or relating to studies beyond a bachelor's degree"
heal,v. get healthy again
illustrate,"v. depict with an illustration
v. supply with illustrations"
insist,"v. be emphatic or resolute and refuse to budge
v. assert to be true"
jar,"n. a vessel (usually cylindrical) with a wide mouth and without handles
n. the quantity contained in a jar
v. shock physically
v. affect in a disagreeable way"
lane,"n. a narrow way or road
n. a well-defined track or path; for e.g. swimmers or lines of traffic"
loan,n. the temporary provision of money (usually at interest)
maple,"n. wood of any of various maple trees; especially the hard close-grained wood of the sugar maple; used especially for furniture and flooring
n. any of numerous trees or shrubs of the genus Acer bearing winged seeds in pairs; north temperate zone"
mingle,v. get involved or mixed-up with
muscle,"n. one of the contractile organs of the body
n. animal tissue consisting predominantly of contractile cells
n. authority or power or force (especially when used in a coercive way)
v. make one's way by force"
