puma,n large American feline resembling a lion
part,"n. something determined in relation to something that includes it
n. something less than the whole of a human artifact
n. a portion of a natural object
n. that which concerns a person with regard to a particular role or situation"
falter,"v. be unsure or weak
v. move hesitatingly, as if about to give way"
cast,"n. the actors in a play
n. the distinctive form in which a thing is made
n. bandage consisting of a firm covering (often made of plaster of Paris) that immobilizes broken bones while they heal
n. object formed by a mold"
role,n. normal or customary activity of a person in a particular social setting
aristocrat,n. a member of the aristocracy
imprison,"v. lock up or confine, in or as in a jail
v. confine as if in a prison; he does not let them go out without a chaperone"""
Bastille,"n. a fortress built in Paris in the 14th century and used as a prison in the 17th and 18th centuries; it was destroyed July 14, 1789 at the start of the French Revolution
n. a jail or prison (especially one that is run in a tyrannical manner)"
gaoler,n someone who guards prisoners
colleague,"n. an associate that one works with
n. a person who is member of one's class or profession"
curtain,"n. hanging cloth used as a blind (especially for a window)
n. any barrier to communication or vision
v. provide with drapery"
reveal,v. disclose directly or through prophets
cell,"n. any small compartment
n. (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals
n. a device that delivers an electric current as the result of a chemical reaction
n. a small unit serving as part of or as the nucleus of a larger political movement"
blank,"n. a piece of material ready to be made into something
n. a cartridge containing an explosive charge but no bullet
v. keep the opposing (baseball) team from winning
s. (of a surface) not written or printed on"
squint,"n. the act of squinting; looking with the eyes partly closed
v. cross one's eyes as if in strabismus
v. be cross-eyed; have a squint or strabismus
v. partly close one's eyes, as when hit by direct blinding light"
dim,"v. switch (a car's headlights) from a higher to a lower beam
v. become dim or lusterless
v. make dim or lusterless
s. lacking in light; not bright or harsh"
sire,"n. a title of address formerly used for a man of rank and authority
n. male parent of an animal especially a domestic animal such as a horse"
proceed,"v. move ahead; travel onward in time or space
v. follow a certain course"
poison,"n. any substance that causes injury or illness or death of a living organism
n. anything that harms or destroys
v. spoil as if by poison
v. kill with poison"
illogical,a. lacking in correct logical relation
octopus,"n. tentacles of octopus prepared as food
n. bottom-living cephalopod having a soft oval body with eight long tentacles"
delicacy,"n. refined taste; tact
n. smallness of stature
n. subtly skillful handling of a situation"
repulsive,a. possessing the ability to repel
stomach,"n. an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
n. an inclination or liking for things involving conflict or difficulty or unpleasantness
n. an appetite for food
v. bear to eat"
turn,"n. the act of changing or reversing the direction of the course
n. (game) the activity of doing something in an agreed succession
n. an unforeseen development
n. the act of turning away or in the opposite direction"
fry,"n. English painter and art critic (1866-1934)
n. English dramatist noted for his comic verse dramas (born 1907)
v. be excessively hot
v. cook on a hot surface using fat"
fat,"n. a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides)
a. having an (over)abundance of flesh
s. having a relatively large diameter
s. lucrative"
abuse,"n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively"
snail,"n. freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell
v. gather snails"
luxury,"n. something that is an indulgence rather than a necessity
n. wealth as evidenced by sumptuous living"
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
despise,v look down on with disdain
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
shower,"n. a plumbing fixture that sprays water over you
n. washing yourself by standing upright under water sprayed from a nozzle
n. a brief period of precipitation
n. a sudden downpour (as of tears or sparks etc) likened to a rain shower"
stroll,v. walk leisurely and with no apparent aim
impulse,n. the act of applying force suddenly
dozen,"n the cardinal number that is the sum of eleven and one
s denoting a quantity consisting of 12 items or units"
fancy,"n. a kind of imagination that was held by Coleridge to be more casual and superficial than true imagination
v. have a fancy or particular liking or desire for
a. not plain; decorative or ornamented"
skeleton,"n. something reduced to its minimal form
n. a scandal that is kept secret
n. the internal supporting structure that gives an artifact its shape"
seemingly,r from appearances alone
respectable,a. characterized by socially or conventionally acceptable morals
conceal,v. hold back; keep from being perceived by others
vivid,s. having the clarity and freshness of immediate experience
dramatic,"a. suitable to or characteristic of drama
s. sensational in appearance or thrilling in effect
a. pertaining to or characteristic of drama
a. used of a singer or singing voice that is marked by power and expressiveness and a histrionic or theatrical style"
ruin,"n. an irrecoverable state of devastation and destruction
n. a ruined building
n. an event that results in destruction
v. destroy or cause to fail"
heroine,"n. the main good female character in a work of fiction
n. a woman possessing heroic qualities or a woman who has performed heroic deeds"
fiction,n. a literary work based on the imagination and not necessarily on fact
varying,s. marked by diversity or difference
medicine,"n. the branches of medical science that deal with nonsurgical techniques
n. (medicine) something that treats or prevents or alleviates the symptoms of disease
n. the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries"
guestroom,n. a bedroom that is kept for the use of guests
unpack,v. remove from its packing
stack,"n. an orderly pile
v. load or cover with stacks
v. arrange in stacks
v. arrange the order of so as to increase one's winning chances"
underclothes,n undergarment worn next to the skin and under the outer garments
drawer,"n. a boxlike container in a piece of furniture; made so as to slide in and out
n. the person who writes a check or draft instructing the drawee to pay someone else"
petrify,v. cause to become stonelike or stiff or dazed and stunned
dangle,"v. hang freely
v. cause to dangle or hang freely"
sway,n. controlling influence
unsympathetic,"a. not sympathetic or disposed toward
a. (of characters in literature or drama) tending to evoke antipathetic feelings"
medical,"a. relating to the study or practice of medicine
a. requiring or amenable to treatment by medicine especially as opposed to surgery"
impressive,"a. making a strong or vivid impression
s. producing a strong effect"
steamship,n a ship powered by one or more steam engines
vessel,"n. a tube in which a body fluid circulates
n. a craft designed for water transportation
n. an object used as a container (especially for liquids)"
era,"n. a period marked by distinctive character or reckoned from a fixed point or event
n. a major division of geological time; an era is usually divided into two or more periods"
Java,"n. an island in Indonesia to the south of Borneo; one of the world's most densely populated regions
n. a platform-independent object-oriented programming language"
rudder,"n. a hinged vertical airfoil mounted at the tail of an aircraft and used to make horizontal course changes
n. (nautical) steering mechanism consisting of a hinged vertical plate mounted at the stern of a vessel"
roll,"n. a list of names
n. photographic film rolled up inside a container to protect it from light
n. anything rolled up in cylindrical form
n. walking with a swaying gait"
steer,"v. direct the course; determine the direction of travelling
v. direct (oneself) somewhere"
temporary,"n a worker (especially in an office) hired on a temporary basis
a not permanent; not lasting
s lacking continuity or regularity"
plank,"n. an endorsed policy in the platform of a political party
v. cover with planks
v. set (something or oneself) down with or as if with a noise
v. cook and serve on a plank"
fit,"n. a display of bad temper
n. the manner in which something fits
v. be the right size or shape; fit correctly or as desired
v. make fit"
Equator,"n. an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles
n. a circle dividing a sphere or other surface into two usually equal and symmetrical parts"
delay,"n. time during which some action is awaited
n. the act of delaying; inactivity resulting in something being put off until a later time
v. cause to be slowed down or delayed
v. act later than planned, scheduled, or required"
influence,"n. a power to affect persons or events especially power based on prestige etc
n. causing something without any direct or apparent effort
n. a cognitive factor that tends to have an effect on what you do
n. the effect of one thing (or person) on another"
pride,"n. a feeling of self-respect and personal worth
n. satisfaction with your (or another's) achievements
n. the trait of being spurred on by a dislike of falling below your standards
n. a group of lions"
taste,"n. the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
n. delicate discrimination (especially of aesthetic values)
n. a brief experience of something
n. a small amount eaten or drunk"
exert,"v. put to use
v. make a great effort at a mental or physical task"
subtle,s. able to make fine distinctions
advertiser,n. someone whose business is advertising
classify,"v. arrange or order by classes or categories
v. declare unavailable, as for security reasons"
magic,n. any art that invokes supernatural powers
sample,"n. a small part of something intended as representative of the whole
n. all or part of a natural object that is collected and preserved as an example of its class
v. take a sample of"
devise,"n. a will disposing of real property
n. (law) a gift of real property by will
v. give by will, especially real property"
capture,"n. the act of forcibly dispossessing an owner of property
n. a process whereby a star or planet holds an object in its gravitational field
n. any process in which an atomic or nuclear system acquires an additional particle
n. the act of taking of a person by force"
manufacturer,"n. a business engaged in manufacturing some product
n. someone who manufactures something"
wheelbarrow,v. transport in a wheelbarrow
boot,"n. footwear that covers the whole foot and lower leg
n. British term for the luggage compartment in a car
n. protective casing for something that resembles a leg
n. an instrument of torture that is used to heat or crush the foot and leg"
ingredient,"n. a component of a mixture or compound
n. food that is a component of a mixture in cooking"
crane,"n. United States writer (1871-1900)
n. United States poet (1899-1932)
n. lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis
n. large long-necked wading bird of marshes and plains in many parts of the world"
anticipate,"v. act in advance of; deal with ahead of time
v. realize beforehand
v. be excited or anxious about
v. be a forerunner of or occur earlier than"
philosopher,"n. a specialist in philosophy
n. a wise person who is calm and rational; someone who lives a life of reason with equanimity"
wisdom,"n. accumulated knowledge or erudition or enlightenment
n. the trait of utilizing knowledge and experience with common sense and insight
n. ability to apply knowledge or experience or understanding or common sense and insight
n. the quality of being prudent and sensible"
priest,"n. a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders
n. a person who performs religious duties and ceremonies in a non-Christian religion"
spiritual,"n. a kind of religious song originated by Blacks in the southern United States
s. concerned with or affecting the spirit or soul
s. lacking material body or form or substance"
grudge,"n. a resentment strong enough to justify retaliation
v. accept or admit unwillingly"
surgeon,n. a physician who specializes in surgery
passer-by,n. a person who passes by casually or by chance
dignity,"n. the quality of being worthy of esteem or respect
n. formality in bearing and appearance
n. high office or rank or station"
deliberately,"r with intention; in an intentional manner
r in a deliberate unhurried manner"
consequence,"n. a phenomenon that follows and is caused by some previous phenomenon
n. the outcome of an event especially as relative to an individual
n. having important effects or influence"
afflict,"v. cause great unhappiness for; distress
v. cause physical pain or suffering in"
ease,"n. freedom from difficulty or hardship or effort
n. a freedom from financial difficulty that promotes a comfortable state
n. freedom from constraint or embarrassment
v. move gently or carefully"
nature,"n. the essential qualities or characteristics by which something is recognized
n. a causal agent creating and controlling things in the universe
n. the natural physical world including plants and animals and landscapes etc.
n. the complex of emotional and intellectual attributes that determine a person's characteristic actions and reactions"
contempt,"n. lack of respect accompanied by a feeling of intense dislike
n. a manner that is generally disrespectful and contemptuous
n. open disrespect for a person or thing
n. a willful disobedience to or disrespect for the authority of a court or legislative body"
envious,s showing extreme cupidity; painfully desirous of another's advantages
wares,"n articles of the same kind or material; usually used in combination: `silverware', `software'
n commodities offered for sale
v spend extravagantly
v make or wage war"
anchor,"n. a mechanical device that prevents a vessel from moving
n. a central cohesive source of support and stability
n. a television reporter who coordinates a broadcast to which several correspondents contribute
v. fix firmly and stably"
deck,"n. any of various platforms built into a vessel
n. street name for a packet of illegal drugs
n. a porch that resembles the deck on a ship
v. be beautiful to look at"
silverware,n. tableware made of silver or silver plate or pewter or stainless steel
tempt,"v. dispose or incline or entice to
v. give rise to a desire by being attractive or inviting
v. try to seduce
v. try presumptuously"
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
disembark,v. go ashore
assail,v. attack someone physically or emotionally
marble,"n. a hard crystalline metamorphic rock that takes a high polish; used for sculpture and as building material
n. a small ball of glass that is used in various games
n. a sculpture carved from marble
v. paint or stain like marble"
inscribe,"v. draw within a figure so as to touch in as many places as possible
v. write, engrave, or print as a lasting record
v. address, (a work of literature) in a style less formal than a dedication"
favour,"n a feeling of favorable regard
n an inclination to approve
n an advantage to the benefit of someone or something
n souvenir consisting of a small gift given to a guest at a party
n an act of gracious kindness
v treat gently or carefully
v bestow a privilege upon
v promote over another
v consider as the favorite"
gesticulate,"v. show, express or direct through movement"
outrageous,"s grossly offensive to decency or morality; causing horror
s greatly exceeding bounds of reason or moderation"
thrust,"n. verbal criticism
v. push forcefully
v. press or force
v. force (molten rock) into pre-existing rock"
largely,"r. in large part; mainly or chiefly
r. on a large scale"
comic,a. of or relating to or characteristic of comedy
universal,"n. (linguistics) a grammatical rule (or other linguistic feature) that is found in all languages
n. (logic) a proposition that asserts something of all members of a class
n. a behavioral convention or pattern characteristic of all members of a particular culture or of all human beings
s. applicable to or common to all members of a group or set"
comedian,"n. a professional performer who tells jokes and performs comical acts
n. an actor in a comedy"
distasteful,s. not pleasing in odor or taste
pester,v annoy persistently
dread,"n fearful expectation or anticipation
v be afraid or scared of; be frightened of
s causing fear or dread or terror"
recovery,"n. return to an original state
n. the act of regaining or saving something lost (or in danger of becoming lost)"
plaster,"n. a mixture of lime or gypsum with sand and water; hardens into a smooth solid; used to cover walls and ceilings
n. a surface of hardened plaster (as on a wall or ceiling)
n. adhesive tape used in dressing wounds
v. apply a heavy coat to"
console,"n. a scientific instrument consisting of displays and an input device that an operator can use to monitor and control a system (especially a computer system)
n. an ornamental scroll-shaped bracket (especially one used to support a wall fixture)"
hobble,v. hamper the action or progress of
compensate,"v. adjust for
v. make amends for; pay compensation for
v. make payment to; compensate"
mumble,"n. a soft indistinct utterance
v. talk indistinctly; usually in a low voice
v. grind with the gums; chew without teeth and with great difficulty"
labourer,n someone who works with their hands; someone engaged in manual labor
overnight,"r. during or for the length of one night
r. happening in a short time or with great speed"
hay,"n. grass mowed and cured for use as fodder
v. convert (plant material) into hay"
corn,"n. tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
n. the dried grains or kernels or corn used as animal feed or ground for meal
n. ears of corn that can be prepared and served for human food
n. a hard thickening of the skin (especially on the top or sides of the toes) caused by the pressure of ill-fitting shoes"
moonlight,"n. the light of the Moon
v. work a second job, usually after hours"
conscientious,"s. characterized by extreme care and great effort
a. guided by or in accordance with conscience or sense of right and wrong"
suspect,"n. someone who is under suspicion
v. imagine to be the case or true or probable
v. hold in suspicion; believe to be guilty"
desert,"n. arid land with little or no vegetation
v. leave behind"
regiment,"n. army unit smaller than a division
v. subject to rigid discipline, order, and systematization
v. form (military personnel) into a regiment
v. assign to a regiment"
action,"n. something done (usually as opposed to something said)
n. the state of being active
n. the series of events that form a plot
n. the trait of being active and energetic and forceful"
recluse,s. withdrawn from society; seeking solitude
lovable,a. having characteristics that attract love or affection
eccentric,"n. a person with an unusual or odd personality
a. not having a common center; not concentric"
disregard,"n. lack of attention and due care
n. willful lack of care and attention"
convention,"n. a large formal assembly
n. something regarded as a normative example
n. (diplomacy) an international agreement
n. the act of convening"
conscious,"s. intentionally conceived
a. knowing and perceiving; having awareness of surroundings and sensations and thoughts
s. (followed by `of') showing realization or recognition of something"
invariably,"r without variation or change, in every case"
routine,"n. an unvarying or habitual method or procedure
n. a set sequence of steps, part of larger computer program"
shrewd,"s marked by practical hardheaded intelligence
s used of persons"
eccentricity,"n. strange and unconventional behavior
n. (geometry) a ratio describing the shape of a conic section; the ratio of the distance between the foci to the length of the major axis
n. a circularity that has a different center or deviates from a circular path"
legendary,s. so celebrated as to having taken on the nature of a legend
snob,n. a person regarded as arrogant and annoying
intensely,r. in an intense manner
bedraggled,"s. limp and soiled as if dragged in the mud
s. in deplorable condition"
dump,"n. a piece of land where waste materials are dumped
n. (computer science) a copy of the contents of a computer storage device; sometimes used in debugging programs
n. a place where supplies can be stored
v. throw away as refuse"
apologetic,a. offering or expressing apology
reprimand,v. rebuke formally
stage,"n. a large platform on which people can stand and can be seen by an audience
n. the theater as a profession (usually `the stage')
n. a section or portion of a journey or course
n. any scene regarded as a setting for exhibiting or doing something"
elaborate,"v. add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v. produce from basic elements or sources; change into a more developed product
v. work out in detail
s. marked by complexity and richness of detail"
salvage,"n. property or goods saved from damage or destruction
n. the act of saving goods or property that were in danger of damage or destruction
n. the act of rescuing a ship or its crew or its cargo from a shipwreck or a fire
v. save from ruin, destruction, or harm"
Barents,none
sunken,"v fall or descend to a lower place or level
v cause to sink
v pass into a specified state or condition
v go under, ""The raft sank and its occupants drowned""
v descend into or as if into some soft substance or place
v appear to move downward
v fall heavily or suddenly; decline markedly
v fall or sink heavily
v embed deeply
s having a sunken area"
cargo,n. goods carried by a large vehicle
bullion,"n. a mass of precious metal
n. gold or silver in bars or ingots"
scour,"n. a place that is scoured (especially by running water)
v. examine minutely
v. rub hard or scrub"
chest,n. box with a lid; used for storage; usually large and sturdy
contents,n. a list of divisions (chapters or articles) and the pages on which they start
belongings,"n something owned; any tangible or intangible possession that is owned by someone; 
n happiness felt in a secure relationship
v be owned by; be in the possession of
v be suitable or acceptable
v be in the right place or situation
v be rightly classified in a class or category
v be a member, adherent, inhabitant, etc. (of a group, organization, or place)
v be a part or adjunct"
item,"n. a distinct part that can be specified separately in a group of things that could be enumerated on a list
n. a whole individual unit; especially when included in a list or collection
r. (used when listing or enumerating items) also"
cruiser,"n. a car in which policemen cruise the streets; equipped with radiotelephonic communications to headquarters
n. a large fast warship; smaller than a battleship and larger than a destroyer"
find,"v. come upon, as if by accident; meet with
v. come upon after searching; find the location of something that was missed or lost
v. come to believe on the basis of emotion, intuitions, or indefinite grounds
v. obtain through effort or management"
log book,n. a book in which the log is written
piece,"n. a separate part of a whole
n. an item that is an instance of some type; 
n. an instance of some kind
n. an artistic or literary composition"
convoy,"n. a procession of land vehicles traveling together
n. a collection of merchant ships with an escort of warships
n. the act of escorting while in transit
v. escort in transit"
torpedo,"n. an explosive device that is set off in an oil well (or a gas well) to start or to increase the flow of oil (or gas)
n. a small firework that consists of a percussion cap and some gravel wrapped in paper; explodes when thrown forcefully against a hard surface
n. a small explosive device that is placed on a railroad track and fires when a train runs over it; the sound of the explosion warns the engineer of danger ahead
n. armament consisting of a long cylindrical self-propelled underwater projectile that detonates on contact with a target"
submarine,"n. a submersible warship usually armed with torpedoes
v. move forward or under in a sliding motion
v. throw with an underhand motion
v. bring down with a blow to the legs"
naval,a. connected with or belonging to or used in a navy
ministry,"n. religious ministers collectively (especially Presbyterian)
n. building where the business of a government department is transacted
n. a government department under the direction of a minister
n. the work of a minister of religion"
prelude,"n. music that precedes a fugue or introduces an act in an opera
v. serve as a prelude or opening to
v. play as a prelude"
unforeseen,s not anticipated
series,"n. similar things placed in order or happening one after another
n. a periodical that appears at scheduled times
n. (sports) several contests played successively by the same teams
n. (electronics) connection of components in such a manner that current flows first through one and then through the other"
catastrophe,"n. a state of extreme (usually irremediable) ruin and misfortune
n. a sudden violent change in the earth's surface"
crockery,n. tableware (eating and serving dishes) collectively
suburb,n. a residential district located on the outskirts of a city
collide,"v. cause to collide
v. crash together with violent impact"
learner,n. someone (especially a child) who learns (as from a teacher) or takes up knowledge or beliefs
panic,"n. an overwhelming feeling of fear and anxiety
n. sudden mass fear and anxiety over anticipated events
v. be overcome by a sudden fear
v. cause sudden fear in or fill with sudden panic"
windscreen,n transparent screen (as of glass) to protect occupants of a vehicle
alongside,r side by side
slide,"n. a small flat rectangular piece of glass on which specimens can be mounted for microscopic study
n. (geology) the descent of a large mass of earth or rocks or snow etc.
n. plaything consisting of a sloping chute down which children can slide
n. the act of moving smoothly along a surface while remaining in contact with it"
stray,"n. an animal that has strayed (especially a domestic animal)
v. wander from a direct course or at random
s. (of an animal) having no home or having wandered away from home"
confusion,"n. disorder resulting from a failure to behave predictably
n. a mental state characterized by a lack of clear and orderly thought and behavior
n. a feeling of embarrassment that leaves you confused
n. an act causing a disorderly combination of elements with identities lost and distinctions blended"
greedily,r in a greedy manner
devour,"v. destroy completely
v. enjoy avidly
v. eat immoderately
v. eat greedily"
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
fascination,"n. the state of being intensely interested (as by awe or terror)
n. the capacity to attract intense interest"
forbidding,"n an official prohibition or edict against something
v command against
v keep from happening or arising; make impossible
s harshly uninviting or formidable in manner or appearance
s threatening or foreshadowing evil or tragic developments"
muster,"n. a gathering of military personnel for duty
v. gather or bring together
v. call to duty, military service, jury duty, etc."
pretentious,a. making claim to or creating an appearance of (often undeserved) importance or distinction
labyrinth,"n complex system of paths or tunnels in which it is easy to get lost
n a complex system of interconnecting cavities; concerned with hearing and equilibrium"
musty,"s covered with or smelling of mold
s stale and unclean smelling"
rarity,"n. noteworthy scarcity
n. a rarified quality"
assorted,"s. consisting of a haphazard assortment of different kinds
s. of many different kinds purposefully arranged but lacking any uniformity"
junk,n. any of various Chinese boats with a high poop and lugsails
carve,"v. form by carving
v. engrave or cut by chipping away at a surface
v. cut to pieces"
dagger,"n. a short knife with a pointed blade used for piercing or stabbing
n. a character used in printing to indicate a cross reference or footnote"
litter,"n. the offspring at one birth of a multiparous mammal
n. rubbish carelessly dropped or left about (especially in public places)
n. conveyance consisting of a chair or bed carried on two poles by bearers
v. strew"
dedicated,a. devoted to a cause or ideal or purpose
bargain hunter,none
dealer,"n. a firm engaged in trading
n. a seller of illicit goods
n. the person who distributes the playing cards in a card game"
cherish,v be fond of; be attached to
amply,"r. to an ample degree or in an ample manner
r. sufficiently; more than adequately"
masterpiece,"n. the most outstanding work of a creative artist or craftsman
n. an outstanding achievement"
mere,"n. a small pond of standing water
s. being nothing more than specified"
prise,"v to move or force, especially in an effort to get something open
v make an uninvited or presumptuous inquiry
v regard highly; think much of"
miniature,"n. painting or drawing included in a book (especially in illuminated medieval manuscripts)
n. a copy that reproduces a person or thing in greatly reduced size
s. being on a very small scale"
composition,"n. the spatial property resulting from the arrangement of parts in relation to each other and to the whole
n. a mixture of ingredients
n. an essay (especially one written as an assignment)
n. something that is created by arranging several things to form a unified whole"
justice,"n. the quality of being just or fair
n. judgment involved in the determination of rights and the assignment of rewards and punishments"
court,"n. an assembly (including one or more judges) to conduct judicial business
n. a room in which a lawcourt sits
n. the sovereign and his advisers who are the governing power of a state
n. a specially marked horizontal area within which a game is played"
law,"n. the collection of rules imposed by authority
n. legal document setting forth rules governing a particular kind of activity
n. a rule or body of rules of conduct inherent in human nature and essential to or binding upon human society
n. a generalization that describes recurring facts or events in nature"
innocence,n. a state or condition of being innocent of a specific crime or offense
undertake,"v. enter upon an activity or enterprise
v. accept as a challenge
v. promise to do or accomplish
v. accept as a charge"
arduous,"s. characterized by effort to the point of exhaustion; especially physical effort
s. taxing to the utmost; testing powers of endurance
s. difficult to accomplish; demanding considerable mental effort and skill"
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
concept,n. an abstract or general idea inferred or derived from specific instances
mete out,none
interference,n. (American football) blocking a player's path with your body
accord,"n. concurrence of opinion
n. sympathetic compatibility
v. allow to have"
premises,n. land and the buildings on it
convert,"n. a person who has been converted to another religious or political belief
v. change from one system to another or to a new plan or policy
v. change the nature, purpose, or function of something
v. change religious beliefs, or adopt a religious belief"
disused,s. no longer in use
fireplace,n. an open recess in a wall at the base of a chimney where a fire can be built
muffle,"n. a kiln with an inner chamber for firing things at a low temperature
v. deaden (a sound or noise), especially by wrapping"
chip,"n. a triangular wooden float attached to the end of a log line
n. a piece of dried bovine dung
n. a thin crisp slice of potato fried in deep fat
n. a small disk-shaped counter used to represent money when gambling"
blacken,v. make or become black
emerge,"v. come out into view, as from concealment
v. become known or apparent
v. come up to the surface of or rise"
credulous,"a. disposed to believe on little evidence
s. showing a lack of judgment or experience"
improbable,"a. not likely to be true or to occur or to have occurred
s. having a probability too low to inspire belief
s. too improbable to admit of belief"
obscure,"v. make less visible or unclear
v. make obscure or unclear
v. reduce a vowel to a neutral one, such as a schwa
v. make undecipherable or imperceptible by obscuring or concealing"
maidservant,n a female domestic
presume,"v. constitute reasonable evidence for
v. take liberties or act with too much confidence"
wickedly,r. in a wicked evil manner
plot,"n. a secret scheme to do something (especially something underhand or illegal)
n. a small area of ground covered by specific vegetation
n. the story that is told in a novel or play or movie etc.
n. a chart or map showing the movements or progress of an object"
downfall,n. failure that results in a loss of position or reputation
naive,"a. marked by or showing unaffected simplicity and lack of guile or worldly experience
s. inexperienced"
unacceptable,"s. not adequate to give satisfaction
a. not acceptable; not welcome
s. not conforming to standard usage; `You can access your cash at any of 300 automatic tellers'"""
conspire,"v. engage in plotting or enter into a conspiracy, swear together
v. act in unison or agreement and in secret towards a deceitful or illegal purpose"
incredible,a. beyond belief or understanding
resemblance,n. similarity in appearance or external or superficial details
scorn,"n lack of respect accompanied by a feeling of intense dislike
n open disrespect for a person or thing
v look down on with disdain
v reject with contempt"
acquaint,v. inform
reunite,v. have a reunion; unite again
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
express,"n. mail that is distributed by a rapid and efficient system
n. public transport consisting of a fast train or bus that makes only a few scheduled stops
n. rapid transport of goods
v. give expression to"
punctual,a. acting or arriving or performed exactly at the time appointed
condition,"n. a state at a particular time
n. an assumption on which rests the validity or effect of something else
n. a mode of being or form of existence of a person or thing
n. the state of (good) health (especially in the phrases `in condition' or `in shape' or `out of condition' or `out of shape')"
unshakable,"s marked by firm determination or resolution; not shakable
s without flaws or loopholes"
faith,"n. complete confidence in a person or plan etc
n. loyalty or allegiance to a cause or a person"
cancel,"v. postpone indefinitely or annul something that was scheduled
v. make up for
v. declare null and void; make ineffective
v. make invalid for use"
exceptionally,r. to an exceptional degree
dislocate,"v. move out of position
v. put out of its usual place, position, or relationship"
blame,"n. a reproach for some lapse or misdeed
v. put or pin the blame on
v. harass with constant criticism
v. attribute responsibility to"
consult,"v. get or ask advice from
v. seek information from
v. advise professionally"
direct,"v. command with authority
v. guide the actors in (plays and films)
v. be in charge of
v. give directions to; point somebody into a certain direction"
odd,"a. not divisible by two
s. not easily explained
s. an indefinite quantity more than that specified
s. of the remaining member of a pair, of socks e.g."
reflect,"v. manifest or bring back
v. to throw or bend back (from a surface)
v. be bright by reflecting or casting light
v. show an image of"
advantage,"n. the quality of having a superior or more favorable position
n. (tennis) first point scored after deuce
n. benefit resulting from some event or action
v. give an advantage to"
mighty,"s. having or showing great strength or force or intensity
r. (Southern regional intensive) very; to a great degree"
dawdle,"v take one's time; proceed slowly
v waste time
v hang (back) or fall (behind) in movement, progress, development, etc."
chug,"n. the dull explosive noise made by an engine
v. make a dull, explosive sound"
lodge,"n. English physicist who studied electromagnetic radiation and was a pioneer of radiotelegraphy (1851-1940)
n. small house at the entrance to the grounds of a country mansion; usually occupied by a gatekeeper or gardener
n. a small (rustic) house used as a temporary shelter
n. any of various Native American dwellings"
complaint,"n. (formerly) a loud cry (or repeated cries) of pain or rage or sorrow
n. an expression of grievance or resentment
n. (civil law) the first pleading of the plaintiff setting out the facts on which the claim for relief is based"
triumph,n. the exultation of victory
asterisk,n. a star-shaped character * used in printing
conduct,"v. direct the course of; manage or control
v. lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years""
v. lead musicians in the performance of"
calendar,"n. a system of timekeeping that defines the beginning and length and divisions of the year
n. a list or register of events (appointments or social events or court cases etc)
n. a tabular array of the days (usually for one year)
v. enter into a calendar"
historian,n. a person who is an authority on history and who studies it and writes about it
unique,"s. (followed by `to') applying exclusively to a given category or condition or locality
s. highly unusual or rare but not the single instance"
steadily,"r. at a steady rate or pace
r. in a steady manner"
solely,r without any others being included or involved
video,"n. the visible part of a television transmission
n. (computer science) the appearance of text and graphics on a video display"
CD-ROM,n a compact disk that is used with a computer (rather than with an audio system); a large amount of digital information can be stored and accessed but it cannot be altered by the user
bewilder,v. cause to be confused emotionally
deduce,"v. reason by deduction; establish by deduction
v. conclude by reasoning; in logic"
scanty,"n short underpants for women or children (usually used in the plural)
s lacking in amplitude or quantity"
mammoth,n. any of numerous extinct elephants widely distributed in the Pleistocene; extremely large with hairy coats and long upcurved tusks
