hurdling,"n a footrace in which contestants must negotiate a series of hurdles
v jump a hurdle"
casual,"s. marked by blithe unconcern
s. without or seeming to be without plan or method; offhand
s. appropriate for ordinary or routine occasions
s. occurring or appearing or singled out by chance"
garment,n. an article of clothing
turn ... into,none
advertiser,n. someone whose business is advertising
advert,"n a public promotion of some product or service
v give heed (to)
v make a more or less disguised reference to
v make reference to"
advertisement,n a public promotion of some product or service
inform,"v. impart knowledge of some fact, state or affairs, or event to
v. give character or essence to
v. act as an informer"
association,"n. a formal organization of people or groups of people
n. the act of consorting with or joining with others
n. the state of being connected together as in memory or imagination
n. the process of bringing ideas or events together in memory or imagination"
target,"n. a reference point to shoot at
n. the location of the target that is to be hit
n. sports equipment consisting of an object set up for a marksman or archer to aim at
v. intend (something) to move towards a certain goal"
fit into,none
basis,"n. the fundamental assumptions from which something is begun or developed or calculated or explained
n. the most important or necessary part of something"
technique,n. a practical method or art applied to some particular task
lane,"n. a narrow way or road
n. a well-defined track or path; for e.g. swimmers or lines of traffic"
feature,"n. a prominent attribute or aspect of something
n. the characteristic parts of a person's face: eyes and nose and mouth and chin
n. the principal (full-length) film in a program at a movie theater
n. a special or prominent article in a newspaper or magazine"
conscience,"n. motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions
n. conformity to one's own sense of right conduct
n. a feeling of shame when you do something immoral"
worthy,"n. an important, honorable person (word is often used humorously)
a. having worth or merit or value; being honorable or admirable
s. having qualities or abilities that merit recognition in some way"
corporation,n. a business firm whose articles of incorporation have been approved in some state
budget,"n. a sum of money allocated for a particular purpose
n. a summary of intended expenditures along with proposals for how to meet them
v. make a budget"
expense,"n. amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures)
n. a detriment or sacrifice
n. money spent to perform work and usually reimbursed by an employer
v. reduce the estimated value of something"
broadcast,"n. message that is transmitted by radio or television
n. a radio or television show
v. sow over a wide area, especially by hand"
rely,v have confidence or faith in
rely on,none
visual,"a relating to or using sight
s visible; give me the ocular proof""- Shakespeare"
generate,"v. bring into existence
v. produce (energy)"
response,"n. a result
n. a phrase recited or sung by the congregation following a versicle by the priest or minister
n. the manner in which an electrical or mechanical device responds to an input signal or a range of input signals"
stereo,"n. reproducer in which two microphones feed two or more loudspeakers to give a three-dimensional effect to the sound
n. two photographs taken from slightly different angles that appear three-dimensional when viewed together"
have no use for,none
refresh,"v. make (to feel) fresh
v. make fresh again"
partly,r in part; in some degree; not wholly
murder,"n. unlawful premeditated killing of a human being by a human being
v. kill intentionally and with premeditation"
suitcase,n a portable rectangular container for carrying clothes
sheet,"n. any broad thin expanse or surface
n. paper used for writing or printing
n. bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs
n. a flat artifact that is thin relative to its length and width"
actress,n. a female actor
typist,n. someone paid to operate a typewriter
spokesman,n. a male spokesperson
fluent,s. smooth and unconstrained in movement
hostess,"n. a woman host
n. a woman innkeeper"
invitation,"n. a request (spoken or written) to participate or be present or take part in something
n. a tempting allurement"
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
chairman,"n the officer who presides at the meetings of an organization
v act or preside as chair, as of an academic department in a university"
raise,"n. the amount a salary is increased
n. increasing the size of a bet (as in poker)
v. raise the level or amount of something
v. raise from a lower to a higher position"
dial,"n. the face of a timepiece; graduated to show the hours
n. the control on a radio or television set that is used for tuning
n. the circular graduated indicator on various measuring instruments
n. a disc on a telephone that is rotated a fixed distance for each number called"
operator,"n. (mathematics) a symbol or function representing a mathematical operation
n. an agent that operates some apparatus or machine
n. someone who owns or operates a business
n. a speculator who trades aggressively on stock or commodity markets"
litre,"n a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints)"
liter,"n. a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints)"
mature,"v. develop and reach maturity; undergo maturation
v. develop and work out fully in one's mind
v. become due for repayment
a. characteristic of maturity"
fashion,"n. characteristic or habitual practice
n. the latest and most admired style in clothes and cosmetics and behavior
n. consumer goods (especially clothing) in the current mode
v. make out of components (often in an improvising manner)"
misleading,"v lead someone in the wrong direction or give someone wrong directions
v give false or misleading information to
s designed to deceive or mislead either deliberately or inadvertently"
dishonest,a. deceptive or fraudulent; disposed to cheat or defraud or deceive
alcoholic,"n. a person who drinks alcohol to excess habitually
a. characteristic of or containing alcohol
s. addicted to alcohol"
tobacco,"n. leaves of the tobacco plant dried and prepared for smoking or ingestion
n. aromatic annual or perennial herbs and shrubs"
ban,"n. 100 bani equal 1 leu in Moldova
n. 100 bani equal 1 leu in Romania
n. an official prohibition or edict against something
v. forbid the public distribution of ( a movie or a newspaper)"
promote,"v. contribute to the progress or growth of
v. give a promotion to or assign to a higher position
v. be changed for a superior chess or checker piece
v. change a pawn for a better piece by advancing it to the eighth row, or change a checker piece for a more valuable piece by moving it to the row closest to your opponent"
immoral,a. deliberately violating accepted principles of right and wrong
decent,"s. socially or conventionally correct; refined or virtuous
a. conforming to conventions of sexual behavior
s. decently clothed
s. observing conventional sexual mores in speech or behavior or dress"
ethics,n. the philosophical study of moral values and rules
ethical,"a. of or relating to the philosophical study of ethics
a. conforming to accepted standards of social or professional behavior
s. adhering to ethical and moral principles"
offending,a. offending against or breaking a law or rule
beware,v. be on one's guard; be cautious or wary about; be alert to
consumer,n. a person who uses goods or services
trustworthy,"a. worthy of trust or belief
s. taking responsibility for one's conduct and obligations"
