accomplishment,n. the action of accomplishing something
beverage,n. any liquid suitable for drinking
bold,"a. fearless and daring
s. clear and distinct"
care,"n. the work of providing treatment for or attending to someone or something
n. a cause for feeling concern
n. attention and management implying responsibility for safety
n. activity involved in maintaining something in good working order"
comment,"n. a written explanation or criticism or illustration that is added to a book or other textual material
v. make or write a comment on
v. explain or interpret something"
common,"a. belonging to or participated in by a community as a whole; public
a. having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual
s. common to or shared by two or more parties
s. commonly encountered"
comply,"v. act in accordance with someone's rules, commands, or wishes"
comprise,"v be composed of
v include or contain; have as a component
v form or compose"
conceal,v. hold back; keep from being perceived by others
conduct,"v. direct the course of; manage or control
v. lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years""
v. lead musicians in the performance of"
contour,"n. a line drawn on a map connecting points of equal height
n. a feature (or the order or arrangement of features) of anything having a complex structure
v. form the contours of"
crab,"n. decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers
n. a quarrelsome grouch
n. the edible flesh of any of various crabs
n. a stroke of the oar that either misses the water or digs too deeply"
crumple,"v fall apart
v fold or collapse
v to gather something into small wrinkles or folds
v become wrinkled or crumpled or creased"
depot,"n station where transport vehicles load or unload passengers or goods
n a depository for goods"
deserted,"v leave someone who needs or counts on you; leave in the lurch
v desert (a cause, a country or an army), often in order to join the opposing cause, country, or army
v leave behind
s forsaken by owner or inhabitants"
diagnose,"v. determine or distinguish the nature of a problem or an illness through a diagnostic analysis
v. subject to a medical analysis"
dilate,v. become wider
diversification,"n. the act of introducing variety (especially in investments or in the variety of goods and services offered)
n. the condition of being varied; every day it is the same"""
dot,"n. the shorter of the two telegraphic signals used in Morse code
v. scatter or intersperse like dots or studs
v. make a dot or dots
v. mark with a dot"
effective,"a. producing or capable of producing an intended result or having a striking effect
s. able to accomplish a purpose; functioning effectively
s. works well as a means or remedy
s. exerting force or influence"
expressly,r. with specific intentions; for the express purpose
facility,"n. a building or place that provides a particular service or is used for a particular industry
n. a natural effortlessness
n. something designed and created to serve a particular function and to afford a particular convenience or service
n. a service that an organization or a piece of equipment offers you"
field,"n. a piece of land cleared of trees and usually enclosed
n. somewhere (away from a studio or office or library or laboratory) where practical work is done or data is collected
n. the space around a radiating body within which its electromagnetic oscillations can exert force on another similar body not in contact with it
n. a particular kind of commercial enterprise"
finch,n. any of numerous small songbirds with short stout bills adapted for crushing seeds
frigid,s. devoid of warmth and cordiality; expressive of unfriendliness or disdain
furnace,"n. an enclosed chamber in which heat is produced to heat buildings, destroy refuse, smelt or refine ores, etc."
gasoline,n. a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines
generalize,"v. draw from specific cases for more general cases
v. speak or write in generalities
v. become systemic and spread throughout the body"
given,"n. an assumption that is taken for granted
s. acknowledged as a supposition"
hay,"n. grass mowed and cured for use as fodder
v. convert (plant material) into hay"
hemisphere,"n. half of the terrestrial globe
n. half of a sphere
n. either half of the cerebrum"
hieratic,"n. a cursive form of Egyptian hieroglyphics; used especially by the priests
a. written or belonging to a cursive form of ancient Egyptian writing
s. adhering to fixed types or methods; highly restrained and formal"
imitation,"n. the doctrine that representations of nature or human behavior should be accurate imitations
n. something copied or derived from an original
n. copying (or trying to copy) the actions of someone else"
immature,"a. characteristic of a lack of maturity
a. not yet mature"
impressive,"a. making a strong or vivid impression
s. producing a strong effect"
inheritance,"n. hereditary succession to a title or an office or property
n. that which is inherited; a title or property or estate that passes by law to the heir on the death of the owner
n. (genetics) attributes acquired via biological heredity from the parents
n. any attribute or immaterial possession that is inherited from ancestors"
interactive,"a used especially of drugs or muscles that work together so the total effect is greater than the sum of the two (or more)
s capable of acting on or influencing each other"
lace,"n. a cord that is drawn through eyelets or around hooks in order to draw together two edges (as of a shoe or garment)
n. a delicate decorative fabric woven in an open web of symmetrical patterns
v. do lacework
v. draw through eyes or holes"
latitude,"n. the angular distance between an imaginary line around a heavenly body parallel to its equator and the equator itself
n. freedom from normal restraints in conduct
n. an imaginary line around the Earth parallel to the equator
n. scope for freedom of e.g. action or thought; freedom from restriction"
lay,"v. put in a horizontal position
v. prepare or position for action or operation
v. lay eggs
v. impose as a duty, burden, or punishment"
legislature,n. persons who make or amend or repeal laws
march,"n. the month following February and preceding April
n. the act of marching; walking with regular steps (especially in a procession of some kind)
n. a steady advance
n. a procession of people walking together"
marvel,v. express astonishment or surprise about something
metric,a. based on the meter as a standard of measurement
metropolitan,"n. in the Eastern Orthodox Church this title is given to a position between bishop and patriarch; equivalent to archbishop in western Christianity
n. a person who lives in a metropolis
a. relating to or characteristic of a metropolis"
modeling,n. a preliminary sculpture in wax or clay from which a finished work can be copied
monitor,"n. an ironclad vessel built by Federal forces to do battle with the Merrimac
n. display produced by a device that takes signals and displays them on a television screen or a computer monitor
n. electronic equipment that is used to check the quality or content of electronic transmissions
n. a piece of electronic equipment that keeps track of the operation of a system continuously and warns of trouble"
multiply,"v. combine by multiplication
v. combine or increase by multiplication
r. in several ways; in a multiple manner"
mythical,s based on or told of in traditional stories; lacking factual basis or historical validity
offspring,"n. the immediate descendants of a person
n. something that comes into existence as a result"
pamphlet,"n a small book usually having a paper cover
n a brief treatise on a subject of interest; published in the form of a booklet"
pause,"n. a time interval during which there is a temporary cessation of something
n. temporary inactivity
v. cease an action temporarily"
petition,v. write a petition for something to somebody; request formally and in writing
petroleum,n. a dark oil consisting mainly of hydrocarbons
pharmacy,"n. the art and science of preparing and dispensing drugs and medicines,"
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
priority,n. preceding in time
puzzle,"n. a particularly baffling problem that is said to have a correct solution
n. a game that tests your ingenuity
v. be uncertain about; think about without fully understanding or being able to decide"
recognition,"n. the state or quality of being recognized or acknowledged
n. the process of recognizing something or someone by remembering
n. approval
n. (biology) the ability of one molecule to attach to another molecule that has a complementary shape"
recurring,s. coming back
refraction,n. the change in direction of a propagating wave (light or sound) when passing from one medium to another
retreat,"n. (military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat
n. a place of privacy; a place affording peace and quiet
n. (military) a signal to begin a withdrawal from a dangerous position
n. (military) a bugle call signaling the lowering of the flag at sunset"
reveal,v. disclose directly or through prophets
sanctuary,n. a consecrated place where sacred objects are kept
sketch,"n. preliminary drawing for later elaboration
n. a brief literary description
n. short descriptive summary (of events)
v. make a sketch of"
stanza,n. a fixed number of lines of verse forming a unit of a poem
substantive,"n. any word or group of words functioning as a noun
a. defining rights and duties as opposed to giving the rules by which rights and duties are established"
target,"n. a reference point to shoot at
n. the location of the target that is to be hit
n. sports equipment consisting of an object set up for a marksman or archer to aim at
v. intend (something) to move towards a certain goal"
unity,"n an undivided or unbroken completeness or totality with nothing wanting
n the smallest whole number or a numeral representing this number
n the quality of being united into one"
unravel,v. become or cause to become undone by separating the fibers or threads of
veil,"n. a membranous covering attached to the immature fruiting body of certain mushrooms
v. to obscure, or conceal with or as if with a veil"
abrasion,"n. an abraded area where the skin is torn or worn off
n. erosion by friction"
absenteeism,n. habitual absence from work
acclaim,"n. enthusiastic approval
v. praise vociferously"
astronomy,n. the branch of physics that studies celestial bodies and the universe as a whole
boundary,"n. the line or plane indicating the limit or extent of something
n. a line determining the limits of an area"
brass,"n. an alloy of copper and zinc
n. a wind instrument that consists of a brass tube (usually of variable length) that is blown by means of a cup-shaped or funnel-shaped mouthpiece
n. an ornament or utensil made of brass
n. a memorial made of brass"
candidate,n. someone who is considered for something (for an office or prize or honor etc.)
coincide,"v. go with, fall together
v. be the same"
colony,"n. a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government
n. a group of organisms of the same type living or growing together
n. one of the 13 British colonies that formed the original states of the United States
n. a place where a group of people with the same interest or occupation are concentrated"
comic,a. of or relating to or characteristic of comedy
comprehensive,"a. including all or everything
s. broad in scope"
concave,a. curving inward
cooperation,"n. joint operation or action
n. the practice of cooperating"
curious,"s. beyond or deviating from the usual or expected
a. eager to investigate and learn or learn more (sometimes about others' concerns)
s. having curiosity aroused; eagerly interested in learning more"
decode,v. convert code into ordinary language
demanding,a. requiring more than usually expected or thought due; especially great patience and effort and skill
designate,"v. assign a name or title to
s. appointed but not yet installed in office"
diversity,n. the condition or result of being changeable
dogged,s. stubbornly unyielding
donation,"n a voluntary gift (as of money or service or ideas) made to some worthwhile cause
n act of giving in common with others for a common purpose especially to a charity"
dormitory,"n. a college or university building containing living quarters for students
n. a large sleeping room containing several beds"
drain,"n. emptying something accomplished by allowing liquid to run out of it
n. tube inserted into a body cavity (as during surgery) to remove unwanted material
n. a pipe through which liquid is carried away
n. a gradual depletion of energy or resources"
drowsy,"s. half asleep
s. showing lack of attention or boredom"
edge,"n. the boundary of a surface
n. a sharp side formed by the intersection of two surfaces of an object
n. the attribute of urgency in tone of voice
n. a slight competitive advantage"
efficiency,"n. the ratio of the output to the input of any system
n. skillfulness in avoiding wasted time and effort"
elevation,"n. the event of something being raised upward
n. angular distance above the horizon (especially of a celestial object)
n. distance of something above a reference point (such as sea level)"
elongate,"v. make long or longer by pulling and stretching
s. having notably more length than width; being long and slender"
employ,"n the state of being employed or having a job
v put into service; make work or employ for a particular purpose or for its inherent or natural purpose
v engage or hire for work"
erupt,"v. start abruptly
v. erupt or intensify suddenly
v. start to burn or burst into flames
v. break out"
extinct,"a. no longer in existence; lost or especially having died out leaving no living representatives
a. (of e.g. volcanos) permanently inactive
s. being out or having grown cold"
fraction,"n. a component of a mixture that has been separated by a fractional process
n. a small part or item forming a piece of a whole
n. the quotient of two rational numbers"
galaxy,"n. a splendid assemblage (especially of famous people)
n. (astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust"
grace,"n. (Christian theology) a state of sanctification by God; the state of one who is under such divine influence
n. elegance and beauty of movement or expression
n. a disposition to kindness and compassion
n. (Greek mythology) one of three sisters who were the givers of beauty and charm; a favorite subject for sculptors"
hitherto,r used in negative statement to describe a situation that has existed up to this point or up to the present time
idle,"n. the state of an engine or other mechanism that is idling
v. run disconnected or idle
v. be idle; exist in a changeless situation
a. not in action or at work"
inanity,n. total lack of meaning or ideas
ingredient,"n. a component of a mixture or compound
n. food that is a component of a mixture in cooking"
insulin,n. hormone secreted by the isles of Langerhans in the pancreas; regulates storage of glycogen in the liver and accelerates oxidation of sugar in cells
interfere,v. come between so as to be hindrance or obstacle
invitation,"n. a request (spoken or written) to participate or be present or take part in something
n. a tempting allurement"
inviting,a. attractive and tempting
involve,"v. connect closely and often incriminatingly
v. engage as a participant
v. contain as a part
v. occupy or engage the interest of"
item,"n. a distinct part that can be specified separately in a group of things that could be enumerated on a list
n. a whole individual unit; especially when included in a list or collection
r. (used when listing or enumerating items) also"
keyboard,"n. device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like
n. holder consisting of an arrangement of hooks on which keys or locks can be hung"
lettuce,"n. any of various plants of the genus Lactuca
n. leaves of any of various plants of Lactuca sativa"
magnetic,"a. of or relating to or caused by magnetism
a. having the properties of a magnet; i.e. of attracting iron or steel
a. capable of being magnetized
a. determined by earth's magnetic fields"
mason,"n. American Revolutionary leader from Virginia whose objections led to the drafting of the Bill of Rights (1725-1792)
n. English film actor (1909-1984)
n. English writer (1865-1948)
n. a craftsman who works with stone or brick"
meantime,"n the time between one event, process, or period and another
r during the intervening time"
merchant,n. a businessperson engaged in retail trade
metallic,"n. a fabric made of a yarn that is partly or entirely of metal
n. a yarn made partly or entirely of metal
a. containing or made of or resembling or characteristic of a metal"
military,"n. the military forces of a nation
a. of or relating to the study of the principles of warfare
a. characteristic of or associated with soldiers or the military
a. associated with or performed by members of the armed services as contrasted with civilians"
mode,"n. a particular functioning condition or arrangement
n. any of various fixed orders of the various diatonic notes within an octave
n. the most frequent value of a random variable"
monastery,n. the residence of a religious community
narrative,"n. a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
s. consisting of or characterized by the telling of a story"
nourish,v. provide with nourishment
optimistic,a. expecting the best in this best of all possible worlds
ornithology,n. the branch of zoology that studies birds
overnight,"r. during or for the length of one night
r. happening in a short time or with great speed"
pale,"v. turn pale, as if in fear
s. very light colored; highly diluted with white
s. (of light) lacking in intensity or brightness; dim or feeble
s. lacking in vitality or interest or effectiveness"
penetrate,"v. pass into or through, often by overcoming resistance
v. come to understand
v. make one's way deeper into or through
v. insert the penis into the vagina or anus of"
prominent,"s having a quality that thrusts itself into attention
s conspicuous in position or importance"
proposal,"n. something proposed (such as a plan or assumption)
n. the act of making a proposal"
qualify,"v. prove capable or fit; meet requirements
v. pronounce fit or able
v. make more specific
v. make fit or prepared"
realm,"n a domain in which something is dominant
n the domain ruled by a king or queen
n a knowledge domain that you are interested in or are communicating about"
rug,n. floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
sac,n. a structure resembling a bag in an animal
satiric,s exposing human folly to ridicule
separate,"n. a garment that can be purchased separately and worn in combinations with other garments
v. act as a barrier between; stand between
v. force, take, or pull apart
v. divide into components or constituents"
shed,"n. an outbuilding with a single story; used for shelter or storage
v. get rid of
v. cast off hair, skin, horn, or feathers"
smother,"n. a stifling cloud of smoke
v. envelop completely
v. deprive of oxygen and prevent from breathing
v. conceal or hide"
so-called,s doubtful or suspect
sore,n. an open skin infection
suspend,"v. hang freely
v. cause to be held in suspension in a fluid
v. bar temporarily; from school, office, etc.
v. make inoperative or stop"
sustain,"v. supply with necessities and support
v. admit as valid"
swarm,n. a group of many things in the air or on the ground
sweat,"n. condensation of moisture on a cold surface
v. excrete perspiration through the pores in the skin"
through,"s. (of a route or journey etc.) continuing without requiring stops or changes
r. from beginning to end
r. over the whole distance
r. to completion"
translucent,s. allowing light to pass through diffusely
untamed,a in a natural state; not tamed or domesticated or cultivated
X-ray,"v. examine by taking x-rays
v. take an x-ray of something or somebody"
awake,a. not in a state of sleep; completely conscious
code,"n. a set of rules or principles or laws (especially written ones)
n. a coding system used for transmitting messages requiring brevity or secrecy
n. (computer science) the symbolic arrangement of data or instructions in a computer program or the set of such instructions
v. attach a code to"
commercial,"n. a commercially sponsored ad on radio or television
a. connected with or engaged in or sponsored by or used in commerce or commercial enterprises
a. of or relating to commercialism
s. of the kind or quality used in commerce; average or inferior"
compliment,"n. a remark (or act) expressing praise and admiration
v. say something to someone that expresses praise
v. express respect or esteem for"
concert,"n. a performance of music by players or singers not involving theatrical staging
v. contrive (a plan) by mutual agreement
v. settle by agreement"
convey,"v. make known; pass on, of information
v. transfer to another
v. transmit a title or property"
deadly,"s. causing or capable of causing death
s. of an instrument of certain death
s. extremely poisonous or injurious; producing venom
s. involving loss of divine grace or spiritual death"
decline,"n. change toward something smaller or lower
n. a condition inferior to an earlier condition; a gradual falling off from a better state
v. grow smaller
v. go down"
devise,"n. a will disposing of real property
n. (law) a gift of real property by will
v. give by will, especially real property"
differentiate,"v. calculate a derivative; take the derivative
v. become different during development
v. become distinct and acquire a different character"
dilute,v. lessen the strength or flavor of a solution or mixture
dismal,s causing dejection
display,"n. something intended to communicate a particular impression
n. something shown to the public
n. a visual representation of something
n. behavior that makes your feelings public"
donate,v. give to a charity or good cause
dubious,s. not convinced
durable,"s. existing for a long time
s. capable of withstanding wear and tear and decay
s. very long lasting"
dye,"n. a usually soluble substance for staining or coloring e.g. fabrics or hair
v. color with dye"
elm,"n. any of various trees of the genus Ulmus: important timber or shade trees
n. hard tough wood of an elm tree; used for e.g. implements and furniture"
emotional,"a. determined or actuated by emotion rather than reason
a. of more than usual emotion
a. of or pertaining to emotion"
entrance,"n. something that provides access (to get in or get out)
n. a movement into or inward
n. the act of entering
v. put into a trance"
environmental,"a. of or relating to the external conditions or surroundings
a. concerned with the ecological effects of altering the environment"
exterior,a. situated in or suitable for the outdoors or outside of a building
extremity,"n. an external body part that projects from the body
n. an extreme condition or state (especially of adversity or disease)
n. the greatest or utmost degree"
faint,"n. a spontaneous loss of consciousness caused by insufficient blood to the brain
v. pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain
s. deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc
s. lacking strength or vigor"
formation,"n. an arrangement of people or things acting as a unit
n. the act of fabricating something in a particular shape
n. a particular spatial arrangement
n. natural process that causes something to form"
genre,"n. a kind of literary or artistic work
n. a class of art (or artistic endeavor) having a characteristic form or technique"
gravel,"n. rock fragments and pebbles
v. cover with gravel"
hardy,"n. United States slapstick comedian who played the pompous and overbearing member of the Laurel and Hardy duo who made many films (1892-1957)
n. English novelist and poet (1840-1928)
s. having rugged physical strength; inured to fatigue or hardships
s. able to survive under unfavorable weather conditions"
hemp,n. a plant fiber
impose,"v compel to behave in a certain way
v impose something unpleasant
v impose and collect"
incinerate,v. become reduced to ashes
incompatible,"a. not compatible
a. incapable of being used with or connected to other devices or components without modification
s. used especially of solids or solutions; incapable of blending into a stable homogeneous mixture"
inevitably,r. in such a manner as could not be otherwise
inherent,"s existing as an essential constituent or characteristic
s in the nature of something though not readily apparent"
inhibit,"v. limit the range or extent of
v. limit, block, or decrease the action or function of
v. control and refrain from showing; of emotions, desires, impulses, or behavior"
intentionally,r. with intention; in an intentional manner
justice,"n. the quality of being just or fair
n. judgment involved in the determination of rights and the assignment of rewards and punishments"
kennel,"n. outbuilding that serves as a shelter for a dog
v. put up in a kennel"
librarian,n. a professional person trained in library science and engaged in library services
lodge,"n. English physicist who studied electromagnetic radiation and was a pioneer of radiotelegraphy (1851-1940)
n. small house at the entrance to the grounds of a country mansion; usually occupied by a gatekeeper or gardener
n. a small (rustic) house used as a temporary shelter
n. any of various Native American dwellings"
mast,"n. a vertical spar for supporting sails
n. nuts of forest trees (as beechnuts and acorns) accumulated on the ground
n. nuts of forest trees used as feed for swine
n. any sturdy upright pole"
mercy,"n. something for which to be thankful
n. alleviation of distress; showing great kindness toward the distressed"
modest,"a. marked by simplicity; having a humble opinion of yourself
s. not large but sufficient in size or amount
s. free from pomp or affectation
a. not offensive to sexual mores in conduct or appearance"
naval,a. connected with or belonging to or used in a navy
needy,"n. needy people collectively
s. demanding or needing attention, affection, or reassurance to an excessive degree"
noxious,a. injurious to physical or mental health
opponent,s. characterized by active hostility
optional,a. possible but not necessary; left to personal choice
ore,"n. a mineral that contains metal that is valuable enough to be mined
n. a monetary subunit in Denmark and Norway and Sweden; 100 ore equal 1 krona"
pants,"n underpants worn by women
n the noise made by a short puff of steam (as from an engine)
n (usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately
n a short labored intake of breath with the mouth open
v breathe noisily, as when one is exhausted
v utter while panting, as if out of breath"
part-time,a. involving less than the standard or customary time for an activity
permit,"n. large game fish; found in waters of the West Indies
v. consent to, give permission"
photography,"n. the act of taking and printing photographs
n. the process of producing images of objects on photosensitive surfaces
n. the occupation of taking and printing photographs or making movies"
popular,"a. regarded with great favor, approval, or affection especially by the general public
s. carried on by or for the people (or citizens) at large
s. (of music or art) new and of general appeal (especially among young people)"
posit,"n (logic) a proposition that is accepted as true in order to provide a basis for logical reasoning
v put (something somewhere) firmly
v put before
v take as a given; assume as a postulate or axiom"
precise,a. sharply exact or accurate or delimited
provision,"n. a stipulated condition
n. the activity of supplying or providing something
n. a store or supply of something (especially of food or clothing or arms)
v. supply with provisions"
quantify,"v. use as a quantifier
v. express as a number or measure or quantity"
receiver,"n. set that receives radio or tv signals
n. the tennis player who receives the serve
n. a football player who catches (or is supposed to catch) a forward pass"
recharge,"v. load anew
v. charge anew"
rendition,"n. a performance of a musical composition or a dramatic role etc.
n. handing over prisoners to countries where torture is allowed
n. the act of interpreting something as expressed in an artistic performance"
reproduce,"v. make a copy or equivalent of
v. have offspring or produce more individuals of a given animal or plant
v. recreate a sound, image, idea, mood, atmosphere, etc."
rub,"n. the act of rubbing or wiping
v. move over something with pressure
v. cause friction
v. scrape or rub as if to relieve itching"
sacred,"a. concerned with religion or religious purposes
s. worthy of respect or dedication
s. (often followed by `to') devoted exclusively to a single use or purpose or person"
scene,"n. the place where some action occurs
n. an incident (real or imaginary)
n. a consecutive series of pictures that constitutes a unit of action in a film
n. a subdivision of an act of a play"
secrete,"v. generate and separate from cells or bodily fluids
v. place out of sight; keep secret"
sedentary,s. requiring sitting or little activity
seem,"v. appear to exist
v. appear to one's own mind or opinion"
settlement,"n. a conclusive resolution of a matter and disposition of it
n. something settled or resolved; the outcome of decision making
n. an area where a group of families live together"
shatter,"v. break into many pieces
v. damage or destroy
v. cause to break into many pieces"
significance,"n. the quality of being significant
n. a meaning that is not expressly stated but can be inferred"
sour,"n. a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar
n. the taste experience when vinegar or lemon juice is taken into the mouth
v. go sour or spoil
v. make sour or more sour"
staple,"n. a natural fiber (raw cotton, wool, hemp, flax) that can be twisted to form yarn
n. a short U-shaped wire nail for securing cables
n. paper fastener consisting of a short length of U-shaped wire that can fasten papers together
v. secure or fasten with a staple or staples"
startling,s. so remarkably different or sudden as to cause momentary shock or alarm
stellar,a. being or relating to or resembling or emanating from stars
successive,s in regular succession without gaps
tantalizing,"s. arousing desire or expectation for something unattainable or mockingly out of reach
s. very pleasantly inviting"
tectonics,n. the branch of geology studying the folding and faulting of the earth's crust
torpor,n. a state of motor and mental inactivity with a partial suspension of sensibility
trigger,"n. a device that activates or releases or causes something to happen
n. an act that sets in motion some course of events
v. release or pull the trigger on"
absorption,"n. (chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid
n. (physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium"
accomplish,"v put in effect
v to gain with effort"
adjunct,"n. something added to another thing but not an essential part of it
n. a person who is an assistant or subordinate to another
n. a construction that can be used to extend the meaning of a word or phrase but is not one of the main constituents of a sentence"
appointment,"n. the act of putting a person into a non-elective position
n. (usually plural) furnishings and equipment (especially for a ship or hotel)
n. the job to which you are (or hope to be) appointed
n. (law) the act of disposing of property by virtue of the power of appointment"
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
archaeology,n the branch of anthropology that studies prehistoric people and their cultures
attribute,n. an abstraction belonging to or characteristic of an entity
barter,"n. an equal exchange
v. exchange goods without involving money"
besiege,"v. surround so as to force to give up
v. cause to feel distressed or worried
v. harass, as with questions or requests"
boost,"n. the act of giving hope or support to someone
n. the act of giving a push
v. give a boost to; be beneficial to
v. increase or raise"
bouquet,"n. an arrangement of flowers that is usually given as a present
n. a pleasingly sweet olfactory property"
broadcast,"n. message that is transmitted by radio or television
n. a radio or television show
v. sow over a wide area, especially by hand"
calm,"v. make calm or still
v. become quiet or calm, especially after a state of agitation
s. not agitated; without losing self-possession
a. (of weather) free from storm or wind"
chief,s. most important element
collision,"n. (physics) a brief event in which two or more bodies come together
n. an accident resulting from violent impact of a moving object
n. a conflict of opposed ideas or attitudes or goals"
conflict,"n. an open clash between two opposing groups (or individuals)
n. opposition between two simultaneous but incompatible feelings
n. a state of opposition between persons or ideas or interests
n. an incompatibility of dates or events"
continent,"n. one of the large landmasses of the earth
n. the European mainland
a. having control over urination and defecation"
convict,"n. a person serving a sentence in a jail or prison
n. a person who has been convicted of a criminal offense
v. find or declare guilty"
cookout,n. an informal meal cooked and eaten outdoors
critical,"a. marked by a tendency to find and call attention to errors and flaws
a. at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction
a. characterized by careful evaluation and judgment
s. urgently needed; absolutely necessary"
cylinder,"n. a solid bounded by a cylindrical surface and two parallel planes (the bases)
n. a surface generated by rotating a parallel line around a fixed line
n. a chamber within which piston moves
n. a cylindrical container for oxygen or compressed air"
decay,"n. the process of gradually becoming inferior
n. a gradual decrease; as of stored charge or current
n. the organic phenomenon of rotting
n. an inferior state resulting from the process of decaying"
derive,"v. obtain
v. come from
v. develop or evolve from a latent or potential state
v. come from; be connected by a relationship of blood, for example"
dessert,n. a dish served as the last course of a meal
dispersal,n the act of dispersing or diffusing something
domesticate,"v. adapt (a wild plant or unclaimed land) to the environment
v. overcome the wildness of; make docile and tractable
v. make fit for cultivation, domestic life, and service to humans"
drag,"n. the phenomenon of resistance to motion through a fluid
n. something that slows or delays progress
n. something tedious and boring
n. clothing that is conventionally worn by the opposite sex (especially women's clothing when worn by a man)"
due,"n. that which is deserved or owed
n. a payment that is due (e.g., as the price of membership)
a. owed and payable immediately or on demand
s. scheduled to arrive"
elicit,v. derive by reason
escape,"n. the act of escaping physically
n. an inclination to retreat from unpleasant realities through diversion or fantasy
n. an avoidance of danger or difficulty
n. a means or way of escaping"
eviscerate,"v. remove the contents of
v. take away a vital or essential part of
s. having been disembowelled"
fin,"n. a stabilizer on a ship that resembles the fin of a fish
n. organ of locomotion and balance in fishes and some other aquatic animals
v. equip (a car) with fins
v. propel oneself through the water in a finning motion"
format,"n. the organization of information according to preset specifications (usually for computer processing)
n. the general appearance of a publication
v. set (printed matter) into a specific format
v. determine the arrangement of (data) for storage and display (in computer science)"
gorilla,n. largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa
healthful,a. conducive to good health of body or mind
hide,"n. the dressed skin of an animal (especially a large animal)
n. body covering of a living animal
v. prevent from being seen or discovered
v. be or go into hiding; keep out of sight, as for protection and safety"
hinterland,n a remote and undeveloped area
hypothesize,v to believe especially on uncertain or tentative grounds
ignorant,"s. uneducated in general; lacking knowledge or sophistication
s. uneducated in the fundamentals of a given art or branch of learning; lacking knowledge of a specific field
s. unaware because of a lack of relevant information or knowledge"
integral,"n. the result of a mathematical integration; F(x) is the integral of f(x) if dF/dx = f(x)
s. constituting the undiminished entirety; lacking nothing essential especially not damaged
a. of or denoted by an integer"
lash,"n. leather strip that forms the flexible part of a whip
v. lash or flick about sharply
v. bind with a rope, chain, or cord"
layout,"n. a plan or design of something that is laid out
n. the act of laying out (as by making plans for something)"
locally,"r. by a particular locality
r. to a restricted area of the body"
lure,n. qualities that attract by seeming to promise some kind of reward
magnet,n. (physics) a device that attracts iron and produces a magnetic field
minute,"n. a unit of time equal to 60 seconds or 1/60th of an hour
n. a unit of angular distance equal to a 60th of a degree
n. a short note
s. characterized by painstaking care and detailed examination"
modem,n. (from a combination of MOdulate and DEModulate) electronic equipment consisting of a device used to connect computers by a telephone line
neuron,n a cell that is specialized to conduct nerve impulses
noticeable,"a. capable or worthy of being perceived
s. readily noticed"
notwithstanding,r despite anything to the contrary (usually following a concession)
opposite,"s. being directly across from each other; facing
a. of leaves etc; growing in pairs on either side of a stem
s. moving or facing away from each other
s. the other one of a complementary pair"
overlap,"n. a representation of common ground between theories or phenomena
n. the property of partial coincidence in time
v. coincide partially or wholly
v. extend over and cover a part of"
periphery,n. the outside boundary or surface of something
prairie,n. a treeless grassy plain
predator,n. any animal that lives by preying on other animals
predict,v. make a prediction about; tell in advance
predictable,a. capable of being foretold
prehistoric,"s. belonging to or existing in times before recorded history
a. of or relating to times before written history
s. no longer fashionable"
previous,"s. just preceding something else in time or order
s. too soon or too hasty"
primitive,"n. a person who belongs to an early stage of civilization
n. a mathematical expression from which another expression is derived
n. a word serving as the basis for inflected or derived forms
s. used of preliterate or tribal or nonindustrial societies"
prodigious,"s so great in size or force or extent as to elicit awe
s of momentous or ominous significance
s far beyond what is usual in magnitude or degree"
professional,"n. a person engaged in one of the learned professions
n. an athlete who plays for pay
a. engaged in a profession or engaging in as a profession or means of livelihood
a. of or relating to or suitable as a profession"
ration,"n. the food allowance for one day (especially for service personnel)
n. a fixed portion that is allotted (especially in times of scarcity)
v. restrict the consumption of a relatively scarce commodity, as during war
v. distribute in rations, as in the army"
raven,"n. large black bird with a straight bill and long wedge-shaped tail
v. obtain or seize by violence
v. prey on or hunt for
v. feed greedily"
