shouter,n someone who communicates vocally in a very loud voice
suspend,"v. hang freely
v. cause to be held in suspension in a fluid
v. bar temporarily; from school, office, etc.
v. make inoperative or stop"
charm,"n. something believed to bring good luck
n. (physics) one of the six flavors of quark
v. control by magic spells, as by practicing witchcraft
v. protect through supernatural powers or charms"
trim,"n. a state of arrangement or appearance
n. attitude of an aircraft in flight when allowed to take its own orientation
n. cutting down to the desired size or shape
v. decorate, as with ornaments"
crop,"n. the yield from plants in a single growing season
n. a cultivated plant that is grown commercially on a large scale
n. a collection of people or things appearing together
n. the output of something in a season"
overreaching,s. revealing excessive self-confidence; reaching for the heights
paradox,n. (logic) a statement that contradicts itself
paradoxical,s. seemingly contradictory but nonetheless possibly true
discontented,a. showing or experiencing dissatisfaction or restless longing
institution,"n. an organization founded and united for a specific purpose
n. an establishment consisting of a building or complex of buildings where an organization for the promotion of some cause is situated
n. a custom that for a long time has been an important feature of some group or society"
desirable,"a. worth having or seeking or achieving
s. worthy of being chosen especially as a spouse"
expectation,"n. belief about (or mental picture of) the future
n. the feeling that something is about to happen"
liability,"n. the state of being legally obliged and responsible
n. the quality of being something that holds you back"
liable,"s. subject to legal action
s. (often followed by `to') likely to be affected with
s. held legally responsible"
asset,n. a useful or valuable quality
anymore,r. at the present or from now on; usually used with a negative
yarn,v. tell or spin a yarn
plug,"n. blockage consisting of an object designed to fill a hole tightly
n. an electrical device with two or three pins that is inserted in a socket to make an electrical connection
v. fill or close tightly with or as if with a plug
v. persist in working hard"
bond,"n. a certificate of debt (usually interest-bearing or discounted) that is issued by a government or corporation in order to raise money; the issuer is required to pay a fixed sum annually until maturity and then a fixed sum to repay the principal
n. a superior quality of strong durable white writing paper; originally made for printing documents
n. United States civil rights leader who was elected to the legislature in Georgia but was barred from taking his seat because he opposed the Vietnam War (born 1940)
n. British secret operative 007 in novels by Ian Fleming"
functional,"a. designed for or capable of a particular function or use
a. involving or affecting function rather than physiology
a. relating to or based on function especially as opposed to structure; it is a functional one""
s. fit or ready for use or service"
affectional,s. characterized by emotion
affection,n. a positive feeling of liking
desertion,n. withdrawing support or help despite allegiance or responsibility
trap,"n. a device in which something (usually an animal) can be caught and penned
n. drain consisting of a U-shaped section of drainpipe that holds liquid and so prevents a return flow of sewer gas
n. something (often something deceptively attractive) that catches you unawares
n. a device to hurl clay pigeons into the air for trapshooters"
order,"n. (often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed
n. a degree in a continuum of size or quantity
n. established customary state (especially of society)
n. a commercial document used to request someone to supply something in return for payment and providing specifications and quantities"
intimacy,"n close or warm friendship
n a usually secretive or illicit sexual relationship
n a feeling of being intimate and belonging together"
intimate,"v. give to understand
s. marked by close acquaintance, association, or familiarity
s. involved in a sexual relationship
s. thoroughly acquainted through study or experience"
dissatisfaction,n. the feeling of being displeased and discontent
improvement,"n. a change for the better; progress in development
n. the act of improving something
n. a condition superior to an earlier condition"
way,"n. the condition of things generally
n. a course of conduct
n. any artifact consisting of a road or path affording passage from one place to another
n. a journey or passage"
rural,"a. living in or characteristic of farming or country life
a. of or relating to the countryside as opposed to the city"
rotten,s. having decayed or disintegrated; usually implies foulness
familiarity,"n. usualness by virtue of being familiar or well known
n. close or warm friendship
n. an act of undue intimacy"
respect,"n. (usually preceded by `in') a detail or point
n. an attitude of admiration or esteem
v. regard highly; think much of
v. show respect towards"
incidence,"n. the relative frequency of occurrence of something
n. the striking of a light beam on a surface"
participative,a. Capable of participating.
layman,n. someone who is not a clergyman or a professional person
passive,"a. lacking in energy or will
s. peacefully resistant in response to injustice
a. expressing that the subject of the sentence is the patient of the action denoted by the verb"
changer,n. a person who changes something
medium,"n. a means or instrumentality for storing or communicating information
n. the surrounding environment
n. an intervening substance through which signals can travel as a means for communication
n. a liquid with which pigment is mixed by a painter"
mass media,none
segment,"n. one of the parts into which something naturally divides
v. divide into segments
v. divide or split up"
activism,n. a policy of taking direct and militant action to achieve a political or social goal
rebellion,"n. refusal to accept some authority or code or convention
n. organized opposition to authority; a conflict in which one faction tries to wrest control from another"
engender,v. call forth
assess,"v. charge (a person or a property) with a payment, such as a tax or a fine
v. estimate the value of (property) for taxation"
increment,"n a process of becoming larger or longer or more numerous or more important
n the amount by which something increases"
resist,"v. stand up or offer resistance to somebody or something
v. withstand the force of something
v. resist immunologically the introduction of some foreign tissue or organ
v. refuse to comply"
resistance,"n. the action of opposing something that you disapprove or disagree with
n. any mechanical force that tends to retard or oppose motion
n. the military action of resisting the enemy's advance
n. the capacity of an organism to defend itself against harmful environmental agents"
mobilize,"v. make ready for action or use
v. get ready for war
v. cause to move around"
organizational,a. of or relating to an organization
reform,"n. a change for the better as a result of correcting abuses
n. a campaign aimed to correct abuses or malpractices
n. self-improvement in behavior or morals by abandoning some vice
v. make changes for improvement in order to remove abuse and injustices"
e.g.,r as an example
arrangement,"n. an orderly grouping (of things or persons) considered as a unit; the result of arranging
n. an organized structure for arranging or classifying
n. the act of arranging and adapting a piece of music"
component,"n. an abstract part of something
n. an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system"
romance,"n. the group of languages derived from Latin
n. a novel dealing with idealized events remote from everyday life
v. have a love affair with
v. tell romantic or exaggerated lies"
esthetic,"n (philosophy) a philosophical theory as to what is beautiful
a concerning or characterized by an appreciation of beauty or good taste
a relating to or dealing with the subject of aesthetics
s aesthetically pleasing"
victimize,"v. make a victim of
v. punish unjustly
v. deprive of by deceit"
fulfill,"v put in effect
v meet the requirements or expectations of
v fill or meet a want or need"
frontier,"n. a wilderness at the edge of a settled area of a country
n. an international boundary or the area (often fortified) immediately inside the boundary
n. an undeveloped field of study; a topic inviting research and development"
exploration,"n. to travel for the purpose of discovery
n. a careful systematic search
n. a systematic consideration"
seemingly,r from appearances alone
limitless,"s without limits in extent or size or quantity
a having no limits in range or scope
s seemingly boundless in amount, number, degree, or especially extent"
when it comes to,none
for that matter,none
the other way round,none
in every respect,none
in some respects,none
in terms of,none
bring about,none
can't help but,none
take pains,none
take great pains with,none
take great pains to do,none
welfare,"n governmental provision of economic assistance to persons in need
n something that aids or promotes well-being
n a contented state of being happy and healthy and prosperous"
ideological,"a. of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation
s. concerned with or suggestive of ideas"
ideology,n. imaginary or visionary theorization
alienate,v. make withdrawn or isolated or emotionally dissociated
submit,"v. refer for judgment or consideration
v. put before
v. yield to the control of another
v. yield to another's wish or opinion"
continuous,"a. continuing in time or space without interruption
a. of a function or curve; extending without break or irregularity"
breast,"n. the front of the trunk from the neck to the abdomen
n. either of two soft fleshy milk-secreting glandular organs on the chest of a woman
n. meat carved from the breast of a fowl
n. the part of an animal's body that corresponds to a person's chest"
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
bureaucracy,"n. nonelective government officials
n. a government that is administered primarily by bureaus that are staffed with nonelective officials
n. any organization in which action is obstructed by insistence on unnecessary procedures and red tape"
fringe,"n. one of the light or dark bands produced by the interference and diffraction of light
n. a social group holding marginal or extreme views
n. an ornamental border consisting of short lengths of hanging threads or tassels
v. adorn with a fringe"
ventilate,"v. expose to the circulation of fresh air so as to retard spoilage
v. circulate through and freshen
v. furnish with an opening to allow air to circulate or gas to escape"
automate,v make automatic or control or operate automatically
automation,"n. the act of implementing the control of equipment with advanced technology; usually involving electronic hardware
n. the condition of being automatically operated or controlled
n. equipment used to achieve automatic control or operation"
installment,"n. a payment of part of a debt; usually paid at regular intervals
n. a part of a published serial"
subordinate,"n. an assistant subject to the authority or control of another
v. rank or order as less important or consider of less value
v. make subordinate, dependent, or subservient
a. lower in rank or importance"
originate,"v. come into existence; take on form or shape
v. bring into being
v. begin a trip at a certain point, as of a plane, train, bus, etc."
commodity,n. articles of commerce
organic,"n. a fertilizer that is derived from animal or vegetable matter
a. relating or belonging to the class of chemical compounds having a carbon basis
a. being or relating to or derived from or having properties characteristic of living organisms
a. involving or affecting physiology or bodily organs"
destruction,"n. the termination of something by causing so much damage to it that it cannot be repaired or no longer exists
n. an event (or the result of an event) that completely destroys something"
consumer,n. a person who uses goods or services
transformation,"n. a qualitative change
n. (mathematics) a function that changes the position or direction of the axes of a coordinate system
n. a rule describing the conversion of one syntactic structure into another related syntactic structure"
differentiate,"v. calculate a derivative; take the derivative
v. become different during development
v. become distinct and acquire a different character"
monster,"n. an imaginary creature usually having various human and animal parts
n. a cruel wicked and inhuman person
n. (medicine) a grossly malformed and usually nonviable fetus"
undersized,s smaller than normal for its kind
sickly,"s unhealthy looking
s somewhat ill or prone to illness"
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
coarse,"a. of textures that are rough to the touch or substances consisting of relatively large particles
s. lacking refinement or cultivation or taste
s. of low or inferior quality or value"
delusion,"n. (psychology) an erroneous belief that is held in the face of evidence to the contrary
n. a mistaken or unfounded opinion or idea
n. the act of deluding; deception by creating illusory ideas"
grandeur,"n the quality of being magnificent or splendid or grand
n the quality of elevation of mind and exaltation of character or ideals or conduct"
delusion of grandeur,none
dramatist,n. someone who writes plays
conversationalist,n. someone skilled at conversation
monologue,"n. a long utterance by one person (especially one that prevents others from participating in the conversation)
n. a (usually long) dramatic speech by a single actor"
maddeningly,none
tiresome,s so lacking in interest as to cause mental weariness
mania,"n. an irrational but irresistible motive for a belief or action
n. a mood disorder; an affective disorder in which the victim tends to respond excessively and sometimes violently"
trivial,s. concerned with trivialities
volubility,n the quality of being facile in speech and writing
deafen,"v. be unbearably loud
v. make or render deaf
v. make soundproof"
vegetarianism,n. a diet excluding all meat and fish
pamphlet,"n a small book usually having a paper cover
n a brief treatise on a subject of interest; published in the form of a booklet"
expense,"n. amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures)
n. a detriment or sacrifice
n. money spent to perform work and usually reimbursed by an employer
v. reduce the estimated value of something"
opera,"n. a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes
n. a commercial browser
n. a building where musical dramas are performed"
summon,"v. call in an official matter, such as to attend court
v. ask to come"
needless,"n the leaf of a conifer
n a slender pointer for indicating the reading on the scale of a measuring instrument
n a sharp pointed implement (usually steel)
n a stylus that formerly made sound by following a groove in a phonograph record
v goad or provoke,as by constant criticism
v prick with a needle
s unnecessary and unwarranted"
eminent,"s. standing above others in quality or position
s. of imposing height; especially standing out above others"
vocalist,n a person who sings
vocal,"a. relating to or designed for or using the singing voice
a. having or using the power to produce speech or sound
s. full of the sound of voices"
rave,"n. a dance party that lasts all night and electronically synthesized music is played
n. an extravagantly enthusiastic review
v. participate in an all-night techno dance party
v. praise enthusiastically"
suicidal,s dangerous to yourself or your interests
darkly,"r. without light
r. in a dark glowering menacing manner"
Buddhist,"n. one who follows the teachings of Buddha
a. of or relating to or supporting Buddhism"
Buddhist monk,none
grief,"n. intense sorrow caused by loss of a loved one (especially by death)
n. something that causes great unhappiness"
grieve,"v. feel grief
v. cause to feel sorrow"
stricken,"s grievously affected especially by disease
s (used in combination) affected by something overwhelming
s put out of action (by illness)"
grief-stricken,s sorrowful through loss or deprivation
callous,"v. make insensitive or callous; deaden feelings or morals
s. emotionally hardened"
Roman,"n. a resident of modern Rome
n. an inhabitant of the ancient Roman Empire
n. a typeface used in ancient Roman inscriptions"
emperor,"n. the male ruler of an empire
n. red table grape of California
n. large moth of temperate forests of Eurasia having heavily scaled transparent wings"
shudder,"v. tremble convulsively, as from fear or excitement"
incapable,"a. (followed by `of') lacking capacity or ability
s. not being susceptible to or admitting of something (usually followed by `of')
a. (followed by `of') not having the temperament or inclination for
s. not meeting requirements"
score,"n. a written form of a musical composition; parts for different instruments appear on separate staves on large pages
n. a number that expresses the accomplishment of a team or an individual in a game or contest
n. a set of twenty members
n. grounds"
grovel,v show submission or fear
benefactor,n. a person who helps people or institutions (especially with financial help)
mortally,"r. in such a manner that death ensues (also in reference to hatred, jealousy, fear, etc.)"
mortal,"a. subject to death
s. unrelenting and deadly"
offend,"v cause to feel resentment or indignation
v act in disregard of laws, rules, contracts, or promises
v strike with disgust or revulsion
v hurt the feelings of"
offensive,"s. violating or tending to violate or offend against
a. for the purpose of attack rather than defense
a. causing anger or annoyance
a. unpleasant or disgusting especially to the senses"
recipient,n. a person who receives something
decline,"n. change toward something smaller or lower
n. a condition inferior to an earlier condition; a gradual falling off from a better state
v. grow smaller
v. go down"
legal,"a. established by or founded upon law or official or accepted rules
a. of or relating to jurisprudence
s. having legal efficacy or force
a. relating to or characteristic of the profession of law"
rajah,n a prince or king in India
prospective,a. of or concerned with or related to the future
pressing,"n. a metal or plastic part that is made by a mechanical press
s. compelling immediate action"
unscrupulous,a. without scruples or principles
endless,"s. tiresomely long; seemingly without end
s. infinitely great in number
s. having the ends united so as to form a continuous whole"
procession,n. the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation
infidelity,n. the quality of being unfaithful
admirer,"n. a person who admires; someone who esteems or respects or approves
n. someone who admires a young woman"
wealthy,s having an abundant supply of money or possessions of value
liking,n. a feeling of pleasure and enjoyment
devotion,"n. feelings of ardent love
n. commitment to some purpose
n. (usually plural) religious observance or prayers (usually spoken silently)"
artistic,"a. relating to or characteristic of art or artists
s. satisfying aesthetic standards and sensibilities"
lessen,"v decrease in size, extent, or range
v make smaller
v wear off or die down"
testimony,"n. a solemn statement made under oath
n. an assertion offering firsthand authentication of a fact
n. something that serves as evidence"
autobiography,n. a biography of yourself
disagreeable,"a. not to your liking
s. unpleasant to interact with
s. not agreeing with your tastes or expectations"
stupendous,s so great in size or force or extent as to elicit awe
unquestionably,r. without question
rank,"n. a row or line of people (especially soldiers or police) standing abreast of one another
n. relative status
v. take or have a position relative to others
v. take precedence or surpass others in rank"
musico-dramatic,none
masterpiece,"n. the most outstanding work of a creative artist or craftsman
n. an outstanding achievement"
heartache,n intense sorrow caused by loss of a loved one (especially by death)
luxury,"n. something that is an indulgence rather than a necessity
n. wealth as evidenced by sumptuous living"
loot,"n. goods or money obtained illegally
v. take illegally; of intellectual property"
trilogy,n. a set of three literary or dramatic works related in subject or theme
faithless,"s. having the character of, or characteristic of, a traitor"
mistress,"n. an adulterous woman; a woman who has an ongoing extramarital sexual relationship with a man
n. a woman master who directs the work of others"
compromise,"n. a middle way between two extremes
n. an accommodation in which both sides make concessions
v. make a compromise; arrive at a compromise; we all must compromise""
v. settle by concession"
downright,"s. characterized by plain blunt honesty
r. thoroughgoing"
grand,"s. large and impressive in physical size or extent
s. the most important and magnificent in adornment"
forgiveness,"n. compassionate feelings that support a willingness to forgive
n. the act of excusing a mistake or offense"
release,"n. merchandise issued for sale or public showing (especially a record or film)
n. a process that liberates or discharges something
n. a device that when pressed will release part of a mechanism
n. activity that frees or expresses creative energy or emotion"
shriek,v. utter a shrill cry
in relation to,none
in support of,none
at sb.'s expense,none
needless to say,none
out of sorts,none
under obligation,none
under obligation to do,none
good for,none
lay one's hands on,none
run up,n. the approach run during which an athlete gathers speed
on record,none
historian,n. a person who is an authority on history and who studies it and writes about it
solitary,"n confinement of a prisoner in isolation from other prisoners
n one who lives in solitude
s characterized by or preferring solitude
s of plants and animals; not growing or living in groups or colonies
s lacking companions or companionship
s being the only one; single and isolated from others
s devoid of creatures"
rivalry,n the act of competing as for profit or a prize
rival,"n. the contestant you hope to defeat
v. be the rival of, be in competition with"
biography,n. an account of the series of events making up a person's life
terror,"n. a person who inspires fear or dread
n. a very troublesome child
n. the use of extreme fear in order to coerce people (especially for political reasons)"
raid,"n. an attempt by speculators to defraud investors
v. search without warning, make a sudden surprise attack on
v. take over (a company) by buying a controlling interest of its stock
v. search for something needed or desired"
sober,"v. cause to become sober
a. not affected by a chemical substance (especially alcohol)"
resolution,"n. a formal expression by a meeting; agreed to by a vote
n. finding a solution to a problem
n. analysis into clear-cut components
n. (computer science) the number of pixels per square inch on a computer-generated display; the greater the resolution, the better the picture"
resign,v. accept as inevitable
epoch,"n. (astronomy) an arbitrarily fixed date that is the point in time relative to which information (as coordinates of a celestial body) is recorded
n. a unit of geological time that is a subdivision of a period and is itself divided into ages"
sow,"n. an adult female hog
v. place (seeds) in or on the ground for future growth
v. introduce into an environment"
revolutionary,"s. markedly new or introducing radical change
a. relating to or having the nature of a revolution
a. advocating or engaged in revolution"
elect,"v. select by a vote for an office or membership
v. choose
s. selected as the best
s. elected but not yet installed in office"
permission,n. approval to do something
detection,"n. the perception that something has occurred or some state exists
n. the act of detecting something; catching sight of something
n. a police investigation to determine the perpetrator"
hitherto,r used in negative statement to describe a situation that has existed up to this point or up to the present time
initial,"n. the first letter of a word (especially a person's name)
v. mark with one's initials
s. occurring at the beginning"
controversy,n. a contentious speech act; a dispute where there is strong disagreement
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
dine,"v. have supper; eat dinner
v. give dinner to; host for dinner"
parliament,n. a legislative assembly in certain countries
diminish,"v. lessen the authority, dignity, or reputation of"
breakdown,"n. a mental or physical breakdown
n. a cessation of normal operation
n. an analysis into mutually exclusive categories"
barren,"n. an uninhabited wilderness that is worthless for cultivation
s. not bearing offspring
s. completely wanting or lacking"
secure,"v. assure payment of
a. free from fear or doubt; easy in mind
a. free from danger or risk
a. not likely to fail or give way"
hypothesis,"n. a proposal intended to explain certain facts or observations
n. a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena"
sentiment,"n. tender, romantic, or nostalgic feeling or emotion"
ice-encased,none
hysterical,s. marked by excessive or uncontrollable emotion
quiet,"a. characterized by an absence or near absence of agitation or activity
a. free of noise or uproar; or making little if any sound
s. not showy or obtrusive
a. of the sun characterized by a low level of surface phenomena like sunspots e.g."
lick,"n. touching with the tongue
v. pass the tongue over"
subsequently,r. happening at a time subsequent to a reference time
hind,"n. any of several mostly spotted fishes that resemble groupers
n. a female deer, especially an adult female red deer"
follow-up,"n. a piece of work that exploits or builds on earlier work
n. an activity that continues something that has already begun or that repeats something that has already been done
n. a subsequent examination of a patient for the purpose of monitoring earlier treatment"
dispatch,"n. an official report (usually sent in haste)
n. the act of sending off something
n. the property of being prompt and efficient
n. killing a person or animal"
disappearance,"n. the act of leaving secretly or without explanation
n. the event of passing out of sight
n. ceasing to exist"
rescue,"n. recovery or preservation from loss or danger
v. free from harm or evil
v. take forcibly from legal custody"
nap,"n. a soft or fuzzy surface texture
n. sleeping for a short period of time (usually not in bed)
v. take a siesta"
defrost,v. make or become free of frost or ice
unfair,a. not fair; marked by injustice or partiality or deception
luckless,a having or bringing misfortune
archvillain,"archvillain (plural archvillains)
(chiefly narratology) A supreme villain; the most evil or powerful villain
"
unknown,"n. an unknown and unexplored region
n. a variable whose values are solutions of an equation
a. not known
s. not known to exist"
indisputably,none
client,n. a person who seeks the advice of a lawyer
initial,"n. the first letter of a word (especially a person's name)
v. mark with one's initials
s. occurring at the beginning"
exorbitant,s. greatly exceeding bounds of reason or moderation
storage,"n. the act of storing something
n. the commercial enterprise of storing goods and materials
n. (computer science) the process of storing information in a computer memory or on a magnetic tape or disk"
facility,"n. a building or place that provides a particular service or is used for a particular industry
n. a natural effortlessness
n. something designed and created to serve a particular function and to afford a particular convenience or service
n. a service that an organization or a piece of equipment offers you"
row,"n. an arrangement of objects or people side by side in a line
n. a long continuous strip (usually running horizontally)
n. a linear array of numbers, letters, or symbols side by side
n. a continuous chronological succession without an interruption"
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
refund,"n. money returned to a payer
n. the act of returning money received previously
v. pay back"
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
whimper,n. a complaint uttered in a plaintive whining way
fee,"n. a fixed charge for a privilege or for professional services
n. an interest in land capable of being inherited"
ironclad,"n. a wooden warship of the 19th century that is plated with iron or steel armor
s. sheathed in iron plates for protection
s. inflexibly entrenched and unchangeable"
mainstay,n. the forestay that braces the mainmast
loot,"n. goods or money obtained illegally
v. take illegally; of intellectual property"
admirable,"s. deserving of the highest esteem or admiration
s. inspiring admiration or approval"
chamber,"n. a natural or artificial enclosed space
n. an enclosed volume in the body
n. a room where a judge transacts business
n. a deliberative or legislative or administrative or judicial assembly"
hue and cry,none
haul,"v. draw slowly or heavily
v. transport in a vehicle"
shady,s. filled with shade
anonymity,n. the state of being anonymous
guarantee,"n. a written assurance that some product or service will be provided or will meet certain specifications
n. an unconditional commitment that something will happen or that something is true
n. a collateral agreement to answer for the debt of another in case that person defaults
v. give surety or assume responsibility"
enforcement,n. the act of enforcing; ensuring observance of or obedience to
enforce,"v. ensure observance of laws and rules; 
v. compel to behave in a certain way"
agent,"n. an active and efficient cause; capable of producing a certain effect
n. a representative who acts on behalf of other persons or organizations
n. a substance that exerts some force or effect
n. a businessman who buys or sells for another in exchange for a commission"
fugitive,"n. someone who flees from an uncongenial situation
n. someone who is sought by law officers; someone trying to elude justice"
illegal,a. prohibited by law or by official or accepted rules
bizarre,s. conspicuously or grossly unconventional or unusual
unparalleled,s radically distinctive and without equal
liquidate,"v. eliminate by paying off (debts)
v. convert into cash
v. settle the affairs of by determining the debts and applying the assets to pay them off"
empire,"n. the domain ruled by an emperor or empress; the region over which imperial dominion is exercised
n. a group of countries under a single authority
n. a monarchy with an emperor as head of state
n. an eating apple that somewhat resembles a McIntosh; used as both an eating and a cooking apple"
yacht,"n. an expensive vessel propelled by sail or power and used for cruising or racing
v. travel in a yacht"
arduous,"s. characterized by effort to the point of exhaustion; especially physical effort
s. taxing to the utmost; testing powers of endurance
s. difficult to accomplish; demanding considerable mental effort and skill"
goodly,s. large in amount or extent or degree
permanent,"a. continuing or enduring without marked change in status or condition or place
s. not capable of being reversed or returned to the original condition"
pensioner,n. the beneficiary of a pension fund
pension,"n. a regular payment to a person that is intended to allow them to subsist without working
v. grant a pension to"
incredible,a. beyond belief or understanding
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
inexhaustible,"s. that cannot be entirely consumed or used up
a. incapable of being entirely consumed or used up"
insupportable,s incapable of being justified or explained
marital,a. of or relating to the state of marriage
confession,"n. an admission of misdeeds or faults
n. a written document acknowledging an offense and signed by the guilty party
n. (Roman Catholic Church) the act of a penitent disclosing his sinfulness before a priest in the sacrament of penance in the hope of absolution
n. a public declaration of your faith"
flee,v. run away quickly
incarcerate,"v lock up or confine, in or as in a jail"
unamiable,a. Not amiable; morose; ill-natured; repulsive.
spouse,n. a person's partner in marriage
scheme,"n. an elaborate and systematic plan of action
v. form intrigues (for) in an underhand manner
v. devise a system or form a scheme for"
visit,"n. the act of going to see some person or place or thing for a short time
n. a meeting arranged by the visitor to see someone (such as a doctor or lawyer) for treatment or advice
n. the act of visiting in an official capacity (as for an inspection)
n. the act of going to see some person in a professional capacity"
lifework,n. the principal work of your career
fanatically,r. in a passionately fanatic manner
meticulous,"s. marked by precise accordance with details
s. marked by extreme care in treatment of details"
double-check,v. check once more to be absolutely sure
shrewd,"s marked by practical hardheaded intelligence
s used of persons"
greed,n. excessive desire to acquire or possess more (especially more material wealth) than one needs or deserves
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
grievance,"n. an allegation that something imposes an illegal obligation or denies some legal right or causes injustice
n. a complaint about a (real or imaginary) wrong that causes resentment and is grounds for action"
stand,"n. the position where a thing or person stands
n. a growth of similar plants (usually trees) in a particular area
n. a small table for holding articles of various kinds
n. an interruption of normal activity"
tragic,"s. very sad; especially involving grief or death or destruction
a. of or relating to or characteristic of tragedy"
immature,"a. characteristic of a lack of maturity
a. not yet mature"
frivolous,a. not serious in content or attitude or behavior
darling,"n. a special loved one
n. an Australian river; tributary of the Murray River"
foresee,"v realize beforehand
v picture to oneself; imagine possible
v act in advance of; deal with ahead of time"
slip,"n. a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
n. potter's clay that is thinned and used for coating or decorating ceramics
n. a young and slender person
n. an accidental misstep threatening (or causing) a fall"
elapse,v. pass by
awesome,s inspiring awe or admiration or wonder
sweetheart,"n. a person loved by another person
n. any well-liked individual
s. privileged treatment of a favored person or corporation (sometimes unethically)"
accusation,"n. a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt
n. an assertion that someone is guilty of a fault or offence"
accuse,v. bring an accusation against; level a charge against
rumor,"n. gossip (usually a mixture of truth and untruth) passed around by word of mouth
v. tell or spread rumors"
Congress,"n. the legislature of the United States government
n. a meeting of elected or appointed representatives
n. a national legislative assembly"
break,"n. an unexpected piece of good luck
n. the occurrence of breaking
n. an abrupt change in the tone or register of the voice (as at puberty or due to emotion)
n. the opening shot that scatters the balls in billiards or pool"
freezer,n electric refrigerator (trade name Deepfreeze) in which food is frozen and stored for long periods of time
mandatory,"n the recipient of a mandate
n a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
s required by rule"
penalty,"n. a payment required for not fulfilling a contract
n. the disadvantage or painful consequences of an action or condition
n. (games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game"
draft,"n. a document ordering the payment of money; drawn by one person or bank on another
n. a current of air (usually coming into a chimney or room or vehicle)
n. a preliminary sketch of a design or picture
n. a serving of drink (usually alcoholic) drawn from a keg"
warehouse,"n. a storehouse for goods and merchandise
v. store in a warehouse"
dehydrate,"v. preserve by removing all water and liquids from
v. remove water from"
in brief,none
for one,none
dry off,none
stop dead in one's tracks,none
be bound up with,none
first and last,none
put away,none
die down,none
on the track of,none
earn a living,none
make a living,none
... at that,none
be caught in,none
to the point where,none
play around,none
settle down,none
take with a grain of salt,none
go through,none
cube,"n. a hexahedron with six equal squares as faces
n. the product of three equal terms
n. any of several tropical American woody plants of the genus Lonchocarpus whose roots are used locally as a fish poison and commercially as a source of rotenone
n. a block in the (approximate) shape of a cube"
wedge,"n. any shape that is triangular in cross section
n. (golf) an iron with considerable loft and a broad sole
n. something solid that is usable as an inclined plane (shaped like a V) that can be pushed between two things to separate them
v. squeeze like a wedge into a tight space"
tumble,"n. an acrobatic feat of rolling or turning end over end
v. fall down, as if collapsing
v. roll over and over, back and forth
v. throw together in a confused mass"
fry,"n. English painter and art critic (1866-1934)
n. English dramatist noted for his comic verse dramas (born 1907)
v. be excessively hot
v. cook on a hot surface using fat"
obedient,"a. dutifully complying with the commands or instructions of those in authority; the refractory remain unburdened""- Edmund Burke"
queer,"v. put in a dangerous, disadvantageous, or difficult position"
polish,"n. the property of being smooth and shiny
n. a highly developed state of perfection; having a flawless or impeccable quality
n. a preparation used in polishing
n. the Slavic language of Poland"
rod,"n. a long thin implement made of metal or wood
n. any rod-shaped bacterium
n. a visual receptor cell that is sensitive to dim light"
spade,"n. a playing card in the major suit that has one or more black figures on it
n. a sturdy hand shovel that can be pushed into the earth with the foot
v. dig (up) with a spade"
terrific,"s. very great or intense
s. causing extreme terror"
wrench,"n. a sharp strain on muscles or ligaments
n. a hand tool that is used to hold or twist a nut or bolt
v. twist or pull violently or suddenly, especially so as to remove (something) from that to which it is attached or from where it originates
v. make a sudden twisting motion"
cynical,s. believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others
diameter,"n. the length of a straight line passing through the center of a circle and connecting two points on the circumference
n. a straight line connecting the center of a circle with two points on its perimeter (or the center of a sphere with two points on its surface)"
survey,"n. a detailed critical inspection
v. consider in a comprehensive way
v. look over carefully or inspect
v. make a survey of; for statistical purposes"
resistant,s. impervious to being affected
respective,s. considered individually
