assessment,"n. an amount determined as payable
n. the market value set on assets"
assignment,"n. a duty that you are assigned to perform (especially in the armed forces)
n. the instrument by which a claim or right or interest or property is transferred from one person to another
n. the act of distributing something to designated places or persons
n. an undertaking that you have been assigned to do (as by an instructor)"
alternative,"s. necessitating a choice between mutually exclusive possibilities
s. pertaining to unconventional choices"
punishment,n. the act of punishing
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
slight,"v. pay no attention to, disrespect"
loose,"a. not compact or dense in structure or arrangement
s. (of a ball in sport) not in the possession or control of any player
a. not tight; not closely constrained or constricted or constricting
s. not tense or taut"
loose conduct,none
obey,v. be obedient to
mild,a. moderate in type or degree or effect or force; far from extreme
receiver,"n. set that receives radio or tv signals
n. the tennis player who receives the serve
n. a football player who catches (or is supposed to catch) a forward pass"
pace,"n. the rate of moving (especially walking or running)
n. the relative speed of progress or change
n. a step in walking or running
v. walk with slow or fast paces"
outstanding,"s. distinguished from others in excellence
s. having a quality that thrusts itself into attention
s. owed as a debt"
reflect,"v. manifest or bring back
v. to throw or bend back (from a surface)
v. be bright by reflecting or casting light
v. show an image of"
select,"v pick out, select, or choose from a number of alternatives
s of superior grade
s selected or chosen for special qualifications"
to a certain extent,none
misunderstand,v interpret in the wrong way
angle,"n. the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians
n. a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons
v. move or proceed at an angle
v. fish with a hook"
triangle,"n. a three-sided polygon
n. something approximating the shape of a triangle
n. any of various triangular drafting instruments used to draw straight lines at specified angles
n. a percussion instrument consisting of a metal bar bent in the shape of an open triangle"
atom,"n. (physics and chemistry) the smallest component of an element having the chemical properties of the element
n. (nontechnical usage) a tiny piece of anything"
pour,"v. cause to run
v. move in large numbers
v. flow in a spurt
v. supply in large amounts or quantities"
powder,"n. a solid substance in the form of tiny loose particles; a solid that has been pulverized
n. any of various cosmetic or medical preparations dispensed in the form of a pulverized powder
v. apply powder to"
flame,"v. be in flames or aflame
v. criticize harshly, usually via an electronic medium"
set off,"n. That which is set off against another thing; an offset.
n. That which is used to improve the appearance of anything;
   a decoration; an ornament.
n. A counterclaim; a cross debt or demand; a distinct claim
   filed or set up by the defendant against the plaintiff's demand.
n. Same as Offset, n., 4.
n. See Offset, 7."
lack,n. the state of needing something that is absent or unavailable
spit,"n. a narrow strip of land that juts out into the sea
n. a skewer for holding meat over a fire
n. the act of spitting (forcefully expelling saliva)
v. expel or eject (saliva or phlegm or sputum) from the mouth"
drag,"n. the phenomenon of resistance to motion through a fluid
n. something that slows or delays progress
n. something tedious and boring
n. clothing that is conventionally worn by the opposite sex (especially women's clothing when worn by a man)"
acid,"n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
n. street name for lysergic acid diethylamide
s. having the characteristics of an acid"
onion,"n. the bulb of an onion plant
n. bulbous plant having hollow leaves cultivated worldwide for its rounded edible bulb
n. an aromatic flavorful vegetable"
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
worthwhile,s. sufficiently valuable to justify the investment of time or interest
spy,"n. (military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors
n. a secret watcher; someone who secretly watches other people
v. watch, observe, or inquire secretly
v. catch sight of; to perceive with the eyes"
glue,"n. cement consisting of a sticky substance that is used as an adhesive
v. join or attach with or as if with glue
v. be fixed as if by glue"
fellow,"n. a member of a learned society
n. an informal form of address for a man"
fellow students,plural of fellow-student
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
be accustomed to,none
thinking,n. the process of using your mind to consider something carefully
rank,"n. a row or line of people (especially soldiers or police) standing abreast of one another
n. relative status
v. take or have a position relative to others
v. take precedence or surpass others in rank"
bureaucratic,a. of or relating to or resembling a bureaucrat or bureaucracy
worthy,"n. an important, honorable person (word is often used humorously)
a. having worth or merit or value; being honorable or admirable
s. having qualities or abilities that merit recognition in some way"
religion,"n. a strong belief in a supernatural power or powers that control human destiny
n. an institution to express belief in a divine power"
defence,"n (psychiatry) an unconscious process that tries to reduce the anxiety associated with instinctive desires
n (sports) the team that is trying to prevent the other team from scoring
n the defendant and his legal advisors collectively
n an organization of defenders that provides resistance against attack
n the speech act of answering an attack on your assertions
n the justification for some act or belief
n a structure used to defend against attack
n a defendant's answer or plea denying the truth of the charges against him
n (military) military action or resources protecting a country against potential enemies
n protection from harm
n the act of defending someone or something against attack or injury"
tend to,none
ignore,"v. refuse to acknowledge
v. fail to notice
v. be ignorant of or in the dark about"
unwilling,"a. not disposed or inclined toward
s. in spite of contrary volition"
assumption,"n. a hypothesis that is taken for granted
n. the act of taking possession of or power over something
n. celebration in the Roman Catholic Church of the Virgin Mary's being taken up into heaven when her earthly life ended; corresponds to the Dormition in the Eastern Orthodox Church
n. (Christianity) the taking up of the body and soul of the Virgin Mary when her earthly life had ended"
approve,"v. give sanction to
v. judge to be right or commendable; think well of"
approve of,none
urge,"n. an instinctive motive
n. a strong restless desire
v. force or impel in an indicated direction"
inspire,"v. heighten or intensify
v. supply the inspiration for"
shadow,"n. shade within clear boundaries
n. a premonition of something adverse
n. refuge from danger or observation
n. a dominating and pervasive presence"
conventional,"a. following accepted customs and proprieties
s. conforming with accepted standards
a. (weapons) using energy for propulsion or destruction that is not nuclear energy
a. unimaginative and conformist"
kingdom,"n. a domain in which something is dominant
n. a country with a king as head of state
n. the domain ruled by a king or queen
n. a monarchy with a king or queen as head of state"
civilisation,"n the social process whereby societies achieve an advanced stage of development and organization
n a particular society at a particular time and place
n a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n the quality of excellence in thought and manners and taste"
vital,"s. performing an essential function in the living body
s. manifesting or characteristic of life"
beneficial,s. promoting or enhancing well-being
image,"n. an iconic mental representation
n. (mathematics) the set of values of the dependent variable for which a function is defined
n. the general impression that something (a person or organization or product) presents to the public
v. render visible, as by means of MRI"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
adapt,"v. make fit for, or change to suit a new purpose"
as a whole,none
facility,"n. a building or place that provides a particular service or is used for a particular industry
n. a natural effortlessness
n. something designed and created to serve a particular function and to afford a particular convenience or service
n. a service that an organization or a piece of equipment offers you"
appreciation,"n. understanding of the nature or meaning or quality or magnitude of something
n. an expression of gratitude
n. an increase in price or value"
biochemistry,n. the organic chemistry of compounds and processes occurring in organisms; the effort to understand biology within the context of chemistry
choir,"n. a chorus that sings as part of a religious ceremony
n. a family of similar musical instrument playing together
n. the area occupied by singers; the part of the chancel between sanctuary and nave
v. sing in a choir"
Peter Salovey,none
John Mayer,none
Tennyson,n. Englishman and Victorian poet (1809-1892)
Wilson Mizner,none
Jones,"n. United States labor leader (born in Ireland) who helped to found the Industrial Workers of the World (1830-1930)
n. United States railroad engineer who died trying to stop his train from crashing into another train; a friend wrote a famous ballad describing the incident (1864-1900)
n. United States golfer (1902-1971)"
Stephens,n English writer (1832-1904)
Oliver Blackstone,none
Judith Wainwright,none
Alvin Toffler,none
Mark Hastings,none
Laurence Lyons,none
James Traeger,none
Katherine Whitehorn,none
Nicholas,n. a bishop in Asia Minor who is associated with Santa Claus (4th century)
Halifax,n. provincial capital and largest city of Nova Scotia
Graham Laurence,none
Brian Jenkins,none
Francis Bacon,none
Galileo Galilei,none
