abbreviate,v. shorten
mulberry,"n. any of several trees of the genus Morus having edible fruit that resembles the blackberry
n. sweet usually dark purple blackberry-like fruit of any of several mulberry trees of the genus Morus"
multicellular,s. consisting of many cells
multifaceted,s having many aspects
mundane,"s. concerned with the world or worldly matters
s. belonging to this earth or world; not ideal or heavenly; yet a mundane wonder of unimagined kind"""
mural,"n. a painting that is applied to a wall surface
a. of or relating to walls"
myriad,n. a large indefinite number
namely,r. as follows
naturalist,"n. an advocate of the doctrine that the world can be understood in scientific terms
n. a biologist knowledgeable about natural history (especially botany and zoology)"
naughty,s. badly behaved
naval,a. connected with or belonging to or used in a navy
neat,"s. clean or organized
s. showing care in execution
s. free from what is tawdry or unbecoming
s. without water"
needy,"n. needy people collectively
s. demanding or needing attention, affection, or reassurance to an excessive degree"
neutralize,"v. make politically neutral and thus inoffensive
v. make ineffective by counterbalancing the effect of
v. get rid of (someone who may be a threat) by killing
v. make incapable of military action"
niche,"n. a position particularly well suited to the person who occupies it
n. (ecology) the status of an organism within its environment and community (affecting its survival as a species)"
nicotine,n. an alkaloid poison that occurs in tobacco; used in medicine and as an insecticide
nocturnal,"a. belonging to or active during the night
a. of or relating to or occurring in the night"
nomadic,s migratory
nonconformist,"n. a Protestant in England who is not a member of the Church of England
n. someone who refuses to conform to established standards of conduct
a. not conforming to some norm or socially approved pattern of behavior or thought"
nonprofessional,a. not professional; not engaged in a profession or engaging in as a profession or for gain
nonsense,"n. a message that seems to convey no meaning
s. having no intelligible meaning"
nontraditional,a. not conforming to or in accord with tradition
nostalgia,n. longing for something past
notch,"n. a V-shaped indentation
n. a V-shaped or U-shaped indentation carved or scratched into a surface
n. a small cut
v. cut or make a notch into"
noteworthy,"s. worthy of notice
s. worthy of notice"
novice,n. someone new to a field or activity
noxious,a. injurious to physical or mental health
nuclear,"a. (weapons) deriving destructive energy from the release of atomic energy
a. of or relating to or constituting the nucleus of an atom
a. of or relating to or constituting the nucleus of a cell
s. constituting or like a nucleus"
null,s. lacking any legal or binding force
nursery,n. a child's room for a baby
nutrient,n. any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
obligated,a. caused by law or conscience to follow a certain course
oblige,"v. bind by an obligation; cause to be indebted
v. provide a service or favor for someone"
obliterate,"v. remove completely from recognition or memory
v. do away with completely, without leaving a trace"
obsession,n. an unhealthy and compulsive preoccupation with something or someone
obstinate,v. persist stubbornly
occasional,s. occurring from time to time
occupation,"n. the principal activity in your life that you do to earn money
n. the control of a country by military forces of a foreign power
n. any activity that occupies a person's attention
n. the act of occupying or taking possession of a building"
offshore,"a. (of winds) coming from the land
s. at some distance from the shore
r. away from shore; away from land"
olfactory,a. of or relating to olfaction
ongoing,s. currently happening
onset,n. the beginning or early stages
onslaught,n. a sudden and severe onset of trouble
ooze,"n any thick, viscous matter
n the process of seeping
v pass gradually or leak through or as if through small openings
v release (a liquid) in drops or small quantities"
opponent,s. characterized by active hostility
opposite,"s. being directly across from each other; facing
a. of leaves etc; growing in pairs on either side of a stem
s. moving or facing away from each other
s. the other one of a complementary pair"
optimal,s most desirable possible under a restriction expressed or implied
orchard,n garden consisting of a small cultivated wood without undergrowth
orchid,n. any of numerous plants of the orchid family usually having flowers of unusual shapes and beautiful colors
ordeal,"n. a severe or trying experience
n. a primitive method of determining a person's guilt or innocence by subjecting the accused person to dangerous or painful tests believed to be under divine control; escape was usually taken as a sign of innocence"
ordinance,n. a statute enacted by a city government
originality,"n. the ability to think and act independently
n. the quality of being new and original (not derived from something else)"
oust,"v. remove from a position or office
v. remove and replace"
outcry,"n a loud utterance; often in protest or opposition
v shout louder than
v utter aloud; often with surprise, horror, or joy"
outdated,s. old; no longer valid or fashionable
outermost,s. situated at the farthest possible point from a center
outfit,"n. any cohesive unit such as a military company
n. a set of clothing (with accessories)"
outgoing,"a. leaving a place or a position
a. retiring from a position or office"
outgrow,"v. grow too large or too mature for
v. grow faster than"
outlast,v live longer than
outlying,s. relatively far from a center or middle
outmoded,"v make unfashionable, outdated, or obsolete
s out of fashion"
outrage,n. a wantonly cruel act
outright,"s. without reservation or exception
r. without restrictions or stipulations or further payments
r. without reservation or concealment"
outskirts,n. outlying areas (as of a city or town)
outspoken,s. given to expressing yourself freely or insistently
outweigh,v. be heavier than
overburden,"n. the surface soil that must be moved away to get at coal seams and mineral deposits
v. burden with too much work or responsibility
v. load with excessive weight"
overcast,"n. a long whipstitch or overhand stitch overlying an edge to prevent raveling
n. a cast that falls beyond the intended spot
v. make overcast or cloudy"
overcharge,"n. a price that is too high
v. rip off; ask an unreasonable price"
overdue,s past due; not paid at the scheduled time
overhaul,"n. periodic maintenance on a car or machine
v. make repairs, renovations, revisions or adjustments to"
overload,"n. an electrical load that exceeds the available electrical power
n. an excessive burden
v. become overloaded
v. place too much a load on"
oversee,v. watch and direct
oversight,"n. an unintentional omission resulting from failure to notice something
n. a mistake resulting from inattention"
overturn,"n. an improbable and unexpected victory
v. turn from an upright or normal position
v. cause to overturn from an upright or normal position"
oxygen,n. a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust
pacific,"n. the largest ocean in the world
a. relating to or bordering the Pacific Ocean
s. disposed to peace or of a peaceful nature"
painstaking,s characterized by extreme care and great effort
painting,"n. graphic art consisting of an artistic composition made by applying paints to a surface
n. creating a picture with paints
n. the act of applying paint to a surface
n. the occupation of a house painter"
palatable,a. acceptable to the taste or mind
paramount,s having superior power and influence
paraphrase,"n. rewording for the purpose of clarification
v. express the same message in different words"
parasite,n. an animal or plant that lives in or on a host (another animal or plant); it obtains nourishment from the host without benefiting or killing the host
pastel,"n. any of various pale or light colors
s. lacking in body or vigor
s. delicate and pale in color"
patriarch,"n. title for the heads of the Eastern Orthodox Churches (in Istanbul and Alexandria and Moscow and Jerusalem)
n. the male head of family or tribe
n. any of the early biblical characters regarded as fathers of the human race
n. a man who is older and higher in rank than yourself"
patron,"n. a regular customer
n. the proprietor of an inn
n. someone who supports or champions something"
paucity,n an insufficient quantity or number
pauper,n. a person who is very poor
pebble,n. a small smooth rounded rock
peck,"n. a British imperial capacity measure (liquid or dry) equal to 2 gallons
n. a United States dry measure equal to 8 quarts or 537.605 cubic inches
v. hit lightly with a picking motion
v. eat by pecking at, like a bird"
peculiarity,"n. an odd or unusual characteristic
n. a distinguishing trait"
pedagogy,"n the principles and methods of instruction
n the profession of a teacher
n the activities of educating or instructing; activities that impart knowledge or skill"
peep,"v. look furtively
v. cause to appear
v. make high-pitched sounds
v. speak in a hesitant and high-pitched tone of voice"
penchant,n a strong liking
pendant,n. an adornment that hangs from a piece of jewelry (necklace or earring)
penetrating,"v pass into or through, often by overcoming resistance
v come to understand
v become clear or enter one's consciousness or emotions
v enter a group or organization in order to spy on the members
v make one's way deeper into or through
v insert the penis into the vagina or anus of
v spread or diffuse through
s having or demonstrating ability to recognize or draw fine distinctions
s tending to penetrate; having the power of entering or piercing"
pensive,s. showing pensive sadness
percussion,"n. the act of playing a percussion instrument
n. the act of exploding a percussion cap
n. tapping a part of the body for diagnostic purposes"
perennial,"n. (botany) a plant lasting for three seasons or more
a. lasting three seasons or more
s. lasting an indefinitely long time; suggesting self-renewal
s. recurring again and again"
perimeter,n. a line enclosing a plane areas
periphery,n. the outside boundary or surface of something
perpendicular,"n. a straight line at right angles to another line
n. a Gothic style in 14th and 15th century England; characterized by vertical lines and a four-centered (Tudor) arch and fan vaulting
n. an extremely steep face"
perpetuate,v. cause to continue or prevail
persecute,v. cause to suffer
persevere,"v. be persistent, refuse to stop"
personnel,"n group of people willing to obey orders
n the department responsible for hiring and training and placing employees and for setting policies for personnel management"
perspiration,"n. salty fluid secreted by sweat glands
n. the process of the sweat glands of the skin secreting a salty fluid"
philology,n the humanistic study of language and literature
phonetics,n. the branch of acoustics concerned with speech processes including its production and perception and acoustic analysis
physician,n a licensed medical practitioner
picturesque,"s. suggesting or suitable for a picture; pretty as a picture
s. strikingly expressive"
pigment,"n. dry coloring material (especially a powder to be mixed with a liquid to produce paint, etc.)
n. any substance whose presence in plant or animal tissues produces a characteristic color
v. acquire pigment; become colored or imbued
v. color or dye with a pigment"
pinpoint,"n. a very brief moment
n. the sharp point of a pin
v. locate exactly"
pioneer,"n. someone who helps to open up a new line of research or technology or art
n. one the first colonists or settlers in a new territory
v. open up an area or prepare a way
v. open up and explore a new area"
pique,"n. tightly woven fabric with raised cords
n. a sudden outburst of anger
v. cause to feel resentment or indignation"
pirate,"n. someone who robs at sea or plunders the land from the sea without having a commission from any sovereign nation
n. a ship that is manned by pirates
v. copy illegally; of published material"
pitch,"n. the property of sound that varies with variation in the frequency of vibration
n. (baseball) the act of throwing a baseball by a pitcher to a batter
n. a vendor's position (especially on the sidewalk)
n. degree of deviation from a horizontal plane"
pivot,"n. the person in a rank around whom the others wheel and maneuver
n. axis consisting of a short shaft that supports something that turns
n. the act of turning on (or as if on) a pivot
v. turn on a pivot"
plagiarism,"n. a piece of writing that has been copied from someone else and is presented as being your own work
n. the act of plagiarizing; taking someone's words or ideas as if they were your own"
plain,"n. extensive tract of level open land
a. not elaborate or elaborated; simple
a. lacking patterns especially in color
s. not mixed with extraneous elements"
plank,"n. an endorsed policy in the platform of a political party
v. cover with planks
v. set (something or oneself) down with or as if with a noise
v. cook and serve on a plank"
plantation,"n. an estate where cash crops are grown on a large scale (especially in tropical areas)
n. a newly established colony (especially in the colonization of North America)"
platitude,n. a trite or obvious remark
playwright,n someone who writes plays
pleasing,"n. the act of one who pleases
a. giving pleasure and satisfaction"
pliable,"s susceptible to being led or directed
s capable of being shaped or bent or drawn out
s able to adjust readily to different conditions
s capable of being bent or flexed or twisted without breaking"
plight,n. a solemn pledge of fidelity
plow,"n. a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
v. to break and turn over earth especially with a plow
v. move in a way resembling that of a plow cutting into or going through the soil"
plumage,n the light horny waterproof structure forming the external covering of birds
plumb,"v. measure the depth of something
v. weight with lead
v. examine thoroughly and in great depth
v. adjust with a plumb line so as to make vertical"
plump,"n. the sound of a sudden heavy fall
v. give support (to) or make a choice (of) one out of a group or number
r. straight down especially heavily or abruptly"
pneumonia,n. respiratory disease characterized by inflammation of the lung parenchyma (excluding the bronchi) with congestion caused by viruses or bacteria or irritants
pocketbook,"n. your personal financial means
n. pocket-sized paperback book"
politics,"n. social relations involving intrigue to gain authority or power
n. the study of government of states and other political units
n. the profession devoted to governing and to political affairs
n. the opinion you hold with respect to political questions"
pollinate,v. fertilize by transfering pollen
pollute,v. make impure
polygon,n. a closed plane figure bounded by straight sides
ponderous,"s. having great mass and weight and unwieldiness
s. labored and dull"
populous,s. densely populated
porcelain,n. ceramic ware made of a more or less translucent ceramic
portend,v indicate by signs
posthumous,s. occurring or coming into existence after a person's death
pot,"n. metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid
n. the quantity contained in a pot
n. a container in which plants are cultivated
n. the cumulative amount involved in a game (such as poker)"
potent,"s. having great influence
s. having or wielding force or authority
a. having a strong physiological or chemical effect
a. (of a male) capable of copulation"
poultry,n. flesh of chickens or turkeys or ducks or geese raised for food
pound,"n. 16 ounces avoirdupois
n. a unit of apothecary weight equal to 12 ounces troy
n. a nontechnical unit of force equal to the mass of 1 pound with an acceleration of free fall equal to 32 feet/sec/sec
n. United States writer who lived in Europe; strongly influenced the development of modern literature (1885-1972)"
prairie,n. a treeless grassy plain
precarious,"s. affording no ease or reassurance
s. not secure; beset with difficulties"
precursor,"n. a substance from which another substance is formed (especially by a metabolic reaction)
n. a person who goes before or announces the coming of another"
predatory,s. living by preying on other animals especially by catching living prey
predominantly,r. much greater in number or influence
predominate,"v. be larger in number, quantity, power, status or importance"
preeminent,s greatest in importance or degree or significance or achievement
prefabricated,"v to manufacture sections of (a building), especially in a factory, so that they can be easily transported to and rapidly assembled on a building site of buildings
v produce synthetically, artificially, or stereotypically and unoriginally"
preferable,s. more desirable than another
prehistoric,"s. belonging to or existing in times before recorded history
a. of or relating to times before written history
s. no longer fashionable"
preoccupation,"n. an idea that preoccupies the mind and holds the attention
n. the mental state of being preoccupied by something"
preponderance,"n. superiority in power or influence
n. a superiority in numbers or amount
n. exceeding in heaviness; having greater weight"
prerequisite,"n. something that is required in advance
s. required as a prior condition or course of study"
presidency,"n. the tenure of a president
n. the office and function of president"
pretension,"n. a false or unsupportable quality
n. the advancing of a claim"
prevailing,s. most frequent or common
primal,"s serving as an essential component
s having existed from the beginning; in an earliest or original stage or state"
primate,n. any placental mammal of the order Primates; has good eyesight and flexible hands and feet
primordial,s having existed from the beginning; in an earliest or original stage or state
pristine,"s. completely free from dirt or contamination
s. immaculately clean and unused"
prod,"n. a pointed instrument that is used to prod into a state of motion
v. urge on; cause to act"
prodigious,"s so great in size or force or extent as to elicit awe
s of momentous or ominous significance
s far beyond what is usual in magnitude or degree"
progressive,"n. a tense of verbs used in describing action that is on-going
a. favoring or promoting progress
s. favoring or promoting reform (often by government action)
a. (of taxes) adjusted so that the rate increases as the amount of income increases"
proliferate,"v. grow rapidly
v. cause to grow or increase rapidly"
prolific,s. bearing in abundance especially offspring
pronounced,"v speak, pronounce, or utter in a certain way
v pronounce judgment on
s strongly marked; easily noticeable"
propensity,"n an inclination to do something
n a natural inclination
n a disposition to behave in a certain way"
proponent,n a person who pleads for a cause or propounds an idea
proprietor,n (law) someone who owns (is legal possessor of) a business
propulsion,"n. a propelling force
n. the act of propelling"
prosecute,"v. conduct a prosecution in a court of law
v. bring a criminal action against (in a trial)
v. carry out or participate in an activity; be involved in"
protagonist,n. the principal character in a work of fiction
prudent,a. careful and sensible; marked by sound judgment
publicize,v. make public
puddle,"n. a mixture of wet clay and sand that can be used to line a pond and that is impervious to water when dry
v. wade or dabble in a puddle
v. subject to puddling or form by puddling
v. dip into mud before planting"
pueblo,"n. a member of any of about two dozen Native American peoples called `Pueblos' by the Spanish because they live in pueblos (villages built of adobe and rock)
n. a city in Colorado to the south of Colorado Springs
n. a communal village built by Indians in the southwestern United States"
pulp,"n. any soft or soggy mass
n. a soft moist part of a fruit
n. a mixture of cellulose fibers
n. an inexpensive magazine printed on poor quality paper"
pulse,"n. the rhythmic contraction and expansion of the arteries with each beat of the heart
n. the rate at which the heart beats; usually measured to obtain a quick evaluation of a person's health
n. edible seeds of various pod-bearing plants (peas or beans or lentils etc.)
v. produce or modulate (as electromagnetic waves) in the form of short bursts or pulses or cause an apparatus to produce pulses"
punch,"n. (boxing) a blow with the fist
n. an iced mixed drink usually containing alcohol and prepared for multiple servings; normally served in a punch bowl
n. a tool for making holes or indentations
v. deliver a quick blow to"
puncture,"n. loss of air pressure in a tire when a hole is made by some sharp object
n. a small hole made by a sharp object
n. the act of puncturing or perforating
v. pierce with a pointed object; make a hole into"
pungent,s. strong and sharp
quail,"n. flesh of quail; suitable for roasting or broiling if young; otherwise must be braised
n. small gallinaceous game birds"
quaint,"s. strange in an interesting or pleasing way
s. very strange or unusual; odd or even incongruous in character or appearance"
quarry,v. extract (something such as stones) from or as if from a quarry
quiescent,"s. not active or activated
s. marked by a state of tranquil repose
s. being quiet or still or inactive"
quilt,"n. bedding made of two layers of cloth filled with stuffing and stitched together
v. stitch or sew together
v. create by stitching together"
quota,"n. a prescribed number
n. a proportional share assigned to each participant
n. a limitation on imports"
raft,"n. a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers
v. transport on a raft
v. travel by raft in water
v. make into a raft"
ragged,"s. being or dressed in clothes that are worn or torn
s. worn out from stress or strain
s. having an irregular outline"
ragtime,n. music with a syncopated melody (usually for the piano)
rainfall,n water falling in drops from vapor condensed in the atmosphere
rampant,"s. unrestrained and violent
s. rearing on left hind leg with forelegs elevated and head usually in profile
s. (of a plant) having a lush and unchecked growth"
rancher,n. a person who owns or operates a ranch
ratify,"v approve and express assent, responsibility, or obligation"
ration,"n. the food allowance for one day (especially for service personnel)
n. a fixed portion that is allotted (especially in times of scarcity)
v. restrict the consumption of a relatively scarce commodity, as during war
v. distribute in rations, as in the army"
rattle,"n. a rapid series of short loud sounds (as might be heard with a stethoscope in some types of respiratory disorders)
n. a baby's toy that makes percussive noises when shaken
n. loosely connected horny sections at the end of a rattlesnake's tail
v. make short successive sounds"
raucous,"s. unpleasantly loud and harsh
s. disturbing the public peace; loud and rough"
ravine,n. a deep narrow steep-sided valley (especially one formed by running water)
raze,v tear down so as to make flat with the ground
razor,"n. edge tool used in shaving
v. shave with a razor"
rebuke,n. an act or expression of criticism and censure
receptacle,"n. a container that is used to put or keep things in
n. enlarged tip of a stem that bears the floral parts
n. an electrical (or electronic) fitting that is connected to a source of power and equipped to receive an insert"
receptive,"s. open to arguments, ideas, or change
a. ready or willing to receive favorably
s. able to absorb liquid (not repellent)"
recoil,"n. the backward jerk of a gun when it is fired
n. a movement back from an impact"
recollection,n. something recalled to the mind
reconstruct,"v. reassemble mentally
v. cause somebody to adapt or reform socially or politically"
recount,"n. an additional (usually a second) count; especially of the votes in a close election
v. count again"
reel,"n. a roll of photographic film holding a series of frames to be projected by a movie projector
n. music composed for dancing a reel
n. winder consisting of a revolving spool with a handle; attached to a fishing rod
n. a lively dance of Scottish Highlanders; marked by circular moves and gliding steps"
refraction,n. the change in direction of a propagating wave (light or sound) when passing from one medium to another
refrigerate,"v. preserve by chilling
v. cool or chill in or as if in a refrigerator"
refurbish,v. make brighter and prettier
regeneration,"n. (biology) growth anew of lost tissue or destroyed parts or organs
n. the activity of spiritual or physical renewal"
rehabilitate,"v. help to readapt, as to a former state of health or good repute
v. reinstall politically
v. restore to a state of good condition or operation"
rehearse,v. engage in a rehearsal (of)
reimburse,v. pay back for some expense incurred
reiterate,"v to say, state, or perform again"
rejuvenate,"v. cause (a stream or river) to erode, as by an uplift of the land
v. develop youthful topographical features
v. make younger or more youthful
v. become young again"
rekindle,"v. kindle anew, as of a fire
v. arouse again"
rendition,"n. a performance of a musical composition or a dramatic role etc.
n. handing over prisoners to countries where torture is allowed
n. the act of interpreting something as expressed in an artistic performance"
renounce,"v give up, such as power, as of monarchs and emperors, or duties and obligations
v leave (a job, post, or position) voluntarily
v turn away from; give up
v cast off"
repent,"v. turn away from sin or do penitence
v. feel remorse for; feel sorry for; be contrite about"
repertory,"n. a storehouse where a stock of things is kept
n. the entire range of skills or aptitudes or devices used in a particular field or occupation"
replenish,v. fill something that had previously been emptied
replica,n. copy that is not the original; something that has been copied
repress,"v. put down by force or intimidation
v. block the action of"
repulse,"n an instance of driving away or warding off
v force or drive back
v be repellent to; cause aversion in
v cause to move back by force or influence"
reputed,v look on as or consider
residue,n. matter that remains after something has been removed
resolute,a. firm in purpose or belief; characterized by firmness and determination
respiration,"n. the metabolic processes whereby certain organisms obtain energy from organic molecules; processes that take place in the cells and tissues during which energy is released and carbon dioxide is produced and absorbed by the blood to be transported to the lungs
n. a single complete act of breathing in and out"
responsive,"a. containing or using responses; alternating
a. readily reacting or replying to people or events or stimuli; showing emotion"
retool,"v. revise or reorganize, especially for the purpose of updating and improving
v. provide (a workshop or factory) with new tools"
retract,v. use a surgical instrument to hold open (the edges of a wound or an organ)
revere,n. American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
revitalization,n bringing again into activity and prominence
rhetoric,"n. using language effectively to please or persuade
n. study of the technique and rules for using language effectively (especially in public speaking)"
riddle,"n. a difficult problem
n. a coarse sieve (as for gravel)
v. pierce with many holes
v. set a difficult problem or riddle"
rift,"n. a gap between cloud masses
n. a narrow fissure in rock"
rigidity,n. the physical property of being stiff and resisting bending
rinse,"n. a liquid preparation used on wet hair to give it a tint
n. the removal of soap with clean water in the final stage of washing
n. the act of giving a light tint to the hair
n. washing lightly without soap"
risky,"s involving risk or danger
s not financially safe or secure"
rite,n. an established ceremony prescribed by a religion
rivalry,n the act of competing as for profit or a prize
roam,"v move about aimlessly or without any destination, often in search of food or employment"
roost,"n. a shelter with perches for fowl or other birds
n. a perch on which domestic fowl rest or sleep
v. settle down or stay, as if on a roost"
roughly,"r. with roughness or violence (`rough' is an informal variant for `roughly')
r. with rough motion as over a rough surface"
roundabout,"n a road junction at which traffic streams circularly around a central island
n a large, rotating machine with seats for children to ride or amusement
s marked by obliqueness or indirection in speech or conduct
s deviating from a straight course"
rubbery,s. having an elastic texture resembling rubber in flexibility or toughness
rubble,n the remains of something that has been destroyed or broken up
rudimentary,s. being in the earliest stages of development
rugged,"a. sturdy and strong in constitution or construction; enduring
s. very difficult; severely testing stamina or resolution"
rumble,"n. a loud low dull continuous noise
n. a servant's seat (or luggage compartment) in the rear of a carriage
n. a fight between rival gangs of adolescents
v. make a low noise"
rustic,n. an unsophisticated country person
ruthless,s without mercy or pity
saga,n. a narrative telling the adventures of a hero or a family; originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account
sake,"n. a reason for wanting something done
n. Japanese alcoholic beverage made from fermented rice; usually served hot
n. the purpose of achieving or obtaining"
salient,"n. (military) the part of the line of battle that projects closest to the enemy
a. (of angles) pointing outward at an angle of less than 180 degrees
s. represented as leaping (rampant but leaning forward)"
saline,s. containing salt
salute,"n. an act of honor or courteous recognition
n. a formal military gesture of respect
n. an act of greeting with friendly words and gestures like bowing or lifting the hat
v. greet in a friendly way"
sanctimonious,s excessively or hypocritically pious
sanctuary,n. a consecrated place where sacred objects are kept
sandy,"s of hair color; pale yellowish to yellowish brown
a resembling or containing or abounding in sand; or growing in sandy areas"
sanitation,"n. the state of being clean and conducive to health
n. making something sanitary (free of germs) as by sterilizing"
sap,"n. a watery solution of sugars, salts, and minerals that circulates through the vascular system of a plant
v. excavate the earth beneath"
sarcastic,a. expressing or expressive of ridicule that wounds
satire,n witty language used to convey insults or scorn
scapegoat,n. someone who is punished for the errors of others
scarlet,n. a variable color that is vivid red but sometimes with an orange tinge
scavenger,"n. a chemical agent that is added to a chemical mixture to counteract the effects of impurities
n. any animal that feeds on refuse and other decaying organic matter"
scotch,"n. whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still
v. make a small cut or score into"
scour,"n. a place that is scoured (especially by running water)
v. examine minutely
v. rub hard or scrub"
scramble,"n. an unceremonious and disorganized struggle
v. to move hurriedly
v. bring into random order
v. make unintelligible"
scruple,"n. a unit of apothecary weight equal to 20 grains
n. uneasiness about the fitness of an action
n. an ethical or moral principle that inhibits action"
scuba,n a device (trade name Aqua-Lung) that lets divers breathe under water; scuba is an acronym for self-contained underwater breathing apparatus
seasoning,n. the act of adding a seasoning to food
seclusion,n. the act of secluding yourself from others
secrete,"v. generate and separate from cells or bodily fluids
v. place out of sight; keep secret"
sect,n. a subdivision of a larger religious group
secular,"a. of or relating to the doctrine that rejects religion and religious considerations
a. of or relating to clergy not bound by monastic vows"
sedentary,s. requiring sitting or little activity
sediment,"n. matter that has been deposited by some natural process
v. deposit as a sediment
v. settle as sediment"
seduce,"v. induce to have sex
v. lure or entice away from duty, principles, or proper conduct"
seedling,n. young plant or tree grown from a seed
seismic,s. subject to or caused by an earthquake or earth vibration
sensational,"a. causing intense interest, curiosity, or emotion
a. relating to or concerned in sensation"
sensory,a. involving or derived from the senses
serrated,"v make saw-toothed or jag the edge of
s notched like a saw with teeth pointing toward the apex"
sewerage,"n waste matter carried away in sewers or drains
n a waste pipe that carries away sewage or surface water"
sheath,"n. a protective covering (as for a knife or sword)
n. an enveloping structure or covering enclosing an animal or plant organ or part"
shiver,"v. shake, as from cold"
shortcut,n. a route shorter than the usual one
shriek,v. utter a shrill cry
shrivel,"v. wither, as with a loss of moisture"
shrub,n. a low woody perennial plant usually having several major stems
shuffle,"n. the act of mixing cards haphazardly
v. walk by dragging one's feet
v. move about, move back and forth
v. mix so as to make a random order or arrangement"
sidestep,n. a step to one side (as in boxing or dancing)
silly,n. a word used for misbehaving children
silt,n. mud or clay or small rocks deposited by a river or lake
simplicity,"n. the quality of being simple or uncompounded
n. a lack of penetration or subtlety
n. absence of affectation or pretense"
sinuous,s curved or curving in and out
skimp,v. work hastily or carelessly; deal with inadequately and superficially
skyrocket,n. sends a firework display high into the sky
slab,n. block consisting of a thick piece of something
slander,n. words falsely spoken that damage the reputation of another
slash,"n. an open tract of land in a forest that is strewn with debris from logging (or fire or wind)
n. a strong sweeping cut made with a sharp instrument
v. cut with sweeping strokes; as with an ax or machete
v. cut open"
slime,v. cover or stain with slime
slippery,"a. causing or tending to cause things to slip or slide
s. not to be trusted"
sloth,"n. a disinclination to work or exert yourself
n. any of several slow-moving arboreal mammals of South America and Central America; they hang from branches back downward and feed on leaves and fruits
n. apathy and inactivity in the practice of virtue (personified as one of the deadly sins)"
sluggish,s. moving slowly
sly,s marked by skill in deception
smelting,v extract (metals) by heating
smog,n. air pollution by a mixture of smoke and fog
smother,"n. a stifling cloud of smoke
v. envelop completely
v. deprive of oxygen and prevent from breathing
v. conceal or hide"
snippet,n a small piece of anything (especially a piece that has been snipped off)
snobbish,s befitting or characteristic of those who incline to social exclusiveness and who rebuff the advances of people considered inferior
snowflake,n. a crystal of snow
sociable,"n. a party of people assembled to promote sociability and communal activity
a. inclined to or conducive to companionship with others
s. friendly and pleasant"
solder,"n. an alloy (usually of lead and tin) used when melted to join two metal surfaces
v. join or fuse with solder"
solicit,"v. make a solicitation or entreaty for something; request urgently or persistently
v. incite, move, or persuade to some act of lawlessness or insubordination
v. make a solicitation or petition for something desired"
soothe,v. cause to feel better
soundproof,"v. insulate against noise
s. impervious to, or not penetrable by, sound"
souvenir,"n something of sentimental value
n a reminder of past events"
spaceship,n a spacecraft designed to carry a crew into interstellar space (especially in science fiction)
sparse,s. not dense
spawn,"n. the mass of eggs deposited by fish or amphibians or molluscs
v. lay spawn"
spear,"n. a long pointed rod used as a tool or weapon
n. an implement with a shaft and barbed point used for catching fish
v. pierce with a spear
v. thrust up like a spear"
speck,"n. a very small spot
v. produce specks in or on"
speedy,"s characterized by speed; moving with or capable of moving with high speed
s accomplished rapidly and without delay"
spine,"n. a small sharp-pointed tip resembling a spike on a stem or leaf
n. the part of a book's cover that encloses the inner side of the book's pages and that faces outward when the book is shelved
n. a sharp rigid animal process or appendage; as a porcupine quill or a ridge on a bone or a ray of a fish fin"
spit,"n. a narrow strip of land that juts out into the sea
n. a skewer for holding meat over a fire
n. the act of spitting (forcefully expelling saliva)
v. expel or eject (saliva or phlegm or sputum) from the mouth"
spite,"n feeling a need to see others suffer
n malevolence by virtue of being malicious or spiteful or nasty
v hurt the feelings of"
sprawl,"n. an ungainly posture with arms and legs spread about
v. sit or lie with one's limbs spread out
v. go, come, or spread in a rambling or irregular way"
sprinkle,"n. the act of sprinkling or splashing water
v. cause (a liquid) to spatter about, especially with force
v. rain gently
v. scatter with liquid; wet lightly"
sprout,"n. any new growth of a plant such as a new branch or a bud
n. a newly grown bud (especially from a germinating seed)
v. put forth and grow sprouts or shoots"
squarely,"r. directly and without evasion; not roundabout
r. in a straight direct way
r. firmly and solidly
r. in a square shape"
squash,"n. any of numerous annual trailing plants of the genus Cucurbita grown for their fleshy edible fruits
n. edible fruit of a squash plant; eaten as a vegetable
n. a game played in an enclosed court by two or four players who strike the ball with long-handled rackets
v. to compress with violence, out of natural shape or condition"
squirt,"v. cause to come out in a squirt
v. wet with a spurt of liquid"
stagecoach,n. a large coach-and-four formerly used to carry passengers and mail on regular routes between towns
stalk,"n. a slender or elongated structure that supports a plant or fungus or a plant part or plant organ
n. a hunt for game carried on by following it stealthily or waiting in ambush
n. the act of following prey stealthily
n. a stiff or threatening gait"
stamina,n. enduring strength and energy
standing,"n. social or financial or professional status or reputation
n. an ordered listing of scores or results showing the relative positions of competitors (individuals or teams) in a sporting event
n. the act of assuming or maintaining an erect upright position
s. having a supporting base"
