solve,v. find the solution to (a problem or question) or understand the meaning of
assignment,"n. a duty that you are assigned to perform (especially in the armed forces)
n. the instrument by which a claim or right or interest or property is transferred from one person to another
n. the act of distributing something to designated places or persons
n. an undertaking that you have been assigned to do (as by an instructor)"
strain,"n. (physics) deformation of a physical body under the action of applied forces
n. (psychology) nervousness resulting from mental stress
n. injury to a muscle (often caused by overuse); results in swelling and pain
n. an intense or violent exertion"
plague,"n. a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal
n. any epidemic disease with a high death rate
n. any large scale calamity (especially when thought to be sent by God)
n. an annoyance"
entail,"n. land received by fee tail
n. the act of entailing property; the creation of a fee tail from a fee simple
v. have as a logical consequence
v. impose, involve, or imply as a necessary accompaniment or result"
shave,"n. the act of removing hair with a razor
v. remove body hair with a razor
v. cut closely
v. cut the price of"
token,"n. an individual instance of a type of symbol
n. something serving as a sign of something else
n. a metal or plastic disk that can be redeemed or used in designated slot machines"
sheer,"v. cause to sheer
r. straight up or down without a break
r. directly"
dismiss,"v. bar from attention or consideration
v. cease to consider; put out of judicial consideration
v. stop associating with
v. end one's encounter with somebody by causing or permitting the person to leave"
commonplace,"s. completely ordinary and unremarkable
s. not challenging; dull and lacking excitement"
introduction,"n. the act of beginning something new
n. the first section of a communication
n. a basic or elementary instructional text
n. a new proposal"
polar,"s. having a pair of equal and opposite charges
a. located at or near or coming from the earth's poles
a. of or existing at or near a geographical pole or within the Arctic or Antarctic Circles"
underestimate,"n. an estimation that is too low; an estimate that is less than the true or actual value
v. make too low an estimate of"
complement,"n. a word or phrase used to complete a grammatical construction
n. a complete number or quantity
n. number needed to make up a whole force
n. something added to complete or embellish or make perfect"
revenue,"n the entire amount of income before any deductions are made
n government income due to taxation"
cop,"n uncomplimentary terms for a policeman
v take by theft
v take into custody"
absence,"n. the state of being absent
n. failure to be present
n. the time interval during which something or somebody is away
n. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy"
pope,"n. the head of the Roman Catholic Church
n. English poet and satirist (1688-1744)"
formula,"n. a group of symbols that make a mathematical statement
n. a conventionalized statement expressing some fundamental principle
n. a representation of a substance using symbols for its constituent elements
n. a liquid food for infants"
copper,"n. a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor
n. a copper penny
n. a reddish-brown color resembling the color of polished copper
n. any of various small butterflies of the family Lycaenidae having coppery wings"
naive,"a. marked by or showing unaffected simplicity and lack of guile or worldly experience
s. inexperienced"
predominant,"s most frequent or common
s having superior power and influence"
lean,"v. to incline or bend from a vertical position
v. cause to lean or incline
v. rely on for support
a. lacking in mineral content or combustible material"
cord,"n. a line made of twisted fibers or threads
n. a unit of amount of wood cut for burning; 128 cubic feet
n. a light insulated conductor for household use
n. a cut pile fabric with vertical ribs; usually made of cotton"
summon,"v. call in an official matter, such as to attend court
v. ask to come"
premium,"n. payment for insurance
n. the amount that something in scarce supply is valued above its nominal value
n. a prize, bonus, or award given as an inducement to purchase products, enter competitions initiated by business interests, etc.
s. having or reflecting superior quality or value"
reign,"n. a period during which something or somebody is dominant or powerful
n. the period during which a monarch is sovereign
n. royal authority; the dominion of a monarch
v. have sovereign power"
defy,"v. resist or confront with resistance
v. elude, especially in a baffling way
v. challenge"
cast,"n. the actors in a play
n. the distinctive form in which a thing is made
n. bandage consisting of a firm covering (often made of plaster of Paris) that immobilizes broken bones while they heal
n. object formed by a mold"
degenerate,"n a person whose behavior deviates from what is acceptable especially in sexual behavior
v grow worse
s unrestrained by convention or morality"
elementary,"s. easy and not involved or complicated
a. of or pertaining to or characteristic of elementary school or elementary education
s. of or being the essential or basic part"
formal,"a. being in accord with established forms and conventions and requirements (as e.g. of formal dress)
s. characteristic of or befitting a person in authority
a. (of spoken and written language) adhering to traditional standards of correctness and without casual, contracted, and colloquial forms
s. logically deductive"
massacre,v. kill a large number of people indiscriminately
disturbance,"n. an unhappy and worried mental state
n. a disorderly outburst or tumult
n. the act of disturbing something or someone; setting something in motion"
toll,"n. a fee levied for the use of roads or bridges (used for maintenance)
v. ring slowly
v. charge a fee for using"
procession,n. the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation
capable,"a. (usually followed by `of') having capacity or ability
s. possibly accepting or permitting
a. (followed by `of') having the temperament or inclination for"
ditch,"n. a long narrow excavation in the earth
n. any small natural waterway
v. forsake
v. make an emergency landing on water"
exploit,"v. use or manipulate to one's advantage
v. draw from; make good use of"
process,"n. (psychology) the performance of some composite cognitive activity; an operation that affects mental contents
n. a mental process that you are not directly aware of
n. a natural prolongation or projection from a part of an organism either animal or plant
n. a sustained phenomenon or one marked by gradual changes through a series of states"
progressive,"n. a tense of verbs used in describing action that is on-going
a. favoring or promoting progress
s. favoring or promoting reform (often by government action)
a. (of taxes) adjusted so that the rate increases as the amount of income increases"
heighten,"v. become more extreme
v. make more extreme; raise in quantity, degree, or intensity
v. increase the height of"
eloquent,"s. expressing yourself readily, clearly, effectively"
proficiency,"n. the quality of having great facility and competence
n. skillfulness in the command of fundamentals deriving from practice and familiarity"
quench,"v. satisfy (thirst)
v. electronics: suppress (sparking) when the current is cut off in an inductive circuit, or suppress (an oscillation or discharge) in a component or device
v. reduce the degree of (luminescence or phosphorescence) in (excited molecules or a material) by adding a suitable substance"
amplify,v. increase the volume of
exceed,"v. be greater in scope or size than some standard
v. be superior or better than some standard"
objective,"n. the lens or system of lenses in a telescope or microscope that is nearest the object being viewed
a. undistorted by emotion or personal bias; based on observable phenomena
a. serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes
s. emphasizing or expressing things as perceived without distortion of personal feelings, insertion of fictional matter, or interpretation"
excerpt,"n. a passage selected from a larger work
v. take out of a literary work in order to cite or copy"
advance,"n. an amount paid before it is earned
n. increase in price or value
v. move forward, also in the metaphorical sense
v. bring forward for consideration or acceptance"
quiver,"n. case for holding arrows
v. shake with fast, tremulous movements"
stripe,"n. a piece of braid, usually on the sleeve, indicating military rank or length of service
n. a kind or category
n. a narrow marking of a different color or texture from the background
v. mark with stripes"
excess,"n. a quantity much larger than is needed
n. immoderation as a consequence of going beyond sufficient or permitted limits
s. more than is needed, desired, or required"
anonymous,"a. having no known name or identity or known source
s. not known or lacking marked individuality"
exterior,a. situated in or suitable for the outdoors or outside of a building
mortal,"a. subject to death
s. unrelenting and deadly"
fake,"n. something that is a counterfeit; not what it seems to be
s. not genuine or real; being an imitation of the genuine article; it's real synthetic fur"""
strategy,n. the branch of military science dealing with military command and the planning and conduct of a war
periodical,n. a publication that appears at fixed intervals
deliberate,s. carefully thought out in advance
persevere,"v. be persistent, refuse to stop"
acclaim,"n. enthusiastic approval
v. praise vociferously"
generator,"n. an apparatus that produces a vapor or gas
n. engine that converts mechanical energy into electrical energy by electromagnetic induction
n. someone who originates or causes or initiates something
n. an electronic device for producing a signal voltage"
prompt,"n. a cue given to a performer (usually the beginning of the next line to be spoken)
n. (computer science) a symbol that appears on the computer screen to indicate that the computer is ready to receive a command
v. serve as the inciting cause of
v. assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned"
ballot,"n. a document listing the alternatives that is used in voting
v. vote by ballot"
gently,"r. in a gradual manner
r. in a gentle manner"
spacious,"s very large in expanse or scope
s (of buildings and rooms) having ample space"
tempt,"v. dispose or incline or entice to
v. give rise to a desire by being attractive or inviting
v. try to seduce
v. try presumptuously"
hasty,"s. excessively quick
s. done with very great haste and without due deliberation"
mount,"n. a mounting consisting of a piece of metal (as in a ring or other jewelry) that holds a gem in place
v. attach to a support
v. fix onto a backing, setting, or support
v. put up or launch"
career,"n. the particular occupation for which you are trained
n. the general progression of your working or professional life
v. move headlong at high speed"
hatred,n the emotion of intense dislike; a feeling of dislike so strong that it demands action
desirable,"a. worth having or seeking or achieving
s. worthy of being chosen especially as a spouse"
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
glamor,n. alluring beauty or charm (often with sex-appeal)
sculpture,"n. a three-dimensional work of plastic art
n. creating figures or designs in three dimensions"
intersection,"n. a point where lines intersect
n. a junction where one street or road crosses another
n. a point or set of points common to two or more geometric configurations"
unexpected,a. not expected or anticipated
refute,"v. overthrow by argument, evidence, or proof
v. prove to be false or incorrect"
permeate,v. spread or diffuse through
ponder,v reflect deeply on a subject
junction,"n. the place where two or more things come together
n. the state of being joined together
n. something that joins or connects
n. an act of joining or adjoining things"
motivate,v. give an incentive for action
rehearse,v. engage in a rehearsal (of)
outlook,"n a habitual or characteristic mental attitude that determines how you will interpret and respond to situations
n belief about (or mental picture of) the future
n the act of looking out"
overhaul,"n. periodic maintenance on a car or machine
v. make repairs, renovations, revisions or adjustments to"
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
knit,"n. a fabric made by knitting
n. a basic knitting stitch
n. needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine
v. make (textiles) by knitting"
evil,"n. morally objectionable behavior
n. that which causes harm or destruction or misfortune; the good is oft interred with their bones""- Shakespeare
n. the quality of being morally wrong in principle or practice
a. morally bad or wrong"
scenario,"n. an outline or synopsis of a play (or, by extension, of a literary work)
n. a setting for a work of art or literature
n. a postulated sequence of possible events"
scout,"n. a Boy Scout or Girl Scout
n. someone employed to discover and recruit talented persons (especially in the worlds of entertainment or sports)
n. someone who can find paths through unexplored territory
v. explore, often with the goal of finding something or somebody"
conscientious,"s. characterized by extreme care and great effort
a. guided by or in accordance with conscience or sense of right and wrong"
microphone,n. device for converting sound waves into electrical energy
midst,n. the location of something surrounded by other things
concession,"n. a contract granting the right to operate a subsidiary business
n. the act of conceding or yielding
n. a point conceded or yielded"
romantic,"n. a soulful or amorous idealist
a. belonging to or characteristic of Romanticism or the Romantic Movement in the arts"
navigation,"n. the guidance of ships or airplanes from place to place
n. ship traffic"
neutron,n. an elementary particle with 0 charge and mass about equal to a proton; enters into the structure of the atomic nucleus
heritage,n. practices that are handed down from the past by tradition
prime,"n. a number that has no factor but itself and 1
n. the second canonical hour; about 6 a.m.
n. the time of maturity when power and vigor are greatest
v. insert a primer into (a gun, mine, or charge) preparatory to detonation or firing"
object,"n. a tangible and visible entity; an entity that can cast a shadow
n. (grammar) a constituent that is acted upon
n. the focus of cognitions or feelings
n. (computing) a discrete item that provides a description of virtually anything known to a computer"
knob,"n. a circular rounded projection or protuberance
n. a round handle
n. an ornament in the shape of a ball on the hilt of a sword or dagger"
label,"n. a brief description given for purposes of identification
n. trade name of a company that produces musical recordings
n. a radioactive isotope that is used in a compound in order to trace the mechanism of a chemical reaction
n. an identifying or descriptive marker that is attached to an object"
canvas,"n. a heavy, closely woven fabric (used for clothing or chairs or sails or tents)
n. an oil painting on canvas fabric
n. the setting for a narrative or fictional or dramatic account
n. the mat that forms the floor of the ring in which boxers or professional wrestlers compete"
deny,"v. declare untrue; contradict
v. refuse to accept or believe
v. refuse to grant, as of a petition or request
v. refuse to let have"
layer,"n. single thickness of usually some homogeneous substance
n. a relatively thin sheetlike expanse or region lying over or under another
n. a hen that lays eggs
n. thin structure composed of a single thickness of cells"
carbohydrate,n. an essential structural component of living cells and source of energy for animals; includes simple sugars with small molecules as well as macromolecular substances; are classified according to the number of monosaccharide groups they contain
publication,"n. a copy of a printed work offered for distribution
n. the communication of something to the public; making information generally known
n. the business of issuing printed matter for sale or distribution"
render,"n. a substance similar to stucco but exclusively applied to masonry walls
v. cause to become
v. give or supply
v. pass down"
lever,"n. a rigid bar pivoted about a fulcrum
n. a simple machine that gives a mechanical advantage when given a fulcrum
n. a flat metal tumbler in a lever lock"
magnet,n. (physics) a device that attracts iron and produces a magnetic field
cease,n. (`cease' is a noun only in the phrase `without cease') end
liability,"n. the state of being legally obliged and responsible
n. the quality of being something that holds you back"
erroneous,s. containing or characterized by error
vivid,s. having the clarity and freshness of immediate experience
majesty,n impressiveness in scale or proportion
manuscript,"n. the form of a literary work submitted for publication
n. handwritten book or document"
screw,"n. a simple machine of the inclined-plane type consisting of a spirally threaded cylindrical rod that engages with a similarly threaded hole
n. a propeller with several angled blades that rotates to push against water or air
n. a fastener with a tapered threaded shank and a slotted head
v. turn like a screw"
lane,"n. a narrow way or road
n. a well-defined track or path; for e.g. swimmers or lines of traffic"
seam,"n. joint consisting of a line formed by joining two pieces
n. a stratum of ore or coal thick enough to be mined with profit
v. put together with a seam"
fragment,"n. a piece broken off or cut off of something else
n. an incomplete piece"
latent,"s. potentially existing but not presently evident or realized
s. (pathology) not presently active"
sham,"n something that is a counterfeit; not what it seems to be
n a person who makes deceitful pretenses
v make a pretence of
v make believe with the intent to deceive
s adopted in order to deceive"
lad,"n a boy or man
n a male child (a familiar term of address to a boy)"
formulate,v. prepare according to a formula
fuse,"n. an electrical device that can interrupt the flow of electrical current when it is overloaded
n. any igniter that is used to initiate the burning of a propellant
v. become plastic or fluid or liquefied from heat
v. equip with a fuse; provide with a fuse"
lavatory,"n a room or building equipped with one or more toilets
n a bathroom sink that is permanently installed and connected to a water supply and drainpipe; where you can wash your hands and face
n a toilet that is cleaned of waste by the flow of water through it"
shatter,"v. break into many pieces
v. damage or destroy
v. cause to break into many pieces"
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
vocation,"n the particular occupation for which you are trained
n a body of people doing the same kind of work"
specify,"v. decide upon or fix definitely
v. determine the essential quality of
v. be specific about"
brutal,"s. harsh
s. disagreeably direct and precise"
specimen,"n. an example regarded as typical of its class
n. a bit of tissue or blood or urine that is taken for diagnostic purposes"
influence,"n. a power to affect persons or events especially power based on prestige etc
n. causing something without any direct or apparent effort
n. a cognitive factor that tends to have an effect on what you do
n. the effect of one thing (or person) on another"
liable,"s. subject to legal action
s. (often followed by `to') likely to be affected with
s. held legally responsible"
assembly,"n. a group of machine parts that fit together to form a self-contained unit
n. a group of persons who are gathered together for a common purpose
n. a unit consisting of components that have been fitted together
n. the social act of assembling"
lick,"n. touching with the tongue
v. pass the tongue over"
ivory,n. a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walruses
pilgrim,"n. someone who journeys in foreign lands
n. one of the colonists from England who sailed to America on the Mayflower and founded the colony of Plymouth in New England in 1620
n. someone who journeys to a sacred place as an act of religious devotion"
statistics,n. a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters
spectacle,"n. something or someone seen (especially a notable or unusual sight)
n. an elaborate and remarkable display on a lavish scale
n. a blunder that makes you look ridiculous; used in the phrase `make a spectacle of' yourself"
irrigate,"v. supply with a constant flow or sprinkling of some liquid, for the purpose of cooling, cleansing, or disinfecting"
embody,"v. represent, as of a character on stage
v. represent or express something abstract in tangible form"
segment,"n. one of the parts into which something naturally divides
v. divide into segments
v. divide or split up"
bulk,"n. the property of something that is great in magnitude
n. the property possessed by a large mass
v. stick out or up"
constitute,v. form or compose
upright,"n. a vertical structural member as a post or stake
n. a piano with a vertical sounding board
s. in a vertical position; not sloping"
isle,n. a small island
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
certify,"v. guarantee payment on; of checks
v. guarantee as meeting a certain standard
v. declare legally insane"
senate,n. assembly possessing high legislative powers
enforce,"v. ensure observance of laws and rules; 
v. compel to behave in a certain way"
chase,"n. United States politician and jurist who served as chief justice of the United States Supreme Court (1808-1873)
n. a rectangular metal frame used in letterpress printing to hold together the pages or columns of composed type that are printed at one time
v. go after with the intent to catch
v. pursue someone sexually or romantically"
cherry,"n. wood of any of various cherry trees especially the black cherry
n. any of numerous trees and shrubs producing a small fleshy round fruit with a single hard stone; many also produce a valuable hardwood
n. a red fruit with a single hard stone"
collapse,"n. an abrupt failure of function or complete physical exhaustion
n. a natural event caused by something suddenly falling down or caving in
v. break down, literally or metaphorically
v. fold or close up"
meantime,"n the time between one event, process, or period and another
r during the intervening time"
zigzag,"n. an angular shape characterized by sharp turns in alternating directions
v. travel along a zigzag path
s. having short sharp turns or angles"
grip,"n. the friction between a body and the surface on which it moves (as between an automobile tire and the road)
n. worker who moves the camera around while a film or television show is being made
n. an intellectual hold or understanding
v. hold fast or firmly"
singular,"n. the form of a word that is used to denote a singleton
s. being a single and separate person or thing
a. composed of one member, set, or kind
a. grammatical number category referring to a single item or unit"
stuff,"n. miscellaneous unspecified objects
n. informal terms for personal possessions
n. senseless talk
n. unspecified qualities required to do or be something"
mechanic,s. resembling the action of a machine
sturdy,s. substantially made or constructed
medieval,"a. relating to or belonging to the Middle Ages
s. as if belonging to the Middle Ages; old-fashioned and unenlightened"
assimilate,"v. become similar to one's environment
v. make similar
v. take (gas, light or heat) into a solution
v. become similar in sound"
forum,"n. a public meeting or assembly for open discussion
n. a public facility to meet for open discussion"
watt,"n. a unit of power equal to 1 joule per second; the power dissipated by a current of 1 ampere flowing across a resistance of 1 ohm
n. Scottish engineer and inventor whose improvements in the steam engine led to its wide use in industry (1736-1819)"
weary,"v exhaust or get tired through overuse or great strain or stress
v lose interest or become bored with something or somebody
s physically and mentally fatigued"
entertain,"v. provide entertainment for
v. take into consideration, have in view"
invade,"v. march aggressively into another's territory by military force for the purposes of conquest and occupation
v. occupy in large numbers or live on a host
v. penetrate or assault, in a harmful or injurious way"
imitate,"v. reproduce someone's behavior or looks
v. appear like, as in behavior or appearance
v. make a reproduction or copy of"
submarine,"n. a submersible warship usually armed with torpedoes
v. move forward or under in a sliding motion
v. throw with an underhand motion
v. bring down with a blow to the legs"
undo,"v. cancel, annul, or reverse an action or its effect
v. cause the ruin or downfall of"
ritual,"n. any customary observance or practice
n. the prescribed procedure for conducting religious ceremonies
n. stereotyped behavior
a. of or relating to or characteristic of religious rituals"
veil,"n. a membranous covering attached to the immature fruiting body of certain mushrooms
v. to obscure, or conceal with or as if with a veil"
consequently,"r. (sentence connectors) because of the reason given
r. as a consequence"
submerge,"v. sink below the surface; go under or as if under water
v. cover completely or make imperceptible
v. put under water"
invaluable,"s. having incalculable monetary, intellectual, or spiritual worth"
stumble,"v. walk unsteadily
v. miss a step and fall or nearly fall
v. encounter by chance
v. make an error"
sunset,"n. the time in the evening at which the sun begins to fall below the horizon
n. atmospheric phenomena accompanying the daily disappearance of the sun
n. the daily event of the sun sinking below the horizon
s. of a declining industry or technology"
reckless,"s marked by defiant disregard for danger or consequences
s characterized by careless unconcern"
episode,"n. a happening that is distinctive in a series of related events
n. a brief section of a literary or dramatic work that forms part of a connected series
n. a part of a broadcast serial"
scheme,"n. an elaborate and systematic plan of action
v. form intrigues (for) in an underhand manner
v. devise a system or form a scheme for"
haul,"v. draw slowly or heavily
v. transport in a vehicle"
ultimate,"n. the finest or most superior quality of its kind
a. furthest or highest in degree or order; utmost or extreme
s. being the last or concluding element of a series"
cognitive,a. of or being or relating to or involving cognition
expel,v. force to leave or move out
confident,"a. having or marked by confidence or assurance
s. not liable to error in judgment or action"
superficial,"a. concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually
a. of, affecting, or being on or near the surface
s. of little substance or significance"
expenditure,"n money paid out; an amount spent
n the act of spending money for goods or services
n the act of consuming something"
application,"n. the act of bringing something to bear; using it for a particular purpose
n. a verbal or written request for assistance or employment or admission to a school
n. the work of applying something; 
n. a program that gives a computer instructions that provide the user with tools to accomplish a task"
supersonic,"a. (of speed) greater than the speed of sound in a given medium (especially air)
s. having frequencies above those of audible sound"
disgrace,"n a state of dishonor
v bring shame or dishonor upon
v reduce in worth or character, usually verbally
v damage the reputation of"
hay,"n. grass mowed and cured for use as fodder
v. convert (plant material) into hay"
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
germ,n. a small apparently simple structure (as a fertilized egg) from which new tissue can develop into a complete organism
intervene,"v. get involved, so as to alter or hinder an action, or through force or threat of force
v. be placed or located between other things or extend between spaces and events
v. occur between other event or between certain points of time"
ghost,"n. a mental representation of some haunting experience
n. the visible disembodied soul of a dead person
v. move like a ghost
v. write for someone else"
expedition,"n. a military campaign designed to achieve a specific objective in a foreign country
n. an organized group of people undertaking a journey for a particular purpose
n. a journey organized for a particular purpose"
proof,"n. any factual evidence that helps to establish the truth of something
n. a formal series of statements showing that if one thing is true something else necessarily follows from it
n. a measure of alcoholic strength expressed as an integer twice the percentage of alcohol present (by volume)
n. (printing) an impression made to check for errors"
install,"v. set up for use
v. put into an office or a position
v. place"
underlie,"v. be or form the base for
v. lie underneath"
dialect,n. the usage or vocabulary that is characteristic of a specific group of people
input,"n. a component of production; something that goes into the production of output
v. enter (data or a program) into a computer"
communicate,"v. transmit information
v. transmit thoughts or feelings
v. join or connect
v. be in verbal contact; interchange information or ideas"
inquire,"v inquire about
v have a wish or desire to know something
v conduct an inquiry or investigation of"
poke,"n. tall coarse perennial American herb having small white flowers followed by blackish-red berries on long drooping racemes; young fleshy stems are edible; berries and root are poisonous
v. stir by poking
v. make a hole by poking"
landlady,n. a landlord who is a woman
curb,"n. an edge between a sidewalk and a roadway consisting of a line of curbstones (usually forming part of a gutter)
n. a horse's bit with an attached chain or strap to check the horse
v. keep to the curb"
lateral,"s. situated at or extending to the side
s. lying away from the median and sagittal plane of a body"
beverage,n. any liquid suitable for drinking
Latin,"n. any dialect of the language of ancient Rome
n. an inhabitant of ancient Latium
n. a person who is a member of those peoples whose languages derived from Latin"
bold,"a. fearless and daring
s. clear and distinct"
marathon,"n. any long and arduous undertaking
n. a footrace of 26 miles 385 yards
n. a battle in 490 BC in which the Athenians and their allies defeated the Persians"
consolidate,"v. unite into one
v. make firm or secure; strengthen
v. bring together into a single whole or system
v. form into a solid mass or whole"
mathematical,"a. of or pertaining to or of the nature of mathematics
s. beyond question
s. statistically possible though highly improbable
s. characterized by the exactness or precision of mathematics"
tribute,"n. something given or done as an expression of esteem
n. payment by one nation for protection by another"
mayor,n. the head of a city government
broadcast,"n. message that is transmitted by radio or television
n. a radio or television show
v. sow over a wide area, especially by hand"
meadow,n a field where grass or alfalfa are grown to be made into hay
emigrate,v. leave one's country of residence for a new one
graceful,"a. characterized by beauty of movement, style, form, or execution"
initial,"n. the first letter of a word (especially a person's name)
v. mark with one's initials
s. occurring at the beginning"
graphic,"n. an image that is generated by a computer
s. written or drawn or engraved
s. describing nudity or sexual activity in graphic detail
a. of or relating to the graphic arts"
detail,"n. an isolated fact that is considered separately from the whole
n. a small part that can be considered separately from the whole
n. extended treatment of particulars
n. a crew of workers selected for a particular task"
gratitude,n. a feeling of thankfulness and appreciation
obligation,"n. the state of being obligated to do or pay something
n. a personal relation in which one is indebted for a service or favor
n. a legal agreement specifying a payment or action and the penalty for failure to comply"
guild,n a formal association of people with similar interests
diffuse,"v. move outward
s. spread out; not concentrated in one place
s. lacking conciseness"
negligible,"s. so small as to be meaningless; insignificant
s. not worth considering"
gross,"n. twelve dozen
n. the entire amount of income before any deductions are made
v. earn before taxes, expenses, etc.
a. before any deductions"
account,"n. a formal contractual relationship established to provide for regular banking or brokerage or business services
n. importance or value
n. a statement of recent transactions and the resulting balance
n. the quality of taking advantage"
heap,"v. bestow in large quantities
v. fill to overflow"
puppet,"n. a small figure of a person operated from above with strings by a puppeteer
n. a doll with a hollow head of a person or animal and a cloth body; intended to fit over the hand and be manipulated with the fingers"
challenge,"n. a demanding or stimulating situation
n. a call to engage in a contest or fight
n. questioning a statement and demanding an explanation
n. a formal objection to the selection of a particular person as a juror"
heave,"n. an upward movement (especially a rhythmical rising and falling)
n. (geology) a horizontal dislocation
n. the act of lifting something with great effort
n. an involuntary spasm of ineffectual vomiting"
abrupt,"s. marked by sudden changes in subject and sharp transitions
s. exceedingly sudden and unexpected
s. extremely steep
s. surprisingly and unceremoniously brusque in manner"
indifferent,"s. showing no care or concern in attitude or action
s. fairly poor to not very good
s. marked by no especial liking or dislike or preference for one thing over another
s. characterized by a lack of partiality"
hedge,"n. a fence formed by a row of closely planted shrubs or bushes
n. any technique designed to reduce or eliminate financial risk; for example, taking two positions that will offset each other if prices change
n. an intentionally noncommittal or ambiguous statement
v. avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
critic,"n. a person who is professionally engaged in the analysis and interpretation of works of art
n. anyone who expresses a reasoned judgment of something
n. someone who frequently finds fault or makes harsh and unfair judgments"
honorable,a. worthy of being honored; entitled to honor and respect
reckon,v. take account of
homogeneous,a. all of the same or similar kind or nature
intrinsic,"a. belonging to a thing by its very nature
s. situated within or belonging solely to the organ or body part on which it acts"
rage,"n. a state of extreme anger
n. something that is desired intensely
n. violent state of the elements
v. be violent; as of fires and storms"
hover,"v. be undecided about something; waver between conflicting positions or courses of action
v. move to and fro
v. hang in the air; fly or be suspended above"
prosperity,"n. an economic state of growth with rising profits and full employment
n. the condition of prospering; having good fortune"
huddle,"n. (informal) a quick private conference
n. a disorganized and densely packed crowd
v. crowd or draw together
v. crouch or curl up"
administer,"v. work in an administrative capacity; supervise or be in charge of
v. perform (a church sacrament) ritually
v. give or apply (medications)
v. direct the taking of"
harsh,"s. unpleasantly stern
s. disagreeable to the senses
s. unkind or cruel or uncivil
s. severe"
inhibit,"v. limit the range or extent of
v. limit, block, or decrease the action or function of
v. control and refrain from showing; of emotions, desires, impulses, or behavior"
civilize,v. raise from a barbaric to a civilized state
compile,v. use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed
regime,"n the organization that is the governing authority of a political unit
n (medicine) a systematic plan for therapy (often including diet)"
inland,"a. situated away from an area's coast or border
r. towards or into the interior of a region"
whereas,"adv. At which place; where.
conj. Considering that; it being the case that; since; --
   used to introduce a preamble which is the basis of declarations,
   affirmations, commands, requests, or like, that follow.
conj. When in fact; while on the contrary; the case being in
   truth that; although; -- implying opposition to something that
   precedes; or implying recognition of facts, sometimes followed by a
   different statement, and sometimes by inferences or something
   consequent."
plaster,"n. a mixture of lime or gypsum with sand and water; hardens into a smooth solid; used to cover walls and ceilings
n. a surface of hardened plaster (as on a wall or ceiling)
n. adhesive tape used in dressing wounds
v. apply a heavy coat to"
recognize,"v. be fully aware or cognizant of
v. perceive to be the same
v. exhibit recognition for (an antigen or a substrate)
v. show approval or appreciation of"
pledge,"n. a deposit of personal property as security for a debt
n. someone accepted for membership but not yet fully admitted to the group
n. a drink in honor of or to the health of a person or event
v. promise solemnly and formally"
inlet,n. an arm off of a larger body of water (often between rocky headlands)
preface,"n a short introductory essay preceding the text of a book
v furnish with a preface or introduction"
jargon,n. specialized technical terminology characteristic of a particular subject
monster,"n. an imaginary creature usually having various human and animal parts
n. a cruel wicked and inhuman person
n. (medicine) a grossly malformed and usually nonviable fetus"
ideal,"n. the idea of something that is perfect; something that one hopes to attain
n. model of excellence or perfection of a kind; one having no equal
s. conforming to an ultimate standard of perfection or excellence; embodying an ideal
s. constituting or existing only in the form of an idea or mental image or conception"
participate,v. share in something
qualitative,"a. involving distinctions based on qualities
a. relating to or involving comparisons based on qualities"
relish,"n. spicy or savory condiment
n. the taste experience when a savoury condiment is taken into the mouth"
jury,"n. a body of citizens sworn to give a true verdict according to the evidence presented in a court of law
n. a committee appointed to judge a competition"
fixture,n. an object firmly fixed in place (especially in a household)
metric,a. based on the meter as a standard of measurement
refusal,"n. the act of refusing
n. a message refusing to accept something that is offered"
occurrence,n. an instance of something occurring
riot,"n. a public act of violence by an unruly mob
v. take part in a riot; disturb the public peace by engaging in a riot"
highlight,"n. the most interesting or memorable part
n. an area of lightness in a picture
v. apply a highlighter to one's cheeks or eyebrows in order to make them more prominent"
migrate,"v. move from one country or region to another and settle there
v. move periodically or seasonally"
fireplace,n. an open recess in a wall at the base of a chimney where a fire can be built
