technology,n. the practical application of science to commerce or industry
bulk,"n. the property of something that is great in magnitude
n. the property possessed by a large mass
v. stick out or up"
businessman,n. a person engaged in commercial or industrial business (especially an owner or executive)
chart,"n. a visual display of information
n. a map designed to assist navigation by air or sea
v. make a chart of
v. plan in detail"
checkout,"n. the latest time for vacating a hotel room
n. a counter in a supermarket where you pay for your purchases"
circus,"n. a travelling company of entertainers; including trained animals
n. a performance given by a traveling company of acrobats, clowns, and trained animals
n. a frenetic disorganized (and often comic) disturbance suggestive of a large public entertainment
n. (antiquity) an open-air stadium for chariot races and gladiatorial games"
civil,"s. applying to ordinary citizens as contrasted with the military
a. not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others
a. of or occurring within the state or between or among citizens of the state
a. of or relating to or befitting citizens as individuals"
classify,"v. arrange or order by classes or categories
v. declare unavailable, as for security reasons"
clinical,"a. relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients
s. scientifically detached; unemotional"
clone,"n. a group of genetically identical cells or organisms derived from a single cell or individual by some kind of asexual reproduction
v. make multiple identical copies of"
collaborate,"v. work together on a common enterprise of project
v. cooperate as a traitor"
communal,"s. for or by a group rather than individuals
a. relating to a small administrative district or community"
competitiveness,n. an aggressive willingness to compete
concentrate,"n. a concentrated form of a foodstuff; the bulk is reduced by removing water
n. a concentrated example of something
v. make denser, stronger, or purer
v. direct one's attention on something"
confine,"v. prevent from leaving or from being removed
v. deprive of freedom; take into confinement"
conquer,v. overcome by conquest
conscious,"s. intentionally conceived
a. knowing and perceiving; having awareness of surroundings and sensations and thoughts
s. (followed by `of') showing realization or recognition of something"
conservative,"n. a person who is reluctant to accept changes and new ideas
n. a member of a Conservative Party
a. resistant to change
s. having social or political views favoring conservatism"
consistent,"a. (sometimes followed by `with') in agreement or consistent or reliable
s. the same throughout in structure or composition"
consistently,r in a systematic or consistent manner
cord,"n. a line made of twisted fibers or threads
n. a unit of amount of wood cut for burning; 128 cubic feet
n. a light insulated conductor for household use
n. a cut pile fabric with vertical ribs; usually made of cotton"
correlate,"n. either of two or more related or complementary variables
v. to bear a reciprocal or mutual relation
v. bring into a mutual, complementary, or reciprocal relation"
counsel,"n a lawyer who pleads cases in court
n something that provides direction or advice as to a decision or course of action
v give advice to"
counsellor,"n someone who has supervisory duties at a summer camp
n someone who gives advice about problems
n a lawyer who pleads cases in court"
crack,"n. a long narrow opening
n. a sudden sharp noise
n. a blemish resulting from a break without complete separation of the parts
n. a purified and potent form of cocaine that is smoked rather than snorted; highly addictive"
defeat,n. an unsuccessful ending to a struggle or contest
definition,"n. a concise explanation of the meaning of a word or phrase or symbol
n. clarity of outline"
desert,"n. arid land with little or no vegetation
v. leave behind"
deteriorate,v. become worse or disintegrate
developer,"n. someone who develops real estate (especially someone who prepares a site for residential or commercial use)
n. photographic equipment consisting of a chemical solution for developing film"
dioxide,n. an oxide containing two atoms of oxygen in the molecule
distinction,"n. a distinguishing quality
n. a distinguishing difference"
distinctive,s. of a feature that helps to distinguish a person or thing
distribution,"n. (statistics) an arrangement of values of a variable showing their observed or theoretical frequency of occurrence
n. the spatial or geographic property of being scattered about over a range, area, or volume
n. the act of distributing or spreading or apportioning
n. the commercial activity of transporting and selling goods from a producer to a consumer"
doll,n. a small replica of a person; used as a toy
dweller,n a person who inhabits a particular place
elimination,"n. the act of removing or getting rid of something
n. the bodily process of discharging waste matter
n. analysis of a problem into alternative possibilities followed by the systematic rejection of unacceptable alternatives"
evaluate,v. form a critical opinion of
exact,a. marked by strict and particular and complete accordance with fact
exploit,"v. use or manipulate to one's advantage
v. draw from; make good use of"
fellow,"n. a member of a learned society
n. an informal form of address for a man"
ferry,"n. a boat that transports people or vehicles across a body of water and operates on a regular schedule
n. transport by boat or aircraft
v. transport from one place to another
v. transport by ferry"
fertilizer,n. any substance such as manure or a mixture of nitrates used to make soil more fertile
fierce,s. marked by extreme intensity of emotions or convictions; inclined to react violently; fervid
fitness,"n. the quality of being suitable
n. good physical condition; being in shape or in condition
n. the quality of being qualified"
formal,"a. being in accord with established forms and conventions and requirements (as e.g. of formal dress)
s. characteristic of or befitting a person in authority
a. (of spoken and written language) adhering to traditional standards of correctness and without casual, contracted, and colloquial forms
s. logically deductive"
frighten,"v. cause fear in
v. drive out by frightening"
hacker,"n. someone who plays golf poorly
n. a programmer who breaks into computer systems in order to steal or change or destroy information as a form of cyber-terrorism
n. a programmer for whom computing is its own reward; may enjoy the challenge of breaking into other computers but does no harm"
hang,"n. the way a garment hangs
n. a gymnastic exercise performed on the rings or horizontal bar or parallel bars when the gymnast's weight is supported by the arms
v. be suspended or hanging
v. cause to be hanging or suspended"
historic,"s. belonging to the past; of what is important or famous in the past
s. important in history"
historically,"r. throughout history
r. with respect to history"
ideology,n. imaginary or visionary theorization
immediately,"r. without delay or hesitation; with no time intervening
r. near or close by
r. bearing an immediate relation"
indifferent,"s. showing no care or concern in attitude or action
s. fairly poor to not very good
s. marked by no especial liking or dislike or preference for one thing over another
s. characterized by a lack of partiality"
inefficient,a. not producing desired results; wasteful
innovate,v bring something new to an environment
install,"v. set up for use
v. put into an office or a position
v. place"
insult,n. a deliberately offensive act or something producing the effect of deliberate disrespect
interpretation,"n. a mental representation of the meaning or significance of something
n. an explanation that results from interpreting something
n. an explanation of something that is not immediately obvious"
intuitive,"s. spontaneously derived from or prompted by a natural tendency
s. obtained through intuition rather than from reasoning or observation"
legend,n. a story about mythical or supernatural beings or events
legislator,n. someone who makes or enacts laws
marine,"n. a member of the United States Marine Corps
n. a soldier who serves both on shipboard and on land
a. of or relating to the sea
a. of or relating to military personnel who serve both on land and at sea (specifically the U.S. Marine Corps)"
migrant,"n. traveler who moves from one region or country to another
s. habitually moving from place to place especially in search of seasonal work"
moderate,"v. preside over
v. make less fast or intense
a. being within reasonable or average limits; not excessive or extreme
s. not extreme"
modest,"a. marked by simplicity; having a humble opinion of yourself
s. not large but sufficient in size or amount
s. free from pomp or affectation
a. not offensive to sexual mores in conduct or appearance"
monetary,a. relating to or involving money
municipal,"a. relating or belonging to or characteristic of a municipality
s. of or relating to the government of a municipality"
nationwide,"s occurring or extending throughout a country or nation
r extending throughout an entire nation"
nonetheless,r despite anything to the contrary (usually following a concession)
nuclear,"a. (weapons) deriving destructive energy from the release of atomic energy
a. of or relating to or constituting the nucleus of an atom
a. of or relating to or constituting the nucleus of a cell
s. constituting or like a nucleus"
obviously,r. unmistakably (`plain' is often used informally for `plainly')
occupy,"v. live (in a certain place)
v. occupy the whole of"
overuse,v. make use of too often or too extensively
pacific,"n. the largest ocean in the world
a. relating to or bordering the Pacific Ocean
s. disposed to peace or of a peaceful nature"
parenting,v bring up
passionate,a. having or expressing strong emotions
persist,v. stay behind
persistent,"s. never-ceasing
a. retained; not shed"
poison,"n. any substance that causes injury or illness or death of a living organism
n. anything that harms or destroys
v. spoil as if by poison
v. kill with poison"
polar,"s. having a pair of equal and opposite charges
a. located at or near or coming from the earth's poles
a. of or existing at or near a geographical pole or within the Arctic or Antarctic Circles"
poorly,"s somewhat ill or prone to illness
r (`ill' is often used as a combining form) in a poor or improper or unsatisfactory manner; not well"
portray,"v. portray in words
v. make a portrait of
v. represent abstractly, for example in a painting, drawing, or sculpture"
possess,"v. have as an attribute, knowledge, or skill
v. enter into and control, as of emotions or ideas"
possibly,"r. by chance
r. to a degree possible of achievement or by possible means"
predator,n. any animal that lives by preying on other animals
predominantly,r. much greater in number or influence
prejudice,"v. disadvantage by prejudice
v. influence (somebody's) opinion in advance"
prior,n. the head of a religious order; in an abbey the prior is next below the abbot
privilege,"n. a special advantage or immunity or benefit not enjoyed by all
n. (law) the right to refuse to divulge information obtained in a confidential relationship
v. bestow a privilege upon"
propel,v. cause to move forward with force
publication,"n. a copy of a printed work offered for distribution
n. the communication of something to the public; making information generally known
n. the business of issuing printed matter for sale or distribution"
quantitative,"a. expressible as a quantity or relating to or susceptible of measurement
a. relating to the measurement of quantity
a. (of verse) having a metric system based on relative duration of syllables"
recipe,n. directions for making something
representative,"n. a person who represents others
s. serving to represent or typify
a. standing for something else
s. being or characteristic of government by representation in which citizens exercise power through elected officers and representatives"
ring,"n. a characteristic sound
n. a toroidal shape
n. the sound of a bell ringing
n. a platform usually marked off by ropes in which contestants box or wrestle"
secondary,"n. the defensive football players who line up behind the linemen
a. being of second rank or importance or value; not direct or immediate
s. depending on or incidental to what is original or primary
s. not of major importance"
selection,n. an assortment of things from which a choice can be made
senator,n. a member of a senate
serving,"n an individual quantity of food or drink taken as part of a meal
n the act of delivering a writ or summons upon someone
v serve a purpose, role, or function
v do duty or hold offices; serve in a specific function
v contribute or conduce to
v be used by; as of a utility
v help to some food; help with food or drink
v provide (usually but not necessarily food)
v devote (part of) one's life or efforts to, as of countries, institutions, or ideas
v promote, benefit, or be useful or beneficial to
v spend time in prison or in a labor camp
v work for or be a servant to
v deliver a warrant or summons to someone
v be sufficient; be adequate, either in quality or quantity
v do military service
v mate with
v put the ball into play"
skeptical,"s denying or questioning the tenets of especially a religion
s marked by or given to doubt"
skip,"n. a gait in which steps and hops alternate
v. bound off one point after another"
slight,"v. pay no attention to, disrespect"
socio-economic,a. involving social as well as economic factors
specifically,r. in distinction from others
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
stimulation,"n. the act of arousing an organism to action
n. any stimulating information or event; acts to arouse action
n. (physiology) the effect of a stimulus (on nerves or organs etc.)"
subsequently,r. happening at a time subsequent to a reference time
tag,"n. a label written or printed on paper, cardboard, or plastic that is attached to something to indicate its owner, nature, price, etc.
n. a label associated with something for the purpose of identification
n. a game in which one child chases the others; the one who is caught becomes the next chaser
n. (sports) the act of touching a player in a game (which changes their status in the game)"
tempt,"v. dispose or incline or entice to
v. give rise to a desire by being attractive or inviting
v. try to seduce
v. try presumptuously"
testify,"v. give testimony in a court of law
v. provide evidence for"
testimony,"n. a solemn statement made under oath
n. an assertion offering firsthand authentication of a fact
n. something that serves as evidence"
totally,r to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')
trace,"n. a just detectable amount
n. an indication that something has been present
n. either of two lines that connect a horse's harness to a wagon or other vehicle or to a whiffletree
n. a visible mark (as a footprint) left by the passage of person or animal or vehicle"
transmit,v. send from one person or place to another
transparent,s. easily understood or seen through (because of a lack of subtlety)
treaty,n. a written agreement between two states or sovereigns
ultimate,"n. the finest or most superior quality of its kind
a. furthest or highest in degree or order; utmost or extreme
s. being the last or concluding element of a series"
uncomfortable,"a. conducive to or feeling mental discomfort
a. providing or experiencing physical discomfort"
undergo,v. pass through
underground,"n. a secret group organized to overthrow a government or occupation force
r. in or into hiding or secret operation
r. beneath the surface of the earth"
unity,"n an undivided or unbroken completeness or totality with nothing wanting
n the smallest whole number or a numeral representing this number
n the quality of being united into one"
urgency,"n. the state of being urgent; an earnest and insistent necessity
n. pressing importance requiring speedy action
n. an urgent situation calling for prompt action"
visual,"a relating to or using sight
s visible; give me the ocular proof""- Shakespeare"
willingness,n. cheerful compliance
accompany,v. go or travel along with
activate,"v. make active or more active
v. make more adsorptive
v. aerate (sewage) so as to favor the growth of organisms that decompose organic matter
v. make (substances) radioactive"
addict,"n. someone who is so ardently devoted to something that it resembles an addiction
n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms
v. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
agenda,"n. a temporally organized plan for matters to be attended to
n. a list of matters to be taken up (as at a meeting)"
aggravate,"v make worse
v exasperate or irritate"
altitude,"n. elevation especially above sea level or above the earth's surface
n. the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)"
anniversary,n. the date on which an event occurred in some previous year (or the celebration of it)
architecture,"n. an architectural product or work
n. the discipline dealing with the principles of design and construction and ornamentation of fine buildings
n. the profession of designing buildings and environments with consideration for their esthetic effect"
artificial,"a. contrived by art rather than nature
s. artificially formal
s. not arising from natural growth or characterized by vital processes"
bachelor,"n. a man who has never been married
v. lead a bachelor's existence"
bacon,"n. back and sides of a hog salted and dried or smoked; usually sliced thin and fried
n. English scientist and Franciscan monk who stressed the importance of experimentation; first showed that air is required for combustion and first used lenses to correct vision (1220-1292)
n. English statesman and philosopher; precursor of British empiricism; advocated inductive reasoning (1561-1626)"
ballet,"n. a theatrical representation of a story that is performed to music by trained dancers
n. music written for a ballet"
bankruptcy,"n. a state of complete lack of some abstract property
n. inability to discharge all your debts as they come due
n. a legal process intended to insure equality among the creditors of a corporation declared to be insolvent"
beverage,n. any liquid suitable for drinking
breath,"n. the process of taking in and expelling air during breathing
n. the air that is inhaled and exhaled in respiration
n. a short respite
n. a slight movement of the air"
bury,"v. cover from sight
v. place in a grave or tomb
v. place in the earth and cover with soil
v. embed deeply"
capability,"n. the quality of being capable -- physically or intellectually or legally
n. the susceptibility of something to a particular treatment
n. an aptitude that may be developed"
capitalist,"n. a conservative advocate of capitalism
n. a person who invests capital in a business (especially a large business)
a. of or relating to capitalism or capitalists"
cast,"n. the actors in a play
n. the distinctive form in which a thing is made
n. bandage consisting of a firm covering (often made of plaster of Paris) that immobilizes broken bones while they heal
n. object formed by a mold"
catastrophic,s. extremely harmful; bringing physical or financial ruin
cattle,n. domesticated bovine animals as a group regardless of sex or age
caution,"n. the trait of being cautious; being attentive to possible danger
n. a warning against certain acts
n. judiciousness in avoiding harm or danger
v. warn strongly; put on guard"
cautious,"a. showing careful forethought; never making swift decisions""
s. avoiding excess"
certification,n. the act of certifying or bestowing a franchise on
chase,"n. United States politician and jurist who served as chief justice of the United States Supreme Court (1808-1873)
n. a rectangular metal frame used in letterpress printing to hold together the pages or columns of composed type that are printed at one time
v. go after with the intent to catch
v. pursue someone sexually or romantically"
chronically,"r. in a habitual and longstanding manner
r. in a slowly developing and long lasting manner"
chunk,n. a substantial amount
citation,"n. an official award (as for bravery or service) usually given as formal public statement
n. (law) the act of citing (as of spoken words or written passages or legal precedents etc.)
n. a short note recognizing a source of information or of a quoted passage
n. a summons that commands the appearance of a party at a proceeding"
classical,"a. of or relating to the most highly developed stage of an earlier civilisation and its culture
a. of or relating to the study of the literary works of ancient Greece and Rome
s. (language) having the form used by ancient standard authors
s. of or pertaining to or characteristic of the ancient Greek and Roman cultures"
collaborative,s. accomplished by collaboration
collective,"n. members of a cooperative enterprise
a. forming a whole or aggregate
s. set up on the principle of collectivism or ownership and production by the workers involved usually under the supervision of a government"
colonial,"n. a resident of a colony
a. of or relating to or characteristic of or inhabiting a colony
a. of animals who live in colonies, such as ants
s. composed of many distinct individuals united to form a whole or colony"
comparable,"a. able to be compared or worthy of comparison
s. conforming in every respect"
complexity,n. the quality of being intricate and compounded
composition,"n. the spatial property resulting from the arrangement of parts in relation to each other and to the whole
n. a mixture of ingredients
n. an essay (especially one written as an assignment)
n. something that is created by arranging several things to form a unified whole"
compromise,"n. a middle way between two extremes
n. an accommodation in which both sides make concessions
v. make a compromise; arrive at a compromise; we all must compromise""
v. settle by concession"
consultant,n an expert who gives advice
contend,"v. maintain or assert
v. be engaged in a fight; carry on a fight"
contributor,n. a writer whose work is published in a newspaper or magazine or as part of a book
cube,"n. a hexahedron with six equal squares as faces
n. the product of three equal terms
n. any of several tropical American woody plants of the genus Lonchocarpus whose roots are used locally as a fish poison and commercially as a source of rotenone
n. a block in the (approximate) shape of a cube"
deadly,"s. causing or capable of causing death
s. of an instrument of certain death
s. extremely poisonous or injurious; producing venom
s. involving loss of divine grace or spiritual death"
dean,"n. an administrator in charge of a division of a university or college
n. United States film actor whose moody rebellious roles made him a cult figure (1931-1955)
n. a man who is the senior member of a group
n. (Roman Catholic Church) the head of the College of Cardinals"
decent,"s. socially or conventionally correct; refined or virtuous
a. conforming to conventions of sexual behavior
s. decently clothed
s. observing conventional sexual mores in speech or behavior or dress"
declaration,"n. a statement that is emphatic and explicit (spoken or written)
n. (law) unsworn statement that can be admitted in evidence in a legal transaction
n. a statement of taxable goods or of dutiable properties"
dedicate,"v. open to public use, as of a highway, park, or building
v. inscribe or address by way of compliment
v. set apart to sacred uses with solemn rites, of a church"
deem,v. keep in mind or convey as a conviction or view
default,"n. loss due to not showing up
n. act of failing to meet a financial obligation
v. fail to pay up"
democracy,"n. the political orientation of those who favor government by the people or by their elected representatives
n. a political system in which the supreme power lies in a body of citizens who can elect people to represent them"
dependent,"a. relying on or requiring a person or thing for support, supply, or what is needed
s. contingent on something else
a. (of a clause) unable to stand alone syntactically as a complete sentence"
destructive,a. causing destruction or much damage
dim,"v. switch (a car's headlights) from a higher to a lower beam
v. become dim or lusterless
v. make dim or lusterless
s. lacking in light; not bright or harsh"
dip,"n. a depression in an otherwise level surface
n. (physics) the angle that a magnetic needle makes with the plane of the horizon
n. tasty mixture or liquid into which bite-sized foods are dipped
n. a brief immersion"
disable,"v. make unable to perform a certain action
v. injure permanently"
disadvantaged,"v put at a disadvantage; hinder, harm
s marked by deprivation especially of the necessities of life or healthful environmental influences"
disruption,n. the act of causing disorder
distribute,"v. administer or bestow, as in small portions
v. make available
v. give to several people
v. spread throughout a given area"
drastic,s. forceful and extreme and rigorous
echo,"n. the repetition of a sound resulting from reflection of the sound waves
n. (Greek mythology) a nymph who was spurned by Narcissus and pined away until only her voice remained
n. a reply that repeats what has just been said
n. a reflected television or radio or radar beam"
effectiveness,n. power to be effective; the quality of being able to bring about an effect
eligible,a. qualified for or allowed or worthy of being chosen
endure,"v put up with something or somebody unpleasant
v face and withstand with courage
v continue to live through hardship or adversity
v undergo or be subjected to
v last and be usable
v persist for a specified period of time
v continue to exist"
enforce,"v. ensure observance of laws and rules; 
v. compel to behave in a certain way"
enthusiasm,"n. a feeling of excitement
n. a lively interest"
entirely,r. without any others being included or involved
esteem,n. the condition of being honored (esteemed or respected or well regarded)
ethnic,n. a person who is a member of an ethnic group
excellence,"n. the quality of excelling; possessing good qualities in high degree
n. an outstanding feature; something in which something or someone excels"
exclude,"v. prevent from being included or considered or accepted
v. prevent from entering; shut out
v. lack or fail to include"
explosion,"n. a violent release of energy caused by a chemical or nuclear reaction
n. the act of exploding or bursting
n. a sudden great increase
n. the noise caused by an explosion"
fancy,"n. a kind of imagination that was held by Coleridge to be more casual and superficial than true imagination
v. have a fancy or particular liking or desire for
a. not plain; decorative or ornamented"
file,"n. a set of related records (either written or electronic) kept together
n. a line of persons or things ranged one behind the other
n. office furniture consisting of a container for keeping papers in order
n. a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal"
financially,r. from a financial point of view
formulate,v. prepare according to a formula
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
gallery,"n. spectators at a golf or tennis match
n. a room or series of rooms where works of art are exhibited
n. a long usually narrow room used for some specific purpose
n. a covered corridor (especially one extending along the wall of a building and supported with arches or columns)"
globalisation,n growth to a global or worldwide scale
handful,"n. a small number or amount
n. the quantity that can be held in the hand"
hemisphere,"n. half of the terrestrial globe
n. half of a sphere
n. either half of the cerebrum"
hesitant,s. lacking decisiveness of character; unable to act or decide quickly or firmly
hint,"n. an indirect suggestion
n. a slight indication
v. drop a hint; intimate by a hint"
hook,"n. a catch for locking a door
n. a sharp curve or crook; a shape resembling a hook
n. a mechanical device that is curved or bent to suspend or hold or pull something
n. a curved or bent implement for suspending or pulling something"
illegal,a. prohibited by law or by official or accepted rules
illiterate,"n. a person unable to read
a. not able to read or write
a. lacking culture, especially in language and literature"
illuminate,v. add embellishments and paintings to (medieval manuscripts)
illustrate,"v. depict with an illustration
v. supply with illustrations"
imitation,"n. the doctrine that representations of nature or human behavior should be accurate imitations
n. something copied or derived from an original
n. copying (or trying to copy) the actions of someone else"
incredibly,r. not easy to believe
independence,"n. freedom from control or influence of another or others
n. the successful ending of the American Revolution
n. a city in western Missouri; the beginning of the Santa Fe Trail"
indirect,"s. having intervening factors or persons or influences
a. not direct in spatial dimension; not leading by a straight line or course to a destination
a. extended senses; not direct in manner or language or behavior or action
s. not as a direct effect or consequence"
inertia,n. (physics) the tendency of a body to maintain its state of rest or uniform motion unless acted upon by an external force
inevitably,r. in such a manner as could not be otherwise
inferior,"n. one of lesser rank or station or quality
a. of or characteristic of low rank or importance
a. of low or inferior quality
a. having an orbit between the sun and the Earth's orbit"
ingenuity,n. the property of being ingenious
inquire,"v inquire about
v have a wish or desire to know something
v conduct an inquiry or investigation of"
insurer,n a financial institution that sells insurance
intensely,r. in an intense manner
interact,v. act together or towards others or with others
intimate,"v. give to understand
s. marked by close acquaintance, association, or familiarity
s. involved in a sexual relationship
s. thoroughly acquainted through study or experience"
intimidating,"v make timid or fearful
v to compel or deter by or as if by threats
s discouraging through fear"
intolerance,"n. impatience with annoyances
n. unwillingness to recognize and respect differences in opinions or beliefs"
irreversible,a. incapable of being reversed
joint,"n. (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
n. a disreputable place of entertainment
n. junction by which parts or objects are joined together
n. marijuana leaves rolled into a cigarette for smoking"
keen,"n. a funeral lament sung with loud wailing
s. having a sharp cutting edge or point"
lawmaker,n a maker of laws; someone who gives a code of laws
lawsuit,n. a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
layer,"n. single thickness of usually some homogeneous substance
n. a relatively thin sheetlike expanse or region lying over or under another
n. a hen that lays eggs
n. thin structure composed of a single thickness of cells"
lessen,"v decrease in size, extent, or range
v make smaller
v wear off or die down"
lifelong,s. continuing through life
managerial,a. of or relating to the function or responsibility or activity of management
merchant,n. a businessperson engaged in retail trade
metric,a. based on the meter as a standard of measurement
metropolitan,"n. in the Eastern Orthodox Church this title is given to a position between bishop and patriarch; equivalent to archbishop in western Christianity
n. a person who lives in a metropolis
a. relating to or characteristic of a metropolis"
millennium,"n. a span of 1000 years
n. (New Testament) in Revelations it is foretold that those faithful to Jesus will reign with Jesus over the earth for a thousand years; the meaning of these words have been much debated; some denominations (e.g. Jehovah's Witnesses) expect it to be a thousand years of justice and peace and happiness
n. the 1000th anniversary (or the celebration of it)"
needy,"n. needy people collectively
s. demanding or needing attention, affection, or reassurance to an excessive degree"
negotiator,n. someone who negotiates (confers with others in order to reach a settlement)
nerve,n. any bundle of nerve fibers running to various organs and tissues of the body
nutritionist,n a specialist in the study of nutrition
on-screen,none
optimism,"n. the optimistic feeling that all is going to turn out well
n. a general disposition to expect the best in all things"
orient,"v. be oriented
v. determine one's position with reference to another point
v. cause to point
v. familiarize (someone) with new surroundings or circumstances"
originally,r. in an original manner
oven,n. kitchen appliance used for baking or roasting
overwork,"n. the act of working too much or too long
v. use too much
v. work excessively hard"
paradox,n. (logic) a statement that contradicts itself
perception,"n. a way of conceiving something
n. the process of perceiving
n. knowledge gained by perceiving"
persuasive,a. intended or having the power to induce action or belief
petroleum,n. a dark oil consisting mainly of hydrocarbons
phase,"n. any distinct time period in a sequence of events
n. (physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state and separated from other material by the phase boundary
n. a particular point in the time of a cycle; measured from some arbitrary zero and expressed as an angle
n. (astronomy) the particular appearance of a body's state of illumination (especially one of the recurring shapes of the part of Earth's moon that is illuminated by the sun)"
pile,"n. a collection of objects laid on top of each other
n. a large sum of money (especially as pay or profit)
n. a column of wood or steel or concrete that is driven into the ground to provide support for a structure
n. the yarn (as in a rug or velvet or corduroy) that stands up from the weave"
politically,"r. with regard to social relationships involving authority
r. with regard to government"
pollutant,n. waste matter that contaminates the water or air or soil
premium,"n. payment for insurance
n. the amount that something in scarce supply is valued above its nominal value
n. a prize, bonus, or award given as an inducement to purchase products, enter competitions initiated by business interests, etc.
s. having or reflecting superior quality or value"
prevalent,s most frequent or common
prime,"n. a number that has no factor but itself and 1
n. the second canonical hour; about 6 a.m.
n. the time of maturity when power and vigor are greatest
v. insert a primer into (a gun, mine, or charge) preparatory to detonation or firing"
proceed,"v. move ahead; travel onward in time or space
v. follow a certain course"
questionnaire,n. a form containing a set of questions; submitted to people to gain statistical information
quote,"v. repeat a passage from
v. name the price of
v. refer to for illustration or proof
v. put quote marks around"
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
ranking,"n. position on a scale in relation to others in a sport
s. having a higher rank"
reckon,v. take account of
reflection,"n. the phenomenon of a propagating wave (light or sound) being thrown back from a surface
n. the image of something as reflected by a mirror (or other reflective material)
n. (mathematics) a transformation in which the direction of one axis is reversed
n. the ability to reflect beams or rays"
registration,"n. the act of enrolling
n. the body of people (such as students) who register or enroll at the same time
n. a document certifying an act of registering
n. (music) the sound property resulting from a combination of organ stops used to perform a particular piece of music; the technique of selecting and adjusting organ stops"
reinforcement,n. information that makes more forcible or convincing
remedy,"n. a medicine or therapy that cures disease or relieve pain
v. provide relief for"
render,"n. a substance similar to stucco but exclusively applied to masonry walls
v. cause to become
v. give or supply
v. pass down"
representation,"n. a presentation to the mind in the form of an idea or image
n. a creation that is a visual or tangible rendering of someone or something
n. the act of representing; standing in for someone or some group and speaking with authority in their behalf
n. the state of serving as an official and authorized delegate or agent"
reproduce,"v. make a copy or equivalent of
v. have offspring or produce more individuals of a given animal or plant
v. recreate a sound, image, idea, mood, atmosphere, etc."
resistant,s. impervious to being affected
restrict,"v. place restrictions on
v. place under restrictions; limit access to
v. place limits on (extent or access)"
retreat,"n. (military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat
n. a place of privacy; a place affording peace and quiet
n. (military) a signal to begin a withdrawal from a dangerous position
n. (military) a bugle call signaling the lowering of the flag at sunset"
robust,"a. sturdy and strong in form, constitution, or construction
s. strong enough to withstand or overcome intellectual challenges or adversity
s. rough and crude"
roof,"n. a protective covering that covers or forms the top of a building
n. protective covering on top of a motor vehicle
n. the inner top surface of a covered area or hollow space
v. provide a building with a roof; cover a building with a roof"
sake,"n. a reason for wanting something done
n. Japanese alcoholic beverage made from fermented rice; usually served hot
n. the purpose of achieving or obtaining"
salty,"a. containing or filled with salt
s. one of the four basic taste sensations; like the taste of sea water"
satellite,"n. man-made equipment that orbits around the earth or the moon
n. a person who follows or serves another
n. any celestial body orbiting around a planet or star
v. broadcast or disseminate via satellite"
scared,"v cause fear in
v cause to lose courage
v mark with a scar
s made afraid"
separation,"n. the state of lacking unity
n. coming apart
n. sorting one thing from others
n. the social act of separating or parting company"
sewage,n. waste matter carried away in sewers or drains
sharply,"r. in a well delineated manner
r. changing suddenly in direction and degree"
sheet,"n. any broad thin expanse or surface
n. paper used for writing or printing
n. bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs
n. a flat artifact that is thin relative to its length and width"
simultaneous,s occurring or operating at the same time
situate,"v. determine or indicate the place, site, or limits of, as if by an instrument or by a survey
v. put (something somewhere) firmly"
slacker,n. a person who shirks his work or duty (especially one who tries to evade military service in wartime)
slavery,"n. the practice of owning slaves
n. work done under harsh conditions for little or no pay"
straightforward,"s. free from ambiguity
s. pointed directly ahead"
strive,v. to exert much effort or energy
sum,"n. a quantity of money
n. a quantity obtained by the addition of a group of numbers
n. the final aggregate
n. the whole amount"
supposedly,r believed or reputed to be the case
sustainably,none
sway,n. controlling influence
sympathetic,"a. of or relating to the sympathetic nervous system
a. expressing or feeling or resulting from sympathy or compassion or friendly fellow feelings; disposed toward
a. (of characters in literature or drama) evoking empathic or sympathetic feelings
s. having similar disposition and tastes"
syndrome,"n. a complex of concurrent things
n. a pattern of symptoms indicative of some disease"
technologically,r. by means of technology
temporarily,r. for a limited time only; not permanently
texture,"n. the feel of a surface or a fabric
n. the essential quality of something
n. the musical pattern created by parts being played or sung together
n. the characteristic appearance of a surface having a tactile quality"
toll,"n. a fee levied for the use of roads or bridges (used for maintenance)
v. ring slowly
v. charge a fee for using"
trader,n. someone who purchases and maintains an inventory of goods to be sold
trait,n. a distinguishing feature of your personal nature
