enable,v. render capable or able for some task
unaffected,"a. undergoing no change when acted upon
a. free of artificiality; sincere and genuine"
affection,n. a positive feeling of liking
effect,"n. an impression (especially one that is artificial or contrived)
n. the central meaning or theme of a speech or literary work
n. (of a law) having legal validity
n. a symptom caused by an illness or a drug"
effective,"a. producing or capable of producing an intended result or having a striking effect
s. able to accomplish a purpose; functioning effectively
s. works well as a means or remedy
s. exerting force or influence"
ineffective,"a. not producing an intended effect
s. lacking in power or forcefulness
s. lacking the ability or skill to perform effectively; inadequate"
effectiveness,n. power to be effective; the quality of being able to bring about an effect
effectively,r. in actuality or reality or fact
efficient,a. being effective without wasting time or effort or expense
inefficient,a. not producing desired results; wasteful
efficiency,"n. the ratio of the output to the input of any system
n. skillfulness in avoiding wasted time and effort"
inefficiency,n. unskillfulness resulting from a lack of efficiency
infect,"v. communicate a disease to
v. contaminate with a disease or microorganism
v. corrupt with ideas or an ideology
v. affect in a contagious way"
infection,"n. the pathological state resulting from the invasion of the body by pathogenic microorganisms
n. (phonetics) the alteration of a speech sound under the influence of a neighboring sound
n. (medicine) the invasion of the body by pathogenic microorganisms and their multiplication which can lead to tissue damage and disease
n. an incident in which an infectious disease is transmitted"
disinfect,v. destroy microorganisms or pathogens by cleansing
virus,"n. (virology) ultramicroscopic infectious agent that replicates itself only within cells of living hosts; many are pathogenic; a piece of nucleic acid (DNA or RNA) wrapped in a thin coat of protein
n. a harmful or corrupting agency
n. a software program capable of reproducing itself and usually capable of causing great harm to files or other programs on the same computer"
immune,"n. a person who is immune to a particular infection
a. relating to the condition of immunity
s. secure against
s. relating to or conferring immunity (to disease or infection)"
immunity,"n. (medicine) the condition in which an organism can resist disease
n. the quality of being unaffected by something"
immunization,n. the act of making immune (especially by inoculation)
perfect,"v. make perfect or complete
a. being complete of its kind and without defect or blemish
s. precisely accurate or exact"
perfection,"n. the state of being without a flaw or defect
n. the act of making something perfect"
imperfect,a. not perfect; defective or inadequate
perfectly,r. in a perfect or faultless way
factor,"n. anything that contributes causally to a result
n. any of the numbers (or symbols) that form a product when multiplied together
n. an independent variable in statistics
v. resolve into factors"
sufficient,a. of a quantity that can fulfill a need or requirement but without being abundant
suffice,"v. be sufficient; be adequate, either in quality or quantity"
sufficiency,"n. sufficient resources to provide comfort and meet obligations
n. the quality of being sufficient for the end in view"
insufficient,a. of a quantity not able to fulfill a need or requirement
sufficiently,r. to a sufficient degree
proficient,"s having or showing knowledge and skill and aptitude
a of or relating to technique or proficiency in a practical skill"
proficiency,"n. the quality of having great facility and competence
n. skillfulness in the command of fundamentals deriving from practice and familiarity"
artificial,"a. contrived by art rather than nature
s. artificially formal
s. not arising from natural growth or characterized by vital processes"
sacrifice,"n. personnel that are sacrificed (e.g., surrendered or lost in order to gain an objective)
n. a loss entailed by giving up or selling something at less than its value
n. the act of killing (an animal or person) in order to propitiate a deity
n. (baseball) an out that advances the base runners"
deficiency,"n the state of needing something that is absent or unavailable
n lack of an adequate quantity or number"
defeat,n. an unsuccessful ending to a struggle or contest
feature,"n. a prominent attribute or aspect of something
n. the characteristic parts of a person's face: eyes and nose and mouth and chin
n. the principal (full-length) film in a program at a movie theater
n. a special or prominent article in a newspaper or magazine"
feasible,s. capable of being done with means at hand and circumstances as they are
unfeasible,s not capable of being carried out or put into practice
fabricate,v. make up something artificial or untrue
surface,"n. the outer boundary of an artifact or a material layer constituting or resembling such a boundary
n. the extended two-dimensional outer boundary of a three-dimensional object
n. the outermost level of the land or sea
n. a superficial aspect as opposed to the real nature of something"
superficial,"a. concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually
a. of, affecting, or being on or near the surface
s. of little substance or significance"
fascinate,"v. to render motionless, as with a fixed stare or by arousing terror or awe"
fascination,"n. the state of being intensely interested (as by awe or terror)
n. the capacity to attract intense interest"
fantasy,"n. imagination unrestricted by reality
n. fiction with a large amount of imagination in it
v. indulge in fantasies"
fantastic,"s. extraordinarily good or great; used especially as intensifiers
s. fanciful and unrealistic; foolish
s. existing in fancy only
s. extravagantly fanciful in design, construction, appearance"
differ,v. be different
different,"a. unlike in nature or quality or form or degree
s. distinctly separate from the first
s. differing from all others; not ordinary
s. distinct or separate"
difference,"n. the quality of being unlike or dissimilar
n. a significant change"
differentiate,"v. calculate a derivative; take the derivative
v. become different during development
v. become distinct and acquire a different character"
differentiation,"n. a discrimination between things as different and distinct
n. the mathematical process of obtaining the derivative of a function"
indifferent,"s. showing no care or concern in attitude or action
s. fairly poor to not very good
s. marked by no especial liking or dislike or preference for one thing over another
s. characterized by a lack of partiality"
indifference,n. unbiased impartial unconcern
confer,"v. have a conference in order to talk something over
v. present"
conference,"n. a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)
n. a discussion among participants who have an agreed (serious) topic"
infer,"v reason by deduction; establish by deduction
v draw from specific cases for more general cases
v conclude by reasoning; in logic
v guess correctly; solve by guessing
v believe to be the case"
inference,n. the reasoning involved in drawing a conclusion or making a logical judgment on the basis of circumstantial evidence and prior conclusions rather than on the basis of direct observation
inferior,"n. one of lesser rank or station or quality
a. of or characteristic of low rank or importance
a. of low or inferior quality
a. having an orbit between the sun and the Earth's orbit"
inferiority,"n. the state of being inferior
n. an inferior quality
n. the quality of being a competitive disadvantage"
superior,"n. one of greater rank or station or quality
n. the head of a religious community
n. a town in northwest Wisconsin on Lake Superior across from Duluth
a. of high or superior quality or performance"
superiority,"n. the quality of being superior
n. the quality of being at a competitive advantage
n. displaying a sense of being better than others"
prefer,"v. like better; value more highly
v. promote over another
v. give preference to one creditor over another"
preference,"n. a strong liking
n. the right or chance to choose
n. grant of favor or advantage to one over another (especially to a country or countries in matters of international trade, such as levying duties)"
preferable,s. more desirable than another
preferably,r. more readily or willingly
refer,"v. be relevant to
v. think of, regard, or classify under a subsuming principle or with a general group or in relation to another
v. send or direct for treatment, information, or a decision
v. use a name to designate"
reference,"n. the most direct or specific meaning of a word or expression; the class of objects that an expression refers to
n. the act of referring or consulting
n. a publication (or a passage from a publication) that is referred to
n. the relation between a word or phrase and the object or idea it refers to"
suffer,"v. undergo or be subjected to
v. undergo (as of injuries and illnesses)
v. experience (emotional) pain
v. get worse"
suffering,"n. misery resulting from affliction
n. feelings of mental or physical pain
s. troubled by pain or loss"
interfere,v. come between so as to be hindrance or obstacle
interference,n. (American football) blocking a player's path with your body
transfer,"n. someone who transfers or is transferred from one position to another
n. the act of transfering something from one form to another
n. a ticket that allows a passenger to change conveyances
n. application of a skill learned in one situation to a different but similar situation"
transferable,"s capable of being moved or conveyed from one place to another
s legally transferable to the ownership of another"
defer,"v hold back to a later time
v yield to another's wish or opinion"
deference,"n. a courteous expression (by word or deed) of esteem or regard
n. courteous regard for people's feelings"
profess,"v. practice as a profession, teach, or claim to be knowledgeable about
v. confess one's faith in, or allegiance to
v. state freely
v. receive into a religious order or congregation"
profession,"n. the body of people in a learned occupation
n. an occupation requiring special education (especially in the liberal arts or sciences)
n. an open avowal (true or false) of some belief or opinion
n. affirmation of acceptance of some religion or faith"
professional,"n. a person engaged in one of the learned professions
n. an athlete who plays for pay
a. engaged in a profession or engaging in as a profession or means of livelihood
a. of or relating to or suitable as a profession"
confess,"v. confess to a punishable or reprehensible deed, usually under pressure
v. confess to God in the presence of a priest, as in the Catholic faith"
faith,"n. complete confidence in a person or plan etc
n. loyalty or allegiance to a cause or a person"
faithful,"n. any loyal and steadfast following
a. steadfast in affection or allegiance
a. not having sexual relations with anyone except your husband or wife, or your boyfriend or girlfriend"
faithfulness,n the quality of being faithful
confident,"a. having or marked by confidence or assurance
s. not liable to error in judgment or action"
confidence,"n. a feeling of trust (in someone or something)
n. a state of confident hopefulness that events will be favorable
n. a trustful relationship
n. a secret that is confided or entrusted to another"
confidential,"s. entrusted with private information and the confidence of another
s. (of information) given in confidence or in secret
s. denoting confidence or intimacy
s. the level of official classification for documents next above restricted and below secret; available only to persons authorized to see documents so classified"
finite,"a. bounded or limited in magnitude or spatial or temporal extent
a. of verbs; relating to forms of the verb that are limited in time by a tense and (usually) show agreement with number and person"
infinite,"a. having no limits or boundaries in time or space or extent or magnitude
a. of verbs; having neither person nor number nor mood (as a participle or gerund or infinitive)
s. total and all-embracing"
define,"v. give a definition for the meaning of a word
v. determine the nature of
v. show the form or outline of"
definition,"n. a concise explanation of the meaning of a word or phrase or symbol
n. clarity of outline"
redefine,"v. give a new or different definition to
v. give a new or different definition of (a word)"
definite,"a. precise; explicit and clearly defined
s. known for certain"
definitely,r without question and beyond doubt
indefinite,"a. vague or not clearly defined or stated
s. not decided or not known"
indefinitely,r. to an indefinite extent; for an indefinite time
finance,"n. the commercial activity of providing funds and capital
n. the branch of economics that studies the management of money and other assets
n. the management of money and credit and banking and investments
v. obtain or provide money for"
financial,a involving financial matters
financially,r. from a financial point of view
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
firm,"n. the members of a business organization that owns or operates one or more establishments
s. marked by firm determination or resolution; not shakable
s. not soft or yielding to pressure
s. strong and sure"
infirm,"s. lacking firmness of will or character or purpose; give me the daggers"" - Shakespeare"
firmly,"r with resolute determination
r in a secure manner; in a manner free from danger
r with firmness"
affirm,"v. to declare or affirm solemnly and formally as true
v. say yes to"
affirmation,"n. the act of affirming or asserting or stating something
n. (religion) a solemn declaration that serves the same purpose as an oath (if an oath is objectionable to the person on religious or ethical grounds)
n. a judgment by a higher court that the judgment of a lower court was correct and should stand"
reaffirm,v. affirm once again
confirm,"v. establish or strengthen as with new evidence or facts
v. strengthen or make more firm
v. make more firm
v. support a person for a position"
confirmation,"n. additional proof that something that was believed (some fact or hypothesis or theory) is correct
n. information that confirms or verifies
n. a ceremony held in the synagogue (usually at Pentecost) to admit as adult members of the Jewish community young men and women who have successfully completed a course of study in Judaism"
flatter,v. praise somewhat dishonestly
flattering,a. showing or representing to advantage
unflattering,a. showing or representing unfavorably
inflate,"v. exaggerate or make bigger
v. fill with gas or air
v. cause prices to rise by increasing the available currency or credit
v. increase the amount or availability of, creating a rise in value"
inflation,"n. a general and progressive increase in prices
n. (cosmology) a brief exponential expansion of the universe (faster than the speed of light) postulated to have occurred shortly after the big bang
n. the act of filling something with air"
reflect,"v. manifest or bring back
v. to throw or bend back (from a surface)
v. be bright by reflecting or casting light
v. show an image of"
reflection,"n. the phenomenon of a propagating wave (light or sound) being thrown back from a surface
n. the image of something as reflected by a mirror (or other reflective material)
n. (mathematics) a transformation in which the direction of one axis is reversed
n. the ability to reflect beams or rays"
flexible,"a. capable of being changed
a. able to flex; able to bend easily
s. bending and snapping back readily without breaking"
flexibility,"n. the property of being flexible; easily bent or shaped
n. the quality of being adaptable or variable"
inflexible,"a. incapable of change
a. resistant to being bent; 
s. incapable of adapting or changing to meet circumstances"
flexibly,r. with flexibility
conflict,"n. an open clash between two opposing groups (or individuals)
n. opposition between two simultaneous but incompatible feelings
n. a state of opposition between persons or ideas or interests
n. an incompatibility of dates or events"
conflicting,s. on bad terms
flu,n an acute febrile highly contagious viral disease
fuel,"n. a substance that can be consumed to produce energy
v. provide with a combustible substance that provides energy
v. provide with fuel
v. take in fuel, as of a ship"
biofuel,none
flaw,"n. defect or weakness in a person's character
n. an imperfection in a plan or theory or legal document that causes it to fail or that reduces its effectiveness
v. add a flaw or blemish to; make imperfect or defective"
flawed,"v add a flaw or blemish to; make imperfect or defective
s having a blemish or flaw"
fluent,s. smooth and unconstrained in movement
affluent,"n. an affluent person; a person who is financially well off
s. having an abundant supply of money or possessions of value"
influence,"n. a power to affect persons or events especially power based on prestige etc
n. causing something without any direct or apparent effort
n. a cognitive factor that tends to have an effect on what you do
n. the effect of one thing (or person) on another"
influential,a. having or exercising influence or power
impact,"n. the striking of one body against another
n. a forceful consequence; a strong effect
v. press or wedge together; pack together"
fluctuate,"v. cause to fluctuate or move in a wavelike pattern
v. move or sway in a rising and falling or wavelike pattern
v. be unstable"
fluctuation,"n. a wave motion
n. the quality of being unsteady and subject to changes"
flush,"n. a poker hand with all 5 cards in the same suit
n. a sudden rapid flow (as of water)
v. flow freely
v. glow or cause to glow with warm color or light"
refuse,"v. show unwillingness towards
v. refuse to accept"
refusal,"n. the act of refusing
n. a message refusing to accept something that is offered"
refutation,n. the speech act of answering an attack on your assertions
decline,"n. change toward something smaller or lower
n. a condition inferior to an earlier condition; a gradual falling off from a better state
v. grow smaller
v. go down"
confuse,"v. mistake one thing for another
v. be confusing or perplexing to; cause to be unable to think clearly
v. cause to feel embarrassment
v. make unclear, indistinct, or blurred"
confusing,"s. causing confusion or disorientation
s. lacking clarity of meaning; causing confusion or perplexity"
confused,"s. lacking orderly continuity
s. having lost your bearings; confused as to time or place or personal identity
a. mentally confused; unable to think with clarity or act intelligently"
confusedly,r. in a confused manner
confusion,"n. disorder resulting from a failure to behave predictably
n. a mental state characterized by a lack of clear and orderly thought and behavior
n. a feeling of embarrassment that leaves you confused
n. an act causing a disorderly combination of elements with identities lost and distinctions blended"
diffuse,"v. move outward
s. spread out; not concentrated in one place
s. lacking conciseness"
diffusion,"n. (physics) the process in which there is movement of a substance from an area of high concentration of that substance to an area of lower concentration
n. the spread of social institutions (and myths and skills) from one society to another"
foresee,"v realize beforehand
v picture to oneself; imagine possible
v act in advance of; deal with ahead of time"
foreseeable,s. capable of being anticipated
forecast,v. predict in advance
forecaster,n. someone who makes predictions of the future (usually on the basis of special knowledge)
form,"n. the phonological or orthographic sound or appearance of a word that can be used to describe or identify something
n. a perceptual structure
n. the visual appearance of something or someone
n. a printed document with spaces in which to write"
formation,"n. an arrangement of people or things acting as a unit
n. the act of fabricating something in a particular shape
n. a particular spatial arrangement
n. natural process that causes something to form"
former,"n. the first of two or the first mentioned of two
a. referring to the first of two things or persons mentioned (or the earlier one or ones of several); I prefer the former version to the latter one""
s. (used especially of persons) of the immediate past"
formal,"a. being in accord with established forms and conventions and requirements (as e.g. of formal dress)
s. characteristic of or befitting a person in authority
a. (of spoken and written language) adhering to traditional standards of correctness and without casual, contracted, and colloquial forms
s. logically deductive"
formally,"r. with official authorization
r. in a formal manner"
informal,"a. not formal
s. not officially recognized or controlled
a. used of spoken and written language"
informality,n. a manner that does not take forms and ceremonies seriously
format,"n. the organization of information according to preset specifications (usually for computer processing)
n. the general appearance of a publication
v. set (printed matter) into a specific format
v. determine the arrangement of (data) for storage and display (in computer science)"
formula,"n. a group of symbols that make a mathematical statement
n. a conventionalized statement expressing some fundamental principle
n. a representation of a substance using symbols for its constituent elements
n. a liquid food for infants"
formulate,v. prepare according to a formula
formulation,"n. a substance prepared according to a formula
n. the style of expressing yourself"
perform,"v. carry out or perform an action
v. perform a function
v. give a performance (of something)"
performance,"n. a dramatic or musical entertainment
n. the act of presenting a play or a piece of music or other entertainment
n. the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
n. any recognized accomplishment"
performer,n. an entertainer who performs a dramatic or musical work for an audience
inform,"v. impart knowledge of some fact, state or affairs, or event to
v. give character or essence to
v. act as an informer"
informed,a. having much knowledge or education
uninformed,a. not informed; lacking in knowledge or information
information,"n. a message received and understood
n. knowledge acquired through study or experience or instruction
n. formal accusation of a crime
n. (communication theory) a numerical measure of the uncertainty of an outcome"
misinformation,n. information that is incorrect
reform,"n. a change for the better as a result of correcting abuses
n. a campaign aimed to correct abuses or malpractices
n. self-improvement in behavior or morals by abandoning some vice
v. make changes for improvement in order to remove abuse and injustices"
reformation,"n. improvement (or an intended improvement) in the existing form or condition of institutions or practices etc.; intended to make a striking change for the better in social or political or religious affairs
n. a religious movement of the 16th century that began as an attempt to reform the Roman Catholic Church and resulted in the creation of Protestant churches"
reformer,"n. a disputant who advocates reform
n. an apparatus that reforms the molecular structure of hydrocarbons to produce richer fuel"
transform,"v. subject to a mathematical transformation
v. change or alter in form, appearance, or nature
v. change in outward structure or looks
v. convert (one form of energy) to another"
transformer,n. an electrical device by which alternating current of one voltage is changed to another voltage
conform,"v. be similar, be in line with"
conformity,"n. correspondence in form or appearance
n. acting according to certain accepted standards
n. orthodoxy in thoughts and belief"
formidable,"s. extremely impressive in strength or excellence
s. inspiring fear"
fortune,"n. a large amount of wealth or prosperity
n. your overall circumstances or condition in life (including everything that happens to you)"
fortunate,"a. having unexpected good fortune
s. supremely favored
s. presaging good fortune"
fortunately,r. by good fortune
unfortunately,r. by bad luck
misfortune,"n. unnecessary and unforeseen trouble resulting from an unfortunate event
n. an unfortunate state resulting from unfavorable outcomes"
force,"n. a powerful effect or influence
n. (physics) the influence that produces a change in a physical quantity
n. physical energy or intensity
n. group of people willing to obey orders"
forceful,a. characterized by or full of force or strength (often but not necessarily physical)
forced,"a. produced by or subjected to forcing
s. forced or compelled
s. made necessary by an unexpected situation or emergency"
unforced,s. not resulting from undue effort; not forced
effort,n. use of physical or mental energy; hard work
effortless,a. requiring or apparently requiring no effort
comfortable,"a. providing or experiencing physical well-being or relief (`comfy' is informal)
a. free from stress or conducive to mental ease; having or affording peace of mind
s. more than adequate
s. sufficient to provide comfort"
uncomfortable,"a. conducive to or feeling mental discomfort
a. providing or experiencing physical discomfort"
comfort,"n. a state of being relaxed and feeling no pain
n. a feeling of freedom from worry or disappointment
n. satisfaction or physical well-being provided by a person or thing
n. assistance, such as that provided to an enemy or to a known criminal"
discomfort,"n. the state of being tense and feeling pain
n. an uncomfortable feeling of mental painfulness or distress"
enforce,"v. ensure observance of laws and rules; 
v. compel to behave in a certain way"
enforcement,n. the act of enforcing; ensuring observance of or obedience to
reinforce,"v. make stronger
v. strengthen and support with rewards"
found,"n. food and lodging provided in addition to money
a. come upon unexpectedly or after searching"
foundation,"n. the basis on which something is grounded
n. an institution supported by an endowment
n. lowest support of a structure
n. education or instruction in the fundamentals of a field of knowledge"
basis,"n. the fundamental assumptions from which something is begun or developed or calculated or explained
n. the most important or necessary part of something"
basic,"n. a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use
n. (usually plural) a necessary commodity for which demand is constant
a. pertaining to or constituting a base or basis
s. reduced to the simplest and most significant form possible without loss of generality"
basically,r. in essence; at bottom or by one's (or its) very nature
basics,n. a statement of fundamental facts or principles
profound,"a. showing intellectual penetration or emotional depth
s. of the greatest intensity; complete
s. coming from deep within one
s. situated at or extending to great depth; too deep to have been sounded or plumbed"
profoundly,r. to a great depth psychologically
fade,"n. gradually ceasing to be visible
v. become less clearly visible or distinguishable; disappear gradually or seemingly
v. lose freshness, vigor, or vitality"
fair,"n. gathering of producers to promote business
n. a competitive exhibition of farm products
v. join so that the external surfaces blend smoothly
a. free from favoritism or self-interest or bias or deception; conforming with established standards or rules"
fairness,"n. conformity with rules or standards
n. ability to make judgments free from discrimination or dishonesty"
fairly,"r. without favoring one party, in a fair evenhanded manner
r. in conformity with the rules or laws and without fraud or cheating"
unfair,a. not fair; marked by injustice or partiality or deception
unfairness,"n. partiality that is not fair or equitable
n. injustice by virtue of not conforming with rules or standards"
affair,"n. a usually secretive or illicit sexual relationship
n. a vaguely specified social event"
favor,"n. an act of gracious kindness
n. an advantage to the benefit of someone or something
n. an inclination to approve"
favorite,"n. something regarded with special favor or liking
s. appealing to the general public"
favorable,"a. encouraging or approving or pleasing
a. (of winds or weather) tending to promote or facilitate
s. occurring at a convenient or suitable time"
unfavorable,"a. not encouraging or approving or pleasing
a. (of winds or weather) tending to hinder or oppose
s. not favorable"
favoritism,n. an inclination to favor some person or group
familiar,"n. a person attached to the household of a high official (as a pope or bishop) who renders service in return for support
n. a spirit (usually in animal form) that acts as an assistant to a witch or wizard
a. well known or easily recognized
a. within normal everyday experience; common and ordinary; not strange"
unfamiliar,a. not known or well known
fatigue,"n. temporary loss of strength and energy resulting from hard physical or mental work
n. used of materials (especially metals) in a weakened state caused by long stress
n. (always used with a modifier) boredom resulting from overexposure to something"
federal,"n. a member of the Union Army during the American Civil War
n. any federal law-enforcement officer
s. national; especially in reference to the government of the United States as distinct from that of its member units
a. of or relating to the central government of a federation"
feeble,"s. pathetically lacking in force or effectiveness
s. lacking strength"
fierce,s. marked by extreme intensity of emotions or convictions; inclined to react violently; fervid
figure,"n. a diagram or picture illustrating textual material
n. a model of a bodily form (especially of a person)
n. a combination of points and lines and planes that form a visible palpable shape
n. an amount of money expressed numerically"
digital,"a. displaying numbers rather than scale positions
a. relating to or performed with the fingers
a. of a circuit or device that represents magnitudes in digits"
digitalized,"v put into digital form, as for use in a computer
v administer digitalis such that the patient benefits maximally without getting adverse effects"
fine,"n. money extracted as a penalty
s. minutely precise especially in differences in meaning
s. thin in thickness or diameter
s. characterized by elegance or refinement or accomplishment"
flavor,n. (physics) the six kinds of quarks
flourish,"n. a showy gesture
n. an ornamental embellishment in writing
n. a display of ornamental speech or language
n. the act of waving"
forgive,"v. stop blaming or grant forgiveness
v. absolve from payment"
forgiveness,"n. compassionate feelings that support a willingness to forgive
n. the act of excusing a mistake or offense"
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
frame,"n. the framework for a pair of eyeglasses
n. a single one of a series of still transparent pictures forming a cinema, television or video film
n. a single drawing in a comic_strip
n. an application that divides the user's display into two or more windows that can be scrolled independently"
framer,"n. someone who makes frames (as for pictures)
n. someone who writes a new law or plan"
framework,"n. the underlying structure
n. a structure supporting or containing something"
frequent,"v. be a regular or frequent visitor to a certain place
a. coming at short intervals or habitually
s. frequently encountered;"
frequency,"n. the number of occurrences within a given time period
n. the ratio of the number of observations in a statistical category to the total number of observations
n. the number of observations in a given statistical category"
frequently,r. many times at short intervals
frustrate,"v hinder or prevent (the efforts, plans, or desires) of
v treat cruelly"
frustration,"n. the feeling that accompanies an experience of being thwarted in attaining your goals
n. an act of hindering someone's plans or efforts
n. a feeling of annoyance at being hindered or criticized"
fund,"n. a reserve of money set aside for some purpose
v. convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds
v. place or store up in a fund for accumulation
v. provide a fund for the redemption of principal or payment of interest"
fundamental,"n. any factor that could be considered important to the understanding of a particular business
n. the lowest tone of a harmonic series
s. being or involving basic facts or principles
s. far-reaching and thoroughgoing in effect especially on the nature of something"
fundamentally,r in essence; at bottom or by one's (or its) very nature
gene,n. (genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity
genetic,"a. pertaining to or referring to origin
a. of or relating to the science of genetics"
genetically,r. by genetic mechanisms
genetics,n. the branch of biology that studies heredity and variation in organisms
generate,"v. bring into existence
v. produce (energy)"
generation,"n. group of genetically related organisms constituting a single step in the line of descent
n. the normal time between successive generations
n. a stage of technological development or innovation
n. the production of heat or electricity"
degenerate,"n a person whose behavior deviates from what is acceptable especially in sexual behavior
v grow worse
s unrestrained by convention or morality"
genius,"n. someone who has exceptional intellectual ability and originality
n. exceptional creative ability"
gift,n. something acquired without compensation
gifted,"v give qualities or abilities to
v give as a present; make a gift of
a endowed with talent or talents"
talent,n. a person who possesses unusual innate ability in some field or activity
talented,a. endowed with talent or talents
genuine,"a. not fake or counterfeit
s. not pretended; sincerely felt or expressed"
genuinely,"r in accordance with truth or fact or reality
r genuinely; with authority"
general,"n. a general officer of the highest rank
n. the head of a religious order or congregation
n. a fact about the whole (as opposed to particular)
v. command as a general"
generally,r. without distinction of one from others
generalize,"v. draw from specific cases for more general cases
v. speak or write in generalities
v. become systemic and spread throughout the body"
generalization,"n. reasoning from detailed facts to general principles
n. an idea or conclusion having general application
n. (psychology) transfer of a response learned to one stimulus to a similar stimulus"
generous,"a. willing to give and share unstintingly
a. not petty in character and mind
s. more than adequate"
gender,n. a grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives; in some languages it is quite arbitrary but in Indo-European languages it is usually based on sex or animateness
pregnant,a. carrying developing offspring within the body or being about to produce new life
benign,"a. not dangerous to health; not recurrent or progressive (especially of a tumor)
a. pleasant and beneficial in nature or influence
s. kindness of disposition or manner"
oxygen,n. a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust
autograph,"n. something written by one's own hand
n. a person's own signature
v. mark with one's signature"
biography,n. an account of the series of events making up a person's life
biographical,a of or relating to or being biography
autobiography,n. a biography of yourself
paragraph,"n. one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line
v. divide into paragraphs, as of text
v. write about in a paragraph
v. write paragraphs; work as a paragrapher"
parallel,"n. (mathematics) one of a set of parallel geometric figures (parallel lines or planes)
v. be parallel to
v. make or place parallel to something
a. being everywhere equidistant and not intersecting"
paralleled,imp. & p. p. of Parallel
unparalleled,s radically distinctive and without equal
paradox,n. (logic) a statement that contradicts itself
paradoxical,s. seemingly contradictory but nonetheless possibly true
paradoxically,r. in a paradoxical manner
paralyze,"v. make powerless and unable to function
v. cause to be paralyzed and immobile"
paralysis,n. loss of the ability to move a body part
geography,n. study of the earth's surface; includes people's responses to topography and climate and soil and vegetation
geographic,"a. of or relating to the science of geography
a. determined by geography"
geographical,"a of or relating to the science of geography
a determined by geography"
geology,n. a science that deals with the history of the earth as recorded in rocks
geologist,n. a specialist in geology
geological,a. of or relating to or based on geology
grade,"n. a relative position or degree of value in a graded group
n. the gradient of a slope or road or other surface
n. a degree of ablaut
n. the height of the ground on which something stands"
gradual,"n. (Roman Catholic Church) an antiphon (usually from the Book of Psalms) immediately after the epistle at Mass
a. proceeding in small stages
a. (of a topographical gradient) not steep or abrupt"
gradually,r. in a gradual manner
degrade,"v. reduce the level of land, as by erosion
v. lower the grade of something; reduce its worth"
degrading,"v reduce the level of land, as by erosion
v reduce in worth or character, usually verbally
v lower the grade of something; reduce its worth
s harmful to the mind or morals
s used of conduct; characterized by dishonor"
upgrade,"n. software that provides better performance than an earlier version did
n. a reservation that is improved
n. the property possessed by a slope or surface that rises
n. hardware that provides better performance than an earlier version did"
graduate,"n. a measuring instrument for measuring fluid volume; a glass container (cup or cylinder or flask) whose sides are marked with or divided into amounts
v. receive an academic degree upon completion of one's studies
v. confer an academic degree upon
s. of or relating to studies beyond a bachelor's degree"
undergraduate,n. a university student who has not yet received a first degree
postgraduate,"n a student who continues studies after graduation
s of or relating to studies beyond a bachelor's degree"
ingredient,"n. a component of a mixture or compound
n. food that is a component of a mixture in cooking"
progress,"n. the act of moving forward (as toward a goal)
n. a movement forward
v. develop in a positive way"
progressive,"n. a tense of verbs used in describing action that is on-going
a. favoring or promoting progress
s. favoring or promoting reform (often by government action)
a. (of taxes) adjusted so that the rate increases as the amount of income increases"
progression,n. a series with a definite pattern of advance
aggress,v take the initiative and go on the offensive
aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
aggressiveness,"n. the quality of being bold and enterprising
n. a natural disposition to be hostile"
aggressively,r. in an aggressive manner
congress,"n. the legislature of the United States government
n. a meeting of elected or appointed representatives
n. a national legislative assembly"
congressional,a. of or relating to congress
regret,"v. feel sad about the loss or absence of
v. decline formally or politely
v. express with regret"
regrettable,s. deserving regret
regrettably,r by bad luck
integrate,"v. make into a whole or make part of a whole
v. become one; become integrated
v. calculate the integral of; calculate by integration"
integration,"n. the action of incorporating a racial or religious group into a community
n. an operation used in the calculus whereby the integral of a function is determined"
disintegrate,"v. break into parts or components or lose cohesion or unity
v. cause to undergo fission or lose particles
v. lose a stored charge, magnetic flux, or current"
disintegration,n. a loss (or serious disruption) of organization in some system
integrity,"n. an undivided or unbroken completeness or totality with nothing wanting
n. moral soundness"
gravity,"n. (physics) the force of attraction between all masses in the universe; especially the attraction of the earth's mass for bodies near its surface
n. a solemn and dignified feeling"
aggravate,"v make worse
v exasperate or irritate"
