harpoon,"n. 鱼叉
vt. 用鱼叉叉, 用鱼叉捕获"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
critique,"n. 评论文章, 评论"
anonymity,"n. 匿名, 姓氏不明
[计] 匿名信件"
publicly,"adv. 公然地, 以公众名义"
flagship,旗舰
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
[计] 关联"
oath,"n. 誓约, 誓言, 咒骂
[法] 誓言, 誓约, 宣誓"
editor-in-chief,n. 主编，总编辑
guidance,"n. 指导, 领导
[医] 导"
obesity,"n. 肥胖
[医] 肥胖, 多脂"
gastrointestinal, [医]胃肠的
autism,"n. 孤独症
[医] 孤独癖, 自我中心主义"
herbicide,"n. 除草剂
[化] 除草剂"
gauge,义大利李，表，计，规
spectrum,"n. 光谱, 范围, 系列
[化] 光谱"
accountability,会计责任
marginalize,"vt.使处于社会边缘,使脱离社会发展进程, 忽视,排斥"
organism,"n. 生物, 有机体, 社会组织
[医] 生物[体],[有]机体"
beverage,"n. 饮料
[化] 饮料(如牛奶、茶、咖啡、啤酒等)"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
discontent,n. 不满
funding,[经] 债务转期
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
resumption,"n. 取回, 恢复, 再开始
[经] 再取回, 恢复, 重新占用"
negotiation,"n. 谈判, 磋商, 交涉
[经] 谈判, 协商"
unsustainable,adj. 无法支撑的；不可证实的；不能成立的
workload,"[计] 工作负载, 工作装配
[经] 工作量"
collateral,"a. 并行的, 附随的, 旁系的
n. 旁系亲属, 担保品"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
[计] 负数, 负值"
crisis,危象
commitment,"n. 委托, 交押, 承担义务, 赞助
[医] 院禁"
backbone,[医] 脊柱
nostalgic,"a. 乡愁的, 怀旧的
[医] 怀乡病的"
despondent,"a. 丧气的, 失望的, 没有精神的"
labor-force,"[经] 劳动力, 劳动大军"
participation,n. participate的变形
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
spouse,n. 配偶
considerable,"a. 相当的, 可观的, 重要的"
along with,"与…一道,与…一起,连同…"
symbolic,"a. 象征的, 符号的
[电] 符号化"
pick up,"v. 拾起；探出；重新开始
[网络] 捡起；拿起；学会"
barrier,"n. 障碍, 栅栏
[化] 势垒; 阻片; 阻挡层"
suburban,[网络] 城市的近郊地区；城外
satellite,"n. 人造卫星
[医] 伴行静脉, 陪静脉, 陪病部, 随体, 卫星"
separation,"n. 分离, 分居, 缺口, 退职
[化] 分离"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
plant-based,[网络] 健康食品
omnivorous,"a. 无所不吃的, 杂食的, 什么都喜欢的"
dietary,"a. 饮食的
n. 规定食物"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
randomly,"adv. 偶然, 胡乱, 无目的, 任意, 随便, 任取, 无规则, 机遇, 胡乱地, 任意地, 随便地
[计] 随机地"
spectrum,"n. 光谱, 范围, 系列
[化] 光谱"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
consumption,"n. 消费, 消费量, 痨病
[化] 消耗量; 耗量"
hold true,"适用, 有效
[法] 适用, 有效"
indebtedness,"[经] 负债, 债务"
parliamentary,"a. 国会的, 议会的, 议会制度的"
treble,"n. 最高声部, 三倍
a. 三倍的, 最高声部的
vt. 使增为三倍
vi. 成为三倍"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
delinquency,"n. 行为不良, 失职
[经] 毁约, 怠工, 旷职"
bankruptcy,"n. 破产者
[经] 破产, 倒闭"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
[网络] 消灭；彻底摧毁；消灭，毁灭"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
[计] 赋值, 绑定"
short-handed,"adj. 人手不足的
[网络] 人手不够；人手短缺；执勤人数不足的灭火力量"
seek for,"寻找, 追求, 探索"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
do sb. a favor,[网络] 帮忙；帮一个忙；做好事
responsibility,"n. 责任, 职责, 负担, 可靠性
[化] 职责"
category,"n. 种类, 类项
[计] 分类"
bar code,"条形码
[计] 条形码"
efficient,"comb.form 表示“效率高的”,“充分利用的”：cost-efficient,energy-efficient"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
[经] 支付, 缴纳, 支付款额"
liberal arts,文科
intend,"vt. 计划, 打算, 意思是
[法] 想要, 打算, 意旨"
capacity,"n. 容量, 能力, 才能, 资格
[计] 容量"
slot,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)
vt. 开槽于, 把...纳入机构
[计] 槽; 存储槽"
underestimate,"vt. 低估；看轻
n. 低估"
polemic,"a. 争辩的, 好争论的
n. 争论, 辩论, 辩论者"
artificial,"a. 人造的, 假的, 非原地产的
[医] 人工的, 人造的, 伟牟"
fizzy,"a. 嘶嘶作响的, 起泡沫的"
nutritional,"a. 营养的, 滋养的
[医] 营养的"
diabetes,"n. 糖尿病, 多尿症
[医] 糖尿病; 多尿症"
extraordinarily,"adv. 非凡, 破例, 特别, 非常, 离奇, 使人惊奇, 惊人, 特命, 特派"
distributor,"n. 分发者, 分布者, 散布者, 分配者, 销售者, 分配器, 配电盘, 自动拆版机
[计] 分配器"
peddle,"vi. 挑卖, 沿街叫卖, 游荡, 闲混
vt. 叫卖, 兜售, 散播"
carriage,"n. 马车, 客车, 举止, 运输
[经] 搬运费, 运费"
voluntarily,"adv. 自愿地, 以自由意志"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
[计] 排序; DOS外部命令:从标准输入设备接收数据, 整个数据输入完后
对它以行为单位进行排序, 然后在标准输出设备上输出"
commitment,"n. 委托, 交押, 承担义务, 赞助
[医] 院禁"
operator,"n. 操作员, 行家, 经纪人, 算子, 运算符
[计] 运算符"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
[计] 永久的"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
[计] 精细"
dissuade,"vt. 劝阻
[法] 劝阻, 劝止"
simplicity,"n. 单纯, 简朴, 朴素, 坦率, 天真
[计] 简明性"
symptom,"n. 症状, 征候, 征兆
[医] 症状"
diagnose,v. 诊断
pancreatic,"a. 胰腺的
[医] 胰的"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
[化] 现象"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
self-treatment,自我治疗
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
[计] 本质冒险"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
previous,"a. 早先的, 前面的, 过急的
[法] 以前的, 生前的, 前述的"
ample,"a. 大量的, 充足的, 丰富的"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
[计] 信用量"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
[计] 包, 软件包, 包装"
transaction,"n. 交易, 办理, 学报, 和解协议
[计] 事务处理"
typically,adv. 代表性地；作为特色地
aggrieved,"a. 受委屈的, 权利受到不法侵害的"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
[计] 写后读"
expectation,"n. 期待, 指望, 展望
[化] 期望值"
human-trafficking,"n. 人口贩卖
[网络] 人口贩运；贩卖人口；人口贩子"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
inhumane,adj. 残忍的；无人情味的
armed,"adj. 武装的；有扶手的；有防卫器官的（指动物）
n. (Armed)人名；(科摩)阿米德"
bonded labour,抵债性劳动
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
[计] 授权命令"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
[计] Scheme 程序设计语言"
prevalence,"n. 普遍, 流行, 广泛
[医] 流行, 盛行"
uneven,"a. 不平坦的, 不均等的, 奇数的"
competence,"n. 胜任, 职称, 能力
[医] 能力, 活性"
emotional,"a. 情绪的, 情感的
[医] 情绪的"
elicit,"vt. 引出, 推导出, 引起"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
[医] 能屈的"
arrogance,"n. 傲慢态度, 自大"
quantitative,"a. 数量的, 定量的
[医] 定量的, 数量的"
considerate,adj. 体谅的，体贴的，关切的；考虑周全的，周密的；[废语]谨慎的；深思熟虑的
agenda,"pl. 议程, 日常工作事项
[计] 待议事件"
quartet,"n. 四重奏
[计] 四位字节"
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
[计] 安装"
sonata,n. 奏鸣曲
symphony,"n. 交响乐, 交响曲"
grapple,"v. 抓住, 掌握
n. 抓住, 系紧, 掌握, 与...扭打"
omnipresent,"a. 无所不在的, 普通存在的"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
ethos,n. 气质；民族精神；社会思潮
doctorate,n. 博士头衔
electronic engineering,n. 电子工程学
achievement,"n. 完成, 成就, 功业"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
first-rate,"n. 一级战舰；一流人物
adj. 第一等的
adv. 〈口〉非常(好)地
[网络] 一流的；甲级；第一流的"
professional personnel,"[法] 专职人员, 专业人员"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
by contrast,"对比起来, 与之相比, 相反地"
detention,"n. 阻止, 监禁, 拘留
[医] 隔离, 拘留, 滞留, 停滞"
withdrawal,回，收回；排除，抽除[空气]，[气流]分离；提出(控制棒)
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
instantly,"adv. 立即地, 即刻地"
embarrassing,"a. 令人为难的, 麻烦的"
artificially intelligent,无
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
[计] 虚拟"
remotely,"adv. 极小地, 极细微地"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
[医] 保险费"
incurable,"a. 不能医治的, 不能矫正的, 无救的
n. 不治的病人, 无救的人"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
[经] 促动, 激发, 激励"
thrift,"n. 节约, 茂盛, 海石竹"
profession,"n. 职业, 表白, 声明
[化] 工种; 职业"
therapeutic,"a. 治疗的, 有益于健康的
[医] 治疗的; 治疗学的"
paramedic,n. 护理人员；伞兵军医；伞降医务人员
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
crop up,突然出现
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
surge pricing,无
ban,全颅底平面
adjustment,"n. 调整, 调节, 校正
[化] 调节"
necessity,"n. 需要, 必需品, 必然
[法] 必要性, 必然性, 必要"
detest,"vt. 厌恶, 憎恨"
demonstrate,"vt. 示范, 证明
vi. 示威"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
[计] 选择对象"
incentive,"n. 动机
a. 激励的"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
[经] 保留, 留存"
primarily,"adv. 主要地, 首先地"
scroll,"n. 卷轴, 画卷, 名册, 条幅, 滚动
v. (使)成卷形
[计] 滚动"
log on,"[计] 注册, 登录, 登录入网"
couch,"n. 长沙发, 睡椅, 卧榻
vt. 横躺, 表达
vi. 躺下, 蹲伏"
overriding,(over-ride 的现在分词) vi. 搁置
tweak,"n. 拧, 扭, 焦急
vt. 扭, 开足马力"
prominence,"n. 突起, 突出, 显著, 突出物, 凸出
[医] 隆凸, 凸"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
highlight, 图像最亮部分，高度光泽，高亮度
commentary,"n. 注释, 评论, 说明
[法] 注释, 评注, 评论"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
integration,"n. 综合, 与环境协调的行为, 集成
[化] 集成; 整合"
conversely,"adv. 相反, 逆, 颠倒, 反题, 反"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
misleading,"a. 引入歧途的, 使人误解的, 骗人的
[法] 误写姓名的, 误称的, 令人误解的"
intangible,"a. 难以明了的, 无形的
[经] 无形的"
savvy,"v. 理解, 领悟
n. 理解能力, 机智, 悟性"
kidney,"n. 肾, 个性
[医] 肾"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
[计] 暂停"
from scratch," <非正>从头做起, 从零开始"
portfolio,"n. 皮包, 公文包, 部长职务, 有价证券财产目录, 艺术代表作选辑
[法] 公文包, 文件夹, 阁员职务"
crucial,"a. 决定性的, 重要的, 严厉的
[医] 十字形的; 决断的, 定局的"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
evoke,"vt. 唤起, 引起, 召(魂)
[法] 提审, 移送"
collective,"a. 集体的, 聚集的, 共同的
[医] 集体的, 集合的"
conceal,"vt. 隐藏, 掩盖, 隐瞒
[法] 隐瞒, 隐匿, 保守秘密"
corrugated,"a. 皱纹的, 波状的
[医] 波纹的, 皱状的"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
translucent,"a. 半透明的, 透明的"
spherical,球的
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
dream of,"梦见,梦想,向往,渴望"
capacity,"n. 容量, 能力, 才能, 资格
[计] 容量"
additionally,"adv. 另外, 此外"
responsibility,"n. 责任, 职责, 负担, 可靠性
[化] 职责"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
[法] 履行, 完成, 达到"
hatred,"n. 憎恨, 仇恨, 憎恶
[法] 敌意, 憎恨, 憎恶"
win the favor of ...,无
exaggerated,"a. 夸大的, 夸张的, 言过其实的"
donate,v. 捐赠
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
restructure,vt. 调整；重建；更改结构
income distribution,"[经] 收益分配, 收入分配"
low-income citizen,无
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
