take inventory,[经] 实地清点盘存
reopen,"v. 重开, 再开始, 再开"
repaint,"vt. 重画；重新绘制；重漆
n. 重新油漆的东西；重画的画"
replace,"vt. 代替, 替换, 放回, 归还
[计] 替换; DOS外部命令:取代或更新文件"
rewrite,"vt. 重写, 改写, 改写新闻, 书面答复
vi. 修改旧作
n. 改写的作品
[计] 重写"
splash,"v. 泼洒；哗啦哗啦地溅；噼里啪啦地落；溅在…上
n. 落水声；溅泼声；溅上的液体；溅洒后留下的污渍
[网络] 飞溅；美人鱼；水花"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
tune up,"n. 调整, 准备活动, 热身赛"
conductor,"n. 领导者, 指挥者, 售票员, 向导
[化] 导体"
flight attendant,"n. 空中乘务员；机上乘务员
[网络] 空中服务员总称；地面效劳员总称"
librarian,"n. 图书馆员, 图书管理员
[计] 程序库管理程序; 程序库生成程序"
lifeguard,"n. 卫兵, 禁卫军, 救生员"
prime minister,"总理, 首相
[法] 总理, 首相, 内阁总理"
real estate agent,"n. 房地产经纪人
[网络] 房地产代理；房产中介；地产代理人"
receptionist,n. 接待员
security guard,"na. (多为私人雇佣的)保安(人员)
[网络] 保安员；警卫；保安人员"
ticket agent,"代理售票人
[经] 售票代理处"
usher,"n. 引座员，带位员；接待员；门房
vt. 引导，招待；迎接；开辟
vi. 作招待员；当引座员
n. (Usher)人名；(英)厄舍；(西、科特)乌谢尔"
birthmark,"n. 胎记, 胎痣
[医] 胎记, 胎痣"
plane ticket,n. 飞机票
restrooms,n. 公共洗手间（restroom的复数）
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
tonsils,n. 扁桃体( tonsil的复数形式 )
conductor,"n. 领导者, 指挥者, 售票员, 向导
[化] 导体"
flight attendant,"n. 空中乘务员；机上乘务员
[网络] 空中服务员总称；地面效劳员总称"
librarian,"n. 图书馆员, 图书管理员
[计] 程序库管理程序; 程序库生成程序"
lifeguard,"n. 卫兵, 禁卫军, 救生员"
prime minister,"总理, 首相
[法] 总理, 首相, 内阁总理"
real estate agent,"n. 房地产经纪人
[网络] 房地产代理；房产中介；地产代理人"
receptionist,n. 接待员
security guard,"na. (多为私人雇佣的)保安(人员)
[网络] 保安员；警卫；保安人员"
ticket agent,"代理售票人
[经] 售票代理处"
usher,"n. 引座员，带位员；接待员；门房
vt. 引导，招待；迎接；开辟
vi. 作招待员；当引座员
n. (Usher)人名；(英)厄舍；(西、科特)乌谢尔"
birthmark,"n. 胎记, 胎痣
[医] 胎记, 胎痣"
capital,"n. 资本；资金；首都；大写字母
adj. 死刑的；大写的；顶好的；极好的
[网络] 资产；首府；省会"
details,n. 详细资料；细节（detail的复数）
information sheet,单篇情报资料
missing person,"n. 失踪的人；下落不明者
[网络] 失踪者；寻人；失踪人员"
plane ticket,n. 飞机票
restrooms,n. 公共洗手间（restroom的复数）
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
surprise quiz,无
tonsils,n. 扁桃体( tonsil的复数形式 )
assassinate,"vt. 暗杀, 行刺
[法] 暗杀, 行刺, 中伤"
check with,与...相符合
come by,"从旁边走过, 得到"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
rob,"v. 抢劫；掠夺；盗取
n. 罗布；【男名】男子名
[网络] 抢夺；罗伯；剥夺"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
[计] 正负号; 符号; 符号字符"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
pollution,"n. 污染, 玷污
[化] 污染"
report card,"na. (学生)成绩报告单
[网络] 成绩单；报告卡；成绩报告卡"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
wishing well,"n. 如意井(钱币投入该井中,便可如愿以偿)"
drop in, [医]溴甲阿托品，溴化甲基阿托品，溴甲烷阿托品[抗消化性溃疡药]
encourage,"vt. 鼓励, 支持, 激励
[法] 怂恿, 煽动, 助长"
hold hands,"na. 手搀手
[网络] 牵手；握住双手；手牵手"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
sneeze,"n. 喷嚏
vi. 打喷嚏"
aggressive,"a. 侵略的, 挑畔的, 进取的
[法] 侵略的, 爱挑衅的, 行为过火的"
burnt,burn的过去式和过去分词
carsick,adj. 晕车的
dressed up,adj. 穿上盛装的；装扮成…的
missing,"adj. 失踪的；缺少的
v. 错过（miss的ing形式）；想念；漏掉
n. (Missing)人名；(德)米辛"
break up,"打碎, 破碎, 分裂, 分解, 驱散, 结束, 衰退, 衰落, 变坏"
drop in, [医]溴甲阿托品，溴化甲基阿托品，溴甲烷阿托品[抗消化性溃疡药]
encourage,"vt. 鼓励, 支持, 激励
[法] 怂恿, 煽动, 助长"
get accepted,无
get paid, 领工资
get worse,v. 转坏
hold hands,"na. 手搀手
[网络] 牵手；握住双手；手牵手"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
make a wish,[网络] 愿望成真基金会；许愿基金；美国许愿
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
[计] 跳过"
sneeze,"n. 喷嚏
vi. 打喷嚏"
spoil,"n. 赃物；战利品；掠夺物；成功所带来的好处
v. 破坏；搞坏；糟蹋；毁掉
[网络] 损坏；宠坏；溺爱"
access,"v. 进入；〈正式〉到达；【IT】获得或储存(电脑文件)
n. 通道；入口；机会；权力
[网络] 访问权；连接开始；数据库之类的"
bonus,"n. 奖金, 红利
[经] 奖金, 红利, 额外补贴"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
Congress,"n. 国会, 会议, 讨论会
[医] 会议, 会合"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
economy,"n. 经济；节约；经济制度；节省
[网络] 经济舱；我想坐一等舱；普通"
environment,"n. 环境, 外界, 围绕
[计] 环境"
physical condition,身体状况
pollution,"n. 污染, 玷污
[化] 污染"
profits,n. [会计] 收益，红利；盈利（profit的复数）
reaction,"n. 反应, 反作用, 反动
[医] 反应"
report card,"na. (学生)成绩报告单
[网络] 成绩单；报告卡；成绩报告卡"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
[计] 声音"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
success,"n. 成功, 成就, 胜利"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
wishing well,"n. 如意井(钱币投入该井中,便可如愿以偿)"
aggressive,"a. 侵略的, 挑畔的, 进取的
[法] 侵略的, 爱挑衅的, 行为过火的"
burnt,burn的过去式和过去分词
carsick,adj. 晕车的
dressed up,adj. 穿上盛装的；装扮成…的
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
[计] 要点"
missing,"adj. 失踪的；缺少的
v. 错过（miss的ing形式）；想念；漏掉
n. (Missing)人名；(德)米辛"
classified ad,n. 分类广告
day shift,"n. 白班
[网络] 日班；早班"
night shift,"夜班
[经] 夜班"
full-time job,[网络] 全职工作；找工作当全职工作；全时工作
part-time job,"un. 零星工作
[网络] 兼职；不限地区不限时间单笔结算；兼职工作"
baby food,"un. 婴儿食品
[网络] 走裸露；嘉宝婴儿食品；宝宝米糊"
baby picture, 婴儿照
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
driver's ed,[网络] 驾驶；驾驶课；驾驶员知识题
fan,"fan1
[fæn]
n.
任何通过扇动引起空气流动的装置
(羽毛、纸或布做的)扇子
风扇
扇形物(如鸟尾等)
(风车的)翼，叶片，螺旋桨
扬谷机
【地理学】扇状三角洲际
[俚语](扒手为探明钱物的部位，用手在扒窃对象身上)快速的一摸
vt.
(用扇子)扇：
He fanned the fire.
他用扇子扇火。
(用扇)向…搧风；吹凉(食物等)：
She fanned her face with a paper.
她用纸向脸上搧风。
煽动，鼓动，激起：
to fan resentment
激起忿恨
(用扇)驱赶
把…展成扇形：
She fanned out the cards in her hand.
她将纸牌在手中展成扇形。
风选(谷)；扬去(糠、杂物等)
[美国俚语]
拍击，拍打
(用枪)连击
[美国英语]【棒球】使(击球员)三击不中出局
vi.
飘动，轻拂：
the flag fanning in the breeze
微风中飘动的旗帜
成扇形展开(常与out连用)：
The troops fanned out as they advanced.
部队向前推进时呈扇形散开。
The fire fanned out in all directions.
大火向四周呈扇形蔓延。
[美国英语]【棒球】(击球员)三击不中出局
[口语]闲聊
[口语](为窃取钱币)拨弄公用电话机的贮钱装置
[英国英语](扒手为探明钱物往扒窃对象身上)快速地一摸
短语:
fan someone's tail
打屁股
flirt a (或 one's) fan
一下子把扇子打开(或合拢)
灵活地挥动扇子
hit the fan
[美国俚语]酿成大乱，产生严重后果；有极大的(往往是不良的)影响
变形：
vt.
fanned
. fanning
fan2
[fæn]
n.
[美国口语](运动、娱乐等的)狂热者，爱好者，热心之士，…迷；(对演员、电影明星的)狂热仰慕者"
foreign language,"n. 外文
[网络] 外语；外国语；外国语言"
obituary,"a. 关于死亡的, 讣告的
n. 讣告"
pronunciation,"n. 发音, 读法"
taxes,"n. 税；负担；〈美〉会费；〈英口〉收税官
v. 征税；谴责；使负重担；绞(脑汁)
[网络] 税收；税捐；税金"
voter,"n. 选民, 投票人
[法] 选民, 选举人, 投票人"
baby food,"un. 婴儿食品
[网络] 走裸露；嘉宝婴儿食品；宝宝米糊"
baby picture, 婴儿照
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
classified ad,n. 分类广告
day shift,"n. 白班
[网络] 日班；早班"
driver's ed,[网络] 驾驶；驾驶课；驾驶员知识题
fan,"fan1
[fæn]
n.
任何通过扇动引起空气流动的装置
(羽毛、纸或布做的)扇子
风扇
扇形物(如鸟尾等)
(风车的)翼，叶片，螺旋桨
扬谷机
【地理学】扇状三角洲际
[俚语](扒手为探明钱物的部位，用手在扒窃对象身上)快速的一摸
vt.
(用扇子)扇：
He fanned the fire.
他用扇子扇火。
(用扇)向…搧风；吹凉(食物等)：
She fanned her face with a paper.
她用纸向脸上搧风。
煽动，鼓动，激起：
to fan resentment
激起忿恨
(用扇)驱赶
把…展成扇形：
She fanned out the cards in her hand.
她将纸牌在手中展成扇形。
风选(谷)；扬去(糠、杂物等)
[美国俚语]
拍击，拍打
(用枪)连击
[美国英语]【棒球】使(击球员)三击不中出局
vi.
飘动，轻拂：
the flag fanning in the breeze
微风中飘动的旗帜
成扇形展开(常与out连用)：
The troops fanned out as they advanced.
部队向前推进时呈扇形散开。
The fire fanned out in all directions.
大火向四周呈扇形蔓延。
[美国英语]【棒球】(击球员)三击不中出局
[口语]闲聊
[口语](为窃取钱币)拨弄公用电话机的贮钱装置
[英国英语](扒手为探明钱物往扒窃对象身上)快速地一摸
短语:
fan someone's tail
打屁股
flirt a (或 one's) fan
一下子把扇子打开(或合拢)
灵活地挥动扇子
hit the fan
[美国俚语]酿成大乱，产生严重后果；有极大的(往往是不良的)影响
变形：
vt.
fanned
. fanning
fan2
[fæn]
n.
[美国口语](运动、娱乐等的)狂热者，爱好者，热心之士，…迷；(对演员、电影明星的)狂热仰慕者"
foreign language,"n. 外文
[网络] 外语；外国语；外国语言"
full-time job,[网络] 全职工作；找工作当全职工作；全时工作
high-rise building,[网络] 高层建筑；高层建筑物；高楼
Internet company,[网络] 网络公司；国际网络公司；互联网公司
night shift,"夜班
[经] 夜班"
obituary,"a. 关于死亡的, 讣告的
n. 讣告"
part-time job,"un. 零星工作
[网络] 兼职；不限地区不限时间单笔结算；兼职工作"
pronunciation,"n. 发音, 读法"
repairs,"(re-pair 的第三人称 -s形式) vi. 修理；修复
vt. 修理；恢复；补救, 纠正
n. 修理, 修补；修补部位"
spare time,n. 消遣时间; 闲空; 余; 工余
suburbs,n. 郊外（suburb的复数）
taxes,"n. 税；负担；〈美〉会费；〈英口〉收税官
v. 征税；谴责；使负重担；绞(脑汁)
[网络] 税收；税捐；税金"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
[计] 视图"
voter,"n. 选民, 投票人
[法] 选民, 选举人, 投票人"
borrow,"vt. 借, 借入, 借用
vi. 借
[计] 借位; 借位数"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
convince,"vt. 说服, 使相信
[法] 使确信, 使信服, 使人认识错误"
drop out of,"退出,辍学,脱离"
evict,"vt. 逐出, 赶出, 驱逐
[法] 逐出, 驱逐, 没收"
go out with,和…约会
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
roll,"vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃
n. 卷，卷形物；名单；摇晃
n. (Roll)人名；(英、法、德、俄、罗、葡、捷、挪、西、瑞典)罗尔"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
[计] 显示"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
[计] 跳过"
angry,"a. 生气的, 愤怒的"
annoyed,a. 恼怒的；烦闷的
disappointed,a. 失望的
embarrassed,a. 尴尬的；窘迫的
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
self-conscious,"adj. 自觉的；怕难为情的；害羞的
[网络] 自我意识；自我意识过剩"
unhappy,"a. 不快乐的, 不幸的, 不适当的"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
all thumbs,adj. [美国口语][常用作表语]笨手笨脚的，笨拙的
better ear,无
lose your shirt,[网络] 丧失全部财产；恤衫都输埋；失去你嘅裇衫
peace and quiet,[网络] 安定；不纷扰；安静
sick and tired,[网络] 十分厌烦；经受疾病与疲倦；烦透了
two left feet,[网络] 有两左脚；笨手笨脚；有两只左脚
audience,"n. 听众, 观众, 读者
[法] 听讼, 观众, 听众"
cactus plant,无
chemistry set,一套化学用具
flu shot,[网络] 流感疫苗；预防针；打流感疫苗
income tax form,[经] 所得税申报书
ingredients,材料；作料
metal detector,un. 金属探测器；金属检测机
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
[电] 绩效, 性能"
postcard,"na. 〈英〉(不需贴邮票的邮局发行)官制明信片
[网络] 媒体简介；设计"
printer,"n. 印刷工, 打印机
[计] 打印机"
snowman,[网络] 雪人；小雪人；雪人於
traffic light,"[常作traffic lights][美国英语]交通管理色灯;红绿灯;交通信号[亦作stoplight,traffic signal,traffic control signal]"
wedding dress,"n. 婚纱
[网络] 结婚礼服；婚纱礼服；新娘礼服"
alarm clock,"na. 闹钟
[网络] 应该是闹钟；闹钟程序；完美闹钟"
assembly line,"na. 装配线
[网络] 流水线；生产流水线；我们的组装车间"
audience,"n. 听众, 观众, 读者
[法] 听讼, 观众, 听众"
automobile factory, 汽车制造厂; 汽车厂
cactus plant,无
chemistry set,一套化学用具
condo,"n. (多层公寓中有独立所有权的)一套公寓房间
[网络] 共管公寓；高级公寓(Condominium)；公寓屋"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
disease,"n. 疾病, 弊病
[医] [疾]病"
encore,"n. 再演唱的要求, 要次登场
interj. 再演唱一次
vt. 要求再演(或唱)"
flu shot,[网络] 流感疫苗；预防针；打流感疫苗
income tax form,[经] 所得税申报书
ingredients,材料；作料
metal detector,un. 金属探测器；金属检测机
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
mood,"n. 情绪；心情；气氛；氛围
[网络] 语气；甲心情；沐恋商旅"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
nursery school,na. 幼儿园
optimist,"n. 乐观者, 乐观主义者"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
[电] 绩效, 性能"
postcard,"na. 〈英〉(不需贴邮票的邮局发行)官制明信片
[网络] 媒体简介；设计"
printer,"n. 印刷工, 打印机
[计] 打印机"
relatives,n. 亲属；[语法学]关系词（relative的复数）
rumor,"n. 谣言, 传闻
vt. 谣传"
school play, 校园剧
snowman,[网络] 雪人；小雪人；雪人於
traffic light,"[常作traffic lights][美国英语]交通管理色灯;红绿灯;交通信号[亦作stoplight,traffic signal,traffic control signal]"
wedding dress,"n. 婚纱
[网络] 结婚礼服；婚纱礼服；新娘礼服"
close down,"[计] 停机, 关机, 停歇"
expect,"vt. 预期, 盼望, 期待"
get searched,无
get stopped,无
hand in,"na. 交进
[网络] 有发球权；有发球权的一方；交入"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
run by,[网络] 运行者；解释给…听；问…意见
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
[计] 保存"
scold,"n. 好骂街的人, 责骂
v. 责骂"
set off,"出发, 开始, 引起, 衬托, 点缀, 抵销, 分开, 划分
[法] 抵销"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
[网络] 关机；停工；使关闭"
take lessons,"听课,学习"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
[计] 委托, 信任"
confused,"adj. 困惑的；混乱的；糊涂的
v. 困惑（confuse的过去式）"
convinced,"a. 确信的, 深信的"
irritable,"a. 易怒的, 急躁的
[医] 应激性的, 过敏的"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
miserable,a. 悲惨的；痛苦的；卑鄙的
prepared,"adj. 准备好的；精制的
v. 准备（prepare的过去分词）"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
have a hard day,无
out of place,"na. 不得其所的；不适当的；不相称的；碍事的
[网络] 就地转换；放错地方；放错位置的"
put up for sale,"na. 拿出拍卖
[网络] 拿出销售；可供出售"
run out of,用完
set on fire, 使燃烧; 使情绪激动; 放火; 燔
under the weather," 身体不舒服, 心情不好"
bride,n. 新娘
groom,"v. 培养；（给动物）擦洗；（给自己或其他动物）理毛；使做好准备
n. 马夫；马倌；马匹饲养员
[网络] 新郎；培训；格鲁姆"
interviewer,"n. 会见者, 面谈者, 进行面试者"
movie star,"na. (电)影(明)星
[网络] 电影明星；影星；女影星"
school-bus driver,无
college entrance exam,无
dictionary,"n. 字典, 词典
[计] 词典"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
lion,"n. 狮子；名人；勇猛的人；社交场合的名流
n. (Lion)人名；(西、葡)利昂；(德、法、意、捷、瑞典)利翁；(英)莱昂"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
[计] 报文; 消息; 信息"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
[计] 管道"
puppy,"n. 小狗, 小动物, 自负的年轻人"
radiator,"n. 暖气装置, 散热器, 辐射体
[化] 散热器"
robbery,"n. 抢掠, 抢夺
[法] 强盗, 抢劫, 劫掠"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
[经] 通知书, 通知, 建议"
bride,n. 新娘
college entrance exam,无
dictionary,"n. 字典, 词典
[计] 词典"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
groom,"v. 培养；（给动物）擦洗；（给自己或其他动物）理毛；使做好准备
n. 马夫；马倌；马匹饲养员
[网络] 新郎；培训；格鲁姆"
interviewer,"n. 会见者, 面谈者, 进行面试者"
lion,"n. 狮子；名人；勇猛的人；社交场合的名流
n. (Lion)人名；(西、葡)利昂；(德、法、意、捷、瑞典)利翁；(英)莱昂"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
[计] 报文; 消息; 信息"
movie star,"na. (电)影(明)星
[网络] 电影明星；影星；女影星"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
[计] 管道"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
[计] 位置"
puppy,"n. 小狗, 小动物, 自负的年轻人"
radiator,"n. 暖气装置, 散热器, 辐射体
[化] 散热器"
robber,"n. 强盗, 盗贼"
school-bus driver,无
training,"n. 训练；培训；锻炼
v. “train”的现在分词
[网络] 公司培训；经典培训计划模板；训练中"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
apply,"vt. 申请；涂，敷；应用
vi. 申请；涂，敷；适用；请求"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
[计] 作废"
clog,"n. 障碍, 脚坠
v. 障碍, 阻塞"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
[经] 交运"
depend,vi. 依赖，依靠；取决于；相信，信赖
disturb,"vt. 扰乱, 妨碍, 使不安
[法] 滋扰, 扰乱"
dye,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
kiss,"n. 吻
v. 亲吻；接吻；轻拂；轻触
[网络] 因为是女子；简单原则(keep it simple and stupid)；亲亲"
leave on,"让…留在原处; 让(火)燃着, 让…开着"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
pour,"v. 倒；倾倒；倾泻；使（液体）连续流出
n. 流出；大雨；【冶】浇注；(已熔金属的)一次浇注量
[网络] 灌；倾注"
prevent,"v. 预防, 防止, 阻止, 妨碍"
annoyed,a. 恼怒的；烦闷的
confident,"a. 有信心的, 有把握的"
engaged,"a. 忙碌的, 使用中的"
prepared,"adj. 准备好的；精制的
v. 准备（prepare的过去分词）"
professional,"n. 专业人才
a. 专业的, 职业的"
qualified,"a. 有资格的
[经] 合格的, 有条件的, 有限制的"
reassured,"a. 使消除疑虑的; 使放心的
v. 再保证, 恢复信心( reassure的过去式和过去分词)"
unaware,"a. 未认识到的, 不知道的
[法] 不知道的, 不察觉的, 无意的"
willing,"a. 乐意的, 自愿的, 甘愿的"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
dolphin,n. 海豚
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
memo,"n. 备忘录
[经] 备忘录"
moon,"n. 月亮；月球；卫星
v. 闲逛；发呆；〈俚〉光屁股示人
[网络] 是的，月神；月亮花园民宿；月光石"
spare tire,"n. 备胎；〈幽默〉游泳圈
[网络] 备用轮胎；备用胎；备用车胎"
toaster,"n. 烤面包器, 烤面包炉, 祝酒人"
wagon,"n. 四轮马车, 货车
[法] 囚车, 马车, 运货车"
engaged,"a. 忙碌的, 使用中的"
overcooked,"(over-cook 的过去分词) 过煮
糊煮"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
[经] 准时的, 不误期的, 准时"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
allergic,"a. 对...过敏的, 极反感的
[医] 变应性的"
angry,"a. 生气的, 愤怒的"
considerate,adj. 体谅的，体贴的，关切的；考虑周全的，周密的；[废语]谨慎的；深思熟虑的
cooperative,"adj. 合作的，协作的；愿意合作的，抱合作态度的；有合作能力的
n. 合作社；合作团体；[亦称作co-op;cooperative apartment]合作公寓[亦作co-operative]"
dedicated,"a. 专注的, 献身的"
efficient,"comb.form 表示“效率高的”,“充分利用的”：cost-efficient,energy-efficient"
engaged,"a. 忙碌的, 使用中的"
famous,"a. 出名的, 极好的"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
honest,"a. 诚实的, 坦直的, 可靠的"
industrious,"a. 勤勉的, 刻苦的"
nervous,"a. 神经紧张的, 不安的, 神经的
[医] 神经的; 神经质的, 神经过敏的"
online,"un. 在线的；联机；电站并网；机控
[网络] 线上人数"
overcooked,"(over-cook 的过去分词) 过煮
糊煮"
pleased,"a. 高兴的, 喜欢的, 满足的"
polite,"a. 有礼貌的, 文雅的, 客气的, 有教养的"
promoted,a. 晋升的
punctual,"a. 准时的, 守时的, 点状的, 中肯的
[经] 准时的, 不误期的, 准时"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
shocked,a. 震撼的；震惊的
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
unfair,"a. 不公平的, 不正直的, 不正当的
[法] 不正直的, 不公平的, 偏颇的"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
accusation,"n. 控告, 指控, 指责
[法] 控告, 起诉, 告发"
championship,n. 锦标赛；冠军称号；冠军的地位
common cold,[医] 感冒
