abandon oneself to,沉溺于
lead up to,"带到, 导致, 作为...的准备"
learn about,"学习,听说,得悉,了解"
learn of,"听说..., 获悉..."
learn ... by heart,"na. 记住；熟记
[网络] 背诵；牢记；背熟"
learn from,向...学习
least of all,最不
leave a message,给某人留个信
leave ... alone,"让独自呆着, 不打扰"
leave aside,"v. 不考虑
[网络] 撇开；搁置；搁置一边"
leave behind,"na. 遗留；留下；追过；留在后头
[网络] 超过；落后；丢弃"
leave for,"un. 到…地方去；去某地:
[网络] 动身去；动身去某地；前往"
leave off,"停止, 不再穿"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
[网络] 省去；省略；不考虑"
leave school,"退学, 离校, 放学回家"
lend sth. to sb.,"un. 贡献:
[网络] 把…借给；把钱贷给；借给谁"
less than," 小于, 决不; 以内; 没有; 不足"
let alone,"na. 任随；更不用说；放任；莫说…(连)
[网络] 更别提；更不必说；不管"
let down,"放下, 使失望, 使屈辱, 松劲, 减速下降
[机] 放下, 排出"
let go,"v. 放手；解雇；松手；忽视
[网络] 展翅高飞；放开；释放"
let in,"na. 放入；嵌入；陷入…；〈俚〉欺骗
[网络] 放…进来；让…进来；放进"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
[网络] 免除；放过；放出"
let out,"na. 放宽；打；放出；泄漏
[网络] 泄露；发出；放掉"
let up,"n. 停止, 放松, 减弱"
lie down,"v. 躺；不反抗；屈服；顺从
[网络] 躺下；躺卧；倒卧"
lie in,"在于..., 分娩, 睡懒觉"
lie with,是...的权利/义务
lift up,"na. 同“lift”；提起来
[网络] 抬起；顶升；顶起"
link ... to ..., 与…连接， 联系
link up," （使）连接, （使）结合, （使）合并; 贯通; 连贯; 沟通"
link up with,(使)与…衔接
listen to,听
little by little,渐渐
live by,靠…为生
live in,"na. 住进；(雇员)住在东家
[网络] 居住"
live on,"继续生活, 以...为主食, 靠...生活"
live through,"度过, 经受过"
live up to,"实践, 做到"
lock up,"na. 上锁；监禁；收藏(文件等)；固定(资本)
[网络] 破茧威龙；锁上；锁住"
log in,"[计] 请求联机, 联通, 注册, 进入系统, 登记, 记入"
log on,"[计] 注册, 登录, 登录入网"
long after,很久以后
long before,在...以前很久
long for,渴望
look about,"四处寻找, 考虑, 察看"
look around, 四下观望; （作出选择前）进行调查; 骋目四顾; 四顾
look about for,寻找(某人或某物)
look around for,到处寻找
look after,"目送, 照顾, 关心"
look ahead,"adj. 有预见力的
[网络] 预测先行；前瞻；前瞻控制"
look as if,看起来好像…
look at,"na. 看；考虑
[网络] 看着；注视；瞧"
look away, 不再看（某人或某物）
look away from,"v. 视线避开
[网络] 从…转过眼神；转移目光；把目光从……移开"
look back on,"回头看,回顾,追忆"
look back upon, 回溯；回忆
look down on,"轻视, 看不起"
look down upon, 蔑视，瞧不起; 鄙夷; 看轻; 掩鼻而过
look for,"寻找, 期待"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look in on, 1。 顺便拜访; 2。 短暂拜访; 3。 乘便拜访
look in at,"v. 看
[网络] 观看"
look into,"窥视, 浏览, 观察
[法] 调查"
look like, 看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似
look on,"观看, 旁观, 看待"
look upon," 看作, 显得不错; 看待"
look on ... as ...,[网络] 把……看作；把看做；把当作看待
look upon ... as ..., 当做；看成；看做
look out,"n. 警戒, 搜寻, 注意, 了望台, 监视者, 了望员, 监视哨, 景色, 前途, 远景"
look out for,"当心…,留神…,提防…"
look over,"na. 浏览；检查；察看
[网络] 查看；翻阅；调查"
look the same, 看起来很象
look through,"na. 浏览；翻查；对…视而不见；看穿
[网络] 通过看得"
look to,"照看, 注意, 指望"
look up,n. (在词典等中的)查找，查看[亦作 look-up]；【计算机】
look up and down,"v. 上下打量着
[网络] 到处搜查；到处寻找；仔细打量"
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
lose control of,失控
lose face,"丢脸, 失去自尊与别人的信任, 失去尊严/影响力/名望"
lose heart,丧失勇气
lose interest in,对…失去兴趣
lose one's balance,"失去平衡, 心慌意乱"
lose one's head,"被砍头, 不知所措"
lose one's heart to,"心被...俘去, 爱上..."
lose one's life,"na. 死；丢了性命
[网络] 丧生；丧命；牺牲"
lose one's sight,失明
lose one's temper,发脾气
lose one's voice,说不出话来，嗓子哑了
lose one's way,迷路
lose out,"(比赛)输掉, 失败"
lose sight of,"不再看见, 忽略, 忘记"
lose touch with,和…失去联系
lose weight,体重减轻
lots of,"许多的..., 大量的..."
major in,"主修, 专攻"
make a choice,"挑选,选择"
make a decision,作决定
make a difference,"有区别,有很大关系"
make a face,做鬼脸
make a living,"谋生, 挣钱度日, 维持生活"
make one's living,"谋生, 挣钱度日, 维持生活"
make a promise,允许
make a speech,"发言,发表演说"
make contact with,与...联系
make ends meet,"量入为出,使收支相抵"
make an effort,作出努力
make for,"走向, 有利于, 倾向于"
make friends, 交朋友
make friends with,"(和某人)交友, 建立友谊"
make fun of,取笑
make it,（病痛等）好转；达到预定目标；及时抵达；走完路程
make a fortune,"发财,致富"
make one's fortune,发财；发迹，在社会上获得地位
make one's way to,到...去
make one's way toward,无
make one's way through,无
make out,"书写, 填写, 拼凑, 说明, 理解, 辨认出, 设法应付, 进展
[法] 开出, 写出, 看出"
make progress,取得进步/展
make sense,有意义
make sure,确定
make the best of,充分利用
make the most of,尽量利用
make up,"弥补, 赔偿, 配制, 包装, 编辑, 虚构, 缝制, 组成, 和解, 结算, 整理, 化装
[经] 弥补, 赔偿, 内部运装"
make use of,使用
manage to do sth., 设法做成某事
masses of,"大量的,众多的"
mean to do sth., 打算做；有意做
mistake ... for ...,错认
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
[网络] 混合；搞糊涂；混合在一起"
more and more,越来越多
more or less,"na. 有点儿；左右；或多或少；一点也…
[网络] 渐多或渐少"
more than,"na. …以上；比…更
[网络] 多于；超过；不止"
much too,"太,过分,非常"
name after, 以…的名字起名
narrow escape, 九死一生，幸免于难; 真玄啊
needless to say,"不用说, 当然, 不出所料"
neither ... nor ...,[网络] 既不……也不；两者都不；均不
never mind,"un. 不要紧；没关系；开诚布公地谈
[网络] 在线"
next to,几乎
no longer,"na. 已不
[网络] 不再是"
no problem, 不麻烦;  没什么;  没事儿; 非常容易
object to,"反对,不赞成"
occur to,…发生在; 被想起〔到〕
of all time," 一直, 始终；有史以来"
of course,"na. 当然
[网络] 当然了；自然；当然可以"
of one's own,属于某人自己的
of the moment,na. 此刻
off duty,"na. 在工作时间外；下班
[网络] 轻松迎接下班；轻松接连下班"
on account of,由于
on all fours,"na. 匍匐；完全一致的
[网络] 爬着；趴着；匍匐着"
on and on,继续不停地
on average, 平均起来
on behalf of,"代表...
[经] 代表"
on board,"在船/车/飞机上, 在公共交通车辆上
[经] 已装船"
on business,因公
on condition that,"若是…, 以…为条件"
on contact,"联系
接触"
on contact with,无
on duty,"na. 在工作时间内；上班；值班
[网络] 工作用语；综合"
on earth,"在世上, 究竟"
on end,竖着(通常与动词stand连用)
on fire,"起火, 非常激动"
on foot,"na. 步行；在进行中；徒步
[网络] 走路；步行时；走路去"
on good terms with,与某人关系好
on guard,"na. 看守；值班
[网络] 站岗；警惕；防范"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
[网络] 在手边；在场；在手头"
on holiday,"na. 在休假中
[网络] 在度假；在假期；在假日"
on occasion,有时
on offer,"削价出售的, 供出售的
[经] 出卖"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
[网络] 单独；靠自己；靠自己的力量"
on one's part,至于某人，对某人来说；在某人方面
on one's way,"un. 无法；在路上；快要出头了
[网络] 在途中；在去……的路上；在……的路上"
on the way," 在途中, 接近; <口>（孩子）已成胎而尚未出生; 沿途; 沿路"
on one's way to,无
on the way to,在去...的路上
on principle,根据原则
on purpose,"故意
[法] 故意地"
on sale,"na. 出售的；上市的；待售(的)；廉价出售(的)
[网络] 大减价；拍卖"
on second thought,"进一步考虑后,重新思考后,转念一想"
on second thoughts,经再次考虑，重新考虑后；经再次考虑，重新考虑后；经过重新考虑之后，再仔细考虑以后
on show,"陈列着, 展览着"
on sight,"na. 在看不见的地方；〈口〉(瘦得)不成样子；非常出色；无可争辩地
[网络] 一见就；一看见···立即；三维地震规划设计系统"
on the alert,"警惕着, 防备着
[法] 戒备, 留意"
on the basis of,以...为基础
on the brink of,"在…边缘,濒于,接近,几乎,差点"
on the contrary,"正相反
[法] 正相反, 相反地"
on the decline,没落
on the increase,正在增长
on the one hand ... on the other ...,无
on the one hand ... on the other hand ..., 一方面…，另一方面…
on the phone, <口>在打电话，在接电话
on the point of doing sth.,无
on the radio,"从收音机中,用无线电,通过广播"
over the radio,"从收音机中,用无线电,通过广播"
on the rise,"在上涨, 在增长"
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
[法] 在逃"
on the spot,"当场, 立即, 在危险中, 处境尴尬
[经] 在现场, 当场, 立即"
on the stage, 在舞台上；现阶段
on the tip of one's tongue,"na. (想说的话)已到舌尖；险些讲出
[网络] 就在嘴边；差一点就记起来的；差一点就说出口"
on the way out,即将灭亡
on the whole,"大体上, 基本上"
on time,"na. 准时；按时
[网络] 定时；准时到府；准时性"
on top of,"熟练掌握, 在...之上, 完全控制着, 另外, 紧接着"
once again,"na. 一再；再一次；“once again/more”的变体
[网络] 再度；再次；又一次"
once in a blue moon,na. 〈非正式〉难得；罕见；千载难逢
once in a while,na. 偶尔；有时；时不时
once more,再一次
once upon a time,"na. 很久很久以前；从前；古时候
[网络] 明信片"
one after another,"接连地
[计] 批次发送"
one by one,"na. 一个一个；一个一个地
[网络] 依次链的选取；一个接一个；逐个捕获"
one day,（将来）有一天；总有一天；（过去）某一天
only if,只要...就
only to do sth.,[网络] 结果；表示出乎意料的结果；结果却
open up,"展开, 给...开刀, 打开, 开发, 开办, 展示, 开始
[法] 吐露真情"
operate on,对...施手术
or else,否则
or rather,"更确切地说,说得更确切点"
or so,"un. 与其说…不如说…；大约
[网络] 职业退休计划(Occupational Retirement Scheme Ordinance)；职业退休计划保障；公积金"
other than,(人、物等)不同于…
ought to,应该
out of breath,"na. 大喘气
[网络] 喘-不-过-气"
out of control,"na. 失去控制
[网络] 失控；不在管制状态下；在控制中"
out of date,"过时的, 废弃的
[化] 过期的; 过时的"
out of order,adj. 无次序的(混乱的；有毛病的；出故障的)
out of place,"na. 不得其所的；不适当的；不相称的；碍事的
[网络] 就地转换；放错地方；放错位置的"
out of respect,无
out of sight,看不见；在视野之外；在看不见的地方
out of the question,"不知底细
[法] 不可能"
out of work,"失业, 机器有毛病
[化] 不能工作的; 工作有妨碍的; 失效的"
over and over,"反复, 再三"
over and over again,反复地; 再三地
owe ... to ...,"v. 由于；把…归功于
[网络] 应该把…归功于；欠；因为"
owing to,"由于..., 因为..."
pack up,"na. 把…打成包；打包；收拾行李；解雇
[网络] 把…打包；打理行装；停止工作"
participate in,"参加, 参与, 分享"
pass away,"去世, 停止, 离去, 消逝"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
[网络] 路过；走过；忽略"
pass down,"un. 过；一闪即逝；下达
[网络] 传递；传下去；传下来"
pass on,"na. “pass away”的变体；递；传达；通过
[网络] 传递；传授；把…传给别人"
pass out,"v. 昏倒；分发；主要用于英式英语
[网络] 失去知觉；晕倒；昏过去"
pass through,"通过..., 透过..., 穿过..., 流过..."
pass up,"na. 绝交；放过；不理；上
[网络] 放弃；错过；拒绝"
pay a visit to,"访问,拜访,出诊"
pay attention to,注意
pay back,"na. 偿还；报答；向…报复；付还
[网络] 回报；还钱；还钱给"
pay for,付...款
pay off,"n. 发工资, 分赃, 贿赂, 盈利, 报酬, 报应, 结果, 高潮, 决定因素
a. 决定性的, 产生结果的, 支付的"
pay up,"全部付清, 按时付款, (在勒索下)出钱
[经] 付清, 缴清(股款等)"
persist in,"坚持, 固执于"
persuade sb. to do sth.,无
pick out,"na. 挑选；掘出；闻出；领会
[网络] 挑出；选出；选出，挑出，拣出"
pick up,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像
[电] 拾音器"
pile up,"n. 多车相撞, 堆积
[电] 堆起"
play a joke on,戏弄某人；对…恶作剧；开…的玩笑
play jokes on,v. 戏弄
play a part in,"在…中扮演角色,在…中起作用"
play a role in,在...起作用
play with,"和…一起玩耍,漫不经心地摆弄,玩弄"
plenty of,许多的
point at, （把…）对准，指向; 针对; 指画
polish up,"na. 完成；〔口语〕改善；同“polish”
[网络] 擦亮；磨光，擦亮；润色"
pour in,"v. 大批涌来
[网络] 源源而来；蜂拥而来；大量涌入"
pour out,"v. 倾吐；诉说
[网络] 涌出；倾诉；倾倒"
prefer to do sth.,[网络] 更喜欢做某事；宁愿做某事；宁可做某事
prefer to do rather than do,无
prepare for,[网络] 准备；为…作准备；为…做准备
prevent sb. from doing sth.,无
protect ... against, 保护，保卫
protect ... from ...,保护
provide sth. for sb.,"v. 为…作准备
[网络] 为…提供；供养；赡养"
provide sth. to sb.,[网络] 提供给
pull down,"摧毁, 推翻, 使降低, 使下跌, 使身体变差, 使萎靡, 获取
[机] 胀陷, 上模剥砂"
pull in,"na. 使后退；节省(费用)；(火车等)到站；船靠近(海岸)
[网络] 进站；靠岸；到岸"
pull off,"na. 赢得；做成某事；(在路边)停车；〈非正式〉【计】下载
[网络] 完成；脱下；努力实现"
pull out,"n. 拔，拉；(尤指)撤离，离去，撤退；书刊中折着的供参阅用的大张插页，折页；书刊中可取出的附录(或附样)
adj. 可拉出的"
pull over,"n. 套衫
a. 套穿的"
pull round,复原
pull through,"(使)渡过难关, (使)恢复健康"
pull up,"v. 拔起；使…停下
[网络] 停车；上拉；阻止"
push ahead with,"推动, 推进"
push for,奋力争取
push on,"na. 费力地前进；赶快完成任务等
[网络] 推进；推动；努力向前"
push on with,"坚决进行(下去),继续(进行)"
push one's way through,无
push over,"n. 容易做的工作, 易被劝服的人, 易被击败的人"
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
[网络] 解释；表达；使人接受"
put an end to,"结束, 终止"
put aside,"na. “set aside”的变体
[网络] 储蓄；撇开；放在一边"
put away,"v. 把…收起来；储存
[网络] 放好；把……收起来；收好"
put back,"v. 放回；推迟
[网络] 放回原处；拨回；把……放回原处"
put by,"na. 积蓄；避开(人,质问等)；搁在一边；同“put aside ”
[网络] 储蓄；储存；回避"
put down,"n. 陋行；降落；令人难堪的话；噎人的话
na. 平定；贬低(的话)；(飞机的)降落
[网络] 放下；下拉；记下"
put forth,"放出, 发表, 颁布, 提出, 发挥, 起航"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
[网络] 提前；推荐；表提出"
put ... in prison, [法]收监; 囚禁; 关押
put ... into ...,"na. 插入；注入；(船)入港
[网络] 使进入；放进；投入"
put sth. into action,"na. 实行；开动
[网络] 把……付诸实施；付诸行动；使开始工作"
put sth. into effect,"使生效, 执行...
[经] 执行, 使生效"
put sth. into practice,"实行..., 落实...
[经] 实行, 落实"
put off,"推迟, 拖延, 搪塞, 阻止, 脱掉, 扔掉, 使分心, 使厌恶, 出航
[经] 推迟"
put on,"把...放上去, 穿上, 假装, 增加, 上演, 使...上场, 使起作用, 施加于"
put one's finger on,发现...
put one's foot in one's mouth,[网络] 祸从口出；把脚丫放进嘴里；说错话
put one's hand in one's pocket,付款，支付，认捐，慷慨解囊
put out,"放出, 伸出, 生产, 出版, 发布, 熄灭, 消除, 使困扰, 使脱臼, 把...杀出局, 出航
[化] 关; 停止"
put pressure on,对…施加压力
put pressure upon,无
put through,"na. 经受；测试；试验；使…通过
[网络] 接通；完成；把……接通"
put together,"na. 编辑；拼拢；比较考虑；使结婚
[网络] 装配；把……放在一起；加在一起"
put up,"举起, 抬起, 进行, 推举, 参加竞选, 提供, 建造, 接待, 包装, 公布, 上演
[化] 搭架"
put up with,"忍受, 容忍
[法] 容忍"
puzzle over, 苦苦思考
quantities of,"大量的,许多…"
quarrel with sb. about sth.,无
quarrel with sb. over sth.,无
queue up,排队等候
quite a few,相当多的
rain cats and dogs,下倾盆大雨
raise money,"筹钱
[经] 筹款"
raise one's eyebrows,"表示惊讶或轻蔑[多用于被动语态]：

Eyebrows were raised when she came in barefooted.
她光着脚走进来,人人都大吃一惊。"
range from ... to ...,"从...到...(不等), 范围从...到..."
rather than,"na. 而不
[网络] 而不是；而非；宁愿"
rather too,稍微...一点
reach out,"na. 伸(手)；伸手(拿…)；(手)伸向前；(草木向…)生长
[网络] 伸出；冲刺"
reach out to,[网络] 接触；把手伸向；联系
react against,反抗
react to,作出反应
read out,"na. 大声读；【自动化】读出
[网络] 宣读；朗读；读出来"
reckon on,"指望, 依赖"
recognize ... as ...,[网络] 认出是；承认是；认为是
recommend doing sth.,[网络] 建议做某事；推荐做某事；建议干
recover from,"v. 恢复
[网络] 痊愈；从……中恢复；从…恢复"
refer to,"v. 查阅；提到
[网络] 参考；涉及；谈到"
refer to ... as ...,"v. 提交；归类；称谓
[网络] 把…称作；把…当作；称为"
reflect on,"深思, 反省, 导致, 招致非议"
refuse to do sth.,[网络] 拒绝做某事；拒绝去做某事；拒绝干某事
regard ... as ...,把...认作
regardless of,"不注意, 不关心"
regret doing sth., 对做过的事表示遗憾、后悔
relate to,"na. 有关联；与…有关；理解
[网络] 涉及；与…有联系；与……有关联"
relieve sb. of,"v. 解除
[网络] 减轻；消除；减轻……的"
rely on,"v. 依靠；信赖
[网络] 依赖；同本义；凭借"
remark on,"评论, 议论"
remark upon,"v. 评论；批评
[网络] 评论某事"
remember doing sth., 记着已经做过的事
remind sb. of sth.,"v. 提醒
[网络] 使记起；想起；使想起"
remind sb. to do sth.,无
remind sb. not to do sth.,无
replace ... with ...,"取代, 以...代替, 替换为
[计] 替换为"
remove ... from ...,从...除去
resign from,"v. 辞职
[网络] 辞去；辞去……职务；从…辞职"
resign oneself to,使听从于
respond to,"答复,响应,对…作出反应"
result from,"由...产生
[法] 由于, 由...引起"
result in,"导致
[法] 产生, 导致"
retire from,从…隐退
return to,回复到...
rid ... of ...,"除去, 摆脱"
ride on,un. 在…上运动:；取决于；骑在(马、自行车等)上:；在…上航行
right away,"na. 立刻
[网络] 马上；立即；立即，马上"
right now,"na. 目前；刚刚
[网络] 现在；刚才；就是现在"
ring back,"v. 回电话
[网络] 回铃音；回铃音的最大时长；回叫"
ring off,（英）挂断电话；住嘴；走掉
ring out,宣布离去；鸣钟送别；下班
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
[网络] 用收银机记录；给……打电话；把记入现金收入记录机"
rip off,"v. 剥削；抢劫；强奸；〈俚〉剽窃
[网络] 宰客；宰人；撕掉"
rise to one's feet,站起来
rise up against,无
risk one's life,拼死
rob sb. of sth.,"v. 抢走
[网络] 抢劫；盗取；抢夺"
roll in,"n. 转入（返回）
n. (Rollin)人名；(英、德、西、意、葡、瑞典、芬)罗林；(法)罗兰"
roll over,"na. 滚动；使滚；〔美棒球〕得分；同“roll”
[网络] 翻滚；翻身；翻转"
roll up,"na. 卷起(袖子)；包卷；积贮；缩成圆球
[网络] 袅袅上升；挽起；上滚"
round up,"na. 弄成圆球；使数目恰好；使成一个整数；赶在一块儿
[网络] 集合；围捕；赶拢"
rule out,"na. 排除
[网络] 排除…的可能性；划去；拒绝考虑"
run across,"偶遇, 跑着穿过"
run after,"追捕, 追求, 照顾"
run away,"n. 逃跑, 逃走的人, 逃亡, 压倒性的优胜
a. 逃亡的, 逃走的"
run for,竞选
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
run out,"跑出, 离开, 流逝, 期满, 被用完, 被放出去, 伸向, 逐出
[法] 背弃, 遗弃, 逃避"
run out of,用完
run over,"跑过去, 溢出, 超过限度, 扼要复述, 匆匆看, 辗过
[化] 沸腾翻出"
run through,"跑着穿过, 刺, 戳, 排练, 挥霍, 贯穿"
see sb. off,"na. 送行；送别；告别；赶走
[网络] 给…送行；为…送行；给某人送行"
send for,"na. 派人去叫[请]；遣人去拿；乞求
[网络] 派人去请；派人去请，召唤；派人去拿"
set in,"adj. 套入的；嵌装在里面的；附建在墙壁上的
n. (潮等的)上涨；开始；(冰霜雨雪的)来临
[网络] 进入一种特定状态；刘尚魁"
set about,"开始, 散布
[法] 着手, 开始"
set an example to,"做…榜样,树立(好)榜样"
set aside,"留出, 不顾, 取消, 驳回
[法] 撤销, 废止, 宣告无效"
set down,"放下, 使下车, 使着陆, 记下, 登记, 把...归于, 把...看作, 制定
[法] 放下, 卸下, 写下"
set fire to,点燃
set foot on,踏上
set foot in,进入
set off,"出发, 开始, 引起, 衬托, 点缀, 抵销, 分开, 划分
[法] 抵销"
set out,"出发, 开始, 陈列, 宣布, 陈述, 栽种, 设计...的布局, 测定
[法] 发表, 宣布, 打算"
set up,"n. 装备, 组织, 计划, 机构, 调整, 设置
[计] 准备; 安排; 建立"
settle down,adj. (开始时期热闹一阵之后)趋向稳定的
show off,"n. 卖弄, 炫耀, 爱炫耀的人"
show up,"na. 显眼；揭发；嘲笑；露面
[网络] 出现；出席；揭露"
shut up,"na. 关上；监禁；密封；停止
[网络] 闭嘴；禁止谁在多少时间内说话；来电感应"
side by side,[网络] 追述电影未来；并排；免费赠送
so as to,"使得, 以致"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
[网络] 向阳之诗；家人远离"
so long as,只要
speed up,"加速
[经] 加速"
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
stand by,"n. 可依靠的人, 被喜爱的食品, 备用品, 准备发报, 准备收报
[电] 备用的"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
[法] 代替, 代表, 拥护"
stand out,"na. 突出；显眼；不参加战争；抵抗到底
[网络] 突出量；才华出众的人；杰出人才"
stare at,"凝视, 盯住"
stay away,"v. 不在家；外出
[网络] 站开点"
stay in touch with,[网络] 与……保持联系；与……保持联络；和……保持联系
stay up,"na. 不去睡觉；不沉
[网络] 长筒袜；紧口长筒袜"
stick out,"na. 突出；伸出手臂；伸展；(因为与众不同而)容易识别
[网络] 悬臂；外伸长度；突出物"
stick to,"na. 粘住
[网络] 坚持；忠于；遵守"
succeed in doing sth.,[网络] 成功做某事；做……成功；成功作某事
such as,"un. 像；例如；象…这样；诸如…之类
[网络] 三千石地产；三千石地产有限公司"
suffer from,"忍受, 遭受
[法] 患...病, 苦于, 因...损害"
sum up,"计算...的总数, 概括, 总结
[法] 总结, 概述"
switch on,"v. 打开；接通；参见
[网络] 开启；合闸；打开开关"
take a breath, 深深地吸一口气
take a chance,冒险
take chances,"冒险, 投机"
take a day off,请一天假
take a look at,看一看…
take a walk,散步
take action,"采取行动, 提出诉讼"
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take after,"像, 学样
[法] 象, 相似, 追赶"
take aim at, 瞄准，盯着; 以…为目标
take an interest in,对...感兴趣
take apart,"na. 分解；拆分；剖析
[网络] 拆开；拆卸；卸开"
take away,"a. <主英>（饭食）外带的, （餐厅）供应外带食物的（相当于美语take-out）"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
[网络] 回收；起手有回真小人；摆杆"
take ... by surprise,"v. 突然惊吓
[网络] 吃惊；袭取；突袭"
take care,"v. 留心；当心
[网络] 小心；保重；注意"
take care of,"照顾
[法] 抚养, 赡养, 扶养"
take charge of,"掌管..., 负责..., 看管..., 不受...控制
[法] 负起管理之责, 失去控制"
take command of,开始控制
take control of,"控制,掌管"
take down,"n. 拆卸, (非正式)失面子, 羞辱
a. 可拆卸的
[计] 卸下"
take effect,"见效, 生效
[法] 生效"
take exercise,"做体操,做健身活动"
take ... for example,以...为例
take ... for granted,[法] 认为当然
take hold of,握住
take in,"接受, 接待, 吸收, 改小, 理解, 注意到, 包括, 轻信, 欺骗, 观看, 拘留
[法] 收容, 了解, 接受"
take ... into account,"na. 考虑
[网络] 把…考虑进去；考虑到；顾及"
take ... into consideration,"v. 顾及
[网络] 考虑到；把……考虑进去；予以考虑"
take it easy,"na. “take things easy”的变体
[网络] 放松点；进入；条评论"
take measures,採用措施
take notice of, 注意到; 在意; 睬; 理睬
take off,"拿掉, 取消, 脱下, 领走, 减去, 复制, 起飞, 离开, 岔开
[经] 取消"
take office,就职
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
[网络] 承担；雇用；雇佣"
take one's seat,就座
take one's time,从容不迫
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
[网络] 拿出；去掉；拿出来"
take over,"na. 接管；继承
[网络] 接收；接任；接替"
take pains,"尽力, 耐心"
take part in,"参与, 参加
[经] 参加, 参与"
take place,"na. 发生；举行
[网络] 产生；多指通过人为安排的发生；进行"
take possession of,"占有, 占领"
take pride in,以...为傲
take risks,"冒险,担风险"
take sb. in one's arms,无
take sb.'s advice,无
take sb.'s place,[网络] 解构发生；就位
take sides with,偏袒;拥护(某方面)
take the lead,"为首, 带头"
take the place of,"代替
[法] 代替"
take turns,"轮流, 依次"
take up,"拿起, 开始从事, 继续, 接纳, 吸收, 占据, 拘捕, 承兑, 认购, 绷紧
[经] 付清, 承兑(汇票), 认购(债券等)"
talk of,"[法] 谈到, 说到, 说及"
talk about,"na. 讲(某事)
[网络] 谈论；心语；同本义"
talk to, 同（某人）谈话; 责骂
teach oneself, 自学
tear down,"na. 扯下；拆毁；猛冲
[网络] 拆除；拆卸；罐头卷封切割"
tear off,"na. 扯下来；扯掉；飞跑；〔美俚〕急急忙忙做成某事
[网络] 撕下；撕掉；撕纸"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
[网络] 撕毁；撕掉；拔出"
tell a joke,[网络] 讲笑话；说笑话；讲个笑话
tell jokes, 讲笑话
tell a lie,说谎话
tell lies, 说谎，撒谎; 妄语; 妄言
tell apart,辨别；将……区分开
tell by,"v. 依据
[网络] 从…可以看出；根据……辨别；依据……而判断"
tell sb. about sth.,告诉(某人)有关…的情况; 谈及
tell the truth,说实话
test out,"na. 同“test”
[网络] 考验；试验；测试"
thanks to,由于
that is to say,"na. “that is”的变体
[网络] 也就是说；那就是说；换句话说"
the day after tomorrow,后天
the other day,[网络] 往日意
think about,"考虑, 回想"
think aloud,"na. 自言自语
[网络] 有声思维；有声思考；边想边说"
think back to,回想，回忆；重新思考(往事)
think highly of,"认为…很了不起,对…评价很高,非常看重"
think well of,"非常看重,尊重,钦佩"
think nothing of,把...看得很平常
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think of ... as ...,把...看作
think out,"na. 想透；想出
[网络] 彻底地想一想；彻底思考；仔细考虑"
think over,"v. 仔细考虑
[网络] 仔细思考；仔细考虑一下；再三考虑"
think up,"na. 想出；〔口语〕发明
[网络] 想起；设计出；是想出，编造"
thousands of,"成千上万,数千,许许多多"
throw away,"n. 免费散发的传单, 脱口而出的话, 一次性使用的物品
[经] 废品, 废件"
throw light on,"照亮,阐明,使理解,启迪"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
[网络] 扔掉；摆脱掉；扔开"
throw oneself on,依赖
throw up,"na. 呕吐；抬起；急造；丢弃
[网络] 泡泡字创作；最后三分钟的泡泡字创作"
tidy up,"v. 整理干净
[网络] 相当小范围的整理；使客房洁净"
time and again,反复地
till now,直到目前
tire out,"na. 使疲倦到极度
[网络] 筋疲力尽；使筋疲力尽；使……十分疲劳"
to be honest,"老实说,说实在的"
to one's credit,"入某人帐户的贷方, 为某人带来荣誉"
to sb.'s delight,无
to sb.'s surprise,无
to the contrary,相反地
to the point,"na. 露骨；中肯
[网络] 正中其点；那已被赋予一个适切；目标"
together with,"和, 加之"
too much,"太多, 太高"
