find out,"na. 查出；发现；看清…的面目；识破
[网络] 查明；找出；了解"
in all,"总共
[经] 合计, 全部"
be capable of,能够
meet with,"偶遇, 遭受"
at odds with, 与…不和，与…争吵
tell about,告诉(某人)有关…的情况; 谈及
be in a rut,"过着/开始过枯燥僵化的生活, 开始墨守成规"
be struck in a rut,无
spend on,[网络] 花费；把…花在；在……方面花费
at risk,"un. 担风险
[网络] 有危险；在危险中；处于危险中"
at a ... speed,无
allow to,根据法律拨(款)给；给(钱)与
allow ... to,根据法律拨(款)给；给(钱)与
mislead ... into doing,无
care about,担心
urge ... to,"怂恿, 激励"
look around, 四下观望; （作出选择前）进行调查; 骋目四顾; 四顾
commit to, 把…送交， 托付给…; 对…作出承诺， 承担义务， 担负责任; 使（自己）致力于…; 把…固定在， 保留在…之上[之中]
at the time,"当时,那时"
trade with sb.,"与…交换,和…贸易"
agree to,"同意,赞成…"
move forward, 前进
be filled with,充满…
deliver ... to, 转交，交付，传达
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
[网络] 赶上；追上；跟上"
catch up with sb.,赶上
for a while,暂时
no doubt,"na. 无疑地；〈口〉很可能
[网络] 毫无疑问；必定；不要怀疑合唱团"
a host of,"许多,一大群"
all the same,仍然
carry out,"进行, 实现, 贯彻, 执行
[经] 进行(到底), 执行, 落实"
trade up,"n. 卖次买好；以次换好的买卖
[网络] 升值换物"
in respect of,"[法] 关于, 就...而言"
be to do sth., 打算做
the other day,[网络] 往日意
close off,"na. 结(账)；隔离；封锁；阻塞
[网络] 结帐；封死；关闭"
pay out,"na. 还(债)；放出(绳子)；痛加责罚；〈美〉赚到钱
[网络] 付出；支付；支出"
be exposed to,"[计] 曝光, 曝露"
pass down,"un. 过；一闪即逝；下达
[网络] 传递；传下去；传下来"
impinge on,"撞击, 侵犯, 紧密接触"
impinge upon,"v. 影响到；冲击；打击
[网络] 撞击；侵犯；起作用"
talk to, 同（某人）谈话; 责骂
as for,至于
have the last word,"[法] 辩论中作最后的判断, 有决定权"
happen to,"碰巧,偶然;发生于"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
[网络] 退关；排除；把…排斥在外"
hold true for,(对…)有效；(对…)实用
move sb. toward,[网络] 朝……移动；朝某一方向；向……移动
in the course of,"在...期间
[法] 在...过程中, 在...期间"
on the basis of ...,以...为基础
make profits of,无
disagree with sb.,"不同意, 不一致, 不适合"
trifle with,玩弄
be good at,擅长
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
[网络] 及时；钟点战；时间规划局"
pick up,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像
[电] 拾音器"
in despair,绝望地
look on the bright side,对事物抱乐观态度
around the corner,"在拐角处, 在附近, 即将来临"
end up,"竖着, 结束, 死"
in turn,"na. 挨次
[网络] 依次；轮流；反过来"
fight against,"v. 反对
[网络] 与…作斗争"
lie with,是...的权利/义务
lag behind,落后(于...)
make an apology,道歉
get through,"做完, 通过, 度过"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
[网络] 向阳之诗；家人远离"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
[网络] 扔掉；摆脱掉；扔开"
at all times,一直
on the contrary,"正相反
[法] 正相反, 相反地"
with regard to,关于
in regard to,"关于
[法] 关于"
come from,"来自, 出生于"
in the making,"在形成中,在酝酿中"
some of,无
to be sure,"诚然, 固然, 哎呀"
as a result of,作为结果
by way of,"经由, 作为, 为了
[经] 当作, 为了, 通过"
a pile of,"一堆,一垛…"
piles of,[网络] 一大堆；成堆的；一大批
be puzzled by,无
have effect on,对…有影响
in a sense,在某种意义上
waste time doing sth.,无
in some ways,在某些方面
first and foremost,首要地
have a break, 休息一下
come up with,"赶上, 提出"
give in,"na. 让步；屈服；投降；上交
[网络] 交上；认输；放弃"
all at once,"突然, 同时
[计] 整批发送"
set aside,"留出, 不顾, 取消, 驳回
[法] 撤销, 废止, 宣告无效"
a waste of, 浪费…
define as,把…解释为；定(某词、短语等)的意义为，下定义为
as usual,a. 照常
in effect,"有效
[法] 有效, 生效, 实际上"
be busy with,忙于
intrude on,[网络] 侵犯；间接地侵犯；干涉
end up with,"以…作为结局,以…而告终"
originate from,发源于
be responsible for,"引起..., 是...的原因, 对...起作用, 构成...的一部分
[法] 对...负责"
look out,"n. 警戒, 搜寻, 注意, 了望台, 监视者, 了望员, 监视哨, 景色, 前途, 远景"
silver lining,n. （不幸或失望中的）一线希望
a range of, 一系列; 一些; 一套
be harmful to, 妨害
all the time,始终，一直
all day long,整天
a large number of,"大量的..., 许多..."
be used to do,无
stick to,"na. 粘住
[网络] 坚持；忠于；遵守"
far off,"a. 遥远的, 心不在焉的"
at the bottom,"根本上,实质上,实际上"
part and parcel of ...,"不可缺少的一部分,…的重要部分,…的组成部分"
be famous for,"因…而出名,以…着称"
discourage ... from doing sth.,无
new vision,[网络] 新视界；新视觉；新视野
so ... that,"如此…以致…；以致…, 结果是…；以便"
miss the point,"na. 抓不着要点；不得要领；不懂(俏皮话等的)妙处
[网络] 没有抓住要领；没抓住要领；没领会含义"
without permission,"未经许可
[法] 未经许可"
in terms of,"用...的话, 根据, 按照, 在...方面
[法] 用...话, 以...措词, 按照"
marvel at,对...惊奇
stay away from,不在，外出；走开；不接近，不打扰；避开
in fact,"na. 其实；总之
[网络] 事实上；实际上；I事实上我"
at bottom,实际上
hold onto, 紧紧抓住，不卖出
communicate with,通话
be amazed at, 对…感到惊讶；对…感到害怕
with time,"随着时间的推移,渐渐"
enable ... to,无
face up to,勇敢地面对
seek to,vt. 设法; 企图，试图
at a rate,无
scoop up, 铲起; 舀
because of,因为
look forward to," 期望, 盼望; 瞩望; 属望; 企"
in print,"na. 已出版的；(书等)在出售中的；(书等)尚有供应的
[网络] 印上；息气是铭印；铭印现象"
in the past,在过去
attend to, 处理; 注意; 听取; 致力于
at any rate,"无论如何, 至少"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
[网络] 关机；停工；使关闭"
consist of,由...组成
interact with, 与…相互作用，与…相互影响; 与…相互配合
return to,回复到...
mend one's ways,"改过
[法] 悔改"
approach to, 接近
accuse of,"un. 控告
[网络] 指责；指控；因某事控告某人"
in practice,"在实践中, 实际上, 熟练"
exempt from,"v. 使…免除
[网络] 豁免；免除的；免予"
lock away,"na. 锁起来
[网络] 把…锁藏起来；把它锁起来；下锁保管"
check on,"检查,核对"
in theory, 理论上
make a difference,"有区别,有很大关系"
be limited to,被限制在...上
rule out,"na. 排除
[网络] 排除…的可能性；划去；拒绝考虑"
make sure,确定
strive for,"奋斗, 争取"
go about,"从事, 走动, 传开"
thin out,"使稀薄, 使稀疏"
on behalf of sb.,"代表...
[经] 代表"
be key to, ...的关键
run counter to,"违反, 背道而驰"
help do,[网络] 帮助做某事；帮助干某事；帮忙做
help to do,[网络] 帮助做某事；帮忙做某事；有助于做某事
now that,"既然..., 由于..."
major in,"主修, 专攻"
exert influence on,对…施加影响
separate from,"把...和...分开, 把...和...区分开, 使...从...离析"
on a scale of,"按……的等级
按……比例尺"
answer to,"与…一致,符合;因…而起作用"
drop out,"n. 退学学生, 中途退学
[电] 离去"
be considered as,被认为/看作是...
not any more,[网络] 不再；不再是了；再也不会了
take responsibility for,负责…
range from ... to ...,"从...到...(不等), 范围从...到..."
in the workplace,无
in an effort to,"努力,试图"
in consequence,"n. 不合理, 矛盾, 不切题"
derive from,从...得到；从...获取
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
[网络] 试用；尝试；考验"
to a certain degree,"到达某种程度, 在某种程度上"
to a certain extent,在某种程度上
believe in,"信仰, 信任"
get back to,"回到…,继续…"
convince ... of,"na. 使(人)承认
[网络] 确信；使确信；使信服"
prohibit ... from doing sth.,[网络] 禁止某人做某事；禁止做
a sequence of,"一个…的序列,一系列…"
anything but,"单单除...之外, 决不"
in an instant,马上
guilty of,[网络] 有……罪的；犯罪；有罪
speak of,"谈到..., 论及..."
stress the importance of,无
regard ... as,把...认作
fill up,"n. 真满；填满；填料；填筑的
v. 填塞；填补
[网络] 充满"
figure out,"na. 估计；解决；了解；〈口〉确定
[网络] 弄清楚；算出；推测"
hunt for,搜寻
in general,大多数
stay up,"na. 不去睡觉；不沉
[网络] 长筒袜；紧口长筒袜"
crop up,突然出现
cover up,"na. 包庇(某人)；为某人打掩护；蒙盖；隐蔽
[网络] 掩盖；掩饰；掩饰，掩盖"
involve in, 使参与[陷入，牵扯到]; 婵媛
care for,"喜欢, 照顾, 为...操心, 尊重"
ward off,"v. 挡开；架开
[网络] 避开；防止；挡住"
refer to,"v. 查阅；提到
[网络] 参考；涉及；谈到"
a succession of,"一系列,一连串,接连不断的"
no longer,"na. 已不
[网络] 不再是"
race against,与…竞赛
race with,与…竞赛
to a great extent,在很大程度上
out of fashion,"不合时尚,不时兴的,过时"
worth doing sth., 值得做；物有所值
in decline,在下降
judge from,根据〔由〕…作出判断
in public,当众
cut out,"切掉, 删掉, 裁剪出, 安排好, 使适合, 停止, 放弃, 取代, 使分离, 突然离开
[建] 切断, 安全器"
discriminate against,歧视
put in place,"n. 安装
[网络] 落实到位；正在实施；推出"
have a bone to pick with ...,"对…不满, 对…有抱怨"
pull off,"na. 赢得；做成某事；(在路边)停车；〈非正式〉【计】下载
[网络] 完成；脱下；努力实现"
sweep through," （使）扫过…, （使）掠过…, （使）迅速传遍于…"
go forth, [人名] 戈福思
intend to,"打算(做)..., 想要(做)..."
tend to,"注意, 趋向"
be likely to,"有可能…,很可能…"
attach importance to sth.,重视
attach significance to sth.,无
stem from,"起源于,出自,出身于…"
introduction to ...,[网络] 介绍；入门；引言
be rooted in,深植于
belong to,属于
due to,"由于, 应归于"
immune from,无
prior to,"在前, 居先
[经] 在...之前"
short of,"缺乏, 达不到, 除...以外"
be supposed to do sth., 应当，应该
ought to,应该
conform to,"符合,与…一致"
center around,集中围绕
center on," 以…为中心; 重点在于…, 主要与…有关"
center upon,无
play a role in,在...起作用
recall doing sth.,无
be desperate for, 极渴望
stare at,"凝视, 盯住"
turn the corner,"拐弯, 转危为安"
in due course,"及时地, 在适当时
[经] 顺次, 适期"
base on,"v. 根据
[网络] 基于；以……为基础；以…为根据"
at least,"na. 至少
[网络] 起码；至少多少次；至不济"
carry on,"继续开展, 行为愚蠢(或越轨)
[经] 继续发展(经营)下去"
linger on,"停留,存留,逗留,拖延"
set in,"adj. 套入的；嵌装在里面的；附建在墙壁上的
n. (潮等的)上涨；开始；(冰霜雨雪的)来临
[网络] 进入一种特定状态；刘尚魁"
log in,"[计] 请求联机, 联通, 注册, 进入系统, 登记, 记入"
log on,"[计] 注册, 登录, 登录入网"
in vain,"na. 无益地；轻忽地
[网络] 徒然；徒劳；白白地"
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
[网络] 混合；搞糊涂；混合在一起"
in return,作为报答
in contrast,"比较起来, 相反地, 而"
by contrast,"对比起来, 与之相比, 相反地"
with caution,小心地
with delight,"高兴地, 乐意地"
according to,"na. 据…所说
[网络] 按照；根据；依照"
fail to, 未能…
refuse to,拒绝
be accustomed to,习惯于
threaten to,无
complain about,抱怨
compare with,"比较…,跟…相比,比得上…"
depend on,"依靠, 依赖"
infer from,从…中推导出
be to blame,该受责备
lose interest in,对…失去兴趣
associate with,"v. 与…联系
[网络] 结交；联合；交往"
have influence upon,无
have effect upon,无
have influence on,[网络] 对某物施加影响；对……产生影响；有影响
have effect on,对…有影响
be related to,"与...有关, 和...有联系, 和...有亲戚关系"
be reliant on,"信赖,依靠"
take ... into consideration,"v. 顾及
[网络] 考虑到；把……考虑进去；予以考虑"
be faced with,"面对,面临着…"
begin to do sth., 开始做某事
plan to do sth.,[网络] 计划做某事；打算做；计划干某事
be available to,可被...利用或得到的
seem to,似乎，好象；看起来
impose on,"v. 强迫；欺骗
[网络] 把…强加于；施加影响于；利用"
introduce ... to ...,[网络] 介绍；介绍给；向……介绍
contribute to,捐献
set an example for,[网络] 为……树立榜样；为某人树立榜样；为……建立表率
sense of responsibility, 责任感
take a toll on, 夺去
make improvement,无
on the road to,"un. 在旅途中；要；在…过程中
[网络] 在去……的旅途中；通向…路当中；他终于感到自己快要成功了"
admit ... to,准许进入
admit ... into,允许(某人)进入…
suggestion on,无
be prepared for,为…作好了准备
get prepared for,无
at the end of,"在…末尾,在…结束时"
by this means,用这种方法
be angry at,发怒
be fatal to,对…危害极大
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
[网络] 引进；带来；引入"
distract one's attention,无
interfere in,"干预,干涉,介入"
be distinct from,与…不同
a sort of,"一种,某种,勉强称得上的…"
at first glance," 一看就, 初看, 乍看起来"
deprive ... of,"un. 剥夺
[网络] 剥夺某人的；使失去；使丧失"
make compromises,妥协
live off,"以...为食料, 靠...生活"
be skeptical of,无
become skeptical of,无
be skeptical about,无
become skeptical about,无
gain control over,无
get control over,无
have control over,能控制...
in store,"贮藏着, 保存着, 准备着, 将要发生
[经] 存仓"
come in,"na. 进入；当选；上台；(党派)组阁
[网络] 进来；请进；流行起来"
between jobs,[网络] 失业；待业中；工作之间
pass through,"通过..., 透过..., 穿过..., 流过..."
on the rise,"在上涨, 在增长"
be located in,"坐落于..., 位于..."
in no time,立刻
conclude from,从…中得出; 推断
move away, 离开; 搬到别处去住; 改变（见解）; 挪开
live by,靠…为生
encounter with,偶然遇见，偶然碰到(朋友等)；遭逢(敌人等)；遭遇(危险等)；与…冲突
cut corners,抄近路
for free,免费地
fair play,"na. 正派的比赛；公平；漂亮
[网络] 公平裁判；费尔泼赖；费厄泼赖"
meet one's need,满足某人的需要
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
[网络] 到达；收割；进站"
get ahead,"na. 进步；前进
[网络] 获得成功；超过；走在前面"
in any case,无论如何
bring ... under control, 置于…控制之下，把…控制住; 收服; 制伏; 制服
get ... under control,无
in agreement with,"同意,与…一致"
wear away,"磨损, 流逝, 消磨, 虚度"
by means of,依靠
be resistant to,"抵抗...的, 对...有耐药力的"
in light of,"按照, 根据"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
[网络] 削减；减少；消减"
in a manner,"在某种意义上,有几分,多多少少,可以说"
take pains,"尽力, 耐心"
put a premium on,"奖励, 鼓励, 重视"
place a premium on,"诱发,鼓励"
set a premium on,无
add to,"na. 增加
[网络] 增添；增进；添加"
on loan,"na. 出借
[网络] 借调；租借"
on loan from,无
push aside,"v. 推开
[网络] 把…推到一边；拨开；扒开"
take apart,"na. 分解；拆分；剖析
[网络] 拆开；拆卸；卸开"
at best,"na. 充其量也不过
[网络] 至多；最多；最好也只是"
sit up,"坐起, 端坐, 熬夜, 诧异"
bad debt,[会计] 坏帐；[会计] 呆帐
resign from,"v. 辞职
[网络] 辞去；辞去……职务；从…辞职"
detach from,使从…分离(或分开、脱离、拆开)
cut across,抄近路通过
speak for,"代表...讲话, 要求得到, 订购"
elite school,[网络] 名校；各大名校；精英学校
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
break away,"n. 脱离, (美)(非正式)一碰就散开/脱落的, 分裂"
break away from,"摆脱,脱离"
let ... in,"na. 放入；嵌入；陷入…；〈俚〉欺骗
[网络] 放…进来；让…进来；放进"
at the thought of,一想起
be wrapped up in,"被包藏于, 埋头于, 与...有关系"
box office,"adj. 卖座很好的；受人欢迎的
[网络] 票房；售票处；谈票房"
be crucial to,[网络] 对……至关重要；决定性的；重要的
stick up for,"支持, 维护"
by mistake,由于差错
not have a leg to stand on,"(论点等)站不住脚, 对行为无合理的解释等"
fall behind,"落在后面, 拖欠"
take care,"v. 留心；当心
[网络] 小心；保重；注意"
for ever,"na. 永远
[网络] 免费发短信的网站"
so as to,"使得, 以致"
fall apart,"na. 土崩瓦解
[网络] 崩溃；破碎；四分五裂"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
[网络] 提前；推荐；表提出"
sit on,"为...的一员, 开会讨论, 审理, 拖延, 管教
[法] 调查, 询问, 占有一席次"
in the world,"(加强语气用)到底,究竟;其实"
as regards sb.,"关于, 至于"
as regards sth.,"关于, 至于"
step up,"v. 加紧；走上前；登上；增加
[网络] 舞出我人生；提高；舞出真我"
for sure,"adv. 确实
[网络] 肯定地；确切地；毫无疑问"
in case,"v. 装进箱,筒,鞘等容器内, 包"
just in case,"na. 以防万一；作为准备
[网络] 有备无患；以防万一式；以备需"
date back to,"始于,可以追溯到…"
put forth,"放出, 发表, 颁布, 提出, 发挥, 起航"
tie down,"v. 束缚
[网络] 牵累；系紧；约束"
on thin ice,如履薄冰
be stuck in, 困于，停止不前，动弹不得
be fascinated with,无
switch off,"na. 不收听(某一广播)
[网络] 关掉；收起并隐没；定时关机"
spell out,"na. 详细说明；【印】正式拼写
[网络] 讲清楚；清楚地说明；拼出"
virtual currency,[网络] 虚拟货币；虚拟货币发行；虚拟流通
move up,"向前移动, 上升
[计] 向上移"
tear apart,"v. 弄乱；撕破
[网络] 使心碎；扯开；撕开"
be soft on,"爱上
钟情于
对......温柔"
back down,n. 收回原来的声明[观点]
keep up,"na. 维持；保持；持续；停歇
[网络] 继续；坚持；继续下去"
in the eyes of,在...心目中
fasten ... to,"系〔拴, 扣〕在…上"
fasten ... onto,"纠缠,紧抓不放,牢牢地固定在…"
set about sth.,"开始, 散布
[法] 着手, 开始"
set about doing sth.,[网络] 着手做某事；开始做；着手干
reach a consensus, 达成共识
shift from ... to ...,无
fail at,无
a version of,无
sit out,"na. “sit through”的变体
[网络] 袖手旁观；坐在户外；对……袖手旁观"
sit through,"坐着捱到结束, 耐着性子看完"
work up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
[网络] 激发；激起；逐步引起"
less than," 小于, 决不; 以内; 没有; 不足"
in the small hours, 凌晨
sooner or later,迟早
more or less,"na. 有点儿；左右；或多或少；一点也…
[网络] 渐多或渐少"
what is more,而且
have faith in,"na. 相信
[网络] 信任；对……有信心；信仰"
at the cost of,以...为代价
vote for,"[法] 赞成, 投票赞成, 选举"
by hand,"na. 用手的；用手递交的；(婴儿)用牛奶抚养的
[网络] 用手工；手动；手工的"
take effect,"见效, 生效
[法] 生效"
be liable for,"有...责任, 有...义务"
bed down,"安排(人/动物)舒服地睡觉, 使自己舒服地睡觉"
snatch at,设法[试图]抓住
pour into,[化] 注入
every so often,"时常, 常常, 不时"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
[网络] 切碎；剪碎；宰后得肉"
scream at,朝…大叫大嚷; 责备
start over,[计] 启动
stick by,忠于
strive to, 力图；力求
come off,"发生, 举行, 表现, 结果"
make a complaint,抱怨
talk over,"商量, 讨论, 说服
[法] 以口才使改变立场, 商量, 讨论"
fill in,"na. 填充；填写；同“fill”
[网络] 可达到加强节奏弦音效果；过门；备注"
fill out,"填写, 使长大, 变大, 使长胖, 使完备"
take away,"a. <主英>（饭食）外带的, （餐厅）供应外带食物的（相当于美语take-out）"
be tolerant of,"忍耐,容忍,对…有忍耐力"
straight away,"n. 直道
a. 直线行进的, 通俗易懂的, 立刻的"
not in the least,"绝对不, 一点也不"
rush through,"匆忙做完,草草完成;掠过"
come down to,"流传下来;压缩为,归结为,简化为"
out of condition,"健康状况不好, 保存得不好"
package deal,[贸易] 一揽子交易；[贸易] 整批交易；成套交易
suitable for,适合...的
suitable to,无
keep one's eyes open,"注意, 留心"
keep one's ears open,留心听
prejudice against,使对…抱有偏见
root cause,[网络] 根本原因；根源；问题根源
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
[网络] 穿上盛装；装饰；精心打扮"
as far as sb. be concerned,"就…来说, 就…而论"
pay back,"na. 偿还；报答；向…报复；付还
[网络] 回报；还钱；还钱给"
bond with sb.,无
hand in,"na. 交进
[网络] 有发球权；有发球权的一方；交入"
come under,"归入, 遭受"
drive away,"v. 赶走
[网络] 网站如；驱走；离开"
buy up,"na. 囤积；整批收购；购进(其他公司)
[网络] 尽可能买进；全部买进；全部买下"
be in the grip of sth.,"na. 被…支配
[网络] 处于不利局势之中"
stop over,中途停留；暂留；立刻
stop over at,v. 中途在…停留
stop over in,无
for the time being,暂时
feel like sth.,"na. 〈口〉想要…；愿意…；感觉像是…
[网络] 感觉气温"
feel like doing sth.,想要(做)...
have an advantage over,"胜过,比…优越"
go out,"na. 出国；(火,灯)熄；辞职；下台
[网络] 熄灭；出去；外出"
time after time,"多次, 反复, 不断地"
attuned to,[网络] 协调
behind the scenes,"在后台, 在幕后
[法] 秘密地, 暗中, 幕后"
in memory of,纪念...
take cover,"隐蔽, 躲藏"
in search of,寻找
tear into,"洞穿, 猛攻"
around the world,"全世界,遍及全世界,世界各地"
sit back,"不采取行动, 向后靠着坐"
take after,"像, 学样
[法] 象, 相似, 追赶"
do justice to,"公平对待, 适当处理"
distinguish ... from,"v. 区别,识别"
wish for,"盼望, 企求"
walk up,"n. 无电梯的大楼
a. 无电梯大楼的"
wash up,"洗手洗脸, 洗餐具"
no other than,"na. 就是；只有
[网络] 正是；除…外没有；不是别的"
on record,"adj. 准予公开发表的，公开的；记录在案的,正式的[亦作 on-the-record]"
cut down,"na. 砍倒；削减；减价；夺去…活动力
[网络] 减少；缩短；降低"
go up,n. <美俚>粘稠液体(如巧克力糖浆)
win over,"na. 争取过来
[网络] 把…争取过来；战胜；战胜对方"
go into,"进入, 加入, 探究, 变得, 进入...状态
[法] 调查, 探讨, 进入"
count for ...,"有价值,起作用"
take steps to do sth.,[网络] 着手落实；采取措施做某事；采取步骤做某事
spring up,出现
abide by, 遵守; 信守; 忠于（某人）; 接受
couple ... with ..., 与…连接在一起
in quest of,为了追求...
seek out,"搜出, 挑出"
search through,把…仔细搜寻一遍
tell the truth,说实话
waste away,"na. 消瘦
[网络] 日益消瘦；日渐衰弱；日趋消瘦"
the advent of,(重要人物或事件)…的出现(或到来)
benefit from,从…获利
warn of,"na. 警告(某人)有危险
[网络] 发出关于…的警告；警告某人某事；警告可能会出现某事"
at the height of,在…最盛的时候
fall for," 上当, 听信; 爱上"
a series of,"一系列..., 一批..."
above all,"尤其是, 首先"
eminent scholar,无
train of thought,[医] 思潮
agree on,"就…取得一致意见,商定"
enroll in,"登记,报名参加"
watch out,"na. 当心；留神；小心；提防
[网络] 注意；密切注视；监视"
watch out for,"戒备, 提防, 密切注意"
engage in,"使从事于, 参加"
exchange for,用…换取
on impulse,一时冲动
for the most part,在极大程度上
a majority of,"大部分,大多数"
the majority of,大多数...
in order to, 为了…
stand by,"n. 可依靠的人, 被喜爱的食品, 备用品, 准备发报, 准备收报
[电] 备用的"
switch on,"v. 打开；接通；参见
[网络] 开启；合闸；打开开关"
by far,"na. (修饰比较级,最高级,表示数量,程度等)…得多；尤其；更
[网络] 到目前为止；非常；最多"
point of view,"na. 观点
[网络] 视点；视角；主述观点"
superior to, [医]adj.优于，胜于
on the surface,表面上
draw out,"na. 抽出；拔出；掏出；提出
[网络] 拉长；取出；拉出"
the bulk of,"大半,大多数,大部分"
exclude ... from,[网络] 把…排斥于…之外；把……排除在外；同上但是使用档案
set a threshold for,无
designate ... as ...,把…称为；指定，定为；选派；任命；指定
real estate,"n. 房地产；房产；不动产
[网络] 房地产论坛；房地产专业；地产房产"
at the mercy of,受...支配
to the core,直至核心
take part in,"参与, 参加
[经] 参加, 参与"
be aware of,知道
burn out,"n. 烧尽, 烧坏, 熄火
[化] 燃尽"
back and forth,[网络] 来来回回的
get the best of,"战胜,胜过,佔了…的上风;克服,克制"
in conflict, 有矛盾; 不一致
confine ... to ...,"v. 限于
[网络] 局限于；限制；限制在一定范围之内"
specialize in,专门研究...
count on,"依靠, 指望"
the same as,"与...相同, 与...一致"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
[网络] 恢复知觉；达到；到达"
over time,"n. 超时, 加班, 延长时间
a. 超时的, 加班的
adv. 加班地
vt. 使超过时间"
fierce competition, 竞争激烈
show up,"na. 显眼；揭发；嘲笑；露面
[网络] 出现；出席；揭露"
restore one's bearings,无
suffer from,"忍受, 遭受
[法] 患...病, 苦于, 因...损害"
come in handy,派得上用场
make money,"挣钱
[经] 赚钱, 挣钱"
call forth,"引起, 使产生, 使起作用"
there and then,"当时当地, 当场就"
on the whole,"大体上, 基本上"
for one thing,首先
start with,从...开始
be characterized by,"具有...的特性, 其特性为..."
adhere to,"执着于,坚持,粘附于,信奉…"
cut off,"切掉, 删去, 切断, 断绝, 中断, 关掉, 使死亡
[建] 切断, 断流, 切去"
a variety of,"各种各样的..., 种种..."
get ready,[网络] 准备好；预备；做好准备
flesh out,"na. 充实；使…具体化
[网络] 使有血有肉；使之更充实并具体化；充实完整"
far from,"远离, 远非"
as often as,每当
embark on,"从事, 着手"
embark upon,"开始,从事,着手"
at the expense of,"归...付费, 在损害...的情况下
[法] 归...付费"
in action,"n. 不活动, 无为, 怠惰, 迟钝
[医] 无作用"
close to,"接近于, 靠近于"
lead up to,"带到, 导致, 作为...的准备"
together with,"和, 加之"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
stay with,与...并驾齐驱
that is,"na. 就是说；用于纠正之前说过的内容
[网络] 即；那就是；换言之"
that is to say,"na. “that is”的变体
[网络] 也就是说；那就是说；换句话说"
take into account,"na. 考虑
[网络] 把…考虑进去；考虑到；顾及"
take ... into account,"na. 考虑
[网络] 把…考虑进去；考虑到；顾及"
in the short term,短期内
throw into,投身于
all but,"na. 几乎跟…一样
[网络] 差一点；除了…都；差不多"
earn one's living,"谋生, 维持生活"
treat to,[网络] 款待；招待；请客
beyond dispute,"没有争论余地, 无疑地
[法] 不可争辩"
slip in,"un. 溜下；不声不响地走进去；出差错
[网络] 滑入式"
saturate ... with,使饱和
cope with,"与...竞争, 应付, 处理"
crack down," 采取严厉措施, 制裁; 打击"
crack down on,"制裁, 镇压"
live in,"na. 住进；(雇员)住在东家
[网络] 居住"
stay put,"na. 原位不动
[网络] 维持现状；交替型；停在原位不动"
be fond of,"喜爱, 爱好"
to be fair, 公平地说
even if,即使
even though,"na. “even if”的变体
[网络] 纵然；即使；尽管"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
do without,没有...也可以
come about,"发生, 改变方向"
comment on,评论
a number of,许多的
by nature,天生地
bring out,"na. 公布；说出；出版；上演
[网络] 生产；阐明；说明"
make no difference,没有影响
to say nothing of,"na. 更不必说
[网络] 更不用说；慢说；姑且不说"
obstacle to,[网络] 纪念碑；障碍；的障碍
at length,"最后, 详细地"
apart from,除了...之外
more often than not,"多半, 通常"
in particular,特别
nothing but,只
appeal to,[法] 诉诸...
on paper,"以书面形式, 在名义上"
in relation to,"关于, 涉及"
with relation to,"关于, 涉及, 有关"
in spite of,不管
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
from the bottom up,从下到上
from time to time,有时
put pen to paper,落笔
under ... conditions, [法]下列情形
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
over the years,"在这几年中, 在那几年中"
if only,"na. 只要；只要…；要是…就好  if possible 如果可能
[网络] 如果能再爱一次；要是……就好了；但愿"
agree with,"同意…,与…意见一致;适应…"
boast of,吹嘘;引以自豪地拥有
boast about,自夸
enthusiasm for,"热爱…,热心于"
view ... as ...,"把...看作..., 认为...是..."
at random,"胡乱地, 随便地
[法] 任意地, 遂意地"
in a row,"成一长行, 连续, 一连串"
write down,"写下, 写文章贬低, 降低地位, 减低帐面价值
[法] 记录, 记下, 以文字诋毁"
historical prejudice,无
slacken off, 松懈下来; 变迟缓; 松驰; 减弱
follow through,"n. 持久的贯彻, 持续"
thanks to,由于
be tied to,"被束缚于…,与…紧密联系在一起"
in combination with,与...结合
arouse controversy,无
with respect to,"关于..., 至于...
[法] 顾及到, 关于"
occur to,…发生在; 被想起〔到〕
